"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1992","Staedtischer Raum","Westdeutschland","133.41","0","9740","113.4","153.42"
"1993","Laendlicher Raum","Ostdeutschland","18.13","0","3415","10.96","25.3"
"1993","Laendlicher Raum","Westdeutschland","171.77","0","2704","133.66","209.88"
"1993","Staedtischer Raum","Ostdeutschland","111.76","0","1752","75.53","147.99"
"1993","Staedtischer Raum","Westdeutschland","150.69","0","9657","130.01","171.37"
"1994","Laendlicher Raum","Ostdeutschland","24.2","0","3312","16.62","31.78"
"1994","Laendlicher Raum","Westdeutschland","215.46","0","2685","165.49","265.43"
"1994","Staedtischer Raum","Ostdeutschland","50.63","0","1720","32.25","69.01"
"1994","Staedtischer Raum","Westdeutschland","173.45","0","9421","148.14","198.76"
"1995","Laendlicher Raum","Ostdeutschland","88.29","0","3283","60.8","115.78"
"1995","Laendlicher Raum","Westdeutschland","243.99","0","2921","198.25","289.73"
"1995","Staedtischer Raum","Ostdeutschland","73.72","0","1578","51.09","96.35"
"1995","Staedtischer Raum","Westdeutschland","189.82","0","9930","166.37","213.27"
"1996","Laendlicher Raum","Ostdeutschland","107.48","0","3195","78.59","136.37"
"1996","Laendlicher Raum","Westdeutschland","200.01","0","2879","161.24","238.78"
"1996","Staedtischer Raum","Ostdeutschland","65.7","0","1602","46.47","84.93"
"1996","Staedtischer Raum","Westdeutschland","182.57","0","9663","155.13","210.01"
"1997","Laendlicher Raum","Ostdeutschland","79.9","0","3137","65.58","94.22"
"1997","Laendlicher Raum","Westdeutschland","232.36","0","2836","183","281.72"
"1997","Staedtischer Raum","Ostdeutschland","125","0","1546","82.65","167.35"
"1997","Staedtischer Raum","Westdeutschland","190.03","0","9487","168.36","211.7"
"1998","Laendlicher Raum","Ostdeutschland","59.1","0","3349","44.27","73.93"
"1998","Laendlicher Raum","Westdeutschland","181.96","0","3270","138.78","225.14"
"1998","Staedtischer Raum","Ostdeutschland","114.77","0","1585","78.42","151.12"
"1998","Staedtischer Raum","Westdeutschland","159.03","0","10552","138.19","179.87"
"1999","Laendlicher Raum","Ostdeutschland","75.08","0","3228","58.51","91.65"
"1999","Laendlicher Raum","Westdeutschland","188.65","0","3143","145.49","231.81"
"1999","Staedtischer Raum","Ostdeutschland","274.16","0","1543","216.27","332.05"
"1999","Staedtischer Raum","Westdeutschland","195.58","0","10074","171.29","219.87"
"2000","Laendlicher Raum","Ostdeutschland","112.16","0","5019","83.74","140.58"
"2000","Laendlicher Raum","Westdeutschland","196.05","0","6130","164.18","227.92"
"2000","Staedtischer Raum","Ostdeutschland","217.26","0","2338","181.44","253.08"
"2000","Staedtischer Raum","Westdeutschland","194.31","0","18320","173.46","215.16"
"2001","Laendlicher Raum","Ostdeutschland","88.63","0","4564","67.2","110.06"
"2001","Laendlicher Raum","Westdeutschland","160.86","0","5412","134.13","187.59"
"2001","Staedtischer Raum","Ostdeutschland","282.38","0","2174","239.24","325.52"
"2001","Staedtischer Raum","Westdeutschland","190.94","0","16578","171.84","210.04"
"2002","Laendlicher Raum","Ostdeutschland","109.45","0","4521","90.47","128.43"
"2002","Laendlicher Raum","Westdeutschland","161.37","0","5602","132.39","190.35"
"2002","Staedtischer Raum","Ostdeutschland","251.05","0","2183","209.24","292.86"
"2002","Staedtischer Raum","Westdeutschland","202.64","0","17810","184.46","220.82"
"2003","Laendlicher Raum","Ostdeutschland","99.05","0","4413","84.03","114.07"
"2003","Laendlicher Raum","Westdeutschland","177.46","0","5227","147.95","206.97"
"2003","Staedtischer Raum","Ostdeutschland","270.41","0","2134","194.2","346.62"
"2003","Staedtischer Raum","Westdeutschland","204.81","0","17018","184.12","225.5"
"2004","Laendlicher Raum","Ostdeutschland","122.37","0","4261","98.16","146.58"
"2004","Laendlicher Raum","Westdeutschland","133","0","5105","105.64","160.36"
"2004","Staedtischer Raum","Ostdeutschland","238.16","0","2117","185.13","291.19"
"2004","Staedtischer Raum","Westdeutschland","218.21","0","16448","198.16","238.26"
"2005","Laendlicher Raum","Ostdeutschland","120.38","0","4100","99.41","141.35"
"2005","Laendlicher Raum","Westdeutschland","141.02","0","4854","110.21","171.83"
"2005","Staedtischer Raum","Ostdeutschland","280.91","0","2051","224.4","337.42"
"2005","Staedtischer Raum","Westdeutschland","267.35","0","15701","245.77","288.93"
"2006","Laendlicher Raum","Ostdeutschland","88.7","0","4391","65.83","111.57"
"2006","Laendlicher Raum","Westdeutschland","149.36","0","5462","123.05","175.67"
"2006","Staedtischer Raum","Ostdeutschland","156.25","0","2149","63.12","249.38"
"2006","Staedtischer Raum","Westdeutschland","261.27","0","16666","237.89","284.65"
"2007","Laendlicher Raum","Ostdeutschland","105.49","0","4102","85.54","125.44"
"2007","Laendlicher Raum","Westdeutschland","173.86","0","5061","143.52","204.2"
"2007","Staedtischer Raum","Ostdeutschland","226.84","0","2022","172.26","281.42"
"2007","Staedtischer Raum","Westdeutschland","278.48","0","15433","248.16","308.8"
"2008","Laendlicher Raum","Ostdeutschland","140.41","0","3867","112.76","168.06"
"2008","Laendlicher Raum","Westdeutschland","215.08","0","4696","178.84","251.32"
"2008","Staedtischer Raum","Ostdeutschland","302.56","0","1954","243.12","362"
"2008","Staedtischer Raum","Westdeutschland","244.25","0","14360","214.65","273.85"
"2009","Laendlicher Raum","Ostdeutschland","149.91","0","3722","122.98","176.84"
"2009","Laendlicher Raum","Westdeutschland","136.79","0","4460","109.15","164.43"
"2009","Staedtischer Raum","Ostdeutschland","206.95","0","1860","156.82","257.08"
"2009","Staedtischer Raum","Westdeutschland","233.86","0","13179","204.91","262.81"
"2010","Laendlicher Raum","Ostdeutschland","198.74","0","5197","156.72","240.76"
"2010","Laendlicher Raum","Westdeutschland","263.53","0","7945","217.52","309.54"
"2010","Staedtischer Raum","Ostdeutschland","396.67","0","2733","315.72","477.62"
"2010","Staedtischer Raum","Westdeutschland","357.56","0","21593","319.83","395.29"
"2011","Laendlicher Raum","Ostdeutschland","165.56","0","5936","124.88","206.24"
"2011","Laendlicher Raum","Westdeutschland","286.97","0","9885","245.17","328.77"
"2011","Staedtischer Raum","Ostdeutschland","324.39","0","3210","265.74","383.04"
"2011","Staedtischer Raum","Westdeutschland","317.69","0","24970","284.17","351.21"
"2012","Laendlicher Raum","Ostdeutschland","212.55","0","5795","173.79","251.31"
"2012","Laendlicher Raum","Westdeutschland","266.76","0","9660","227.33","306.19"
"2012","Staedtischer Raum","Ostdeutschland","283.88","0","3075","235.6","332.16"
"2012","Staedtischer Raum","Westdeutschland","293.31","0","23876","262.21","324.41"
"2013","Laendlicher Raum","Ostdeutschland","198.3","0","5702","158.31","238.29"
"2013","Laendlicher Raum","Westdeutschland","331.04","0","10450","278.6","383.48"
"2013","Staedtischer Raum","Ostdeutschland","325.59","0","3134","265.71","385.47"
"2013","Staedtischer Raum","Westdeutschland","301.72","0","28379","271.21","332.23"
"2014","Laendlicher Raum","Ostdeutschland","163.45","0","5192","126.94","199.96"
"2014","Laendlicher Raum","Westdeutschland","295.99","0","9172","257.36","334.62"
"2014","Staedtischer Raum","Ostdeutschland","324.89","0","2830","228.89","420.89"
"2014","Staedtischer Raum","Westdeutschland","271.36","0","24313","247.3","295.42"
"2015","Laendlicher Raum","Ostdeutschland","258.45","0","4945","212.24","304.66"
"2015","Laendlicher Raum","Westdeutschland","343.7","0","9179","303.66","383.74"
"2015","Staedtischer Raum","Ostdeutschland","258.25","0","2778","209.26","307.24"
"2015","Staedtischer Raum","Westdeutschland","309.79","0","24150","282.83","336.75"
"2016","Laendlicher Raum","Ostdeutschland","321.37","0","4616","272.5","370.24"
"2016","Laendlicher Raum","Westdeutschland","271.4","0","8166","234.03","308.77"
"2016","Staedtischer Raum","Ostdeutschland","343.88","0","2539","279.89","407.87"
"2016","Staedtischer Raum","Westdeutschland","294.99","0","21469","263.6","326.38"
"2017","Laendlicher Raum","Ostdeutschland","276.21","0","5574","212.77","339.65"
"2017","Laendlicher Raum","Westdeutschland","316.57","0","9617","270.76","362.38"
"2017","Staedtischer Raum","Ostdeutschland","271.71","0","3075","209.63","333.79"
"2017","Staedtischer Raum","Westdeutschland","349.83","0","26381","319.7","379.96"
"2018","Laendlicher Raum","Ostdeutschland","350.36","0","5639","306.01","394.71"
"2018","Laendlicher Raum","Westdeutschland","267.03","0","9713","228.03","306.03"
"2018","Staedtischer Raum","Ostdeutschland","383.85","0","3334","315.97","451.73"
"2018","Staedtischer Raum","Westdeutschland","382.25","0","27800","348.96","415.54"
"2019","Laendlicher Raum","Ostdeutschland","364.98","0","5877","320.64","409.32"
"2019","Laendlicher Raum","Westdeutschland","330.05","0","9618","270.92","389.18"
"2019","Staedtischer Raum","Ostdeutschland","351.88","0","3367","290.78","412.98"
"2019","Staedtischer Raum","Westdeutschland","369.08","0","27849","345.57","392.59"
"2020","Laendlicher Raum","Ostdeutschland","314.11","0","5528","265.25","362.97"
"2020","Laendlicher Raum","Westdeutschland","289.53","0","9668","254.69","324.37"
"2020","Staedtischer Raum","Ostdeutschland","352.78","0","3266","291.11","414.45"
"2020","Staedtischer Raum","Westdeutschland","388.07","0","28088","364.86","411.28"
