year,age_gr,bula_h,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,30-45 y.,Lower Saxony,No,0.55227,379,665,0.51445,0.59009
2002,30-45 y.,North Rhine-Westphalia,Yes,0.40690,644,1584,0.38270,0.43110
2002,30-45 y.,North Rhine-Westphalia,No,0.59310,940,1584,0.56890,0.61730
2002,30-45 y.,Hesse,Yes,0.38867,220,558,0.34819,0.42915
2002,30-45 y.,Hesse,No,0.61133,338,558,0.57085,0.65181
2002,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.43630,201,468,0.39132,0.48127
2002,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.55868,267,468,0.51365,0.60372
2002,30-45 y.,Baden-Wuerttemberg,Yes,0.37098,366,1010,0.34117,0.40079
2002,30-45 y.,Baden-Wuerttemberg,No,0.62813,644,1010,0.59831,0.65795
2002,30-45 y.,Bavaria,Yes,0.34834,365,1094,0.32010,0.37659
2002,30-45 y.,Bavaria,No,0.65166,729,1094,0.62341,0.67990
2002,30-45 y.,Berlin,Yes,0.42560,107,254,0.36467,0.48652
2002,30-45 y.,Berlin,No,0.57440,147,254,0.51348,0.63533
2002,30-45 y.,Brandenburg,Yes,0.40111,94,263,0.34176,0.46046
2002,30-45 y.,Brandenburg,No,0.59889,169,263,0.53954,0.65824
2002,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.43156,61,155,0.35333,0.50979
2002,30-45 y.,Mecklenburg-Western Pomerania,No,0.56387,94,155,0.48554,0.64219
2002,30-45 y.,Saxony,Yes,0.37364,179,512,0.33170,0.41559
2002,30-45 y.,Saxony,No,0.62636,333,512,0.58441,0.66830
2002,30-45 y.,Saxony-Anhalt,Yes,0.43515,104,259,0.37465,0.49564
2002,30-45 y.,Saxony-Anhalt,No,0.56485,155,259,0.50436,0.62535
2002,30-45 y.,Thuringa,Yes,0.42732,108,278,0.36906,0.48557
2002,30-45 y.,Thuringa,No,0.57268,170,278,0.51443,0.63094
2002,46-65 y.,Schleswig-Holstein,Yes,0.33168,86,270,0.27541,0.38794
2002,46-65 y.,Schleswig-Holstein,No,0.66832,184,270,0.61206,0.72459
2002,46-65 y.,Hamburg,Yes,0.32622,41,141,0.24856,0.40388
2002,46-65 y.,Hamburg,No,0.67378,100,141,0.59612,0.75144
2002,46-65 y.,Lower Saxony,Yes,0.26801,171,635,0.23353,0.30248
2002,46-65 y.,Lower Saxony,No,0.73199,464,635,0.69752,0.76647
2002,46-65 y.,Bremen,No,0.64771,41,41,0.49968,0.79575
2002,46-65 y.,North Rhine-Westphalia,Yes,0.33435,528,1715,0.31201,0.35668
2002,46-65 y.,North Rhine-Westphalia,No,0.66470,1187,1715,0.64235,0.68705
2002,46-65 y.,Hesse,Yes,0.31505,157,561,0.27657,0.35352
2002,46-65 y.,Hesse,No,0.68495,404,561,0.64648,0.72343
2002,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.29596,123,434,0.25297,0.33896
2002,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.70404,311,434,0.66104,0.74703
2002,46-65 y.,Baden-Wuerttemberg,Yes,0.23971,204,872,0.21136,0.26806
2002,46-65 y.,Baden-Wuerttemberg,No,0.76029,668,872,0.73194,0.78864
2002,46-65 y.,Bavaria,Yes,0.29691,304,1087,0.26974,0.32409
2002,46-65 y.,Bavaria,No,0.70194,783,1087,0.67473,0.72914
2002,46-65 y.,Berlin,Yes,0.45716,122,302,0.40088,0.51344
2002,46-65 y.,Berlin,No,0.54077,180,302,0.48447,0.59707
2002,46-65 y.,Brandenburg,Yes,0.24773,76,331,0.20116,0.29431
2002,46-65 y.,Brandenburg,No,0.75227,255,331,0.70569,0.79884
2002,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.27044,44,185,0.20626,0.33463
2002,46-65 y.,Mecklenburg-Western Pomerania,No,0.72956,141,185,0.66537,0.79374
2002,46-65 y.,Saxony,Yes,0.24355,129,549,0.20761,0.27949
2002,46-65 y.,Saxony,No,0.75645,420,549,0.72051,0.79239
2002,46-65 y.,Saxony-Anhalt,Yes,0.31724,109,367,0.26956,0.36492
2002,46-65 y.,Saxony-Anhalt,No,0.68276,258,367,0.63508,0.73044
2002,46-65 y.,Thuringa,Yes,0.24786,87,338,0.20176,0.29396
2002,46-65 y.,Thuringa,No,0.75214,251,338,0.70604,0.79824
2002,66 and older,Schleswig-Holstein,No,0.80625,107,107,0.73100,0.88149
2002,66 and older,Hamburg,No,0.81718,36,36,0.68912,0.94523
2002,66 and older,Lower Saxony,Yes,0.12552,44,325,0.08945,0.16160
2002,66 and older,Lower Saxony,No,0.87448,281,325,0.83840,0.91055
2002,66 and older,North Rhine-Westphalia,Yes,0.12815,100,747,0.10416,0.15214
2002,66 and older,North Rhine-Westphalia,No,0.87185,647,747,0.84786,0.89584
2002,66 and older,Hesse,No,0.91149,217,217,0.87361,0.94937
2002,66 and older,"Rhineland-Palatinate, Saarland",No,0.88950,222,222,0.84817,0.93084
2002,66 and older,Baden-Wuerttemberg,Yes,0.06898,35,378,0.04340,0.09456
2002,66 and older,Baden-Wuerttemberg,No,0.93102,343,378,0.90544,0.95660
2002,66 and older,Bavaria,Yes,0.08666,42,500,0.06197,0.11134
2002,66 and older,Bavaria,No,0.91334,458,500,0.88866,0.93803
2002,66 and older,Berlin,No,0.87324,91,91,0.80450,0.94198
2002,66 and older,Brandenburg,No,0.92851,162,162,0.88871,0.96831
2002,66 and older,Mecklenburg-Western Pomerania,No,0.88563,69,69,0.80999,0.96128
2002,66 and older,Saxony,No,0.96485,264,264,0.94259,0.98711
2002,66 and older,Saxony-Anhalt,No,0.89361,144,144,0.84307,0.94415
2002,66 and older,Thuringa,No,0.92396,129,129,0.87804,0.96988
2004,17-29 y.,Schleswig-Holstein,Yes,0.50884,49,114,0.41667,0.60102
2004,17-29 y.,Schleswig-Holstein,No,0.49116,65,114,0.39898,0.58333
2004,17-29 y.,Hamburg,No,0.67041,41,41,0.52474,0.81608
2004,17-29 y.,Lower Saxony,Yes,0.40212,113,332,0.34930,0.45494
2004,17-29 y.,Lower Saxony,No,0.59788,219,332,0.54506,0.65070
2004,17-29 y.,North Rhine-Westphalia,Yes,0.37807,292,757,0.34350,0.41263
2004,17-29 y.,North Rhine-Westphalia,No,0.61834,465,757,0.58371,0.65297
2004,17-29 y.,Hesse,Yes,0.37888,79,241,0.31750,0.44025
2004,17-29 y.,Hesse,No,0.62112,162,241,0.55975,0.68250
2004,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.40205,85,217,0.33666,0.46744
2004,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.58170,132,217,0.51592,0.64748
2004,17-29 y.,Baden-Wuerttemberg,Yes,0.33875,169,503,0.29734,0.38015
2004,17-29 y.,Baden-Wuerttemberg,No,0.65818,334,503,0.61668,0.69967
2004,17-29 y.,Bavaria,Yes,0.34172,185,555,0.30223,0.38121
2004,17-29 y.,Bavaria,No,0.65828,370,555,0.61879,0.69777
2004,17-29 y.,Berlin,Yes,0.49474,77,181,0.42170,0.56779
2004,17-29 y.,Berlin,No,0.50526,104,181,0.43221,0.57830
2004,17-29 y.,Brandenburg,Yes,0.48482,73,167,0.40879,0.56085
2004,17-29 y.,Brandenburg,No,0.51518,94,167,0.43915,0.59121
2004,17-29 y.,Mecklenburg-Western Pomerania,Yes,0.41727,44,95,0.31758,0.51695
2004,17-29 y.,Mecklenburg-Western Pomerania,No,0.58273,51,95,0.48305,0.68242
2004,17-29 y.,Saxony,Yes,0.40024,119,316,0.34613,0.45435
2004,17-29 y.,Saxony,No,0.59810,197,316,0.54396,0.65224
2004,17-29 y.,Saxony-Anhalt,Yes,0.38701,89,186,0.31682,0.45719
2004,17-29 y.,Saxony-Anhalt,No,0.61299,97,186,0.54281,0.68318
2004,17-29 y.,Thuringa,Yes,0.46560,93,208,0.39765,0.53355
2004,17-29 y.,Thuringa,No,0.53190,115,208,0.46392,0.59988
2004,30-45 y.,Schleswig-Holstein,Yes,0.37402,60,169,0.30085,0.44719
2004,30-45 y.,Schleswig-Holstein,No,0.62598,109,169,0.55281,0.69915
2004,30-45 y.,Hamburg,No,0.55898,50,50,0.41996,0.69800
2004,30-45 y.,Lower Saxony,Yes,0.39292,232,596,0.35368,0.43217
2004,30-45 y.,Lower Saxony,No,0.60173,364,596,0.56240,0.64107
2004,30-45 y.,North Rhine-Westphalia,Yes,0.41681,573,1392,0.39090,0.44272
2004,30-45 y.,North Rhine-Westphalia,No,0.57883,819,1392,0.55289,0.60478
2004,30-45 y.,Hesse,Yes,0.36260,177,467,0.31895,0.40625
2004,30-45 y.,Hesse,No,0.63740,290,467,0.59375,0.68105
2004,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.40818,168,420,0.36111,0.45524
2004,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.58584,252,420,0.53867,0.63300
2004,30-45 y.,Baden-Wuerttemberg,Yes,0.38266,309,886,0.35063,0.41468
2004,30-45 y.,Baden-Wuerttemberg,No,0.61734,577,886,0.58532,0.64937
2004,30-45 y.,Bavaria,Yes,0.33937,303,958,0.30937,0.36937
2004,30-45 y.,Bavaria,No,0.66063,655,958,0.63063,0.69063
2004,30-45 y.,Berlin,Yes,0.43659,91,224,0.37149,0.50169
2004,30-45 y.,Berlin,No,0.55633,133,224,0.49112,0.62154
2004,30-45 y.,Brandenburg,Yes,0.40910,78,208,0.34212,0.47608
2004,30-45 y.,Brandenburg,No,0.59090,130,208,0.52392,0.65788
2004,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.36549,55,145,0.28684,0.44415
2004,30-45 y.,Mecklenburg-Western Pomerania,No,0.60647,90,145,0.52667,0.68626
2004,30-45 y.,Saxony,Yes,0.35586,148,445,0.31133,0.40040
2004,30-45 y.,Saxony,No,0.63807,297,445,0.59337,0.68277
2004,30-45 y.,Saxony-Anhalt,Yes,0.41491,88,214,0.34874,0.48107
2004,30-45 y.,Saxony-Anhalt,No,0.58509,126,214,0.51893,0.65126
2004,30-45 y.,Thuringa,Yes,0.40494,94,264,0.34562,0.46427
2004,30-45 y.,Thuringa,No,0.59506,170,264,0.53573,0.65438
2004,46-65 y.,Schleswig-Holstein,Yes,0.32557,79,259,0.26839,0.38274
2004,46-65 y.,Schleswig-Holstein,No,0.67443,180,259,0.61726,0.73161
2004,46-65 y.,Hamburg,Yes,0.41831,38,122,0.33042,0.50621
2004,46-65 y.,Hamburg,No,0.58169,84,122,0.49379,0.66958
2004,46-65 y.,Lower Saxony,Yes,0.30800,173,594,0.27084,0.34516
2004,46-65 y.,Lower Saxony,No,0.69024,421,594,0.65303,0.72746
2004,46-65 y.,Bremen,No,0.64060,36,36,0.48164,0.79957
2004,46-65 y.,North Rhine-Westphalia,Yes,0.31858,478,1568,0.29551,0.34165
2004,46-65 y.,North Rhine-Westphalia,No,0.67888,1090,1568,0.65577,0.70200
2004,46-65 y.,Hesse,Yes,0.29331,134,511,0.25380,0.33282
2004,46-65 y.,Hesse,No,0.70210,377,511,0.66241,0.74179
2004,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.32903,123,406,0.28327,0.37479
2004,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.66915,283,406,0.62332,0.71497
2004,46-65 y.,Baden-Wuerttemberg,Yes,0.25989,207,834,0.23011,0.28968
2004,46-65 y.,Baden-Wuerttemberg,No,0.73803,627,834,0.70817,0.76789
2004,46-65 y.,Bavaria,Yes,0.30264,282,1012,0.27432,0.33096
2004,46-65 y.,Bavaria,No,0.68978,730,1012,0.66127,0.71830
2004,46-65 y.,Berlin,Yes,0.39986,97,280,0.34238,0.45734
2004,46-65 y.,Berlin,No,0.60014,183,280,0.54266,0.65762
2004,46-65 y.,Brandenburg,Yes,0.28087,86,340,0.23303,0.32872
2004,46-65 y.,Brandenburg,No,0.71913,254,340,0.67128,0.76697
2004,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.24101,35,183,0.17887,0.30315
2004,46-65 y.,Mecklenburg-Western Pomerania,No,0.75899,148,183,0.69685,0.82113
2004,46-65 y.,Saxony,Yes,0.23382,113,526,0.19762,0.27003
2004,46-65 y.,Saxony,No,0.76561,413,526,0.72938,0.80185
2004,46-65 y.,Saxony-Anhalt,Yes,0.29354,99,348,0.24563,0.34146
2004,46-65 y.,Saxony-Anhalt,No,0.69975,249,348,0.65153,0.74798
2004,46-65 y.,Thuringa,Yes,0.25577,81,309,0.20704,0.30450
2004,46-65 y.,Thuringa,No,0.74125,228,309,0.69234,0.79016
2004,66 and older,Schleswig-Holstein,No,0.88977,112,112,0.83151,0.94803
2004,66 and older,Hamburg,No,0.77114,33,33,0.62558,0.91669
2004,66 and older,Lower Saxony,Yes,0.12166,44,358,0.08775,0.15557
2004,66 and older,Lower Saxony,No,0.87703,314,358,0.84296,0.91110
2004,66 and older,Bremen,No,0.88991,31,31,0.77790,1.00191
2004,66 and older,North Rhine-Westphalia,Yes,0.10917,103,806,0.08762,0.13071
2004,66 and older,North Rhine-Westphalia,No,0.88316,703,806,0.86097,0.90535
2004,66 and older,Hesse,No,0.87473,192,192,0.82778,0.92167
2004,66 and older,"Rhineland-Palatinate, Saarland",No,0.86524,228,228,0.82082,0.90967
2004,66 and older,Baden-Wuerttemberg,Yes,0.06201,34,380,0.03773,0.08629
2004,66 and older,Baden-Wuerttemberg,No,0.93444,346,380,0.90952,0.95936
2004,66 and older,Bavaria,Yes,0.10441,48,515,0.07798,0.13085
2004,66 and older,Bavaria,No,0.89313,467,515,0.86642,0.91984
2004,66 and older,Berlin,No,0.82032,98,98,0.74391,0.89672
2004,66 and older,Brandenburg,No,0.92629,175,175,0.88746,0.96511
2004,66 and older,Mecklenburg-Western Pomerania,No,0.82690,72,72,0.73890,0.91491
2004,66 and older,Saxony,No,0.90877,258,258,0.87356,0.94397
2004,66 and older,Saxony-Anhalt,No,0.88378,156,156,0.83332,0.93423
2004,66 and older,Thuringa,No,0.90851,145,145,0.86142,0.95560
2006,17-29 y.,Schleswig-Holstein,Yes,0.52426,49,111,0.43093,0.61759
2006,17-29 y.,Schleswig-Holstein,No,0.44490,62,111,0.35203,0.53777
2006,17-29 y.,Hamburg,No,0.72292,49,49,0.59631,0.84954
2006,17-29 y.,Lower Saxony,Yes,0.35194,116,321,0.29961,0.40426
2006,17-29 y.,Lower Saxony,No,0.57339,205,321,0.51920,0.62758
2006,17-29 y.,North Rhine-Westphalia,Yes,0.38830,274,682,0.35170,0.42491
2006,17-29 y.,North Rhine-Westphalia,No,0.54203,408,682,0.50461,0.57945
2006,17-29 y.,Hesse,Yes,0.39621,81,215,0.33068,0.46174
2006,17-29 y.,Hesse,No,0.52514,134,215,0.45824,0.59205
2006,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.36398,74,206,0.29812,0.42985
2006,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.55348,132,206,0.48542,0.62153
2006,17-29 y.,Baden-Wuerttemberg,Yes,0.32744,165,506,0.28651,0.36837
2006,17-29 y.,Baden-Wuerttemberg,No,0.62230,341,506,0.58001,0.66458
2006,17-29 y.,Bavaria,Yes,0.38965,202,521,0.34774,0.43157
2006,17-29 y.,Bavaria,No,0.57601,319,521,0.53353,0.61849
2006,17-29 y.,Berlin,Yes,0.38150,57,148,0.30298,0.46003
2006,17-29 y.,Berlin,No,0.57913,91,148,0.49932,0.65894
2006,17-29 y.,Brandenburg,Yes,0.53606,86,157,0.45780,0.61432
2006,17-29 y.,Brandenburg,No,0.38872,71,157,0.31223,0.46522
2006,17-29 y.,Mecklenburg-Western Pomerania,Yes,0.42033,42,89,0.31719,0.52346
2006,17-29 y.,Mecklenburg-Western Pomerania,No,0.46714,47,89,0.36290,0.57138
2006,17-29 y.,Saxony,Yes,0.32136,103,291,0.26761,0.37511
2006,17-29 y.,Saxony,No,0.59382,188,291,0.53730,0.65035
2006,17-29 y.,Saxony-Anhalt,Yes,0.32123,78,181,0.25301,0.38944
2006,17-29 y.,Saxony-Anhalt,No,0.61508,103,181,0.54400,0.68616
2006,17-29 y.,Thuringa,Yes,0.39139,68,160,0.31552,0.46725
2006,17-29 y.,Thuringa,No,0.53816,92,160,0.46067,0.61566
2006,30-45 y.,Schleswig-Holstein,Yes,0.40468,61,168,0.33023,0.47912
2006,30-45 y.,Schleswig-Holstein,No,0.59532,107,168,0.52088,0.66977
2006,30-45 y.,Hamburg,No,0.53692,39,39,0.37838,0.69546
2006,30-45 y.,Lower Saxony,Yes,0.40210,217,580,0.36216,0.44204
2006,30-45 y.,Lower Saxony,No,0.59341,363,580,0.55340,0.63342
2006,30-45 y.,North Rhine-Westphalia,Yes,0.40239,528,1343,0.37616,0.42863
2006,30-45 y.,North Rhine-Westphalia,No,0.59589,815,1343,0.56963,0.62214
2006,30-45 y.,Hesse,Yes,0.38577,167,468,0.34162,0.42992
2006,30-45 y.,Hesse,No,0.61423,301,468,0.57008,0.65838
2006,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.39376,150,376,0.34431,0.44321
2006,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.59790,226,376,0.54827,0.64752
2006,30-45 y.,Baden-Wuerttemberg,Yes,0.37754,289,856,0.34505,0.41004
2006,30-45 y.,Baden-Wuerttemberg,No,0.62046,567,856,0.58793,0.65299
2006,30-45 y.,Bavaria,Yes,0.32410,288,953,0.29437,0.35383
2006,30-45 y.,Bavaria,No,0.67590,665,953,0.64617,0.70563
2006,30-45 y.,Berlin,Yes,0.47153,78,187,0.39979,0.54328
2006,30-45 y.,Berlin,No,0.52203,109,187,0.45024,0.59381
2006,30-45 y.,Brandenburg,Yes,0.32864,72,226,0.26726,0.39002
2006,30-45 y.,Brandenburg,No,0.66895,154,226,0.60746,0.73044
2006,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.42491,61,147,0.34472,0.50510
2006,30-45 y.,Mecklenburg-Western Pomerania,No,0.51492,86,147,0.43385,0.59599
2006,30-45 y.,Saxony,Yes,0.33653,123,400,0.29016,0.38289
2006,30-45 y.,Saxony,No,0.66347,277,400,0.61711,0.70984
2006,30-45 y.,Saxony-Anhalt,Yes,0.41258,90,211,0.34600,0.47917
2006,30-45 y.,Saxony-Anhalt,No,0.58742,121,211,0.52083,0.65400
2006,30-45 y.,Thuringa,Yes,0.37574,89,256,0.31629,0.43518
2006,30-45 y.,Thuringa,No,0.62426,167,256,0.56482,0.68371
2006,46-65 y.,Schleswig-Holstein,Yes,0.29236,66,248,0.23564,0.34908
2006,46-65 y.,Schleswig-Holstein,No,0.70764,182,248,0.65092,0.76436
2006,46-65 y.,Hamburg,Yes,0.37862,32,111,0.28798,0.46927
2006,46-65 y.,Hamburg,No,0.60937,79,111,0.51819,0.70055
2006,46-65 y.,Lower Saxony,Yes,0.31135,191,630,0.27516,0.34754
2006,46-65 y.,Lower Saxony,No,0.68865,439,630,0.65246,0.72484
2006,46-65 y.,Bremen,No,0.65414,37,37,0.49876,0.80952
2006,46-65 y.,North Rhine-Westphalia,Yes,0.33300,472,1576,0.30972,0.35627
2006,46-65 y.,North Rhine-Westphalia,No,0.66700,1104,1576,0.64373,0.69028
2006,46-65 y.,Hesse,Yes,0.32008,140,521,0.27998,0.36018
2006,46-65 y.,Hesse,No,0.67992,381,521,0.63982,0.72002
2006,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.31507,128,429,0.27106,0.35908
2006,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.68057,301,429,0.63640,0.72474
2006,46-65 y.,Baden-Wuerttemberg,Yes,0.27256,213,863,0.24283,0.30228
2006,46-65 y.,Baden-Wuerttemberg,No,0.72744,650,863,0.69772,0.75717
2006,46-65 y.,Bavaria,Yes,0.30961,301,1083,0.28206,0.33716
2006,46-65 y.,Bavaria,No,0.69039,782,1083,0.66284,0.71794
2006,46-65 y.,Berlin,Yes,0.37309,100,309,0.31908,0.42711
2006,46-65 y.,Berlin,No,0.62691,209,309,0.57289,0.68092
2006,46-65 y.,Brandenburg,Yes,0.32517,91,335,0.27493,0.37541
2006,46-65 y.,Brandenburg,No,0.67483,244,335,0.62459,0.72507
2006,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.31128,54,199,0.24679,0.37578
2006,46-65 y.,Mecklenburg-Western Pomerania,No,0.68872,145,199,0.62422,0.75321
2006,46-65 y.,Saxony,Yes,0.25639,133,565,0.22035,0.29242
2006,46-65 y.,Saxony,No,0.74361,432,565,0.70758,0.77965
2006,46-65 y.,Saxony-Anhalt,Yes,0.31311,103,326,0.26269,0.36353
2006,46-65 y.,Saxony-Anhalt,No,0.68283,223,326,0.63223,0.73342
2006,46-65 y.,Thuringa,Yes,0.26347,80,323,0.21535,0.31158
2006,46-65 y.,Thuringa,No,0.73653,243,323,0.68842,0.78465
2006,66 and older,Schleswig-Holstein,No,0.84761,127,127,0.78485,0.91036
2006,66 and older,Hamburg,No,0.79750,52,52,0.68720,0.90779
2006,66 and older,Lower Saxony,Yes,0.09380,40,428,0.06615,0.12146
2006,66 and older,Lower Saxony,No,0.90283,388,428,0.87474,0.93093
2006,66 and older,North Rhine-Westphalia,Yes,0.12452,126,942,0.10342,0.14562
2006,66 and older,North Rhine-Westphalia,No,0.87397,816,942,0.85277,0.89518
2006,66 and older,Hesse,Yes,0.12909,35,277,0.08953,0.16865
2006,66 and older,Hesse,No,0.87091,242,277,0.83135,0.91047
2006,66 and older,"Rhineland-Palatinate, Saarland",No,0.88386,248,248,0.84391,0.92382
2006,66 and older,Baden-Wuerttemberg,Yes,0.10292,56,489,0.07596,0.12988
2006,66 and older,Baden-Wuerttemberg,No,0.89708,433,489,0.87012,0.92404
2006,66 and older,Bavaria,Yes,0.09116,55,580,0.06772,0.11461
2006,66 and older,Bavaria,No,0.90593,525,580,0.88215,0.92971
2006,66 and older,Berlin,No,0.82280,113,113,0.75208,0.89352
2006,66 and older,Brandenburg,No,0.93847,203,203,0.90533,0.97161
2006,66 and older,Mecklenburg-Western Pomerania,No,0.90991,102,102,0.85408,0.96575
2006,66 and older,Saxony,No,0.94058,305,305,0.91400,0.96715
2006,66 and older,Saxony-Anhalt,No,0.86031,167,167,0.80757,0.91305
2006,66 and older,Thuringa,No,0.94505,194,194,0.91290,0.97720
2008,17-29 y.,Schleswig-Holstein,Yes,0.35998,32,88,0.25912,0.46084
2008,17-29 y.,Schleswig-Holstein,No,0.53491,56,88,0.43010,0.63972
2008,17-29 y.,Hamburg,No,0.64218,41,41,0.49362,0.79073
2008,17-29 y.,Lower Saxony,Yes,0.34218,84,268,0.28527,0.39909
2008,17-29 y.,Lower Saxony,No,0.57161,184,268,0.51225,0.63097
2008,17-29 y.,North Rhine-Westphalia,Yes,0.34852,213,601,0.31039,0.38665
2008,17-29 y.,North Rhine-Westphalia,No,0.57838,388,601,0.53887,0.61790
2008,17-29 y.,Hesse,Yes,0.33479,72,194,0.26821,0.40137
2008,17-29 y.,Hesse,No,0.57859,122,194,0.50893,0.64826
2008,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.26800,45,164,0.20000,0.33600
2008,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.63029,119,164,0.55619,0.70440
2008,17-29 y.,Baden-Wuerttemberg,Yes,0.31238,128,447,0.26936,0.35539
2008,17-29 y.,Baden-Wuerttemberg,No,0.61509,319,447,0.56993,0.66024
2008,17-29 y.,Bavaria,Yes,0.32766,151,425,0.28299,0.37234
2008,17-29 y.,Bavaria,No,0.58721,274,425,0.54034,0.63407
2008,17-29 y.,Berlin,Yes,0.40406,56,137,0.32158,0.48653
2008,17-29 y.,Berlin,No,0.53711,81,137,0.45331,0.62092
2008,17-29 y.,Brandenburg,Yes,0.47807,55,122,0.38907,0.56708
2008,17-29 y.,Brandenburg,No,0.48872,67,122,0.39965,0.57779
2008,17-29 y.,Mecklenburg-Western Pomerania,Yes,0.42444,32,74,0.31106,0.53783
2008,17-29 y.,Mecklenburg-Western Pomerania,No,0.52791,42,74,0.41339,0.64243
2008,17-29 y.,Saxony,Yes,0.30053,72,242,0.24264,0.35842
2008,17-29 y.,Saxony,No,0.64687,170,242,0.58652,0.70721
2008,17-29 y.,Saxony-Anhalt,Yes,0.27889,53,150,0.20688,0.35089
2008,17-29 y.,Saxony-Anhalt,No,0.64350,97,150,0.56659,0.72041
2008,17-29 y.,Thuringa,Yes,0.29983,53,157,0.22793,0.37173
2008,17-29 y.,Thuringa,No,0.67646,104,157,0.60305,0.74988
2008,30-45 y.,Schleswig-Holstein,Yes,0.30659,37,129,0.22672,0.38647
2008,30-45 y.,Schleswig-Holstein,No,0.69341,92,129,0.61353,0.77328
2008,30-45 y.,Hamburg,No,0.61208,37,37,0.45291,0.77126
2008,30-45 y.,Lower Saxony,Yes,0.40322,183,488,0.35965,0.44679
2008,30-45 y.,Lower Saxony,No,0.59678,305,488,0.55321,0.64035
2008,30-45 y.,North Rhine-Westphalia,Yes,0.39357,419,1103,0.36473,0.42242
2008,30-45 y.,North Rhine-Westphalia,No,0.60643,684,1103,0.57758,0.63527
2008,30-45 y.,Hesse,Yes,0.35720,124,384,0.30921,0.40519
