year,age_gr,migback,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,46-65 y.,Direct migration background,Yes,0.31021,194,708,0.27611,0.34431
2008,46-65 y.,Direct migration background,No,0.68979,514,708,0.65569,0.72389
2008,46-65 y.,Indirect migration background,No,0.55724,31,31,0.37950,0.73499
2008,66 and older,No migration background,Yes,0.11137,434,3909,0.10151,0.12123
2008,66 and older,No migration background,No,0.88613,3475,3909,0.87618,0.89609
2008,66 and older,Direct migration background,Yes,0.12805,43,368,0.09387,0.16224
2008,66 and older,Direct migration background,No,0.87195,325,368,0.83776,0.90613
2010,17-29 y.,No migration background,Yes,0.28044,671,2045,0.26096,0.29991
2010,17-29 y.,No migration background,No,0.56617,1374,2045,0.54469,0.58766
2010,17-29 y.,Direct migration background,Yes,0.22170,41,131,0.15030,0.29311
2010,17-29 y.,Direct migration background,No,0.39232,90,131,0.30839,0.47626
2010,17-29 y.,Indirect migration background,Yes,0.26228,103,332,0.21489,0.30967
2010,17-29 y.,Indirect migration background,No,0.55920,229,332,0.50571,0.61269
2010,30-45 y.,No migration background,Yes,0.26749,1094,3387,0.25258,0.28240
2010,30-45 y.,No migration background,No,0.51725,2293,3387,0.50042,0.53409
2010,30-45 y.,Direct migration background,Yes,0.22579,153,459,0.18749,0.26408
2010,30-45 y.,Direct migration background,No,0.41793,306,459,0.37276,0.46310
2010,30-45 y.,Indirect migration background,Yes,0.38824,110,256,0.32843,0.44806
2010,30-45 y.,Indirect migration background,No,0.38807,146,256,0.32825,0.44788
2010,46-65 y.,No migration background,Yes,0.31470,1573,5381,0.30229,0.32711
2010,46-65 y.,No migration background,No,0.64680,3808,5381,0.63402,0.65957
2010,46-65 y.,Direct migration background,Yes,0.26643,139,563,0.22988,0.30298
2010,46-65 y.,Direct migration background,No,0.68572,424,563,0.64734,0.72410
2010,46-65 y.,Indirect migration background,No,0.64237,40,40,0.49194,0.79280
2010,66 and older,No migration background,Yes,0.10537,398,3687,0.09546,0.11528
2010,66 and older,No migration background,No,0.89314,3289,3687,0.88316,0.90311
2010,66 and older,Direct migration background,Yes,0.13693,36,315,0.09890,0.17495
2010,66 and older,Direct migration background,No,0.86253,279,315,0.82444,0.90062
2012,17-29 y.,No migration background,Yes,0.26517,719,2296,0.24711,0.28323
2012,17-29 y.,No migration background,No,0.58254,1577,2296,0.56236,0.60272
2012,17-29 y.,Direct migration background,Yes,0.25932,71,220,0.20128,0.31737
2012,17-29 y.,Direct migration background,No,0.55436,149,220,0.48853,0.62019
2012,17-29 y.,Indirect migration background,Yes,0.24232,99,361,0.19806,0.28659
2012,17-29 y.,Indirect migration background,No,0.56177,262,361,0.51051,0.61302
2012,30-45 y.,No migration background,Yes,0.26496,1207,3682,0.25070,0.27921
2012,30-45 y.,No migration background,No,0.54520,2475,3682,0.52912,0.56129
2012,30-45 y.,Direct migration background,Yes,0.25301,176,587,0.21781,0.28821
2012,30-45 y.,Direct migration background,No,0.46323,411,587,0.42286,0.50361
2012,30-45 y.,Indirect migration background,Yes,0.31880,118,309,0.26675,0.37084
2012,30-45 y.,Indirect migration background,No,0.48181,191,309,0.42601,0.53761
2012,46-65 y.,No migration background,Yes,0.30920,2106,6953,0.29834,0.32007
2012,46-65 y.,No migration background,No,0.64293,4847,6953,0.63167,0.65419
2012,46-65 y.,Direct migration background,Yes,0.25030,184,754,0.21936,0.28124
2012,46-65 y.,Direct migration background,No,0.68454,570,754,0.65135,0.71773
2012,46-65 y.,Indirect migration background,No,0.67093,71,71,0.56086,0.78101
2012,66 and older,No migration background,Yes,0.10873,497,4741,0.09987,0.11759
2012,66 and older,No migration background,No,0.88476,4244,4741,0.87567,0.89385
2012,66 and older,Direct migration background,Yes,0.15716,57,413,0.12202,0.19230
2012,66 and older,Direct migration background,No,0.83330,356,413,0.79732,0.86929
2014,17-29 y.,No migration background,Yes,0.26859,851,2659,0.25174,0.28544
2014,17-29 y.,No migration background,No,0.65846,1808,2659,0.64043,0.67649
2014,17-29 y.,Direct migration background,Yes,0.25504,242,791,0.22465,0.28544
2014,17-29 y.,Direct migration background,No,0.71471,549,791,0.68322,0.74620
2014,17-29 y.,Indirect migration background,Yes,0.33869,289,835,0.30657,0.37081
2014,17-29 y.,Indirect migration background,No,0.56308,546,835,0.52941,0.59674
2014,30-45 y.,No migration background,Yes,0.31591,1658,5423,0.30353,0.32828
2014,30-45 y.,No migration background,No,0.68350,3765,5423,0.67112,0.69588
2014,30-45 y.,Direct migration background,Yes,0.33030,768,2386,0.31143,0.34918
2014,30-45 y.,Direct migration background,No,0.66963,1618,2386,0.65075,0.68850
2014,30-45 y.,Indirect migration background,Yes,0.38097,271,702,0.34502,0.41692
2014,30-45 y.,Indirect migration background,No,0.61903,431,702,0.58308,0.65498
2014,46-65 y.,No migration background,Yes,0.32834,2260,7520,0.31773,0.33896
2014,46-65 y.,No migration background,No,0.66891,5260,7520,0.65827,0.67955
2014,46-65 y.,Direct migration background,Yes,0.29171,456,1596,0.26941,0.31402
2014,46-65 y.,Direct migration background,No,0.70230,1140,1596,0.67986,0.72474
2014,46-65 y.,Indirect migration background,Yes,0.19718,47,176,0.13823,0.25613
2014,46-65 y.,Indirect migration background,No,0.80282,129,176,0.74387,0.86177
2014,66 and older,No migration background,Yes,0.11014,489,4493,0.10099,0.11930
2014,66 and older,No migration background,No,0.88740,4004,4493,0.87816,0.89665
2014,66 and older,Direct migration background,Yes,0.15113,76,446,0.11785,0.18441
2014,66 and older,Direct migration background,No,0.84701,370,446,0.81356,0.88045
2016,17-29 y.,No migration background,Yes,0.23008,642,2358,0.21309,0.24707
2016,17-29 y.,No migration background,No,0.68940,1716,2358,0.67072,0.70808
2016,17-29 y.,Direct migration background,Yes,0.24638,224,720,0.21488,0.27788
2016,17-29 y.,Direct migration background,No,0.56889,496,720,0.53270,0.60509
2016,17-29 y.,Indirect migration background,Yes,0.26385,205,713,0.23148,0.29622
2016,17-29 y.,Indirect migration background,No,0.62994,508,713,0.59448,0.66541
2016,30-45 y.,No migration background,Yes,0.30668,1301,4242,0.29280,0.32055
2016,30-45 y.,No migration background,No,0.69111,2941,4242,0.67721,0.70502
2016,30-45 y.,Direct migration background,Yes,0.29652,704,2226,0.27755,0.31550
2016,30-45 y.,Direct migration background,No,0.64346,1522,2226,0.62356,0.66337
2016,30-45 y.,Indirect migration background,Yes,0.34000,213,571,0.30111,0.37888
2016,30-45 y.,Indirect migration background,No,0.65487,358,571,0.61584,0.69389
2016,46-65 y.,No migration background,Yes,0.31546,1996,6877,0.30447,0.32644
2016,46-65 y.,No migration background,No,0.68330,4881,6877,0.67230,0.69429
2016,46-65 y.,Direct migration background,Yes,0.26879,437,1524,0.24653,0.29106
2016,46-65 y.,Direct migration background,No,0.71833,1087,1524,0.69574,0.74092
2016,46-65 y.,Indirect migration background,Yes,0.22378,51,185,0.16356,0.28401
2016,46-65 y.,Indirect migration background,No,0.77147,134,185,0.71080,0.83214
2016,66 and older,No migration background,Yes,0.10787,449,4294,0.09859,0.11715
2016,66 and older,No migration background,No,0.89056,3845,4294,0.88122,0.89990
2016,66 and older,Direct migration background,Yes,0.17918,70,408,0.14192,0.21644
2016,66 and older,Direct migration background,No,0.81577,338,408,0.77811,0.85344
2018,17-29 y.,No migration background,Yes,0.22600,739,2899,0.21077,0.24123
2018,17-29 y.,No migration background,No,0.70326,2160,2899,0.68662,0.71989
2018,17-29 y.,Direct migration background,Yes,0.21882,154,529,0.18355,0.25409
2018,17-29 y.,Direct migration background,No,0.51480,375,529,0.47217,0.55743
2018,17-29 y.,Indirect migration background,Yes,0.27720,213,800,0.24616,0.30824
2018,17-29 y.,Indirect migration background,No,0.64397,587,800,0.61077,0.67717
2018,30-45 y.,No migration background,Yes,0.27637,1252,4210,0.26286,0.28988
2018,30-45 y.,No migration background,No,0.71947,2958,4210,0.70590,0.73304
2018,30-45 y.,Direct migration background,Yes,0.30162,595,1934,0.28116,0.32208
2018,30-45 y.,Direct migration background,No,0.63753,1339,1934,0.61610,0.65896
2018,30-45 y.,Indirect migration background,Yes,0.34413,203,558,0.30468,0.38359
2018,30-45 y.,Indirect migration background,No,0.65167,355,558,0.61210,0.69123
2018,46-65 y.,No migration background,Yes,0.30587,2198,7803,0.29565,0.31610
2018,46-65 y.,No migration background,No,0.69145,5605,7803,0.68120,0.70170
2018,46-65 y.,Direct migration background,Yes,0.32850,472,1579,0.30532,0.35167
2018,46-65 y.,Direct migration background,No,0.65344,1107,1579,0.62996,0.67692
2018,46-65 y.,Indirect migration background,Yes,0.29559,70,237,0.23737,0.35381
2018,46-65 y.,Indirect migration background,No,0.70165,167,237,0.64328,0.76002
2018,66 and older,No migration background,Yes,0.10782,516,4509,0.09877,0.11688
2018,66 and older,No migration background,No,0.89068,3993,4509,0.88157,0.89979
2018,66 and older,Direct migration background,Yes,0.12699,64,453,0.09630,0.15769
2018,66 and older,Direct migration background,No,0.86534,389,453,0.83387,0.89681
2020,17-29 y.,No migration background,Yes,0.20063,580,2546,0.18507,0.21619
2020,17-29 y.,No migration background,No,0.71966,1966,2546,0.70220,0.73711
2020,17-29 y.,Direct migration background,Yes,0.21083,463,1815,0.19206,0.22960
2020,17-29 y.,Direct migration background,No,0.68364,1352,1815,0.66223,0.70504
2020,17-29 y.,Indirect migration background,Yes,0.23781,168,705,0.20636,0.26926
2020,17-29 y.,Indirect migration background,No,0.69026,537,705,0.65610,0.72442
2020,30-45 y.,No migration background,Yes,0.24997,1022,3698,0.23601,0.26393
2020,30-45 y.,No migration background,No,0.74963,2676,3698,0.73567,0.76360
2020,30-45 y.,Direct migration background,Yes,0.30520,1165,3801,0.29056,0.31984
2020,30-45 y.,Direct migration background,No,0.67023,2636,3801,0.65528,0.68518
2020,30-45 y.,Indirect migration background,Yes,0.36314,172,533,0.32228,0.40401
2020,30-45 y.,Indirect migration background,No,0.63686,361,533,0.59599,0.67772
2020,46-65 y.,No migration background,Yes,0.27920,2004,7905,0.26931,0.28909
2020,46-65 y.,No migration background,No,0.71934,5901,7905,0.70943,0.72924
2020,46-65 y.,Direct migration background,Yes,0.27866,690,2213,0.25997,0.29734
2020,46-65 y.,Direct migration background,No,0.71460,1523,2213,0.69578,0.73342
2020,46-65 y.,Indirect migration background,Yes,0.32864,78,264,0.27187,0.38541
2020,46-65 y.,Indirect migration background,No,0.67136,186,264,0.61459,0.72813
2020,66 and older,No migration background,Yes,0.12352,555,4402,0.11380,0.13324
2020,66 and older,No migration background,No,0.87320,3847,4402,0.86337,0.88303
2020,66 and older,Direct migration background,Yes,0.15446,64,465,0.12157,0.18734
2020,66 and older,Direct migration background,No,0.84389,401,465,0.81086,0.87691
2020,66 and older,Indirect migration background,No,0.97667,31,31,0.92265,1.03069
