year,bula_h,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,Mecklenburg-Western Pomerania,Yes,0.24254,148,509,0.20527,0.27981
2004,Mecklenburg-Western Pomerania,No,0.60982,361,509,0.56740,0.65224
2004,Saxony,Yes,0.22676,400,1565,0.20600,0.24751
2004,Saxony,No,0.64051,1165,1565,0.61673,0.66429
2004,Saxony-Anhalt,Yes,0.25385,294,922,0.22574,0.28196
2004,Saxony-Anhalt,No,0.62569,628,922,0.59443,0.65694
2004,Thuringa,Yes,0.25897,284,942,0.23098,0.28696
2004,Thuringa,No,0.60863,658,942,0.57744,0.63981
2006,Schleswig-Holstein,Yes,0.27611,195,673,0.24231,0.30992
2006,Schleswig-Holstein,No,0.55376,478,673,0.51618,0.59135
2006,Hamburg,Yes,0.28191,83,302,0.23108,0.33274
2006,Hamburg,No,0.57874,219,302,0.52296,0.63452
2006,Lower Saxony,Yes,0.23990,564,1959,0.22099,0.25882
2006,Lower Saxony,No,0.57633,1395,1959,0.55444,0.59822
2006,Bremen,Yes,0.27538,42,144,0.20216,0.34860
2006,Bremen,No,0.62484,102,144,0.54549,0.70420
2006,North Rhine-Westphalia,Yes,0.26519,1400,4543,0.25235,0.27802
2006,North Rhine-Westphalia,No,0.56542,3143,4543,0.55100,0.57984
2006,Hesse,Yes,0.26061,423,1481,0.23824,0.28297
2006,Hesse,No,0.55271,1058,1481,0.52738,0.57804
2006,"Rhineland-Palatinate, Saarland",Yes,0.25249,381,1288,0.22876,0.27623
2006,"Rhineland-Palatinate, Saarland",No,0.55949,907,1288,0.53236,0.58661
2006,Baden-Wuerttemberg,Yes,0.23308,723,2714,0.21717,0.24899
2006,Baden-Wuerttemberg,No,0.58601,1991,2714,0.56747,0.60454
2006,Bavaria,Yes,0.23466,846,3137,0.21982,0.24949
2006,Bavaria,No,0.59527,2291,3137,0.57809,0.61245
2006,Berlin,Yes,0.31724,257,779,0.28454,0.34995
2006,Berlin,No,0.54363,522,779,0.50863,0.57863
2006,Brandenburg,Yes,0.25921,264,936,0.23112,0.28730
2006,Brandenburg,No,0.60000,672,936,0.56860,0.63140
2006,Mecklenburg-Western Pomerania,Yes,0.26942,167,547,0.23221,0.30664
2006,Mecklenburg-Western Pomerania,No,0.58926,380,547,0.54799,0.63052
2006,Saxony,Yes,0.21538,377,1579,0.19510,0.23567
2006,Saxony,No,0.65701,1202,1579,0.63359,0.68043
2006,Saxony-Anhalt,Yes,0.25622,298,912,0.22787,0.28456
2006,Saxony-Anhalt,No,0.60720,614,912,0.57549,0.63892
2006,Thuringa,Yes,0.23188,252,948,0.20500,0.25876
2006,Thuringa,No,0.63189,696,948,0.60117,0.66261
2008,Schleswig-Holstein,Yes,0.23882,139,552,0.20322,0.27442
2008,Schleswig-Holstein,No,0.60183,413,552,0.56096,0.64271
2008,Hamburg,Yes,0.28745,76,280,0.23435,0.34056
2008,Hamburg,No,0.59606,204,280,0.53848,0.65363
2008,Lower Saxony,Yes,0.23879,466,1740,0.21875,0.25883
2008,Lower Saxony,No,0.59830,1274,1740,0.57526,0.62134
2008,Bremen,Yes,0.24015,37,137,0.16836,0.31195
2008,Bremen,No,0.65300,100,137,0.57299,0.73300
2008,North Rhine-Westphalia,Yes,0.25578,1142,3925,0.24213,0.26944
2008,North Rhine-Westphalia,No,0.57734,2783,3925,0.56188,0.59279
2008,Hesse,Yes,0.24254,355,1311,0.21932,0.26575
2008,Hesse,No,0.56833,956,1311,0.54151,0.59515
2008,"Rhineland-Palatinate, Saarland",Yes,0.20953,286,1096,0.18542,0.23363
2008,"Rhineland-Palatinate, Saarland",No,0.61264,810,1096,0.58378,0.64149
2008,Baden-Wuerttemberg,Yes,0.21411,553,2356,0.19754,0.23067
2008,Baden-Wuerttemberg,No,0.60672,1803,2356,0.58699,0.62645
2008,Bavaria,Yes,0.22845,724,2747,0.21274,0.24415
2008,Bavaria,No,0.60353,2023,2747,0.58523,0.62182
2008,Berlin,Yes,0.29787,234,720,0.26444,0.33130
2008,Berlin,No,0.56943,486,720,0.53324,0.60563
2008,Brandenburg,Yes,0.27128,226,822,0.24087,0.30169
2008,Brandenburg,No,0.58959,596,822,0.55594,0.62324
2008,Mecklenburg-Western Pomerania,Yes,0.28548,149,490,0.24545,0.32551
2008,Mecklenburg-Western Pomerania,No,0.60330,341,490,0.55994,0.64666
2008,Saxony,Yes,0.21915,335,1431,0.19771,0.24059
2008,Saxony,No,0.64848,1096,1431,0.62373,0.67323
2008,Saxony-Anhalt,Yes,0.24103,249,812,0.21160,0.27047
2008,Saxony-Anhalt,No,0.63127,563,812,0.59806,0.66447
2008,Thuringa,Yes,0.22360,218,872,0.19593,0.25127
2008,Thuringa,No,0.65003,654,872,0.61835,0.68170
2010,Schleswig-Holstein,Yes,0.18695,94,442,0.15056,0.22334
2010,Schleswig-Holstein,No,0.56747,348,442,0.52123,0.61371
2010,Hamburg,Yes,0.28751,67,265,0.23291,0.34211
2010,Hamburg,No,0.52575,198,265,0.46552,0.58599
2010,Lower Saxony,Yes,0.20135,400,1501,0.18106,0.22164
2010,Lower Saxony,No,0.54439,1101,1501,0.51918,0.56959
2010,Bremen,Yes,0.21620,31,108,0.13820,0.29420
2010,Bremen,No,0.56712,77,108,0.47323,0.66100
2010,North Rhine-Westphalia,Yes,0.21266,941,3379,0.19886,0.22646
2010,North Rhine-Westphalia,No,0.53702,2438,3379,0.52020,0.55383
2010,Hesse,Yes,0.20673,286,1117,0.18297,0.23049
2010,Hesse,No,0.52701,831,1117,0.49772,0.55631
2010,"Rhineland-Palatinate, Saarland",Yes,0.19480,259,954,0.16965,0.21994
2010,"Rhineland-Palatinate, Saarland",No,0.56423,695,954,0.53275,0.59571
2010,Baden-Wuerttemberg,Yes,0.17742,440,1953,0.16047,0.19437
2010,Baden-Wuerttemberg,No,0.56806,1513,1953,0.54608,0.59003
2010,Bavaria,Yes,0.21867,620,2415,0.20218,0.23516
2010,Bavaria,No,0.54346,1795,2415,0.52359,0.56333
2010,Berlin,Yes,0.26015,195,650,0.22640,0.29391
2010,Berlin,No,0.52971,455,650,0.49131,0.56811
2010,Brandenburg,Yes,0.20878,176,707,0.17880,0.23876
2010,Brandenburg,No,0.57575,531,707,0.53929,0.61221
2010,Mecklenburg-Western Pomerania,Yes,0.25227,128,424,0.21088,0.29366
2010,Mecklenburg-Western Pomerania,No,0.54717,296,424,0.49973,0.59460
2010,Saxony,Yes,0.17124,273,1237,0.15024,0.19224
2010,Saxony,No,0.63007,964,1237,0.60315,0.65698
2010,Saxony-Anhalt,Yes,0.23334,224,715,0.20232,0.26437
2010,Saxony-Anhalt,No,0.58550,491,715,0.54936,0.62163
2010,Thuringa,Yes,0.21138,203,754,0.18222,0.24054
2010,Thuringa,No,0.58457,551,754,0.54937,0.61977
2012,Schleswig-Holstein,Yes,0.18201,151,640,0.15209,0.21193
2012,Schleswig-Holstein,No,0.56941,489,640,0.53101,0.60780
2012,Hamburg,Yes,0.24046,86,335,0.19462,0.28629
2012,Hamburg,No,0.57456,249,335,0.52153,0.62758
2012,Lower Saxony,Yes,0.21228,515,1866,0.19372,0.23084
2012,Lower Saxony,No,0.54935,1351,1866,0.52677,0.57193
2012,Bremen,Yes,0.22068,36,132,0.14966,0.29169
2012,Bremen,No,0.54825,96,132,0.46302,0.63347
2012,North Rhine-Westphalia,Yes,0.20676,1055,4029,0.19426,0.21927
2012,North Rhine-Westphalia,No,0.55673,2974,4029,0.54139,0.57207
2012,Hesse,Yes,0.18766,347,1393,0.16715,0.20817
2012,Hesse,No,0.54392,1046,1393,0.51776,0.57009
2012,"Rhineland-Palatinate, Saarland",Yes,0.19781,338,1199,0.17525,0.22037
2012,"Rhineland-Palatinate, Saarland",No,0.57294,861,1199,0.54493,0.60095
2012,Baden-Wuerttemberg,Yes,0.17517,510,2371,0.15986,0.19047
2012,Baden-Wuerttemberg,No,0.57777,1861,2371,0.55789,0.59766
2012,Bavaria,Yes,0.20992,767,3171,0.19574,0.22409
2012,Bavaria,No,0.55803,2404,3171,0.54074,0.57532
2012,Berlin,Yes,0.22953,238,811,0.20057,0.25850
2012,Berlin,No,0.54793,573,811,0.51366,0.58221
2012,Brandenburg,Yes,0.24238,246,856,0.21366,0.27111
2012,Brandenburg,No,0.55270,610,856,0.51937,0.58603
2012,Mecklenburg-Western Pomerania,Yes,0.25588,158,501,0.21763,0.29413
2012,Mecklenburg-Western Pomerania,No,0.54251,343,501,0.49884,0.58618
2012,Saxony,Yes,0.19256,331,1437,0.17216,0.21295
2012,Saxony,No,0.60419,1106,1437,0.57890,0.62949
2012,Saxony-Anhalt,Yes,0.22260,251,822,0.19415,0.25106
2012,Saxony-Anhalt,No,0.58276,571,822,0.54903,0.61649
2012,Thuringa,Yes,0.22401,235,859,0.19611,0.25191
2012,Thuringa,No,0.56534,624,859,0.53217,0.59851
2014,Schleswig-Holstein,Yes,0.22931,262,926,0.20221,0.25640
2014,Schleswig-Holstein,No,0.62482,664,926,0.59362,0.65602
2014,Hamburg,Yes,0.24240,107,444,0.20250,0.28231
2014,Hamburg,No,0.61594,337,444,0.57065,0.66123
2014,Lower Saxony,Yes,0.22421,769,2603,0.20819,0.24024
2014,Lower Saxony,No,0.61956,1834,2603,0.60090,0.63821
2014,Bremen,Yes,0.21275,59,214,0.15779,0.26772
2014,Bremen,No,0.64322,155,214,0.57889,0.70756
2014,North Rhine-Westphalia,Yes,0.23558,1627,5632,0.22449,0.24666
2014,North Rhine-Westphalia,No,0.59637,4005,5632,0.58356,0.60919
2014,Hesse,Yes,0.22533,481,1883,0.20645,0.24420
2014,Hesse,No,0.60898,1402,1883,0.58693,0.63102
2014,"Rhineland-Palatinate, Saarland",Yes,0.22507,457,1583,0.20449,0.24565
2014,"Rhineland-Palatinate, Saarland",No,0.61194,1126,1583,0.58793,0.63595
2014,Baden-Wuerttemberg,Yes,0.18201,745,3217,0.16867,0.19534
2014,Baden-Wuerttemberg,No,0.65171,2472,3217,0.63524,0.66818
2014,Bavaria,Yes,0.21172,1106,4395,0.19964,0.22380
2014,Bavaria,No,0.62985,3289,4395,0.61557,0.64412
2014,Berlin,Yes,0.26658,300,989,0.23900,0.29415
2014,Berlin,No,0.57325,689,989,0.54241,0.60410
2014,Brandenburg,Yes,0.27968,312,1022,0.25215,0.30721
2014,Brandenburg,No,0.57805,710,1022,0.54775,0.60834
2014,Mecklenburg-Western Pomerania,Yes,0.26509,183,557,0.22840,0.30178
2014,Mecklenburg-Western Pomerania,No,0.58739,374,557,0.54647,0.62831
2014,Saxony,Yes,0.20894,393,1612,0.18909,0.22880
2014,Saxony,No,0.64858,1219,1612,0.62527,0.67189
2014,Saxony-Anhalt,Yes,0.29045,330,964,0.26178,0.31912
2014,Saxony-Anhalt,No,0.57771,634,964,0.54651,0.60891
2014,Thuringa,Yes,0.23876,276,990,0.21219,0.26533
2014,Thuringa,No,0.59714,714,990,0.56657,0.62771
2016,Schleswig-Holstein,Yes,0.21928,225,817,0.19089,0.24767
2016,Schleswig-Holstein,No,0.60889,592,817,0.57540,0.64237
2016,Hamburg,Yes,0.19282,97,425,0.15527,0.23038
2016,Hamburg,No,0.63923,328,425,0.59352,0.68494
2016,Lower Saxony,Yes,0.20926,628,2362,0.19285,0.22566
2016,Lower Saxony,No,0.63213,1734,2362,0.61268,0.65158
2016,Bremen,Yes,0.15235,46,176,0.09910,0.20559
2016,Bremen,No,0.65035,130,176,0.57970,0.72100
2016,North Rhine-Westphalia,Yes,0.22038,1341,5028,0.20893,0.23184
2016,North Rhine-Westphalia,No,0.60730,3687,5028,0.59380,0.62080
2016,Hesse,Yes,0.22807,420,1601,0.20751,0.24863
2016,Hesse,No,0.58825,1181,1601,0.56413,0.61236
2016,"Rhineland-Palatinate, Saarland",Yes,0.21560,424,1480,0.19465,0.23656
2016,"Rhineland-Palatinate, Saarland",No,0.61990,1056,1480,0.59516,0.64464
2016,Baden-Wuerttemberg,Yes,0.15887,594,2831,0.14540,0.17234
2016,Baden-Wuerttemberg,No,0.66896,2237,2831,0.65162,0.68629
2016,Bavaria,Yes,0.20253,956,3873,0.18987,0.21519
2016,Bavaria,No,0.63204,2917,3873,0.61685,0.64723
2016,Berlin,Yes,0.26004,262,907,0.23147,0.28860
2016,Berlin,No,0.58498,645,907,0.55290,0.61707
2016,Brandenburg,Yes,0.23672,251,937,0.20949,0.26395
2016,Brandenburg,No,0.60741,686,937,0.57612,0.63869
2016,Mecklenburg-Western Pomerania,Yes,0.27289,171,518,0.23449,0.31128
2016,Mecklenburg-Western Pomerania,No,0.55576,347,518,0.51293,0.59859
2016,Saxony,Yes,0.22778,374,1441,0.20612,0.24944
2016,Saxony,No,0.62474,1067,1441,0.59974,0.64975
2016,Saxony-Anhalt,Yes,0.24200,267,830,0.21284,0.27115
2016,Saxony-Anhalt,No,0.60043,563,830,0.56708,0.63377
2016,Thuringa,Yes,0.24915,236,896,0.22081,0.27749
2016,Thuringa,No,0.59262,660,896,0.56043,0.62481
2018,Schleswig-Holstein,Yes,0.21056,241,922,0.18423,0.23689
2018,Schleswig-Holstein,No,0.60527,681,922,0.57370,0.63684
2018,Hamburg,Yes,0.16181,106,484,0.12897,0.19466
2018,Hamburg,No,0.66215,378,484,0.61997,0.70433
2018,Lower Saxony,Yes,0.20309,645,2526,0.18740,0.21879
2018,Lower Saxony,No,0.63282,1881,2526,0.61401,0.65162
2018,Bremen,Yes,0.20972,55,224,0.15628,0.26315
2018,Bremen,No,0.59229,169,224,0.52779,0.65678
2018,North Rhine-Westphalia,Yes,0.21706,1408,5392,0.20606,0.22807
2018,North Rhine-Westphalia,No,0.62387,3984,5392,0.61094,0.63680
2018,Hesse,Yes,0.21274,428,1692,0.19323,0.23224
2018,Hesse,No,0.61720,1264,1692,0.59403,0.64037
2018,"Rhineland-Palatinate, Saarland",Yes,0.19665,395,1471,0.17633,0.21697
2018,"Rhineland-Palatinate, Saarland",No,0.61931,1076,1471,0.59449,0.64413
2018,Baden-Wuerttemberg,Yes,0.17665,563,2775,0.16246,0.19085
2018,Baden-Wuerttemberg,No,0.65030,2212,2775,0.63255,0.66804
2018,Bavaria,Yes,0.19873,911,3968,0.18631,0.21115
2018,Bavaria,No,0.63993,3057,3968,0.62499,0.65487
2018,Berlin,Yes,0.25407,306,993,0.22698,0.28116
2018,Berlin,No,0.58783,687,993,0.55720,0.61846
2018,Brandenburg,Yes,0.24919,313,1026,0.22270,0.27567
2018,Brandenburg,No,0.56267,713,1026,0.53230,0.59304
2018,Mecklenburg-Western Pomerania,Yes,0.26011,183,595,0.22483,0.29539
2018,Mecklenburg-Western Pomerania,No,0.56893,412,595,0.52911,0.60876
2018,Saxony,Yes,0.19496,395,1617,0.17564,0.21428
2018,Saxony,No,0.65311,1222,1617,0.62990,0.67631
2018,Saxony-Anhalt,Yes,0.21440,278,911,0.18773,0.24106
2018,Saxony-Anhalt,No,0.61883,633,911,0.58728,0.65039
2018,Thuringa,Yes,0.22923,250,935,0.20227,0.25618
2018,Thuringa,No,0.60605,685,935,0.57471,0.63739
2020,Schleswig-Holstein,Yes,0.19618,252,1029,0.17191,0.22046
2020,Schleswig-Holstein,No,0.59638,777,1029,0.56638,0.62637
2020,Hamburg,Yes,0.14311,127,579,0.11456,0.17166
2020,Hamburg,No,0.68722,452,579,0.64942,0.72501
2020,Lower Saxony,Yes,0.20289,677,2797,0.18798,0.21780
2020,Lower Saxony,No,0.62913,2120,2797,0.61122,0.64703
2020,Bremen,Yes,0.18788,52,267,0.14094,0.23482
2020,Bremen,No,0.68160,215,267,0.62561,0.73758
2020,North Rhine-Westphalia,Yes,0.19772,1577,6148,0.18776,0.20767
2020,North Rhine-Westphalia,No,0.64069,4571,6148,0.62869,0.65268
2020,Hesse,Yes,0.18153,423,2033,0.16477,0.19829
2020,Hesse,No,0.65060,1610,2033,0.62987,0.67133
2020,"Rhineland-Palatinate, Saarland",Yes,0.19202,408,1522,0.17222,0.21181
2020,"Rhineland-Palatinate, Saarland",No,0.65323,1114,1522,0.62931,0.67715
2020,Baden-Wuerttemberg,Yes,0.15904,670,3160,0.14628,0.17179
2020,Baden-Wuerttemberg,No,0.66030,2490,3160,0.64378,0.67681
2020,Bavaria,Yes,0.18309,1023,4339,0.17158,0.19460
2020,Bavaria,No,0.64176,3316,4339,0.62750,0.65603
2020,Berlin,Yes,0.23491,345,1270,0.21159,0.25824
2020,Berlin,No,0.61208,925,1270,0.58526,0.63889
2020,Brandenburg,Yes,0.23022,326,1146,0.20583,0.25460
2020,Brandenburg,No,0.60730,820,1146,0.57902,0.63559
2020,Mecklenburg-Western Pomerania,Yes,0.25083,148,533,0.21400,0.28767
2020,Mecklenburg-Western Pomerania,No,0.58679,385,533,0.54494,0.62863
2020,Saxony,Yes,0.20388,412,1641,0.18438,0.22338
2020,Saxony,No,0.64044,1229,1641,0.61721,0.66366
2020,Saxony-Anhalt,Yes,0.22477,271,948,0.19819,0.25136
2020,Saxony-Anhalt,No,0.60935,677,948,0.57828,0.64043
2020,Thuringa,Yes,0.22618,252,968,0.19981,0.25255
2020,Thuringa,No,0.61829,716,968,0.58767,0.64891
