year,quintil_oecd,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,5th Quintile,No,0.65703,4168,5508,0.64449,0.66957
2008,1st Quintile,Yes,0.29787,1146,3016,0.28154,0.31419
2008,1st Quintile,No,0.50432,1870,3016,0.48647,0.52217
2008,2nd Quintile,Yes,0.23575,917,3344,0.22136,0.25014
2008,2nd Quintile,No,0.57237,2427,3344,0.55560,0.58914
2008,3rd Quintile,Yes,0.23908,1017,3766,0.22546,0.25271
2008,3rd Quintile,No,0.59172,2749,3766,0.57602,0.60742
2008,4th Quintile,Yes,0.22406,992,3932,0.21102,0.23709
2008,4th Quintile,No,0.63361,2940,3932,0.61854,0.64867
2008,5th Quintile,Yes,0.20383,1116,5231,0.19291,0.21475
2008,5th Quintile,No,0.69008,4115,5231,0.67755,0.70262
2010,1st Quintile,Yes,0.32560,997,2649,0.30775,0.34345
2010,1st Quintile,No,0.59952,1652,2649,0.58086,0.61819
2010,2nd Quintile,Yes,0.23842,799,2990,0.22314,0.25370
2010,2nd Quintile,No,0.65942,2191,2990,0.64243,0.67641
2010,3rd Quintile,Yes,0.23592,785,3174,0.22115,0.25070
2010,3rd Quintile,No,0.64553,2389,3174,0.62889,0.66218
2010,4th Quintile,Yes,0.23798,859,3428,0.22372,0.25224
2010,4th Quintile,No,0.65504,2569,3428,0.63913,0.67096
2010,5th Quintile,Yes,0.20810,897,4378,0.19607,0.22013
2010,5th Quintile,No,0.70850,3481,4378,0.69503,0.72196
2012,1st Quintile,Yes,0.24293,1139,3019,0.22763,0.25823
2012,1st Quintile,No,0.42082,1880,3019,0.40320,0.43843
2012,2nd Quintile,Yes,0.18151,818,3190,0.16813,0.19489
2012,2nd Quintile,No,0.54825,2372,3190,0.53098,0.56553
2012,3rd Quintile,Yes,0.19457,891,3494,0.18144,0.20770
2012,3rd Quintile,No,0.56469,2603,3494,0.54824,0.58113
2012,4th Quintile,Yes,0.20866,901,3762,0.19567,0.22164
2012,4th Quintile,No,0.58909,2861,3762,0.57337,0.60481
2012,5th Quintile,Yes,0.16821,850,4512,0.15730,0.17913
2012,5th Quintile,No,0.67703,3662,4512,0.66338,0.69068
2014,1st Quintile,Yes,0.29197,2271,5796,0.28026,0.30367
2014,1st Quintile,No,0.49854,3525,5796,0.48567,0.51142
2014,2nd Quintile,Yes,0.22874,1654,5508,0.21764,0.23983
2014,2nd Quintile,No,0.58656,3854,5508,0.57355,0.59957
2014,3rd Quintile,Yes,0.21830,1305,5166,0.20703,0.22956
2014,3rd Quintile,No,0.62272,3861,5166,0.60950,0.63594
2014,4th Quintile,Yes,0.21787,1207,5151,0.20660,0.22915
2014,4th Quintile,No,0.64213,3944,5151,0.62904,0.65522
2014,5th Quintile,Yes,0.17051,969,5403,0.16048,0.18054
2014,5th Quintile,No,0.72654,4434,5403,0.71465,0.73843
2016,1st Quintile,Yes,0.27603,1890,4964,0.26359,0.28847
2016,1st Quintile,No,0.50544,3074,4964,0.49153,0.51935
2016,2nd Quintile,Yes,0.22689,1470,5120,0.21541,0.23836
2016,2nd Quintile,No,0.59045,3650,5120,0.57698,0.60393
2016,3rd Quintile,Yes,0.20884,1128,4637,0.19714,0.22054
2016,3rd Quintile,No,0.62332,3509,4637,0.60938,0.63727
2016,4th Quintile,Yes,0.20138,1006,4577,0.18976,0.21300
2016,4th Quintile,No,0.66304,3571,4577,0.64934,0.67674
2016,5th Quintile,Yes,0.15749,797,4819,0.14720,0.16778
2016,5th Quintile,No,0.73657,4022,4819,0.72414,0.74901
2018,1st Quintile,Yes,0.25507,1708,4641,0.24252,0.26761
2018,1st Quintile,No,0.50678,2933,4641,0.49240,0.52117
2018,2nd Quintile,Yes,0.22431,1483,5227,0.21300,0.23562
2018,2nd Quintile,No,0.59371,3744,5227,0.58040,0.60703
2018,3rd Quintile,Yes,0.19482,1062,4746,0.18355,0.20609
2018,3rd Quintile,No,0.64554,3684,4746,0.63193,0.65915
2018,4th Quintile,Yes,0.19253,976,4601,0.18113,0.20392
2018,4th Quintile,No,0.66998,3625,4601,0.65639,0.68357
2018,5th Quintile,Yes,0.16115,797,5076,0.15103,0.17126
2018,5th Quintile,No,0.73087,4279,5076,0.71867,0.74308
2020,1st Quintile,Yes,0.25567,2237,6618,0.24516,0.26618
2020,1st Quintile,No,0.53881,4381,6618,0.52680,0.55082
2020,2nd Quintile,Yes,0.20497,1277,4700,0.19343,0.21652
2020,2nd Quintile,No,0.60500,3423,4700,0.59102,0.61898
2020,3rd Quintile,Yes,0.18195,984,4402,0.17055,0.19335
2020,3rd Quintile,No,0.65750,3418,4402,0.64348,0.67152
2020,4th Quintile,Yes,0.18358,859,4423,0.17216,0.19499
2020,4th Quintile,No,0.66844,3564,4423,0.65457,0.68232
2020,5th Quintile,Yes,0.14424,889,5995,0.13534,0.15313
2020,5th Quintile,No,0.73728,5106,5995,0.72614,0.74842
