year,rentown,sampreg,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Tenant,East,Yes,0.58052,1435,2403,0.56079,0.60026
2017,Tenant,East,No,0.41948,968,2403,0.39974,0.43921
2018,Owner,West,Yes,0.92431,5253,5500,0.91732,0.93130
2018,Owner,West,No,0.07569,247,5500,0.06870,0.08268
2018,Owner,East,Yes,0.92551,1196,1253,0.91096,0.94005
2018,Owner,East,No,0.07449,57,1253,0.05995,0.08904
2018,Tenant,West,Yes,0.66219,5337,8581,0.65218,0.67220
2018,Tenant,West,No,0.33781,3244,8581,0.32780,0.34782
2018,Tenant,East,Yes,0.58400,1486,2524,0.56477,0.60324
2018,Tenant,East,No,0.41600,1038,2524,0.39676,0.43523
2019,Owner,West,Yes,0.92405,6045,6312,0.91752,0.93059
2019,Owner,West,No,0.07595,267,6312,0.06941,0.08248
2019,Owner,East,Yes,0.91736,1471,1549,0.90364,0.93107
2019,Owner,East,No,0.08264,78,1549,0.06893,0.09636
2019,Tenant,Does not apply,No,0.66300,33,33,0.49922,0.82677
2019,Tenant,West,Yes,0.67973,4489,6169,0.66809,0.69137
2019,Tenant,West,No,0.32027,1680,6169,0.30863,0.33191
2019,Tenant,East,Yes,0.58097,1348,2041,0.55956,0.60238
2019,Tenant,East,No,0.41903,693,2041,0.39762,0.44044
2021,Owner,West,Yes,0.92792,3953,4143,0.92005,0.93580
2021,Owner,West,No,0.07208,190,4143,0.06420,0.07995
2021,Owner,East,Yes,0.93018,912,954,0.91400,0.94636
2021,Owner,East,No,0.06982,42,954,0.05364,0.08600
2021,Tenant,West,Yes,0.69657,3961,5828,0.68477,0.70838
2021,Tenant,West,No,0.30343,1867,5828,0.29162,0.31523
2021,Tenant,East,Yes,0.60816,1066,1632,0.58447,0.63185
2021,Tenant,East,No,0.39184,566,1632,0.36815,0.41553
