,Unnamed: 0,year,quintil_oecd_hh,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
59,59,2013,5th Quintile,No,0.06947,146,13924,0.06091,0.07787
60,60,2016,1st Quintile,Yes,0.47745,1715,14277,0.44902,0.50608
61,61,2016,1st Quintile,No,0.52255,1345,14277,0.492,0.54944
62,62,2016,2nd Quintile,Yes,0.71756,2442,14277,0.68893,0.75042
63,63,2016,2nd Quintile,No,0.28244,654,14277,0.26421,0.30379
64,64,2016,3rd Quintile,Yes,0.82978,2389,14277,0.79541,0.87005
65,65,2016,3rd Quintile,No,0.17022,359,14277,0.15865,0.18514
66,66,2016,4th Quintile,Yes,0.87889,2421,14277,0.84141,0.91402
67,67,2016,4th Quintile,No,0.12111,233,14277,0.10897,0.13368
68,68,2016,5th Quintile,Yes,0.94427,2593,14277,0.90607,0.98129
69,69,2016,5th Quintile,No,0.05573,126,14277,0.04709,0.06365
70,70,2017,1st Quintile,Yes,0.46973,2124,17414,0.44726,0.49456
71,71,2017,1st Quintile,No,0.53027,2707,17414,0.49619,0.56002
72,72,2017,2nd Quintile,Yes,0.71875,2612,17414,0.68385,0.75596
73,73,2017,2nd Quintile,No,0.28125,721,17414,0.26285,0.30201
74,74,2017,3rd Quintile,Yes,0.83458,2717,17414,0.80935,0.86441
75,75,2017,3rd Quintile,No,0.16542,374,17414,0.1508,0.17761
76,76,2017,4th Quintile,Yes,0.89004,2831,17414,0.85353,0.92378
77,77,2017,4th Quintile,No,0.10996,213,17414,0.09739,0.12243
78,78,2017,5th Quintile,Yes,0.93673,2963,17414,0.90617,0.96757
79,79,2017,5th Quintile,No,0.06327,152,17414,0.05377,0.07379
80,80,2018,1st Quintile,Yes,0.47677,2410,17709,0.4437,0.50159
81,81,2018,1st Quintile,No,0.52323,2892,17709,0.48949,0.55548
82,82,2018,2nd Quintile,Yes,0.74097,2741,17709,0.71352,0.77643
83,83,2018,2nd Quintile,No,0.25903,795,17709,0.23964,0.27663
84,84,2018,3rd Quintile,Yes,0.82557,2570,17709,0.79331,0.86148
85,85,2018,3rd Quintile,No,0.17443,399,17709,0.15648,0.19036
86,86,2018,4th Quintile,Yes,0.89446,2667,17709,0.863,0.93311
87,87,2018,4th Quintile,No,0.10554,217,17709,0.09412,0.11963
88,88,2018,5th Quintile,Yes,0.94102,2848,17709,0.90277,0.97866
89,89,2018,5th Quintile,No,0.05898,170,17709,0.04879,0.06717
90,90,2019,1st Quintile,Yes,0.50658,1613,16130,0.47816,0.53678
91,91,2019,1st Quintile,No,0.49342,1310,16130,0.46868,0.52655
92,92,2019,2nd Quintile,Yes,0.74087,2380,16130,0.70877,0.776
93,93,2019,2nd Quintile,No,0.25913,617,16130,0.2382,0.28227
94,94,2019,3rd Quintile,Yes,0.82908,2546,16130,0.79648,0.86337
95,95,2019,3rd Quintile,No,0.17092,369,16130,0.15491,0.18627
96,96,2019,4th Quintile,Yes,0.89271,2728,16130,0.84944,0.93178
97,97,2019,4th Quintile,No,0.10729,237,16130,0.0932,0.11952
98,98,2019,5th Quintile,Yes,0.93501,4110,16130,0.89215,0.9781
99,99,2019,5th Quintile,No,0.06499,220,16130,0.0539,0.07617
100,100,2021,1st Quintile,Yes,0.53702,1826,12514,0.49959,0.58559
101,101,2021,1st Quintile,No,0.46298,1459,12514,0.42229,0.4971
102,102,2021,2nd Quintile,Yes,0.78039,1903,12514,0.74006,0.81967
103,103,2021,2nd Quintile,No,0.21961,474,12514,0.1976,0.24388
104,104,2021,3rd Quintile,Yes,0.85619,1767,12514,0.80953,0.90835
105,105,2021,3rd Quintile,No,0.14381,289,12514,0.12642,0.16148
106,106,2021,4th Quintile,Yes,0.88678,1897,12514,0.84169,0.92601
107,107,2021,4th Quintile,No,0.11322,211,12514,0.09358,0.13441
108,108,2021,5th Quintile,Yes,0.9236,2480,12514,0.87256,0.97879
109,109,2021,5th Quintile,No,0.0764,208,12514,0.06232,0.08993
