year,quintil_oecd_hh,rentown,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,5th Quintile,Tenant,Yes,0.88115,816,11758,0.88077,0.88153
2003,5th Quintile,Tenant,No,0.11885,66,11758,0.11847,0.11923
2005,1st Quintile,Owner,Yes,0.66045,239,11151,0.65961,0.66129
2005,1st Quintile,Owner,No,0.33955,82,11151,0.33871,0.34039
2005,1st Quintile,Tenant,Yes,0.43260,772,11151,0.43222,0.43298
2005,1st Quintile,Tenant,No,0.56740,847,11151,0.56702,0.56778
2005,2nd Quintile,Owner,Yes,0.85568,685,11151,0.85525,0.85610
2005,2nd Quintile,Owner,No,0.14432,84,11151,0.14390,0.14475
2005,2nd Quintile,Tenant,Yes,0.63542,923,11151,0.63501,0.63583
2005,2nd Quintile,Tenant,No,0.36458,392,11151,0.36417,0.36499
2005,3rd Quintile,Owner,Yes,0.89016,915,11151,0.88983,0.89049
2005,3rd Quintile,Owner,No,0.10984,83,11151,0.10951,0.11017
2005,3rd Quintile,Tenant,Yes,0.73706,843,11151,0.73664,0.73747
2005,3rd Quintile,Tenant,No,0.26294,240,11151,0.26253,0.26336
2005,4th Quintile,Owner,Yes,0.92888,1252,11151,0.92863,0.92912
2005,4th Quintile,Owner,No,0.07112,63,11151,0.07088,0.07137
2005,4th Quintile,Tenant,Yes,0.80348,765,11151,0.80307,0.80389
2005,4th Quintile,Tenant,No,0.19652,135,11151,0.19611,0.19693
2005,5th Quintile,Owner,Yes,0.94664,1904,11151,0.94644,0.94684
2005,5th Quintile,Owner,No,0.05336,59,11151,0.05316,0.05356
2005,5th Quintile,Tenant,Yes,0.89066,809,11151,0.89030,0.89101
2005,5th Quintile,Tenant,No,0.10934,59,11151,0.10899,0.10970
2007,1st Quintile,Owner,Yes,0.71288,246,11399,0.71208,0.71369
2007,1st Quintile,Owner,No,0.28712,69,11399,0.28631,0.28792
2007,1st Quintile,Tenant,Yes,0.43315,768,11399,0.43277,0.43353
2007,1st Quintile,Tenant,No,0.56685,836,11399,0.56647,0.56723
2007,2nd Quintile,Owner,Yes,0.85268,666,11399,0.85225,0.85312
2007,2nd Quintile,Owner,No,0.14732,81,11399,0.14688,0.14775
2007,2nd Quintile,Tenant,Yes,0.61063,934,11399,0.61021,0.61104
2007,2nd Quintile,Tenant,No,0.38937,451,11399,0.38896,0.38979
2007,3rd Quintile,Owner,Yes,0.89803,1028,11399,0.89772,0.89834
2007,3rd Quintile,Owner,No,0.10197,86,11399,0.10166,0.10228
2007,3rd Quintile,Tenant,Yes,0.75016,873,11399,0.74974,0.75057
2007,3rd Quintile,Tenant,No,0.24984,211,11399,0.24943,0.25026
2007,4th Quintile,Owner,Yes,0.95019,1341,11399,0.94998,0.95039
2007,4th Quintile,Owner,No,0.04981,50,11399,0.04961,0.05002
2007,4th Quintile,Tenant,Yes,0.79739,791,11399,0.79698,0.79781
2007,4th Quintile,Tenant,No,0.20261,135,11399,0.20219,0.20302
2007,5th Quintile,Owner,Yes,0.95563,1980,11399,0.95545,0.95581
2007,5th Quintile,Owner,No,0.04437,50,11399,0.04419,0.04455
2007,5th Quintile,Tenant,Yes,0.87994,739,11399,0.87956,0.88031
2007,5th Quintile,Tenant,No,0.12006,64,11399,0.11969,0.12044
2011,1st Quintile,Owner,Yes,0.77178,292,12049,0.77099,0.77256
2011,1st Quintile,Owner,No,0.22822,66,12049,0.22744,0.22901
2011,1st Quintile,Tenant,Yes,0.37863,841,12049,0.37823,0.37903
2011,1st Quintile,Tenant,No,0.62137,1027,12049,0.62097,0.62177
2011,2nd Quintile,Owner,Yes,0.84495,781,12049,0.84452,0.84539
2011,2nd Quintile,Owner,No,0.15505,92,12049,0.15461,0.15548
2011,2nd Quintile,Tenant,Yes,0.61591,927,12049,0.61546,0.61636
2011,2nd Quintile,Tenant,No,0.38409,459,12049,0.38364,0.38454
2011,3rd Quintile,Owner,Yes,0.91893,1154,12049,0.91865,0.91921
2011,3rd Quintile,Owner,No,0.08107,77,12049,0.08079,0.08135
2011,3rd Quintile,Tenant,Yes,0.76147,905,12049,0.76104,0.76190
2011,3rd Quintile,Tenant,No,0.23853,236,12049,0.23810,0.23896
2011,4th Quintile,Owner,Yes,0.94887,1407,12049,0.94866,0.94907
2011,4th Quintile,Owner,No,0.05113,54,12049,0.05093,0.05134
2011,4th Quintile,Tenant,Yes,0.83068,829,12049,0.83026,0.83110
2011,4th Quintile,Tenant,No,0.16932,120,12049,0.16890,0.16974
2011,5th Quintile,Owner,Yes,0.95134,1946,12049,0.95116,0.95153
2011,5th Quintile,Owner,No,0.04866,60,12049,0.04847,0.04884
2011,5th Quintile,Tenant,Yes,0.87700,707,12049,0.87659,0.87741
2011,5th Quintile,Tenant,No,0.12300,69,12049,0.12259,0.12341
2013,1st Quintile,Owner,Yes,0.81426,346,13924,0.81355,0.81497
2013,1st Quintile,Owner,No,0.18574,57,13924,0.18503,0.18645
2013,1st Quintile,Tenant,Yes,0.40558,1298,13924,0.40519,0.40598
2013,1st Quintile,Tenant,No,0.59442,1326,13924,0.59402,0.59481
2013,2nd Quintile,Owner,Yes,0.82524,752,13924,0.82476,0.82572
2013,2nd Quintile,Owner,No,0.17476,107,13924,0.17428,0.17524
2013,2nd Quintile,Tenant,Yes,0.60555,1325,13924,0.60511,0.60598
2013,2nd Quintile,Tenant,No,0.39445,611,13924,0.39402,0.39489
2013,3rd Quintile,Owner,Yes,0.92616,1237,13924,0.92590,0.92643
2013,3rd Quintile,Owner,No,0.07384,67,13924,0.07357,0.07410
2013,3rd Quintile,Tenant,Yes,0.76365,1066,13924,0.76322,0.76408
2013,3rd Quintile,Tenant,No,0.23635,263,13924,0.23592,0.23678
2013,4th Quintile,Owner,Yes,0.92314,1409,13924,0.92289,0.92339
2013,4th Quintile,Owner,No,0.07686,76,13924,0.07661,0.07711
2013,4th Quintile,Tenant,Yes,0.81913,943,13924,0.81871,0.81955
2013,4th Quintile,Tenant,No,0.18087,173,13924,0.18045,0.18129
2013,5th Quintile,Owner,Yes,0.95734,1980,13924,0.95717,0.95751
2013,5th Quintile,Owner,No,0.04266,62,13924,0.04249,0.04283
2013,5th Quintile,Tenant,Yes,0.86882,742,13924,0.86839,0.86925
2013,5th Quintile,Tenant,No,0.13118,84,13924,0.13075,0.13161
2016,1st Quintile,Owner,Yes,0.78078,332,14276,0.78002,0.78153
2016,1st Quintile,Owner,No,0.21922,50,14276,0.21847,0.21998
2016,1st Quintile,Tenant,Yes,0.42584,1382,14276,0.42546,0.42621
2016,1st Quintile,Tenant,No,0.57416,1295,14276,0.57379,0.57454
2016,2nd Quintile,Owner,Yes,0.87348,947,14276,0.87309,0.87387
2016,2nd Quintile,Owner,No,0.12652,82,14276,0.12613,0.12691
2016,2nd Quintile,Tenant,Yes,0.63522,1495,14276,0.63481,0.63563
2016,2nd Quintile,Tenant,No,0.36478,572,14276,0.36437,0.36519
2016,3rd Quintile,Owner,Yes,0.90234,1296,14276,0.90205,0.90262
2016,3rd Quintile,Owner,No,0.09766,89,14276,0.09738,0.09795
2016,3rd Quintile,Tenant,Yes,0.75189,1093,14276,0.75147,0.75232
2016,3rd Quintile,Tenant,No,0.24811,270,14276,0.24768,0.24853
2016,4th Quintile,Owner,Yes,0.92958,1495,14276,0.92935,0.92981
2016,4th Quintile,Owner,No,0.07042,63,14276,0.07019,0.07065
2016,4th Quintile,Tenant,Yes,0.80817,926,14276,0.80775,0.80859
2016,4th Quintile,Tenant,No,0.19183,170,14276,0.19141,0.19225
2016,5th Quintile,Owner,Yes,0.96566,1887,14276,0.96552,0.96581
2016,5th Quintile,Owner,No,0.03434,55,14276,0.03419,0.03448
2016,5th Quintile,Tenant,Yes,0.89149,706,14276,0.89109,0.89188
2016,5th Quintile,Tenant,No,0.10851,71,14276,0.10812,0.10891
2017,1st Quintile,Owner,Yes,0.78448,323,17414,0.78371,0.78526
2017,1st Quintile,Owner,No,0.21552,54,17414,0.21474,0.21629
2017,1st Quintile,Tenant,Yes,0.42192,1801,17414,0.42156,0.42228
2017,1st Quintile,Tenant,No,0.57808,2653,17414,0.57772,0.57844
2017,2nd Quintile,Owner,Yes,0.88156,1030,17414,0.88118,0.88193
2017,2nd Quintile,Owner,No,0.11844,74,17414,0.11807,0.11882
2017,2nd Quintile,Tenant,Yes,0.63036,1582,17414,0.62995,0.63076
2017,2nd Quintile,Tenant,No,0.36964,647,17414,0.36924,0.37005
2017,3rd Quintile,Owner,Yes,0.90790,1435,17414,0.90763,0.90818
2017,3rd Quintile,Owner,No,0.09210,75,17414,0.09182,0.09237
2017,3rd Quintile,Tenant,Yes,0.75922,1282,17414,0.75880,0.75963
2017,3rd Quintile,Tenant,No,0.24078,299,17414,0.24037,0.24120
2017,4th Quintile,Owner,Yes,0.94183,1743,17414,0.94162,0.94204
2017,4th Quintile,Owner,No,0.05817,55,17414,0.05796,0.05838
2017,4th Quintile,Tenant,Yes,0.81649,1088,17414,0.81608,0.81690
2017,4th Quintile,Tenant,No,0.18351,158,17414,0.18310,0.18392
2017,5th Quintile,Owner,Yes,0.95205,2192,17414,0.95188,0.95222
2017,5th Quintile,Owner,No,0.04795,77,17414,0.04778,0.04812
2017,5th Quintile,Tenant,Yes,0.89404,771,17414,0.89363,0.89445
2017,5th Quintile,Tenant,No,0.10596,75,17414,0.10555,0.10637
2018,1st Quintile,Owner,Yes,0.81563,333,17709,0.81491,0.81634
2018,1st Quintile,Owner,No,0.18437,42,17709,0.18366,0.18509
2018,1st Quintile,Tenant,Yes,0.42257,2077,17709,0.42221,0.42294
2018,1st Quintile,Tenant,No,0.57743,2850,17709,0.57706,0.57779
2018,2nd Quintile,Owner,Yes,0.86401,1027,17709,0.86362,0.86440
2018,2nd Quintile,Owner,No,0.13599,87,17709,0.13560,0.13638
2018,2nd Quintile,Tenant,Yes,0.67070,1714,17709,0.67030,0.67110
2018,2nd Quintile,Tenant,No,0.32930,708,17709,0.32890,0.32970
2018,3rd Quintile,Owner,Yes,0.91075,1324,17709,0.91048,0.91103
2018,3rd Quintile,Owner,No,0.08925,65,17709,0.08897,0.08952
2018,3rd Quintile,Tenant,Yes,0.74179,1246,17709,0.74137,0.74221
2018,3rd Quintile,Tenant,No,0.25821,334,17709,0.25779,0.25863
2018,4th Quintile,Owner,Yes,0.94750,1655,17709,0.94731,0.94770
2018,4th Quintile,Owner,No,0.05250,48,17709,0.05230,0.05269
2018,4th Quintile,Tenant,Yes,0.81479,1012,17709,0.81437,0.81521
2018,4th Quintile,Tenant,No,0.18521,169,17709,0.18479,0.18563
2018,5th Quintile,Owner,Yes,0.96673,2109,17709,0.96659,0.96687
2018,5th Quintile,Owner,No,0.03327,62,17709,0.03313,0.03341
2018,5th Quintile,Tenant,Yes,0.87253,739,17709,0.87209,0.87296
2018,5th Quintile,Tenant,No,0.12747,108,17709,0.12704,0.12791
2019,1st Quintile,Owner,Yes,0.82900,326,16130,0.82831,0.82970
2019,1st Quintile,Owner,No,0.17100,51,16130,0.17030,0.17169
2019,1st Quintile,Tenant,Yes,0.45293,1287,16130,0.45256,0.45331
2019,1st Quintile,Tenant,No,0.54707,1259,16130,0.54669,0.54744
2019,2nd Quintile,Owner,Yes,0.86725,943,16130,0.86687,0.86763
2019,2nd Quintile,Owner,No,0.13275,71,16130,0.13237,0.13313
2019,2nd Quintile,Tenant,Yes,0.66855,1437,16130,0.66815,0.66895
2019,2nd Quintile,Tenant,No,0.33145,546,16130,0.33105,0.33185
2019,3rd Quintile,Owner,Yes,0.91903,1363,16130,0.91876,0.91929
2019,3rd Quintile,Owner,No,0.08097,69,16130,0.08071,0.08124
2019,3rd Quintile,Tenant,Yes,0.73748,1183,16130,0.73706,0.73791
2019,3rd Quintile,Tenant,No,0.26252,300,16130,0.26209,0.26294
2019,4th Quintile,Owner,Yes,0.94086,1734,16130,0.94065,0.94107
2019,4th Quintile,Owner,No,0.05914,62,16130,0.05893,0.05935
2019,4th Quintile,Tenant,Yes,0.82171,994,16130,0.82130,0.82212
2019,4th Quintile,Tenant,No,0.17829,175,16130,0.17788,0.17870
2019,5th Quintile,Owner,Yes,0.95853,3160,16130,0.95837,0.95869
2019,5th Quintile,Owner,No,0.04147,97,16130,0.04131,0.04163
2019,5th Quintile,Tenant,Yes,0.87329,950,16130,0.87286,0.87372
2019,5th Quintile,Tenant,No,0.12671,123,16130,0.12628,0.12714
2021,1st Quintile,Owner,Yes,1.00000,238,12482,1.00000,1.00000
2021,1st Quintile,Tenant,Yes,0.47020,1588,12482,0.46983,0.47058
2021,1st Quintile,Tenant,No,0.52980,1430,12482,0.52942,0.53017
2021,2nd Quintile,Owner,Yes,0.88291,655,12482,0.88254,0.88327
2021,2nd Quintile,Owner,No,0.11709,49,12482,0.11673,0.11746
2021,2nd Quintile,Tenant,Yes,0.72398,1247,12482,0.72360,0.72436
2021,2nd Quintile,Tenant,No,0.27602,425,12482,0.27564,0.27640
2021,3rd Quintile,Owner,Yes,0.93004,883,12482,0.92980,0.93029
2021,3rd Quintile,Owner,No,0.06996,43,12482,0.06971,0.07020
2021,3rd Quintile,Tenant,Yes,0.78204,883,12482,0.78164,0.78243
2021,3rd Quintile,Tenant,No,0.21796,246,12482,0.21757,0.21836
2021,4th Quintile,Owner,Yes,0.94281,1171,12482,0.94261,0.94302
2021,4th Quintile,Owner,No,0.05719,42,12482,0.05698,0.05739
2021,4th Quintile,Tenant,Yes,0.80414,726,12482,0.80371,0.80456
2021,4th Quintile,Tenant,No,0.19586,169,12482,0.19544,0.19629
2021,5th Quintile,Owner,Yes,0.95125,1912,12482,0.95109,0.95142
2021,5th Quintile,Owner,No,0.04875,69,12482,0.04858,0.04891
2021,5th Quintile,Tenant,Yes,0.83545,567,12482,0.83493,0.83596
2021,5th Quintile,Tenant,No,0.16455,139,12482,0.16404,0.16507
