year,migback,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Direct migration background,West,No,0.34840,864,2348,0.32912,0.36767
1992,Direct migration background,East,Yes,0.74940,106,143,0.67812,0.82068
1992,Direct migration background,East,No,0.25060,37,143,0.17932,0.32188
1992,Indirect migration background,West,Yes,0.59188,213,390,0.54303,0.64072
1992,Indirect migration background,West,No,0.40812,177,390,0.35928,0.45697
1994,No migration background,West,Yes,0.77670,4830,6381,0.76648,0.78692
1994,No migration background,West,No,0.22330,1551,6381,0.21308,0.23352
1994,No migration background,East,Yes,0.80897,2892,3603,0.79613,0.82181
1994,No migration background,East,No,0.19103,711,3603,0.17819,0.20387
1994,Direct migration background,West,Yes,0.73962,1580,2195,0.72126,0.75798
1994,Direct migration background,West,No,0.26038,615,2195,0.24202,0.27874
1994,Direct migration background,East,Yes,0.86290,124,124,0.80211,0.92369
1994,Indirect migration background,West,Yes,0.68791,295,469,0.64593,0.72989
1994,Indirect migration background,West,No,0.31209,174,469,0.27011,0.35407
1995,No migration background,West,Yes,0.73029,4524,6413,0.71943,0.74115
1995,No migration background,West,No,0.26971,1889,6413,0.25885,0.28057
1995,No migration background,East,Yes,0.74235,2518,3505,0.72787,0.75683
1995,No migration background,East,No,0.25765,987,3505,0.24317,0.27213
1995,Direct migration background,West,Yes,0.65076,1712,2617,0.63249,0.66903
1995,Direct migration background,West,No,0.34924,905,2617,0.33097,0.36751
1995,Direct migration background,East,Yes,0.78950,111,111,0.71332,0.86568
1995,Indirect migration background,West,Yes,0.57055,273,486,0.52649,0.61460
1995,Indirect migration background,West,No,0.42945,213,486,0.38540,0.47351
1996,No migration background,West,Yes,0.72892,4485,6304,0.71795,0.73989
1996,No migration background,West,No,0.27108,1819,6304,0.26011,0.28205
1996,No migration background,East,Yes,0.71793,2442,3496,0.70301,0.73285
1996,No migration background,East,No,0.28207,1054,3496,0.26715,0.29699
1996,Direct migration background,West,Yes,0.68820,1638,2422,0.66975,0.70665
1996,Direct migration background,West,No,0.31180,784,2422,0.29335,0.33025
1996,Direct migration background,East,Yes,0.82984,114,114,0.76056,0.89913
1996,Indirect migration background,West,Yes,0.60322,303,515,0.56093,0.64552
1996,Indirect migration background,West,No,0.39678,212,515,0.35448,0.43907
1997,No migration background,West,Yes,0.70854,4331,6287,0.69731,0.71977
1997,No migration background,West,No,0.29146,1956,6287,0.28023,0.30269
1997,No migration background,East,Yes,0.73514,2446,3472,0.72046,0.74982
1997,No migration background,East,No,0.26486,1026,3472,0.25018,0.27954
1997,Direct migration background,West,Yes,0.67883,1558,2325,0.65984,0.69781
1997,Direct migration background,West,No,0.32117,767,2325,0.30219,0.34016
1997,Direct migration background,East,Yes,0.80986,104,104,0.73407,0.88564
1997,Indirect migration background,West,Yes,0.60155,301,542,0.56030,0.64281
1997,Indirect migration background,West,No,0.39845,241,542,0.35719,0.43970
1998,No migration background,West,Yes,0.68780,5017,7452,0.67728,0.69832
1998,No migration background,West,No,0.31220,2435,7452,0.30168,0.32272
1998,No migration background,East,Yes,0.70197,2533,3709,0.68725,0.71669
1998,No migration background,East,No,0.29803,1176,3709,0.28331,0.31275
1998,Direct migration background,West,Yes,0.65733,1449,2258,0.63775,0.67691
1998,Direct migration background,West,No,0.34267,809,2258,0.32309,0.36225
1998,Direct migration background,East,Yes,0.81401,94,94,0.73493,0.89310
1998,Indirect migration background,West,Yes,0.56395,322,570,0.52320,0.60469
1998,Indirect migration background,West,No,0.43605,248,570,0.39531,0.47680
1999,No migration background,West,Yes,0.71742,5047,7177,0.70701,0.72784
1999,No migration background,West,No,0.28258,2130,7177,0.27216,0.29299
1999,No migration background,East,Yes,0.72713,2625,3645,0.71267,0.74159
1999,No migration background,East,No,0.27287,1020,3645,0.25841,0.28733
1999,Direct migration background,West,Yes,0.66152,1385,2083,0.64119,0.68184
1999,Direct migration background,West,No,0.33848,698,2083,0.31816,0.35881
1999,Direct migration background,East,Yes,0.83720,92,92,0.76134,0.91305
1999,Indirect migration background,West,Yes,0.62106,343,577,0.58145,0.66068
1999,Indirect migration background,West,No,0.37894,234,577,0.33932,0.41855
2000,No migration background,West,Yes,0.68940,9687,14255,0.68180,0.69699
2000,No migration background,West,No,0.31060,4568,14255,0.30301,0.31820
2000,No migration background,East,Yes,0.71471,3979,5648,0.70293,0.72649
2000,No migration background,East,No,0.28529,1669,5648,0.27351,0.29707
2000,Direct migration background,West,Yes,0.63835,2018,3146,0.62156,0.65514
2000,Direct migration background,West,No,0.36165,1128,3146,0.34486,0.37844
2000,Direct migration background,East,Yes,0.76156,111,149,0.69291,0.83022
2000,Direct migration background,East,No,0.23844,38,149,0.16978,0.30709
2000,Indirect migration background,West,Yes,0.61292,475,789,0.57891,0.64693
2000,Indirect migration background,West,No,0.38708,314,789,0.35307,0.42109
2001,No migration background,West,Yes,0.69820,8893,12905,0.69028,0.70612
2001,No migration background,West,No,0.30180,4012,12905,0.29388,0.30972
2001,No migration background,East,Yes,0.72387,3776,5266,0.71179,0.73594
2001,No migration background,East,No,0.27613,1490,5266,0.26406,0.28821
2001,Direct migration background,West,Yes,0.65597,1831,2783,0.63831,0.67362
2001,Direct migration background,West,No,0.34403,952,2783,0.32638,0.36169
2001,Direct migration background,East,Yes,0.86120,105,105,0.79475,0.92765
2001,Indirect migration background,West,Yes,0.59123,422,738,0.55574,0.62672
2001,Indirect migration background,West,No,0.40877,316,738,0.37328,0.44426
2002,No migration background,West,Yes,0.68556,9625,14123,0.67790,0.69322
2002,No migration background,West,No,0.31444,4498,14123,0.30678,0.32210
2002,No migration background,East,Yes,0.71125,3688,5281,0.69902,0.72347
2002,No migration background,East,No,0.28875,1593,5281,0.27653,0.30098
2002,Direct migration background,West,Yes,0.62871,1704,2676,0.61040,0.64702
2002,Direct migration background,West,No,0.37129,972,2676,0.35298,0.38960
2002,Direct migration background,East,Yes,0.82209,96,96,0.74518,0.89899
2002,Indirect migration background,West,Yes,0.55619,417,742,0.52041,0.59196
2002,Indirect migration background,West,No,0.44381,325,742,0.40804,0.47959
2003,No migration background,West,Yes,0.70256,9407,13492,0.69485,0.71028
2003,No migration background,West,No,0.29744,4085,13492,0.28972,0.30515
2003,No migration background,East,Yes,0.72552,3717,5188,0.71338,0.73767
2003,No migration background,East,No,0.27448,1471,5188,0.26233,0.28662
2003,Direct migration background,West,Yes,0.66157,1637,2496,0.64300,0.68014
2003,Direct migration background,West,No,0.33843,859,2496,0.31986,0.35700
2003,Direct migration background,East,Yes,0.83626,89,89,0.75895,0.91358
2003,Indirect migration background,West,Yes,0.57835,420,738,0.54269,0.61400
2003,Indirect migration background,West,No,0.42165,318,738,0.38600,0.45731
2004,No migration background,West,Yes,0.68986,8902,13140,0.68195,0.69776
2004,No migration background,West,No,0.31014,4238,13140,0.30224,0.31805
2004,No migration background,East,Yes,0.71936,3598,5074,0.70699,0.73172
2004,No migration background,East,No,0.28064,1476,5074,0.26828,0.29301
2004,Direct migration background,West,Yes,0.64331,1557,2422,0.62423,0.66239
2004,Direct migration background,West,No,0.35669,865,2422,0.33761,0.37577
2004,Direct migration background,East,Yes,0.87581,86,86,0.80570,0.94592
2004,Indirect migration background,West,Yes,0.57170,422,762,0.53655,0.60686
2004,Indirect migration background,West,No,0.42830,340,762,0.39314,0.46345
2005,No migration background,West,Yes,0.70285,8762,12546,0.69485,0.71084
2005,No migration background,West,No,0.29715,3784,12546,0.28916,0.30515
2005,No migration background,East,Yes,0.71212,3436,4873,0.69941,0.72484
2005,No migration background,East,No,0.28788,1437,4873,0.27516,0.30059
2005,Direct migration background,West,Yes,0.66859,1515,2255,0.64916,0.68802
2005,Direct migration background,West,No,0.33141,740,2255,0.31198,0.35084
2005,Direct migration background,East,Yes,0.76245,82,82,0.66977,0.85513
2005,Indirect migration background,West,Yes,0.59598,443,788,0.56170,0.63026
2005,Indirect migration background,West,No,0.40402,345,788,0.36974,0.43830
2006,No migration background,West,Yes,0.69797,9424,13622,0.69026,0.70568
2006,No migration background,West,No,0.30203,4198,13622,0.29432,0.30974
2006,No migration background,East,Yes,0.68960,3537,5116,0.67692,0.70228
2006,No migration background,East,No,0.31040,1579,5116,0.29772,0.32308
2006,Direct migration background,West,Yes,0.64207,1466,2265,0.62232,0.66182
2006,Direct migration background,West,No,0.35793,799,2265,0.33818,0.37768
2006,Direct migration background,East,Yes,0.68484,85,85,0.58549,0.78419
2006,Indirect migration background,West,Yes,0.60854,470,771,0.57407,0.64302
2006,Indirect migration background,West,No,0.39146,301,771,0.35698,0.42593
2007,No migration background,West,Yes,0.71536,8993,12671,0.70750,0.72322
2007,No migration background,West,No,0.28464,3678,12671,0.27678,0.29250
2007,No migration background,East,Yes,0.70754,3439,4857,0.69475,0.72033
2007,No migration background,East,No,0.29246,1418,4857,0.27967,0.30525
2007,Direct migration background,West,Yes,0.66388,1383,2019,0.64327,0.68449
2007,Direct migration background,West,No,0.33612,636,2019,0.31551,0.35673
2007,Direct migration background,East,Yes,0.79664,77,77,0.70615,0.88713
2007,Indirect migration background,West,Yes,0.61307,458,737,0.57788,0.64825
2007,Indirect migration background,West,No,0.38693,279,737,0.35175,0.42212
2008,No migration background,West,Yes,0.71467,8555,11946,0.70657,0.72277
2008,No migration background,West,No,0.28533,3391,11946,0.27723,0.29343
2008,No migration background,East,Yes,0.70652,3274,4625,0.69340,0.71965
2008,No migration background,East,No,0.29348,1351,4625,0.28035,0.30660
2008,Direct migration background,West,Yes,0.68365,1238,1819,0.66227,0.70502
2008,Direct migration background,West,No,0.31635,581,1819,0.29498,0.33773
2008,Direct migration background,East,Yes,0.78754,60,60,0.68317,0.89192
2008,Indirect migration background,West,Yes,0.59493,435,717,0.55897,0.63089
2008,Indirect migration background,West,No,0.40507,282,717,0.36911,0.44103
2009,No migration background,West,Yes,0.72835,8207,11169,0.72010,0.73660
2009,No migration background,West,No,0.27165,2962,11169,0.26340,0.27990
2009,No migration background,East,Yes,0.72458,3220,4407,0.71139,0.73777
2009,No migration background,East,No,0.27542,1187,4407,0.26223,0.28861
2009,Direct migration background,West,Yes,0.68082,1102,1576,0.65780,0.70385
2009,Direct migration background,West,No,0.31918,474,1576,0.29615,0.34220
2009,Direct migration background,East,Yes,0.78503,57,57,0.67743,0.89262
2009,Indirect migration background,West,Yes,0.56415,405,668,0.52652,0.60178
2009,Indirect migration background,West,No,0.43585,263,668,0.39822,0.47348
2010,No migration background,West,Yes,0.71934,10193,14540,0.71204,0.72665
2010,No migration background,West,No,0.28066,4347,14540,0.27335,0.28796
2010,No migration background,East,Yes,0.73996,3700,5224,0.72806,0.75186
2010,No migration background,East,No,0.26004,1524,5224,0.24814,0.27194
2010,Direct migration background,West,Yes,0.65399,1766,2837,0.63648,0.67149
2010,Direct migration background,West,No,0.34601,1071,2837,0.32851,0.36352
2010,Direct migration background,East,Yes,0.75881,90,136,0.68665,0.83098
2010,Direct migration background,East,No,0.24119,46,136,0.16902,0.31335
2010,Indirect migration background,West,Yes,0.56676,610,1010,0.53618,0.59733
2010,Indirect migration background,West,No,0.43324,400,1010,0.40267,0.46382
2010,Indirect migration background,East,Yes,0.65936,43,43,0.51603,0.80269
2011,No migration background,West,Yes,0.72716,12616,17681,0.72059,0.73372
2011,No migration background,West,No,0.27284,5065,17681,0.26628,0.27941
2011,No migration background,East,Yes,0.74617,4363,6055,0.73521,0.75714
2011,No migration background,East,No,0.25383,1692,6055,0.24286,0.26479
2011,Direct migration background,West,Yes,0.68470,2123,3172,0.66852,0.70087
2011,Direct migration background,West,No,0.31530,1049,3172,0.29913,0.33148
2011,Direct migration background,East,Yes,0.78628,115,168,0.72410,0.84845
2011,Direct migration background,East,No,0.21372,53,168,0.15155,0.27590
2011,Indirect migration background,West,Yes,0.60359,727,1159,0.57542,0.63177
2011,Indirect migration background,West,No,0.39641,432,1159,0.36823,0.42458
2011,Indirect migration background,East,Yes,0.54930,46,77,0.43743,0.66116
2011,Indirect migration background,East,No,0.45070,31,77,0.33884,0.56257
2012,No migration background,West,Yes,0.72335,12380,17254,0.71667,0.73002
2012,No migration background,West,No,0.27665,4874,17254,0.26998,0.28333
2012,No migration background,East,Yes,0.73210,4252,5897,0.72079,0.74340
2012,No migration background,East,No,0.26790,1645,5897,0.25660,0.27921
2012,Direct migration background,West,Yes,0.69504,2000,3010,0.67859,0.71149
2012,Direct migration background,West,No,0.30496,1010,3010,0.28851,0.32141
2012,Direct migration background,East,Yes,0.74225,108,175,0.67725,0.80724
2012,Direct migration background,East,No,0.25775,67,175,0.19276,0.32275
2012,Indirect migration background,West,Yes,0.58591,717,1127,0.55714,0.61468
2012,Indirect migration background,West,No,0.41409,410,1127,0.38532,0.44286
2012,Indirect migration background,East,Yes,0.59200,39,39,0.43574,0.74826
2013,No migration background,West,Yes,0.75389,11895,16169,0.74725,0.76053
2013,No migration background,West,No,0.24611,4274,16169,0.23947,0.25275
2013,No migration background,East,Yes,0.73805,4041,5499,0.72643,0.74968
2013,No migration background,East,No,0.26195,1458,5499,0.25032,0.27357
2013,Direct migration background,West,Yes,0.71898,1851,2695,0.70201,0.73596
2013,Direct migration background,West,No,0.28102,844,2695,0.26404,0.29799
2013,Direct migration background,East,Yes,0.80946,107,157,0.74783,0.87109
2013,Direct migration background,East,No,0.19054,50,157,0.12891,0.25217
2013,Indirect migration background,West,Yes,0.68221,714,1058,0.65414,0.71028
2013,Indirect migration background,West,No,0.31779,344,1058,0.28972,0.34586
2013,Indirect migration background,East,Yes,0.66827,43,43,0.52588,0.81067
2014,No migration background,West,Yes,0.72526,10638,14920,0.71809,0.73242
2014,No migration background,West,No,0.27474,4282,14920,0.26758,0.28191
2014,No migration background,East,Yes,0.74387,3714,5103,0.73190,0.75585
2014,No migration background,East,No,0.25613,1389,5103,0.24415,0.26810
2014,Direct migration background,West,Yes,0.67659,3260,4901,0.66349,0.68969
2014,Direct migration background,West,No,0.32341,1641,4901,0.31031,0.33651
2014,Direct migration background,East,Yes,0.72363,255,366,0.67775,0.76951
2014,Direct migration background,East,No,0.27637,111,366,0.23049,0.32225
2014,Indirect migration background,West,Yes,0.61410,1032,1601,0.59025,0.63796
2014,Indirect migration background,West,No,0.38590,569,1601,0.36204,0.40975
2014,Indirect migration background,East,Yes,0.59921,56,89,0.49681,0.70160
2014,Indirect migration background,East,No,0.40079,33,89,0.29840,0.50319
2015,No migration background,West,Yes,0.73345,10125,14137,0.72616,0.74074
2015,No migration background,West,No,0.26655,4012,14137,0.25926,0.27384
2015,No migration background,East,Yes,0.73014,3521,4823,0.71761,0.74267
2015,No migration background,East,No,0.26986,1302,4823,0.25733,0.28239
2015,Direct migration background,West,Yes,0.68050,2741,4147,0.66631,0.69470
2015,Direct migration background,West,No,0.31950,1406,4147,0.30530,0.33369
2015,Direct migration background,East,Yes,0.69498,214,316,0.64413,0.74582
2015,Direct migration background,East,No,0.30502,102,316,0.25418,0.35587
2015,Indirect migration background,West,Yes,0.66036,954,1445,0.63593,0.68478
2015,Indirect migration background,West,No,0.33964,491,1445,0.31522,0.36407
2015,Indirect migration background,East,Yes,0.54310,51,92,0.44076,0.64545
2015,Indirect migration background,East,No,0.45690,41,92,0.35455,0.55924
2016,No migration background,West,Yes,0.72309,9305,13150,0.71544,0.73074
2016,No migration background,West,No,0.27691,3845,13150,0.26926,0.28456
2016,No migration background,East,Yes,0.72525,3290,4527,0.71225,0.73826
2016,No migration background,East,No,0.27475,1237,4527,0.26174,0.28775
2016,Direct migration background,West,Yes,0.67382,2977,4556,0.66020,0.68743
2016,Direct migration background,West,No,0.32618,1579,4556,0.31257,0.33980
2016,Direct migration background,East,Yes,0.63600,244,370,0.58691,0.68510
2016,Direct migration background,East,No,0.36400,126,370,0.31490,0.41309
2016,Indirect migration background,West,Yes,0.63178,849,1354,0.60607,0.65748
2016,Indirect migration background,West,No,0.36822,505,1354,0.34252,0.39393
2016,Indirect migration background,East,Yes,0.67005,66,98,0.57648,0.76362
2016,Indirect migration background,East,No,0.32995,32,98,0.23638,0.42352
2017,No migration background,West,Yes,0.73836,10877,14929,0.73131,0.74541
2017,No migration background,West,No,0.26164,4052,14929,0.25459,0.26869
2017,No migration background,East,Yes,0.75916,3765,5095,0.74742,0.77090
2017,No migration background,East,No,0.24084,1330,5095,0.22910,0.25258
2017,Direct migration background,West,Yes,0.69844,2944,4348,0.68480,0.71209
2017,Direct migration background,West,No,0.30156,1404,4348,0.28791,0.31520
2017,Direct migration background,East,Yes,0.71336,269,380,0.66783,0.75889
2017,Direct migration background,East,No,0.28664,111,380,0.24111,0.33217
2017,Indirect migration background,West,Yes,0.67244,1003,1494,0.64863,0.69625
2017,Indirect migration background,West,No,0.32756,491,1494,0.30375,0.35137
2017,Indirect migration background,East,Yes,0.68243,65,98,0.58979,0.77508
2017,Indirect migration background,East,No,0.31757,33,98,0.22492,0.41021
2018,No migration background,West,Yes,0.73900,10467,14356,0.73182,0.74619
2018,No migration background,West,No,0.26100,3889,14356,0.25381,0.26818
2018,No migration background,East,Yes,0.74479,3700,4989,0.73269,0.75689
2018,No migration background,East,No,0.25521,1289,4989,0.24311,0.26731
2018,Direct migration background,West,Yes,0.67862,2845,4191,0.66448,0.69277
2018,Direct migration background,West,No,0.32138,1346,4191,0.30723,0.33552
2018,Direct migration background,East,Yes,0.64481,246,368,0.59585,0.69377
2018,Direct migration background,East,No,0.35519,122,368,0.30623,0.40415
2018,Indirect migration background,West,Yes,0.63959,955,1485,0.61516,0.66402
2018,Indirect migration background,West,No,0.36041,530,1485,0.33598,0.38484
2018,Indirect migration background,East,Yes,0.61371,78,115,0.52433,0.70309
2018,Indirect migration background,East,No,0.38629,37,115,0.29691,0.47567
2019,No migration background,Does not apply,Yes,0.72621,49,49,0.60006,0.85235
2019,No migration background,West,Yes,0.74541,10877,14903,0.73841,0.75240
2019,No migration background,West,No,0.25459,4026,14903,0.24760,0.26159
2019,No migration background,East,Yes,0.74692,3739,5099,0.73499,0.75886
2019,No migration background,East,No,0.25308,1360,5099,0.24114,0.26501
2019,Direct migration background,West,Yes,0.70763,2573,3707,0.69298,0.72227
2019,Direct migration background,West,No,0.29237,1134,3707,0.27773,0.30702
2019,Direct migration background,East,Yes,0.63695,202,313,0.58359,0.69031
2019,Direct migration background,East,No,0.36305,111,313,0.30969,0.41641
2019,Indirect migration background,West,Yes,0.66768,946,1440,0.64334,0.69201
2019,Indirect migration background,West,No,0.33232,494,1440,0.30799,0.35666
2019,Indirect migration background,East,Yes,0.53713,71,117,0.44639,0.62787
2019,Indirect migration background,East,No,0.46287,46,117,0.37213,0.55361
2020,No migration background,West,Yes,0.69992,9574,13747,0.69226,0.70758
2020,No migration background,West,No,0.30008,4173,13747,0.29242,0.30774
2020,No migration background,East,Yes,0.71119,3300,4681,0.69820,0.72417
2020,No migration background,East,No,0.28881,1381,4681,0.27583,0.30180
2020,Direct migration background,West,Yes,0.61132,4138,7450,0.60025,0.62239
2020,Direct migration background,West,No,0.38868,3312,7450,0.37761,0.39975
2020,Direct migration background,East,Yes,0.53269,440,890,0.49990,0.56549
2020,Direct migration background,East,No,0.46731,450,890,0.43451,0.50010
2020,Indirect migration background,West,Yes,0.58243,847,1413,0.55671,0.60815
2020,Indirect migration background,West,No,0.41757,566,1413,0.39185,0.44329
2020,Indirect migration background,East,Yes,0.42691,58,114,0.33571,0.51812
2020,Indirect migration background,East,No,0.57309,56,114,0.48188,0.66429
2021,No migration background,West,Yes,0.73802,7346,9891,0.72935,0.74668
2021,No migration background,West,No,0.26198,2545,9891,0.25332,0.27065
2021,No migration background,East,Yes,0.73034,2424,3262,0.71511,0.74558
2021,No migration background,East,No,0.26966,838,3262,0.25442,0.28489
2021,Direct migration background,West,Yes,0.67156,1795,2791,0.65413,0.68899
2021,Direct migration background,West,No,0.32844,996,2791,0.31101,0.34587
2021,Direct migration background,East,Yes,0.55890,173,274,0.50000,0.61780
2021,Direct migration background,East,No,0.44110,101,274,0.38220,0.50000
2021,Indirect migration background,West,Yes,0.66093,562,846,0.62901,0.69285
2021,Indirect migration background,West,No,0.33907,284,846,0.30715,0.37099
2021,Indirect migration background,East,Yes,0.52380,51,51,0.38536,0.66223
2022,No migration background,West,Yes,0.70981,8680,12248,0.70177,0.71785
2022,No migration background,West,No,0.29019,3568,12248,0.28215,0.29823
2022,No migration background,East,Yes,0.70754,2847,4104,0.69362,0.72146
2022,No migration background,East,No,0.29246,1257,4104,0.27854,0.30638
2022,Direct migration background,West,Yes,0.64388,4228,6817,0.63251,0.65525
2022,Direct migration background,West,No,0.35612,2589,6817,0.34475,0.36749
2022,Direct migration background,East,Yes,0.52611,606,989,0.49498,0.55725
2022,Direct migration background,East,No,0.47389,383,989,0.44275,0.50502
2022,Indirect migration background,West,Yes,0.61632,804,1203,0.58883,0.64381
2022,Indirect migration background,West,No,0.38368,399,1203,0.35619,0.41117
2022,Indirect migration background,East,Yes,0.65173,111,154,0.57624,0.72722
2022,Indirect migration background,East,No,0.34827,43,154,0.27278,0.42376
