year,migback,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Indirect migration background,female,No,0.07127,65,173,0.03282,0.10971
1992,No migration background,male,Yes,0.52375,3023,4892,0.50975,0.53775
1992,No migration background,male,No,0.29148,1869,4892,0.27874,0.30421
1992,No migration background,female,Yes,0.63894,4033,5373,0.62610,0.65179
1992,No migration background,female,No,0.19465,1340,5373,0.18406,0.20524
1992,Direct migration background,male,Yes,0.56420,728,1291,0.53714,0.59126
1992,Direct migration background,male,No,0.39355,563,1291,0.36689,0.42021
1992,Direct migration background,female,Yes,0.70268,862,1200,0.67681,0.72856
1992,Direct migration background,female,No,0.25789,338,1200,0.23312,0.28265
1992,Indirect migration background,male,Yes,0.11947,87,202,0.07463,0.16431
1992,Indirect migration background,male,No,0.12114,115,202,0.07603,0.16625
1992,Indirect migration background,female,Yes,0.18560,132,198,0.13131,0.23989
1992,Indirect migration background,female,No,0.08663,66,198,0.04735,0.12591
1994,No migration background,male,Yes,0.58410,3339,4741,0.57007,0.59813
1994,No migration background,male,No,0.22835,1402,4741,0.21640,0.24030
1994,No migration background,female,Yes,0.70512,4383,5243,0.69277,0.71746
1994,No migration background,female,No,0.13171,860,5243,0.12256,0.14087
1994,Direct migration background,male,Yes,0.69308,810,1200,0.66697,0.71919
1994,Direct migration background,male,No,0.28884,390,1200,0.26318,0.31449
1994,Direct migration background,female,Yes,0.77698,894,1138,0.75278,0.80117
1994,Direct migration background,female,No,0.19980,244,1138,0.17656,0.22304
1994,Indirect migration background,male,Yes,0.19549,132,243,0.14553,0.24546
1994,Indirect migration background,male,No,0.12823,111,243,0.08610,0.17035
1994,Indirect migration background,female,Yes,0.26115,174,241,0.20557,0.31672
1994,Indirect migration background,female,No,0.07465,67,241,0.04140,0.10791
1995,No migration background,male,Yes,0.53387,2962,4710,0.51962,0.54812
1995,No migration background,male,No,0.27747,1748,4710,0.26468,0.29026
1995,No migration background,female,Yes,0.66598,4080,5208,0.65317,0.67879
1995,No migration background,female,No,0.16529,1128,5208,0.15520,0.17538
1995,Direct migration background,male,Yes,0.54714,819,1396,0.52102,0.57326
1995,Direct migration background,male,No,0.37788,577,1396,0.35244,0.40333
1995,Direct migration background,female,Yes,0.68213,1004,1362,0.65739,0.70687
1995,Direct migration background,female,No,0.25154,358,1362,0.22848,0.27459
1995,Indirect migration background,male,Yes,0.15760,124,249,0.11225,0.20294
1995,Indirect migration background,male,No,0.15564,125,249,0.11052,0.20076
1995,Indirect migration background,female,Yes,0.22036,160,252,0.16908,0.27164
1995,Indirect migration background,female,No,0.11962,92,252,0.07947,0.15977
1996,No migration background,male,Yes,0.53015,2957,4669,0.51584,0.54447
1996,No migration background,male,No,0.28011,1712,4669,0.26723,0.29299
1996,No migration background,female,Yes,0.65853,3970,5131,0.64555,0.67151
1996,No migration background,female,No,0.17212,1161,5131,0.16179,0.18245
1996,Direct migration background,male,Yes,0.61455,824,1292,0.58801,0.64110
1996,Direct migration background,male,No,0.30832,468,1292,0.28313,0.33352
1996,Direct migration background,female,Yes,0.67521,928,1270,0.64945,0.70098
1996,Direct migration background,female,No,0.24845,342,1270,0.22467,0.27222
1996,Indirect migration background,male,Yes,0.17802,137,260,0.13144,0.22461
1996,Indirect migration background,male,No,0.13073,123,260,0.08967,0.17178
1996,Indirect migration background,female,Yes,0.22029,179,273,0.17103,0.26954
1996,Indirect migration background,female,No,0.12951,94,273,0.08960,0.16941
1997,No migration background,male,Yes,0.51341,2833,4657,0.49906,0.52777
1997,No migration background,male,No,0.30676,1824,4657,0.29352,0.32001
1997,No migration background,female,Yes,0.66777,3944,5102,0.65485,0.68070
1997,No migration background,female,No,0.17187,1158,5102,0.16152,0.18223
1997,Direct migration background,male,Yes,0.58400,758,1244,0.55659,0.61140
1997,Direct migration background,male,No,0.34969,486,1244,0.32318,0.37620
1997,Direct migration background,female,Yes,0.71173,904,1211,0.68621,0.73725
1997,Direct migration background,female,No,0.23585,307,1211,0.21193,0.25977
1997,Indirect migration background,male,Yes,0.17642,129,287,0.13225,0.22060
1997,Indirect migration background,male,No,0.17903,158,287,0.13460,0.22346
1997,Indirect migration background,female,Yes,0.26596,184,275,0.21364,0.31828
1997,Indirect migration background,female,No,0.11202,91,275,0.07468,0.14937
1998,No migration background,male,Yes,0.50431,3204,5338,0.49089,0.51772
1998,No migration background,male,No,0.31647,2134,5338,0.30399,0.32894
1998,No migration background,female,Yes,0.63789,4346,5823,0.62554,0.65023
1998,No migration background,female,No,0.19963,1477,5823,0.18936,0.20990
1998,Direct migration background,male,Yes,0.55161,686,1200,0.52346,0.57976
1998,Direct migration background,male,No,0.38332,514,1200,0.35580,0.41084
1998,Direct migration background,female,Yes,0.69768,857,1174,0.67139,0.72396
1998,Direct migration background,female,No,0.23920,317,1174,0.21479,0.26361
1998,Indirect migration background,male,Yes,0.20412,152,305,0.15881,0.24943
1998,Indirect migration background,male,No,0.20139,153,305,0.15631,0.24648
1998,Indirect migration background,female,Yes,0.23967,185,289,0.19036,0.28897
1998,Indirect migration background,female,No,0.13932,104,289,0.09932,0.17931
1999,No migration background,male,Yes,0.53183,3284,5178,0.51824,0.54542
1999,No migration background,male,No,0.29526,1894,5178,0.28284,0.30769
1999,No migration background,female,Yes,0.66776,4388,5644,0.65547,0.68005
1999,No migration background,female,No,0.17700,1256,5644,0.16704,0.18696
1999,Direct migration background,male,Yes,0.55342,654,1101,0.52404,0.58279
1999,Direct migration background,male,No,0.38726,447,1101,0.35847,0.41605
1999,Direct migration background,female,Yes,0.71881,823,1091,0.69212,0.74550
1999,Direct migration background,female,No,0.23305,268,1091,0.20795,0.25815
1999,Indirect migration background,male,Yes,0.21186,151,301,0.16562,0.25810
1999,Indirect migration background,male,No,0.19510,150,301,0.15025,0.23994
1999,Indirect migration background,female,Yes,0.28102,203,297,0.22982,0.33223
1999,Indirect migration background,female,No,0.11073,94,297,0.07498,0.14648
2000,No migration background,male,Yes,0.51558,5860,9517,0.50554,0.52562
2000,No migration background,male,No,0.31403,3657,9517,0.30471,0.32336
2000,No migration background,female,Yes,0.64881,7806,10386,0.63963,0.65800
2000,No migration background,female,No,0.20132,2580,10386,0.19361,0.20903
2000,Direct migration background,male,Yes,0.53289,942,1619,0.50858,0.55720
2000,Direct migration background,male,No,0.38294,677,1619,0.35925,0.40662
2000,Direct migration background,female,Yes,0.64407,1187,1676,0.62114,0.66700
2000,Direct migration background,female,No,0.27028,489,1676,0.24901,0.29155
2000,Indirect migration background,male,Yes,0.21665,209,399,0.17617,0.25712
2000,Indirect migration background,male,No,0.17546,190,399,0.13809,0.21283
2000,Indirect migration background,female,Yes,0.27069,284,415,0.22789,0.31349
2000,Indirect migration background,female,No,0.13008,131,415,0.09768,0.16249
2001,No migration background,male,Yes,0.52350,5420,8692,0.51299,0.53400
2001,No migration background,male,No,0.30918,3272,8692,0.29947,0.31890
2001,No migration background,female,Yes,0.65994,7249,9479,0.65041,0.66948
2001,No migration background,female,No,0.19260,2230,9479,0.18466,0.20054
2001,Direct migration background,male,Yes,0.54739,841,1424,0.52152,0.57325
2001,Direct migration background,male,No,0.38737,583,1424,0.36206,0.41268
2001,Direct migration background,female,Yes,0.68591,1095,1481,0.66226,0.70956
2001,Direct migration background,female,No,0.23915,386,1481,0.21742,0.26089
2001,Indirect migration background,male,Yes,0.19216,177,369,0.15190,0.23241
2001,Indirect migration background,male,No,0.18918,192,369,0.14917,0.22920
2001,Indirect migration background,female,Yes,0.25424,257,392,0.21108,0.29740
2001,Indirect migration background,female,No,0.12320,135,392,0.09062,0.15577
2002,No migration background,male,Yes,0.51787,5806,9377,0.50776,0.52799
2002,No migration background,male,No,0.31760,3571,9377,0.30818,0.32702
2002,No migration background,female,Yes,0.64738,7507,10027,0.63803,0.65673
2002,No migration background,female,No,0.20631,2520,10027,0.19838,0.21423
2002,Direct migration background,male,Yes,0.52371,784,1356,0.49711,0.55030
2002,Direct migration background,male,No,0.41826,572,1356,0.39199,0.44452
2002,Direct migration background,female,Yes,0.67229,1016,1435,0.64800,0.69658
2002,Direct migration background,female,No,0.27059,419,1435,0.24759,0.29358
2002,Indirect migration background,male,Yes,0.17051,175,362,0.13172,0.20931
2002,Indirect migration background,male,No,0.20435,187,362,0.16275,0.24595
2002,Indirect migration background,female,Yes,0.25492,258,403,0.21231,0.29752
2002,Indirect migration background,female,No,0.12948,145,403,0.09666,0.16230
2003,No migration background,male,Yes,0.53825,5799,9005,0.52795,0.54855
2003,No migration background,male,No,0.29883,3206,9005,0.28937,0.30828
2003,No migration background,female,Yes,0.65461,7325,9675,0.64513,0.66408
2003,No migration background,female,No,0.19702,2350,9675,0.18909,0.20494
2003,Direct migration background,male,Yes,0.58893,768,1256,0.56171,0.61616
2003,Direct migration background,male,No,0.35476,488,1256,0.32829,0.38123
2003,Direct migration background,female,Yes,0.66574,958,1344,0.64051,0.69097
2003,Direct migration background,female,No,0.27246,386,1344,0.24865,0.29627
2003,Indirect migration background,male,Yes,0.18433,168,362,0.14433,0.22433
2003,Indirect migration background,male,No,0.20123,194,362,0.15987,0.24259
2003,Indirect migration background,female,Yes,0.27195,273,406,0.22861,0.31528
2003,Indirect migration background,female,No,0.13033,133,406,0.09754,0.16312
2004,No migration background,male,Yes,0.52665,5417,8757,0.51619,0.53711
2004,No migration background,male,No,0.31507,3340,8757,0.30534,0.32481
2004,No migration background,female,Yes,0.65241,7083,9457,0.64282,0.66201
2004,No migration background,female,No,0.20257,2374,9457,0.19447,0.21067
2004,Direct migration background,male,Yes,0.56531,710,1213,0.53741,0.59322
2004,Direct migration background,male,No,0.39555,503,1213,0.36802,0.42308
2004,Direct migration background,female,Yes,0.67306,933,1309,0.64764,0.69849
2004,Direct migration background,female,No,0.27393,376,1309,0.24976,0.29810
2004,Indirect migration background,male,Yes,0.20201,177,380,0.16159,0.24243
2004,Indirect migration background,male,No,0.22229,203,380,0.18043,0.26415
2004,Indirect migration background,female,Yes,0.29496,268,416,0.25108,0.33883
2004,Indirect migration background,female,No,0.13522,148,416,0.10231,0.16812
2005,No migration background,male,Yes,0.53912,5312,8340,0.52842,0.54981
2005,No migration background,male,No,0.30309,3028,8340,0.29323,0.31296
2005,No migration background,female,Yes,0.65589,6886,9079,0.64612,0.66567
2005,No migration background,female,No,0.20020,2193,9079,0.19197,0.20843
2005,Direct migration background,male,Yes,0.59437,683,1108,0.56545,0.62330
2005,Direct migration background,male,No,0.36198,425,1108,0.33367,0.39029
2005,Direct migration background,female,Yes,0.68648,914,1246,0.66071,0.71225
2005,Direct migration background,female,No,0.26859,332,1246,0.24397,0.29321
2005,Indirect migration background,male,Yes,0.24041,181,400,0.19848,0.28234
2005,Indirect migration background,male,No,0.22046,219,400,0.17978,0.26114
2005,Indirect migration background,female,Yes,0.32093,285,423,0.27638,0.36547
2005,Indirect migration background,female,No,0.15173,138,423,0.11750,0.18596
2006,No migration background,male,Yes,0.53050,5686,8965,0.52017,0.54084
2006,No migration background,male,No,0.30871,3279,8965,0.29915,0.31828
2006,No migration background,female,Yes,0.64705,7275,9773,0.63757,0.65652
2006,No migration background,female,No,0.20771,2498,9773,0.19966,0.21575
2006,Direct migration background,male,Yes,0.55415,637,1101,0.52478,0.58353
2006,Direct migration background,male,No,0.40706,464,1101,0.37803,0.43610
2006,Direct migration background,female,Yes,0.67333,914,1273,0.64756,0.69911
2006,Direct migration background,female,No,0.28278,359,1273,0.25804,0.30753
2006,Indirect migration background,male,Yes,0.23753,201,387,0.19508,0.27999
2006,Indirect migration background,male,No,0.22313,186,387,0.18159,0.26466
2006,Indirect migration background,female,Yes,0.32614,294,424,0.28146,0.37081
2006,Indirect migration background,female,No,0.13469,130,424,0.10216,0.16722
2007,No migration background,male,Yes,0.54252,5455,8384,0.53186,0.55319
2007,No migration background,male,No,0.29288,2929,8384,0.28314,0.30262
2007,No migration background,female,Yes,0.66156,6977,9144,0.65186,0.67126
2007,No migration background,female,No,0.19251,2167,9144,0.18443,0.20060
2007,Direct migration background,male,Yes,0.56024,596,975,0.52906,0.59141
2007,Direct migration background,male,No,0.40376,379,975,0.37294,0.43457
2007,Direct migration background,female,Yes,0.71300,864,1135,0.68667,0.73932
2007,Direct migration background,female,No,0.24023,271,1135,0.21537,0.26510
2007,Indirect migration background,male,Yes,0.26538,188,366,0.22009,0.31068
2007,Indirect migration background,male,No,0.20914,178,366,0.16742,0.25086
2007,Indirect migration background,female,Yes,0.32766,296,411,0.28223,0.37310
2007,Indirect migration background,female,No,0.15692,115,411,0.12171,0.19213
2008,No migration background,male,Yes,0.54518,5199,7923,0.53421,0.55614
2008,No migration background,male,No,0.29625,2724,7923,0.28619,0.30630
2008,No migration background,female,Yes,0.66206,6630,8648,0.65209,0.67203
2008,No migration background,female,No,0.19270,2018,8648,0.18439,0.20101
2008,Direct migration background,male,Yes,0.60517,545,879,0.57283,0.63750
2008,Direct migration background,male,No,0.36591,334,879,0.33405,0.39777
2008,Direct migration background,female,Yes,0.72361,753,1019,0.69614,0.75108
2008,Direct migration background,female,No,0.24731,266,1019,0.22081,0.27382
2008,Indirect migration background,male,Yes,0.26119,185,361,0.21581,0.30657
2008,Indirect migration background,male,No,0.22799,176,361,0.18465,0.27132
2008,Indirect migration background,female,Yes,0.32885,276,397,0.28258,0.37513
2008,Indirect migration background,female,No,0.17048,121,397,0.13344,0.20752
2009,No migration background,male,Yes,0.56096,5063,7457,0.54970,0.57222
2009,No migration background,male,No,0.28336,2394,7457,0.27313,0.29358
2009,No migration background,female,Yes,0.67558,6364,8119,0.66540,0.68577
2009,No migration background,female,No,0.18188,1755,8119,0.17348,0.19027
2009,Direct migration background,male,Yes,0.60415,486,758,0.56931,0.63899
2009,Direct migration background,male,No,0.36390,272,758,0.32963,0.39818
2009,Direct migration background,female,Yes,0.71741,673,893,0.68786,0.74696
2009,Direct migration background,female,No,0.25560,220,893,0.22698,0.28423
2009,Indirect migration background,male,Yes,0.24639,171,339,0.20045,0.29233
2009,Indirect migration background,male,No,0.27927,168,339,0.23144,0.32710
2009,Indirect migration background,female,Yes,0.36260,254,369,0.31348,0.41172
2009,Indirect migration background,female,No,0.18718,115,369,0.14733,0.22703
2010,No migration background,male,Yes,0.56692,5853,9028,0.55669,0.57714
2010,No migration background,male,No,0.28441,3175,9028,0.27510,0.29372
2010,No migration background,female,Yes,0.66788,8040,10736,0.65897,0.67679
2010,No migration background,female,No,0.18881,2696,10736,0.18141,0.19622
2010,Direct migration background,male,Yes,0.58398,728,1324,0.55742,0.61054
2010,Direct migration background,male,No,0.38673,596,1324,0.36049,0.41298
2010,Direct migration background,female,Yes,0.68044,1128,1649,0.65793,0.70296
2010,Direct migration background,female,No,0.28452,521,1649,0.26274,0.30631
2010,Indirect migration background,male,Yes,0.21561,252,491,0.17920,0.25202
2010,Indirect migration background,male,No,0.23435,239,491,0.19685,0.27186
2010,Indirect migration background,female,Yes,0.31244,401,590,0.27501,0.34987
2010,Indirect migration background,female,No,0.15365,189,590,0.12453,0.18277
2011,No migration background,male,Yes,0.57121,7158,10804,0.56188,0.58055
2011,No migration background,male,No,0.27604,3646,10804,0.26761,0.28447
2011,No migration background,female,Yes,0.67350,9821,12932,0.66542,0.68158
2011,No migration background,female,No,0.18404,3111,12932,0.17736,0.19072
2011,Direct migration background,male,Yes,0.61249,907,1462,0.58750,0.63747
2011,Direct migration background,male,No,0.34810,555,1462,0.32368,0.37253
2011,Direct migration background,female,Yes,0.70664,1331,1878,0.68604,0.72723
2011,Direct migration background,female,No,0.26080,547,1878,0.24093,0.28066
2011,Indirect migration background,male,Yes,0.24217,318,557,0.20656,0.27778
2011,Indirect migration background,male,No,0.20874,239,557,0.17496,0.24252
2011,Indirect migration background,female,Yes,0.30592,455,679,0.27124,0.34061
2011,Indirect migration background,female,No,0.14899,224,679,0.12218,0.17579
2012,No migration background,male,Yes,0.56404,7006,10555,0.55458,0.57350
2012,No migration background,male,No,0.28477,3549,10555,0.27616,0.29338
2012,No migration background,female,Yes,0.67056,9626,12596,0.66235,0.67877
2012,No migration background,female,No,0.18583,2970,12596,0.17904,0.19263
2012,Direct migration background,male,Yes,0.61930,834,1400,0.59386,0.64474
2012,Direct migration background,male,No,0.34341,566,1400,0.31853,0.36829
2012,Direct migration background,female,Yes,0.71895,1274,1785,0.69809,0.73981
2012,Direct migration background,female,No,0.24826,511,1785,0.22821,0.26830
2012,Indirect migration background,male,Yes,0.24498,303,548,0.20894,0.28102
2012,Indirect migration background,male,No,0.20742,245,548,0.17344,0.24139
2012,Indirect migration background,female,Yes,0.29418,453,647,0.25904,0.32932
2012,Indirect migration background,female,No,0.16978,194,647,0.14083,0.19873
2013,No migration background,male,Yes,0.59450,6856,9861,0.58481,0.60420
2013,No migration background,male,No,0.24908,3005,9861,0.24055,0.25762
2013,No migration background,female,Yes,0.68420,9080,11807,0.67581,0.69258
2013,No migration background,female,No,0.17797,2727,11807,0.17107,0.18487
2013,Direct migration background,male,Yes,0.36329,774,1230,0.33640,0.39018
2013,Direct migration background,male,No,0.18006,456,1230,0.15858,0.20155
2013,Direct migration background,female,Yes,0.44089,1184,1622,0.41672,0.46506
2013,Direct migration background,female,No,0.13218,438,1622,0.11569,0.14867
2013,Indirect migration background,male,Yes,0.16354,309,518,0.13166,0.19542
2013,Indirect migration background,male,No,0.10944,209,518,0.08253,0.13635
2013,Indirect migration background,female,Yes,0.21440,448,607,0.18172,0.24707
2013,Indirect migration background,female,No,0.06502,159,607,0.04539,0.08465
2014,No migration background,male,Yes,0.57850,6185,9212,0.56842,0.58859
2014,No migration background,male,No,0.27608,3027,9212,0.26695,0.28521
2014,No migration background,female,Yes,0.67123,8167,10811,0.66237,0.68008
2014,No migration background,female,No,0.19100,2644,10811,0.18359,0.19842
2014,Direct migration background,male,Yes,0.58680,1417,2381,0.56702,0.60658
2014,Direct migration background,male,No,0.37702,964,2381,0.35755,0.39649
2014,Direct migration background,female,Yes,0.71457,2098,2886,0.69809,0.73105
2014,Direct migration background,female,No,0.24433,788,2886,0.22865,0.26001
2014,Indirect migration background,male,Yes,0.28215,476,799,0.25092,0.31337
2014,Indirect migration background,male,No,0.21213,323,799,0.18377,0.24050
2014,Indirect migration background,female,Yes,0.31959,612,891,0.28896,0.35023
2014,Indirect migration background,female,No,0.16183,279,891,0.13763,0.18603
2015,No migration background,male,Yes,0.58329,5879,8712,0.57294,0.59365
2015,No migration background,male,No,0.26732,2833,8712,0.25803,0.27662
2015,No migration background,female,Yes,0.66911,7767,10248,0.65999,0.67822
2015,No migration background,female,No,0.19166,2481,10248,0.18404,0.19928
2015,Direct migration background,male,Yes,0.50005,1180,1997,0.47811,0.52199
2015,Direct migration background,male,No,0.32142,817,1997,0.30093,0.34191
2015,Direct migration background,female,Yes,0.63143,1775,2466,0.61239,0.65048
2015,Direct migration background,female,No,0.21240,691,2466,0.19625,0.22854
2015,Indirect migration background,male,Yes,0.27614,393,717,0.24339,0.30889
2015,Indirect migration background,male,No,0.20785,324,717,0.17813,0.23757
2015,Indirect migration background,female,Yes,0.35549,612,820,0.32271,0.38827
2015,Indirect migration background,female,No,0.11717,208,820,0.09514,0.13920
2016,No migration background,male,Yes,0.57275,5432,8127,0.56200,0.58351
2016,No migration background,male,No,0.27555,2695,8127,0.26584,0.28526
2016,No migration background,female,Yes,0.66195,7163,9550,0.65247,0.67144
2016,No migration background,female,No,0.19797,2387,9550,0.18998,0.20596
2016,Direct migration background,male,Yes,0.53704,1285,2206,0.51623,0.55786
2016,Direct migration background,male,No,0.34986,921,2206,0.32996,0.36977
2016,Direct migration background,female,Yes,0.66707,1936,2720,0.64936,0.68479
2016,Direct migration background,female,No,0.24136,784,2720,0.22527,0.25744
2016,Indirect migration background,male,Yes,0.27707,379,678,0.24336,0.31078
2016,Indirect migration background,male,No,0.21868,299,678,0.18754,0.24982
2016,Indirect migration background,female,Yes,0.35602,536,774,0.32227,0.38978
2016,Indirect migration background,female,No,0.14201,238,774,0.11740,0.16662
2017,No migration background,male,Yes,0.59630,6482,9323,0.58634,0.60626
2017,No migration background,male,No,0.25344,2841,9323,0.24461,0.26227
2017,No migration background,female,Yes,0.67281,8160,10701,0.66392,0.68170
2017,No migration background,female,No,0.18734,2541,10701,0.17995,0.19474
2017,Direct migration background,male,Yes,0.57289,1315,2099,0.55173,0.59406
2017,Direct migration background,male,No,0.29930,784,2099,0.27971,0.31890
2017,Direct migration background,female,Yes,0.66500,1898,2629,0.64695,0.68304
2017,Direct migration background,female,No,0.23766,731,2629,0.22138,0.25393
2017,Indirect migration background,male,Yes,0.31403,462,750,0.28079,0.34727
2017,Indirect migration background,male,No,0.18307,288,750,0.15538,0.21077
2017,Indirect migration background,female,Yes,0.35913,606,842,0.32671,0.39156
2017,Indirect migration background,female,No,0.14042,236,842,0.11694,0.16390
2018,No migration background,male,Yes,0.59615,6246,8981,0.58600,0.60630
2018,No migration background,male,No,0.25958,2735,8981,0.25051,0.26865
2018,No migration background,female,Yes,0.67509,7921,10364,0.66607,0.68411
2018,No migration background,female,No,0.18779,2443,10364,0.18027,0.19531
2018,Direct migration background,male,Yes,0.53904,1240,2020,0.51730,0.56079
2018,Direct migration background,male,No,0.33034,780,2020,0.30983,0.35086
2018,Direct migration background,female,Yes,0.65948,1851,2539,0.64104,0.67792
2018,Direct migration background,female,No,0.24693,688,2539,0.23016,0.26371
2018,Indirect migration background,male,Yes,0.29357,425,740,0.26074,0.32640
2018,Indirect migration background,male,No,0.21192,315,740,0.18245,0.24138
2018,Indirect migration background,female,Yes,0.36587,608,860,0.33366,0.39808
2018,Indirect migration background,female,No,0.15732,252,860,0.13297,0.18166
2019,No migration background,male,Yes,0.59779,6748,9700,0.58803,0.60755
2019,No migration background,male,No,0.25257,2952,9700,0.24392,0.26122
2019,No migration background,female,Yes,0.67623,7911,10363,0.66722,0.68524
2019,No migration background,female,No,0.18340,2452,10363,0.17595,0.19085
2019,Direct migration background,male,Yes,0.58284,1151,1802,0.56006,0.60561
2019,Direct migration background,male,No,0.29710,651,1802,0.27599,0.31820
2019,Direct migration background,female,Yes,0.67806,1626,2221,0.65862,0.69749
2019,Direct migration background,female,No,0.23585,595,2221,0.21819,0.25351
2019,Indirect migration background,male,Yes,0.28995,443,740,0.25723,0.32266
