year,bula_h,pgisced97,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,North Rhine-Westphalia,Upper Secondary Level,No,0.30292,461,1396,0.27881,0.32703
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.64429,55,86,0.54252,0.74607
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.35571,31,86,0.25393,0.45748
1985,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.76811,115,150,0.70034,0.83587
1985,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.23189,35,150,0.16413,0.29966
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.63534,140,223,0.57203,0.69866
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.36466,83,223,0.30134,0.42797
1985,Hesse,Primary Level,Yes,0.74521,65,65,0.63845,0.85196
1985,Hesse,Lower Secondary Level,Yes,0.80377,237,326,0.76059,0.84695
1985,Hesse,Lower Secondary Level,No,0.19623,89,326,0.15305,0.23941
1985,Hesse,Upper Secondary Level,Yes,0.71233,348,516,0.67323,0.75143
1985,Hesse,Upper Secondary Level,No,0.28767,168,516,0.24857,0.32677
1985,Hesse,First Stage of Tertiary Education,Yes,0.62241,33,33,0.45444,0.79038
1985,Hesse,Second Stage of Tertiary Education,Yes,0.66270,61,61,0.54307,0.78233
1985,"Rhineland-Palatinate, Saarland",Primary Level,Yes,0.65818,41,41,0.51119,0.80518
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.68974,177,265,0.63393,0.74554
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.31026,88,265,0.25446,0.36607
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.68495,233,355,0.63656,0.73334
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.31505,122,355,0.26666,0.36344
1985,Baden-Wuerttemberg,Primary Level,Yes,0.62697,157,244,0.56616,0.68778
1985,Baden-Wuerttemberg,Primary Level,No,0.37303,87,244,0.31222,0.43384
1985,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.70378,401,605,0.66737,0.74020
1985,Baden-Wuerttemberg,Lower Secondary Level,No,0.29622,204,605,0.25980,0.33263
1985,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.71552,597,861,0.68536,0.74567
1985,Baden-Wuerttemberg,Upper Secondary Level,No,0.28448,264,861,0.25433,0.31464
1985,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Yes,0.66604,33,33,0.50263,0.82945
1985,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.72679,77,109,0.64275,0.81083
1985,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.27321,32,109,0.18917,0.35725
1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.64630,70,112,0.55735,0.73524
1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.35370,42,112,0.26476,0.44265
1985,Bavaria,Primary Level,Yes,0.69186,59,59,0.57303,0.81069
1985,Bavaria,Lower Secondary Level,Yes,0.76140,385,534,0.72522,0.79759
1985,Bavaria,Lower Secondary Level,No,0.23860,149,534,0.20241,0.27478
1985,Bavaria,Upper Secondary Level,Yes,0.73676,678,940,0.70859,0.76493
1985,Bavaria,Upper Secondary Level,No,0.26324,262,940,0.23507,0.29141
1985,Bavaria,Post-secondary Non-tertiary Level,Yes,0.76833,35,35,0.62651,0.91015
1985,Bavaria,First Stage of Tertiary Education,Yes,0.76583,90,90,0.67785,0.85381
1985,Bavaria,Second Stage of Tertiary Education,Yes,0.71165,99,147,0.63817,0.78513
1985,Bavaria,Second Stage of Tertiary Education,No,0.28835,48,147,0.21487,0.36183
1985,Berlin,Lower Secondary Level,Yes,0.69773,54,54,0.57409,0.82137
1985,Berlin,Upper Secondary Level,Yes,0.74224,118,162,0.67468,0.80981
1985,Berlin,Upper Secondary Level,No,0.25776,44,162,0.19019,0.32532
1986,Schleswig-Holstein,Lower Secondary Level,Yes,0.77659,56,56,0.66651,0.88667
1986,Schleswig-Holstein,Upper Secondary Level,Yes,0.77900,139,181,0.71838,0.83961
1986,Schleswig-Holstein,Upper Secondary Level,No,0.22100,42,181,0.16039,0.28162
1986,Hamburg,Lower Secondary Level,Yes,0.80917,43,43,0.69033,0.92801
1986,Hamburg,Upper Secondary Level,Yes,0.73087,94,131,0.65463,0.80711
1986,Hamburg,Upper Secondary Level,No,0.26913,37,131,0.19289,0.34537
1986,Lower Saxony,Primary Level,Yes,0.84370,33,33,0.71788,0.96952
1986,Lower Saxony,Lower Secondary Level,Yes,0.77590,233,315,0.72978,0.82202
1986,Lower Saxony,Lower Secondary Level,No,0.22410,82,315,0.17798,0.27022
1986,Lower Saxony,Upper Secondary Level,Yes,0.74257,383,533,0.70542,0.77972
1986,Lower Saxony,Upper Secondary Level,No,0.25743,150,533,0.22028,0.29458
1986,Lower Saxony,First Stage of Tertiary Education,Yes,0.70908,49,49,0.58059,0.83757
1986,Lower Saxony,Second Stage of Tertiary Education,Yes,0.65691,53,53,0.52787,0.78595
1986,Bremen,Upper Secondary Level,Yes,0.69375,40,40,0.54908,0.83841
1986,North Rhine-Westphalia,Pre-primary Level,Yes,0.62670,42,42,0.47864,0.77475
1986,North Rhine-Westphalia,Primary Level,Yes,0.69267,159,245,0.63478,0.75057
1986,North Rhine-Westphalia,Primary Level,No,0.30733,86,245,0.24943,0.36522
1986,North Rhine-Westphalia,Lower Secondary Level,Yes,0.76269,500,704,0.73124,0.79414
1986,North Rhine-Westphalia,Lower Secondary Level,No,0.23731,204,704,0.20586,0.26876
1986,North Rhine-Westphalia,Upper Secondary Level,Yes,0.70036,914,1352,0.67593,0.72479
1986,North Rhine-Westphalia,Upper Secondary Level,No,0.29964,438,1352,0.27521,0.32407
1986,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.64491,53,85,0.54258,0.74725
1986,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.35509,32,85,0.25275,0.45742
1986,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.79372,113,146,0.72786,0.85958
1986,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.20628,33,146,0.14042,0.27214
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.69074,143,219,0.62938,0.75209
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.30926,76,219,0.24791,0.37062
1986,Hesse,Primary Level,Yes,0.79280,53,53,0.68263,0.90296
1986,Hesse,Lower Secondary Level,Yes,0.79396,209,295,0.74773,0.84020
1986,Hesse,Lower Secondary Level,No,0.20604,86,295,0.15980,0.25227
1986,Hesse,Upper Secondary Level,Yes,0.75609,341,470,0.71722,0.79495
1986,Hesse,Upper Secondary Level,No,0.24391,129,470,0.20505,0.28278
1986,Hesse,First Stage of Tertiary Education,Yes,0.79800,39,39,0.67034,0.92566
1986,Hesse,Second Stage of Tertiary Education,Yes,0.76142,68,68,0.65936,0.86348
1986,"Rhineland-Palatinate, Saarland",Primary Level,Yes,0.70854,35,35,0.55579,0.86129
1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.72397,181,259,0.66942,0.77852
1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.27603,78,259,0.22148,0.33058
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.72474,256,368,0.67904,0.77044
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.27526,112,368,0.22956,0.32096
1986,Baden-Wuerttemberg,Primary Level,Yes,0.60326,144,220,0.53846,0.66805
1986,Baden-Wuerttemberg,Primary Level,No,0.39674,76,220,0.33195,0.46154
1986,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.70604,411,597,0.66946,0.74261
1986,Baden-Wuerttemberg,Lower Secondary Level,No,0.29396,186,597,0.25739,0.33054
1986,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.69642,583,851,0.66551,0.72733
1986,Baden-Wuerttemberg,Upper Secondary Level,No,0.30358,268,851,0.27267,0.33449
1986,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Yes,0.67177,31,31,0.50374,0.83980
1986,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.75337,76,76,0.65581,0.85092
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.56128,64,114,0.46978,0.65277
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.43872,50,114,0.34723,0.53022
1986,Bavaria,Primary Level,Yes,0.63843,52,52,0.50656,0.77029
1986,Bavaria,Lower Secondary Level,Yes,0.79472,369,491,0.75896,0.83048
1986,Bavaria,Lower Secondary Level,No,0.20528,122,491,0.16952,0.24104
1986,Bavaria,Upper Secondary Level,Yes,0.75959,653,882,0.73138,0.78781
1986,Bavaria,Upper Secondary Level,No,0.24041,229,882,0.21219,0.26862
1986,Bavaria,Post-secondary Non-tertiary Level,Yes,0.87108,34,34,0.75674,0.98542
1986,Bavaria,First Stage of Tertiary Education,Yes,0.81502,85,85,0.73199,0.89806
1986,Bavaria,Second Stage of Tertiary Education,Yes,0.74081,105,143,0.66874,0.81288
1986,Bavaria,Second Stage of Tertiary Education,No,0.25919,38,143,0.18712,0.33126
1986,Berlin,Lower Secondary Level,Yes,0.86563,62,62,0.78005,0.95122
1986,Berlin,Upper Secondary Level,Yes,0.73079,118,164,0.66270,0.79889
1986,Berlin,Upper Secondary Level,No,0.26921,46,164,0.20111,0.33730
1987,Schleswig-Holstein,Lower Secondary Level,Yes,0.76490,51,51,0.64735,0.88244
1987,Schleswig-Holstein,Upper Secondary Level,Yes,0.77995,138,184,0.71992,0.83997
1987,Schleswig-Holstein,Upper Secondary Level,No,0.22005,46,184,0.16003,0.28008
1987,Hamburg,Lower Secondary Level,Yes,0.77381,35,35,0.63319,0.91444
1987,Hamburg,Upper Secondary Level,Yes,0.76204,89,89,0.67307,0.85101
1987,Lower Saxony,Primary Level,Yes,0.90454,40,40,0.81231,0.99676
1987,Lower Saxony,Lower Secondary Level,Yes,0.78294,217,297,0.73597,0.82990
1987,Lower Saxony,Lower Secondary Level,No,0.21706,80,297,0.17010,0.26403
1987,Lower Saxony,Upper Secondary Level,Yes,0.72092,392,555,0.68357,0.75827
1987,Lower Saxony,Upper Secondary Level,No,0.27908,163,555,0.24173,0.31643
1987,Lower Saxony,First Stage of Tertiary Education,Yes,0.75793,54,54,0.64261,0.87325
1987,Lower Saxony,Second Stage of Tertiary Education,Yes,0.75281,56,56,0.63881,0.86682
1987,Bremen,Upper Secondary Level,Yes,0.76452,42,42,0.63464,0.89440
1987,North Rhine-Westphalia,Pre-primary Level,Yes,0.61547,41,80,0.50820,0.72275
1987,North Rhine-Westphalia,Pre-primary Level,No,0.38453,39,80,0.27725,0.49180
1987,North Rhine-Westphalia,Primary Level,Yes,0.61495,134,230,0.55192,0.67798
1987,North Rhine-Westphalia,Primary Level,No,0.38505,96,230,0.32202,0.44808
1987,North Rhine-Westphalia,Lower Secondary Level,Yes,0.74747,472,688,0.71498,0.77996
1987,North Rhine-Westphalia,Lower Secondary Level,No,0.25253,216,688,0.22004,0.28502
1987,North Rhine-Westphalia,Upper Secondary Level,Yes,0.71900,926,1338,0.69491,0.74310
1987,North Rhine-Westphalia,Upper Secondary Level,No,0.28100,412,1338,0.25690,0.30509
1987,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.68100,57,57,0.55892,0.80307
1987,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.81499,119,119,0.74493,0.88505
1987,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.62776,137,220,0.56373,0.69178
1987,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.37224,83,220,0.30822,0.43627
1987,Hesse,Primary Level,Yes,0.80681,61,61,0.70691,0.90671
1987,Hesse,Lower Secondary Level,Yes,0.74173,196,290,0.69126,0.79219
1987,Hesse,Lower Secondary Level,No,0.25827,94,290,0.20781,0.30874
1987,Hesse,Upper Secondary Level,Yes,0.71833,334,480,0.67805,0.75861
1987,Hesse,Upper Secondary Level,No,0.28167,146,480,0.24139,0.32195
1987,Hesse,First Stage of Tertiary Education,Yes,0.78316,38,38,0.65038,0.91595
1987,Hesse,Second Stage of Tertiary Education,Yes,0.73786,64,64,0.62926,0.84646
1987,"Rhineland-Palatinate, Saarland",Primary Level,Yes,0.74975,36,36,0.60625,0.89326
1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.76849,186,257,0.71681,0.82016
1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.23151,71,257,0.17984,0.28319
1987,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.74580,263,367,0.70119,0.79041
1987,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.25420,104,367,0.20959,0.29881
1987,Baden-Wuerttemberg,Primary Level,Yes,0.67476,145,220,0.61272,0.73681
1987,Baden-Wuerttemberg,Primary Level,No,0.32524,75,220,0.26319,0.38728
1987,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.70032,403,600,0.66363,0.73701
1987,Baden-Wuerttemberg,Lower Secondary Level,No,0.29968,197,600,0.26299,0.33637
1987,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.70317,569,830,0.67207,0.73427
1987,Baden-Wuerttemberg,Upper Secondary Level,No,0.29683,261,830,0.26573,0.32793
1987,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Yes,0.78830,38,38,0.65666,0.91993
1987,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.68075,74,105,0.59115,0.77035
1987,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.31925,31,105,0.22965,0.40885
1987,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.60633,63,108,0.51376,0.69891
1987,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.39367,45,108,0.30109,0.48624
1987,Bavaria,Primary Level,Yes,0.65264,44,44,0.51033,0.79496
1987,Bavaria,Lower Secondary Level,Yes,0.80191,344,466,0.76568,0.83813
1987,Bavaria,Lower Secondary Level,No,0.19809,122,466,0.16187,0.23432
1987,Bavaria,Upper Secondary Level,Yes,0.71663,613,874,0.68674,0.74652
1987,Bavaria,Upper Secondary Level,No,0.28337,261,874,0.25348,0.31326
1987,Bavaria,First Stage of Tertiary Education,Yes,0.76250,74,74,0.66488,0.86012
1987,Bavaria,Second Stage of Tertiary Education,Yes,0.69780,90,141,0.62173,0.77387
1987,Bavaria,Second Stage of Tertiary Education,No,0.30220,51,141,0.22613,0.37827
1987,Berlin,Lower Secondary Level,Yes,0.77070,62,62,0.66521,0.87620
1987,Berlin,Upper Secondary Level,Yes,0.76046,119,166,0.69534,0.82559
1987,Berlin,Upper Secondary Level,No,0.23954,47,166,0.17441,0.30466
1988,Schleswig-Holstein,Lower Secondary Level,Yes,0.73197,51,51,0.60919,0.85474
1988,Schleswig-Holstein,Upper Secondary Level,Yes,0.69524,125,182,0.62818,0.76230
1988,Schleswig-Holstein,Upper Secondary Level,No,0.30476,57,182,0.23770,0.37182
1988,Hamburg,Upper Secondary Level,Yes,0.59593,66,104,0.50116,0.69070
1988,Hamburg,Upper Secondary Level,No,0.40407,38,104,0.30930,0.49884
1988,Lower Saxony,Primary Level,Yes,0.72221,32,32,0.56453,0.87988
1988,Lower Saxony,Lower Secondary Level,Yes,0.68883,189,277,0.63421,0.74345
1988,Lower Saxony,Lower Secondary Level,No,0.31117,88,277,0.25655,0.36579
1988,Lower Saxony,Upper Secondary Level,Yes,0.72596,363,523,0.68769,0.76422
1988,Lower Saxony,Upper Secondary Level,No,0.27404,160,523,0.23578,0.31231
1988,Lower Saxony,First Stage of Tertiary Education,Yes,0.63943,45,45,0.49755,0.78131
1988,Lower Saxony,Second Stage of Tertiary Education,Yes,0.65387,50,50,0.52067,0.78708
1988,Bremen,Upper Secondary Level,Yes,0.73979,36,36,0.59443,0.88515
1988,North Rhine-Westphalia,No answer / don't know,Yes,0.70550,32,32,0.54504,0.86596
1988,North Rhine-Westphalia,Pre-primary Level,Yes,0.62756,40,40,0.47582,0.77929
1988,North Rhine-Westphalia,Primary Level,Yes,0.58952,120,200,0.52117,0.65787
1988,North Rhine-Westphalia,Primary Level,No,0.41048,80,200,0.34213,0.47883
1988,North Rhine-Westphalia,Lower Secondary Level,Yes,0.67416,414,654,0.63821,0.71011
1988,North Rhine-Westphalia,Lower Secondary Level,No,0.32584,240,654,0.28989,0.36179
1988,North Rhine-Westphalia,Upper Secondary Level,Yes,0.69642,852,1274,0.67116,0.72168
1988,North Rhine-Westphalia,Upper Secondary Level,No,0.30358,422,1274,0.27832,0.32884
1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.71331,54,87,0.61773,0.80888
1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.28669,33,87,0.19112,0.38227
1988,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.66515,92,143,0.58752,0.74277
1988,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.33485,51,143,0.25723,0.41248
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.57773,119,205,0.50995,0.64551
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.42227,86,205,0.35449,0.49005
1988,Hesse,Primary Level,Yes,0.56710,52,52,0.43111,0.70308
1988,Hesse,Lower Secondary Level,Yes,0.77850,198,284,0.73012,0.82688
1988,Hesse,Lower Secondary Level,No,0.22150,86,284,0.17312,0.26988
1988,Hesse,Upper Secondary Level,Yes,0.67718,294,458,0.63431,0.72005
1988,Hesse,Upper Secondary Level,No,0.32282,164,458,0.27995,0.36569
1988,Hesse,Second Stage of Tertiary Education,Yes,0.62478,52,52,0.49190,0.75767
1988,"Rhineland-Palatinate, Saarland",Primary Level,Yes,0.75852,32,32,0.60786,0.90918
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.67443,146,237,0.61465,0.73422
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.32557,91,237,0.26578,0.38535
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.68722,241,361,0.63932,0.73511
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.31278,120,361,0.26489,0.36068
1988,Baden-Wuerttemberg,Primary Level,Yes,0.76135,144,205,0.70286,0.81984
1988,Baden-Wuerttemberg,Primary Level,No,0.23865,61,205,0.18016,0.29714
1988,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.68927,366,575,0.65141,0.72713
1988,Baden-Wuerttemberg,Lower Secondary Level,No,0.31073,209,575,0.27287,0.34859
1988,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.65836,509,805,0.62558,0.69114
1988,Baden-Wuerttemberg,Upper Secondary Level,No,0.34164,296,805,0.30886,0.37442
1988,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Yes,0.65331,32,32,0.48577,0.82084
1988,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.68320,67,99,0.59109,0.77531
1988,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.31680,32,99,0.22469,0.40891
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.53108,53,101,0.43327,0.62889
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.46892,48,101,0.37111,0.56673
1988,Bavaria,Primary Level,Yes,0.69768,45,45,0.56198,0.83338
1988,Bavaria,Lower Secondary Level,Yes,0.75018,321,445,0.70991,0.79045
1988,Bavaria,Lower Secondary Level,No,0.24982,124,445,0.20955,0.29009
1988,Bavaria,Upper Secondary Level,Yes,0.70033,560,825,0.66905,0.73161
1988,Bavaria,Upper Secondary Level,No,0.29967,265,825,0.26839,0.33095
1988,Bavaria,Post-secondary Non-tertiary Level,Yes,0.81645,31,31,0.67792,0.95498
1988,Bavaria,First Stage of Tertiary Education,Yes,0.73589,65,65,0.62788,0.84390
1988,Bavaria,Second Stage of Tertiary Education,Yes,0.68852,83,130,0.60860,0.76844
