,Unnamed: 0,year,bula_h,doctoryn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
27,27,1985,North Rhine-Westphalia,Yes,0.69903,1982,10996,0.68271,0.71712
28,28,1985,North Rhine-Westphalia,No,0.30097,979,10996,0.29043,0.312
29,29,1985,Hesse,Yes,0.71907,776,10996,0.68276,0.75062
30,30,1985,Hesse,No,0.28093,358,10996,0.25748,0.29961
31,31,1985,"Rhineland-Palatinate, Saarland",Yes,0.67813,514,10996,0.65421,0.70451
32,32,1985,"Rhineland-Palatinate, Saarland",No,0.32187,258,10996,0.30396,0.33759
33,33,1985,Baden-Wuerttemberg,Yes,0.70562,1379,10996,0.6818,0.72753
34,34,1985,Baden-Wuerttemberg,No,0.29438,662,10996,0.27907,0.31149
35,35,1985,Bavaria,Yes,0.7432,1366,10996,0.72603,0.76087
36,36,1985,Bavaria,No,0.2568,531,10996,0.24389,0.2658
37,37,1985,Berlin,Yes,0.71075,250,10996,0.66832,0.76011
38,38,1985,Berlin,No,0.28925,115,10996,0.252,0.3286
39,39,1986,Schleswig-Holstein,Yes,0.76989,238,10583,0.72623,0.80377
40,40,1986,Schleswig-Holstein,No,0.23011,85,10583,0.19996,0.25797
41,41,1986,Hamburg,Yes,0.76562,191,10583,0.71602,0.83985
42,42,1986,Hamburg,No,0.23438,65,10583,0.19641,0.27705
43,43,1986,Lower Saxony,Yes,0.74611,790,10583,0.72158,0.771
44,44,1986,Lower Saxony,No,0.25389,318,10583,0.23832,0.26887
45,45,1986,Bremen,Yes,0.74398,77,10583,0.66303,0.82883
46,46,1986,Bremen,No,0.25602,32,10583,0.19767,0.31495
47,47,1986,North Rhine-Westphalia,Yes,0.71767,1949,10583,0.69796,0.73804
48,48,1986,North Rhine-Westphalia,No,0.28233,908,10583,0.26982,0.29137
49,49,1986,Hesse,Yes,0.76555,754,10583,0.72147,0.80129
50,50,1986,Hesse,No,0.23445,295,10583,0.21522,0.25317
51,51,1986,"Rhineland-Palatinate, Saarland",Yes,0.70957,532,10583,0.68302,0.73855
52,52,1986,"Rhineland-Palatinate, Saarland",No,0.29043,237,10583,0.27407,0.30628
53,53,1986,Baden-Wuerttemberg,Yes,0.6903,1344,10583,0.66054,0.71669
54,54,1986,Baden-Wuerttemberg,No,0.3097,643,10583,0.29152,0.32665
55,55,1986,Bavaria,Yes,0.7734,1327,10583,0.75767,0.79798
56,56,1986,Bavaria,No,0.2266,446,10583,0.2143,0.23732
57,57,1986,Berlin,Yes,0.75299,257,10583,0.69458,0.81019
58,58,1986,Berlin,No,0.24701,95,10583,0.21227,0.27951
59,59,1987,Schleswig-Holstein,Yes,0.78515,244,10426,0.73811,0.83085
60,60,1987,Schleswig-Holstein,No,0.21485,82,10426,0.19124,0.23729
61,61,1987,Hamburg,Yes,0.72908,161,10426,0.6531,0.79846
62,62,1987,Hamburg,No,0.27092,65,10426,0.22972,0.30958
63,63,1987,Lower Saxony,Yes,0.74844,796,10426,0.72439,0.77057
64,64,1987,Lower Saxony,No,0.25156,309,10426,0.23428,0.26744
65,65,1987,Bremen,Yes,1.0,75,10426,0.88474,1.11226
66,66,1987,North Rhine-Westphalia,Yes,0.71714,1911,10426,0.69987,0.73508
67,67,1987,North Rhine-Westphalia,No,0.28286,915,10426,0.26947,0.29439
68,68,1987,Hesse,Yes,0.72986,732,10426,0.69468,0.76339
69,69,1987,Hesse,No,0.27014,324,10426,0.24954,0.29105
70,70,1987,"Rhineland-Palatinate, Saarland",Yes,0.74779,553,10426,0.71465,0.77533
71,71,1987,"Rhineland-Palatinate, Saarland",No,0.25221,213,10426,0.23915,0.26842
72,72,1987,Baden-Wuerttemberg,Yes,0.69568,1320,10426,0.66995,0.72682
73,73,1987,Baden-Wuerttemberg,No,0.30432,641,10426,0.28918,0.32409
74,74,1987,Bavaria,Yes,0.73961,1223,10426,0.72017,0.75835
75,75,1987,Bavaria,No,0.26039,500,10426,0.24886,0.27148
76,76,1987,Berlin,Yes,0.76244,263,10426,0.70369,0.81977
77,77,1987,Berlin,No,0.23756,99,10426,0.20677,0.27278
78,78,1988,Schleswig-Holstein,Yes,0.69526,220,9906,0.64258,0.74326
79,79,1988,Schleswig-Holstein,No,0.30474,101,9906,0.27049,0.34082
80,80,1988,Hamburg,Yes,0.63637,129,9906,0.57499,0.69315
81,81,1988,Hamburg,No,0.36363,72,9906,0.3025,0.42161
82,82,1988,Lower Saxony,Yes,0.70032,711,9906,0.67456,0.7248
83,83,1988,Lower Saxony,No,0.29968,337,9906,0.28141,0.31785
84,84,1988,Bremen,Yes,1.0,71,9906,0.87678,1.11116
85,85,1988,North Rhine-Westphalia,Yes,0.67593,1723,9906,0.65493,0.69783
86,86,1988,North Rhine-Westphalia,No,0.32407,959,9906,0.3098,0.33866
87,87,1988,Hesse,Yes,0.68635,653,9906,0.64853,0.7292
88,88,1988,Hesse,No,0.31365,347,9906,0.28627,0.33839
89,89,1988,"Rhineland-Palatinate, Saarland",Yes,0.66653,468,9906,0.63489,0.69256
90,90,1988,"Rhineland-Palatinate, Saarland",No,0.33347,266,9906,0.3121,0.35318
91,91,1988,Baden-Wuerttemberg,Yes,0.66211,1198,9906,0.63709,0.69066
92,92,1988,Baden-Wuerttemberg,No,0.33789,682,9906,0.31774,0.35628
93,93,1988,Bavaria,Yes,0.71421,1128,9906,0.69134,0.73614
94,94,1988,Bavaria,No,0.28579,508,9906,0.27238,0.29775
95,95,1988,Berlin,Yes,0.70396,232,9906,0.6414,0.76863
96,96,1988,Berlin,No,0.29604,101,9906,0.25699,0.33092
97,97,1989,Schleswig-Holstein,Yes,0.74484,213,9627,0.69762,0.79204
98,98,1989,Schleswig-Holstein,No,0.25516,85,9627,0.22441,0.28365
99,99,1989,Hamburg,Yes,0.70559,135,9627,0.63507,0.76236
100,100,1989,Hamburg,No,0.29441,61,9627,0.23588,0.34977
101,101,1989,Lower Saxony,Yes,0.71878,695,9627,0.69201,0.74609
102,102,1989,Lower Saxony,No,0.28122,298,9627,0.26529,0.298
103,103,1989,Bremen,Yes,0.74486,74,9627,0.65997,0.8255
104,104,1989,Bremen,No,0.25514,33,9627,0.2042,0.30485
105,105,1989,North Rhine-Westphalia,Yes,0.6836,1698,9627,0.66197,0.70079
106,106,1989,North Rhine-Westphalia,No,0.3164,908,9627,0.30474,0.32907
107,107,1989,Hesse,Yes,0.72136,668,9627,0.68882,0.75926
108,108,1989,Hesse,No,0.27864,326,9627,0.25643,0.30524
109,109,1989,"Rhineland-Palatinate, Saarland",Yes,0.69682,469,9627,0.66712,0.72601
110,110,1989,"Rhineland-Palatinate, Saarland",No,0.30318,222,9627,0.28429,0.32193
111,111,1989,Baden-Wuerttemberg,Yes,0.66895,1168,9627,0.63682,0.69757
112,112,1989,Baden-Wuerttemberg,No,0.33105,643,9627,0.3123,0.35129
113,113,1989,Bavaria,Yes,0.7067,1094,9627,0.68203,0.72695
114,114,1989,Bavaria,No,0.2933,511,9627,0.27934,0.30793
115,115,1989,Berlin,Yes,0.68639,230,9627,0.62896,0.7507
116,116,1989,Berlin,No,0.31361,96,9627,0.27167,0.34553
117,117,1991,Schleswig-Holstein,Yes,0.73934,214,13485,0.68867,0.78429
118,118,1991,Schleswig-Holstein,No,0.26066,80,13485,0.23406,0.28682
119,119,1991,Hamburg,Yes,0.74025,115,13485,0.67472,0.81473
120,120,1991,Hamburg,No,0.25975,45,13485,0.19727,0.30779
121,121,1991,Lower Saxony,Yes,0.73194,699,13485,0.7005,0.76447
122,122,1991,Lower Saxony,No,0.26806,268,13485,0.25013,0.28975
123,123,1991,Bremen,Yes,1.0,68,13485,0.87746,1.13763
124,124,1991,North Rhine-Westphalia,Yes,0.70512,1701,13485,0.68738,0.72506
125,125,1991,North Rhine-Westphalia,No,0.29488,832,13485,0.28218,0.30775
126,126,1991,Hesse,Yes,0.74033,670,13485,0.70127,0.7844
127,127,1991,Hesse,No,0.25967,293,13485,0.23457,0.28351
128,128,1991,"Rhineland-Palatinate, Saarland",Yes,0.69493,445,13485,0.65408,0.72943
129,129,1991,"Rhineland-Palatinate, Saarland",No,0.30507,223,13485,0.28546,0.32446
130,130,1991,Baden-Wuerttemberg,Yes,0.7197,1231,13485,0.68614,0.75352
131,131,1991,Baden-Wuerttemberg,No,0.2803,550,13485,0.26192,0.29975
132,132,1991,Bavaria,Yes,0.7285,1102,13485,0.70301,0.75439
133,133,1991,Bavaria,No,0.2715,494,13485,0.25755,0.28533
134,134,1991,Berlin,Yes,0.71456,413,13485,0.66829,0.76201
135,135,1991,Berlin,No,0.28544,187,13485,0.25682,0.31503
136,136,1991,Brandenburg,Yes,0.59506,400,13485,0.56619,0.62322
137,137,1991,Brandenburg,No,0.40494,276,13485,0.38123,0.42813
138,138,1991,Mecklenburg-Western Pomerania,Yes,0.62656,287,13485,0.58955,0.65701
139,139,1991,Mecklenburg-Western Pomerania,No,0.37344,182,13485,0.34683,0.39912
140,140,1991,Saxony,Yes,0.60203,710,13485,0.57981,0.62774
141,141,1991,Saxony,No,0.39797,517,13485,0.38216,0.41425
142,142,1991,Saxony-Anhalt,Yes,0.57597,441,13485,0.54795,0.60792
143,143,1991,Saxony-Anhalt,No,0.42403,350,13485,0.39827,0.45375
144,144,1991,Thuringa,Yes,0.63784,414,13485,0.6029,0.67413
145,145,1991,Thuringa,No,0.36216,278,13485,0.33711,0.38886
146,146,1992,Schleswig-Holstein,Yes,0.72137,190,13136,0.6797,0.75954
147,147,1992,Schleswig-Holstein,No,0.27863,81,13136,0.25204,0.3169
148,148,1992,Hamburg,Yes,0.73563,106,13136,0.6607,0.81821
149,149,1992,Hamburg,No,0.26437,44,13136,0.20848,0.31466
150,150,1992,Lower Saxony,Yes,0.73043,692,13136,0.70172,0.757
151,151,1992,Lower Saxony,No,0.26957,257,13136,0.25236,0.28924
152,152,1992,Bremen,Yes,1.0,72,13136,0.89847,1.10545
153,153,1992,North Rhine-Westphalia,Yes,0.6717,1608,13136,0.64883,0.69146
154,154,1992,North Rhine-Westphalia,No,0.3283,873,13136,0.31356,0.34463
155,155,1992,Hesse,Yes,0.72361,640,13136,0.68043,0.76816
156,156,1992,Hesse,No,0.27639,306,13136,0.24976,0.29951
157,157,1992,"Rhineland-Palatinate, Saarland",Yes,0.69258,441,13136,0.65185,0.72523
158,158,1992,"Rhineland-Palatinate, Saarland",No,0.30742,216,13136,0.28506,0.33086
159,159,1992,Baden-Wuerttemberg,Yes,0.7074,1178,13136,0.6789,0.73677
160,160,1992,Baden-Wuerttemberg,No,0.2926,562,13136,0.27731,0.31381
161,161,1992,Bavaria,Yes,0.7051,1085,13136,0.67675,0.72792
162,162,1992,Bavaria,No,0.2949,533,13136,0.27691,0.31474
163,163,1992,Berlin,Yes,0.72993,421,13136,0.68128,0.7824
164,164,1992,Berlin,No,0.27007,167,13136,0.24362,0.29681
165,165,1992,Brandenburg,Yes,0.69799,456,13136,0.66563,0.73406
166,166,1992,Brandenburg,No,0.30201,202,13136,0.2827,0.32267
167,167,1992,Mecklenburg-Western Pomerania,Yes,0.6902,279,13136,0.65012,0.72629
168,168,1992,Mecklenburg-Western Pomerania,No,0.3098,131,13136,0.28773,0.33949
169,169,1992,Saxony,Yes,0.69572,756,13136,0.66644,0.72128
170,170,1992,Saxony,No,0.30428,392,13136,0.2933,0.31799
171,171,1992,Saxony-Anhalt,Yes,0.64303,485,13136,0.60846,0.6733
172,172,1992,Saxony-Anhalt,No,0.35697,283,13136,0.32943,0.38228
173,173,1992,Thuringa,Yes,0.70173,456,13136,0.67049,0.73499
174,174,1992,Thuringa,No,0.29827,224,13136,0.27677,0.32067
175,175,1994,Schleswig-Holstein,Yes,0.79306,210,12781,0.72802,0.84587
176,176,1994,Schleswig-Holstein,No,0.20694,74,12781,0.17433,0.23676
177,177,1994,Hamburg,Yes,0.75686,103,12781,0.65403,0.84342
178,178,1994,Hamburg,No,0.24314,36,12781,0.19169,0.31326
179,179,1994,Lower Saxony,Yes,0.77804,718,12781,0.74328,0.80981
180,180,1994,Lower Saxony,No,0.22196,244,12781,0.20194,0.23985
181,181,1994,Bremen,Yes,1.0,63,12781,0.85544,1.119
182,182,1994,North Rhine-Westphalia,Yes,0.73935,1738,12781,0.7129,0.76114
183,183,1994,North Rhine-Westphalia,No,0.26065,699,12781,0.24536,0.27739
184,184,1994,Hesse,Yes,0.8035,699,12781,0.76266,0.8454
185,185,1994,Hesse,No,0.1965,215,12781,0.17456,0.2226
186,186,1994,"Rhineland-Palatinate, Saarland",Yes,0.74044,468,12781,0.70143,0.78107
187,187,1994,"Rhineland-Palatinate, Saarland",No,0.25956,164,12781,0.23984,0.27874
188,188,1994,Baden-Wuerttemberg,Yes,0.78531,1259,12781,0.75077,0.82575
189,189,1994,Baden-Wuerttemberg,No,0.21469,463,12781,0.19578,0.23016
190,190,1994,Bavaria,Yes,0.79409,1228,12781,0.75958,0.82522
191,191,1994,Bavaria,No,0.20591,350,12781,0.19018,0.21979
192,192,1994,Berlin,Yes,0.7591,424,12781,0.71378,0.79996
193,193,1994,Berlin,No,0.2409,125,12781,0.20917,0.27218
194,194,1994,Brandenburg,Yes,0.81949,493,12781,0.78429,0.85803
195,195,1994,Brandenburg,No,0.18051,110,12781,0.15953,0.19881
196,196,1994,Mecklenburg-Western Pomerania,Yes,0.7837,330,12781,0.73985,0.82761
197,197,1994,Mecklenburg-Western Pomerania,No,0.2163,83,12781,0.19251,0.24021
198,198,1994,Saxony,Yes,0.81983,899,12781,0.79311,0.84731
199,199,1994,Saxony,No,0.18017,226,12781,0.1667,0.1947
200,200,1994,Saxony-Anhalt,Yes,0.81005,565,12781,0.76393,0.8481
201,201,1994,Saxony-Anhalt,No,0.18995,136,12781,0.17058,0.21215
202,202,1994,Thuringa,Yes,0.81996,535,12781,0.76812,0.85708
203,203,1994,Thuringa,No,0.18004,124,12781,0.16212,0.20465
204,204,1995,Schleswig-Holstein,Yes,0.75272,198,13147,0.69233,0.82093
205,205,1995,Schleswig-Holstein,No,0.24728,84,13147,0.21903,0.28436
206,206,1995,Hamburg,Yes,0.73818,95,13147,0.63365,0.85262
207,207,1995,Hamburg,No,0.26182,37,13147,0.1913,0.33959
208,208,1995,Lower Saxony,Yes,0.72032,703,13147,0.68754,0.74867
209,209,1995,Lower Saxony,No,0.27968,331,13147,0.25983,0.30068
210,210,1995,Bremen,Yes,1.0,62,13147,0.86552,1.15153
211,211,1995,North Rhine-Westphalia,Yes,0.70421,1731,13147,0.68128,0.7251
212,212,1995,North Rhine-Westphalia,No,0.29579,832,13147,0.28009,0.31187
213,213,1995,Hesse,Yes,0.69962,626,13147,0.66115,0.73925
214,214,1995,Hesse,No,0.30038,311,13147,0.27071,0.32967
215,215,1995,"Rhineland-Palatinate, Saarland",Yes,0.69468,466,13147,0.65017,0.73354
216,216,1995,"Rhineland-Palatinate, Saarland",No,0.30532,237,13147,0.28065,0.32683
217,217,1995,Baden-Wuerttemberg,Yes,0.72219,1235,13147,0.68826,0.75894
218,218,1995,Baden-Wuerttemberg,No,0.27781,543,13147,0.25714,0.29813
219,219,1995,Bavaria,Yes,0.71869,1161,13147,0.68605,0.74863
220,220,1995,Bavaria,No,0.28131,516,13147,0.26404,0.2981
221,221,1995,Berlin,Yes,0.75452,425,13147,0.70392,0.80546
222,222,1995,Berlin,No,0.24548,138,13147,0.22323,0.27082
223,223,1995,Brandenburg,Yes,0.74196,425,13147,0.70617,0.77793
224,224,1995,Brandenburg,No,0.25804,155,13147,0.23868,0.2789
225,225,1995,Mecklenburg-Western Pomerania,Yes,0.71551,290,13147,0.66499,0.77045
226,226,1995,Mecklenburg-Western Pomerania,No,0.28449,124,13147,0.25954,0.32129
227,227,1995,Saxony,Yes,0.74915,790,13147,0.71379,0.78126
228,228,1995,Saxony,No,0.25085,304,13147,0.23513,0.26593
229,229,1995,Saxony-Anhalt,Yes,0.7499,489,13147,0.70346,0.7931
230,230,1995,Saxony-Anhalt,No,0.2501,193,13147,0.22689,0.27573
231,231,1995,Thuringa,Yes,0.73053,453,13147,0.69099,0.76906
232,232,1995,Thuringa,No,0.26947,193,13147,0.24892,0.2968
233,233,1996,Schleswig-Holstein,Yes,0.6925,178,12867,0.64169,0.74831
234,234,1996,Schleswig-Holstein,No,0.3075,95,12867,0.27293,0.34609
235,235,1996,Hamburg,Yes,0.61681,73,12867,0.51733,0.71008
236,236,1996,Hamburg,No,0.38319,51,12867,0.28638,0.48148
237,237,1996,Lower Saxony,Yes,0.73499,736,12867,0.7025,0.76953
238,238,1996,Lower Saxony,No,0.26501,290,12867,0.24621,0.28711
239,239,1996,Bremen,Yes,1.0,66,12867,0.8577,1.10752
240,240,1996,North Rhine-Westphalia,Yes,0.70121,1697,12867,0.6719,0.73095
241,241,1996,North Rhine-Westphalia,No,0.29879,839,12867,0.28171,0.31462
242,242,1996,Hesse,Yes,0.70438,588,12867,0.66911,0.74988
243,243,1996,Hesse,No,0.29562,312,12867,0.26935,0.32519
244,244,1996,"Rhineland-Palatinate, Saarland",Yes,0.67982,461,12867,0.64787,0.72133
245,245,1996,"Rhineland-Palatinate, Saarland",No,0.32018,226,12867,0.29669,0.35137
246,246,1996,Baden-Wuerttemberg,Yes,0.74409,1210,12867,0.70316,0.78337
247,247,1996,Baden-Wuerttemberg,No,0.25591,461,12867,0.23816,0.27968
248,248,1996,Bavaria,Yes,0.74203,1185,12867,0.70621,0.77577
249,249,1996,Bavaria,No,0.25797,448,12867,0.23984,0.27339
250,250,1996,Berlin,Yes,0.78397,417,12867,0.72714,0.82745
251,251,1996,Berlin,No,0.21603,123,12867,0.19307,0.24674
252,252,1996,Brandenburg,Yes,0.71217,410,12867,0.67163,0.74645
253,253,1996,Brandenburg,No,0.28783,178,12867,0.26706,0.31092
254,254,1996,Mecklenburg-Western Pomerania,Yes,0.7269,291,12867,0.68061,0.77961
255,255,1996,Mecklenburg-Western Pomerania,No,0.2731,107,12867,0.24124,0.30689
256,256,1996,Saxony,Yes,0.71867,755,12867,0.68593,0.74557
257,257,1996,Saxony,No,0.28133,346,12867,0.26574,0.30218
258,258,1996,Saxony-Anhalt,Yes,0.73015,472,12867,0.69949,0.77381
259,259,1996,Saxony-Anhalt,No,0.26985,197,12867,0.24757,0.29638
260,260,1996,Thuringa,Yes,0.71248,456,12867,0.67297,0.75407
261,261,1996,Thuringa,No,0.28752,199,12867,0.26336,0.31566
262,262,1997,Schleswig-Holstein,Yes,0.67385,176,12775,0.62853,0.73986
263,263,1997,Schleswig-Holstein,No,0.32615,93,12775,0.28536,0.36503
264,264,1997,Hamburg,Yes,0.64647,78,12775,0.54392,0.74489
265,265,1997,Hamburg,No,0.35353,47,12775,0.27353,0.44416
266,266,1997,Lower Saxony,Yes,0.67329,673,12775,0.64038,0.70856
267,267,1997,Lower Saxony,No,0.32671,358,12775,0.3021,0.35354
268,268,1997,Bremen,Yes,0.74129,61,12775,0.65231,0.83353
269,269,1997,Bremen,No,0.25871,32,12775,0.20562,0.30607
270,270,1997,North Rhine-Westphalia,Yes,0.67936,1606,12775,0.65565,0.7031
271,271,1997,North Rhine-Westphalia,No,0.32064,887,12775,0.3047,0.33673
272,272,1997,Hesse,Yes,0.70203,567,12775,0.65881,0.74761
273,273,1997,Hesse,No,0.29797,275,12775,0.26705,0.32711
274,274,1997,"Rhineland-Palatinate, Saarland",Yes,0.6846,469,12775,0.65052,0.72635
275,275,1997,"Rhineland-Palatinate, Saarland",No,0.3154,240,12775,0.29196,0.33695
276,276,1997,Baden-Wuerttemberg,Yes,0.74085,1215,12775,0.70143,0.77226
277,277,1997,Baden-Wuerttemberg,No,0.25915,482,12775,0.23723,0.27821
278,278,1997,Bavaria,Yes,0.72428,1145,12775,0.69,0.75695
279,279,1997,Bavaria,No,0.27572,474,12775,0.25198,0.29516
280,280,1997,Berlin,Yes,0.74609,368,12775,0.70089,0.79315
281,281,1997,Berlin,No,0.25391,142,12775,0.2281,0.28164
282,282,1997,Brandenburg,Yes,0.7318,425,12775,0.69269,0.77118
283,283,1997,Brandenburg,No,0.2682,167,12775,0.24609,0.29253
284,284,1997,Mecklenburg-Western Pomerania,Yes,0.72217,276,12775,0.67228,0.77561
285,285,1997,Mecklenburg-Western Pomerania,No,0.27783,114,12775,0.24403,0.3118
286,286,1997,Saxony,Yes,0.75809,775,12775,0.7293,0.79109
287,287,1997,Saxony,No,0.24191,308,12775,0.22558,0.25875
288,288,1997,Saxony-Anhalt,Yes,0.73535,469,12775,0.69715,0.77594
289,289,1997,Saxony-Anhalt,No,0.26465,193,12775,0.24417,0.28964
290,290,1997,Thuringa,Yes,0.71771,449,12775,0.67272,0.76344
291,291,1997,Thuringa,No,0.28229,211,12775,0.2586,0.30667
292,292,1998,Schleswig-Holstein,Yes,0.65225,223,14100,0.60039,0.71061
293,293,1998,Schleswig-Holstein,No,0.34775,122,14100,0.31297,0.38301
294,294,1998,Hamburg,Yes,0.67753,98,14100,0.60564,0.77393
295,295,1998,Hamburg,No,0.32247,51,14100,0.26583,0.3802
296,296,1998,Lower Saxony,Yes,0.66244,782,14100,0.62925,0.69305
297,297,1998,Lower Saxony,No,0.33756,406,14100,0.31717,0.35991
298,298,1998,Bremen,Yes,1.0,71,14100,0.8571,1.14847
299,299,1998,North Rhine-Westphalia,Yes,0.66822,1794,14100,0.6473,0.69093
300,300,1998,North Rhine-Westphalia,No,0.33178,1023,14100,0.31768,0.34498
301,301,1998,Hesse,Yes,0.66996,606,14100,0.63573,0.70126
302,302,1998,Hesse,No,0.33004,332,14100,0.30052,0.35537
303,303,1998,"Rhineland-Palatinate, Saarland",Yes,0.64871,520,14100,0.61649,0.68192
304,304,1998,"Rhineland-Palatinate, Saarland",No,0.35129,278,14100,0.32759,0.37383
305,305,1998,Baden-Wuerttemberg,Yes,0.71168,1255,14100,0.67297,0.74577
306,306,1998,Baden-Wuerttemberg,No,0.28832,544,14100,0.26746,0.31102
307,307,1998,Bavaria,Yes,0.70257,1260,14100,0.67326,0.72979
308,308,1998,Bavaria,No,0.29743,596,14100,0.28512,0.31268
309,309,1998,Berlin,Yes,0.70506,353,14100,0.6594,0.75121
310,310,1998,Berlin,No,0.29494,170,14100,0.26611,0.32264
311,311,1998,Brandenburg,Yes,0.7047,443,14100,0.67376,0.74117
312,312,1998,Brandenburg,No,0.2953,175,14100,0.26565,0.3319
313,313,1998,Mecklenburg-Western Pomerania,Yes,0.69185,280,14100,0.65492,0.74254
314,314,1998,Mecklenburg-Western Pomerania,No,0.30815,127,14100,0.27905,0.34153
315,315,1998,Saxony,Yes,0.70737,798,14100,0.68036,0.72976
316,316,1998,Saxony,No,0.29263,376,14100,0.27867,0.30936
317,317,1998,Saxony-Anhalt,Yes,0.68557,454,14100,0.65201,0.72112
318,318,1998,Saxony-Anhalt,No,0.31443,233,14100,0.2862,0.34464
319,319,1998,Thuringa,Yes,0.70565,493,14100,0.66346,0.74902
320,320,1998,Thuringa,No,0.29435,237,14100,0.26967,0.32282
321,321,1999,Schleswig-Holstein,Yes,0.64657,207,13590,0.59282,0.69602
322,322,1999,Schleswig-Holstein,No,0.35343,113,13590,0.30983,0.39321
323,323,1999,Hamburg,Yes,0.71032,94,13590,0.62742,0.79406
324,324,1999,Hamburg,No,0.28968,43,13590,0.25018,0.34684
325,325,1999,Lower Saxony,Yes,0.70615,788,13590,0.67642,0.7429
326,326,1999,Lower Saxony,No,0.29385,376,13590,0.27316,0.31499
327,327,1999,Bremen,Yes,1.0,66,13590,0.83757,1.14476
328,328,1999,North Rhine-Westphalia,Yes,0.68089,1783,13590,0.65895,0.70194
329,329,1999,North Rhine-Westphalia,No,0.31911,895,13590,0.30542,0.3336
330,330,1999,Hesse,Yes,0.70546,616,13590,0.67104,0.73888
331,331,1999,Hesse,No,0.29454,273,13590,0.26937,0.31574
332,332,1999,"Rhineland-Palatinate, Saarland",Yes,0.71796,539,13590,0.6826,0.75351
333,333,1999,"Rhineland-Palatinate, Saarland",No,0.28204,231,13590,0.25903,0.30704
334,334,1999,Baden-Wuerttemberg,Yes,0.72346,1215,13590,0.68943,0.75392
335,335,1999,Baden-Wuerttemberg,No,0.27654,507,13590,0.25761,0.29729
336,336,1999,Bavaria,Yes,0.73689,1281,13590,0.70697,0.77424
337,337,1999,Bavaria,No,0.26311,506,13590,0.24603,0.2796
338,338,1999,Berlin,Yes,0.72422,361,13590,0.67879,0.77239
339,339,1999,Berlin,No,0.27578,145,13590,0.25,0.30291
340,340,1999,Brandenburg,Yes,0.75438,445,13590,0.71444,0.79797
341,341,1999,Brandenburg,No,0.24562,151,13590,0.22079,0.27091
342,342,1999,Mecklenburg-Western Pomerania,Yes,0.65968,272,13590,0.60683,0.71105
343,343,1999,Mecklenburg-Western Pomerania,No,0.34032,128,13590,0.30155,0.37888
344,344,1999,Saxony,Yes,0.70823,808,13590,0.68068,0.73484
345,345,1999,Saxony,No,0.29177,341,13590,0.27221,0.3099
346,346,1999,Saxony-Anhalt,Yes,0.74135,501,13590,0.70526,0.79044
347,347,1999,Saxony-Anhalt,No,0.25865,187,13590,0.23081,0.28334
348,348,1999,Thuringa,Yes,0.75767,527,13590,0.72115,0.80516
349,349,1999,Thuringa,No,0.24233,191,13590,0.22178,0.26763
350,350,2000,Schleswig-Holstein,Yes,0.63503,427,24012,0.60197,0.67282
351,351,2000,Schleswig-Holstein,No,0.36497,277,24012,0.3461,0.38583
352,352,2000,Hamburg,Yes,0.70342,209,24012,0.65785,0.75
353,353,2000,Hamburg,No,0.29658,89,24012,0.26733,0.32772
354,354,2000,Lower Saxony,Yes,0.67732,1362,24012,0.65384,0.69626
