year,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,Rural regions,Yes,0.68844,4896,7209,0.67774,0.69913
2004,Rural regions,No,0.31156,2313,7209,0.30087,0.32226
2005,Urban regions,Yes,0.69902,9523,13723,0.69135,0.70669
2005,Urban regions,No,0.30098,4200,13723,0.29331,0.30865
2005,Rural regions,Yes,0.69113,4738,6873,0.68021,0.70206
2005,Rural regions,No,0.30887,2135,6873,0.29794,0.31979
2006,Urban regions,Yes,0.68600,9923,14459,0.67843,0.69356
2006,Urban regions,No,0.31400,4536,14459,0.30644,0.32157
2006,Rural regions,Yes,0.68540,5084,7464,0.67487,0.69594
2006,Rural regions,No,0.31460,2380,7464,0.30406,0.32513
2007,Urban regions,Yes,0.70326,9452,13422,0.69553,0.71099
2007,Urban regions,No,0.29674,3970,13422,0.28901,0.30447
2007,Rural regions,Yes,0.70473,4924,6993,0.69404,0.71542
2007,Rural regions,No,0.29527,2069,6993,0.28458,0.30596
2008,Urban regions,Yes,0.70525,8967,12644,0.69730,0.71320
2008,Urban regions,No,0.29475,3677,12644,0.28680,0.30270
2008,Rural regions,Yes,0.70184,4621,6583,0.69079,0.71289
2008,Rural regions,No,0.29816,1962,6583,0.28711,0.30921
2009,Urban regions,Yes,0.71830,8478,11673,0.71014,0.72646
2009,Urban regions,No,0.28170,3195,11673,0.27354,0.28986
2009,Rural regions,Yes,0.70530,4533,6262,0.69400,0.71659
2009,Rural regions,No,0.29470,1729,6262,0.28341,0.30600
2010,Urban regions,Yes,0.70371,10700,15579,0.69654,0.71088
2010,Urban regions,No,0.29629,4879,15579,0.28912,0.30346
2010,Rural regions,Yes,0.71820,5702,8239,0.70849,0.72792
2010,Rural regions,No,0.28180,2537,8239,0.27208,0.29151
2011,Urban regions,Yes,0.71514,12906,18168,0.70858,0.72171
2011,Urban regions,No,0.28486,5262,18168,0.27829,0.29142
2011,Rural regions,Yes,0.73048,7084,10144,0.72185,0.73912
2011,Rural regions,No,0.26952,3060,10144,0.26088,0.27815
2012,Urban regions,Yes,0.71699,12454,17471,0.71031,0.72367
2012,Urban regions,No,0.28301,5017,17471,0.27633,0.28969
2012,Rural regions,Yes,0.71187,7042,10060,0.70302,0.72072
2012,Rural regions,No,0.28813,3018,10060,0.27928,0.29698
2013,Urban regions,Yes,0.75159,11911,16313,0.74495,0.75822
2013,Urban regions,No,0.24841,4402,16313,0.24178,0.25505
2013,Rural regions,Yes,0.73510,6740,9332,0.72614,0.74405
2013,Rural regions,No,0.26490,2592,9332,0.25595,0.27386
2014,Urban regions,Yes,0.71569,12351,17596,0.70902,0.72235
2014,Urban regions,No,0.28431,5245,17596,0.27765,0.29098
2014,Rural regions,Yes,0.71773,6604,9384,0.70862,0.72684
2014,Rural regions,No,0.28227,2780,9384,0.27316,0.29138
2015,Urban regions,Yes,0.71858,11370,16150,0.71164,0.72551
2015,Urban regions,No,0.28142,4780,16150,0.27449,0.28836
2015,Rural regions,Yes,0.72965,6236,8810,0.72037,0.73892
2015,Rural regions,No,0.27035,2574,8810,0.26108,0.27963
2016,Urban regions,Yes,0.71261,10884,15629,0.70552,0.71971
2016,Urban regions,No,0.28739,4745,15629,0.28029,0.29448
2016,Rural regions,Yes,0.70814,5847,8426,0.69844,0.71785
2016,Rural regions,No,0.29186,2579,8426,0.28215,0.30156
2017,Urban regions,Yes,0.72885,12223,17039,0.72218,0.73553
2017,Urban regions,No,0.27115,4816,17039,0.26447,0.27782
2017,Rural regions,Yes,0.74007,6700,9305,0.73116,0.74898
2017,Rural regions,No,0.25993,2605,9305,0.25102,0.26884
2018,Urban regions,Yes,0.72269,11896,16589,0.71587,0.72950
2018,Urban regions,No,0.27731,4693,16589,0.27050,0.28413
2018,Rural regions,Yes,0.72927,6395,8915,0.72004,0.73849
2018,Rural regions,No,0.27073,2520,8915,0.26151,0.27996
2019,No answer / don't know,Yes,0.74739,428,554,0.71117,0.78360
2019,No answer / don't know,No,0.25261,126,554,0.21640,0.28883
2019,Urban regions,Yes,0.72952,11791,16344,0.72271,0.73633
2019,Urban regions,No,0.27048,4553,16344,0.26367,0.27729
2019,Rural regions,Yes,0.74440,6246,8757,0.73527,0.75354
2019,Rural regions,No,0.25560,2511,8757,0.24646,0.26473
2020,Urban regions,Yes,0.68010,12265,18989,0.67347,0.68673
2020,Urban regions,No,0.31990,6724,18989,0.31327,0.32653
2020,Rural regions,Yes,0.68353,6092,9306,0.67408,0.69298
2020,Rural regions,No,0.31647,3214,9306,0.30702,0.32592
2021,Urban regions,Yes,0.72770,8254,11366,0.71952,0.73588
2021,Urban regions,No,0.27230,3112,11366,0.26412,0.28048
2021,Rural regions,Yes,0.70843,4096,5778,0.69671,0.72015
2021,Rural regions,No,0.29157,1682,5778,0.27985,0.30329
2022,Urban regions,Yes,0.68566,11859,17558,0.67879,0.69253
2022,Urban regions,No,0.31434,5699,17558,0.30747,0.32121
2022,Rural regions,Yes,0.69565,5418,7963,0.68554,0.70575
2022,Rural regions,No,0.30435,2545,7963,0.29425,0.31446
