year,quintil_oecd,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,3rd Quintile,West,Yes,0.70146,1192,1759,0.68007,0.72285
1997,3rd Quintile,West,No,0.29854,567,1759,0.27715,0.31993
1997,3rd Quintile,East,Yes,0.77625,637,852,0.74825,0.80425
1997,3rd Quintile,East,No,0.22375,215,852,0.19575,0.25175
1997,4th Quintile,West,Yes,0.69456,1293,1946,0.67409,0.71503
1997,4th Quintile,West,No,0.30544,653,1946,0.28497,0.32591
1997,4th Quintile,East,Yes,0.70977,483,709,0.67634,0.74320
1997,4th Quintile,East,No,0.29023,226,709,0.25680,0.32366
1997,5th Quintile,West,Yes,0.70547,1418,2032,0.68565,0.72530
1997,5th Quintile,West,No,0.29453,614,2032,0.27470,0.31435
1997,5th Quintile,East,Yes,0.73343,266,371,0.68838,0.77849
1997,5th Quintile,East,No,0.26657,105,371,0.22151,0.31162
1998,1st Quintile,West,Yes,0.65668,1062,1682,0.63398,0.67938
1998,1st Quintile,West,No,0.34332,620,1682,0.32062,0.36602
1998,1st Quintile,East,Yes,0.67309,417,632,0.63648,0.70969
1998,1st Quintile,East,No,0.32691,215,632,0.29031,0.36352
1998,2nd Quintile,West,Yes,0.69459,1095,1662,0.67244,0.71674
1998,2nd Quintile,West,No,0.30541,567,1662,0.28326,0.32756
1998,2nd Quintile,East,Yes,0.68897,543,827,0.65740,0.72054
1998,2nd Quintile,East,No,0.31103,284,827,0.27946,0.34260
1998,3rd Quintile,West,Yes,0.72779,1140,1630,0.70618,0.74941
1998,3rd Quintile,West,No,0.27221,490,1630,0.25059,0.29382
1998,3rd Quintile,East,Yes,0.74909,660,927,0.72116,0.77701
1998,3rd Quintile,East,No,0.25091,267,927,0.22299,0.27884
1998,4th Quintile,West,Yes,0.68932,1286,1881,0.66840,0.71024
1998,4th Quintile,West,No,0.31068,595,1881,0.28976,0.33160
1998,4th Quintile,East,Yes,0.70714,495,714,0.67374,0.74054
1998,4th Quintile,East,No,0.29286,219,714,0.25946,0.32626
1998,5th Quintile,West,Yes,0.69354,1242,1865,0.67261,0.71447
1998,5th Quintile,West,No,0.30646,623,1865,0.28553,0.32739
1998,5th Quintile,East,Yes,0.77066,307,411,0.72996,0.81135
1998,5th Quintile,East,No,0.22934,104,411,0.18865,0.27004
1999,1st Quintile,West,Yes,0.68521,1185,1777,0.66361,0.70681
1999,1st Quintile,West,No,0.31479,592,1777,0.29319,0.33639
1999,1st Quintile,East,Yes,0.69451,540,799,0.66255,0.72647
1999,1st Quintile,East,No,0.30549,259,799,0.27353,0.33745
1999,2nd Quintile,West,Yes,0.69470,1221,1835,0.67363,0.71578
1999,2nd Quintile,West,No,0.30530,614,1835,0.28422,0.32637
1999,2nd Quintile,East,Yes,0.72964,734,1025,0.70244,0.75685
1999,2nd Quintile,East,No,0.27036,291,1025,0.24315,0.29756
1999,3rd Quintile,West,Yes,0.73471,1334,1891,0.71480,0.75461
1999,3rd Quintile,West,No,0.26529,557,1891,0.24539,0.28520
1999,3rd Quintile,East,Yes,0.78849,710,926,0.76217,0.81481
1999,3rd Quintile,East,No,0.21151,216,926,0.18519,0.23783
1999,4th Quintile,West,Yes,0.72796,1518,2120,0.70902,0.74691
1999,4th Quintile,West,No,0.27204,602,2120,0.25309,0.29098
1999,4th Quintile,East,Yes,0.73786,471,632,0.70354,0.77217
1999,4th Quintile,East,No,0.26214,161,632,0.22783,0.29646
1999,5th Quintile,West,Yes,0.68507,1517,2214,0.66572,0.70442
1999,5th Quintile,West,No,0.31493,697,2214,0.29558,0.33428
1999,5th Quintile,East,Yes,0.65996,273,393,0.61306,0.70685
1999,5th Quintile,East,No,0.34004,120,393,0.29315,0.38694
2000,1st Quintile,West,Yes,0.68581,1151,1748,0.66404,0.70758
2000,1st Quintile,West,No,0.31419,597,1748,0.29242,0.33596
2000,1st Quintile,East,Yes,0.70247,570,824,0.67124,0.73370
2000,1st Quintile,East,No,0.29753,254,824,0.26630,0.32876
2000,2nd Quintile,West,Yes,0.70891,1235,1800,0.68792,0.72990
2000,2nd Quintile,West,No,0.29109,565,1800,0.27010,0.31208
2000,2nd Quintile,East,Yes,0.74413,652,928,0.71604,0.77222
2000,2nd Quintile,East,No,0.25587,276,928,0.22778,0.28396
2000,3rd Quintile,West,Yes,0.69870,1207,1768,0.67731,0.72010
2000,3rd Quintile,West,No,0.30130,561,1768,0.27990,0.32269
2000,3rd Quintile,East,Yes,0.71025,680,955,0.68146,0.73903
2000,3rd Quintile,East,No,0.28975,275,955,0.26097,0.31854
2000,4th Quintile,West,Yes,0.69812,1379,2018,0.67809,0.71816
2000,4th Quintile,West,No,0.30188,639,2018,0.28184,0.32191
2000,4th Quintile,East,Yes,0.74838,482,663,0.71532,0.78144
2000,4th Quintile,East,No,0.25162,181,663,0.21856,0.28468
2000,5th Quintile,West,Yes,0.68207,1479,2185,0.66254,0.70160
2000,5th Quintile,West,No,0.31793,706,2185,0.29840,0.33746
2000,5th Quintile,East,Yes,0.75377,258,348,0.70844,0.79910
2000,5th Quintile,East,No,0.24623,90,348,0.20090,0.29156
2001,1st Quintile,West,Yes,0.70085,1827,2693,0.68355,0.71815
2001,1st Quintile,West,No,0.29915,866,2693,0.28185,0.31645
2001,1st Quintile,East,Yes,0.69857,820,1172,0.67229,0.72485
2001,1st Quintile,East,No,0.30143,352,1172,0.27515,0.32771
2001,2nd Quintile,West,Yes,0.67254,1948,2942,0.65558,0.68950
2001,2nd Quintile,West,No,0.32746,994,2942,0.31050,0.34442
2001,2nd Quintile,East,Yes,0.74091,1007,1392,0.71789,0.76394
2001,2nd Quintile,East,No,0.25909,385,1392,0.23606,0.28211
2001,3rd Quintile,West,Yes,0.69340,2215,3222,0.67747,0.70932
2001,3rd Quintile,West,No,0.30660,1007,3222,0.29068,0.32253
