year,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,female,No,0.24655,3200,12477,0.23899,0.25411
2001,male,Yes,0.61969,6438,10485,0.61039,0.62898
2001,male,No,0.38031,4047,10485,0.37102,0.38961
2001,female,Yes,0.76732,8601,11352,0.75955,0.77510
2001,female,No,0.23268,2751,11352,0.22490,0.24045
2002,male,Yes,0.60706,6765,11095,0.59797,0.61614
2002,male,No,0.39294,4330,11095,0.38386,0.40203
2002,female,Yes,0.74988,8781,11865,0.74209,0.75767
2002,female,No,0.25012,3084,11865,0.24233,0.25791
2003,male,Yes,0.63560,6735,10623,0.62645,0.64476
2003,male,No,0.36440,3888,10623,0.35524,0.37355
2003,female,Yes,0.75829,8556,11425,0.75044,0.76614
2003,female,No,0.24171,2869,11425,0.23386,0.24956
2004,male,Yes,0.61560,6304,10350,0.60622,0.62497
2004,male,No,0.38440,4046,10350,0.37503,0.39378
2004,female,Yes,0.75371,8284,11182,0.74573,0.76170
2004,female,No,0.24629,2898,11182,0.23830,0.25427
2005,male,Yes,0.63298,6176,9848,0.62346,0.64250
2005,male,No,0.36702,3672,9848,0.35750,0.37654
2005,female,Yes,0.75665,8085,10748,0.74853,0.76476
2005,female,No,0.24335,2663,10748,0.23524,0.25147
2006,male,Yes,0.62015,6524,10453,0.61084,0.62945
2006,male,No,0.37985,3929,10453,0.37055,0.38916
2006,female,Yes,0.74799,8483,11470,0.74005,0.75594
2006,female,No,0.25201,2987,11470,0.24406,0.25995
2007,male,Yes,0.63685,6239,9725,0.62729,0.64640
2007,male,No,0.36315,3486,9725,0.35360,0.37271
2007,female,Yes,0.76694,8137,10690,0.75893,0.77496
2007,female,No,0.23306,2553,10690,0.22504,0.24107
2008,male,Yes,0.63937,5929,9163,0.62953,0.64920
2008,male,No,0.36063,3234,9163,0.35080,0.37047
2008,female,Yes,0.76562,7659,10064,0.75734,0.77389
2008,female,No,0.23438,2405,10064,0.22611,0.24266
2009,male,Yes,0.64972,5720,8554,0.63961,0.65983
2009,male,No,0.35028,2834,8554,0.34017,0.36039
2009,female,Yes,0.77520,7291,9381,0.76675,0.78365
2009,female,No,0.22480,2090,9381,0.21635,0.23325
2010,male,Yes,0.64930,6833,10843,0.64032,0.65829
2010,male,No,0.35070,4010,10843,0.34171,0.35968
2010,female,Yes,0.76463,9569,12975,0.75733,0.77193
2010,female,No,0.23537,3406,12975,0.22807,0.24267
2011,male,Yes,0.66351,8383,12823,0.65533,0.67169
2011,male,No,0.33649,4440,12823,0.32831,0.34467
2011,female,Yes,0.77345,11607,15489,0.76686,0.78005
2011,female,No,0.22655,3882,15489,0.21995,0.23314
2012,male,Yes,0.65612,8143,12503,0.64780,0.66445
2012,male,No,0.34388,4360,12503,0.33555,0.35220
2012,female,Yes,0.77134,11353,15028,0.76462,0.77805
2012,female,No,0.22866,3675,15028,0.22195,0.23538
2013,male,Yes,0.69834,7939,11609,0.68999,0.70669
2013,male,No,0.30166,3670,11609,0.29331,0.31001
2013,female,Yes,0.79061,10712,14036,0.78387,0.79734
2013,female,No,0.20939,3324,14036,0.20266,0.21613
2014,male,Yes,0.66154,8078,12392,0.65321,0.66987
2014,male,No,0.33846,4314,12392,0.33013,0.34679
2014,female,Yes,0.76869,10877,14588,0.76185,0.77553
2014,female,No,0.23131,3711,14588,0.22447,0.23815
2015,male,Yes,0.66955,7452,11426,0.66093,0.67818
2015,male,No,0.33045,3974,11426,0.32182,0.33907
2015,female,Yes,0.77230,10154,13534,0.76524,0.77937
2015,female,No,0.22770,3380,13534,0.22063,0.23476
2016,male,Yes,0.65850,7096,11011,0.64964,0.66736
2016,male,No,0.34150,3915,11011,0.33264,0.35036
2016,female,Yes,0.76179,9635,13044,0.75448,0.76910
2016,female,No,0.23821,3409,13044,0.23090,0.24552
2017,male,Yes,0.69125,8259,12172,0.68305,0.69946
2017,male,No,0.30875,3913,12172,0.30054,0.31695
2017,female,Yes,0.77197,10664,14172,0.76506,0.77888
2017,female,No,0.22803,3508,14172,0.22112,0.23494
2018,male,Yes,0.67850,7911,11741,0.67005,0.68695
2018,male,No,0.32150,3830,11741,0.31305,0.32995
2018,female,Yes,0.76921,10380,13763,0.76217,0.77625
2018,female,No,0.23079,3383,13763,0.22375,0.23783
2019,male,Yes,0.68912,8342,12242,0.68092,0.69731
2019,male,No,0.31088,3900,12242,0.30269,0.31908
2019,female,Yes,0.77766,10117,13407,0.77062,0.78470
2019,female,No,0.22234,3290,13407,0.21530,0.22938
2020,male,Yes,0.62759,8312,13907,0.61955,0.63562
2020,male,No,0.37241,5595,13907,0.36438,0.38045
2020,female,Yes,0.73269,10039,14381,0.72546,0.73993
2020,female,No,0.26731,4342,14381,0.26007,0.27454
2021,male,Yes,0.68889,5583,8067,0.67879,0.69900
2021,male,No,0.31111,2484,8067,0.30100,0.32121
2021,female,Yes,0.75287,6762,9071,0.74400,0.76175
2021,female,No,0.24713,2309,9071,0.23825,0.25600
2022,male,Yes,0.64218,7883,12536,0.63379,0.65058
2022,male,No,0.35782,4653,12536,0.34942,0.36621
2022,female,Yes,0.73503,9382,12965,0.72743,0.74263
2022,female,No,0.26497,3583,12965,0.25737,0.27257
