year,quintil_oecd,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,3rd Quintile,male,Yes,0.66502,653,1044,0.63637,0.69366
1987,3rd Quintile,male,No,0.33498,391,1044,0.30634,0.36363
1987,3rd Quintile,female,Yes,0.79203,814,1060,0.76759,0.81648
1987,3rd Quintile,female,No,0.20797,246,1060,0.18352,0.23241
1987,4th Quintile,male,Yes,0.65641,713,1124,0.62864,0.68419
1987,4th Quintile,male,No,0.34359,411,1124,0.31581,0.37136
1987,4th Quintile,female,Yes,0.80292,811,1032,0.77864,0.82720
1987,4th Quintile,female,No,0.19708,221,1032,0.17280,0.22136
1987,5th Quintile,male,Yes,0.65472,705,1106,0.62669,0.68275
1987,5th Quintile,male,No,0.34528,401,1106,0.31725,0.37331
1987,5th Quintile,female,Yes,0.78983,763,985,0.76437,0.81528
1987,5th Quintile,female,No,0.21017,222,985,0.18472,0.23563
1988,1st Quintile,male,Yes,0.63638,513,882,0.60462,0.66815
1988,1st Quintile,male,No,0.36362,369,882,0.33185,0.39538
1988,1st Quintile,female,Yes,0.76988,776,1082,0.74479,0.79497
1988,1st Quintile,female,No,0.23012,306,1082,0.20503,0.25521
1988,2nd Quintile,male,Yes,0.63927,558,930,0.60839,0.67015
1988,2nd Quintile,male,No,0.36073,372,930,0.32985,0.39161
1988,2nd Quintile,female,Yes,0.74573,743,1047,0.71934,0.77212
1988,2nd Quintile,female,No,0.25427,304,1047,0.22788,0.28066
1988,3rd Quintile,male,Yes,0.63149,611,1001,0.60159,0.66139
1988,3rd Quintile,male,No,0.36851,390,1001,0.33861,0.39841
1988,3rd Quintile,female,Yes,0.74128,715,994,0.71404,0.76852
1988,3rd Quintile,female,No,0.25872,279,994,0.23148,0.28596
1988,4th Quintile,male,Yes,0.60460,647,1088,0.57553,0.63367
1988,4th Quintile,male,No,0.39540,441,1088,0.36633,0.42447
1988,4th Quintile,female,Yes,0.74221,721,975,0.71474,0.76968
1988,4th Quintile,female,No,0.25779,254,975,0.23032,0.28526
1988,5th Quintile,male,Yes,0.59666,586,1018,0.56651,0.62681
1988,5th Quintile,male,No,0.40334,432,1018,0.37319,0.43349
1988,5th Quintile,female,Yes,0.72903,661,916,0.70023,0.75783
1988,5th Quintile,female,No,0.27097,255,916,0.24217,0.29977
1989,1st Quintile,male,Yes,0.62836,482,858,0.59600,0.66071
1989,1st Quintile,male,No,0.37164,376,858,0.33929,0.40400
1989,1st Quintile,female,Yes,0.78569,784,1061,0.76099,0.81040
1989,1st Quintile,female,No,0.21431,277,1061,0.18960,0.23901
1989,2nd Quintile,male,Yes,0.59203,530,920,0.56025,0.62380
1989,2nd Quintile,male,No,0.40797,390,920,0.37620,0.43975
1989,2nd Quintile,female,Yes,0.75311,748,1035,0.72683,0.77940
1989,2nd Quintile,female,No,0.24689,287,1035,0.22060,0.27317
1989,3rd Quintile,male,Yes,0.63536,588,958,0.60486,0.66586
1989,3rd Quintile,male,No,0.36464,370,958,0.33414,0.39514
1989,3rd Quintile,female,Yes,0.77639,696,928,0.74957,0.80321
1989,3rd Quintile,female,No,0.22361,232,928,0.19679,0.25043
1989,4th Quintile,male,Yes,0.63272,638,1044,0.60347,0.66198
1989,4th Quintile,male,No,0.36728,406,1044,0.33802,0.39653
1989,4th Quintile,female,Yes,0.76437,724,962,0.73753,0.79120
1989,4th Quintile,female,No,0.23563,238,962,0.20880,0.26247
1989,5th Quintile,male,Yes,0.60159,577,969,0.57074,0.63243
1989,5th Quintile,male,No,0.39841,392,969,0.36757,0.42926
1989,5th Quintile,female,Yes,0.77068,676,891,0.74306,0.79830
1989,5th Quintile,female,No,0.22932,215,891,0.20170,0.25694
1991,1st Quintile,male,Yes,0.66516,501,812,0.63268,0.69764
1991,1st Quintile,male,No,0.33484,311,812,0.30236,0.36732
1991,1st Quintile,female,Yes,0.80412,766,1017,0.77972,0.82852
1991,1st Quintile,female,No,0.19588,251,1017,0.17148,0.22028
1991,2nd Quintile,male,Yes,0.64740,538,884,0.61589,0.67892
1991,2nd Quintile,male,No,0.35260,346,884,0.32108,0.38411
1991,2nd Quintile,female,Yes,0.77669,738,1000,0.75086,0.80252
1991,2nd Quintile,female,No,0.22331,262,1000,0.19748,0.24914
1991,3rd Quintile,male,Yes,0.67142,607,945,0.64146,0.70139
1991,3rd Quintile,male,No,0.32858,338,945,0.29861,0.35854
1991,3rd Quintile,female,Yes,0.79313,707,933,0.76712,0.81913
1991,3rd Quintile,female,No,0.20687,226,933,0.18087,0.23288
1991,4th Quintile,male,Yes,0.65055,640,1008,0.62110,0.67999
1991,4th Quintile,male,No,0.34945,368,1008,0.32001,0.37890
1991,4th Quintile,female,Yes,0.80003,726,918,0.77414,0.82592
1991,4th Quintile,female,No,0.19997,192,918,0.17408,0.22586
1991,5th Quintile,male,Yes,0.61081,571,954,0.57985,0.64177
1991,5th Quintile,male,No,0.38919,383,954,0.35823,0.42015
1991,5th Quintile,female,Yes,0.76551,666,878,0.73747,0.79355
1991,5th Quintile,female,No,0.23449,212,878,0.20645,0.26253
1992,1st Quintile,male,Yes,0.63312,694,1171,0.60550,0.66073
1992,1st Quintile,male,No,0.36688,477,1171,0.33927,0.39450
1992,1st Quintile,female,Yes,0.77652,1157,1567,0.75589,0.79715
1992,1st Quintile,female,No,0.22348,410,1567,0.20285,0.24411
1992,2nd Quintile,male,Yes,0.61413,788,1352,0.58817,0.64009
1992,2nd Quintile,male,No,0.38587,564,1352,0.35991,0.41183
1992,2nd Quintile,female,Yes,0.75318,1071,1484,0.73123,0.77512
1992,2nd Quintile,female,No,0.24682,413,1484,0.22488,0.26877
1992,3rd Quintile,male,Yes,0.62403,769,1290,0.59759,0.65047
1992,3rd Quintile,male,No,0.37597,521,1290,0.34953,0.40241
1992,3rd Quintile,female,Yes,0.73465,983,1347,0.71107,0.75824
1992,3rd Quintile,female,No,0.26535,364,1347,0.24176,0.28893
1992,4th Quintile,male,Yes,0.64070,808,1320,0.61481,0.66660
1992,4th Quintile,male,No,0.35930,512,1320,0.33340,0.38519
1992,4th Quintile,female,Yes,0.76242,951,1256,0.73887,0.78596
1992,4th Quintile,female,No,0.23758,305,1256,0.21404,0.26113
1992,5th Quintile,male,Yes,0.65260,778,1251,0.62621,0.67900
1992,5th Quintile,male,No,0.34740,473,1251,0.32100,0.37379
1992,5th Quintile,female,Yes,0.78129,864,1115,0.75702,0.80557
1992,5th Quintile,female,No,0.21871,251,1115,0.19443,0.24298
1994,1st Quintile,male,Yes,0.70758,728,1066,0.68026,0.73490
1994,1st Quintile,male,No,0.29242,338,1066,0.26510,0.31974
1994,1st Quintile,female,Yes,0.84855,1169,1434,0.82999,0.86711
1994,1st Quintile,female,No,0.15145,265,1434,0.13289,0.17001
1994,2nd Quintile,male,Yes,0.70388,846,1245,0.67851,0.72925
1994,2nd Quintile,male,No,0.29612,399,1245,0.27075,0.32149
1994,2nd Quintile,female,Yes,0.83989,1159,1414,0.82076,0.85901
1994,2nd Quintile,female,No,0.16011,255,1414,0.14099,0.17924
1994,3rd Quintile,male,Yes,0.71279,915,1321,0.68838,0.73720
1994,3rd Quintile,male,No,0.28721,406,1321,0.26280,0.31162
1994,3rd Quintile,female,Yes,0.82664,1137,1376,0.80664,0.84665
1994,3rd Quintile,female,No,0.17336,239,1376,0.15335,0.19336
1994,4th Quintile,male,Yes,0.70351,891,1275,0.67843,0.72859
1994,4th Quintile,male,No,0.29649,384,1275,0.27141,0.32157
1994,4th Quintile,female,Yes,0.84026,1059,1255,0.81999,0.86054
1994,4th Quintile,female,No,0.15974,196,1255,0.13946,0.18001
1994,5th Quintile,male,Yes,0.74081,900,1274,0.71673,0.76488
1994,5th Quintile,male,No,0.25919,374,1274,0.23512,0.28327
1994,5th Quintile,female,Yes,0.82355,923,1139,0.80140,0.84569
1994,5th Quintile,female,No,0.17645,216,1139,0.15431,0.19860
1995,1st Quintile,male,Yes,0.61726,634,1095,0.58845,0.64606
1995,1st Quintile,male,No,0.38274,461,1095,0.35394,0.41155
1995,1st Quintile,female,Yes,0.78720,1053,1417,0.76588,0.80852
1995,1st Quintile,female,No,0.21280,364,1417,0.19148,0.23412
1995,2nd Quintile,male,Yes,0.67529,845,1337,0.65018,0.70040
1995,2nd Quintile,male,No,0.32471,492,1337,0.29960,0.34982
1995,2nd Quintile,female,Yes,0.79384,1165,1520,0.77349,0.81418
1995,2nd Quintile,female,No,0.20616,355,1520,0.18582,0.22651
1995,3rd Quintile,male,Yes,0.65733,830,1328,0.63180,0.68287
1995,3rd Quintile,male,No,0.34267,498,1328,0.31713,0.36820
1995,3rd Quintile,female,Yes,0.79891,1080,1378,0.77774,0.82008
1995,3rd Quintile,female,No,0.20109,298,1378,0.17992,0.22226
1995,4th Quintile,male,Yes,0.64315,826,1344,0.61753,0.66877
1995,4th Quintile,male,No,0.35685,518,1344,0.33123,0.38247
1995,4th Quintile,female,Yes,0.80060,1022,1304,0.77891,0.82229
1995,4th Quintile,female,No,0.19940,282,1304,0.17771,0.22109
1995,5th Quintile,male,Yes,0.63311,770,1251,0.60640,0.65983
1995,5th Quintile,male,No,0.36689,481,1251,0.34017,0.39360
1995,5th Quintile,female,Yes,0.76457,920,1199,0.74055,0.78860
1995,5th Quintile,female,No,0.23543,279,1199,0.21140,0.25945
1996,1st Quintile,male,Yes,0.63835,672,1107,0.61003,0.66666
1996,1st Quintile,male,No,0.36165,435,1107,0.33334,0.38997
1996,1st Quintile,female,Yes,0.76954,1037,1427,0.74769,0.79140
1996,1st Quintile,female,No,0.23046,390,1427,0.20860,0.25231
1996,2nd Quintile,male,Yes,0.66509,744,1192,0.63829,0.69189
1996,2nd Quintile,male,No,0.33491,448,1192,0.30811,0.36171
1996,2nd Quintile,female,Yes,0.78685,1065,1411,0.76547,0.80822
1996,2nd Quintile,female,No,0.21315,346,1411,0.19178,0.23453
1996,3rd Quintile,male,Yes,0.64445,812,1298,0.61840,0.67050
1996,3rd Quintile,male,No,0.35555,486,1298,0.32950,0.38160
1996,3rd Quintile,female,Yes,0.80578,1063,1347,0.78464,0.82691
1996,3rd Quintile,female,No,0.19422,284,1347,0.17309,0.21536
1996,4th Quintile,male,Yes,0.66450,876,1359,0.63939,0.68961
1996,4th Quintile,male,No,0.33550,483,1359,0.31039,0.36061
1996,4th Quintile,female,Yes,0.77233,1009,1321,0.74971,0.79495
1996,4th Quintile,female,No,0.22767,312,1321,0.20505,0.25029
1996,5th Quintile,male,Yes,0.65833,814,1264,0.63218,0.68449
1996,5th Quintile,male,No,0.34167,450,1264,0.31551,0.36782
1996,5th Quintile,female,Yes,0.77624,901,1164,0.75229,0.80020
1996,5th Quintile,female,No,0.22376,263,1164,0.19980,0.24771
1997,1st Quintile,male,Yes,0.58688,587,1029,0.55678,0.61698
1997,1st Quintile,male,No,0.41312,442,1029,0.38302,0.44322
1997,1st Quintile,female,Yes,0.78641,1015,1345,0.76450,0.80833
1997,1st Quintile,female,No,0.21359,330,1345,0.19167,0.23550
1997,2nd Quintile,male,Yes,0.63445,783,1284,0.60809,0.66080
1997,2nd Quintile,male,No,0.36555,501,1284,0.33920,0.39191
1997,2nd Quintile,female,Yes,0.77900,1078,1448,0.75762,0.80038
1997,2nd Quintile,female,No,0.22100,370,1448,0.19962,0.24238
1997,3rd Quintile,male,Yes,0.63635,788,1279,0.60997,0.66272
1997,3rd Quintile,male,No,0.36365,491,1279,0.33728,0.39003
1997,3rd Quintile,female,Yes,0.79356,1041,1332,0.77181,0.81530
1997,3rd Quintile,female,No,0.20644,291,1332,0.18470,0.22819
1997,4th Quintile,male,Yes,0.62034,780,1344,0.59438,0.64629
1997,4th Quintile,male,No,0.37966,564,1344,0.35371,0.40562
1997,4th Quintile,female,Yes,0.77794,996,1311,0.75544,0.80045
1997,4th Quintile,female,No,0.22206,315,1311,0.19955,0.24456
1997,5th Quintile,male,Yes,0.62845,782,1252,0.60168,0.65523
1997,5th Quintile,male,No,0.37155,470,1252,0.34477,0.39832
1997,5th Quintile,female,Yes,0.80082,902,1151,0.77773,0.82390
1997,5th Quintile,female,No,0.19918,249,1151,0.17610,0.22227
1998,1st Quintile,male,Yes,0.56269,555,1021,0.53225,0.59314
1998,1st Quintile,male,No,0.43731,466,1021,0.40686,0.46775
1998,1st Quintile,female,Yes,0.73124,924,1293,0.70706,0.75541
1998,1st Quintile,female,No,0.26876,369,1293,0.24459,0.29294
1998,2nd Quintile,male,Yes,0.59400,675,1176,0.56592,0.62208
1998,2nd Quintile,male,No,0.40600,501,1176,0.37792,0.43408
1998,2nd Quintile,female,Yes,0.77561,963,1313,0.75304,0.79819
1998,2nd Quintile,female,No,0.22439,350,1313,0.20181,0.24696
1998,3rd Quintile,male,Yes,0.67777,789,1230,0.65164,0.70390
1998,3rd Quintile,male,No,0.32223,441,1230,0.29610,0.34836
1998,3rd Quintile,female,Yes,0.78607,1011,1327,0.76400,0.80814
1998,3rd Quintile,female,No,0.21393,316,1327,0.19186,0.23600
1998,4th Quintile,male,Yes,0.63175,822,1312,0.60564,0.65786
1998,4th Quintile,male,No,0.36825,490,1312,0.34214,0.39436
1998,4th Quintile,female,Yes,0.75698,959,1283,0.73350,0.78046
1998,4th Quintile,female,No,0.24302,324,1283,0.21954,0.26650
1998,5th Quintile,male,Yes,0.62356,703,1178,0.59588,0.65123
1998,5th Quintile,male,No,0.37644,475,1178,0.34877,0.40412
1998,5th Quintile,female,Yes,0.79005,846,1098,0.76595,0.81415
1998,5th Quintile,female,No,0.20995,252,1098,0.18585,0.23405
1999,1st Quintile,male,Yes,0.57761,644,1127,0.54875,0.60646
1999,1st Quintile,male,No,0.42239,483,1127,0.39354,0.45125
1999,1st Quintile,female,Yes,0.76851,1081,1449,0.74679,0.79024
1999,1st Quintile,female,No,0.23149,368,1449,0.20976,0.25321
1999,2nd Quintile,male,Yes,0.61690,827,1372,0.59116,0.64263
1999,2nd Quintile,male,No,0.38310,545,1372,0.35737,0.40884
1999,2nd Quintile,female,Yes,0.78193,1128,1488,0.76094,0.80292
1999,2nd Quintile,female,No,0.21807,360,1488,0.19708,0.23906
1999,3rd Quintile,male,Yes,0.67304,889,1363,0.64813,0.69796
1999,3rd Quintile,male,No,0.32696,474,1363,0.30204,0.35187
1999,3rd Quintile,female,Yes,0.81775,1155,1454,0.79790,0.83760
1999,3rd Quintile,female,No,0.18225,299,1454,0.16240,0.20210
1999,4th Quintile,male,Yes,0.67799,911,1371,0.65325,0.70274
1999,4th Quintile,male,No,0.32201,460,1371,0.29726,0.34675
1999,4th Quintile,female,Yes,0.78161,1078,1381,0.75981,0.80341
1999,4th Quintile,female,No,0.21839,303,1381,0.19659,0.24019
1999,5th Quintile,male,Yes,0.60329,818,1347,0.57715,0.62942
1999,5th Quintile,male,No,0.39671,529,1347,0.37058,0.42285
1999,5th Quintile,female,Yes,0.77079,972,1260,0.74757,0.79401
1999,5th Quintile,female,No,0.22921,288,1260,0.20599,0.25243
2000,1st Quintile,male,Yes,0.58250,636,1118,0.55358,0.61142
2000,1st Quintile,male,No,0.41750,482,1118,0.38858,0.44642
2000,1st Quintile,female,Yes,0.76663,1085,1454,0.74488,0.78838
2000,1st Quintile,female,No,0.23337,369,1454,0.21162,0.25512
2000,2nd Quintile,male,Yes,0.65882,818,1291,0.63294,0.68469
2000,2nd Quintile,male,No,0.34118,473,1291,0.31531,0.36706
2000,2nd Quintile,female,Yes,0.76941,1069,1437,0.74762,0.79120
2000,2nd Quintile,female,No,0.23059,368,1437,0.20880,0.25238
2000,3rd Quintile,male,Yes,0.62981,835,1341,0.60395,0.65566
2000,3rd Quintile,male,No,0.37019,506,1341,0.34434,0.39605
2000,3rd Quintile,female,Yes,0.77169,1052,1382,0.74955,0.79383
2000,3rd Quintile,female,No,0.22831,330,1382,0.20617,0.25045
2000,4th Quintile,male,Yes,0.63319,840,1351,0.60748,0.65890
2000,4th Quintile,male,No,0.36681,511,1351,0.34110,0.39252
2000,4th Quintile,female,Yes,0.78275,1021,1330,0.76058,0.80492
2000,4th Quintile,female,No,0.21725,309,1330,0.19508,0.23942
2000,5th Quintile,male,Yes,0.63797,811,1304,0.61188,0.66407
2000,5th Quintile,male,No,0.36203,493,1304,0.33593,0.38812
2000,5th Quintile,female,Yes,0.74281,926,1229,0.71837,0.76726
2000,5th Quintile,female,No,0.25719,303,1229,0.23274,0.28163
2001,1st Quintile,male,Yes,0.60910,979,1646,0.58552,0.63268
2001,1st Quintile,male,No,0.39090,667,1646,0.36732,0.41448
2001,1st Quintile,female,Yes,0.76676,1668,2219,0.74916,0.78436
2001,1st Quintile,female,No,0.23324,551,2219,0.21564,0.25084
2001,2nd Quintile,male,Yes,0.61774,1239,2025,0.59657,0.63891
2001,2nd Quintile,male,No,0.38226,786,2025,0.36109,0.40343
2001,2nd Quintile,female,Yes,0.75406,1716,2309,0.73649,0.77163
2001,2nd Quintile,female,No,0.24594,593,2309,0.22837,0.26351
2001,3rd Quintile,male,Yes,0.62578,1364,2197,0.60554,0.64602
2001,3rd Quintile,male,No,0.37422,833,2197,0.35398,0.39446
2001,3rd Quintile,female,Yes,0.77528,1789,2325,0.75831,0.79225
2001,3rd Quintile,female,No,0.22472,536,2325,0.20775,0.24169
2001,4th Quintile,male,Yes,0.62138,1437,2297,0.60154,0.64122
2001,4th Quintile,male,No,0.37862,860,2297,0.35878,0.39846
2001,4th Quintile,female,Yes,0.75717,1741,2298,0.73964,0.77471
2001,4th Quintile,female,No,0.24283,557,2298,0.22529,0.26036
2001,5th Quintile,male,Yes,0.62202,1419,2319,0.60229,0.64176
2001,5th Quintile,male,No,0.37798,900,2319,0.35824,0.39771
2001,5th Quintile,female,Yes,0.78285,1685,2199,0.76561,0.80008
2001,5th Quintile,female,No,0.21715,514,2199,0.19992,0.23439
2002,1st Quintile,male,Yes,0.57819,863,1475,0.55298,0.60340
2002,1st Quintile,male,No,0.42181,612,1475,0.39660,0.44702
2002,1st Quintile,female,Yes,0.74948,1434,1977,0.73038,0.76859
2002,1st Quintile,female,No,0.25052,543,1977,0.23141,0.26962
2002,2nd Quintile,male,Yes,0.60693,1106,1802,0.58437,0.62949
2002,2nd Quintile,male,No,0.39307,696,1802,0.37051,0.41563
2002,2nd Quintile,female,Yes,0.75737,1571,2111,0.73908,0.77566
2002,2nd Quintile,female,No,0.24263,540,2111,0.22434,0.26092
2002,3rd Quintile,male,Yes,0.61160,1193,1944,0.58992,0.63327
2002,3rd Quintile,male,No,0.38840,751,1944,0.36673,0.41008
2002,3rd Quintile,female,Yes,0.72648,1518,2084,0.70734,0.74563
2002,3rd Quintile,female,No,0.27352,566,2084,0.25437,0.29266
2002,4th Quintile,male,Yes,0.61937,1340,2181,0.59899,0.63975
2002,4th Quintile,male,No,0.38063,841,2181,0.36025,0.40101
2002,4th Quintile,female,Yes,0.77110,1661,2176,0.75344,0.78876
2002,4th Quintile,female,No,0.22890,515,2176,0.21124,0.24656
2002,5th Quintile,male,Yes,0.61107,1548,2544,0.59212,0.63002
2002,5th Quintile,male,No,0.38893,996,2544,0.36998,0.40788
2002,5th Quintile,female,Yes,0.74836,1797,2441,0.73114,0.76558
2002,5th Quintile,female,No,0.25164,644,2441,0.23442,0.26886
2003,1st Quintile,male,Yes,0.63790,893,1438,0.61306,0.66275
2003,1st Quintile,male,No,0.36210,545,1438,0.33725,0.38694
2003,1st Quintile,female,Yes,0.74679,1428,1947,0.72747,0.76611
2003,1st Quintile,female,No,0.25321,519,1947,0.23389,0.27253
2003,2nd Quintile,male,Yes,0.63419,1114,1751,0.61162,0.65676
2003,2nd Quintile,male,No,0.36581,637,1751,0.34324,0.38838
2003,2nd Quintile,female,Yes,0.75215,1559,2090,0.73363,0.77067
2003,2nd Quintile,female,No,0.24785,531,2090,0.22933,0.26637
2003,3rd Quintile,male,Yes,0.63084,1241,1992,0.60964,0.65204
2003,3rd Quintile,male,No,0.36916,751,1992,0.34796,0.39036
2003,3rd Quintile,female,Yes,0.75765,1534,2055,0.73911,0.77618
2003,3rd Quintile,female,No,0.24235,521,2055,0.22382,0.26089
2003,4th Quintile,male,Yes,0.63767,1431,2214,0.61764,0.65770
2003,4th Quintile,male,No,0.36233,783,2214,0.34230,0.38236
2003,4th Quintile,female,Yes,0.77281,1682,2233,0.75543,0.79020
2003,4th Quintile,female,No,0.22719,551,2233,0.20980,0.24457
2003,5th Quintile,male,Yes,0.63733,2055,3226,0.62074,0.65392
2003,5th Quintile,male,No,0.36267,1171,3226,0.34608,0.37926
2003,5th Quintile,female,Yes,0.76276,2351,3098,0.74778,0.77774
2003,5th Quintile,female,No,0.23724,747,3098,0.22226,0.25222
2004,1st Quintile,male,Yes,0.59737,821,1372,0.57141,0.62333
2004,1st Quintile,male,No,0.40263,551,1372,0.37667,0.42859
2004,1st Quintile,female,Yes,0.74112,1364,1878,0.72131,0.76094
2004,1st Quintile,female,No,0.25888,514,1878,0.23906,0.27869
2004,2nd Quintile,male,Yes,0.62132,1069,1730,0.59846,0.64418
2004,2nd Quintile,male,No,0.37868,661,1730,0.35582,0.40154
2004,2nd Quintile,female,Yes,0.75924,1518,2040,0.74068,0.77780
2004,2nd Quintile,female,No,0.24076,522,2040,0.22220,0.25932
2004,3rd Quintile,male,Yes,0.62466,1195,1939,0.60310,0.64622
2004,3rd Quintile,male,No,0.37534,744,1939,0.35378,0.39690
2004,3rd Quintile,female,Yes,0.75671,1514,2062,0.73819,0.77524
2004,3rd Quintile,female,No,0.24329,548,2062,0.22476,0.26181
2004,4th Quintile,male,Yes,0.61419,1304,2146,0.59359,0.63479
2004,4th Quintile,male,No,0.38581,842,2146,0.36521,0.40641
2004,4th Quintile,female,Yes,0.76008,1649,2188,0.74218,0.77797
2004,4th Quintile,female,No,0.23992,539,2188,0.22203,0.25782
2004,5th Quintile,male,Yes,0.61697,1913,3161,0.60002,0.63392
2004,5th Quintile,male,No,0.38303,1248,3161,0.36608,0.39998
2004,5th Quintile,female,Yes,0.75198,2238,3013,0.73655,0.76740
2004,5th Quintile,female,No,0.24802,775,3013,0.23260,0.26345
2005,1st Quintile,male,Yes,0.61957,797,1329,0.59345,0.64568
2005,1st Quintile,male,No,0.38043,532,1329,0.35432,0.40655
2005,1st Quintile,female,Yes,0.73577,1332,1814,0.71548,0.75607
2005,1st Quintile,female,No,0.26423,482,1814,0.24393,0.28452
2005,2nd Quintile,male,Yes,0.65651,1084,1648,0.63358,0.67945
2005,2nd Quintile,male,No,0.34349,564,1648,0.32055,0.36642
2005,2nd Quintile,female,Yes,0.74918,1470,1959,0.72998,0.76838
2005,2nd Quintile,female,No,0.25082,489,1959,0.23162,0.27002
2005,3rd Quintile,male,Yes,0.62713,1119,1780,0.60466,0.64961
2005,3rd Quintile,male,No,0.37287,661,1780,0.35039,0.39534
2005,3rd Quintile,female,Yes,0.76472,1490,1958,0.74593,0.78352
