year,bula_h,sex,doctoryn,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2015,Bavaria,female,No,0.26428898033836307,38036,0.2598574695571566,0.2687204911195695
2015,Berlin,male,Yes,0.6826923076923077,38036,0.6780148328859971,0.6873697824986184
2015,Berlin,male,No,0.3173076923076923,38036,0.3126302175013817,0.3219851671140029
2015,Berlin,female,Yes,0.7611336032388664,38036,0.7568484473152278,0.7654187591625049
2015,Berlin,female,No,0.2388663967611336,38036,0.23458124083749501,0.2431515526847722
2015,Brandenburg,male,Yes,0.6621315192743764,38036,0.6573781164219088,0.666884922126844
2015,Brandenburg,male,No,0.3378684807256236,38036,0.3331150778731559,0.34262188357809126
2015,Brandenburg,female,Yes,0.7896678966789668,38036,0.7855721444560996,0.7937636489018339
2015,Brandenburg,female,No,0.21033210332103322,38036,0.20623635109816604,0.2144278555439004
2015,Mecklenburg-Western Pomerania,male,Yes,0.6869918699186992,38036,0.682331587247512,0.6916521525898864
2015,Mecklenburg-Western Pomerania,male,No,0.3130081300813008,38036,0.3083478474101136,0.31766841275248797
2015,Mecklenburg-Western Pomerania,female,Yes,0.752442996742671,38036,0.7481055609136056,0.7567804325717364
2015,Mecklenburg-Western Pomerania,female,No,0.247557003257329,38036,0.2432195674282636,0.2518944390863944
2015,Saxony,male,Yes,0.6727019498607242,38036,0.667986298336339,0.6774176013851093
2015,Saxony,male,No,0.32729805013927576,38036,0.32258239861489063,0.3320137016636609
2015,Saxony,female,Yes,0.7709923664122137,38036,0.7667694870911872,0.7752152457332402
2015,Saxony,female,No,0.22900763358778625,38036,0.22478475426675976,0.23323051290881275
2015,Saxony-Anhalt,male,Yes,0.6785714285714286,38036,0.6738779085387012,0.683264948604156
2015,Saxony-Anhalt,male,No,0.32142857142857145,38036,0.3167350513958441,0.3261220914612988
2015,Saxony-Anhalt,female,Yes,0.7423312883435583,38036,0.7379359898123138,0.7467265868748029
2015,Saxony-Anhalt,female,No,0.25766871165644173,38036,0.25327341312519713,0.2620640101876863
