year,bula_h,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,North Rhine-Westphalia,Rural regions,No,0.32403,31,71,0.21439,0.43367
1988,Hesse,Urban regions,Yes,0.55414,551,858,0.52086,0.58742
1988,Hesse,Urban regions,No,0.26834,307,858,0.23868,0.29801
1988,Hesse,Rural regions,Yes,0.66675,102,142,0.58895,0.74456
1988,Hesse,Rural regions,No,0.22422,40,142,0.15538,0.29307
1988,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.58445,396,603,0.54509,0.62382
1988,"Rhineland-Palatinate, Saarland",Urban regions,No,0.27264,207,603,0.23707,0.30821
1988,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.51510,72,131,0.42918,0.60101
1988,"Rhineland-Palatinate, Saarland",Rural regions,No,0.34056,59,131,0.25909,0.42202
1988,Baden-Wuerttemberg,Urban regions,Yes,0.53279,1030,1629,0.50855,0.55702
1988,Baden-Wuerttemberg,Urban regions,No,0.28922,599,1629,0.26719,0.31124
1988,Baden-Wuerttemberg,Rural regions,Yes,0.59457,168,251,0.53371,0.65544
1988,Baden-Wuerttemberg,Rural regions,No,0.20481,83,251,0.15478,0.25483
1988,Bavaria,Urban regions,Yes,0.64731,638,887,0.61585,0.67877
1988,Bavaria,Urban regions,No,0.21513,249,887,0.18807,0.24219
1988,Bavaria,Rural regions,Yes,0.53200,490,749,0.49624,0.56776
1988,Bavaria,Rural regions,No,0.25802,259,749,0.22667,0.28938
1988,Berlin,Urban regions,Yes,0.60581,232,333,0.55324,0.65837
1988,Berlin,Urban regions,No,0.25475,101,333,0.20788,0.30162
1989,Schleswig-Holstein,Urban regions,Yes,0.55967,103,148,0.47942,0.63992
1989,Schleswig-Holstein,Urban regions,No,0.21807,45,148,0.15131,0.28482
1989,Schleswig-Holstein,Rural regions,Yes,0.58599,110,150,0.50690,0.66508
1989,Schleswig-Holstein,Rural regions,No,0.17967,40,150,0.11803,0.24132
1989,Hamburg,Urban regions,Yes,0.63793,135,196,0.57047,0.70538
1989,Hamburg,Urban regions,No,0.26615,61,196,0.20412,0.32818
1989,Lower Saxony,Urban regions,Yes,0.62773,348,493,0.58502,0.67045
1989,Lower Saxony,Urban regions,No,0.25008,145,493,0.21182,0.28835
1989,Lower Saxony,Rural regions,Yes,0.59764,347,500,0.55461,0.64066
1989,Lower Saxony,Rural regions,No,0.22953,153,500,0.19263,0.26642
1989,Bremen,Urban regions,Yes,0.63968,74,107,0.54829,0.73108
1989,Bremen,Urban regions,No,0.21818,33,107,0.13956,0.29681
1989,North Rhine-Westphalia,Urban regions,Yes,0.56887,1657,2538,0.54960,0.58814
1989,North Rhine-Westphalia,Urban regions,No,0.26195,881,2538,0.24484,0.27906
1989,North Rhine-Westphalia,Rural regions,Yes,0.50361,41,41,0.34866,0.65856
1989,Hesse,Urban regions,Yes,0.59052,570,861,0.55766,0.62339
1989,Hesse,Urban regions,No,0.23517,291,861,0.20682,0.26352
1989,Hesse,Rural regions,Yes,0.68492,98,133,0.60567,0.76417
1989,Hesse,Rural regions,No,0.22396,35,133,0.15284,0.29508
1989,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.58807,387,578,0.54791,0.62823
1989,"Rhineland-Palatinate, Saarland",Urban regions,No,0.27039,191,578,0.23415,0.30664
1989,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.65644,82,113,0.56849,0.74440
1989,"Rhineland-Palatinate, Saarland",Rural regions,No,0.21610,31,113,0.13987,0.29232
1989,Baden-Wuerttemberg,Urban regions,Yes,0.54441,1005,1571,0.51978,0.56905
1989,Baden-Wuerttemberg,Urban regions,No,0.27700,566,1571,0.25486,0.29914
1989,Baden-Wuerttemberg,Rural regions,Yes,0.57245,163,240,0.50973,0.63518
1989,Baden-Wuerttemberg,Rural regions,No,0.24004,77,240,0.18589,0.29418
1989,Bavaria,Urban regions,Yes,0.62862,601,854,0.59620,0.66105
1989,Bavaria,Urban regions,No,0.23284,253,854,0.20448,0.26121
1989,Bavaria,Rural regions,Yes,0.54717,493,751,0.51155,0.58280
1989,Bavaria,Rural regions,No,0.25482,258,751,0.22364,0.28601
1989,Berlin,Urban regions,Yes,0.58800,230,326,0.53449,0.64151
1989,Berlin,Urban regions,No,0.26861,96,326,0.22042,0.31680
1991,Schleswig-Holstein,Urban regions,Yes,0.58435,108,145,0.50385,0.66485
1991,Schleswig-Holstein,Urban regions,No,0.18452,37,145,0.12116,0.24788
1991,Schleswig-Holstein,Rural regions,Yes,0.56005,106,149,0.48008,0.64002
1991,Schleswig-Holstein,Rural regions,No,0.21416,43,149,0.14807,0.28025
1991,Hamburg,Urban regions,Yes,0.65540,115,160,0.58153,0.72927
1991,Hamburg,Urban regions,No,0.22997,45,160,0.16456,0.29538
1991,Lower Saxony,Urban regions,Yes,0.61056,334,470,0.56643,0.65469
1991,Lower Saxony,Urban regions,No,0.24605,136,470,0.20707,0.28503
1991,Lower Saxony,Rural regions,Yes,0.61534,365,497,0.57252,0.65815
1991,Lower Saxony,Rural regions,No,0.20647,132,497,0.17085,0.24210
1991,Bremen,Urban regions,Yes,0.60660,68,68,0.48963,0.72358
1991,North Rhine-Westphalia,Urban regions,Yes,0.58074,1664,2466,0.56126,0.60022
1991,North Rhine-Westphalia,Urban regions,No,0.23808,802,2466,0.22126,0.25489
1991,North Rhine-Westphalia,Rural regions,Yes,0.43647,37,37,0.27446,0.59848
1991,Hesse,Urban regions,Yes,0.60316,565,825,0.56976,0.63657
1991,Hesse,Urban regions,No,0.22299,260,825,0.19457,0.25142
1991,Hesse,Rural regions,Yes,0.71560,104,136,0.63949,0.79170
1991,Hesse,Rural regions,No,0.18631,32,136,0.12063,0.25199
1991,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.57978,370,550,0.53849,0.62107
1991,"Rhineland-Palatinate, Saarland",Urban regions,No,0.25181,180,550,0.21550,0.28812
1991,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.60850,75,118,0.52006,0.69694
1991,"Rhineland-Palatinate, Saarland",Rural regions,No,0.27999,43,118,0.19863,0.36135
1991,Baden-Wuerttemberg,Urban regions,Yes,0.57588,1061,1544,0.55122,0.60054
1991,Baden-Wuerttemberg,Urban regions,No,0.22904,483,1544,0.20807,0.25001
1991,Baden-Wuerttemberg,Rural regions,Yes,0.61383,170,236,0.55158,0.67608
1991,Baden-Wuerttemberg,Rural regions,No,0.20713,66,236,0.15531,0.25894
1991,Bavaria,Urban regions,Yes,0.64414,586,822,0.61139,0.67689
1991,Bavaria,Urban regions,No,0.20769,236,822,0.17994,0.23544
1991,Bavaria,Rural regions,Yes,0.55946,516,774,0.52446,0.59446
1991,Bavaria,Rural regions,No,0.23863,258,774,0.20858,0.26867
1991,Berlin,Urban regions,Yes,0.59704,405,588,0.55736,0.63672
1991,Berlin,Urban regions,No,0.23820,183,588,0.20374,0.27266
1991,Brandenburg,Rural regions,Yes,0.47450,366,626,0.43535,0.51365
1991,Brandenburg,Rural regions,No,0.33119,260,626,0.29429,0.36809
1991,Mecklenburg-Western Pomerania,Urban regions,Yes,0.49847,35,35,0.33040,0.66654
1991,Mecklenburg-Western Pomerania,Rural regions,Yes,0.49960,251,410,0.45114,0.54806
1991,Mecklenburg-Western Pomerania,Rural regions,No,0.29716,159,410,0.25287,0.34145
1991,Saxony,Urban regions,Yes,0.48544,358,615,0.44591,0.52497
1991,Saxony,Urban regions,No,0.31699,257,615,0.28018,0.35379
1991,Saxony,Rural regions,Yes,0.49576,340,587,0.45527,0.53624
1991,Saxony,Rural regions,No,0.33162,247,587,0.29350,0.36974
1991,Saxony-Anhalt,Urban regions,Yes,0.50861,102,171,0.43345,0.58376
1991,Saxony-Anhalt,Urban regions,No,0.34565,69,171,0.27415,0.41714
1991,Saxony-Anhalt,Rural regions,Yes,0.46787,335,610,0.42824,0.50750
1991,Saxony-Anhalt,Rural regions,No,0.34778,275,610,0.30996,0.38561
1991,Thuringa,Urban regions,Yes,0.48923,109,188,0.41759,0.56088
1991,Thuringa,Urban regions,No,0.29817,79,188,0.23260,0.36374
1991,Thuringa,Rural regions,Yes,0.50955,290,482,0.46487,0.55423
1991,Thuringa,Rural regions,No,0.28401,192,482,0.24371,0.32431
1992,Schleswig-Holstein,Urban regions,Yes,0.56567,102,140,0.48326,0.64807
1992,Schleswig-Holstein,Urban regions,No,0.17759,38,140,0.11405,0.24112
1992,Schleswig-Holstein,Rural regions,Yes,0.55847,86,129,0.47244,0.64450
1992,Schleswig-Holstein,Rural regions,No,0.25215,43,129,0.17692,0.32738
1992,Hamburg,Urban regions,Yes,0.63445,106,150,0.55713,0.71178
1992,Hamburg,Urban regions,No,0.22798,44,150,0.16062,0.29535
1992,Lower Saxony,Urban regions,Yes,0.63412,339,460,0.59006,0.67819
1992,Lower Saxony,Urban regions,No,0.20753,121,460,0.17043,0.24463
1992,Lower Saxony,Rural regions,Yes,0.56688,352,486,0.52278,0.61098
1992,Lower Saxony,Rural regions,No,0.22795,134,486,0.19062,0.26529
1992,Bremen,Urban regions,Yes,0.70327,72,72,0.59701,0.80953
1992,North Rhine-Westphalia,Urban regions,Yes,0.54709,1573,2417,0.52724,0.56693
1992,North Rhine-Westphalia,Urban regions,No,0.26291,844,2417,0.24535,0.28046
1992,North Rhine-Westphalia,Rural regions,Yes,0.41184,35,35,0.24641,0.57728
1992,Hesse,Urban regions,Yes,0.61502,544,805,0.58139,0.64866
1992,Hesse,Urban regions,No,0.22214,261,805,0.19341,0.25087
1992,Hesse,Rural regions,Yes,0.61000,95,136,0.52772,0.69228
1992,Hesse,Rural regions,No,0.28796,41,136,0.21158,0.36435
1992,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.56536,363,547,0.52378,0.60694
1992,"Rhineland-Palatinate, Saarland",Urban regions,No,0.26084,184,547,0.22401,0.29768
1992,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.64775,78,110,0.55808,0.73743
1992,"Rhineland-Palatinate, Saarland",Rural regions,No,0.23502,32,110,0.15542,0.31462
1992,Baden-Wuerttemberg,Urban regions,Yes,0.56578,1016,1503,0.54071,0.59084
1992,Baden-Wuerttemberg,Urban regions,No,0.23322,487,1503,0.21183,0.25460
1992,Baden-Wuerttemberg,Rural regions,Yes,0.57015,162,236,0.50686,0.63345
1992,Baden-Wuerttemberg,Rural regions,No,0.23583,74,236,0.18155,0.29010
1992,Bavaria,Urban regions,Yes,0.62245,581,829,0.58943,0.65547
1992,Bavaria,Urban regions,No,0.22068,248,829,0.19243,0.24893
1992,Bavaria,Rural regions,Yes,0.53212,503,787,0.49724,0.56700
1992,Bavaria,Rural regions,No,0.25824,284,787,0.22764,0.28884
1992,Berlin,Urban regions,Yes,0.60309,411,574,0.56303,0.64315
1992,Berlin,Urban regions,No,0.22135,163,574,0.18736,0.25534
1992,Brandenburg,Urban regions,Yes,0.55668,43,43,0.40644,0.70693
1992,Brandenburg,Rural regions,Yes,0.56132,401,580,0.52090,0.60174
1992,Brandenburg,Rural regions,No,0.25484,179,580,0.21934,0.29033
1992,Mecklenburg-Western Pomerania,Rural regions,Yes,0.56798,248,358,0.51659,0.61936
1992,Mecklenburg-Western Pomerania,Rural regions,No,0.24196,110,358,0.19754,0.28639
1992,Saxony,Urban regions,Yes,0.58447,397,578,0.54425,0.62468
1992,Saxony,Urban regions,No,0.22643,181,578,0.19228,0.26058
1992,Saxony,Rural regions,Yes,0.54488,345,544,0.50299,0.58676
1992,Saxony,Rural regions,No,0.26245,199,544,0.22545,0.29946
1992,Saxony-Anhalt,Urban regions,Yes,0.56852,113,171,0.49407,0.64297
1992,Saxony-Anhalt,Urban regions,No,0.28872,58,171,0.22060,0.35684
1992,Saxony-Anhalt,Rural regions,Yes,0.53414,364,584,0.49364,0.57463
1992,Saxony-Anhalt,Rural regions,No,0.30449,220,584,0.26713,0.34184
1992,Thuringa,Urban regions,Yes,0.60147,132,177,0.52913,0.67380
1992,Thuringa,Urban regions,No,0.19129,45,177,0.13318,0.24940
1992,Thuringa,Rural regions,Yes,0.53985,306,475,0.49498,0.58472
1992,Thuringa,Rural regions,No,0.25576,169,475,0.21648,0.29503
1994,Schleswig-Holstein,Urban regions,Yes,0.58514,103,139,0.50293,0.66734
1994,Schleswig-Holstein,Urban regions,No,0.16926,36,139,0.10669,0.23182
1994,Schleswig-Holstein,Rural regions,Yes,0.68251,107,145,0.60648,0.75855
1994,Schleswig-Holstein,Rural regions,No,0.16458,38,145,0.10402,0.22515
1994,Hamburg,Urban regions,Yes,0.64207,103,139,0.56209,0.72206
1994,Hamburg,Urban regions,No,0.20586,36,139,0.13840,0.27333
1994,Lower Saxony,Urban regions,Yes,0.65009,343,474,0.60711,0.69308
1994,Lower Saxony,Urban regions,No,0.19524,131,474,0.15952,0.23096
1994,Lower Saxony,Rural regions,Yes,0.63025,375,488,0.58738,0.67313
1994,Lower Saxony,Rural regions,No,0.17096,113,488,0.13752,0.20439
1994,Bremen,Urban regions,Yes,0.66484,63,63,0.54734,0.78234
1994,North Rhine-Westphalia,Urban regions,Yes,0.60394,1698,2376,0.58427,0.62361
1994,North Rhine-Westphalia,Urban regions,No,0.21132,678,2376,0.19490,0.22774
1994,North Rhine-Westphalia,Rural regions,Yes,0.45038,40,40,0.29423,0.60654
1994,Hesse,Urban regions,Yes,0.67517,597,792,0.64253,0.70780
1994,Hesse,Urban regions,No,0.16628,195,792,0.14033,0.19223
1994,Hesse,Rural regions,Yes,0.72499,102,102,0.63791,0.81207
1994,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.60326,388,521,0.56121,0.64531
1994,"Rhineland-Palatinate, Saarland",Urban regions,No,0.21260,133,521,0.17744,0.24777
1994,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.61956,80,111,0.52883,0.71029
1994,"Rhineland-Palatinate, Saarland",Rural regions,No,0.21270,31,111,0.13622,0.28917
1994,Baden-Wuerttemberg,Urban regions,Yes,0.62530,1105,1507,0.60085,0.64975
1994,Baden-Wuerttemberg,Urban regions,No,0.17682,402,1507,0.15755,0.19609
1994,Baden-Wuerttemberg,Rural regions,Yes,0.67299,154,215,0.61014,0.73585
1994,Baden-Wuerttemberg,Rural regions,No,0.14696,61,215,0.09952,0.19440
1994,Bavaria,Urban regions,Yes,0.67635,634,803,0.64396,0.70873
1994,Bavaria,Urban regions,No,0.16494,169,803,0.13926,0.19063
1994,Bavaria,Rural regions,Yes,0.61826,594,775,0.58404,0.65249
1994,Bavaria,Rural regions,No,0.17017,181,775,0.14369,0.19664
1994,Berlin,Urban regions,Yes,0.62013,424,549,0.57949,0.66076
1994,Berlin,Urban regions,No,0.19679,125,549,0.16350,0.23007
1994,Brandenburg,Urban regions,Yes,0.61233,49,49,0.47450,0.75017
1994,Brandenburg,Rural regions,Yes,0.68460,444,545,0.64555,0.72365
1994,Brandenburg,Rural regions,No,0.15103,101,545,0.12094,0.18112
1994,Mecklenburg-Western Pomerania,Urban regions,Yes,0.58342,46,46,0.43938,0.72746
1994,Mecklenburg-Western Pomerania,Rural regions,Yes,0.62365,284,355,0.57319,0.67412
1994,Mecklenburg-Western Pomerania,Rural regions,No,0.17071,71,355,0.13151,0.20990
1994,Saxony,Urban regions,Yes,0.69541,478,581,0.65796,0.73287
1994,Saxony,Urban regions,No,0.13411,103,581,0.10637,0.16184
1994,Saxony,Rural regions,Yes,0.65417,421,544,0.61416,0.69417
1994,Saxony,Rural regions,No,0.16303,123,544,0.13196,0.19410
1994,Saxony-Anhalt,Urban regions,Yes,0.74451,139,139,0.67174,0.81728
1994,Saxony-Anhalt,Rural regions,Yes,0.66051,426,544,0.62068,0.70034
1994,Saxony-Anhalt,Rural regions,No,0.17032,118,544,0.13870,0.20194
1994,Thuringa,Urban regions,Yes,0.69222,162,162,0.62092,0.76352
1994,Thuringa,Rural regions,Yes,0.63976,373,469,0.59626,0.68325
1994,Thuringa,Rural regions,No,0.14993,96,469,0.11759,0.18228
1995,Schleswig-Holstein,Urban regions,Yes,0.54627,93,139,0.46320,0.62933
1995,Schleswig-Holstein,Urban regions,No,0.22570,46,139,0.15595,0.29545
1995,Schleswig-Holstein,Rural regions,Yes,0.62339,105,143,0.54369,0.70308
1995,Schleswig-Holstein,Rural regions,No,0.16923,38,143,0.10756,0.23090
1995,Hamburg,Urban regions,Yes,0.64119,95,132,0.55905,0.72333
1995,Hamburg,Urban regions,No,0.22739,37,132,0.15561,0.29917
1995,Lower Saxony,Urban regions,Yes,0.60308,355,516,0.56082,0.64534
1995,Lower Saxony,Urban regions,No,0.23031,161,516,0.19395,0.26667
1995,Lower Saxony,Rural regions,Yes,0.54845,348,518,0.50555,0.59135
1995,Lower Saxony,Rural regions,No,0.21671,170,518,0.18120,0.25223
1995,Bremen,Urban regions,Yes,0.62210,62,62,0.50042,0.74378
1995,North Rhine-Westphalia,Urban regions,Yes,0.57401,1683,2494,0.55460,0.59343
1995,North Rhine-Westphalia,Urban regions,No,0.24184,811,2494,0.22503,0.25865
1995,North Rhine-Westphalia,Rural regions,Yes,0.49938,48,48,0.35644,0.64233
1995,Hesse,Urban regions,Yes,0.57667,526,796,0.54232,0.61101
1995,Hesse,Urban regions,No,0.25980,270,796,0.22932,0.29029
1995,Hesse,Rural regions,Yes,0.63856,100,141,0.55897,0.71814
1995,Hesse,Rural regions,No,0.21149,41,141,0.14385,0.27914
1995,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.54646,385,568,0.50548,0.58744
1995,"Rhineland-Palatinate, Saarland",Urban regions,No,0.23874,183,568,0.20365,0.27383
1995,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.55851,81,135,0.47443,0.64259
1995,"Rhineland-Palatinate, Saarland",Rural regions,No,0.25298,54,135,0.17938,0.32659
1995,Baden-Wuerttemberg,Urban regions,Yes,0.58184,1091,1558,0.55734,0.60635
1995,Baden-Wuerttemberg,Urban regions,No,0.21820,467,1558,0.19769,0.23872
1995,Baden-Wuerttemberg,Rural regions,Yes,0.56196,144,220,0.49625,0.62767
1995,Baden-Wuerttemberg,Rural regions,No,0.25232,76,220,0.19480,0.30985
1995,Bavaria,Urban regions,Yes,0.60061,599,847,0.56761,0.63362
1995,Bavaria,Urban regions,No,0.22605,248,847,0.19787,0.25424
1995,Bavaria,Rural regions,Yes,0.57261,562,830,0.53893,0.60628
1995,Bavaria,Rural regions,No,0.23267,268,830,0.20390,0.26143
1995,Berlin,Urban regions,Yes,0.62329,425,563,0.58323,0.66335
1995,Berlin,Urban regions,No,0.20281,138,563,0.16957,0.23605
1995,Brandenburg,Rural regions,Yes,0.61187,412,561,0.57151,0.65223
