year,regtyp,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Urban regions,East,Yes,0.65497,1360,1885,0.63351,0.67644
2010,Urban regions,East,No,0.22666,525,1885,0.20776,0.24557
2010,Rural regions,West,Yes,0.58453,3229,4693,0.57043,0.59863
2010,Rural regions,West,No,0.24242,1464,4693,0.23016,0.25468
2010,Rural regions,East,Yes,0.63687,2473,3546,0.62103,0.65270
2010,Rural regions,East,No,0.22668,1073,3546,0.21290,0.24046
2011,Urban regions,West,Yes,0.58830,11291,15992,0.58067,0.59592
2011,Urban regions,West,No,0.24057,4701,15992,0.23394,0.24719
2011,Urban regions,East,Yes,0.66237,1615,2176,0.64250,0.68225
2011,Urban regions,East,No,0.20179,561,2176,0.18493,0.21866
2011,Rural regions,West,Yes,0.60309,4175,6020,0.59073,0.61545
2011,Rural regions,West,No,0.22480,1845,6020,0.21425,0.23534
2011,Rural regions,East,Yes,0.63404,2909,4124,0.61933,0.64874
2011,Rural regions,East,No,0.22977,1215,4124,0.21693,0.24261
2012,Urban regions,West,Yes,0.59247,10911,15393,0.58470,0.60023
2012,Urban regions,West,No,0.23820,4482,15393,0.23147,0.24493
2012,Urban regions,East,Yes,0.64545,1543,2078,0.62488,0.66602
2012,Urban regions,East,No,0.21072,535,2078,0.19318,0.22826
2012,Rural regions,West,Yes,0.58862,4186,5998,0.57617,0.60108
2012,Rural regions,West,No,0.24259,1812,5998,0.23174,0.25344
2012,Rural regions,East,Yes,0.61852,2856,4062,0.60358,0.63346
2012,Rural regions,East,No,0.24216,1206,4062,0.22898,0.25534
2013,Urban regions,West,Yes,0.55809,10445,14351,0.54996,0.56621
2013,Urban regions,West,No,0.18584,3906,14351,0.17947,0.19220
2013,Urban regions,East,Yes,0.63967,1466,1962,0.61842,0.66092
2013,Urban regions,East,No,0.19718,496,1962,0.17957,0.21479
2013,Rural regions,West,Yes,0.58087,4015,5571,0.56791,0.59383
2013,Rural regions,West,No,0.20336,1556,5571,0.19279,0.21393
2013,Rural regions,East,Yes,0.61274,2725,3761,0.59717,0.62831
2013,Rural regions,East,No,0.23166,1036,3761,0.21818,0.24515
2014,Urban regions,West,Yes,0.59359,10913,15668,0.58590,0.60128
2014,Urban regions,West,No,0.24033,4755,15668,0.23364,0.24702
2014,Urban regions,East,Yes,0.64332,1438,1928,0.62193,0.66471
2014,Urban regions,East,No,0.21025,490,1928,0.19206,0.22845
2014,Rural regions,West,Yes,0.59905,4017,5754,0.58639,0.61172
2014,Rural regions,West,No,0.24697,1737,5754,0.23583,0.25811
2014,Rural regions,East,Yes,0.62939,2587,3630,0.61368,0.64510
2014,Rural regions,East,No,0.22674,1043,3630,0.21311,0.24036
2015,Urban regions,West,Yes,0.58445,10028,14315,0.57638,0.59253
2015,Urban regions,West,No,0.22965,4287,14315,0.22276,0.23654
2015,Urban regions,East,Yes,0.60811,1342,1835,0.58577,0.63045
2015,Urban regions,East,No,0.23078,493,1835,0.21149,0.25006
2015,Rural regions,West,Yes,0.60350,3792,5414,0.59046,0.61653
2015,Rural regions,West,No,0.22270,1622,5414,0.21161,0.23378
2015,Rural regions,East,Yes,0.61188,2444,3396,0.59549,0.62827
2015,Rural regions,East,No,0.22841,952,3396,0.21428,0.24253
2016,Urban regions,West,Yes,0.58637,9623,13876,0.57818,0.59457
2016,Urban regions,West,No,0.23804,4253,13876,0.23096,0.24513
2016,Urban regions,East,Yes,0.61853,1261,1753,0.59579,0.64128
2016,Urban regions,East,No,0.23369,492,1753,0.21388,0.25351
2016,Rural regions,West,Yes,0.58671,3508,5184,0.57331,0.60012
2016,Rural regions,West,No,0.24773,1676,5184,0.23597,0.25948
2016,Rural regions,East,Yes,0.59429,2339,3242,0.57739,0.61120
2016,Rural regions,East,No,0.23409,903,3242,0.21951,0.24867
2017,Urban regions,West,Yes,0.59647,10790,15096,0.58864,0.60429
2017,Urban regions,West,No,0.22667,4306,15096,0.22000,0.23335
2017,Urban regions,East,Yes,0.65335,1433,1943,0.63219,0.67452
2017,Urban regions,East,No,0.19464,510,1943,0.17703,0.21225
2017,Rural regions,West,Yes,0.61066,4034,5675,0.59797,0.62335
2017,Rural regions,West,No,0.21913,1641,5675,0.20837,0.22989
2017,Rural regions,East,Yes,0.62266,2666,3630,0.60689,0.63843
2017,Rural regions,East,No,0.21006,964,3630,0.19681,0.22332
2018,Urban regions,West,Yes,0.59711,10483,14670,0.58917,0.60504
2018,Urban regions,West,No,0.23060,4187,14670,0.22378,0.23741
2018,Urban regions,East,Yes,0.62322,1413,1919,0.60153,0.64491
2018,Urban regions,East,No,0.22440,506,1919,0.20573,0.24307
2018,Rural regions,West,Yes,0.60721,3784,5362,0.59414,0.62029
2018,Rural regions,West,No,0.23189,1578,5362,0.22060,0.24319
2018,Rural regions,East,Yes,0.61185,2611,3553,0.59583,0.62788
2018,Rural regions,East,No,0.21521,942,3553,0.20169,0.22872
2019,Urban regions,West,Yes,0.60104,10405,14450,0.59306,0.60902
2019,Urban regions,West,No,0.22268,4045,14450,0.21589,0.22946
2019,Urban regions,East,Yes,0.62139,1386,1894,0.59954,0.64324
2019,Urban regions,East,No,0.23215,508,1894,0.21313,0.25117
2019,Rural regions,West,Yes,0.61770,3677,5196,0.60449,0.63091
2019,Rural regions,West,No,0.21283,1519,5196,0.20170,0.22396
2019,Rural regions,East,Yes,0.61797,2569,3561,0.60201,0.63393
2019,Rural regions,East,No,0.21083,992,3561,0.19743,0.22423
2020,Urban regions,West,Yes,0.56224,10909,16892,0.55475,0.56972
2020,Urban regions,West,No,0.26492,5983,16892,0.25826,0.27157
2020,Urban regions,East,Yes,0.57732,1356,2097,0.55617,0.59847
2020,Urban regions,East,No,0.26691,741,2097,0.24798,0.28585
2020,Rural regions,West,Yes,0.55353,3650,5718,0.54064,0.56641
2020,Rural regions,West,No,0.27046,2068,5718,0.25895,0.28198
2020,Rural regions,East,Yes,0.58757,2442,3588,0.57146,0.60368
2020,Rural regions,East,No,0.24570,1146,3588,0.23161,0.25979
2021,Urban regions,West,Yes,0.59580,7271,10028,0.58619,0.60541
2021,Urban regions,West,No,0.22210,2757,10028,0.21396,0.23024
2021,Urban regions,East,Yes,0.58861,983,1338,0.56223,0.61499
2021,Urban regions,East,No,0.22898,355,1338,0.20645,0.25150
2021,Rural regions,West,Yes,0.58300,2431,3499,0.56666,0.59934
2021,Rural regions,West,No,0.24546,1068,3499,0.23120,0.25972
2021,Rural regions,East,Yes,0.60012,1665,2279,0.58000,0.62023
2021,Rural regions,East,No,0.23650,614,2279,0.21905,0.25395
2022,Urban regions,West,Yes,0.49587,10479,15483,0.48799,0.50374
2022,Urban regions,West,No,0.22304,5004,15483,0.21649,0.22960
2022,Urban regions,East,Yes,0.46812,1380,2075,0.44665,0.48960
2022,Urban regions,East,No,0.25672,695,2075,0.23792,0.27552
2022,Rural regions,West,Yes,0.49665,3233,4787,0.48249,0.51082
2022,Rural regions,West,No,0.22477,1554,4787,0.21295,0.23660
2022,Rural regions,East,Yes,0.50414,2185,3176,0.48675,0.52153
2022,Rural regions,East,No,0.20492,991,3176,0.19088,0.21896
