year,sampreg,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,West,female,No,0.19599,1200,4702,0.18464,0.20734
1992,East,male,Yes,0.48740,1102,1874,0.46477,0.51004
1992,East,male,No,0.31019,772,1874,0.28924,0.33114
1992,East,female,Yes,0.61830,1525,2069,0.59736,0.63924
1992,East,female,No,0.19676,544,2069,0.17963,0.21390
1994,West,male,Yes,0.57046,2962,4396,0.55583,0.58510
1994,West,male,No,0.23536,1434,4396,0.22282,0.24790
1994,West,female,Yes,0.68443,3743,4649,0.67107,0.69779
1994,West,female,No,0.14368,906,4649,0.13359,0.15376
1994,East,male,Yes,0.59868,1319,1788,0.57595,0.62141
1994,East,male,No,0.20679,469,1788,0.18801,0.22557
1994,East,female,Yes,0.72271,1708,1973,0.70295,0.74247
1994,East,female,No,0.10316,265,1973,0.08974,0.11659
1995,West,male,Yes,0.51235,2793,4617,0.49793,0.52677
1995,West,male,No,0.28867,1824,4617,0.27559,0.30174
1995,West,female,Yes,0.64381,3716,4899,0.63040,0.65722
1995,West,female,No,0.17847,1183,4899,0.16775,0.18920
1995,East,male,Yes,0.53957,1112,1738,0.51613,0.56301
1995,East,male,No,0.26699,626,1738,0.24618,0.28779
1995,East,female,Yes,0.67236,1528,1923,0.65138,0.69334
1995,East,female,No,0.15325,395,1923,0.13715,0.16936
1996,West,male,Yes,0.52183,2823,4481,0.50721,0.53646
1996,West,male,No,0.27545,1658,4481,0.26237,0.28854
1996,West,female,Yes,0.63680,3603,4760,0.62313,0.65046
1996,West,female,No,0.17956,1157,4760,0.16866,0.19047
1996,East,male,Yes,0.52934,1095,1740,0.50588,0.55280
1996,East,male,No,0.27952,645,1740,0.25843,0.30061
1996,East,female,Yes,0.65574,1474,1914,0.63445,0.67703
1996,East,female,No,0.17741,440,1914,0.16029,0.19453
1997,West,male,Yes,0.49481,2625,4449,0.48012,0.50951
1997,West,male,No,0.31185,1824,4449,0.29824,0.32547
1997,West,female,Yes,0.64706,3565,4705,0.63340,0.66072
1997,West,female,No,0.17997,1140,4705,0.16899,0.19094
1997,East,male,Yes,0.54648,1095,1739,0.52307,0.56988
1997,East,male,No,0.27770,644,1739,0.25665,0.29876
1997,East,female,Yes,0.68109,1467,1883,0.66003,0.70215
1997,East,female,No,0.16104,416,1883,0.14443,0.17765
1998,West,male,Yes,0.48592,2906,4981,0.47203,0.49980
1998,West,male,No,0.32137,2075,4981,0.30840,0.33434
1998,West,female,Yes,0.61711,3882,5299,0.60402,0.63020
1998,West,female,No,0.20378,1417,5299,0.19294,0.21463
1998,East,male,Yes,0.52396,1136,1862,0.50127,0.54665
1998,East,male,No,0.30401,726,1862,0.28311,0.32491
1998,East,female,Yes,0.65083,1506,1987,0.62987,0.67180
1998,East,female,No,0.18866,481,1987,0.17145,0.20587
1999,West,male,Yes,0.50677,2905,4765,0.49258,0.52097
1999,West,male,No,0.30396,1860,4765,0.29090,0.31702
1999,West,female,Yes,0.64563,3870,5072,0.63246,0.65879
1999,West,female,No,0.18094,1202,5072,0.17035,0.19154
1999,East,male,Yes,0.55391,1184,1815,0.53103,0.57678
1999,East,male,No,0.28413,631,1815,0.26337,0.30488
1999,East,female,Yes,0.67638,1544,1960,0.65567,0.69710
1999,East,female,No,0.17289,416,1960,0.15615,0.18964
2000,West,male,Yes,0.49223,5259,8749,0.48175,0.50270
2000,West,male,No,0.31686,3490,8749,0.30711,0.32661
2000,West,female,Yes,0.61813,6921,9441,0.60833,0.62793
2000,West,female,No,0.21081,2520,9441,0.20258,0.21904
2000,East,male,Yes,0.53633,1752,2786,0.51781,0.55485
2000,East,male,No,0.30175,1034,2786,0.28470,0.31880
2000,East,female,Yes,0.66888,2356,3036,0.65214,0.68563
2000,East,female,No,0.18213,680,3036,0.16840,0.19586
2001,West,male,Yes,0.49756,4781,7871,0.48651,0.50861
2001,West,male,No,0.31123,3090,7871,0.30100,0.32145
2001,West,female,Yes,0.62675,6365,8555,0.61651,0.63700
2001,West,female,No,0.20105,2190,8555,0.19256,0.20955
2001,East,male,Yes,0.54522,1657,2614,0.52612,0.56431
2001,East,male,No,0.30833,957,2614,0.29062,0.32603
2001,East,female,Yes,0.69194,2236,2797,0.67482,0.70905
2001,East,female,No,0.16096,561,2797,0.14734,0.17458
2002,West,male,Yes,0.48396,5091,8467,0.47332,0.49461
2002,West,male,No,0.32600,3376,8467,0.31601,0.33598
2002,West,female,Yes,0.61644,6655,9074,0.60643,0.62644
2002,West,female,No,0.21323,2419,9074,0.20480,0.22166
2002,East,male,Yes,0.55811,1674,2628,0.53912,0.57710
2002,East,male,No,0.30420,954,2628,0.28661,0.32180
2002,East,female,Yes,0.67307,2126,2791,0.65566,0.69048
2002,East,female,No,0.19027,665,2791,0.17571,0.20484
2003,West,male,Yes,0.51143,5038,8051,0.50051,0.52235
2003,West,male,No,0.29980,3013,8051,0.28979,0.30981
2003,West,female,Yes,0.61890,6426,8675,0.60868,0.62913
2003,West,female,No,0.20678,2249,8675,0.19826,0.21530
2003,East,male,Yes,0.56491,1697,2572,0.54575,0.58408
2003,East,male,No,0.29454,875,2572,0.27692,0.31216
2003,East,female,Yes,0.69254,2130,2750,0.67529,0.70979
2003,East,female,No,0.17707,620,2750,0.16280,0.19134
2004,West,male,Yes,0.49657,4679,7853,0.48551,0.50763
2004,West,male,No,0.32148,3174,7853,0.31115,0.33181
2004,West,female,Yes,0.61919,6202,8471,0.60884,0.62953
2004,West,female,No,0.21206,2269,8471,0.20336,0.22077
2004,East,male,Yes,0.56507,1625,2497,0.54562,0.58452
2004,East,male,No,0.30109,872,2497,0.28309,0.31909
2004,East,female,Yes,0.69151,2082,2711,0.67412,0.70890
2004,East,female,No,0.18084,629,2711,0.16635,0.19533
2005,West,male,Yes,0.51616,4624,7440,0.50480,0.52752
2005,West,male,No,0.30384,2816,7440,0.29339,0.31429
2005,West,female,Yes,0.62946,6096,8149,0.61897,0.63994
2005,West,female,No,0.20757,2053,8149,0.19876,0.21638
2005,East,male,Yes,0.55784,1552,2408,0.53800,0.57768
2005,East,male,No,0.30296,856,2408,0.28461,0.32132
2005,East,female,Yes,0.67373,1989,2599,0.65570,0.69176
2005,East,female,No,0.19304,610,2599,0.17787,0.20822
2006,West,male,Yes,0.50654,4935,7928,0.49553,0.51754
2006,West,male,No,0.31009,2993,7928,0.29991,0.32027
2006,West,female,Yes,0.62059,6425,8730,0.61041,0.63077
2006,West,female,No,0.21142,2305,8730,0.20286,0.21999
2006,East,male,Yes,0.53156,1589,2525,0.51209,0.55103
2006,East,male,No,0.32636,936,2525,0.30806,0.34465
2006,East,female,Yes,0.65991,2058,2740,0.64217,0.67766
2006,East,female,No,0.21156,682,2740,0.19627,0.22686
2007,West,male,Yes,0.51570,4671,7323,0.50425,0.52715
2007,West,male,No,0.29696,2652,7323,0.28650,0.30743
2007,West,female,Yes,0.63520,6163,8104,0.62472,0.64568
2007,West,female,No,0.19436,1941,8104,0.18575,0.20298
2007,East,male,Yes,0.55581,1568,2402,0.53594,0.57569
2007,East,male,No,0.30414,834,2402,0.28574,0.32255
2007,East,female,Yes,0.67978,1974,2586,0.66180,0.69777
2007,East,female,No,0.20038,612,2586,0.18495,0.21581
2008,West,male,Yes,0.52264,4429,6873,0.51083,0.53445
2008,West,male,No,0.29629,2444,6873,0.28549,0.30708
2008,West,female,Yes,0.63770,5799,7609,0.62690,0.64850
2008,West,female,No,0.19627,1810,7609,0.18734,0.20519
2008,East,male,Yes,0.55559,1500,2290,0.53523,0.57595
2008,East,male,No,0.30671,790,2290,0.28782,0.32560
2008,East,female,Yes,0.67436,1860,2455,0.65582,0.69290
2008,East,female,No,0.20151,595,2455,0.18564,0.21738
2009,West,male,Yes,0.53471,4254,6375,0.52246,0.54695
2009,West,male,No,0.29062,2121,6375,0.27947,0.30177
2009,West,female,Yes,0.64906,5460,7038,0.63791,0.66021
2009,West,female,No,0.19188,1578,7038,0.18268,0.20108
2009,East,male,Yes,0.56380,1466,2179,0.54297,0.58462
2009,East,male,No,0.29360,713,2179,0.27447,0.31272
2009,East,female,Yes,0.69001,1831,2343,0.67128,0.70874
2009,East,female,No,0.18339,512,2343,0.16772,0.19906
2010,West,male,Yes,0.52743,5209,8349,0.51672,0.53814
2010,West,male,No,0.29601,3140,8349,0.28621,0.30580
2010,West,female,Yes,0.63468,7360,10038,0.62526,0.64410
2010,West,female,No,0.20198,2678,10038,0.19413,0.20984
2010,East,male,Yes,0.59763,1624,2494,0.57838,0.61688
2010,East,male,No,0.27225,870,2494,0.25478,0.28973
2010,East,female,Yes,0.68950,2209,2937,0.67276,0.70624
2010,East,female,No,0.18052,728,2937,0.16661,0.19444
2011,West,male,Yes,0.54048,6472,9951,0.53069,0.55027
2011,West,male,No,0.28041,3479,9951,0.27159,0.28924
2011,West,female,Yes,0.64110,8994,12061,0.63254,0.64966
2011,West,female,No,0.19490,3067,12061,0.18783,0.20197
2011,East,male,Yes,0.58626,1911,2872,0.56825,0.60428
2011,East,male,No,0.26859,961,2872,0.25237,0.28480
2011,East,female,Yes,0.70158,2613,3428,0.68626,0.71690
2011,East,female,No,0.17142,815,3428,0.15880,0.18403
2012,West,male,Yes,0.53803,6307,9705,0.52811,0.54795
2012,West,male,No,0.28585,3398,9705,0.27686,0.29484
2012,West,female,Yes,0.64257,8790,11686,0.63388,0.65126
2012,West,female,No,0.19489,2896,11686,0.18771,0.20207
2012,East,male,Yes,0.57228,1836,2798,0.55395,0.59062
2012,East,male,No,0.28184,962,2798,0.26517,0.29852
2012,East,female,Yes,0.68292,2563,3342,0.66714,0.69870
2012,East,female,No,0.18111,779,3342,0.16806,0.19417
2013,West,male,Yes,0.51930,6135,8997,0.50897,0.52962
2013,West,male,No,0.22180,2862,8997,0.21322,0.23039
2013,West,female,Yes,0.60667,8325,10925,0.59751,0.61583
2013,West,female,No,0.16005,2600,10925,0.15317,0.16692
2013,East,male,Yes,0.57715,1804,2612,0.55820,0.59610
2013,East,male,No,0.26106,808,2612,0.24422,0.27791
2013,East,female,Yes,0.66597,2387,3111,0.64939,0.68255
2013,East,female,No,0.17941,724,3111,0.16592,0.19289
2014,West,male,Yes,0.54593,6353,9861,0.53610,0.55576
2014,West,male,No,0.28519,3508,9861,0.27627,0.29410
2014,West,female,Yes,0.64243,8577,11561,0.63369,0.65117
2014,West,female,No,0.20026,2984,11561,0.19297,0.20756
2014,East,male,Yes,0.58329,1725,2531,0.56408,0.60250
2014,East,male,No,0.27070,806,2531,0.25339,0.28802
2014,East,female,Yes,0.68344,2300,3027,0.66686,0.70001
2014,East,female,No,0.17298,727,3027,0.15951,0.18646
2015,West,male,Yes,0.54215,5843,9038,0.53188,0.55242
2015,West,male,No,0.26645,3195,9038,0.25733,0.27556
2015,West,female,Yes,0.63499,7977,10691,0.62587,0.64412
2015,West,female,No,0.19050,2714,10691,0.18306,0.19795
2015,East,male,Yes,0.55884,1609,2388,0.53892,0.57876
2015,East,male,No,0.28112,779,2388,0.26309,0.29916
2015,East,female,Yes,0.66041,2177,2843,0.64299,0.67782
2015,East,female,No,0.17921,666,2843,0.16511,0.19331
2016,West,male,Yes,0.53933,5584,8743,0.52889,0.54978
2016,West,male,No,0.27897,3159,8743,0.26957,0.28838
2016,West,female,Yes,0.63278,7547,10317,0.62348,0.64209
2016,West,female,No,0.20266,2770,10317,0.19490,0.21042
2016,East,male,Yes,0.54642,1512,2268,0.52593,0.56691
2016,East,male,No,0.28686,756,2268,0.26824,0.30548
2016,East,female,Yes,0.65840,2088,2727,0.64060,0.67621
2016,East,female,No,0.18335,639,2727,0.16882,0.19787
2017,West,male,Yes,0.56004,6472,9605,0.55012,0.56997
2017,West,male,No,0.25516,3133,9605,0.24645,0.26388
2017,West,female,Yes,0.63917,8352,11166,0.63026,0.64808
2017,West,female,No,0.19505,2814,11166,0.18770,0.20240
2017,East,male,Yes,0.59348,1787,2567,0.57447,0.61248
2017,East,male,No,0.24083,780,2567,0.22429,0.25738
2017,East,female,Yes,0.67348,2312,3006,0.65671,0.69024
2017,East,female,No,0.16863,694,3006,0.15524,0.18201
2018,West,male,Yes,0.55784,6165,9221,0.54770,0.56797
2018,West,male,No,0.26468,3056,9221,0.25568,0.27369
2018,West,female,Yes,0.64053,8102,10811,0.63148,0.64957
2018,West,female,No,0.19779,2709,10811,0.19028,0.20530
2018,East,male,Yes,0.56139,1746,2520,0.54201,0.58077
2018,East,male,No,0.26428,774,2520,0.24706,0.28150
2018,East,female,Yes,0.67014,2278,2952,0.65318,0.68711
2018,East,female,No,0.17402,674,2952,0.16034,0.18770
2019,West,male,Yes,0.56064,6483,9573,0.55069,0.57058
2019,West,male,No,0.25602,3090,9573,0.24727,0.26476
2019,West,female,Yes,0.65018,7911,10475,0.64105,0.65932
2019,West,female,No,0.18479,2564,10475,0.17735,0.19222
2019,East,male,Yes,0.58335,1829,2633,0.56451,0.60218
2019,East,male,No,0.24907,804,2633,0.23254,0.26559
2019,East,female,Yes,0.65267,2182,2895,0.63533,0.67002
2019,East,female,No,0.19062,713,2895,0.17631,0.20493
2020,West,male,Yes,0.51093,6598,11158,0.50166,0.52021
2020,West,male,No,0.30801,4560,11158,0.29944,0.31658
2020,West,female,Yes,0.60877,7957,11447,0.59983,0.61771
2020,West,female,No,0.22536,3490,11447,0.21771,0.23302
2020,East,male,Yes,0.53920,1714,2749,0.52056,0.55783
2020,East,male,No,0.29626,1035,2749,0.27918,0.31333
2020,East,female,Yes,0.62673,2082,2934,0.60923,0.64424
2020,East,female,No,0.21322,852,2934,0.19840,0.22805
2021,West,male,Yes,0.55848,4398,6386,0.54630,0.57066
2021,West,male,No,0.25286,1988,6386,0.24219,0.26352
2021,West,female,Yes,0.62633,5301,7137,0.61510,0.63755
2021,West,female,No,0.20339,1836,7137,0.19405,0.21273
2021,East,male,Yes,0.56954,1185,1681,0.54587,0.59322
2021,East,male,No,0.25402,496,1681,0.23321,0.27484
2021,East,female,Yes,0.62118,1461,1934,0.59955,0.64281
2021,East,female,No,0.21458,473,1934,0.19628,0.23289
2022,West,male,Yes,0.46430,6298,10016,0.45453,0.47406
2022,West,male,No,0.25671,3718,10016,0.24816,0.26527
2022,West,female,Yes,0.52814,7404,10237,0.51847,0.53781
2022,West,female,No,0.19017,2833,10237,0.18257,0.19778
2022,East,male,Yes,0.45109,1585,2520,0.43165,0.47052
2022,East,male,No,0.26176,935,2520,0.24459,0.27893
2022,East,female,Yes,0.52709,1978,2728,0.50835,0.54583
2022,East,female,No,0.19106,750,2728,0.17631,0.20582
