year,pgisced97,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Primary Level,2nd Quintile,No,0.28494,70,183,0.21936,0.35052
1985,Primary Level,3rd Quintile,Yes,0.57741,101,154,0.49913,0.65568
1985,Primary Level,3rd Quintile,No,0.42259,53,154,0.34432,0.50087
1985,Primary Level,4th Quintile,Yes,0.57762,87,123,0.48997,0.66527
1985,Primary Level,4th Quintile,No,0.42238,36,123,0.33473,0.51003
1985,Primary Level,5th Quintile,Yes,0.63595,40,40,0.48494,0.78697
1985,Lower Secondary Level,1st Quintile,Yes,0.76273,581,849,0.73410,0.79136
1985,Lower Secondary Level,1st Quintile,No,0.23727,268,849,0.20864,0.26590
1985,Lower Secondary Level,2nd Quintile,Yes,0.75945,521,717,0.72814,0.79076
1985,Lower Secondary Level,2nd Quintile,No,0.24055,196,717,0.20924,0.27186
1985,Lower Secondary Level,3rd Quintile,Yes,0.73667,460,665,0.70317,0.77017
1985,Lower Secondary Level,3rd Quintile,No,0.26333,205,665,0.22983,0.29683
1985,Lower Secondary Level,4th Quintile,Yes,0.69475,336,490,0.65393,0.73557
1985,Lower Secondary Level,4th Quintile,No,0.30525,154,490,0.26443,0.34607
1985,Lower Secondary Level,5th Quintile,Yes,0.75924,249,340,0.71373,0.80475
1985,Lower Secondary Level,5th Quintile,No,0.24076,91,340,0.19525,0.28627
1985,Upper Secondary Level,1st Quintile,Yes,0.71097,564,851,0.68050,0.74145
1985,Upper Secondary Level,1st Quintile,No,0.28903,287,851,0.25855,0.31950
1985,Upper Secondary Level,2nd Quintile,Yes,0.73265,707,1019,0.70547,0.75984
1985,Upper Secondary Level,2nd Quintile,No,0.26735,312,1019,0.24016,0.29453
1985,Upper Secondary Level,3rd Quintile,Yes,0.71925,750,1061,0.69220,0.74630
1985,Upper Secondary Level,3rd Quintile,No,0.28075,311,1061,0.25370,0.30780
1985,Upper Secondary Level,4th Quintile,Yes,0.72934,824,1160,0.70376,0.75492
1985,Upper Secondary Level,4th Quintile,No,0.27066,336,1160,0.24508,0.29624
1985,Upper Secondary Level,5th Quintile,Yes,0.69136,740,1084,0.66385,0.71887
1985,Upper Secondary Level,5th Quintile,No,0.30864,344,1084,0.28113,0.33615
1985,Post-secondary Non-tertiary Level,1st Quintile,Yes,0.77834,38,38,0.64450,0.91218
1985,Post-secondary Non-tertiary Level,2nd Quintile,Yes,0.72557,36,36,0.57773,0.87340
1985,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.78635,38,38,0.65428,0.91842
1985,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.65227,34,34,0.48978,0.81476
1985,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.72597,46,46,0.59566,0.85629
1985,First Stage of Tertiary Education,1st Quintile,Yes,0.76459,48,48,0.64330,0.88588
1985,First Stage of Tertiary Education,2nd Quintile,Yes,0.73837,54,54,0.62004,0.85670
1985,First Stage of Tertiary Education,3rd Quintile,Yes,0.79465,87,87,0.70927,0.88003
1985,First Stage of Tertiary Education,4th Quintile,Yes,0.70233,108,154,0.62988,0.77479
1985,First Stage of Tertiary Education,4th Quintile,No,0.29767,46,154,0.22521,0.37012
1985,First Stage of Tertiary Education,5th Quintile,Yes,0.68732,146,215,0.62521,0.74943
1985,First Stage of Tertiary Education,5th Quintile,No,0.31268,69,215,0.25057,0.37479
1985,Second Stage of Tertiary Education,1st Quintile,Yes,0.73062,36,36,0.58364,0.87760
1985,Second Stage of Tertiary Education,2nd Quintile,Yes,0.65170,38,38,0.49818,0.80521
1985,Second Stage of Tertiary Education,3rd Quintile,Yes,0.72483,70,70,0.61945,0.83021
1985,Second Stage of Tertiary Education,4th Quintile,Yes,0.63064,112,177,0.55933,0.70194
1985,Second Stage of Tertiary Education,4th Quintile,No,0.36936,65,177,0.29806,0.44067
1985,Second Stage of Tertiary Education,5th Quintile,Yes,0.65256,233,368,0.60385,0.70128
1985,Second Stage of Tertiary Education,5th Quintile,No,0.34744,135,368,0.29872,0.39615
1986,Pre-primary Level,3rd Quintile,Yes,0.67653,34,34,0.51692,0.83614
1986,Primary Level,1st Quintile,Yes,0.72707,174,264,0.67323,0.78091
1986,Primary Level,1st Quintile,No,0.27293,90,264,0.21909,0.32677
1986,Primary Level,2nd Quintile,Yes,0.67136,131,195,0.60526,0.73746
1986,Primary Level,2nd Quintile,No,0.32864,64,195,0.26254,0.39474
1986,Primary Level,3rd Quintile,Yes,0.67719,97,144,0.60056,0.75382
1986,Primary Level,3rd Quintile,No,0.32281,47,144,0.24618,0.39944
1986,Primary Level,4th Quintile,Yes,0.70134,85,126,0.62111,0.78157
1986,Primary Level,4th Quintile,No,0.29866,41,126,0.21843,0.37889
1986,Lower Secondary Level,1st Quintile,Yes,0.76925,537,766,0.73939,0.79910
1986,Lower Secondary Level,1st Quintile,No,0.23075,229,766,0.20090,0.26061
1986,Lower Secondary Level,2nd Quintile,Yes,0.76040,504,702,0.72881,0.79200
1986,Lower Secondary Level,2nd Quintile,No,0.23960,198,702,0.20800,0.27119
1986,Lower Secondary Level,3rd Quintile,Yes,0.76602,440,607,0.73231,0.79973
1986,Lower Secondary Level,3rd Quintile,No,0.23398,167,607,0.20027,0.26769
1986,Lower Secondary Level,4th Quintile,Yes,0.75497,370,507,0.71749,0.79245
1986,Lower Secondary Level,4th Quintile,No,0.24503,137,507,0.20755,0.28251
1986,Lower Secondary Level,5th Quintile,Yes,0.77663,240,323,0.73114,0.82213
1986,Lower Secondary Level,5th Quintile,No,0.22337,83,323,0.17787,0.26886
1986,Upper Secondary Level,1st Quintile,Yes,0.73905,550,795,0.70851,0.76960
1986,Upper Secondary Level,1st Quintile,No,0.26095,245,795,0.23040,0.29149
1986,Upper Secondary Level,2nd Quintile,Yes,0.71840,665,957,0.68989,0.74691
1986,Upper Secondary Level,2nd Quintile,No,0.28160,292,957,0.25309,0.31011
1986,Upper Secondary Level,3rd Quintile,Yes,0.73249,723,1006,0.70512,0.75986
1986,Upper Secondary Level,3rd Quintile,No,0.26751,283,1006,0.24014,0.29488
1986,Upper Secondary Level,4th Quintile,Yes,0.71920,833,1179,0.69354,0.74487
1986,Upper Secondary Level,4th Quintile,No,0.28080,346,1179,0.25513,0.30646
1986,Upper Secondary Level,5th Quintile,Yes,0.73247,749,1055,0.70574,0.75919
1986,Upper Secondary Level,5th Quintile,No,0.26753,306,1055,0.24081,0.29426
1986,Post-secondary Non-tertiary Level,1st Quintile,Yes,0.80504,46,46,0.68928,0.92079
1986,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.70640,44,44,0.57028,0.84252
1986,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.77731,51,51,0.66198,0.89263
1986,First Stage of Tertiary Education,1st Quintile,Yes,0.88205,51,51,0.79264,0.97145
1986,First Stage of Tertiary Education,2nd Quintile,Yes,0.76162,58,58,0.65100,0.87224
1986,First Stage of Tertiary Education,3rd Quintile,Yes,0.74861,87,87,0.65692,0.84030
1986,First Stage of Tertiary Education,4th Quintile,Yes,0.79891,114,147,0.73389,0.86392
1986,First Stage of Tertiary Education,4th Quintile,No,0.20109,33,147,0.13608,0.26611
1986,First Stage of Tertiary Education,5th Quintile,Yes,0.72823,128,183,0.66360,0.79286
1986,First Stage of Tertiary Education,5th Quintile,No,0.27177,55,183,0.20714,0.33640
1986,Second Stage of Tertiary Education,1st Quintile,Yes,0.80772,39,39,0.68242,0.93302
1986,Second Stage of Tertiary Education,3rd Quintile,Yes,0.66967,62,95,0.57459,0.76475
1986,Second Stage of Tertiary Education,3rd Quintile,No,0.33033,33,95,0.23525,0.42541
1986,Second Stage of Tertiary Education,4th Quintile,Yes,0.71489,116,168,0.64642,0.78336
1986,Second Stage of Tertiary Education,4th Quintile,No,0.28511,52,168,0.21664,0.35358
1986,Second Stage of Tertiary Education,5th Quintile,Yes,0.67807,252,377,0.63084,0.72529
1986,Second Stage of Tertiary Education,5th Quintile,No,0.32193,125,377,0.27471,0.36916
1987,Primary Level,1st Quintile,Yes,0.74820,159,240,0.69317,0.80323
1987,Primary Level,1st Quintile,No,0.25180,81,240,0.19677,0.30683
1987,Primary Level,2nd Quintile,Yes,0.71806,132,191,0.65408,0.78204
1987,Primary Level,2nd Quintile,No,0.28194,59,191,0.21796,0.34592
1987,Primary Level,3rd Quintile,Yes,0.63504,93,152,0.55825,0.71182
1987,Primary Level,3rd Quintile,No,0.36496,59,152,0.28818,0.44175
1987,Primary Level,4th Quintile,Yes,0.62973,81,119,0.54260,0.71685
1987,Primary Level,4th Quintile,No,0.37027,38,119,0.28315,0.45740
1987,Primary Level,5th Quintile,Yes,0.75535,37,37,0.61492,0.89577
1987,Lower Secondary Level,1st Quintile,Yes,0.76226,520,778,0.73233,0.79219
1987,Lower Secondary Level,1st Quintile,No,0.23774,258,778,0.20781,0.26767
1987,Lower Secondary Level,2nd Quintile,Yes,0.76547,472,669,0.73334,0.79760
1987,Lower Secondary Level,2nd Quintile,No,0.23453,197,669,0.20240,0.26666
1987,Lower Secondary Level,3rd Quintile,Yes,0.76844,415,568,0.73372,0.80316
1987,Lower Secondary Level,3rd Quintile,No,0.23156,153,568,0.19684,0.26628
1987,Lower Secondary Level,4th Quintile,Yes,0.74995,347,480,0.71117,0.78873
1987,Lower Secondary Level,4th Quintile,No,0.25005,133,480,0.21127,0.28883
1987,Lower Secondary Level,5th Quintile,Yes,0.73380,235,340,0.68675,0.78085
1987,Lower Secondary Level,5th Quintile,No,0.26620,105,340,0.21915,0.31325
1987,Upper Secondary Level,1st Quintile,Yes,0.73360,543,788,0.70271,0.76448
1987,Upper Secondary Level,1st Quintile,No,0.26640,245,788,0.23552,0.29729
1987,Upper Secondary Level,2nd Quintile,Yes,0.72141,668,956,0.69298,0.74985
1987,Upper Secondary Level,2nd Quintile,No,0.27859,288,956,0.25015,0.30702
1987,Upper Secondary Level,3rd Quintile,Yes,0.71918,743,1067,0.69221,0.74616
1987,Upper Secondary Level,3rd Quintile,No,0.28082,324,1067,0.25384,0.30779
1987,Upper Secondary Level,4th Quintile,Yes,0.71605,788,1127,0.68971,0.74239
1987,Upper Secondary Level,4th Quintile,No,0.28395,339,1127,0.25761,0.31029
1987,Upper Secondary Level,5th Quintile,Yes,0.73580,743,1030,0.70886,0.76274
1987,Upper Secondary Level,5th Quintile,No,0.26420,287,1030,0.23726,0.29114
1987,Post-secondary Non-tertiary Level,1st Quintile,Yes,0.70534,37,37,0.55641,0.85426
1987,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.75834,38,38,0.62039,0.89628
1987,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.72179,34,34,0.56889,0.87468
1987,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.73973,50,50,0.61688,0.86259
1987,First Stage of Tertiary Education,1st Quintile,Yes,0.72529,35,35,0.57525,0.87533
1987,First Stage of Tertiary Education,2nd Quintile,Yes,0.83492,72,72,0.74856,0.92128
1987,First Stage of Tertiary Education,3rd Quintile,Yes,0.74741,89,89,0.65662,0.83819
1987,First Stage of Tertiary Education,4th Quintile,Yes,0.83070,117,117,0.76246,0.89895
1987,First Stage of Tertiary Education,5th Quintile,Yes,0.69780,122,174,0.62937,0.76623
1987,First Stage of Tertiary Education,5th Quintile,No,0.30220,52,174,0.23377,0.37063
1987,Second Stage of Tertiary Education,1st Quintile,Yes,0.70147,37,37,0.55198,0.85095
1987,Second Stage of Tertiary Education,3rd Quintile,Yes,0.68644,49,80,0.58413,0.78875
1987,Second Stage of Tertiary Education,3rd Quintile,No,0.31356,31,80,0.21125,0.41587
1987,Second Stage of Tertiary Education,4th Quintile,Yes,0.71059,124,183,0.64470,0.77647
1987,Second Stage of Tertiary Education,4th Quintile,No,0.28941,59,183,0.22353,0.35530
1987,Second Stage of Tertiary Education,5th Quintile,Yes,0.66810,249,380,0.62069,0.71551
1987,Second Stage of Tertiary Education,5th Quintile,No,0.33190,131,380,0.28449,0.37931
1988,No answer / don't know,1st Quintile,Yes,0.85862,38,38,0.74635,0.97088
1988,Primary Level,1st Quintile,Yes,0.63758,152,239,0.57651,0.69865
1988,Primary Level,1st Quintile,No,0.36242,87,239,0.30135,0.42349
1988,Primary Level,2nd Quintile,Yes,0.70987,109,162,0.63976,0.77997
1988,Primary Level,2nd Quintile,No,0.29013,53,162,0.22003,0.36024
1988,Primary Level,3rd Quintile,Yes,0.78480,97,137,0.71573,0.85387
1988,Primary Level,3rd Quintile,No,0.21520,40,137,0.14613,0.28427
1988,Primary Level,4th Quintile,Yes,0.62301,77,111,0.53244,0.71357
1988,Primary Level,4th Quintile,No,0.37699,34,111,0.28643,0.46756
1988,Lower Secondary Level,1st Quintile,Yes,0.73454,503,755,0.70302,0.76606
1988,Lower Secondary Level,1st Quintile,No,0.26546,252,755,0.23394,0.29698
1988,Lower Secondary Level,2nd Quintile,Yes,0.72610,429,642,0.69158,0.76063
1988,Lower Secondary Level,2nd Quintile,No,0.27390,213,642,0.23937,0.30842
1988,Lower Secondary Level,3rd Quintile,Yes,0.66610,362,563,0.62711,0.70509
1988,Lower Secondary Level,3rd Quintile,No,0.33390,201,563,0.29491,0.37289
1988,Lower Secondary Level,4th Quintile,Yes,0.67650,304,463,0.63384,0.71916
1988,Lower Secondary Level,4th Quintile,No,0.32350,159,463,0.28084,0.36616
1988,Lower Secondary Level,5th Quintile,Yes,0.71125,196,285,0.65854,0.76396
1988,Lower Secondary Level,5th Quintile,No,0.28875,89,285,0.23604,0.34146
1988,Upper Secondary Level,1st Quintile,Yes,0.72513,485,729,0.69270,0.75756
1988,Upper Secondary Level,1st Quintile,No,0.27487,244,729,0.24244,0.30730
1988,Upper Secondary Level,2nd Quintile,Yes,0.70235,623,933,0.67299,0.73170
1988,Upper Secondary Level,2nd Quintile,No,0.29765,310,933,0.26830,0.32701
1988,Upper Secondary Level,3rd Quintile,Yes,0.70696,680,994,0.67865,0.73527
1988,Upper Secondary Level,3rd Quintile,No,0.29304,314,994,0.26473,0.32135
1988,Upper Secondary Level,4th Quintile,Yes,0.66743,729,1103,0.63961,0.69525
1988,Upper Secondary Level,4th Quintile,No,0.33257,374,1103,0.30475,0.36039
1988,Upper Secondary Level,5th Quintile,Yes,0.66538,628,968,0.63564,0.69512
1988,Upper Secondary Level,5th Quintile,No,0.33462,340,968,0.30488,0.36436
1988,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.72918,38,38,0.58599,0.87237
1988,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.73259,52,52,0.61112,0.85407
1988,First Stage of Tertiary Education,1st Quintile,Yes,0.67300,35,35,0.51532,0.83069
1988,First Stage of Tertiary Education,2nd Quintile,Yes,0.65663,53,88,0.55685,0.75641
1988,First Stage of Tertiary Education,2nd Quintile,No,0.34337,35,88,0.24359,0.44315
1988,First Stage of Tertiary Education,3rd Quintile,Yes,0.69535,67,98,0.60375,0.78694
1988,First Stage of Tertiary Education,3rd Quintile,No,0.30465,31,98,0.21306,0.39625
1988,First Stage of Tertiary Education,4th Quintile,Yes,0.71425,95,133,0.63718,0.79132
1988,First Stage of Tertiary Education,4th Quintile,No,0.28575,38,133,0.20868,0.36282
1988,First Stage of Tertiary Education,5th Quintile,Yes,0.63034,101,163,0.55601,0.70468
1988,First Stage of Tertiary Education,5th Quintile,No,0.36966,62,163,0.29532,0.44399
1988,Second Stage of Tertiary Education,3rd Quintile,Yes,0.64935,57,92,0.55131,0.74739
1988,Second Stage of Tertiary Education,3rd Quintile,No,0.35065,35,92,0.25261,0.44869
1988,Second Stage of Tertiary Education,4th Quintile,Yes,0.62943,94,151,0.55214,0.70672
1988,Second Stage of Tertiary Education,4th Quintile,No,0.37057,57,151,0.29328,0.44786
1988,Second Stage of Tertiary Education,5th Quintile,Yes,0.60696,215,360,0.55644,0.65749
1988,Second Stage of Tertiary Education,5th Quintile,No,0.39304,145,360,0.34251,0.44356
1989,No answer / don't know,1st Quintile,Yes,0.77987,35,35,0.64060,0.91915
1989,Primary Level,1st Quintile,Yes,0.72743,149,227,0.66937,0.78548
1989,Primary Level,1st Quintile,No,0.27257,78,227,0.21452,0.33063
1989,Primary Level,2nd Quintile,Yes,0.76137,111,167,0.69653,0.82621
1989,Primary Level,2nd Quintile,No,0.23863,56,167,0.17379,0.30347
1989,Primary Level,3rd Quintile,Yes,0.73816,88,122,0.65983,0.81650
1989,Primary Level,3rd Quintile,No,0.26184,34,122,0.18350,0.34017
1989,Primary Level,4th Quintile,Yes,0.65323,64,64,0.53570,0.77076
1989,Lower Secondary Level,1st Quintile,Yes,0.75190,494,735,0.72065,0.78314
1989,Lower Secondary Level,1st Quintile,No,0.24810,241,735,0.21686,0.27935
1989,Lower Secondary Level,2nd Quintile,Yes,0.70505,428,638,0.66964,0.74047
1989,Lower Secondary Level,2nd Quintile,No,0.29495,210,638,0.25953,0.33036
1989,Lower Secondary Level,3rd Quintile,Yes,0.74019,329,484,0.70108,0.77930
1989,Lower Secondary Level,3rd Quintile,No,0.25981,155,484,0.22070,0.29892
1989,Lower Secondary Level,4th Quintile,Yes,0.73880,309,436,0.69752,0.78009
1989,Lower Secondary Level,4th Quintile,No,0.26120,127,436,0.21991,0.30248
1989,Lower Secondary Level,5th Quintile,Yes,0.75163,199,270,0.70000,0.80327
1989,Lower Secondary Level,5th Quintile,No,0.24837,71,270,0.19673,0.30000
1989,Upper Secondary Level,1st Quintile,Yes,0.71808,465,710,0.68497,0.75120
1989,Upper Secondary Level,1st Quintile,No,0.28192,245,710,0.24880,0.31503
1989,Upper Secondary Level,2nd Quintile,Yes,0.66973,590,911,0.63918,0.70029
1989,Upper Secondary Level,2nd Quintile,No,0.33027,321,911,0.29971,0.36082
1989,Upper Secondary Level,3rd Quintile,Yes,0.70232,669,978,0.67365,0.73100
1989,Upper Secondary Level,3rd Quintile,No,0.29768,309,978,0.26900,0.32635
1989,Upper Secondary Level,4th Quintile,Yes,0.67373,727,1101,0.64602,0.70144
1989,Upper Secondary Level,4th Quintile,No,0.32627,374,1101,0.29856,0.35398
1989,Upper Secondary Level,5th Quintile,Yes,0.68462,609,907,0.65436,0.71488
1989,Upper Secondary Level,5th Quintile,No,0.31538,298,907,0.28512,0.34564
1989,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.80295,33,33,0.66514,0.94077
1989,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.69492,49,49,0.56466,0.82518
1989,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.60295,47,79,0.49436,0.71153
1989,Post-secondary Non-tertiary Level,5th Quintile,No,0.39705,32,79,0.28847,0.50564
1989,First Stage of Tertiary Education,1st Quintile,Yes,0.71266,40,40,0.57064,0.85469
1989,First Stage of Tertiary Education,2nd Quintile,Yes,0.72572,50,50,0.60080,0.85064
1989,First Stage of Tertiary Education,3rd Quintile,Yes,0.70666,76,107,0.61999,0.79334
1989,First Stage of Tertiary Education,3rd Quintile,No,0.29334,31,107,0.20666,0.38001
1989,First Stage of Tertiary Education,4th Quintile,Yes,0.74894,83,117,0.67003,0.82786
1989,First Stage of Tertiary Education,4th Quintile,No,0.25106,34,117,0.17214,0.32997
1989,First Stage of Tertiary Education,5th Quintile,Yes,0.69721,110,161,0.62601,0.76840
1989,First Stage of Tertiary Education,5th Quintile,No,0.30279,51,161,0.23160,0.37399
1989,Second Stage of Tertiary Education,1st Quintile,Yes,0.72929,34,34,0.57769,0.88089
1989,Second Stage of Tertiary Education,2nd Quintile,Yes,0.60816,32,32,0.43632,0.78001
1989,Second Stage of Tertiary Education,3rd Quintile,Yes,0.60551,58,96,0.50723,0.70379
1989,Second Stage of Tertiary Education,3rd Quintile,No,0.39449,38,96,0.29621,0.49277
1989,Second Stage of Tertiary Education,4th Quintile,Yes,0.74627,96,139,0.67367,0.81887
1989,Second Stage of Tertiary Education,4th Quintile,No,0.25373,43,139,0.18113,0.32633
1989,Second Stage of Tertiary Education,5th Quintile,Yes,0.65017,234,362,0.60097,0.69936
1989,Second Stage of Tertiary Education,5th Quintile,No,0.34983,128,362,0.30064,0.39903
1991,No answer / don't know,1st Quintile,Yes,0.75649,33,33,0.60778,0.90520
1991,Primary Level,1st Quintile,Yes,0.67130,155,224,0.60965,0.73295
1991,Primary Level,1st Quintile,No,0.32870,69,224,0.26705,0.39035
1991,Primary Level,2nd Quintile,Yes,0.67062,108,164,0.59847,0.74277
1991,Primary Level,2nd Quintile,No,0.32938,56,164,0.25723,0.40153
1991,Primary Level,3rd Quintile,Yes,0.62904,68,112,0.53918,0.71891
1991,Primary Level,3rd Quintile,No,0.37096,44,112,0.28109,0.46082
1991,Primary Level,4th Quintile,Yes,0.86033,61,61,0.77261,0.94804
1991,Lower Secondary Level,1st Quintile,Yes,0.76107,481,705,0.72957,0.79257
1991,Lower Secondary Level,1st Quintile,No,0.23893,224,705,0.20743,0.27043
1991,Lower Secondary Level,2nd Quintile,Yes,0.76693,400,561,0.73191,0.80194
1991,Lower Secondary Level,2nd Quintile,No,0.23307,161,561,0.19806,0.26809
1991,Lower Secondary Level,3rd Quintile,Yes,0.76273,337,467,0.72411,0.80136
1991,Lower Secondary Level,3rd Quintile,No,0.23727,130,467,0.19864,0.27589
1991,Lower Secondary Level,4th Quintile,Yes,0.73775,306,430,0.69613,0.77938
1991,Lower Secondary Level,4th Quintile,No,0.26225,124,430,0.22062,0.30387
1991,Lower Secondary Level,5th Quintile,Yes,0.77036,168,223,0.71503,0.82569
1991,Lower Secondary Level,5th Quintile,No,0.22964,55,223,0.17431,0.28497
1991,Upper Secondary Level,1st Quintile,Yes,0.75693,478,667,0.72435,0.78951
1991,Upper Secondary Level,1st Quintile,No,0.24307,189,667,0.21049,0.27565
1991,Upper Secondary Level,2nd Quintile,Yes,0.71463,602,894,0.68501,0.74425
1991,Upper Secondary Level,2nd Quintile,No,0.28537,292,894,0.25575,0.31499
1991,Upper Secondary Level,3rd Quintile,Yes,0.73048,707,1000,0.70296,0.75799
1991,Upper Secondary Level,3rd Quintile,No,0.26952,293,1000,0.24201,0.29704
1991,Upper Secondary Level,4th Quintile,Yes,0.72374,728,1024,0.69634,0.75114
1991,Upper Secondary Level,4th Quintile,No,0.27626,296,1024,0.24886,0.30366
1991,Upper Secondary Level,5th Quintile,Yes,0.69264,627,922,0.66284,0.72244
1991,Upper Secondary Level,5th Quintile,No,0.30736,295,922,0.27756,0.33716
1991,Post-secondary Non-tertiary Level,1st Quintile,Yes,0.63735,32,32,0.46811,0.80659
1991,Post-secondary Non-tertiary Level,2nd Quintile,Yes,0.73436,34,34,0.58367,0.88506
1991,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.79963,44,44,0.67999,0.91927
1991,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.67425,41,41,0.52901,0.81949
1991,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.78131,66,66,0.68082,0.88180
1991,First Stage of Tertiary Education,1st Quintile,Yes,0.82302,41,41,0.70475,0.94130
