year,bula_h,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Baden-Wuerttemberg,West,Yes,0.58384,1610,2949,0.56605,0.60164
2015,Baden-Wuerttemberg,West,No,0.41616,1339,2949,0.39836,0.43395
2015,Bavaria,West,Yes,0.62276,2259,3993,0.60773,0.63780
2015,Bavaria,West,No,0.37724,1734,3993,0.36220,0.39227
2015,Berlin,West,Yes,0.62509,316,512,0.58312,0.66707
2015,Berlin,West,No,0.37491,196,512,0.33293,0.41688
2015,Berlin,East,Yes,0.73264,251,388,0.68854,0.77673
2015,Berlin,East,No,0.26736,137,388,0.22327,0.31146
2015,Brandenburg,East,Yes,0.64510,629,979,0.61511,0.67508
2015,Brandenburg,East,No,0.35490,350,979,0.32492,0.38489
2015,Mecklenburg-Western Pomerania,East,Yes,0.64156,345,553,0.60156,0.68157
2015,Mecklenburg-Western Pomerania,East,No,0.35844,208,553,0.31843,0.39844
2015,Saxony,East,Yes,0.63872,944,1481,0.61425,0.66320
2015,Saxony,East,No,0.36128,537,1481,0.33680,0.38575
2015,Saxony-Anhalt,East,Yes,0.71699,595,880,0.68721,0.74677
2015,Saxony-Anhalt,East,No,0.28301,285,880,0.25323,0.31279
2015,Thuringa,East,Yes,0.63273,574,914,0.60146,0.66400
2015,Thuringa,East,No,0.36727,340,914,0.33600,0.39854
2017,Schleswig-Holstein,West,Yes,0.65244,566,944,0.62205,0.68284
2017,Schleswig-Holstein,West,No,0.34756,378,944,0.31716,0.37795
2017,Hamburg,West,Yes,0.62785,275,463,0.58377,0.67193
2017,Hamburg,West,No,0.37215,188,463,0.32807,0.41623
2017,Lower Saxony,West,Yes,0.65535,1593,2662,0.63729,0.67341
2017,Lower Saxony,West,No,0.34465,1069,2662,0.32659,0.36271
2017,Bremen,West,Yes,0.71233,133,219,0.65223,0.77242
2017,Bremen,West,No,0.28767,86,219,0.22758,0.34777
2017,North Rhine-Westphalia,West,Yes,0.63040,3282,5489,0.61763,0.64317
2017,North Rhine-Westphalia,West,No,0.36960,2207,5489,0.35683,0.38237
2017,Hesse,West,Yes,0.62749,1067,1775,0.60499,0.64999
2017,Hesse,West,No,0.37251,708,1775,0.35001,0.39501
2017,"Rhineland-Palatinate, Saarland",West,Yes,0.65123,869,1511,0.62719,0.67527
2017,"Rhineland-Palatinate, Saarland",West,No,0.34877,642,1511,0.32473,0.37281
2017,Baden-Wuerttemberg,West,Yes,0.58482,1665,3005,0.56720,0.60245
2017,Baden-Wuerttemberg,West,No,0.41518,1340,3005,0.39755,0.43280
2017,Bavaria,West,Yes,0.63123,2457,4190,0.61662,0.64584
2017,Bavaria,West,No,0.36877,1733,4190,0.35416,0.38338
2017,Berlin,West,Yes,0.60976,351,554,0.56910,0.65042
2017,Berlin,West,No,0.39024,203,554,0.34958,0.43090
2017,Berlin,East,Yes,0.68181,274,429,0.63768,0.72594
2017,Berlin,East,No,0.31819,155,429,0.27406,0.36232
2017,Brandenburg,East,Yes,0.67339,681,1026,0.64468,0.70210
2017,Brandenburg,East,No,0.32661,345,1026,0.29790,0.35532
2017,Mecklenburg-Western Pomerania,East,Yes,0.61761,350,569,0.57764,0.65757
2017,Mecklenburg-Western Pomerania,East,No,0.38239,219,569,0.34243,0.42236
2017,Saxony,East,Yes,0.64660,1047,1640,0.62346,0.66974
2017,Saxony,East,No,0.35340,593,1640,0.33026,0.37654
2017,Saxony-Anhalt,East,Yes,0.69999,608,921,0.67038,0.72960
2017,Saxony-Anhalt,East,No,0.30001,313,921,0.27040,0.32962
2017,Thuringa,East,Yes,0.63493,622,976,0.60471,0.66515
2017,Thuringa,East,No,0.36507,354,976,0.33485,0.39529
2019,Schleswig-Holstein,West,Yes,0.64319,595,945,0.61263,0.67375
2019,Schleswig-Holstein,West,No,0.35681,350,945,0.32625,0.38737
2019,Hamburg,West,Yes,0.63708,316,524,0.59587,0.67829
2019,Hamburg,West,No,0.36292,208,524,0.32171,0.40413
2019,Lower Saxony,West,Yes,0.69083,1588,2473,0.67261,0.70905
2019,Lower Saxony,West,No,0.30917,885,2473,0.29095,0.32739
2019,Bremen,West,Yes,0.60797,124,218,0.54302,0.67293
2019,Bremen,West,No,0.39203,94,218,0.32707,0.45698
2019,North Rhine-Westphalia,West,Yes,0.66545,3470,5364,0.65282,0.67808
2019,North Rhine-Westphalia,West,No,0.33455,1894,5364,0.32192,0.34718
2019,Hesse,West,Yes,0.67911,1136,1699,0.65691,0.70131
2019,Hesse,West,No,0.32089,563,1699,0.29869,0.34309
2019,"Rhineland-Palatinate, Saarland",West,Yes,0.69040,910,1458,0.66667,0.71414
2019,"Rhineland-Palatinate, Saarland",West,No,0.30960,548,1458,0.28586,0.33333
2019,Baden-Wuerttemberg,West,Yes,0.64952,1770,2772,0.63176,0.66729
2019,Baden-Wuerttemberg,West,No,0.35048,1002,2772,0.33271,0.36824
2019,Bavaria,West,Yes,0.67664,2470,3917,0.66199,0.69129
2019,Bavaria,West,No,0.32336,1447,3917,0.30871,0.33801
2019,Berlin,Does not apply,Yes,0.72878,59,59,0.61436,0.84320
2019,Berlin,West,Yes,0.71173,384,568,0.67444,0.74901
2019,Berlin,West,No,0.28827,184,568,0.25099,0.32556
2019,Berlin,East,Yes,0.71082,260,375,0.66487,0.75677
2019,Berlin,East,No,0.28918,115,375,0.24323,0.33513
2019,Brandenburg,East,Yes,0.71694,768,1106,0.69038,0.74350
2019,Brandenburg,East,No,0.28306,338,1106,0.25650,0.30962
2019,Mecklenburg-Western Pomerania,East,Yes,0.74726,420,601,0.71248,0.78203
2019,Mecklenburg-Western Pomerania,East,No,0.25274,181,601,0.21797,0.28752
2019,Saxony,East,Yes,0.69171,1106,1624,0.66925,0.71418
2019,Saxony,East,No,0.30829,518,1624,0.28582,0.33075
2019,Saxony-Anhalt,East,Yes,0.76500,635,878,0.73693,0.79306
2019,Saxony-Anhalt,East,No,0.23500,243,878,0.20694,0.26307
2019,Thuringa,East,Yes,0.64988,624,917,0.61899,0.68077
2019,Thuringa,East,No,0.35012,293,917,0.31923,0.38101
2021,Schleswig-Holstein,West,Yes,0.65196,485,825,0.61943,0.68448
2021,Schleswig-Holstein,West,No,0.34804,340,825,0.31552,0.38057
2021,Hamburg,West,Yes,0.72833,275,450,0.68718,0.76947
2021,Hamburg,West,No,0.27167,175,450,0.23053,0.31282
2021,Lower Saxony,West,Yes,0.67403,1140,1881,0.65284,0.69522
2021,Lower Saxony,West,No,0.32597,741,1881,0.30478,0.34716
2021,Bremen,West,Yes,0.57459,83,151,0.49547,0.65371
2021,Bremen,West,No,0.42541,68,151,0.34629,0.50453
2021,North Rhine-Westphalia,West,Yes,0.69125,2575,4112,0.67713,0.70537
2021,North Rhine-Westphalia,West,No,0.30875,1537,4112,0.29463,0.32287
2021,Hesse,West,Yes,0.68914,818,1323,0.66419,0.71409
2021,Hesse,West,No,0.31086,505,1323,0.28591,0.33581
2021,"Rhineland-Palatinate, Saarland",West,Yes,0.70069,622,996,0.67224,0.72915
2021,"Rhineland-Palatinate, Saarland",West,No,0.29931,374,996,0.27085,0.32776
2021,Baden-Wuerttemberg,West,Yes,0.66105,1309,2167,0.64111,0.68098
2021,Baden-Wuerttemberg,West,No,0.33895,858,2167,0.31902,0.35889
2021,Bavaria,West,Yes,0.66888,1849,2852,0.65161,0.68616
2021,Bavaria,West,No,0.33112,1003,2852,0.31384,0.34839
2021,Berlin,West,Yes,0.64075,347,559,0.60094,0.68056
2021,Berlin,West,No,0.35925,212,559,0.31944,0.39906
2021,Berlin,East,Yes,0.60859,199,347,0.55716,0.66002
2021,Berlin,East,No,0.39141,148,347,0.33998,0.44284
2021,Brandenburg,East,Yes,0.70859,504,701,0.67492,0.74225
2021,Brandenburg,East,No,0.29141,197,701,0.25775,0.32508
2021,Mecklenburg-Western Pomerania,East,Yes,0.76884,298,407,0.72784,0.80985
2021,Mecklenburg-Western Pomerania,East,No,0.23116,109,407,0.19015,0.27216
2021,Saxony,East,Yes,0.65401,750,1160,0.62663,0.68140
2021,Saxony,East,No,0.34599,410,1160,0.31860,0.37337
2021,Saxony-Anhalt,East,Yes,0.73164,397,599,0.69613,0.76716
2021,Saxony-Anhalt,East,No,0.26836,202,599,0.23284,0.30387
2021,Thuringa,East,Yes,0.61080,413,633,0.57279,0.64881
2021,Thuringa,East,No,0.38920,220,633,0.35119,0.42721
