year,bula_h,regtyp,chronill,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2015,Berlin,Urban regions,No,0.32852,333,24781,0.32796,0.32908
2015,Brandenburg,Urban regions,Yes,1.00000,50,24781,1.00000,1.00000
2015,Brandenburg,Rural regions,Yes,0.64817,579,24781,0.64749,0.64886
2015,Brandenburg,Rural regions,No,0.35183,325,24781,0.35114,0.35251
2015,Mecklenburg-Western Pomerania,Urban regions,Yes,0.51120,34,24781,0.50838,0.51401
2015,Mecklenburg-Western Pomerania,Urban regions,No,0.48880,32,24781,0.48599,0.49162
2015,Mecklenburg-Western Pomerania,Rural regions,Yes,0.65483,311,24781,0.65397,0.65568
2015,Mecklenburg-Western Pomerania,Rural regions,No,0.34517,176,24781,0.34432,0.34603
2015,Saxony,Urban regions,Yes,0.63426,499,24781,0.63356,0.63496
2015,Saxony,Urban regions,No,0.36574,293,24781,0.36504,0.36644
2015,Saxony,Rural regions,Yes,0.64347,445,24781,0.64278,0.64415
2015,Saxony,Rural regions,No,0.35653,244,24781,0.35585,0.35722
2015,Saxony-Anhalt,Urban regions,Yes,0.73173,146,24781,0.73038,0.73308
2015,Saxony-Anhalt,Urban regions,No,0.26827,61,24781,0.26692,0.26962
2015,Saxony-Anhalt,Rural regions,Yes,0.71322,449,24781,0.71248,0.71396
2015,Saxony-Anhalt,Rural regions,No,0.28678,224,24781,0.28604,0.28752
2015,Thuringa,Urban regions,Yes,0.55611,177,24781,0.55475,0.55748
2015,Thuringa,Urban regions,No,0.44389,110,24781,0.44252,0.44525
2015,Thuringa,Rural regions,Yes,0.66430,397,24781,0.66346,0.66514
2015,Thuringa,Rural regions,No,0.33570,230,24781,0.33486,0.33654
2017,Schleswig-Holstein,Urban regions,Yes,0.58137,169,26349,0.58031,0.58242
2017,Schleswig-Holstein,Urban regions,No,0.41863,122,26349,0.41758,0.41969
2017,Schleswig-Holstein,Rural regions,Yes,0.68851,397,26349,0.68780,0.68922
2017,Schleswig-Holstein,Rural regions,No,0.31149,256,26349,0.31078,0.31220
2017,Hamburg,Urban regions,Yes,0.62643,275,26349,0.62567,0.62719
2017,Hamburg,Urban regions,No,0.37357,188,26349,0.37281,0.37433
2017,Lower Saxony,Urban regions,Yes,0.61305,627,26349,0.61248,0.61363
2017,Lower Saxony,Urban regions,No,0.38695,469,26349,0.38637,0.38752
2017,Lower Saxony,Rural regions,Yes,0.68637,966,26349,0.68590,0.68683
2017,Lower Saxony,Rural regions,No,0.31363,600,26349,0.31317,0.31410
2017,Bremen,Urban regions,Yes,0.71246,133,26349,0.71133,0.71358
2017,Bremen,Urban regions,No,0.28754,86,26349,0.28642,0.28867
2017,North Rhine-Westphalia,Urban regions,Yes,0.63184,3217,26349,0.63159,0.63209
2017,North Rhine-Westphalia,Urban regions,No,0.36816,2158,26349,0.36791,0.36841
2017,North Rhine-Westphalia,Rural regions,Yes,0.54607,65,26349,0.54440,0.54773
2017,North Rhine-Westphalia,Rural regions,No,0.45393,49,26349,0.45227,0.45560
2017,Hesse,Urban regions,Yes,0.60921,840,26349,0.60873,0.60968
2017,Hesse,Urban regions,No,0.39079,584,26349,0.39032,0.39127
2017,Hesse,Rural regions,Yes,0.70158,227,26349,0.70067,0.70249
2017,Hesse,Rural regions,No,0.29842,124,26349,0.29751,0.29933
2017,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.64248,648,26349,0.64194,0.64302
2017,"Rhineland-Palatinate, Saarland",Urban regions,No,0.35752,460,26349,0.35698,0.35806
2017,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.68314,221,26349,0.68215,0.68414
2017,"Rhineland-Palatinate, Saarland",Rural regions,No,0.31686,182,26349,0.31586,0.31785
2017,Baden-Wuerttemberg,Urban regions,Yes,0.59034,1488,26349,0.59000,0.59068
2017,Baden-Wuerttemberg,Urban regions,No,0.40966,1181,26349,0.40932,0.41000
2017,Baden-Wuerttemberg,Rural regions,Yes,0.54755,177,26349,0.54654,0.54857
2017,Baden-Wuerttemberg,Rural regions,No,0.45245,159,26349,0.45143,0.45346
2017,Bavaria,Urban regions,Yes,0.61527,1115,26349,0.61485,0.61570
2017,Bavaria,Urban regions,No,0.38473,784,26349,0.38430,0.38515
2017,Bavaria,Rural regions,Yes,0.64463,1342,26349,0.64423,0.64504
2017,Bavaria,Rural regions,No,0.35537,949,26349,0.35496,0.35577
2017,Berlin,Urban regions,Yes,0.63959,625,26349,0.63904,0.64014
2017,Berlin,Urban regions,No,0.36041,358,26349,0.35986,0.36096
2017,Brandenburg,Urban regions,Yes,1.00000,64,26349,1.00000,1.00000
2017,Brandenburg,Rural regions,Yes,0.66647,617,26349,0.66579,0.66715
2017,Brandenburg,Rural regions,No,0.33353,321,26349,0.33285,0.33421
2017,Mecklenburg-Western Pomerania,Urban regions,Yes,0.39048,36,26349,0.38806,0.39290
2017,Mecklenburg-Western Pomerania,Urban regions,No,0.60952,43,26349,0.60710,0.61194
2017,Mecklenburg-Western Pomerania,Rural regions,Yes,0.64965,314,26349,0.64876,0.65055
2017,Mecklenburg-Western Pomerania,Rural regions,No,0.35035,176,26349,0.34945,0.35124
2017,Saxony,Urban regions,Yes,0.63987,556,26349,0.63917,0.64057
2017,Saxony,Urban regions,No,0.36013,317,26349,0.35943,0.36083
2017,Saxony,Rural regions,Yes,0.65242,491,26349,0.65172,0.65313
