year,quintil_oecd,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,3rd Quintile,West,No,0.29855,1414,3384,0.28313,0.31397
2017,3rd Quintile,East,Yes,0.57390,679,993,0.54313,0.60467
2017,3rd Quintile,East,No,0.27695,314,993,0.24911,0.30480
2017,4th Quintile,West,Yes,0.53990,2121,3620,0.52366,0.55614
2017,4th Quintile,West,No,0.32530,1499,3620,0.31004,0.34057
2017,4th Quintile,East,Yes,0.58548,447,705,0.54909,0.62187
2017,4th Quintile,East,No,0.30204,258,705,0.26813,0.33596
2017,5th Quintile,West,Yes,0.53531,2378,3960,0.51977,0.55084
2017,5th Quintile,West,No,0.35381,1582,3960,0.33892,0.36871
2017,5th Quintile,East,Yes,0.52856,346,564,0.48733,0.56979
2017,5th Quintile,East,No,0.30654,218,564,0.26845,0.34462
2019,1st Quintile,West,Yes,0.50660,2009,3220,0.48933,0.52387
2019,1st Quintile,West,No,0.23291,1211,3220,0.21831,0.24751
2019,1st Quintile,East,Yes,0.58239,844,1195,0.55442,0.61037
2019,1st Quintile,East,No,0.21592,351,1195,0.19258,0.23926
2019,2nd Quintile,West,Yes,0.56495,2215,3466,0.54844,0.58146
2019,2nd Quintile,West,No,0.24176,1251,3466,0.22750,0.25602
2019,2nd Quintile,East,Yes,0.58110,888,1274,0.55399,0.60820
2019,2nd Quintile,East,No,0.24837,386,1274,0.22463,0.27210
2019,3rd Quintile,West,Yes,0.56323,2109,3329,0.54638,0.58008
2019,3rd Quintile,West,No,0.26980,1220,3329,0.25472,0.28488
2019,3rd Quintile,East,Yes,0.60424,726,1058,0.57476,0.63372
2019,3rd Quintile,East,No,0.22278,332,1058,0.19770,0.24787
2019,4th Quintile,West,Yes,0.54952,2264,3491,0.53302,0.56603
2019,4th Quintile,West,No,0.28543,1227,3491,0.27045,0.30042
2019,4th Quintile,East,Yes,0.63420,535,746,0.59961,0.66878
2019,4th Quintile,East,No,0.25526,211,746,0.22395,0.28657
2019,5th Quintile,West,Yes,0.56904,2713,4169,0.55401,0.58407
2019,5th Quintile,West,No,0.32216,1456,4169,0.30797,0.33635
2019,5th Quintile,East,Yes,0.54379,408,611,0.50426,0.58331
2019,5th Quintile,East,No,0.32703,203,611,0.28980,0.36426
2021,1st Quintile,West,Yes,0.52522,2073,3774,0.50928,0.54115
2021,1st Quintile,West,No,0.25309,1701,3774,0.23921,0.26696
2021,1st Quintile,East,Yes,0.61290,628,998,0.58266,0.64313
2021,1st Quintile,East,No,0.22613,370,998,0.20016,0.25210
2021,2nd Quintile,West,Yes,0.54101,1667,2636,0.52198,0.56003
2021,2nd Quintile,West,No,0.25439,969,2636,0.23776,0.27102
2021,2nd Quintile,East,Yes,0.59446,644,892,0.56222,0.62670
2021,2nd Quintile,East,No,0.24374,248,892,0.21555,0.27193
2021,3rd Quintile,West,Yes,0.57892,1603,2438,0.55932,0.59853
2021,3rd Quintile,West,No,0.24094,835,2438,0.22396,0.25792
2021,3rd Quintile,East,Yes,0.52923,458,686,0.49185,0.56661
2021,3rd Quintile,East,No,0.25736,228,686,0.22462,0.29010
2021,4th Quintile,West,Yes,0.57931,1712,2596,0.56032,0.59830
2021,4th Quintile,West,No,0.27458,884,2596,0.25741,0.29175
2021,4th Quintile,East,Yes,0.54390,399,586,0.50354,0.58427
2021,4th Quintile,East,No,0.27979,187,586,0.24341,0.31616
2021,5th Quintile,West,Yes,0.57258,2346,3605,0.55643,0.58873
2021,5th Quintile,West,No,0.30300,1259,3605,0.28800,0.31801
2021,5th Quintile,East,Yes,0.49301,417,650,0.45455,0.53148
2021,5th Quintile,East,No,0.36566,233,650,0.32860,0.40271
