year,quintil_oecd,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,2nd Quintile,male,Yes,0.49418,1302,2251,0.47352,0.51484
2015,2nd Quintile,male,No,0.30771,949,2251,0.28864,0.32678
2015,2nd Quintile,female,Yes,0.59300,1854,2942,0.57525,0.61076
2015,2nd Quintile,female,No,0.24013,1088,2942,0.22469,0.25557
2015,3rd Quintile,male,Yes,0.48954,1239,2231,0.46880,0.51029
2015,3rd Quintile,male,No,0.33428,992,2231,0.31470,0.35386
2015,3rd Quintile,female,Yes,0.55145,1559,2565,0.53220,0.57070
2015,3rd Quintile,female,No,0.28117,1006,2565,0.26377,0.29857
2015,4th Quintile,male,Yes,0.49380,1261,2258,0.47317,0.51442
2015,4th Quintile,male,No,0.35602,997,2258,0.33626,0.37577
2015,4th Quintile,female,Yes,0.56184,1494,2465,0.54225,0.58143
2015,4th Quintile,female,No,0.29815,971,2465,0.28009,0.31621
2015,5th Quintile,male,Yes,0.48006,1426,2525,0.46057,0.49955
2015,5th Quintile,male,No,0.40664,1099,2525,0.38747,0.42580
2015,5th Quintile,female,Yes,0.53523,1469,2530,0.51579,0.55467
2015,5th Quintile,female,No,0.34767,1061,2530,0.32911,0.36623
2017,1st Quintile,male,Yes,0.46708,1069,1937,0.44485,0.48930
2017,1st Quintile,male,No,0.27677,868,1937,0.25684,0.29670
2017,1st Quintile,female,Yes,0.53867,1705,2741,0.52000,0.55733
2017,1st Quintile,female,No,0.24306,1036,2741,0.22700,0.25913
2017,2nd Quintile,male,Yes,0.48842,1183,2104,0.46705,0.50978
2017,2nd Quintile,male,No,0.31679,921,2104,0.29690,0.33667
2017,2nd Quintile,female,Yes,0.60273,1714,2664,0.58415,0.62132
2017,2nd Quintile,female,No,0.22560,950,2664,0.20973,0.24148
2017,3rd Quintile,male,Yes,0.49421,1165,1997,0.47227,0.51614
2017,3rd Quintile,male,No,0.31542,832,1997,0.29503,0.33581
2017,3rd Quintile,female,Yes,0.56933,1484,2380,0.54944,0.58923
2017,3rd Quintile,female,No,0.27572,896,2380,0.25776,0.29367
2017,4th Quintile,male,Yes,0.52437,1196,2061,0.50280,0.54594
2017,4th Quintile,male,No,0.33535,865,2061,0.31496,0.35574
2017,4th Quintile,female,Yes,0.56639,1372,2264,0.54597,0.58681
2017,4th Quintile,female,No,0.30963,892,2264,0.29059,0.32868
2017,5th Quintile,male,Yes,0.52440,1364,2261,0.50381,0.54499
2017,5th Quintile,male,No,0.35323,897,2261,0.33352,0.37293
2017,5th Quintile,female,Yes,0.54612,1360,2263,0.52560,0.56664
2017,5th Quintile,female,No,0.34522,903,2263,0.32563,0.36481
2019,1st Quintile,male,Yes,0.47666,1135,1859,0.45394,0.49937
2019,1st Quintile,male,No,0.24478,724,1859,0.22523,0.26433
2019,1st Quintile,female,Yes,0.56406,1718,2556,0.54483,0.58329
2019,1st Quintile,female,No,0.21552,838,2556,0.19957,0.23146
2019,2nd Quintile,male,Yes,0.51516,1287,2099,0.49378,0.53655
2019,2nd Quintile,male,No,0.28224,812,2099,0.26298,0.30150
2019,2nd Quintile,female,Yes,0.61612,1816,2641,0.59757,0.63467
2019,2nd Quintile,female,No,0.20807,825,2641,0.19259,0.22356
2019,3rd Quintile,male,Yes,0.53347,1230,1995,0.51157,0.55537
2019,3rd Quintile,male,No,0.27693,765,1995,0.25729,0.29657
2019,3rd Quintile,female,Yes,0.60618,1605,2392,0.58659,0.62576
2019,3rd Quintile,female,No,0.24658,787,2392,0.22930,0.26386
2019,4th Quintile,male,Yes,0.53066,1265,2001,0.50879,0.55253
2019,4th Quintile,male,No,0.31200,736,2001,0.29169,0.33230
2019,4th Quintile,female,Yes,0.59238,1534,2236,0.57201,0.61276
2019,4th Quintile,female,No,0.25071,702,2236,0.23274,0.26868
2019,5th Quintile,male,Yes,0.54040,1527,2401,0.52046,0.56034
2019,5th Quintile,male,No,0.34929,874,2401,0.33021,0.36836
2019,5th Quintile,female,Yes,0.59849,1594,2379,0.57879,0.61819
2019,5th Quintile,female,No,0.29167,785,2379,0.27340,0.30994
2021,1st Quintile,male,Yes,0.48922,1135,2298,0.46878,0.50967
2021,1st Quintile,male,No,0.27756,1163,2298,0.25925,0.29588
2021,1st Quintile,female,Yes,0.59022,1562,2470,0.57083,0.60962
2021,1st Quintile,female,No,0.22144,908,2470,0.20507,0.23782
2021,2nd Quintile,male,Yes,0.50935,969,1598,0.48483,0.53387
2021,2nd Quintile,male,No,0.28148,629,1598,0.25943,0.30354
2021,2nd Quintile,female,Yes,0.58911,1340,1928,0.56714,0.61108
2021,2nd Quintile,female,No,0.22629,588,1928,0.20761,0.24497
2021,3rd Quintile,male,Yes,0.53346,880,1437,0.50766,0.55926
2021,3rd Quintile,male,No,0.27793,557,1437,0.25476,0.30110
2021,3rd Quintile,female,Yes,0.60241,1180,1686,0.57904,0.62578
2021,3rd Quintile,female,No,0.21334,506,1686,0.19378,0.23290
2021,4th Quintile,male,Yes,0.52826,948,1517,0.50313,0.55339
2021,4th Quintile,male,No,0.32575,569,1517,0.30216,0.34934
2021,4th Quintile,female,Yes,0.62183,1163,1665,0.59853,0.64513
2021,4th Quintile,female,No,0.22295,502,1665,0.20295,0.24295
2021,5th Quintile,male,Yes,0.53468,1382,2249,0.51406,0.55530
2021,5th Quintile,male,No,0.33674,867,2249,0.31720,0.35627
2021,5th Quintile,female,Yes,0.59907,1381,2006,0.57762,0.62053
2021,5th Quintile,female,No,0.27746,625,2006,0.25786,0.29706
