year,regtyp,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Rural regions,East,No,0.51536,907,1849,0.49257,0.53815
2002,Urban regions,West,Yes,0.77953,5761,7149,0.76992,0.78914
2002,Urban regions,West,No,0.22047,1388,7149,0.21086,0.23008
2002,Urban regions,East,Yes,0.61405,599,932,0.58278,0.64532
2002,Urban regions,East,No,0.38595,333,932,0.35468,0.41722
2002,Rural regions,West,Yes,0.80234,1694,2052,0.78511,0.81958
2002,Rural regions,West,No,0.19766,358,2052,0.18042,0.21489
2002,Rural regions,East,Yes,0.49390,965,1832,0.47100,0.51680
2002,Rural regions,East,No,0.50610,867,1832,0.48320,0.52900
2003,Urban regions,West,Yes,0.78227,5569,6878,0.77251,0.79202
2003,Urban regions,West,No,0.21773,1309,6878,0.20798,0.22749
2003,Urban regions,East,Yes,0.62846,608,928,0.59735,0.65957
2003,Urban regions,East,No,0.37154,320,928,0.34043,0.40265
2003,Rural regions,West,Yes,0.79741,1610,1948,0.77956,0.81526
2003,Rural regions,West,No,0.20259,338,1948,0.18474,0.22044
2003,Rural regions,East,Yes,0.51007,961,1794,0.48693,0.53321
2003,Rural regions,East,No,0.48993,833,1794,0.46679,0.51307
2004,Urban regions,West,Yes,0.78858,5457,6679,0.77878,0.79837
2004,Urban regions,West,No,0.21142,1222,6679,0.20163,0.22122
2004,Urban regions,East,Yes,0.63793,611,925,0.60694,0.66892
2004,Urban regions,East,No,0.36207,314,925,0.33108,0.39306
2004,Rural regions,West,Yes,0.80075,1599,1914,0.78285,0.81865
2004,Rural regions,West,No,0.19925,315,1914,0.18135,0.21715
2004,Rural regions,East,Yes,0.52238,971,1757,0.49902,0.54575
2004,Rural regions,East,No,0.47762,786,1757,0.45425,0.50098
2005,Urban regions,West,Yes,0.79811,5430,6605,0.78842,0.80779
2005,Urban regions,West,No,0.20189,1175,6605,0.19221,0.21158
2005,Urban regions,East,Yes,0.63421,607,934,0.60331,0.66512
2005,Urban regions,East,No,0.36579,327,934,0.33488,0.39669
2005,Rural regions,West,Yes,0.82791,1601,1888,0.81088,0.84494
2005,Rural regions,West,No,0.17209,287,1888,0.15506,0.18912
2005,Rural regions,East,Yes,0.54955,1008,1749,0.52622,0.57287
2005,Rural regions,East,No,0.45045,741,1749,0.42713,0.47378
2006,Urban regions,West,Yes,0.79637,5918,7167,0.78704,0.80569
2006,Urban regions,West,No,0.20363,1249,7167,0.19431,0.21296
2006,Urban regions,East,Yes,0.63841,650,991,0.60848,0.66834
2006,Urban regions,East,No,0.36159,341,991,0.33166,0.39152
2006,Rural regions,West,Yes,0.82683,1845,2158,0.81086,0.84280
2006,Rural regions,West,No,0.17317,313,2158,0.15720,0.18914
2006,Rural regions,East,Yes,0.57139,1145,1933,0.54933,0.59346
2006,Rural regions,East,No,0.42861,788,1933,0.40654,0.45067
2007,Urban regions,West,Yes,0.81568,5587,6655,0.80636,0.82500
2007,Urban regions,West,No,0.18432,1068,6655,0.17500,0.19364
2007,Urban regions,East,Yes,0.67061,639,942,0.64058,0.70064
2007,Urban regions,East,No,0.32939,303,942,0.29936,0.35942
2007,Rural regions,West,Yes,0.83372,1725,2022,0.81749,0.84995
2007,Rural regions,West,No,0.16628,297,2022,0.15005,0.18251
2007,Rural regions,East,Yes,0.56543,1082,1815,0.54262,0.58825
2007,Rural regions,East,No,0.43457,733,1815,0.41175,0.45738
2008,Urban regions,West,Yes,0.81946,5271,6253,0.80992,0.82899
2008,Urban regions,West,No,0.18054,982,6253,0.17101,0.19008
2008,Urban regions,East,Yes,0.68858,648,928,0.65877,0.71839
2008,Urban regions,East,No,0.31142,280,928,0.28161,0.34123
2008,Rural regions,West,Yes,0.83943,1642,1907,0.82295,0.85591
2008,Rural regions,West,No,0.16057,265,1907,0.14409,0.17705
2008,Rural regions,East,Yes,0.59994,1064,1722,0.57679,0.62308
2008,Rural regions,East,No,0.40006,658,1722,0.37692,0.42321
2009,Urban regions,West,Yes,0.82854,4918,5798,0.81884,0.83824
2009,Urban regions,West,No,0.17146,880,5798,0.16176,0.18116
2009,Urban regions,East,Yes,0.68499,624,897,0.65457,0.71541
2009,Urban regions,East,No,0.31501,273,897,0.28459,0.34543
2009,Rural regions,West,Yes,0.84076,1558,1819,0.82394,0.85758
2009,Rural regions,West,No,0.15924,261,1819,0.14242,0.17606
2009,Rural regions,East,Yes,0.59870,1032,1654,0.57507,0.62233
2009,Rural regions,East,No,0.40130,622,1654,0.37767,0.42493
2010,Urban regions,West,Yes,0.82528,6709,7959,0.81694,0.83362
2010,Urban regions,West,No,0.17472,1250,7959,0.16638,0.18306
2010,Urban regions,East,Yes,0.70711,802,1121,0.68046,0.73376
2010,Urban regions,East,No,0.29289,319,1121,0.26624,0.31954
2010,Rural regions,West,Yes,0.83019,2276,2671,0.81594,0.84443
2010,Rural regions,West,No,0.16981,395,2671,0.15557,0.18406
2010,Rural regions,East,Yes,0.60832,1298,2037,0.58711,0.62952
2010,Rural regions,East,No,0.39168,739,2037,0.37048,0.41289
2011,Urban regions,West,Yes,0.83538,8031,9420,0.82789,0.84287
2011,Urban regions,West,No,0.16462,1389,9420,0.15713,0.17211
2011,Urban regions,East,Yes,0.71910,959,1336,0.69499,0.74321
2011,Urban regions,East,No,0.28090,377,1336,0.25679,0.30501
2011,Rural regions,West,Yes,0.84331,2960,3436,0.83115,0.85547
2011,Rural regions,West,No,0.15669,476,3436,0.14453,0.16885
2011,Rural regions,East,Yes,0.60508,1514,2407,0.58554,0.62461
2011,Rural regions,East,No,0.39492,893,2407,0.37539,0.41446
2012,Urban regions,West,Yes,0.83288,7776,9146,0.82524,0.84053
2012,Urban regions,West,No,0.16712,1370,9146,0.15947,0.17476
2012,Urban regions,East,Yes,0.72201,946,1301,0.69765,0.74636
2012,Urban regions,East,No,0.27799,355,1301,0.25364,0.30235
2012,Rural regions,West,Yes,0.85687,2987,3444,0.84517,0.86856
2012,Rural regions,West,No,0.14313,457,3444,0.13144,0.15483
2012,Rural regions,East,Yes,0.63579,1574,2411,0.61658,0.65500
2012,Rural regions,East,No,0.36421,837,2411,0.34500,0.38342
2013,Urban regions,West,Yes,0.82849,8862,10535,0.82129,0.83568
2013,Urban regions,West,No,0.17151,1673,10535,0.16432,0.17871
2013,Urban regions,East,Yes,0.73957,981,1316,0.71585,0.76329
2013,Urban regions,East,No,0.26043,335,1316,0.23671,0.28415
2013,Rural regions,West,Yes,0.85318,3155,3678,0.84174,0.86462
2013,Rural regions,West,No,0.14682,523,3678,0.13538,0.15826
2013,Rural regions,East,Yes,0.63093,1543,2341,0.61138,0.65048
2013,Rural regions,East,No,0.36907,798,2341,0.34952,0.38862
2014,Urban regions,West,Yes,0.83600,7833,9181,0.82843,0.84358
2014,Urban regions,West,No,0.16400,1348,9181,0.15642,0.17157
2014,Urban regions,East,Yes,0.74646,916,1215,0.72199,0.77093
2014,Urban regions,East,No,0.25354,299,1215,0.22907,0.27801
2014,Rural regions,West,Yes,0.84043,2803,3264,0.82787,0.85300
2014,Rural regions,West,No,0.15957,461,3264,0.14700,0.17213
2014,Rural regions,East,Yes,0.63953,1412,2164,0.61929,0.65976
2014,Rural regions,East,No,0.36047,752,2164,0.34024,0.38071
2015,Urban regions,West,Yes,0.83351,7648,9173,0.82589,0.84114
2015,Urban regions,West,No,0.16649,1525,9173,0.15886,0.17411
2015,Urban regions,East,Yes,0.73554,887,1205,0.71063,0.76045
2015,Urban regions,East,No,0.26446,318,1205,0.23955,0.28937
2015,Rural regions,West,Yes,0.85076,2823,3305,0.83861,0.86291
2015,Rural regions,West,No,0.14924,482,3305,0.13709,0.16139
2015,Rural regions,East,Yes,0.64232,1376,2075,0.62169,0.66295
2015,Rural regions,East,No,0.35768,699,2075,0.33705,0.37831
2016,Urban regions,West,Yes,0.83156,7664,9560,0.82405,0.83906
2016,Urban regions,West,No,0.16844,1896,9560,0.16094,0.17595
2016,Urban regions,East,Yes,0.72519,896,1264,0.70057,0.74981
2016,Urban regions,East,No,0.27481,368,1264,0.25019,0.29943
2016,Rural regions,West,Yes,0.85130,2759,3379,0.83930,0.86330
2016,Rural regions,West,No,0.14870,620,3379,0.13670,0.16070
2016,Rural regions,East,Yes,0.65518,1451,2195,0.63529,0.67507
2016,Rural regions,East,No,0.34482,744,2195,0.32493,0.36471
2017,Urban regions,West,Yes,0.83468,8532,10621,0.82761,0.84174
2017,Urban regions,West,No,0.16532,2089,10621,0.15826,0.17239
2017,Urban regions,East,Yes,0.71287,1001,1405,0.68921,0.73654
2017,Urban regions,East,No,0.28713,404,1405,0.26346,0.31079
2017,Rural regions,West,Yes,0.83874,3082,3855,0.82713,0.85035
2017,Rural regions,West,No,0.16126,773,3855,0.14965,0.17287
2017,Rural regions,East,Yes,0.65034,1586,2393,0.63123,0.66945
2017,Rural regions,East,No,0.34966,807,2393,0.33055,0.36877
2018,Urban regions,West,Yes,0.84081,8346,10397,0.83378,0.84785
2018,Urban regions,West,No,0.15919,2051,10397,0.15215,0.16622
2018,Urban regions,East,Yes,0.73391,1028,1400,0.71075,0.75707
2018,Urban regions,East,No,0.26609,372,1400,0.24293,0.28925
2018,Rural regions,West,Yes,0.84526,2898,3550,0.83336,0.85715
2018,Rural regions,West,No,0.15474,652,3550,0.14285,0.16664
2018,Rural regions,East,Yes,0.66609,1591,2350,0.64701,0.68516
2018,Rural regions,East,No,0.33391,759,2350,0.31484,0.35299
2019,Urban regions,West,Yes,0.84871,7049,8731,0.84120,0.85623
2019,Urban regions,West,No,0.15129,1682,8731,0.14377,0.15880
2019,Urban regions,East,Yes,0.74438,884,1174,0.71941,0.76934
2019,Urban regions,East,No,0.25562,290,1174,0.23066,0.28059
2019,Rural regions,West,Yes,0.85223,2477,3018,0.83956,0.86489
2019,Rural regions,West,No,0.14777,541,3018,0.13511,0.16044
2019,Rural regions,East,Yes,0.67379,1369,1988,0.65317,0.69440
2019,Rural regions,East,No,0.32621,619,1988,0.30560,0.34683
2020,Urban regions,West,Yes,0.84083,9212,11846,0.83424,0.84742
2020,Urban regions,West,No,0.15917,2634,11846,0.15258,0.16576
2020,Urban regions,East,Yes,0.73948,1117,1529,0.71747,0.76149
2020,Urban regions,East,No,0.26052,412,1529,0.23851,0.28253
2020,Rural regions,West,Yes,0.85644,2945,3622,0.84502,0.86787
2020,Rural regions,West,No,0.14356,677,3622,0.13213,0.15498
2020,Rural regions,East,Yes,0.68803,1625,2304,0.66911,0.70695
2020,Rural regions,East,No,0.31197,679,2304,0.29305,0.33089
2021,Urban regions,West,Yes,0.84564,5428,6679,0.83697,0.85430
2021,Urban regions,West,No,0.15436,1251,6679,0.14570,0.16303
2021,Urban regions,East,Yes,0.70630,683,932,0.67704,0.73556
2021,Urban regions,East,No,0.29370,249,932,0.26444,0.32296
2021,Rural regions,West,Yes,0.86010,1810,2149,0.84543,0.87477
2021,Rural regions,West,No,0.13990,339,2149,0.12523,0.15457
2021,Rural regions,East,Yes,0.70595,1000,1418,0.68223,0.72967
2021,Rural regions,East,No,0.29405,418,1418,0.27033,0.31777
2022,Urban regions,West,Yes,0.85451,9751,12103,0.84823,0.86079
2022,Urban regions,West,No,0.14549,2352,12103,0.13921,0.15177
2022,Urban regions,East,Yes,0.71597,1252,1721,0.69466,0.73728
2022,Urban regions,East,No,0.28403,469,1721,0.26272,0.30534
2022,Rural regions,West,Yes,0.85431,3081,3616,0.84280,0.86581
2022,Rural regions,West,No,0.14569,535,3616,0.13419,0.15720
2022,Rural regions,East,Yes,0.69296,1836,2622,0.67530,0.71062
2022,Rural regions,East,No,0.30704,786,2622,0.28938,0.32470
