year,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,Yes,0.90405,5692,6301,0.89677,0.91132
2016,Owner,No,0.09595,609,6301,0.08868,0.10323
2016,Tenant,Yes,0.72968,5952,7993,0.71994,0.73941
2016,Tenant,No,0.27032,2041,7993,0.26059,0.28006
2017,Not included in this version of the questionnaire,Yes,0.50390,420,798,0.46919,0.53862
2017,Not included in this version of the questionnaire,No,0.49610,378,798,0.46138,0.53081
2017,Owner,Yes,0.90441,6389,7062,0.89755,0.91127
2017,Owner,No,0.09559,673,7062,0.08873,0.10245
2017,Tenant,Yes,0.72394,7392,10414,0.71536,0.73253
2017,Tenant,No,0.27606,3022,10414,0.26747,0.28464
2018,Owner,Yes,0.90612,6116,6755,0.89917,0.91308
2018,Owner,No,0.09388,639,6755,0.08692,0.10083
2018,Tenant,Yes,0.73634,7747,10942,0.72808,0.74460
2018,Tenant,No,0.26366,3195,10942,0.25540,0.27192
2019,Owner,Yes,0.90664,5392,5945,0.89924,0.91403
2019,Owner,No,0.09336,553,5945,0.08597,0.10076
2019,Tenant,Yes,0.74394,6387,8965,0.73490,0.75298
2019,Tenant,No,0.25606,2578,8965,0.24702,0.26510
2020,Owner,Yes,0.91426,6410,6983,0.90769,0.92082
2020,Owner,No,0.08574,573,6983,0.07918,0.09231
2020,Tenant,Yes,0.73843,8489,12318,0.73067,0.74620
2020,Tenant,No,0.26157,3829,12318,0.25380,0.26933
2021,Owner,Yes,0.91715,4291,4665,0.90924,0.92506
2021,Owner,No,0.08285,374,4665,0.07494,0.09076
2021,Tenant,Yes,0.73892,4626,6509,0.72824,0.74959
2021,Tenant,No,0.26108,1883,6509,0.25041,0.27176
2022,Owner,Yes,0.91473,7187,7858,0.90855,0.92090
2022,Owner,No,0.08527,671,7858,0.07910,0.09145
2022,Tenant,Yes,0.75229,8724,12189,0.74463,0.75996
2022,Tenant,No,0.24771,3465,12189,0.24004,0.25537
