year,quintil_oecd_hh,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,2nd Quintile,East,Yes,0.43324,247,551,0.39182,0.47465
1994,2nd Quintile,East,No,0.56676,304,551,0.52535,0.60818
1994,3rd Quintile,West,Yes,0.73143,641,925,0.70286,0.76001
1994,3rd Quintile,West,No,0.26857,284,925,0.23999,0.29714
1994,3rd Quintile,East,Yes,0.44536,187,392,0.39609,0.49462
1994,3rd Quintile,East,No,0.55464,205,392,0.50538,0.60391
1994,4th Quintile,West,Yes,0.75790,706,979,0.73105,0.78474
1994,4th Quintile,West,No,0.24210,273,979,0.21526,0.26895
1994,4th Quintile,East,Yes,0.50657,117,222,0.44065,0.57248
1994,4th Quintile,East,No,0.49343,105,222,0.42752,0.55935
1994,5th Quintile,West,Yes,0.84481,830,991,0.82225,0.86736
1994,5th Quintile,West,No,0.15519,161,991,0.13264,0.17775
1994,5th Quintile,East,Yes,0.63995,73,112,0.55066,0.72925
1994,5th Quintile,East,No,0.36005,39,112,0.27075,0.44934
1995,1st Quintile,West,Yes,0.55864,495,922,0.52657,0.59071
1995,1st Quintile,West,No,0.44136,427,922,0.40929,0.47343
1995,1st Quintile,East,Yes,0.39387,161,418,0.34698,0.44077
1995,1st Quintile,East,No,0.60613,257,418,0.55923,0.65302
1995,2nd Quintile,West,Yes,0.70325,592,903,0.67343,0.73306
1995,2nd Quintile,West,No,0.29675,311,903,0.26694,0.32657
1995,2nd Quintile,East,Yes,0.42055,221,512,0.37775,0.46335
1995,2nd Quintile,East,No,0.57945,291,512,0.53665,0.62225
1995,3rd Quintile,West,Yes,0.72752,669,960,0.69934,0.75570
1995,3rd Quintile,West,No,0.27248,291,960,0.24430,0.30066
1995,3rd Quintile,East,Yes,0.48846,206,401,0.43947,0.53744
1995,3rd Quintile,East,No,0.51154,195,401,0.46256,0.56053
1995,4th Quintile,West,Yes,0.79903,734,959,0.77366,0.82441
1995,4th Quintile,West,No,0.20097,225,959,0.17559,0.22634
1995,4th Quintile,East,Yes,0.56241,152,266,0.50268,0.62214
1995,4th Quintile,East,No,0.43759,114,266,0.37786,0.49732
1995,5th Quintile,West,Yes,0.84814,825,977,0.82563,0.87066
1995,5th Quintile,West,No,0.15186,152,977,0.12934,0.17437
1995,5th Quintile,East,Yes,0.59516,80,125,0.50877,0.68156
1995,5th Quintile,East,No,0.40484,45,125,0.31844,0.49123
1996,1st Quintile,West,Yes,0.60278,524,938,0.57144,0.63411
1996,1st Quintile,West,No,0.39722,414,938,0.36589,0.42856
1996,1st Quintile,East,Yes,0.42712,176,404,0.37883,0.47542
1996,1st Quintile,East,No,0.57288,228,404,0.52458,0.62117
1996,2nd Quintile,West,Yes,0.69781,578,878,0.66742,0.72820
1996,2nd Quintile,West,No,0.30219,300,878,0.27180,0.33258
1996,2nd Quintile,East,Yes,0.43862,218,475,0.39395,0.48330
1996,2nd Quintile,East,No,0.56138,257,475,0.51670,0.60605
1996,3rd Quintile,West,Yes,0.77189,686,924,0.74482,0.79896
1996,3rd Quintile,West,No,0.22811,238,924,0.20104,0.25518
1996,3rd Quintile,East,Yes,0.49207,214,420,0.44420,0.53994
1996,3rd Quintile,East,No,0.50793,206,420,0.46006,0.55580
1996,4th Quintile,West,Yes,0.76089,730,972,0.73406,0.78772
1996,4th Quintile,West,No,0.23911,242,972,0.21228,0.26594
1996,4th Quintile,East,Yes,0.53082,146,276,0.47183,0.58980
1996,4th Quintile,East,No,0.46918,130,276,0.41020,0.52817
1996,5th Quintile,West,Yes,0.85650,800,937,0.83404,0.87896
1996,5th Quintile,West,No,0.14350,137,937,0.12104,0.16596
1996,5th Quintile,East,Yes,0.66700,110,156,0.59281,0.74120
1996,5th Quintile,East,No,0.33300,46,156,0.25880,0.40719
1997,1st Quintile,West,Yes,0.60771,517,891,0.57563,0.63979
1997,1st Quintile,West,No,0.39229,374,891,0.36021,0.42437
1997,1st Quintile,East,Yes,0.42737,167,384,0.37783,0.47692
1997,1st Quintile,East,No,0.57263,217,384,0.52308,0.62217
1997,2nd Quintile,West,Yes,0.72253,592,879,0.69291,0.75215
1997,2nd Quintile,West,No,0.27747,287,879,0.24785,0.30709
1997,2nd Quintile,East,Yes,0.47838,238,481,0.43369,0.52307
1997,2nd Quintile,East,No,0.52162,243,481,0.47693,0.56631
1997,3rd Quintile,West,Yes,0.78764,688,924,0.76125,0.81402
1997,3rd Quintile,West,No,0.21236,236,924,0.18598,0.23875
1997,3rd Quintile,East,Yes,0.47589,212,413,0.42767,0.52412
1997,3rd Quintile,East,No,0.52411,201,413,0.47588,0.57233
1997,4th Quintile,West,Yes,0.76971,733,955,0.74300,0.79643
1997,4th Quintile,West,No,0.23029,222,955,0.20357,0.25700
1997,4th Quintile,East,Yes,0.54423,161,295,0.48730,0.60116
1997,4th Quintile,East,No,0.45577,134,295,0.39884,0.51270
1997,5th Quintile,West,Yes,0.85834,796,930,0.83591,0.88076
1997,5th Quintile,West,No,0.14166,134,930,0.11924,0.16409
1997,5th Quintile,East,Yes,0.65292,97,145,0.57517,0.73067
1997,5th Quintile,East,No,0.34708,48,145,0.26933,0.42483
1998,1st Quintile,West,Yes,0.60552,644,1065,0.57615,0.63489
1998,1st Quintile,West,No,0.39448,421,1065,0.36511,0.42385
1998,1st Quintile,East,Yes,0.46272,197,423,0.41515,0.51029
1998,1st Quintile,East,No,0.53728,226,423,0.48971,0.58485
1998,2nd Quintile,West,Yes,0.72560,746,1069,0.69884,0.75236
1998,2nd Quintile,West,No,0.27440,323,1069,0.24764,0.30116
1998,2nd Quintile,East,Yes,0.47865,250,491,0.43442,0.52288
1998,2nd Quintile,East,No,0.52135,241,491,0.47712,0.56558
