year,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.58639,13131,19060,0.57940,0.59338
2016,West,No,0.24032,5929,19060,0.23426,0.24639
2016,East,Yes,0.60205,3600,4995,0.58847,0.61563
2016,East,No,0.23529,1395,4995,0.22353,0.24706
2017,West,Yes,0.59979,14824,20771,0.59313,0.60646
2017,West,No,0.22489,5947,20771,0.21921,0.23057
2017,East,Yes,0.63351,4099,5573,0.62086,0.64616
2017,East,No,0.20495,1474,5573,0.19435,0.21555
2018,West,Yes,0.59946,14267,20032,0.59268,0.60625
2018,West,No,0.23096,5765,20032,0.22513,0.23680
2018,East,Yes,0.61496,4024,5472,0.60206,0.62785
2018,East,No,0.21957,1448,5472,0.20860,0.23054
2019,West,Yes,0.60518,14396,20049,0.59841,0.61194
2019,West,No,0.22038,5653,20049,0.21464,0.22612
2019,East,Yes,0.61883,4012,5529,0.60603,0.63163
2019,East,No,0.21904,1517,5529,0.20813,0.22994
2020,West,Yes,0.56014,14559,22610,0.55367,0.56661
2020,West,No,0.26611,8051,22610,0.26035,0.27187
2020,East,Yes,0.58466,3798,5685,0.57185,0.59747
2020,East,No,0.25329,1887,5685,0.24198,0.26459
2021,West,Yes,0.59179,9703,13528,0.58351,0.60008
2021,West,No,0.22852,3825,13528,0.22145,0.23560
2021,East,Yes,0.59658,2648,3617,0.58059,0.61257
2021,East,No,0.23416,969,3617,0.22036,0.24796
