year,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,Urban regions,No,0.26057,4617,14300,0.25338,0.26777
2004,Rural regions,Yes,0.57556,4905,7232,0.56417,0.58695
2004,Rural regions,No,0.26228,2327,7232,0.25214,0.27242
2005,Urban regions,Yes,0.58351,9509,13695,0.57526,0.59177
2005,Urban regions,No,0.25062,4186,13695,0.24336,0.25788
2005,Rural regions,Yes,0.57756,4752,6901,0.56591,0.58922
2005,Rural regions,No,0.25935,2149,6901,0.24901,0.26969
2006,Urban regions,Yes,0.57063,9887,14410,0.56254,0.57871
2006,Urban regions,No,0.26145,4523,14410,0.25427,0.26862
2006,Rural regions,Yes,0.57008,5120,7513,0.55889,0.58128
2006,Rural regions,No,0.26098,2393,7513,0.25105,0.27091
2007,Urban regions,Yes,0.58238,9423,13376,0.57402,0.59074
2007,Urban regions,No,0.24515,3953,13376,0.23786,0.25244
2007,Rural regions,Yes,0.58793,4953,7039,0.57644,0.59943
2007,Rural regions,No,0.24768,2086,7039,0.23760,0.25777
2008,Urban regions,Yes,0.58713,8943,12606,0.57853,0.59572
2008,Urban regions,No,0.24487,3663,12606,0.23737,0.25238
2008,Rural regions,Yes,0.58800,4645,6621,0.57614,0.59986
2008,Rural regions,No,0.25089,1976,6621,0.24044,0.26133
2009,Urban regions,Yes,0.60211,8451,11636,0.59321,0.61100
2009,Urban regions,No,0.23614,3185,11636,0.22842,0.24386
2009,Rural regions,Yes,0.59334,4560,6299,0.58121,0.60547
2009,Rural regions,No,0.24776,1739,6299,0.23709,0.25842
2010,Urban regions,Yes,0.58878,10664,15529,0.58104,0.59652
2010,Urban regions,No,0.24717,4865,15529,0.24039,0.25395
2010,Rural regions,Yes,0.60281,5738,8289,0.59227,0.61334
2010,Rural regions,No,0.23698,2551,8289,0.22783,0.24614
2011,Urban regions,Yes,0.59566,12873,18118,0.58852,0.60281
2011,Urban regions,No,0.23671,5245,18118,0.23052,0.24290
2011,Rural regions,Yes,0.61295,7117,10194,0.60350,0.62241
2011,Rural regions,No,0.22715,3077,10194,0.21902,0.23529
2012,Urban regions,Yes,0.59729,12428,17434,0.59001,0.60457
2012,Urban regions,No,0.23565,5006,17434,0.22935,0.24195
2012,Rural regions,Yes,0.59912,7068,10097,0.58956,0.60868
2012,Rural regions,No,0.24229,3029,10097,0.23393,0.25065
2013,Urban regions,Yes,0.56541,11888,16275,0.55780,0.57303
2013,Urban regions,No,0.18660,4387,16275,0.18061,0.19259
2013,Rural regions,Yes,0.59147,6763,9370,0.58152,0.60142
2013,Rural regions,No,0.21361,2607,9370,0.20531,0.22191
2014,Urban regions,Yes,0.59770,12333,17562,0.59045,0.60496
2014,Urban regions,No,0.23763,5229,17562,0.23133,0.24392
2014,Rural regions,Yes,0.61008,6622,9418,0.60023,0.61993
2014,Rural regions,No,0.24024,2796,9418,0.23161,0.24887
2015,Urban regions,Yes,0.58582,11349,16121,0.57822,0.59343
2015,Urban regions,No,0.23010,4772,16121,0.22360,0.23659
2015,Rural regions,Yes,0.60705,6257,8839,0.59687,0.61723
2015,Rural regions,No,0.22489,2582,8839,0.21619,0.23360
2016,Urban regions,Yes,0.58888,10864,15601,0.58116,0.59660
2016,Urban regions,No,0.23758,4737,15601,0.23090,0.24426
2016,Rural regions,Yes,0.58964,5867,8454,0.57915,0.60013
2016,Rural regions,No,0.24341,2587,8454,0.23427,0.25256
2017,Urban regions,Yes,0.60186,12203,17006,0.59450,0.60922
2017,Urban regions,No,0.22329,4803,17006,0.21703,0.22955
2017,Rural regions,Yes,0.61369,6720,9338,0.60382,0.62357
2017,Rural regions,No,0.21751,2618,9338,0.20914,0.22587
2018,Urban regions,Yes,0.59914,11875,16559,0.59168,0.60661
2018,Urban regions,No,0.23032,4684,16559,0.22391,0.23673
2018,Rural regions,Yes,0.60870,6416,8945,0.59859,0.61881
2018,Rural regions,No,0.22611,2529,8945,0.21744,0.23478
2019,Urban regions,Yes,0.60306,11775,16318,0.59555,0.61056
2019,Urban regions,No,0.22306,4543,16318,0.21667,0.22945
2019,Rural regions,Yes,0.61586,6262,8782,0.60569,0.62603
2019,Rural regions,No,0.21411,2520,8782,0.20553,0.22269
2020,Urban regions,Yes,0.56389,12247,18956,0.55683,0.57095
2020,Urban regions,No,0.26483,6709,18956,0.25855,0.27111
2020,Rural regions,Yes,0.56535,6110,9339,0.55530,0.57540
2020,Rural regions,No,0.26192,3229,9339,0.25300,0.27084
2021,Urban regions,Yes,0.59487,8245,11350,0.58584,0.60390
2021,Urban regions,No,0.22279,3105,11350,0.21513,0.23045
2021,Rural regions,Yes,0.58749,4105,5794,0.57482,0.60017
2021,Rural regions,No,0.24392,1689,5794,0.23286,0.25498
