year,migback,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,No migration background,No,0.23579,5878,19785,0.22988,0.24171
2010,Direct migration background,Yes,0.63760,1832,2937,0.62022,0.65499
2010,Direct migration background,No,0.33049,1105,2937,0.31347,0.34750
2010,Indirect migration background,Yes,0.26526,663,1096,0.23911,0.29141
2010,Indirect migration background,No,0.19550,433,1096,0.17201,0.21899
2011,No migration background,Yes,0.62232,17000,23765,0.61616,0.62849
2011,No migration background,No,0.22886,6765,23765,0.22352,0.23420
2011,Direct migration background,Yes,0.66343,2203,3293,0.64729,0.67958
2011,Direct migration background,No,0.30113,1090,3293,0.28546,0.31680
2011,Indirect migration background,Yes,0.27665,787,1254,0.25188,0.30142
2011,Indirect migration background,No,0.18236,467,1254,0.16098,0.20374
2012,No migration background,Yes,0.61774,16661,23192,0.61148,0.62399
2012,No migration background,No,0.23421,6531,23192,0.22876,0.23967
2012,Direct migration background,Yes,0.67285,2066,3125,0.65640,0.68930
2012,Direct migration background,No,0.29226,1059,3125,0.27631,0.30821
2012,Indirect migration background,Yes,0.27044,769,1214,0.24544,0.29544
2012,Indirect migration background,No,0.19035,445,1214,0.16826,0.21244
2013,No migration background,Yes,0.63954,15965,21708,0.63316,0.64593
2013,No migration background,No,0.21259,5743,21708,0.20715,0.21804
2013,Direct migration background,Yes,0.40112,1912,2793,0.38294,0.41930
2013,Direct migration background,No,0.15497,881,2793,0.14155,0.16839
2013,Indirect migration background,Yes,0.19307,774,1144,0.17019,0.21596
2013,Indirect migration background,No,0.08833,370,1144,0.07188,0.10478
2014,No migration background,Yes,0.62544,14379,20062,0.61874,0.63214
2014,No migration background,No,0.23311,5683,20062,0.22726,0.23896
2014,Direct migration background,Yes,0.65464,3473,5209,0.64173,0.66756
2014,Direct migration background,No,0.30756,1736,5209,0.29502,0.32009
2014,Indirect migration background,Yes,0.29958,1103,1709,0.27785,0.32130
2014,Indirect migration background,No,0.18660,606,1709,0.16812,0.20508
2015,No migration background,Yes,0.62699,13679,19000,0.62011,0.63386
2015,No migration background,No,0.22891,5321,19000,0.22294,0.23488
2015,Direct migration background,Yes,0.56749,2911,4405,0.55286,0.58212
2015,Direct migration background,No,0.26581,1494,4405,0.25276,0.27885
2015,Indirect migration background,Yes,0.31188,1016,1555,0.28885,0.33491
2015,Indirect migration background,No,0.16604,539,1555,0.14754,0.18455
2016,No migration background,Yes,0.61747,12626,17723,0.61031,0.62463
2016,No migration background,No,0.23643,5097,17723,0.23018,0.24269
2016,Direct migration background,Yes,0.60427,3184,4866,0.59053,0.61801
2016,Direct migration background,No,0.29403,1682,4866,0.28122,0.30683
2016,Indirect migration background,Yes,0.31600,921,1466,0.29220,0.33981
2016,Indirect migration background,No,0.18166,545,1466,0.16191,0.20140
2017,No migration background,Yes,0.63459,14674,20071,0.62792,0.64125
2017,No migration background,No,0.22016,5397,20071,0.21443,0.22589
2017,Direct migration background,Yes,0.62075,3172,4666,0.60683,0.63468
2017,Direct migration background,No,0.26777,1494,4666,0.25506,0.28048
2017,Indirect migration background,Yes,0.33751,1077,1607,0.31438,0.36064
2017,Indirect migration background,No,0.16269,530,1607,0.14463,0.18074
2018,No migration background,Yes,0.63553,14201,19392,0.62875,0.64230
2018,No migration background,No,0.22349,5191,19392,0.21763,0.22936
2018,Direct migration background,Yes,0.60255,3045,4496,0.58824,0.61685
2018,Direct migration background,No,0.28677,1451,4496,0.27355,0.29999
2018,Indirect migration background,Yes,0.32824,1045,1616,0.30534,0.35114
2018,Indirect migration background,No,0.18660,571,1616,0.16760,0.20560
2019,No migration background,Yes,0.63737,14709,20129,0.63073,0.64401
2019,No migration background,No,0.21741,5420,20129,0.21171,0.22310
2019,Direct migration background,Yes,0.62953,2725,3956,0.61448,0.64458
2019,Direct migration background,No,0.26745,1231,3956,0.25365,0.28124
2019,Indirect migration background,Yes,0.33893,1031,1569,0.31550,0.36236
2019,Indirect migration background,No,0.17264,538,1569,0.15393,0.19135
2020,No migration background,Yes,0.59716,12910,18485,0.59009,0.60423
2020,No migration background,No,0.25337,5575,18485,0.24710,0.25964
2020,Direct migration background,Yes,0.56225,4537,8278,0.55156,0.57294
2020,Direct migration background,No,0.36280,3741,8278,0.35244,0.37316
2020,Indirect migration background,Yes,0.28780,910,1532,0.26513,0.31048
2020,Indirect migration background,No,0.21223,622,1532,0.19175,0.23271
2021,No migration background,Yes,0.62954,9802,13208,0.62131,0.63778
2021,No migration background,No,0.22660,3406,13208,0.21946,0.23374
2021,Direct migration background,Yes,0.57805,1924,3000,0.56038,0.59573
2021,Direct migration background,No,0.29023,1076,3000,0.27399,0.30648
2021,Indirect migration background,Yes,0.31236,625,937,0.28267,0.34205
2021,Indirect migration background,No,0.16458,312,937,0.14082,0.18833
