year,age_gr,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,66 and older,4th Quintile,No,0.16041,32,208,0.11042,0.21041
1984,66 and older,5th Quintile,Yes,0.82736,162,195,0.77417,0.88054
1984,66 and older,5th Quintile,No,0.17264,33,195,0.11946,0.22583
1985,17-29 y.,1st Quintile,Yes,0.65932,471,776,0.62595,0.69269
1985,17-29 y.,1st Quintile,No,0.34068,305,776,0.30731,0.37405
1985,17-29 y.,2nd Quintile,Yes,0.67507,377,590,0.63724,0.71289
1985,17-29 y.,2nd Quintile,No,0.32493,213,590,0.28711,0.36276
1985,17-29 y.,3rd Quintile,Yes,0.64740,413,649,0.61062,0.68419
1985,17-29 y.,3rd Quintile,No,0.35260,236,649,0.31581,0.38938
1985,17-29 y.,4th Quintile,Yes,0.64106,401,630,0.60358,0.67855
1985,17-29 y.,4th Quintile,No,0.35894,229,630,0.32145,0.39642
1985,17-29 y.,5th Quintile,Yes,0.65612,312,492,0.61410,0.69813
1985,17-29 y.,5th Quintile,No,0.34388,180,492,0.30187,0.38590
1985,30-45 y.,1st Quintile,Yes,0.61589,423,682,0.57936,0.65242
1985,30-45 y.,1st Quintile,No,0.38411,259,682,0.34758,0.42064
1985,30-45 y.,2nd Quintile,Yes,0.65641,476,740,0.62217,0.69065
1985,30-45 y.,2nd Quintile,No,0.34359,264,740,0.30935,0.37783
1985,30-45 y.,3rd Quintile,Yes,0.67176,431,649,0.63561,0.70792
1985,30-45 y.,3rd Quintile,No,0.32824,218,649,0.29208,0.36439
1985,30-45 y.,4th Quintile,Yes,0.60955,417,674,0.57269,0.64640
1985,30-45 y.,4th Quintile,No,0.39045,257,674,0.35360,0.42731
1985,30-45 y.,5th Quintile,Yes,0.64337,464,728,0.60855,0.67819
1985,30-45 y.,5th Quintile,No,0.35663,264,728,0.32181,0.39145
1985,46-65 y.,1st Quintile,Yes,0.78051,399,535,0.74541,0.81562
1985,46-65 y.,1st Quintile,No,0.21949,136,535,0.18438,0.25459
1985,46-65 y.,2nd Quintile,Yes,0.76251,423,573,0.72764,0.79739
1985,46-65 y.,2nd Quintile,No,0.23749,150,573,0.20261,0.27236
1985,46-65 y.,3rd Quintile,Yes,0.78223,526,683,0.75125,0.81320
1985,46-65 y.,3rd Quintile,No,0.21777,157,683,0.18680,0.24875
1985,46-65 y.,4th Quintile,Yes,0.74651,540,724,0.71481,0.77822
1985,46-65 y.,4th Quintile,No,0.25349,184,724,0.22178,0.28519
1985,46-65 y.,5th Quintile,Yes,0.71845,568,786,0.68699,0.74991
1985,46-65 y.,5th Quintile,No,0.28155,218,786,0.25009,0.31301
1985,66 and older,1st Quintile,Yes,0.88545,225,256,0.84636,0.92454
1985,66 and older,1st Quintile,No,0.11455,31,256,0.07546,0.15364
1985,66 and older,2nd Quintile,Yes,0.85101,217,255,0.80722,0.89481
1985,66 and older,2nd Quintile,No,0.14899,38,255,0.10519,0.19278
1985,66 and older,3rd Quintile,Yes,0.85400,191,225,0.80776,0.90024
1985,66 and older,3rd Quintile,No,0.14600,34,225,0.09976,0.19224
1985,66 and older,4th Quintile,Yes,0.84954,173,173,0.79611,0.90297
1985,66 and older,5th Quintile,Yes,0.83993,143,143,0.77962,0.90024
1986,17-29 y.,1st Quintile,Yes,0.69057,411,662,0.65533,0.72581
1986,17-29 y.,1st Quintile,No,0.30943,251,662,0.27419,0.34467
1986,17-29 y.,2nd Quintile,Yes,0.63007,369,609,0.59170,0.66845
1986,17-29 y.,2nd Quintile,No,0.36960,240,609,0.33123,0.40797
1986,17-29 y.,3rd Quintile,Yes,0.70263,405,615,0.66647,0.73878
1986,17-29 y.,3rd Quintile,No,0.29695,210,615,0.26081,0.33309
1986,17-29 y.,4th Quintile,Yes,0.69681,449,664,0.66182,0.73180
1986,17-29 y.,4th Quintile,No,0.30319,215,664,0.26820,0.33818
1986,17-29 y.,5th Quintile,Yes,0.68712,334,499,0.64640,0.72785
1986,17-29 y.,5th Quintile,No,0.31288,165,499,0.27215,0.35360
1986,30-45 y.,1st Quintile,Yes,0.66819,388,603,0.63058,0.70580
1986,30-45 y.,1st Quintile,No,0.33181,215,603,0.29420,0.36942
1986,30-45 y.,2nd Quintile,Yes,0.66552,462,686,0.63019,0.70085
1986,30-45 y.,2nd Quintile,No,0.33448,224,686,0.29915,0.36981
1986,30-45 y.,3rd Quintile,Yes,0.65378,439,658,0.61740,0.69016
1986,30-45 y.,3rd Quintile,No,0.34622,219,658,0.30984,0.38260
1986,30-45 y.,4th Quintile,Yes,0.67114,431,642,0.63477,0.70751
1986,30-45 y.,4th Quintile,No,0.32886,211,642,0.29249,0.36523
1986,30-45 y.,5th Quintile,Yes,0.66689,441,680,0.63143,0.70234
1986,30-45 y.,5th Quintile,No,0.33311,239,680,0.29766,0.36857
1986,46-65 y.,1st Quintile,Yes,0.79402,429,553,0.76028,0.82776
1986,46-65 y.,1st Quintile,No,0.20598,124,553,0.17224,0.23972
1986,46-65 y.,2nd Quintile,Yes,0.76059,404,539,0.72453,0.79665
1986,46-65 y.,2nd Quintile,No,0.23941,135,539,0.20335,0.27547
1986,46-65 y.,3rd Quintile,Yes,0.77298,482,622,0.74003,0.80593
1986,46-65 y.,3rd Quintile,No,0.22702,140,622,0.19407,0.25997
1986,46-65 y.,4th Quintile,Yes,0.75889,555,744,0.72814,0.78965
1986,46-65 y.,4th Quintile,No,0.24111,189,744,0.21035,0.27186
1986,46-65 y.,5th Quintile,Yes,0.74990,571,770,0.71929,0.78051
1986,46-65 y.,5th Quintile,No,0.25010,199,770,0.21949,0.28071
1986,66 and older,1st Quintile,Yes,0.85673,216,253,0.81347,0.89999
1986,66 and older,1st Quintile,No,0.14327,37,253,0.10001,0.18653
1986,66 and older,2nd Quintile,Yes,0.83482,207,247,0.78841,0.88122
1986,66 and older,2nd Quintile,No,0.16518,40,247,0.11878,0.21159
1986,66 and older,3rd Quintile,Yes,0.87008,186,186,0.82163,0.91853
1986,66 and older,4th Quintile,Yes,0.90299,146,146,0.85481,0.95116
1986,66 and older,5th Quintile,Yes,0.87114,131,131,0.81354,0.92874
1987,17-29 y.,1st Quintile,Yes,0.66225,392,644,0.62569,0.69880
1987,17-29 y.,1st Quintile,No,0.33702,252,644,0.30048,0.37356
1987,17-29 y.,2nd Quintile,Yes,0.68694,402,619,0.65038,0.72350
1987,17-29 y.,2nd Quintile,No,0.31272,217,619,0.27617,0.34927
1987,17-29 y.,3rd Quintile,Yes,0.67443,388,608,0.63715,0.71171
1987,17-29 y.,3rd Quintile,No,0.32557,220,608,0.28829,0.36285
1987,17-29 y.,4th Quintile,Yes,0.65159,419,654,0.61505,0.68814
1987,17-29 y.,4th Quintile,No,0.34601,235,654,0.30952,0.38250
1987,17-29 y.,5th Quintile,Yes,0.69192,319,481,0.65061,0.73322
1987,17-29 y.,5th Quintile,No,0.30808,162,481,0.26678,0.34939
1987,30-45 y.,1st Quintile,Yes,0.60904,338,558,0.56852,0.64957
1987,30-45 y.,1st Quintile,No,0.39096,220,558,0.35043,0.43148
1987,30-45 y.,2nd Quintile,Yes,0.64761,432,660,0.61113,0.68408
1987,30-45 y.,2nd Quintile,No,0.35239,228,660,0.31592,0.38887
1987,30-45 y.,3rd Quintile,Yes,0.64415,419,647,0.60723,0.68107
1987,30-45 y.,3rd Quintile,No,0.35585,228,647,0.31893,0.39277
1987,30-45 y.,4th Quintile,Yes,0.67637,417,620,0.63952,0.71323
1987,30-45 y.,4th Quintile,No,0.32363,203,620,0.28677,0.36048
1987,30-45 y.,5th Quintile,Yes,0.63547,435,682,0.59932,0.67162
1987,30-45 y.,5th Quintile,No,0.36453,247,682,0.32838,0.40068
1987,46-65 y.,1st Quintile,Yes,0.75827,374,516,0.72129,0.79525
1987,46-65 y.,1st Quintile,No,0.24173,142,516,0.20475,0.27871
1987,46-65 y.,2nd Quintile,Yes,0.77111,403,541,0.73567,0.80654
1987,46-65 y.,2nd Quintile,No,0.22889,138,541,0.19346,0.26433
1987,46-65 y.,3rd Quintile,Yes,0.77243,473,634,0.73977,0.80509
1987,46-65 y.,3rd Quintile,No,0.22757,161,634,0.19491,0.26023
1987,46-65 y.,4th Quintile,Yes,0.76821,568,750,0.73799,0.79843
1987,46-65 y.,4th Quintile,No,0.23179,182,750,0.20157,0.26201
1987,46-65 y.,5th Quintile,Yes,0.75738,577,767,0.72702,0.78774
1987,46-65 y.,5th Quintile,No,0.24262,190,767,0.21226,0.27298
1987,66 and older,1st Quintile,Yes,0.88125,273,311,0.84524,0.91726
1987,66 and older,1st Quintile,No,0.11875,38,311,0.08274,0.15476
1987,66 and older,2nd Quintile,Yes,0.84655,189,229,0.79977,0.89333
1987,66 and older,2nd Quintile,No,0.15345,40,229,0.10667,0.20023
1987,66 and older,3rd Quintile,Yes,0.87245,184,184,0.82411,0.92078
1987,66 and older,4th Quintile,Yes,0.87354,146,146,0.81944,0.92764
1987,66 and older,5th Quintile,Yes,0.88139,130,130,0.82559,0.93718
1988,17-29 y.,1st Quintile,Yes,0.61290,346,637,0.57504,0.65076
1988,17-29 y.,1st Quintile,No,0.38616,291,637,0.34832,0.42400
1988,17-29 y.,2nd Quintile,Yes,0.57070,317,561,0.52970,0.61169
1988,17-29 y.,2nd Quintile,No,0.42778,244,561,0.38681,0.46876
1988,17-29 y.,3rd Quintile,Yes,0.61572,356,605,0.57693,0.65452
1988,17-29 y.,3rd Quintile,No,0.38355,249,605,0.34478,0.42233
1988,17-29 y.,4th Quintile,Yes,0.59210,377,626,0.55357,0.63063
1988,17-29 y.,4th Quintile,No,0.40790,249,626,0.36937,0.44643
1988,17-29 y.,5th Quintile,Yes,0.63993,266,434,0.59472,0.68515
1988,17-29 y.,5th Quintile,No,0.35616,168,434,0.31106,0.40126
1988,30-45 y.,1st Quintile,Yes,0.61371,323,535,0.57241,0.65501
1988,30-45 y.,1st Quintile,No,0.38460,212,535,0.34333,0.42586
1988,30-45 y.,2nd Quintile,Yes,0.62973,395,644,0.59241,0.66705
1988,30-45 y.,2nd Quintile,No,0.36759,249,644,0.33032,0.40485
1988,30-45 y.,3rd Quintile,Yes,0.61231,364,595,0.57313,0.65150
1988,30-45 y.,3rd Quintile,No,0.38693,231,595,0.34776,0.42609
1988,30-45 y.,4th Quintile,Yes,0.57291,323,557,0.53179,0.61402
1988,30-45 y.,4th Quintile,No,0.42709,234,557,0.38598,0.46821
1988,30-45 y.,5th Quintile,Yes,0.58148,365,610,0.54230,0.62066
1988,30-45 y.,5th Quintile,No,0.41075,245,610,0.37167,0.44982
1988,46-65 y.,1st Quintile,Yes,0.76129,386,509,0.72422,0.79836
1988,46-65 y.,1st Quintile,No,0.23244,123,509,0.19570,0.26917
1988,46-65 y.,2nd Quintile,Yes,0.73242,379,510,0.69396,0.77088
1988,46-65 y.,2nd Quintile,No,0.26601,131,510,0.22762,0.30440
1988,46-65 y.,3rd Quintile,Yes,0.69803,439,620,0.66186,0.73420
1988,46-65 y.,3rd Quintile,No,0.29090,181,620,0.25512,0.32668
1988,46-65 y.,4th Quintile,Yes,0.73655,538,732,0.70461,0.76848
1988,46-65 y.,4th Quintile,No,0.26345,194,732,0.23152,0.29539
1988,46-65 y.,5th Quintile,Yes,0.65689,484,728,0.62238,0.69140
1988,46-65 y.,5th Quintile,No,0.33787,244,728,0.30349,0.37226
1988,66 and older,1st Quintile,Yes,0.83018,230,279,0.78604,0.87432
1988,66 and older,1st Quintile,No,0.16982,49,279,0.12568,0.21396
1988,66 and older,2nd Quintile,Yes,0.87220,227,263,0.83177,0.91263
1988,66 and older,2nd Quintile,No,0.12638,36,263,0.08615,0.16662
1988,66 and older,3rd Quintile,Yes,0.85371,150,150,0.79697,0.91045
1988,66 and older,4th Quintile,Yes,0.87668,137,137,0.82142,0.93194
1988,66 and older,5th Quintile,Yes,0.83460,129,129,0.77024,0.89897
1989,17-29 y.,1st Quintile,Yes,0.62525,366,640,0.58772,0.66279
1989,17-29 y.,1st Quintile,No,0.37126,274,640,0.33380,0.40872
1989,17-29 y.,2nd Quintile,Yes,0.60121,354,600,0.56199,0.64042
1989,17-29 y.,2nd Quintile,No,0.39630,246,600,0.35713,0.43548
1989,17-29 y.,3rd Quintile,Yes,0.61618,324,528,0.57466,0.65770
1989,17-29 y.,3rd Quintile,No,0.37916,204,528,0.33773,0.42058
1989,17-29 y.,4th Quintile,Yes,0.63788,399,628,0.60026,0.67550
1989,17-29 y.,4th Quintile,No,0.36212,229,628,0.32450,0.39974
1989,17-29 y.,5th Quintile,Yes,0.68967,287,422,0.64547,0.73386
1989,17-29 y.,5th Quintile,No,0.31033,135,422,0.26614,0.35453
1989,30-45 y.,1st Quintile,Yes,0.60406,314,507,0.56144,0.64667
1989,30-45 y.,1st Quintile,No,0.38823,193,507,0.34576,0.43069
1989,30-45 y.,2nd Quintile,Yes,0.61273,378,615,0.57420,0.65126
1989,30-45 y.,2nd Quintile,No,0.38702,237,615,0.34849,0.42555
1989,30-45 y.,3rd Quintile,Yes,0.61408,368,590,0.57476,0.65339
1989,30-45 y.,3rd Quintile,No,0.37920,222,590,0.34001,0.41838
1989,30-45 y.,4th Quintile,Yes,0.61748,334,532,0.57614,0.65882
1989,30-45 y.,4th Quintile,No,0.37928,198,532,0.33801,0.42055
1989,30-45 y.,5th Quintile,Yes,0.57254,348,588,0.53252,0.61256
1989,30-45 y.,5th Quintile,No,0.42581,240,588,0.38581,0.46581
1989,46-65 y.,1st Quintile,Yes,0.77765,349,477,0.74030,0.81501
1989,46-65 y.,1st Quintile,No,0.21484,128,477,0.17794,0.25173
1989,46-65 y.,2nd Quintile,Yes,0.70257,368,527,0.66350,0.74163
1989,46-65 y.,2nd Quintile,No,0.29116,159,527,0.25233,0.32998
1989,46-65 y.,3rd Quintile,Yes,0.72898,421,584,0.69290,0.76506
1989,46-65 y.,3rd Quintile,No,0.26903,163,584,0.23304,0.30503
1989,46-65 y.,4th Quintile,Yes,0.73309,511,711,0.70055,0.76563
1989,46-65 y.,4th Quintile,No,0.26151,200,711,0.22918,0.29383
1989,46-65 y.,5th Quintile,Yes,0.70726,465,671,0.67281,0.74172
1989,46-65 y.,5th Quintile,No,0.29150,206,671,0.25709,0.32592
1989,66 and older,1st Quintile,Yes,0.83864,236,285,0.79586,0.88142
1989,66 and older,1st Quintile,No,0.15639,49,285,0.11415,0.19864
1989,66 and older,2nd Quintile,Yes,0.82992,176,210,0.77898,0.88086
1989,66 and older,2nd Quintile,No,0.15413,34,210,0.10518,0.20309
1989,66 and older,3rd Quintile,Yes,0.90159,167,167,0.85627,0.94690
1989,66 and older,4th Quintile,Yes,0.85427,135,135,0.79453,0.91401
1989,66 and older,5th Quintile,Yes,0.87027,143,143,0.81501,0.92554
1991,17-29 y.,1st Quintile,Yes,0.62268,354,598,0.58379,0.66156
1991,17-29 y.,1st Quintile,No,0.36887,244,598,0.33016,0.40757
1991,17-29 y.,2nd Quintile,Yes,0.66731,337,543,0.62764,0.70698
1991,17-29 y.,2nd Quintile,No,0.32483,206,543,0.28540,0.36425
1991,17-29 y.,3rd Quintile,Yes,0.68951,354,548,0.65074,0.72829
1991,17-29 y.,3rd Quintile,No,0.31024,194,548,0.27147,0.34901
1991,17-29 y.,4th Quintile,Yes,0.64330,360,561,0.60363,0.68298
1991,17-29 y.,4th Quintile,No,0.35064,201,561,0.31112,0.39016
1991,17-29 y.,5th Quintile,Yes,0.69698,284,417,0.65282,0.74114
1991,17-29 y.,5th Quintile,No,0.30256,133,417,0.25842,0.34671
1991,30-45 y.,1st Quintile,Yes,0.64758,285,452,0.60349,0.69167
1991,30-45 y.,1st Quintile,No,0.34491,167,452,0.30104,0.38878
1991,30-45 y.,2nd Quintile,Yes,0.65480,396,627,0.61756,0.69205
1991,30-45 y.,2nd Quintile,No,0.34294,231,627,0.30575,0.38012
1991,30-45 y.,3rd Quintile,Yes,0.64610,389,600,0.60781,0.68440
1991,30-45 y.,3rd Quintile,No,0.35347,211,600,0.31519,0.39175
1991,30-45 y.,4th Quintile,Yes,0.65847,338,517,0.61755,0.69939
1991,30-45 y.,4th Quintile,No,0.33867,179,517,0.29783,0.37950
1991,30-45 y.,5th Quintile,Yes,0.55085,347,609,0.51131,0.59038
1991,30-45 y.,5th Quintile,No,0.44492,262,609,0.40542,0.48442
1991,46-65 y.,1st Quintile,Yes,0.77824,356,472,0.74072,0.81576
1991,46-65 y.,1st Quintile,No,0.21987,116,472,0.18247,0.25727
1991,46-65 y.,2nd Quintile,Yes,0.76570,352,466,0.72720,0.80419
1991,46-65 y.,2nd Quintile,No,0.22125,114,466,0.18352,0.25897
1991,46-65 y.,3rd Quintile,Yes,0.74625,408,561,0.71021,0.78229
1991,46-65 y.,3rd Quintile,No,0.25007,153,561,0.21420,0.28593
1991,46-65 y.,4th Quintile,Yes,0.76042,520,675,0.72820,0.79265
1991,46-65 y.,4th Quintile,No,0.22801,155,675,0.19634,0.25968
1991,46-65 y.,5th Quintile,Yes,0.71480,466,654,0.68017,0.74943
1991,46-65 y.,5th Quintile,No,0.27744,188,654,0.24310,0.31179
1991,66 and older,1st Quintile,Yes,0.88801,269,305,0.85256,0.92346
1991,66 and older,1st Quintile,No,0.10733,36,305,0.07254,0.14213
1991,66 and older,2nd Quintile,Yes,0.80953,198,242,0.75995,0.85911
1991,66 and older,2nd Quintile,No,0.19047,44,242,0.14089,0.24005
1991,66 and older,3rd Quintile,Yes,0.89378,166,166,0.84676,0.94079
1991,66 and older,4th Quintile,Yes,0.86484,152,152,0.81030,0.91937
1991,66 and older,5th Quintile,Yes,0.88247,129,129,0.82668,0.93827
1992,17-29 y.,1st Quintile,Yes,0.57261,392,694,0.53578,0.60945
1992,17-29 y.,1st Quintile,No,0.42485,302,694,0.38805,0.46166
1992,17-29 y.,2nd Quintile,Yes,0.62579,474,804,0.59232,0.65926
1992,17-29 y.,2nd Quintile,No,0.36536,330,804,0.33205,0.39866
1992,17-29 y.,3rd Quintile,Yes,0.59638,451,756,0.56138,0.63138
1992,17-29 y.,3rd Quintile,No,0.38805,305,756,0.35329,0.42281
1992,17-29 y.,4th Quintile,Yes,0.60784,445,734,0.57249,0.64318
1992,17-29 y.,4th Quintile,No,0.38996,289,734,0.35465,0.42527
1992,17-29 y.,5th Quintile,Yes,0.66302,355,560,0.62384,0.70221
1992,17-29 y.,5th Quintile,No,0.33249,205,560,0.29344,0.37155
1992,30-45 y.,1st Quintile,Yes,0.58910,480,814,0.55528,0.62292
1992,30-45 y.,1st Quintile,No,0.40066,334,814,0.36698,0.43435
1992,30-45 y.,2nd Quintile,Yes,0.60494,630,1012,0.57480,0.63507
1992,30-45 y.,2nd Quintile,No,0.38383,382,1012,0.35385,0.41380
1992,30-45 y.,3rd Quintile,Yes,0.62816,569,890,0.59639,0.65993
1992,30-45 y.,3rd Quintile,No,0.36688,321,890,0.33520,0.39857
1992,30-45 y.,4th Quintile,Yes,0.63669,496,771,0.60272,0.67066
1992,30-45 y.,4th Quintile,No,0.35825,275,771,0.32438,0.39212
1992,30-45 y.,5th Quintile,Yes,0.65838,477,724,0.62381,0.69295
1992,30-45 y.,5th Quintile,No,0.32416,247,724,0.29004,0.35828
1992,46-65 y.,1st Quintile,Yes,0.76229,556,741,0.73161,0.79296
1992,46-65 y.,1st Quintile,No,0.22436,185,741,0.19431,0.25442
1992,46-65 y.,2nd Quintile,Yes,0.71665,500,708,0.68343,0.74987
1992,46-65 y.,2nd Quintile,No,0.26661,208,708,0.23402,0.29921
1992,46-65 y.,3rd Quintile,Yes,0.69670,538,763,0.66406,0.72934
1992,46-65 y.,3rd Quintile,No,0.27974,225,763,0.24787,0.31161
1992,46-65 y.,4th Quintile,Yes,0.71499,644,882,0.68518,0.74480
1992,46-65 y.,4th Quintile,No,0.26858,238,882,0.23931,0.29785
1992,46-65 y.,5th Quintile,Yes,0.71901,632,873,0.68918,0.74884
1992,46-65 y.,5th Quintile,No,0.27214,241,873,0.24260,0.30169
1992,66 and older,1st Quintile,Yes,0.85251,435,503,0.82149,0.88353
1992,66 and older,1st Quintile,No,0.12796,68,503,0.09873,0.15718
1992,66 and older,2nd Quintile,Yes,0.81650,241,291,0.77195,0.86105
1992,66 and older,2nd Quintile,No,0.16788,50,291,0.12486,0.21090
1992,66 and older,3rd Quintile,Yes,0.82339,194,228,0.77378,0.87300
1992,66 and older,3rd Quintile,No,0.16159,34,228,0.11371,0.20948
1992,66 and older,4th Quintile,Yes,0.87131,188,188,0.82331,0.91930
1992,66 and older,5th Quintile,Yes,0.86933,166,166,0.81790,0.92076
1994,17-29 y.,1st Quintile,Yes,0.70317,466,684,0.66891,0.73743
1994,17-29 y.,1st Quintile,No,0.29334,218,684,0.25919,0.32749
1994,17-29 y.,2nd Quintile,Yes,0.69117,479,697,0.65684,0.72549
1994,17-29 y.,2nd Quintile,No,0.30257,218,697,0.26844,0.33670
1994,17-29 y.,3rd Quintile,Yes,0.70570,496,717,0.67232,0.73909
1994,17-29 y.,3rd Quintile,No,0.29293,221,717,0.25959,0.32627
1994,17-29 y.,4th Quintile,Yes,0.74151,518,717,0.70944,0.77358
1994,17-29 y.,4th Quintile,No,0.25789,199,717,0.22585,0.28994
1994,17-29 y.,5th Quintile,Yes,0.70302,351,514,0.66348,0.74256
1994,17-29 y.,5th Quintile,No,0.29698,163,514,0.25744,0.33652
1994,30-45 y.,1st Quintile,Yes,0.69927,494,714,0.66561,0.73293
1994,30-45 y.,1st Quintile,No,0.29375,220,714,0.26032,0.32718
1994,30-45 y.,2nd Quintile,Yes,0.70915,670,941,0.68012,0.73819
1994,30-45 y.,2nd Quintile,No,0.29085,271,941,0.26181,0.31988
1994,30-45 y.,3rd Quintile,Yes,0.72855,708,935,0.70003,0.75707
1994,30-45 y.,3rd Quintile,No,0.26724,227,935,0.23886,0.29562
1994,30-45 y.,4th Quintile,Yes,0.70571,561,767,0.67344,0.73798
1994,30-45 y.,4th Quintile,No,0.28050,206,767,0.24868,0.31231
1994,30-45 y.,5th Quintile,Yes,0.73535,548,767,0.70411,0.76659
1994,30-45 y.,5th Quintile,No,0.25574,219,767,0.22485,0.28664
1994,46-65 y.,1st Quintile,Yes,0.80664,575,695,0.77726,0.83603
1994,46-65 y.,1st Quintile,No,0.17866,120,695,0.15015,0.20716
1994,46-65 y.,2nd Quintile,Yes,0.77394,514,669,0.74222,0.80566
1994,46-65 y.,2nd Quintile,No,0.22606,155,669,0.19434,0.25778
1994,46-65 y.,3rd Quintile,Yes,0.78494,600,762,0.75575,0.81413
1994,46-65 y.,3rd Quintile,No,0.20373,162,762,0.17511,0.23235
1994,46-65 y.,4th Quintile,Yes,0.81171,682,828,0.78506,0.83835
1994,46-65 y.,4th Quintile,No,0.18151,146,828,0.15524,0.20778
1994,46-65 y.,5th Quintile,Yes,0.78519,719,909,0.75848,0.81191
1994,46-65 y.,5th Quintile,No,0.20630,190,909,0.17998,0.23262
1994,66 and older,1st Quintile,Yes,0.88574,356,399,0.85449,0.91700
1994,66 and older,1st Quintile,No,0.10772,43,399,0.07726,0.13817
1994,66 and older,2nd Quintile,Yes,0.92825,363,363,0.90166,0.95483
1994,66 and older,3rd Quintile,Yes,0.88120,247,247,0.84077,0.92163
1994,66 and older,4th Quintile,Yes,0.87371,192,192,0.82660,0.92082
1994,66 and older,5th Quintile,Yes,0.91691,188,188,0.87735,0.95647
1995,17-29 y.,1st Quintile,Yes,0.60791,443,753,0.57302,0.64280
1995,17-29 y.,1st Quintile,No,0.37587,310,753,0.34125,0.41048
1995,17-29 y.,2nd Quintile,Yes,0.58979,426,715,0.55371,0.62587
1995,17-29 y.,2nd Quintile,No,0.40183,289,715,0.36587,0.43779
1995,17-29 y.,3rd Quintile,Yes,0.64359,447,689,0.60780,0.67938
1995,17-29 y.,3rd Quintile,No,0.34890,242,689,0.31329,0.38452
1995,17-29 y.,4th Quintile,Yes,0.63868,425,684,0.60265,0.67470
1995,17-29 y.,4th Quintile,No,0.35127,259,684,0.31547,0.38707
1995,17-29 y.,5th Quintile,Yes,0.62979,315,492,0.58708,0.67250
1995,17-29 y.,5th Quintile,No,0.36303,177,492,0.32049,0.40556
1995,30-45 y.,1st Quintile,Yes,0.62255,510,828,0.58951,0.65558
1995,30-45 y.,1st Quintile,No,0.35732,318,828,0.32466,0.38998
1995,30-45 y.,2nd Quintile,Yes,0.65467,649,1010,0.62533,0.68401
1995,30-45 y.,2nd Quintile,No,0.34026,361,1010,0.31103,0.36950
1995,30-45 y.,3rd Quintile,Yes,0.66666,633,952,0.63669,0.69662
1995,30-45 y.,3rd Quintile,No,0.32986,319,952,0.29998,0.35975
1995,30-45 y.,4th Quintile,Yes,0.62499,526,826,0.59196,0.65803
1995,30-45 y.,4th Quintile,No,0.36946,300,826,0.33652,0.40240
