year,age_gr,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1992,17-29 y.,female,944,36.70097,36.23599,37.37392,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1992,30-45 y.,male,1591,38.59087,38.31692,38.91108,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1992,30-45 y.,female,1304,31.13308,30.41758,31.86898,21.00000,37.50000,40.00000,0.6,60.5,37.5,37.50000,38.00000
1992,46-65 y.,male,1189,38.68646,38.44580,38.97686,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1992,46-65 y.,female,771,31.47385,30.56417,32.13608,23.06447,37.50000,39.00000,0.8,50.5,37.5,37.50000,38.01250
1992,66 and older,male,,,,,,,,,,,,
1992,66 and older,female,,,,,,,,,,,,
1993,0-16 y.,male,,,,,,,,,,,,
1993,0-16 y.,female,,,,,,,,,,,,
1993,17-29 y.,male,1075,38.49789,38.16893,38.80768,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1993,17-29 y.,female,919,36.27185,35.68590,36.80300,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1993,30-45 y.,male,1561,38.32646,38.10147,38.62027,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1993,30-45 y.,female,1274,31.27860,30.62466,31.92440,21.58116,37.50000,39.00000,0.0,60.0,37.5,37.50000,38.00000
1993,46-65 y.,male,1127,38.46854,38.19907,38.74491,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1993,46-65 y.,female,733,31.44148,30.48492,32.24565,22.50000,37.50000,38.79928,2.0,56.0,37.5,37.00000,38.00000
1993,66 and older,male,,,,,,,,,,,,
1993,66 and older,female,,,,,,,,,,,,
1994,0-16 y.,male,,,,,,,,,,,,
1994,0-16 y.,female,,,,,,,,,,,,
1994,17-29 y.,male,988,38.68226,38.26173,39.06858,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.00000,38.50000
1994,17-29 y.,female,878,35.98011,35.45109,36.66475,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1994,30-45 y.,male,1527,38.28483,38.01524,38.61906,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1994,30-45 y.,female,1230,30.60865,29.82809,31.30056,20.00000,37.00000,38.50000,0.6,66.25000,37.0,36.50000,38.01250
1994,46-65 y.,male,1071,38.50549,38.21999,38.78405,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1994,46-65 y.,female,743,31.53833,30.76931,32.28418,24.00000,37.50000,39.00000,1.50000,45.0,37.5,37.00000,38.00000
1994,66 and older,male,,,,,,,,,,,,
1994,66 and older,female,,,,,,,,,,,,
1995,0-16 y.,male,,,,,,,,,,,,
1995,0-16 y.,female,,,,,,,,,,,,
1995,17-29 y.,male,996,37.94644,37.55182,38.39147,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.00000,38.50000
1995,17-29 y.,female,887,35.59211,35.07420,36.21083,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1995,30-45 y.,male,1637,38.04747,37.72605,38.41123,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1995,30-45 y.,female,1307,30.24472,29.56868,30.94728,20.00000,36.00000,38.50000,2.5,60.0,36.0,35.00000,39.01250
1995,46-65 y.,male,1129,37.88051,37.43955,38.42376,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1995,46-65 y.,female,755,30.88944,30.10610,31.58957,22.50000,36.50000,39.00000,2.0,50.0,36.5,35.50000,38.00000
1995,66 and older,male,,,,,,,,,,,,
1995,66 and older,female,,,,,,,,,,,,
1996,0-16 y.,male,,,,,,,,,,,,
1996,0-16 y.,female,,,,,,,,,,,,
1996,17-29 y.,male,916,37.37608,36.87205,38.05092,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1996,17-29 y.,female,820,35.23904,34.46215,36.07941,36.00000,38.50000,40.00000,30.00000,46.00000,38.5,38.50000,38.50000
1996,30-45 y.,male,1629,38.19975,37.95446,38.45906,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1996,30-45 y.,female,1309,30.43218,29.67497,31.14355,20.00000,35.55740,38.50000,2.0,56.0,35.5,33.69500,36.00000
1996,46-65 y.,male,1049,38.02807,37.62006,38.44432,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1996,46-65 y.,female,758,30.84886,29.81769,31.66663,22.26033,36.00000,38.50000,0.5,50.0,36.0,34.50000,37.00000
1996,66 and older,male,,,,,,,,,,,,
1996,66 and older,female,,,,,,,,,,,,
1997,0-16 y.,male,,,,,,,,,,,,
1997,0-16 y.,female,,,,,,,,,,,,
1997,17-29 y.,male,864,38.04744,37.60619,38.52555,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.00000,38.50000
1997,17-29 y.,female,750,35.19977,34.24578,36.08455,37.00000,38.50000,40.00000,32.50000,44.50000,38.5,38.50000,38.50000
1997,30-45 y.,male,1557,38.11425,37.89328,38.40195,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1997,30-45 y.,female,1230,30.73074,30.00236,31.42303,20.00000,37.00000,38.50000,2.0,65.0,37.0,36.50000,39.00000
1997,46-65 y.,male,987,37.91355,37.39295,38.29400,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1997,46-65 y.,female,745,30.95129,30.05995,31.88461,23.97655,36.00000,38.50000,2.19138,48.8,36.0,34.50000,37.00000
1997,66 and older,male,,,,,,,,,,,,
1997,66 and older,female,,,,,,,,,,,,
1998,0-16 y.,male,,,,,,,,,,,,
1998,0-16 y.,female,,,,,,,,,,,,
1998,17-29 y.,male,899,37.15466,36.63135,37.72330,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1998,17-29 y.,female,770,35.25235,34.60617,36.03601,36.00000,38.50000,40.00000,30.00000,46.00000,38.5,38.50000,38.50000
1998,30-45 y.,male,1736,38.18226,37.90019,38.45456,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1998,30-45 y.,female,1363,30.37855,29.59821,31.09867,20.00000,36.00000,38.50000,2.0,56.0,36.0,34.50000,37.00000
1998,46-65 y.,male,1094,37.92182,37.61260,38.21809,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1998,46-65 y.,female,861,30.81109,30.10584,31.53823,24.00000,35.00000,38.50000,3.0,57.0,35.0,34.00000,37.00000
1998,66 and older,male,,,,,,,,,,,,
1998,66 and older,female,,,,,,,,,,,,
1999,0-16 y.,male,,,,,,,,,,,,
1999,0-16 y.,female,,,,,,,,,,,,
1999,17-29 y.,male,871,37.07011,36.30985,37.77695,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.00000,38.50000
1999,17-29 y.,female,765,35.53130,34.88928,36.25978,37.00000,38.50000,40.00000,32.50000,44.50000,38.5,38.50000,38.50000
1999,30-45 y.,male,1734,38.43672,38.19223,38.65512,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1999,30-45 y.,female,1408,29.83962,29.12030,30.57858,20.00000,35.00000,38.50000,2.0,56.0,35.0,33.00000,35.00000
1999,46-65 y.,male,1057,38.14580,37.81535,38.48796,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1999,46-65 y.,female,851,30.52026,29.73139,31.25555,22.00000,35.00000,38.50000,2.0,60.0,35.0,33.50000,38.02500
1999,66 and older,male,,,,,,,,,,,,
1999,66 and older,female,,,,,,,,,,,,
2000,0-16 y.,male,,,,,,,,,,,,
2000,0-16 y.,female,,,,,,,,,,,,
2000,17-29 y.,male,1246,37.73015,37.35498,38.05213,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,39.00000,39.50000
2000,17-29 y.,female,1146,34.84658,34.30983,35.46541,35.00000,38.50000,40.00000,27.50000,47.50000,38.5,38.50000,38.50000
2000,30-45 y.,male,2938,38.41596,38.25100,38.60355,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2000,30-45 y.,female,2373,29.91541,29.50491,30.40878,20.00000,35.00000,38.50000,1.5,66.25000,35.0,35.00000,38.00000
2000,46-65 y.,male,1872,37.92655,37.67205,38.18439,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2000,46-65 y.,female,1525,30.19125,29.62331,30.74182,21.00000,35.00000,38.50000,1.0,60.0,35.0,35.00000,38.00000
2000,66 and older,male,,,,,,,,,,,,
2000,66 and older,female,,,,,,,,,,,,
2001,0-16 y.,male,,,,,,,,,,,,
2001,0-16 y.,female,,,,,,,,,,,,
2001,17-29 y.,male,1120,37.28587,36.86786,37.70670,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,39.00000,39.50000
2001,17-29 y.,female,1052,34.28446,33.61361,35.13802,35.00000,38.50000,40.00000,27.50000,47.50000,38.5,38.50000,39.00000
2001,30-45 y.,male,2630,38.37662,38.16466,38.59777,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2001,30-45 y.,female,2301,29.54655,29.08219,30.06873,20.00000,35.00000,38.50000,1.0,56.0,35.0,35.00000,38.00000
2001,46-65 y.,male,1780,37.79058,37.52680,38.05725,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2001,46-65 y.,female,1508,29.73144,29.17768,30.39980,20.00000,35.00000,38.50000,1.0,54.0,35.0,35.00000,40.00000
2001,66 and older,male,,,,,,,,,,,,
2001,66 and older,female,,,,,,,,,,,,
2002,0-16 y.,male,,,,,,,,,,,,
2002,0-16 y.,female,,,,,,,,,,,,
2002,17-29 y.,male,1025,37.67231,37.17721,38.27423,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,38.00000,39.50000
2002,17-29 y.,female,1001,35.32851,34.46584,36.02656,36.00000,38.50000,40.00000,30.00000,46.00000,38.5,38.50000,38.50000
2002,30-45 y.,male,2555,38.52154,38.31202,38.73234,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2002,30-45 y.,female,2305,29.04711,28.51641,29.63376,20.00000,32.00000,38.50000,1.0,56.0,32.0,29.00000,34.00000
2002,46-65 y.,male,1927,37.90242,37.59535,38.18471,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2002,46-65 y.,female,1682,29.30091,28.54509,30.00488,20.00000,32.00000,38.50000,1.0,60.0,32.0,29.00000,34.00000
2002,66 and older,male,,,,,,,,,,,,
2002,66 and older,female,,,,,,,,,,,,
2003,0-16 y.,male,,,,,,,,,,,,
2003,0-16 y.,female,,,,,,,,,,,,
2003,17-29 y.,male,996,36.78830,36.17415,37.34475,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.00000,38.50000
2003,17-29 y.,female,987,33.66569,32.85155,34.64074,33.00000,38.50000,40.00000,22.50000,50.50000,38.5,38.50000,39.00000
2003,30-45 y.,male,2370,38.16173,37.93618,38.41300,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2003,30-45 y.,female,2238,28.67936,28.10327,29.46205,20.00000,30.00000,38.50000,1.5,50.0,30.0,26.00000,30.00000
2003,46-65 y.,male,1935,37.83995,37.53064,38.11931,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2003,46-65 y.,female,1698,29.08421,28.41419,29.72647,20.00000,31.27100,38.50000,1.5,56.0,31.2,27.40000,32.40000
2003,66 and older,male,,,,,,,,,,,,
2003,66 and older,female,,,,,,,,,,,,
2004,0-16 y.,male,,,,,,,,,,,,
2004,0-16 y.,female,,,,,,,,,,,,
2004,17-29 y.,male,912,37.05385,36.54646,37.65672,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,38.00000,39.50000
2004,17-29 y.,female,918,35.32613,34.75324,36.01212,36.00000,38.50000,40.00000,30.00000,46.00000,38.5,38.50000,38.50000
2004,30-45 y.,male,2184,38.44305,38.18926,38.71773,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.00000,38.50000
2004,30-45 y.,female,2006,28.88546,28.26686,29.42090,20.00000,30.00000,38.50000,1.0,55.0,30.0,25.00000,30.00000
2004,46-65 y.,male,1819,37.88827,37.53340,38.21108,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
2004,46-65 y.,female,1673,29.42574,28.78891,30.03241,20.00000,33.00000,38.50000,2.0,66.25000,33.0,31.00000,36.00000
2004,66 and older,male,,,,,,,,,,,,
2004,66 and older,female,,,,,,,,,,,,
