year,age_gr,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,17-29 y.,Next year,0.07550,262,1059,0.05958,0.09142
1995,17-29 y.,In the next 2 to 5 years,0.12759,419,1059,0.10749,0.14770
1995,17-29 y.,"In the distant future, in more than five years",0.04754,154,1059,0.03472,0.06036
1995,30-45 y.,As soon as possible,0.05455,279,724,0.03800,0.07111
1995,30-45 y.,Next year,0.02659,124,724,0.01486,0.03831
1995,30-45 y.,In the next 2 to 5 years,0.05711,232,724,0.04019,0.07402
1995,30-45 y.,"In the distant future, in more than five years",0.02074,89,724,0.01036,0.03113
1995,46-65 y.,As soon as possible,0.04465,223,300,0.02124,0.06806
1995,46-65 y.,Next year,0.01961,77,300,0.00390,0.03533
1996,17-29 y.,As soon as possible,0.07504,258,1042,0.05903,0.09104
1996,17-29 y.,Next year,0.08220,250,1042,0.06552,0.09889
1996,17-29 y.,In the next 2 to 5 years,0.13432,383,1042,0.11361,0.15504
1996,17-29 y.,"In the distant future, in more than five years",0.04855,151,1042,0.03549,0.06160
1996,30-45 y.,As soon as possible,0.05413,278,738,0.03780,0.07047
1996,30-45 y.,Next year,0.03350,156,738,0.02051,0.04650
1996,30-45 y.,In the next 2 to 5 years,0.05176,223,738,0.03577,0.06776
1996,30-45 y.,"In the distant future, in more than five years",0.01963,81,738,0.00962,0.02965
1996,46-65 y.,As soon as possible,0.04932,228,336,0.02613,0.07251
1996,46-65 y.,Next year,0.01824,76,336,0.00391,0.03258
1996,46-65 y.,In the next 2 to 5 years,0.00809,32,336,-0.00150,0.01768
1997,17-29 y.,As soon as possible,0.07487,244,992,0.05849,0.09126
1997,17-29 y.,Next year,0.06646,194,992,0.05095,0.08197
1997,17-29 y.,In the next 2 to 5 years,0.14477,410,992,0.12286,0.16667
1997,17-29 y.,"In the distant future, in more than five years",0.04718,144,992,0.03398,0.06038
1997,30-45 y.,As soon as possible,0.06431,317,750,0.04674,0.08187
1997,30-45 y.,Next year,0.03199,140,750,0.01939,0.04460
1997,30-45 y.,In the next 2 to 5 years,0.05081,214,750,0.03508,0.06654
1997,30-45 y.,"In the distant future, in more than five years",0.01944,79,750,0.00955,0.02933
1997,46-65 y.,As soon as possible,0.05807,259,332,0.03287,0.08326
1997,46-65 y.,Next year,0.02120,73,332,0.00568,0.03671
1998,17-29 y.,As soon as possible,0.07297,255,1035,0.05711,0.08882
1998,17-29 y.,Next year,0.07417,239,1035,0.05820,0.09014
1998,17-29 y.,In the next 2 to 5 years,0.12903,386,1035,0.10859,0.14946
1998,17-29 y.,"In the distant future, in more than five years",0.05348,155,1035,0.03976,0.06719
1998,30-45 y.,As soon as possible,0.06362,338,808,0.04678,0.08046
1998,30-45 y.,Next year,0.03348,159,808,0.02107,0.04589
1998,30-45 y.,In the next 2 to 5 years,0.04651,216,808,0.03198,0.06104
1998,30-45 y.,"In the distant future, in more than five years",0.01870,95,808,0.00935,0.02805
1998,46-65 y.,As soon as possible,0.05406,265,356,0.03054,0.07759
1998,46-65 y.,Next year,0.01351,59,356,0.00150,0.02552
1998,46-65 y.,In the next 2 to 5 years,0.00685,32,356,-0.00173,0.01543
1999,17-29 y.,As soon as possible,0.07288,222,943,0.05628,0.08948
1999,17-29 y.,Next year,0.07654,224,943,0.05956,0.09352
1999,17-29 y.,In the next 2 to 5 years,0.12407,362,943,0.10302,0.14512
1999,17-29 y.,"In the distant future, in more than five years",0.04522,135,943,0.03195,0.05849
1999,30-45 y.,As soon as possible,0.05391,268,683,0.03696,0.07086
1999,30-45 y.,Next year,0.02793,134,683,0.01557,0.04030
1999,30-45 y.,In the next 2 to 5 years,0.04673,211,683,0.03089,0.06257
1999,30-45 y.,"In the distant future, in more than five years",0.01349,70,683,0.00483,0.02215
1999,46-65 y.,As soon as possible,0.04008,197,258,0.01610,0.06407
1999,46-65 y.,Next year,0.01259,61,258,-0.00104,0.02621
2000,17-29 y.,As soon as possible,0.06611,305,1534,0.05367,0.07855
2000,17-29 y.,Next year,0.07619,369,1534,0.06291,0.08947
2000,17-29 y.,In the next 2 to 5 years,0.12888,638,1534,0.11210,0.14565
2000,17-29 y.,"In the distant future, in more than five years",0.04551,222,1534,0.03508,0.05595
2000,30-45 y.,As soon as possible,0.04749,441,1268,0.03578,0.05920
2000,30-45 y.,Next year,0.03030,264,1268,0.02086,0.03974
2000,30-45 y.,In the next 2 to 5 years,0.04649,391,1268,0.03489,0.05808
2000,30-45 y.,"In the distant future, in more than five years",0.01878,172,1268,0.01130,0.02625
2000,46-65 y.,As soon as possible,0.04046,351,504,0.02324,0.05768
2000,46-65 y.,Next year,0.01212,99,504,0.00256,0.02168
2000,46-65 y.,In the next 2 to 5 years,0.00669,54,504,-0.00043,0.01382
2001,17-29 y.,As soon as possible,0.06450,278,1396,0.05160,0.07739
2001,17-29 y.,Next year,0.08035,328,1396,0.06609,0.09462
2001,17-29 y.,In the next 2 to 5 years,0.12391,568,1396,0.10662,0.14120
2001,17-29 y.,"In the distant future, in more than five years",0.05001,222,1396,0.03857,0.06145
2001,30-45 y.,As soon as possible,0.04736,379,1081,0.03469,0.06003
2001,30-45 y.,Next year,0.03382,242,1081,0.02304,0.04461
2001,30-45 y.,In the next 2 to 5 years,0.04389,340,1081,0.03168,0.05611
2001,30-45 y.,"In the distant future, in more than five years",0.01522,120,1081,0.00792,0.02252
2001,46-65 y.,As soon as possible,0.04611,334,457,0.02686,0.06536
2001,46-65 y.,Next year,0.01055,79,457,0.00117,0.01992
2001,46-65 y.,In the next 2 to 5 years,0.00672,44,457,-0.00078,0.01422
2002,17-29 y.,As soon as possible,0.08000,308,1507,0.06630,0.09371
2002,17-29 y.,Next year,0.08056,328,1507,0.06682,0.09431
2002,17-29 y.,In the next 2 to 5 years,0.13343,613,1507,0.11626,0.15061
2002,17-29 y.,"In the distant future, in more than five years",0.04640,258,1507,0.03578,0.05703
2002,30-45 y.,As soon as possible,0.06422,440,1137,0.04996,0.07847
2002,30-45 y.,Next year,0.03609,257,1137,0.02525,0.04694
2002,30-45 y.,In the next 2 to 5 years,0.04417,330,1137,0.03222,0.05612
2002,30-45 y.,"In the distant future, in more than five years",0.01659,110,1137,0.00916,0.02402
2002,46-65 y.,As soon as possible,0.05227,347,492,0.03258,0.07195
2002,46-65 y.,Next year,0.01178,86,492,0.00223,0.02132
2002,46-65 y.,In the next 2 to 5 years,0.00674,59,492,-0.00050,0.01398
2003,17-29 y.,As soon as possible,0.09137,323,1461,0.07659,0.10615
2003,17-29 y.,Next year,0.07705,324,1461,0.06337,0.09073
2003,17-29 y.,In the next 2 to 5 years,0.12742,588,1461,0.11031,0.14452
2003,17-29 y.,"In the distant future, in more than five years",0.04295,226,1461,0.03255,0.05335
2003,30-45 y.,As soon as possible,0.07805,500,1059,0.06189,0.09422
2003,30-45 y.,Next year,0.03396,229,1059,0.02305,0.04488
2003,30-45 y.,In the next 2 to 5 years,0.03760,258,1059,0.02614,0.04906
2003,30-45 y.,"In the distant future, in more than five years",0.00964,72,1059,0.00375,0.01553
2003,46-65 y.,As soon as possible,0.05345,370,527,0.03423,0.07267
2003,46-65 y.,Next year,0.01592,108,527,0.00523,0.02662
2003,46-65 y.,In the next 2 to 5 years,0.00705,49,527,-0.00010,0.01420
2004,17-29 y.,As soon as possible,0.09696,327,1550,0.08223,0.11170
2004,17-29 y.,Next year,0.07920,339,1550,0.06575,0.09264
2004,17-29 y.,In the next 2 to 5 years,0.14417,634,1550,0.12668,0.16167
2004,17-29 y.,"In the distant future, in more than five years",0.04579,250,1550,0.03538,0.05620
2004,30-45 y.,As soon as possible,0.08369,496,1019,0.06668,0.10070
2004,30-45 y.,Next year,0.02994,189,1019,0.01947,0.04040
2004,30-45 y.,In the next 2 to 5 years,0.04298,271,1019,0.03052,0.05544
2004,30-45 y.,"In the distant future, in more than five years",0.00804,63,1019,0.00255,0.01353
2004,46-65 y.,As soon as possible,0.06471,433,574,0.04457,0.08486
2004,46-65 y.,Next year,0.01566,102,574,0.00549,0.02583
2004,46-65 y.,In the next 2 to 5 years,0.00601,39,574,-0.00032,0.01234
2005,17-29 y.,As soon as possible,0.11136,370,1551,0.09570,0.12702
2005,17-29 y.,Next year,0.07725,322,1551,0.06396,0.09054
2005,17-29 y.,In the next 2 to 5 years,0.14059,606,1551,0.12328,0.15789
2005,17-29 y.,"In the distant future, in more than five years",0.04746,253,1551,0.03688,0.05805
2005,30-45 y.,As soon as possible,0.07970,453,946,0.06243,0.09696
2005,30-45 y.,Next year,0.03456,210,946,0.02291,0.04621
2005,30-45 y.,In the next 2 to 5 years,0.03679,223,946,0.02479,0.04879
2005,30-45 y.,"In the distant future, in more than five years",0.00989,60,946,0.00358,0.01620
2005,46-65 y.,As soon as possible,0.06771,409,537,0.04644,0.08899
2005,46-65 y.,Next year,0.01075,77,537,0.00202,0.01949
2005,46-65 y.,In the next 2 to 5 years,0.00697,51,537,-0.00007,0.01402
2006,17-29 y.,As soon as possible,0.10363,366,1404,0.08768,0.11957
2006,17-29 y.,Next year,0.06419,270,1404,0.05136,0.07701
2006,17-29 y.,In the next 2 to 5 years,0.13055,590,1404,0.11292,0.14818
2006,17-29 y.,"In the distant future, in more than five years",0.03265,178,1404,0.02335,0.04195
2006,30-45 y.,As soon as possible,0.07980,467,1019,0.06316,0.09645
2006,30-45 y.,Next year,0.03857,229,1019,0.02674,0.05040
2006,30-45 y.,In the next 2 to 5 years,0.04037,255,1019,0.02828,0.05246
2006,30-45 y.,"In the distant future, in more than five years",0.00922,68,1019,0.00335,0.01510
2006,46-65 y.,As soon as possible,0.06860,435,588,0.04815,0.08905
2006,46-65 y.,Next year,0.01277,95,588,0.00369,0.02185
2006,46-65 y.,In the next 2 to 5 years,0.00745,58,588,0.00050,0.01441
2007,17-29 y.,As soon as possible,0.09181,302,1250,0.07580,0.10783
2007,17-29 y.,Next year,0.07445,270,1250,0.05989,0.08901
2007,17-29 y.,In the next 2 to 5 years,0.11731,523,1250,0.09947,0.13516
2007,17-29 y.,"In the distant future, in more than five years",0.02975,155,1250,0.02032,0.03917
2007,30-45 y.,As soon as possible,0.06906,350,764,0.05107,0.08706
2007,30-45 y.,Next year,0.03331,178,764,0.02058,0.04604
2007,30-45 y.,In the next 2 to 5 years,0.03038,192,764,0.01820,0.04256
2007,30-45 y.,"In the distant future, in more than five years",0.00716,44,764,0.00117,0.01314
2007,46-65 y.,As soon as possible,0.05931,359,502,0.03863,0.08000
2007,46-65 y.,Next year,0.01286,84,502,0.00299,0.02272
2007,46-65 y.,In the next 2 to 5 years,0.00903,59,502,0.00075,0.01731
2008,17-29 y.,As soon as possible,0.07672,247,1125,0.06116,0.09228
2008,17-29 y.,Next year,0.06115,234,1125,0.04715,0.07516
2008,17-29 y.,In the next 2 to 5 years,0.11481,472,1125,0.09617,0.13345
2008,17-29 y.,"In the distant future, in more than five years",0.03745,172,1125,0.02635,0.04855
2008,30-45 y.,As soon as possible,0.05340,269,652,0.03613,0.07067
2008,30-45 y.,Next year,0.03026,173,652,0.01710,0.04342
2008,30-45 y.,In the next 2 to 5 years,0.02946,161,652,0.01647,0.04245
2008,30-45 y.,"In the distant future, in more than five years",0.00927,49,652,0.00191,0.01663
2008,46-65 y.,As soon as possible,0.05778,310,443,0.03603,0.07953
2008,46-65 y.,Next year,0.01386,89,443,0.00296,0.02476
2008,46-65 y.,In the next 2 to 5 years,0.00649,44,443,-0.00099,0.01398
2009,17-29 y.,As soon as possible,0.07809,240,1003,0.06148,0.09471
2009,17-29 y.,Next year,0.07041,233,1003,0.05457,0.08625
2009,17-29 y.,In the next 2 to 5 years,0.10900,396,1003,0.08971,0.12830
2009,17-29 y.,"In the distant future, in more than five years",0.03419,134,1003,0.02294,0.04544
2009,30-45 y.,As soon as possible,0.05957,259,597,0.04056,0.07857
2009,30-45 y.,Next year,0.02929,154,597,0.01576,0.04283
2009,30-45 y.,In the next 2 to 5 years,0.02978,149,597,0.01613,0.04342
2009,30-45 y.,"In the distant future, in more than five years",0.00731,35,597,0.00047,0.01415
2009,46-65 y.,As soon as possible,0.05901,299,433,0.03679,0.08123
2009,46-65 y.,Next year,0.01254,75,433,0.00204,0.02303
2009,46-65 y.,In the next 2 to 5 years,0.00833,59,433,-0.00024,0.01689
2010,17-29 y.,As soon as possible,0.08244,368,1672,0.06925,0.09563
2010,17-29 y.,Next year,0.07701,457,1672,0.06422,0.08979
2010,17-29 y.,In the next 2 to 5 years,0.11277,630,1672,0.09760,0.12793
2010,17-29 y.,"In the distant future, in more than five years",0.03965,217,1672,0.03029,0.04900
2010,30-45 y.,As soon as possible,0.06218,600,2089,0.05183,0.07254
2010,30-45 y.,Next year,0.03958,694,2089,0.03121,0.04794
2010,30-45 y.,In the next 2 to 5 years,0.02976,624,2089,0.02247,0.03704
2010,30-45 y.,"In the distant future, in more than five years",0.00896,171,2089,0.00492,0.01301
2010,46-65 y.,As soon as possible,0.05659,364,550,0.03726,0.07591
2010,46-65 y.,Next year,0.01464,107,550,0.00460,0.02469
2010,46-65 y.,In the next 2 to 5 years,0.00957,79,550,0.00143,0.01772
2011,17-29 y.,As soon as possible,0.06632,360,1655,0.05433,0.07831
2011,17-29 y.,Next year,0.06278,408,1655,0.05109,0.07447
2011,17-29 y.,In the next 2 to 5 years,0.12274,644,1655,0.10693,0.13856
2011,17-29 y.,"In the distant future, in more than five years",0.03641,243,1655,0.02738,0.04543
2011,30-45 y.,As soon as possible,0.05575,600,1875,0.04536,0.06613
2011,30-45 y.,Next year,0.03208,542,1875,0.02410,0.04006
2011,30-45 y.,In the next 2 to 5 years,0.03475,573,1875,0.02646,0.04304
2011,30-45 y.,"In the distant future, in more than five years",0.01065,160,1875,0.00600,0.01530
2011,46-65 y.,As soon as possible,0.04501,422,708,0.02972,0.06029
2011,46-65 y.,Next year,0.01631,153,708,0.00698,0.02565
2011,46-65 y.,In the next 2 to 5 years,0.00790,102,708,0.00137,0.01442
2011,46-65 y.,"In the distant future, in more than five years",0.00251,31,708,-0.00118,0.00619
2012,17-29 y.,As soon as possible,0.07865,355,1523,0.06512,0.09217
2012,17-29 y.,Next year,0.06350,347,1523,0.05125,0.07575
2012,17-29 y.,In the next 2 to 5 years,0.11378,593,1523,0.09783,0.12974
2012,17-29 y.,"In the distant future, in more than five years",0.03438,228,1523,0.02523,0.04354
2012,30-45 y.,As soon as possible,0.04828,474,1541,0.03757,0.05899
2012,30-45 y.,Next year,0.04436,523,1541,0.03408,0.05465
2012,30-45 y.,In the next 2 to 5 years,0.03039,407,1541,0.02181,0.03896
2012,30-45 y.,"In the distant future, in more than five years",0.00985,137,1541,0.00492,0.01478
2012,46-65 y.,As soon as possible,0.04946,466,795,0.03438,0.06454
2012,46-65 y.,Next year,0.01949,189,795,0.00987,0.02910
2012,46-65 y.,In the next 2 to 5 years,0.00900,99,795,0.00243,0.01557
2012,46-65 y.,"In the distant future, in more than five years",0.00326,41,795,-0.00070,0.00723
2013,17-29 y.,As soon as possible,0.07100,406,1916,0.05950,0.08250
2013,17-29 y.,Next year,0.07460,459,1916,0.06283,0.08637
2013,17-29 y.,In the next 2 to 5 years,0.11188,761,1916,0.09776,0.12600
2013,17-29 y.,"In the distant future, in more than five years",0.03537,290,1916,0.02710,0.04365
2013,30-45 y.,As soon as possible,0.05774,680,1873,0.04717,0.06831
2013,30-45 y.,Next year,0.04784,553,1873,0.03817,0.05751
2013,30-45 y.,In the next 2 to 5 years,0.03291,494,1873,0.02483,0.04099
2013,30-45 y.,"In the distant future, in more than five years",0.00729,146,1873,0.00343,0.01114
2013,46-65 y.,As soon as possible,0.04289,494,861,0.02935,0.05643
2013,46-65 y.,Next year,0.01908,208,861,0.00993,0.02822
2013,46-65 y.,In the next 2 to 5 years,0.00996,115,861,0.00333,0.01660
2013,46-65 y.,"In the distant future, in more than five years",0.00329,44,861,-0.00054,0.00712
2014,17-29 y.,As soon as possible,0.06796,370,1564,0.05548,0.08044
2014,17-29 y.,Next year,0.06325,372,1564,0.05118,0.07532
2014,17-29 y.,In the next 2 to 5 years,0.10890,608,1564,0.09346,0.12434
2014,17-29 y.,"In the distant future, in more than five years",0.02923,214,1564,0.02088,0.03758
2014,30-45 y.,As soon as possible,0.06399,515,1466,0.05146,0.07653
2014,30-45 y.,Next year,0.04977,468,1466,0.03864,0.06091
2014,30-45 y.,In the next 2 to 5 years,0.03308,378,1466,0.02393,0.04224
2014,30-45 y.,"In the distant future, in more than five years",0.00745,105,1466,0.00304,0.01185
2014,46-65 y.,As soon as possible,0.04339,420,745,0.02875,0.05803
2014,46-65 y.,Next year,0.01790,180,745,0.00838,0.02743
2014,46-65 y.,In the next 2 to 5 years,0.01028,102,745,0.00303,0.01753
2014,46-65 y.,"In the distant future, in more than five years",0.00305,43,745,-0.00091,0.00702
2015,17-29 y.,As soon as possible,0.07070,342,1603,0.05815,0.08325
2015,17-29 y.,Next year,0.06680,372,1603,0.05457,0.07902
2015,17-29 y.,In the next 2 to 5 years,0.11683,700,1603,0.10110,0.13256
2015,17-29 y.,"In the distant future, in more than five years",0.02592,189,1603,0.01814,0.03370
2015,30-45 y.,As soon as possible,0.05692,512,1518,0.04526,0.06858
2015,30-45 y.,Next year,0.04373,449,1518,0.03344,0.05402
2015,30-45 y.,In the next 2 to 5 years,0.03732,420,1518,0.02778,0.04686
2015,30-45 y.,"In the distant future, in more than five years",0.00854,137,1518,0.00391,0.01317
2015,46-65 y.,As soon as possible,0.04208,392,757,0.02777,0.05639
2015,46-65 y.,Next year,0.01654,186,757,0.00745,0.02563
2015,46-65 y.,In the next 2 to 5 years,0.01190,132,757,0.00417,0.01964
2015,46-65 y.,"In the distant future, in more than five years",0.00264,47,757,-0.00102,0.00630
2016,17-29 y.,As soon as possible,0.07126,583,2195,0.06049,0.08202
2016,17-29 y.,Next year,0.07407,534,2195,0.06311,0.08502
2016,17-29 y.,In the next 2 to 5 years,0.13181,860,2195,0.11766,0.14597
2016,17-29 y.,"In the distant future, in more than five years",0.02935,218,2195,0.02229,0.03641
2016,30-45 y.,As soon as possible,0.05296,1002,2377,0.04395,0.06196
2016,30-45 y.,Next year,0.05413,699,2377,0.04503,0.06323
2016,30-45 y.,In the next 2 to 5 years,0.03091,535,2377,0.02395,0.03786
2016,30-45 y.,"In the distant future, in more than five years",0.00837,141,2377,0.00471,0.01203
2016,46-65 y.,As soon as possible,0.03429,460,934,0.02262,0.04597
2016,46-65 y.,Next year,0.01468,264,934,0.00696,0.02240
2016,46-65 y.,In the next 2 to 5 years,0.01128,156,934,0.00450,0.01805
2016,46-65 y.,"In the distant future, in more than five years",0.00497,54,934,0.00046,0.00948
2017,17-29 y.,As soon as possible,0.06780,660,2592,0.05812,0.07749
2017,17-29 y.,Next year,0.08131,653,2592,0.07079,0.09184
2017,17-29 y.,In the next 2 to 5 years,0.10933,1001,2592,0.09732,0.12135
2017,17-29 y.,"In the distant future, in more than five years",0.02734,278,2592,0.02106,0.03361
2017,30-45 y.,As soon as possible,0.05409,951,2572,0.04534,0.06283
2017,30-45 y.,Next year,0.04733,785,2572,0.03912,0.05554
2017,30-45 y.,In the next 2 to 5 years,0.03462,675,2572,0.02756,0.04169
