year,sampreg,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,West,Next year,0.02145,265,1231,0.01336,0.02955
1992,West,In the next 2 to 5 years,0.03472,477,1231,0.02449,0.04495
1992,West,"In the distant future, in more than five years",0.01432,192,1231,0.00768,0.02096
1992,East,As soon as possible,0.07843,387,664,0.05796,0.09889
1992,East,Next year,0.03341,172,664,0.01973,0.04709
1992,East,In the next 2 to 5 years,0.01733,105,664,0.00739,0.02726
1993,West,As soon as possible,0.02457,328,1256,0.01600,0.03313
1993,West,Next year,0.01967,259,1256,0.01199,0.02736
1993,West,In the next 2 to 5 years,0.03739,483,1256,0.02689,0.04788
1993,West,"In the distant future, in more than five years",0.01281,186,1256,0.00659,0.01903
1993,East,As soon as possible,0.07993,391,663,0.05927,0.10059
1993,East,Next year,0.02873,148,663,0.01601,0.04146
1993,East,In the next 2 to 5 years,0.01659,93,663,0.00686,0.02632
1993,East,"In the distant future, in more than five years",0.00539,31,663,-0.00019,0.01097
1994,West,As soon as possible,0.02860,394,1349,0.01970,0.03749
1994,West,Next year,0.02483,310,1349,0.01653,0.03314
1994,West,In the next 2 to 5 years,0.03622,464,1349,0.02625,0.04620
1994,West,"In the distant future, in more than five years",0.01335,181,1349,0.00722,0.01947
1994,East,As soon as possible,0.08461,394,664,0.06343,0.10580
1994,East,Next year,0.02471,121,664,0.01289,0.03653
1994,East,In the next 2 to 5 years,0.02072,115,664,0.00988,0.03157
1994,East,"In the distant future, in more than five years",0.00577,34,664,0.00001,0.01154
1995,West,As soon as possible,0.02973,417,1524,0.02120,0.03827
1995,West,Next year,0.02298,328,1524,0.01545,0.03050
1995,West,In the next 2 to 5 years,0.04028,562,1524,0.03040,0.05015
1995,West,"In the distant future, in more than five years",0.01569,217,1524,0.00945,0.02193
1995,East,As soon as possible,0.06399,311,600,0.04439,0.08359
1995,East,Next year,0.02749,135,600,0.01440,0.04059
1995,East,In the next 2 to 5 years,0.02281,119,600,0.01086,0.03477
1995,East,"In the distant future, in more than five years",0.00444,35,600,-0.00088,0.00976
1996,West,As soon as possible,0.03122,443,1480,0.02235,0.04008
1996,West,Next year,0.02352,319,1480,0.01580,0.03125
1996,West,In the next 2 to 5 years,0.03902,513,1480,0.02915,0.04889
1996,West,"In the distant future, in more than five years",0.01564,205,1480,0.00932,0.02197
1996,East,As soon as possible,0.06839,323,650,0.04897,0.08781
1996,East,Next year,0.03641,164,650,0.02200,0.05082
1996,East,In the next 2 to 5 years,0.02285,126,650,0.01135,0.03434
1996,East,"In the distant future, in more than five years",0.00602,37,650,0.00007,0.01197
1997,West,As soon as possible,0.03462,471,1473,0.02528,0.04396
1997,West,Next year,0.02295,281,1473,0.01530,0.03060
1997,West,In the next 2 to 5 years,0.03968,527,1473,0.02971,0.04965
1997,West,"In the distant future, in more than five years",0.01375,194,1473,0.00780,0.01970
1997,East,As soon as possible,0.07910,352,639,0.05816,0.10004
1997,East,Next year,0.02690,126,639,0.01435,0.03945
1997,East,In the next 2 to 5 years,0.02526,127,639,0.01308,0.03744
1997,East,"In the distant future, in more than five years",0.00628,34,639,0.00015,0.01240
1998,West,As soon as possible,0.03206,457,1515,0.02318,0.04093
1998,West,Next year,0.02283,315,1515,0.01531,0.03036
1998,West,In the next 2 to 5 years,0.03448,507,1515,0.02529,0.04367
1998,West,"In the distant future, in more than five years",0.01505,236,1515,0.00892,0.02118
1998,East,As soon as possible,0.08175,402,671,0.06101,0.10250
1998,East,Next year,0.02426,142,671,0.01261,0.03591
1998,East,In the next 2 to 5 years,0.02561,127,671,0.01365,0.03757
1999,West,As soon as possible,0.02723,362,1296,0.01836,0.03609
1999,West,Next year,0.01973,271,1296,0.01215,0.02730
1999,West,In the next 2 to 5 years,0.03328,472,1296,0.02351,0.04304
1999,West,"In the distant future, in more than five years",0.01232,191,1296,0.00631,0.01833
1999,East,As soon as possible,0.06999,326,598,0.04953,0.09046
1999,East,Next year,0.03012,149,598,0.01641,0.04383
1999,East,In the next 2 to 5 years,0.02285,123,598,0.01086,0.03484
2000,West,As soon as possible,0.02376,586,2366,0.01762,0.02990
2000,West,Next year,0.02036,517,2366,0.01467,0.02605
2000,West,In the next 2 to 5 years,0.03435,900,2366,0.02701,0.04169
2000,West,"In the distant future, in more than five years",0.01351,363,2366,0.00886,0.01816
2000,East,As soon as possible,0.07002,512,971,0.05396,0.08608
2000,East,Next year,0.02870,217,971,0.01819,0.03921
2000,East,In the next 2 to 5 years,0.02211,185,971,0.01285,0.03136
2000,East,"In the distant future, in more than five years",0.00576,57,971,0.00100,0.01052
2001,West,As soon as possible,0.02489,510,2063,0.01816,0.03161
2001,West,Next year,0.02177,467,2063,0.01547,0.02807
2001,West,In the next 2 to 5 years,0.03180,772,2063,0.02423,0.03938
2001,West,"In the distant future, in more than five years",0.01275,314,2063,0.00791,0.01760
2001,East,As soon as possible,0.07221,482,896,0.05525,0.08917
2001,East,Next year,0.02667,185,896,0.01611,0.03722
2001,East,In the next 2 to 5 years,0.02236,180,896,0.01267,0.03205
2001,East,"In the distant future, in more than five years",0.00585,49,896,0.00086,0.01085
2002,West,As soon as possible,0.03183,594,2238,0.02455,0.03910
2002,West,Next year,0.02294,507,2238,0.01673,0.02914
2002,West,In the next 2 to 5 years,0.03194,812,2238,0.02466,0.03923
2002,West,"In the distant future, in more than five years",0.01221,325,2238,0.00766,0.01676
2002,East,As soon as possible,0.08370,504,924,0.06583,0.10157
2002,East,Next year,0.02546,166,924,0.01529,0.03562
2002,East,In the next 2 to 5 years,0.02791,191,924,0.01728,0.03853
2002,East,"In the distant future, in more than five years",0.00715,63,924,0.00172,0.01259
2003,West,As soon as possible,0.03706,666,2128,0.02903,0.04509
2003,West,Next year,0.02250,489,2128,0.01620,0.02881
2003,West,In the next 2 to 5 years,0.02954,712,2128,0.02234,0.03673
2003,West,"In the distant future, in more than five years",0.00978,261,2128,0.00560,0.01396
2003,East,As soon as possible,0.08903,530,946,0.07087,0.10718
2003,East,Next year,0.02929,179,946,0.01854,0.04004
2003,East,In the next 2 to 5 years,0.02593,183,946,0.01580,0.03607
2003,East,"In the distant future, in more than five years",0.00527,54,946,0.00066,0.00989
2004,West,As soon as possible,0.04257,754,2225,0.03418,0.05096
2004,West,Next year,0.02197,459,2225,0.01588,0.02806
2004,West,In the next 2 to 5 years,0.03321,743,2225,0.02576,0.04066
2004,West,"In the distant future, in more than five years",0.00951,269,2225,0.00548,0.01355
2004,East,As soon as possible,0.09199,504,942,0.07352,0.11045
2004,East,Next year,0.02694,175,942,0.01659,0.03728
2004,East,In the next 2 to 5 years,0.02907,202,942,0.01834,0.03981
2004,East,"In the distant future, in more than five years",0.00717,61,942,0.00178,0.01256
2005,West,As soon as possible,0.04459,734,2127,0.03581,0.05336
2005,West,Next year,0.02173,432,2127,0.01553,0.02792
2005,West,In the next 2 to 5 years,0.03246,697,2127,0.02493,0.03999
2005,West,"In the distant future, in more than five years",0.01066,264,2127,0.00629,0.01502
2005,East,As soon as possible,0.09842,499,935,0.07931,0.11752
2005,East,Next year,0.02945,180,935,0.01861,0.04029
2005,East,In the next 2 to 5 years,0.03173,185,935,0.02049,0.04297
2005,East,"In the distant future, in more than five years",0.00947,71,935,0.00326,0.01569
2006,West,As soon as possible,0.04583,797,2172,0.03703,0.05463
2006,West,Next year,0.02108,440,2172,0.01504,0.02712
2006,West,In the next 2 to 5 years,0.03246,710,2172,0.02501,0.03992
2006,West,"In the distant future, in more than five years",0.00850,225,2172,0.00464,0.01236
2006,East,As soon as possible,0.08732,480,878,0.06863,0.10600
2006,East,Next year,0.03035,162,878,0.01900,0.04171
2006,East,In the next 2 to 5 years,0.02738,193,878,0.01658,0.03818
2006,East,"In the distant future, in more than five years",0.00528,43,878,0.00048,0.01008
2007,West,As soon as possible,0.03890,611,1820,0.03001,0.04779
2007,West,Next year,0.02184,393,1820,0.01512,0.02855
2007,West,In the next 2 to 5 years,0.02867,628,1820,0.02100,0.03634
2007,West,"In the distant future, in more than five years",0.00809,188,1820,0.00397,0.01220
2007,East,As soon as possible,0.08050,407,736,0.06084,0.10017
2007,East,Next year,0.02873,148,736,0.01665,0.04081
2007,East,In the next 2 to 5 years,0.02298,148,736,0.01214,0.03381
2007,East,"In the distant future, in more than five years",0.00327,33,736,-0.00086,0.00739
2008,West,As soon as possible,0.03278,493,1584,0.02401,0.04155
2008,West,Next year,0.01980,364,1584,0.01293,0.02666
2008,West,In the next 2 to 5 years,0.02661,537,1584,0.01868,0.03453
2008,West,"In the distant future, in more than five years",0.00850,190,1584,0.00397,0.01302
2008,East,As soon as possible,0.07242,337,673,0.05282,0.09201
2008,East,Next year,0.02525,148,673,0.01339,0.03711
2008,East,In the next 2 to 5 years,0.02467,143,673,0.01294,0.03640
2008,East,"In the distant future, in more than five years",0.00740,45,673,0.00092,0.01388
2009,West,As soon as possible,0.03591,495,1466,0.02638,0.04544
2009,West,Next year,0.01954,335,1466,0.01245,0.02663
2009,West,In the next 2 to 5 years,0.02706,476,1466,0.01875,0.03537
2009,West,"In the distant future, in more than five years",0.00882,160,1466,0.00403,0.01361
2009,East,As soon as possible,0.06808,307,574,0.04746,0.08870
2009,East,Next year,0.02927,137,574,0.01546,0.04307
2009,East,In the next 2 to 5 years,0.02046,130,574,0.00887,0.03206
2010,West,As soon as possible,0.03713,905,3378,0.03075,0.04350
2010,West,Next year,0.02512,995,3378,0.01984,0.03040
2010,West,In the next 2 to 5 years,0.02735,1125,3378,0.02185,0.03285
2010,West,"In the distant future, in more than five years",0.00881,353,3378,0.00566,0.01196
2010,East,As soon as possible,0.06586,431,978,0.05031,0.08141
2010,East,Next year,0.02606,275,978,0.01607,0.03605
2010,East,In the next 2 to 5 years,0.02098,211,978,0.01199,0.02996
2010,East,"In the distant future, in more than five years",0.00683,61,978,0.00166,0.01199
2011,West,As soon as possible,0.03024,902,3259,0.02436,0.03612
2011,West,Next year,0.02035,841,3259,0.01550,0.02520
2011,West,In the next 2 to 5 years,0.02926,1113,3259,0.02347,0.03504
2011,West,"In the distant future, in more than five years",0.00948,403,3259,0.00615,0.01281
2011,East,As soon as possible,0.05506,484,997,0.04089,0.06922
2011,East,Next year,0.02432,274,997,0.01475,0.03388
2011,East,In the next 2 to 5 years,0.02082,208,997,0.01195,0.02969
2011,East,"In the distant future, in more than five years",0.00305,31,997,-0.00037,0.00647
2012,West,As soon as possible,0.02974,841,2962,0.02362,0.03586
2012,West,Next year,0.02472,828,2962,0.01913,0.03031
2012,West,In the next 2 to 5 years,0.02745,939,2962,0.02156,0.03333
2012,West,"In the distant future, in more than five years",0.00892,354,2962,0.00554,0.01231
2012,East,As soon as possible,0.06692,463,927,0.05082,0.08301
2012,East,Next year,0.02585,246,927,0.01563,0.03607
2012,East,In the next 2 to 5 years,0.01730,162,927,0.00890,0.02569
2012,East,"In the distant future, in more than five years",0.00574,56,927,0.00087,0.01060
2013,West,As soon as possible,0.03247,1193,3818,0.02685,0.03809
2013,West,Next year,0.02674,1012,3818,0.02162,0.03185
2013,West,In the next 2 to 5 years,0.02851,1188,3818,0.02323,0.03379
2013,West,"In the distant future, in more than five years",0.00816,425,3818,0.00531,0.01102
2013,East,As soon as possible,0.04811,395,869,0.03388,0.06235
2013,East,Next year,0.02922,233,869,0.01801,0.04042
2013,East,In the next 2 to 5 years,0.01453,186,869,0.00657,0.02249
2013,East,"In the distant future, in more than five years",0.00470,55,869,0.00015,0.00925
2014,West,As soon as possible,0.03345,979,3047,0.02706,0.03983
2014,West,Next year,0.02421,805,3047,0.01875,0.02966
2014,West,In the next 2 to 5 years,0.02757,943,3047,0.02175,0.03338
2014,West,"In the distant future, in more than five years",0.00719,320,3047,0.00419,0.01019
2014,East,As soon as possible,0.05192,347,771,0.03625,0.06759
2014,East,Next year,0.02856,227,771,0.01680,0.04033
2014,East,In the next 2 to 5 years,0.01921,153,771,0.00952,0.02891
2014,East,"In the distant future, in more than five years",0.00495,44,771,-0.00001,0.00990
2015,West,As soon as possible,0.03282,950,3201,0.02665,0.03900
2015,West,Next year,0.02382,825,3201,0.01854,0.02911
2015,West,In the next 2 to 5 years,0.02986,1093,3201,0.02397,0.03576
2015,West,"In the distant future, in more than five years",0.00680,333,3201,0.00395,0.00965
2015,East,As soon as possible,0.04401,314,714,0.02895,0.05907
2015,East,Next year,0.02446,196,714,0.01312,0.03580
2015,East,In the next 2 to 5 years,0.01995,164,714,0.00968,0.03021
2015,East,"In the distant future, in more than five years",0.00351,40,714,-0.00083,0.00785
2016,West,As soon as possible,0.02941,1613,4512,0.02448,0.03435
2016,West,Next year,0.02616,1204,4512,0.02150,0.03081
2016,West,In the next 2 to 5 years,0.03013,1330,4512,0.02514,0.03512
2016,West,"In the distant future, in more than five years",0.00830,365,4512,0.00565,0.01095
2016,East,As soon as possible,0.04247,443,1029,0.03014,0.05480
2016,East,Next year,0.03129,315,1029,0.02064,0.04193
2016,East,In the next 2 to 5 years,0.02351,221,1029,0.01424,0.03277
2016,East,"In the distant future, in more than five years",0.00376,50,1029,0.00002,0.00750
2017,West,As soon as possible,0.02868,1716,5155,0.02412,0.03324
2017,West,Next year,0.02797,1439,5155,0.02347,0.03247
2017,West,In the next 2 to 5 years,0.02725,1573,5155,0.02280,0.03169
2017,West,"In the distant future, in more than five years",0.00687,427,5155,0.00462,0.00913
2017,East,As soon as possible,0.03688,425,1135,0.02591,0.04784
2017,East,Next year,0.03121,358,1135,0.02109,0.04133
2017,East,In the next 2 to 5 years,0.02287,282,1135,0.01417,0.03157
2017,East,"In the distant future, in more than five years",0.00669,70,1135,0.00194,0.01143
2018,West,As soon as possible,0.02591,1494,4565,0.02130,0.03052
2018,West,Next year,0.02765,1328,4565,0.02289,0.03240
2018,West,In the next 2 to 5 years,0.02690,1404,4565,0.02221,0.03160
2018,West,"In the distant future, in more than five years",0.00614,339,4565,0.00388,0.00841
2018,East,As soon as possible,0.03504,380,1005,0.02366,0.04641
2018,East,Next year,0.03220,330,1005,0.02128,0.04312
2018,East,In the next 2 to 5 years,0.01910,234,1005,0.01063,0.02757
2018,East,"In the distant future, in more than five years",0.00502,61,1005,0.00065,0.00939
2019,West,As soon as possible,0.02373,1282,3823,0.01890,0.02855
2019,West,Next year,0.02662,1151,3823,0.02152,0.03172
2019,West,In the next 2 to 5 years,0.02532,1103,3823,0.02034,0.03030
2019,West,"In the distant future, in more than five years",0.00610,287,3823,0.00363,0.00856
2019,East,As soon as possible,0.02950,272,837,0.01803,0.04097
2019,East,Next year,0.02666,270,837,0.01574,0.03757
2019,East,In the next 2 to 5 years,0.02380,242,837,0.01347,0.03413
2019,East,"In the distant future, in more than five years",0.00643,53,837,0.00101,0.01185
2020,West,As soon as possible,0.02506,1500,4091,0.02027,0.02985
2020,West,Next year,0.02781,1128,4091,0.02277,0.03285
2020,West,In the next 2 to 5 years,0.02565,1176,4091,0.02080,0.03049
2020,West,"In the distant future, in more than five years",0.00610,287,4091,0.00372,0.00849
2020,East,As soon as possible,0.02909,314,868,0.01791,0.04028
2020,East,Next year,0.02789,245,868,0.01693,0.03885
2020,East,In the next 2 to 5 years,0.02199,251,868,0.01223,0.03176
2020,East,"In the distant future, in more than five years",0.00453,58,868,0.00006,0.00900
2021,West,As soon as possible,0.02414,799,2525,0.01815,0.03012
2021,West,Next year,0.03213,786,2525,0.02525,0.03901
2021,West,In the next 2 to 5 years,0.02366,708,2525,0.01773,0.02959
2021,West,"In the distant future, in more than five years",0.00582,232,2525,0.00285,0.00878
2021,East,As soon as possible,0.01836,160,501,0.00660,0.03013
2021,East,Next year,0.02693,167,501,0.01274,0.04112
2021,East,In the next 2 to 5 years,0.01961,131,501,0.00745,0.03176
2021,East,"In the distant future, in more than five years",0.00544,43,501,-0.00101,0.01189
