"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2004","Städtischer Raum","Westdeutschland","63","49.79","2861","21.67","33.33","81.33","116.67","218.33","61.26","64.74","0","700","54.1666679382324","58.3333320617676"
"2005","Ländlicher Raum","Ostdeutschland","57.39","49.62","813","20.83","33.33","66.67","100","208.33","54.38","60.4","0","498.33","50","55.8333320617676"
"2005","Ländlicher Raum","Westdeutschland","55.99","45.58","1107","18.33","30","66.67","104.75","237.5","53.33","58.65","0","666.67","45.8333320617676","50"
"2005","Städtischer Raum","Ostdeutschland","68.92","56.58","230","23.33","35","83.33","114.67","320.83","60.95","76.89","5","733.33","50","66.6666641235352"
"2005","Städtischer Raum","Westdeutschland","64.91","51.62","2762","22.5","34.17","83.33","120","218","63.24","66.58","0","500","54.3333320617676","58.3333320617676"
"2006","Ländlicher Raum","Ostdeutschland","57.24","49.58","900","20.83","33.33","75","100","183.33","54.67","59.81","0","333.33","50","55.8333320617676"
"2006","Ländlicher Raum","Westdeutschland","55.75","45.75","1230","20.83","30.83","66.67","100","208.33","53.4","58.1","0","375","46.6666679382324","50"
"2006","Städtischer Raum","Ostdeutschland","60.38","49.58","244","20.83","36.67","79.33","102.5","175","54.86","65.9","0","308.17","50","62.5"
"2006","Städtischer Raum","Westdeutschland","65.85","52.25","3041","25","36.67","83.33","125","249.83","64.16","67.54","0","583.33","55","58.3333320617676"
"2007","Ländlicher Raum","Ostdeutschland","60.86","49.67","839","21.67","35","75","108.33","216.67","58.24","63.48","0","333.33","50","57.5"
"2007","Ländlicher Raum","Westdeutschland","54.58","49.83","1138","17.42","30.83","66.67","96.67","166.67","52.37","56.79","0","291.67","50","50"
"2007","Städtischer Raum","Ostdeutschland","62.15","48.21","238","14.58","25","83.33","108.33","191.67","54.74","69.56","0","666.67","50","64.8333358764648"
"2007","Städtischer Raum","Westdeutschland","65.52","54.12","2858","25","37.5","83.33","117","216.67","63.7","67.34","0","500","56.6666679382324","58.3333320617676"
"2008","Ländlicher Raum","Ostdeutschland","63.32","53.75","819","25","37.5","75","116.67","208.33","60.48","66.16","0","316.67","50","58.3333320617676"
"2008","Ländlicher Raum","Westdeutschland","57.21","49.79","1082","20.83","30.42","70","100","208.33","54.84","59.58","0","250","50","50.6666679382324"
"2008","Städtischer Raum","Ostdeutschland","63.41","53.75","225","24.17","33.33","83.33","124.17","216.67","57.43","69.39","4.5","333.33","53.0833320617676","66.6666641235352"
"2008","Städtischer Raum","Westdeutschland","63.65","49.83","2702","25","35.42","83.33","119.33","216.67","61.95","65.35","4.17","400","52.9166679382324","56.6666679382324"
"2009","Ländlicher Raum","Ostdeutschland","59.85","49.67","805","25","37.5","70.83","95.83","208.33","57.08","62.62","3.75","291.67","50","55.8333320617676"
"2009","Ländlicher Raum","Westdeutschland","53.01","45.67","1012","20","29.17","66.67","100","166.67","50.64","55.38","0","416.67","45.5","50"
"2009","Städtischer Raum","Ostdeutschland","60.81","48.75","229","25","33.33","75","108.33","250","54.28","67.34","5","416.67","50","66.6666641235352"
"2009","Städtischer Raum","Westdeutschland","66.5","54.08","2517","23.33","36.67","83.33","125","233","64.59","68.41","0","500","54.1666679382324","58.3333320617676"
"2010","Ländlicher Raum","Ostdeutschland","52.57","46.58","905","20","32.5","66.67","83.33","166.67","50.44","54.7","0","291.67","46","50"
"2010","Ländlicher Raum","Westdeutschland","49.51","43.62","1360","19.17","29.17","62.5","83.33","150","47.9","51.12","0","250","41.6666679382324","46.5"
"2010","Städtischer Raum","Ostdeutschland","55.81","49.71","252","16.67","29.17","75","104.75","166.67","50.73","60.89","8.33","270","50","60"
"2010","Städtischer Raum","Westdeutschland","58.57","49.88","3053","19.33","33.33","75","100","200","57.15","59.99","0","500","50.8333320617676","54.1666679382324"
"2011","Ländlicher Raum","Ostdeutschland","52.32","48.17","1077","20.83","33.25","66.67","83.33","166.67","50.3","54.34","5","416.67","50","50"
"2011","Ländlicher Raum","Westdeutschland","47.42","41.5","1859","16.67","28","60","83.33","154.17","46.03","48.81","0","250","41.6666679382324","46.6666679382324"
"2011","Städtischer Raum","Ostdeutschland","54.47","48.96","296","20.83","33.33","70","91.67","150","50.33","58.61","0","250","50","55.8333320617676"
"2011","Städtischer Raum","Westdeutschland","58.79","49.79","3904","20.83","33.33","75","103.33","200","57.49","60.09","0","583.33","50.8333320617676","55"
"2012","Ländlicher Raum","Ostdeutschland","51.96","45.75","1059","21.25","31.67","66.67","83.33","161.58","50.16","53.76","0","216.67","47.6666679382324","50"
"2012","Ländlicher Raum","Westdeutschland","48.87","41.62","1843","16.67","29.17","62.5","83.33","170.83","47.45","50.29","0","250","41.6666679382324","46.6666679382324"
"2012","Städtischer Raum","Ostdeutschland","58.89","49.17","271","16.67","37.5","75","116.67","187.08","53.96","63.82","0","208.33","50","60"
"2012","Städtischer Raum","Westdeutschland","62.67","49.96","3860","23.33","34.17","81.67","116.67","208.33","61.35","63.99","0","500","54.1666679382324","58.3333320617676"
"2013","Ländlicher Raum","Ostdeutschland","52.08","47.08","1019","20.83","33.33","66.67","87.5","141.67","50.19","53.97","4.17","353.33","48.3333320617676","50"
"2013","Ländlicher Raum","Westdeutschland","49.1","41.62","1821","18","29.17","60.83","83.33","166.67","47.6","50.6","0","291.67","42.9166679382324","48.3333320617676"
"2013","Städtischer Raum","Ostdeutschland","54.56","49.79","266","16.67","31.67","66.67","91.67","200","48.62","60.5","4.58","500","47.9166679382324","56.75"
"2013","Städtischer Raum","Westdeutschland","61.92","49.83","3949","21.58","33.33","83.33","116.67","200","60.65","63.19","0","416.67","54.1666679382324","58.3333320617676"
"2014","Ländlicher Raum","Ostdeutschland","45.14","41.25","1063","3","25","58.33","83.33","133.33","43.15","47.13","0","250","42.3333320617676","50"
"2014","Ländlicher Raum","Westdeutschland","44.2","39.88","1924","3","25","58.33","83.33","160","42.67","45.73","0","250","41.6666679382324","41.6666679382324"
"2014","Städtischer Raum","Ostdeutschland","50.3","43.83","301","3","8.33","70.83","104.17","181.67","45.27","55.33","0","250","41.6666679382324","50.8333320617676"
"2014","Städtischer Raum","Westdeutschland","54.24","45.75","4370","3","23.75","75","108.33","200.33","52.91","55.57","0","416.67","50","50"
"2015","Ländlicher Raum","Ostdeutschland","3","3","236","3","3","3","3","3","3","3","3","3","3","3"
"2015","Ländlicher Raum","Westdeutschland","3","3","585","3","3","3","3","3","3","3","3","3","3","3"
"2015","Städtischer Raum","Ostdeutschland","3","3","216","3","3","3","3","3","3","3","3","3","3","3"
"2015","Städtischer Raum","Westdeutschland","3","3","1674","3","3","3","3","3","3","3","3","3","3","3"
"2016","Ländlicher Raum","Ostdeutschland","46.43","41.54","992","3","20.83","60","83.33","183.33","43.98","48.88","3","666.67","41.6666679382324","50"
"2016","Ländlicher Raum","Westdeutschland","40.46","36.71","1863","3","16.67","54.17","83.33","166.67","38.95","41.97","3","250","36.6666679382324","41.6666679382324"
"2016","Städtischer Raum","Ostdeutschland","44.55","39.58","311","3","3","66.67","91.67","166.67","39.75","49.35","3","225","33.3333320617676","46.6666679382324"
"2016","Städtischer Raum","Westdeutschland","47.98","41.58","4141","3","12.5","66.67","100","208.33","46.6","49.36","2.25","500","41.6666679382324","41.6666679382324"
"2017","Ländlicher Raum","Ostdeutschland","47.32","41.62","1110","3","22.92","66.67","90","150","45.21","49.43","2.5","266.67","45.8333320617676","50"
"2017","Ländlicher Raum","Westdeutschland","44.7","39.83","1965","3","23.83","58.33","83.33","176.17","42.93","46.47","3","649.92","38.9166679382324","41.6666679382324"
"2017","Städtischer Raum","Ostdeutschland","46.68","40.92","363","3","3","66.67","108.33","216.67","41.16","52.2","3","400","41.6666679382324","49.9166679382324"
"2017","Städtischer Raum","Westdeutschland","50.51","41.58","4508","3","15.83","66.67","104.17","250","49.07","51.95","3","500","41.6666679382324","43.3333320617676"
"2018","Ländlicher Raum","Ostdeutschland","49.5","45.54","1074","3","25","66.67","84.17","208.33","47.28","51.72","3","316.67","45.8333320617676","50"
"2018","Ländlicher Raum","Westdeutschland","41.81","37.38","1906","3","18.83","54.17","83.33","166.67","40.23","43.39","1.25","333.33","38.75","41.6666679382324"
"2018","Städtischer Raum","Ostdeutschland","41.21","37.08","337","3","3","66.67","87.5","155.42","36.47","45.95","3","250","36.6666679382324","46.6666679382324"
"2018","Städtischer Raum","Westdeutschland","52.2","41.5","4318","3","16.67","70","108.67","241.67","50.73","53.67","3","566.67","41.6666679382324","46.6666679382324"
"2019","Ländlicher Raum","Ostdeutschland","51.81","49.33","1213","3","25","69.17","100","166.67","49.38","54.24","3","540.5","50","51.5"
"2019","Ländlicher Raum","Westdeutschland","43.16","39.67","1954","3","17.5","55.83","83.33","166.67","41.4","44.92","3","465.83","41.6666679382324","41.6666679382324"
"2019","Städtischer Raum","Ostdeutschland","45.8","41.46","415","3","3","66.67","108.33","180","40.07","51.53","3","652.5","41.6666679382324","50"
"2019","Städtischer Raum","Westdeutschland","55.59","41.38","4578","3","20.83","77.58","119.33","225","53.92","57.26","3","1000","50","50"
"2020","Ländlicher Raum","Ostdeutschland","54.43","49.92","1209","3","30.83","75","100","166.67","51.64","57.22","3","625","42.9166679382324","50"
"2020","Ländlicher Raum","Westdeutschland","44.94","41.54","1970","3","20.83","58.33","83.33","180","43.2","46.68","3","275","37.5","41.6666679382324"
"2020","Städtischer Raum","Ostdeutschland","51.55","40.96","522","3","3","81.67","116.67","208.33","45.32","57.78","1.67","1000","3","29.1666660308838"
"2020","Städtischer Raum","Westdeutschland","55.14","41.62","5208","3","16.67","75","116.67","250","53.58","56.7","2.5","1166.67","36.6666679382324","41.6666679382324"
