year,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,West,Other Degree,0.06326,1127,16543,0.05955,0.06697
2006,West,"Dropout, No School Degree",0.01426,216,16543,0.01245,0.01607
2006,West,No School Degree Yet,0.01925,505,16543,0.01716,0.02134
2006,East,Secondary School Degree,0.26554,1469,5239,0.25358,0.27750
2006,East,Intermediate School Degree,0.38946,2364,5239,0.37626,0.40267
2006,East,Technical School Degree,0.02107,122,5239,0.01718,0.02496
2006,East,Upper Secondary Degree,0.14414,1066,5239,0.13463,0.15365
2006,East,Other Degree,0.01795,71,5239,0.01436,0.02155
2006,East,No School Degree Yet,0.02004,147,5239,0.01624,0.02383
2007,West,Secondary School Degree,0.32575,5579,15385,0.31835,0.33316
2007,West,Intermediate School Degree,0.19945,3868,15385,0.19313,0.20576
2007,West,Technical School Degree,0.04670,932,15385,0.04336,0.05003
2007,West,Upper Secondary Degree,0.14880,3324,15385,0.14318,0.15443
2007,West,Other Degree,0.06285,1012,15385,0.05902,0.06669
2007,West,"Dropout, No School Degree",0.01356,192,15385,0.01174,0.01539
2007,West,No School Degree Yet,0.02107,478,15385,0.01880,0.02334
2007,East,Secondary School Degree,0.26020,1354,4951,0.24798,0.27242
2007,East,Intermediate School Degree,0.38817,2215,4951,0.37460,0.40175
2007,East,Technical School Degree,0.02394,127,4951,0.01968,0.02820
2007,East,Upper Secondary Degree,0.15108,1045,4951,0.14111,0.16106
2007,East,Other Degree,0.01594,58,4951,0.01245,0.01943
2007,East,No School Degree Yet,0.02373,152,4951,0.01949,0.02797
2008,West,Secondary School Degree,0.32368,5200,14380,0.31603,0.33133
2008,West,Intermediate School Degree,0.20298,3658,14380,0.19641,0.20955
2008,West,Technical School Degree,0.04764,893,14380,0.04416,0.05113
2008,West,Upper Secondary Degree,0.15203,3122,14380,0.14616,0.15790
2008,West,Other Degree,0.06086,892,14380,0.05695,0.06476
2008,West,"Dropout, No School Degree",0.01303,170,14380,0.01118,0.01489
2008,West,No School Degree Yet,0.02114,445,14380,0.01879,0.02349
2008,East,Secondary School Degree,0.25046,1273,4664,0.23803,0.26290
2008,East,Intermediate School Degree,0.39329,2111,4664,0.37926,0.40731
2008,East,Technical School Degree,0.02828,125,4664,0.02352,0.03304
2008,East,Upper Secondary Degree,0.14949,986,4664,0.13925,0.15972
2008,East,Other Degree,0.01268,54,4664,0.00947,0.01590
2008,East,No School Degree Yet,0.01994,115,4664,0.01593,0.02395
2009,West,Secondary School Degree,0.31664,4750,13305,0.30873,0.32454
2009,West,Intermediate School Degree,0.20565,3415,13305,0.19878,0.21251
2009,West,Technical School Degree,0.05103,845,13305,0.04729,0.05477
2009,West,Upper Secondary Degree,0.15822,2956,13305,0.15201,0.16442
2009,West,Other Degree,0.05716,762,13305,0.05321,0.06110
2009,West,"Dropout, No School Degree",0.01294,153,13305,0.01102,0.01486
2009,West,No School Degree Yet,0.02192,424,13305,0.01943,0.02441
2009,East,Secondary School Degree,0.23640,1196,4417,0.22387,0.24893
2009,East,Intermediate School Degree,0.39287,2015,4417,0.37846,0.40727
2009,East,Technical School Degree,0.02927,119,4417,0.02430,0.03424
2009,East,Upper Secondary Degree,0.15713,959,4417,0.14640,0.16787
2009,East,Other Degree,0.01035,46,4417,0.00736,0.01333
2009,East,No School Degree Yet,0.01694,82,4417,0.01313,0.02074
2010,West,Secondary School Degree,0.30312,5657,18405,0.29648,0.30977
2010,West,Intermediate School Degree,0.20528,4908,18405,0.19944,0.21111
2010,West,Technical School Degree,0.05198,1217,18405,0.04877,0.05518
2010,West,Upper Secondary Degree,0.16104,4191,18405,0.15573,0.16635
2010,West,Other Degree,0.06736,1487,18405,0.06373,0.07098
2010,West,"Dropout, No School Degree",0.01331,323,18405,0.01166,0.01497
2010,West,No School Degree Yet,0.02151,622,18405,0.01941,0.02361
2010,East,Secondary School Degree,0.22954,1219,5397,0.21832,0.24076
2010,East,Intermediate School Degree,0.40394,2571,5397,0.39085,0.41704
2010,East,Technical School Degree,0.03159,152,5397,0.02692,0.03626
2010,East,Upper Secondary Degree,0.16325,1229,5397,0.15339,0.17311
2010,East,Other Degree,0.01312,101,5397,0.01008,0.01616
2010,East,"Dropout, No School Degree",0.00467,37,5397,0.00285,0.00649
2010,East,No School Degree Yet,0.01008,88,5397,0.00742,0.01275
2011,West,Secondary School Degree,0.28979,6767,21824,0.28377,0.29580
2011,West,Intermediate School Degree,0.20170,5760,21824,0.19638,0.20702
2011,West,Technical School Degree,0.05217,1456,21824,0.04922,0.05512
2011,West,Upper Secondary Degree,0.16795,4934,21824,0.16299,0.17291
2011,West,Other Degree,0.07001,1749,21824,0.06662,0.07339
2011,West,"Dropout, No School Degree",0.01470,375,21824,0.01311,0.01630
2011,West,No School Degree Yet,0.02136,783,21824,0.01944,0.02328
2011,East,Secondary School Degree,0.22121,1427,6223,0.21090,0.23152
2011,East,Intermediate School Degree,0.40585,2949,6223,0.39365,0.41806
2011,East,Technical School Degree,0.02821,177,6223,0.02409,0.03232
2011,East,Upper Secondary Degree,0.16271,1373,6223,0.15354,0.17188
2011,East,Other Degree,0.01642,132,6223,0.01326,0.01958
2011,East,"Dropout, No School Degree",0.00714,54,6223,0.00505,0.00924
2011,East,No School Degree Yet,0.01071,111,6223,0.00815,0.01327
2012,West,Secondary School Degree,0.28292,6535,21350,0.27688,0.28896
2012,West,Intermediate School Degree,0.20297,5650,21350,0.19758,0.20837
2012,West,Technical School Degree,0.05250,1422,21350,0.04951,0.05550
2012,West,Upper Secondary Degree,0.16936,4857,21350,0.16433,0.17439
2012,West,Other Degree,0.07642,1716,21350,0.07286,0.07998
2012,West,"Dropout, No School Degree",0.01483,368,21350,0.01321,0.01645
2012,West,No School Degree Yet,0.02059,802,21350,0.01869,0.02250
2012,East,Secondary School Degree,0.22363,1412,6116,0.21319,0.23408
2012,East,Intermediate School Degree,0.39611,2861,6116,0.38385,0.40837
2012,East,Technical School Degree,0.03015,184,6116,0.02587,0.03444
2012,East,Upper Secondary Degree,0.16521,1356,6116,0.15590,0.17452
2012,East,Other Degree,0.01862,139,6116,0.01523,0.02201
2012,East,"Dropout, No School Degree",0.00703,55,6116,0.00494,0.00912
2012,East,No School Degree Yet,0.00950,109,6116,0.00707,0.01193
2013,West,Secondary School Degree,0.27273,6490,24241,0.26712,0.27833
2013,West,Intermediate School Degree,0.20214,5804,24241,0.19708,0.20719
2013,West,Technical School Degree,0.05439,1519,24241,0.05153,0.05724
2013,West,Upper Secondary Degree,0.17234,5101,24241,0.16759,0.17710
2013,West,Other Degree,0.08181,3776,24241,0.07836,0.08526
2013,West,"Dropout, No School Degree",0.01678,615,24241,0.01517,0.01840
2013,West,No School Degree Yet,0.02127,936,24241,0.01945,0.02308
2013,East,Secondary School Degree,0.21637,1303,6073,0.20601,0.22672
2013,East,Intermediate School Degree,0.40313,2740,6073,0.39079,0.41547
2013,East,Technical School Degree,0.02842,180,6073,0.02424,0.03260
2013,East,Upper Secondary Degree,0.15916,1276,6073,0.14995,0.16836
2013,East,Other Degree,0.02890,354,6073,0.02469,0.03312
2013,East,"Dropout, No School Degree",0.00893,71,6073,0.00656,0.01129
2013,East,No School Degree Yet,0.01163,149,6073,0.00894,0.01433
2014,West,Secondary School Degree,0.26402,5742,21210,0.25809,0.26995
2014,West,Intermediate School Degree,0.19854,5128,21210,0.19317,0.20391
2014,West,Technical School Degree,0.05709,1402,21210,0.05396,0.06021
2014,West,Upper Secondary Degree,0.18045,4665,21210,0.17528,0.18563
2014,West,Other Degree,0.08328,3006,21210,0.07956,0.08700
2014,West,"Dropout, No School Degree",0.01662,491,21210,0.01490,0.01834
2014,West,No School Degree Yet,0.01978,776,21210,0.01791,0.02165
2014,East,Secondary School Degree,0.21294,1207,5509,0.20213,0.22376
2014,East,Intermediate School Degree,0.39080,2484,5509,0.37791,0.40369
2014,East,Technical School Degree,0.03141,172,5509,0.02680,0.03601
2014,East,Upper Secondary Degree,0.15800,1182,5509,0.14837,0.16763
2014,East,Other Degree,0.02921,290,5509,0.02477,0.03366
2014,East,"Dropout, No School Degree",0.00968,58,5509,0.00710,0.01227
2014,East,No School Degree Yet,0.00979,116,5509,0.00719,0.01239
2015,West,Secondary School Degree,0.25413,5305,21022,0.24825,0.26002
2015,West,Intermediate School Degree,0.20099,4912,21022,0.19558,0.20641
2015,West,Technical School Degree,0.05723,1349,21022,0.05409,0.06037
2015,West,Upper Secondary Degree,0.18351,4549,21022,0.17828,0.18874
2015,West,Other Degree,0.08909,3717,21022,0.08524,0.09294
2015,West,"Dropout, No School Degree",0.01645,532,21022,0.01473,0.01817
2015,West,No School Degree Yet,0.01623,658,21022,0.01452,0.01794
2015,East,Secondary School Degree,0.20636,1123,5345,0.19551,0.21721
2015,East,Intermediate School Degree,0.39202,2364,5345,0.37893,0.40511
2015,East,Technical School Degree,0.02906,166,5345,0.02456,0.03357
2015,East,Upper Secondary Degree,0.16062,1141,5345,0.15077,0.17046
2015,East,Other Degree,0.03429,369,5345,0.02941,0.03917
2015,East,"Dropout, No School Degree",0.00999,61,5345,0.00732,0.01265
2015,East,No School Degree Yet,0.01113,121,5345,0.00832,0.01394
2016,West,Secondary School Degree,0.24803,4887,21313,0.24223,0.25383
2016,West,Intermediate School Degree,0.19809,4494,21313,0.19274,0.20344
2016,West,Technical School Degree,0.05773,1262,21313,0.05460,0.06087
2016,West,Upper Secondary Degree,0.18424,4265,21313,0.17903,0.18944
2016,West,Other Degree,0.09325,4377,21313,0.08934,0.09715
2016,West,"Dropout, No School Degree",0.01621,1053,21313,0.01452,0.01791
2016,West,No School Degree Yet,0.01696,760,21313,0.01522,0.01869
2016,West,No School Attended,0.00022,215,21313,0.00002,0.00042
2016,East,Secondary School Degree,0.18436,1008,5468,0.17408,0.19464
2016,East,Intermediate School Degree,0.38526,2225,5468,0.37236,0.39816
