year,pgisced97,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,First Stage of Tertiary Education,Intermediate School Degree,0.31627,200,609,0.27931,0.35323
1985,First Stage of Tertiary Education,Technical School Degree,0.09696,60,609,0.07344,0.12048
1985,First Stage of Tertiary Education,Upper Secondary Degree,0.12272,71,609,0.09664,0.14880
1985,Second Stage of Tertiary Education,Intermediate School Degree,0.09023,62,728,0.06941,0.11106
1985,Second Stage of Tertiary Education,Technical School Degree,0.17305,122,728,0.14555,0.20055
1985,Second Stage of Tertiary Education,Upper Secondary Degree,0.67905,491,728,0.64511,0.71298
1985,Second Stage of Tertiary Education,Other Degree,0.01998,53,728,0.00981,0.03016
1986,Primary Level,"Dropout, No School Degree",0.72958,581,736,0.69747,0.76170
1986,Primary Level,No School Attended,0.12718,155,736,0.10310,0.15127
1986,Lower Secondary Level,Secondary School Degree,0.77559,1874,2907,0.76042,0.79076
1986,Lower Secondary Level,Intermediate School Degree,0.18081,465,2907,0.16682,0.19481
1986,Lower Secondary Level,Other Degree,0.04310,568,2907,0.03571,0.05048
1986,Upper Secondary Level,Secondary School Degree,0.66155,3010,4964,0.64839,0.67472
1986,Upper Secondary Level,Intermediate School Degree,0.24942,1130,4964,0.23738,0.26146
1986,Upper Secondary Level,Technical School Degree,0.00928,47,4964,0.00661,0.01195
1986,Upper Secondary Level,Upper Secondary Degree,0.05280,272,4964,0.04658,0.05902
1986,Upper Secondary Level,Other Degree,0.01946,423,4964,0.01562,0.02331
1986,Upper Secondary Level,"Dropout, No School Degree",0.00489,82,4964,0.00295,0.00683
1986,Post-secondary Non-tertiary Level,Technical School Degree,0.37204,79,267,0.31395,0.43012
1986,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.54098,110,267,0.48110,0.60087
1986,Post-secondary Non-tertiary Level,Other Degree,0.08270,78,267,0.04960,0.11580
1986,First Stage of Tertiary Education,Secondary School Degree,0.45886,261,571,0.41795,0.49977
1986,First Stage of Tertiary Education,Intermediate School Degree,0.29682,179,571,0.25932,0.33433
1986,First Stage of Tertiary Education,Technical School Degree,0.09525,57,571,0.07115,0.11935
1986,First Stage of Tertiary Education,Upper Secondary Degree,0.13880,74,571,0.11041,0.16718
1986,Second Stage of Tertiary Education,Intermediate School Degree,0.09160,61,725,0.07059,0.11261
1986,Second Stage of Tertiary Education,Technical School Degree,0.17332,120,725,0.14575,0.20089
1986,Second Stage of Tertiary Education,Upper Secondary Degree,0.68302,490,725,0.64913,0.71692
1986,Second Stage of Tertiary Education,Other Degree,0.01858,54,725,0.00875,0.02842
1987,Pre-primary Level,No School Degree Yet,0.99893,191,191,0.99429,1.00357
1987,Primary Level,"Dropout, No School Degree",0.70241,554,707,0.66868,0.73613
1987,Primary Level,No School Attended,0.14242,153,707,0.11664,0.16820
1987,Lower Secondary Level,Secondary School Degree,0.79021,1837,2836,0.77523,0.80520
1987,Lower Secondary Level,Intermediate School Degree,0.16175,431,2836,0.14819,0.17530
1987,Lower Secondary Level,Other Degree,0.04799,568,2836,0.04012,0.05586
1987,Upper Secondary Level,Secondary School Degree,0.65574,2988,4937,0.64249,0.66900
1987,Upper Secondary Level,Intermediate School Degree,0.25590,1152,4937,0.24373,0.26808
1987,Upper Secondary Level,Technical School Degree,0.00873,44,4937,0.00614,0.01133
1987,Upper Secondary Level,Upper Secondary Degree,0.05009,254,4937,0.04401,0.05618
1987,Upper Secondary Level,Other Degree,0.02097,417,4937,0.01697,0.02496
1987,Upper Secondary Level,"Dropout, No School Degree",0.00511,82,4937,0.00312,0.00710
1987,Post-secondary Non-tertiary Level,Technical School Degree,0.36970,80,266,0.31158,0.42782
1987,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.54367,112,266,0.48370,0.60364
1987,Post-secondary Non-tertiary Level,Other Degree,0.08088,74,266,0.04805,0.11370
1987,First Stage of Tertiary Education,Secondary School Degree,0.45586,251,553,0.41431,0.49741
1987,First Stage of Tertiary Education,Intermediate School Degree,0.30161,179,553,0.26332,0.33990
1987,First Stage of Tertiary Education,Technical School Degree,0.08304,49,553,0.06002,0.10605
1987,First Stage of Tertiary Education,Upper Secondary Degree,0.14768,74,553,0.11808,0.17727
1987,Second Stage of Tertiary Education,Intermediate School Degree,0.08843,62,720,0.06767,0.10918
1987,Second Stage of Tertiary Education,Technical School Degree,0.17136,117,720,0.14382,0.19891
1987,Second Stage of Tertiary Education,Upper Secondary Degree,0.68962,495,720,0.65581,0.72344
1987,Second Stage of Tertiary Education,Other Degree,0.01753,46,720,0.00794,0.02712
1988,Pre-primary Level,No School Degree Yet,0.99094,163,163,0.97635,1.00553
1988,Primary Level,"Dropout, No School Degree",0.69845,505,651,0.66317,0.73373
1988,Primary Level,No School Attended,0.14501,146,651,0.11794,0.17208
1988,Lower Secondary Level,Secondary School Degree,0.79281,1752,2719,0.77757,0.80805
1988,Lower Secondary Level,Intermediate School Degree,0.16200,424,2719,0.14814,0.17585
1988,Lower Secondary Level,Other Degree,0.04519,543,2719,0.03739,0.05300
1988,Upper Secondary Level,Secondary School Degree,0.65590,2858,4706,0.64233,0.66948
1988,Upper Secondary Level,Intermediate School Degree,0.25803,1110,4706,0.24553,0.27053
1988,Upper Secondary Level,Technical School Degree,0.00707,37,4706,0.00468,0.00946
1988,Upper Secondary Level,Upper Secondary Degree,0.05135,245,4706,0.04505,0.05766
1988,Upper Secondary Level,Other Degree,0.01917,382,4706,0.01525,0.02308
1988,Upper Secondary Level,"Dropout, No School Degree",0.00499,74,4706,0.00298,0.00701
1988,Post-secondary Non-tertiary Level,Technical School Degree,0.36531,79,262,0.30689,0.42372
1988,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.56062,112,262,0.50041,0.62083
1988,Post-secondary Non-tertiary Level,Other Degree,0.06789,71,262,0.03737,0.09840
1988,First Stage of Tertiary Education,Secondary School Degree,0.46594,243,529,0.42339,0.50849
1988,First Stage of Tertiary Education,Intermediate School Degree,0.29365,169,529,0.25480,0.33250
1988,First Stage of Tertiary Education,Technical School Degree,0.08607,48,529,0.06215,0.10999
1988,First Stage of Tertiary Education,Upper Secondary Degree,0.14362,69,529,0.11370,0.17353
1988,Second Stage of Tertiary Education,Intermediate School Degree,0.09289,61,684,0.07112,0.11466
1988,Second Stage of Tertiary Education,Technical School Degree,0.17424,113,684,0.14579,0.20268
1988,Second Stage of Tertiary Education,Upper Secondary Degree,0.69463,475,684,0.66009,0.72917
1988,Second Stage of Tertiary Education,Other Degree,0.01419,35,684,0.00532,0.02306
1989,Primary Level,"Dropout, No School Degree",0.71544,479,616,0.67978,0.75110
1989,Primary Level,No School Attended,0.14425,137,616,0.11648,0.17202
1989,Lower Secondary Level,Secondary School Degree,0.78726,1650,2570,0.77144,0.80309
1989,Lower Secondary Level,Intermediate School Degree,0.16123,392,2570,0.14700,0.17545
1989,Lower Secondary Level,Other Degree,0.05142,528,2570,0.04288,0.05996
1989,Upper Secondary Level,Secondary School Degree,0.65059,2755,4578,0.63677,0.66440
1989,Upper Secondary Level,Intermediate School Degree,0.26056,1097,4578,0.24785,0.27328
1989,Upper Secondary Level,Technical School Degree,0.00701,36,4578,0.00459,0.00943
1989,Upper Secondary Level,Upper Secondary Degree,0.05262,252,4578,0.04615,0.05909
1989,Upper Secondary Level,Other Degree,0.02036,363,4578,0.01627,0.02445
1989,Upper Secondary Level,"Dropout, No School Degree",0.00470,75,4578,0.00272,0.00668
1989,Post-secondary Non-tertiary Level,Technical School Degree,0.34331,82,282,0.28780,0.39883
1989,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.58347,131,282,0.52583,0.64111
1989,Post-secondary Non-tertiary Level,Other Degree,0.06744,69,282,0.03812,0.09677
1989,First Stage of Tertiary Education,Secondary School Degree,0.46547,230,506,0.42196,0.50897
1989,First Stage of Tertiary Education,Intermediate School Degree,0.29946,165,506,0.25951,0.33941
1989,First Stage of Tertiary Education,Technical School Degree,0.07960,45,506,0.05599,0.10321
1989,First Stage of Tertiary Education,Upper Secondary Degree,0.14523,66,506,0.11450,0.17596
1989,Second Stage of Tertiary Education,Intermediate School Degree,0.08107,56,681,0.06055,0.10158
1989,Second Stage of Tertiary Education,Technical School Degree,0.18058,116,681,0.15167,0.20950
1989,Second Stage of Tertiary Education,Upper Secondary Degree,0.69585,475,681,0.66127,0.73043
1989,Second Stage of Tertiary Education,Other Degree,0.01523,34,681,0.00603,0.02444
1990,Pre-primary Level,No School Degree Yet,0.99770,194,194,0.99094,1.00446
1990,Primary Level,"Dropout, No School Degree",0.70345,472,603,0.66697,0.73994
1990,Primary Level,No School Attended,0.14189,131,603,0.11401,0.16976
1990,Lower Secondary Level,Secondary School Degree,0.76716,1899,2985,0.75199,0.78232
1990,Lower Secondary Level,Intermediate School Degree,0.17648,543,2985,0.16280,0.19016
1990,Lower Secondary Level,Other Degree,0.05605,543,2985,0.04780,0.06431
1990,Upper Secondary Level,Secondary School Degree,0.61739,3911,7016,0.60602,0.62877
1990,Upper Secondary Level,Intermediate School Degree,0.30282,2334,7016,0.29207,0.31358
1990,Upper Secondary Level,Technical School Degree,0.00469,33,7016,0.00309,0.00629
1990,Upper Secondary Level,Upper Secondary Degree,0.04580,289,7016,0.04091,0.05069
1990,Upper Secondary Level,Other Degree,0.01990,379,7016,0.01663,0.02317
1990,Upper Secondary Level,"Dropout, No School Degree",0.00435,70,7016,0.00281,0.00589
1990,Post-secondary Non-tertiary Level,Technical School Degree,0.30929,85,366,0.26187,0.35671
1990,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.61629,211,366,0.56640,0.66618
1990,Post-secondary Non-tertiary Level,Other Degree,0.06878,70,366,0.04282,0.09474
1990,First Stage of Tertiary Education,Secondary School Degree,0.45670,324,759,0.42124,0.49217
1990,First Stage of Tertiary Education,Intermediate School Degree,0.34396,316,759,0.31014,0.37778
1990,First Stage of Tertiary Education,Technical School Degree,0.06354,43,759,0.04617,0.08090
1990,First Stage of Tertiary Education,Upper Secondary Degree,0.12727,76,759,0.10354,0.15099
1990,Second Stage of Tertiary Education,Secondary School Degree,0.05864,119,1684,0.04741,0.06986
1990,Second Stage of Tertiary Education,Intermediate School Degree,0.22304,529,1684,0.20316,0.24293
1990,Second Stage of Tertiary Education,Technical School Degree,0.11580,125,1684,0.10052,0.13109
1990,Second Stage of Tertiary Education,Upper Secondary Degree,0.58277,874,1684,0.55921,0.60633
1990,Second Stage of Tertiary Education,Other Degree,0.01198,37,1684,0.00678,0.01718
1991,Pre-primary Level,No School Degree Yet,0.96181,150,150,0.93103,0.99258
1991,Primary Level,"Dropout, No School Degree",0.74101,503,628,0.70672,0.77530
1991,Primary Level,No School Attended,0.13946,125,628,0.11234,0.16658
1991,Lower Secondary Level,Secondary School Degree,0.76238,1800,2858,0.74677,0.77798
1991,Lower Secondary Level,Intermediate School Degree,0.17592,530,2858,0.16196,0.18989
1991,Lower Secondary Level,Other Degree,0.06137,528,2858,0.05257,0.07017
1991,Upper Secondary Level,Secondary School Degree,0.60914,3781,6850,0.59758,0.62069
1991,Upper Secondary Level,Intermediate School Degree,0.31086,2301,6850,0.29989,0.32182
1991,Upper Secondary Level,Technical School Degree,0.00596,42,6850,0.00414,0.00778
1991,Upper Secondary Level,Upper Secondary Degree,0.04297,285,6850,0.03816,0.04777
1991,Upper Secondary Level,Other Degree,0.02086,374,6850,0.01748,0.02425
1991,Upper Secondary Level,"Dropout, No School Degree",0.00445,67,6850,0.00287,0.00602
1991,Post-secondary Non-tertiary Level,Technical School Degree,0.28915,87,373,0.24308,0.33523
1991,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.62743,215,373,0.57830,0.67656
1991,Post-secondary Non-tertiary Level,Other Degree,0.07877,71,373,0.05140,0.10615
1991,First Stage of Tertiary Education,Secondary School Degree,0.44401,315,747,0.40836,0.47967
1991,First Stage of Tertiary Education,Intermediate School Degree,0.35015,308,747,0.31592,0.38438
1991,First Stage of Tertiary Education,Technical School Degree,0.06522,44,747,0.04750,0.08294
1991,First Stage of Tertiary Education,Upper Secondary Degree,0.13337,80,747,0.10897,0.15776
1991,Second Stage of Tertiary Education,Secondary School Degree,0.06246,119,1668,0.05084,0.07408
1991,Second Stage of Tertiary Education,Intermediate School Degree,0.22131,524,1668,0.20138,0.24124
1991,Second Stage of Tertiary Education,Technical School Degree,0.11273,124,1668,0.09754,0.12791
1991,Second Stage of Tertiary Education,Upper Secondary Degree,0.58133,866,1668,0.55765,0.60502
1991,Second Stage of Tertiary Education,Other Degree,0.01206,35,1668,0.00682,0.01730
1992,Pre-primary Level,No School Degree Yet,0.96000,178,178,0.93113,0.98887
1992,Primary Level,"Dropout, No School Degree",0.73370,476,593,0.69810,0.76931
1992,Primary Level,No School Attended,0.14057,117,593,0.11257,0.16857
1992,Lower Secondary Level,Secondary School Degree,0.75470,1738,2784,0.73871,0.77068
1992,Lower Secondary Level,Intermediate School Degree,0.17899,534,2784,0.16474,0.19323
1992,Lower Secondary Level,Other Degree,0.06576,512,2784,0.05655,0.07497
1992,Upper Secondary Level,Secondary School Degree,0.60349,3666,6655,0.59173,0.61524
1992,Upper Secondary Level,Intermediate School Degree,0.31159,2244,6655,0.30046,0.32271
1992,Upper Secondary Level,Technical School Degree,0.00698,45,6655,0.00498,0.00898
1992,Upper Secondary Level,Upper Secondary Degree,0.04339,271,6655,0.03850,0.04829
1992,Upper Secondary Level,Other Degree,0.02328,363,6655,0.01965,0.02690
1992,Upper Secondary Level,"Dropout, No School Degree",0.00503,66,6655,0.00333,0.00673
1992,Post-secondary Non-tertiary Level,Technical School Degree,0.27366,89,378,0.22866,0.31867
1992,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.63694,221,378,0.58840,0.68548
1992,Post-secondary Non-tertiary Level,Other Degree,0.08434,68,378,0.05629,0.11239
1992,First Stage of Tertiary Education,Secondary School Degree,0.43574,311,754,0.40032,0.47116
1992,First Stage of Tertiary Education,Intermediate School Degree,0.35246,311,754,0.31834,0.38659
1992,First Stage of Tertiary Education,Technical School Degree,0.07093,48,754,0.05259,0.08927
1992,First Stage of Tertiary Education,Upper Secondary Degree,0.13392,84,754,0.10960,0.15825
1992,Second Stage of Tertiary Education,Secondary School Degree,0.06192,116,1644,0.05026,0.07357
1992,Second Stage of Tertiary Education,Intermediate School Degree,0.22138,515,1644,0.20131,0.24146
1992,Second Stage of Tertiary Education,Technical School Degree,0.11087,122,1644,0.09569,0.12605
1992,Second Stage of Tertiary Education,Upper Secondary Degree,0.58320,858,1644,0.55936,0.60704
1992,Second Stage of Tertiary Education,Other Degree,0.01109,33,1644,0.00602,0.01615
1993,Pre-primary Level,No School Degree Yet,0.95698,176,176,0.92691,0.98704
1993,Primary Level,"Dropout, No School Degree",0.73747,464,582,0.70169,0.77325
1993,Primary Level,No School Attended,0.15253,118,582,0.12329,0.18176
1993,Lower Secondary Level,Secondary School Degree,0.75021,1676,2678,0.73382,0.76661
1993,Lower Secondary Level,Intermediate School Degree,0.17908,506,2678,0.16455,0.19360
1993,Lower Secondary Level,Other Degree,0.07071,496,2678,0.06100,0.08042
1993,Upper Secondary Level,Secondary School Degree,0.59692,3580,6592,0.58507,0.60876
1993,Upper Secondary Level,Intermediate School Degree,0.31744,2263,6592,0.30620,0.32868
1993,Upper Secondary Level,Technical School Degree,0.00651,46,6592,0.00457,0.00846
1993,Upper Secondary Level,Upper Secondary Degree,0.04321,291,6592,0.03830,0.04812
1993,Upper Secondary Level,Other Degree,0.02431,350,6592,0.02060,0.02803
1993,Upper Secondary Level,"Dropout, No School Degree",0.00492,62,6592,0.00323,0.00660
1993,Post-secondary Non-tertiary Level,Technical School Degree,0.29915,94,379,0.25299,0.34531
1993,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.60631,219,379,0.55705,0.65556
1993,Post-secondary Non-tertiary Level,Other Degree,0.08904,66,379,0.06033,0.11775
1993,First Stage of Tertiary Education,Secondary School Degree,0.43213,299,735,0.39629,0.46796
1993,First Stage of Tertiary Education,Intermediate School Degree,0.35450,309,735,0.31989,0.38911
1993,First Stage of Tertiary Education,Technical School Degree,0.06255,42,735,0.04503,0.08006
1993,First Stage of Tertiary Education,Upper Secondary Degree,0.14483,85,735,0.11937,0.17030
1993,Second Stage of Tertiary Education,Secondary School Degree,0.06035,109,1625,0.04877,0.07193
1993,Second Stage of Tertiary Education,Intermediate School Degree,0.21517,492,1625,0.19518,0.23515
1993,Second Stage of Tertiary Education,Technical School Degree,0.11007,125,1625,0.09484,0.12529
1993,Second Stage of Tertiary Education,Upper Secondary Degree,0.58745,864,1625,0.56351,0.61139
1993,Second Stage of Tertiary Education,Other Degree,0.01520,35,1625,0.00925,0.02116
1994,Pre-primary Level,No School Degree Yet,0.96628,229,229,0.94284,0.98971
1994,Primary Level,"Dropout, No School Degree",0.73575,422,530,0.69817,0.77332
1994,Primary Level,No School Attended,0.15212,108,530,0.12152,0.18273
1994,Lower Secondary Level,Secondary School Degree,0.75487,1581,2492,0.73798,0.77176
1994,Lower Secondary Level,Intermediate School Degree,0.17240,458,2492,0.15757,0.18724
1994,Lower Secondary Level,Other Degree,0.07273,453,2492,0.06253,0.08292
1994,Upper Secondary Level,Secondary School Degree,0.59157,3494,6484,0.57960,0.60353
1994,Upper Secondary Level,Intermediate School Degree,0.31807,2253,6484,0.30673,0.32940
1994,Upper Secondary Level,Technical School Degree,0.00704,48,6484,0.00501,0.00908
1994,Upper Secondary Level,Upper Secondary Degree,0.04442,299,6484,0.03941,0.04944
1994,Upper Secondary Level,Other Degree,0.02533,331,6484,0.02150,0.02915
1994,Upper Secondary Level,"Dropout, No School Degree",0.00492,59,6484,0.00322,0.00662
1994,Post-secondary Non-tertiary Level,Technical School Degree,0.30996,100,384,0.26364,0.35627
1994,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.59766,226,384,0.54855,0.64677
1994,Post-secondary Non-tertiary Level,Other Degree,0.08579,58,384,0.05774,0.11384
1994,First Stage of Tertiary Education,Secondary School Degree,0.43131,295,740,0.39560,0.46701
1994,First Stage of Tertiary Education,Intermediate School Degree,0.35439,318,740,0.31990,0.38888
1994,First Stage of Tertiary Education,Technical School Degree,0.06632,45,740,0.04838,0.08426
1994,First Stage of Tertiary Education,Upper Secondary Degree,0.13993,82,740,0.11491,0.16494
1994,Second Stage of Tertiary Education,Secondary School Degree,0.06471,114,1609,0.05269,0.07674
1994,Second Stage of Tertiary Education,Intermediate School Degree,0.20152,480,1609,0.18191,0.22112
1994,Second Stage of Tertiary Education,Technical School Degree,0.10943,128,1609,0.09417,0.12469
1994,Second Stage of Tertiary Education,Upper Secondary Degree,0.59634,887,1609,0.57235,0.62032
1995,Pre-primary Level,No School Degree Yet,0.97906,279,279,0.96223,0.99589
1995,Primary Level,"Dropout, No School Degree",0.74103,407,505,0.70278,0.77927
1995,Primary Level,No School Attended,0.13144,98,505,0.10194,0.16094
1995,Lower Secondary Level,Secondary School Degree,0.74541,1525,2492,0.72830,0.76252
1995,Lower Secondary Level,Intermediate School Degree,0.17085,471,2492,0.15607,0.18563
1995,Lower Secondary Level,Other Degree,0.08374,496,2492,0.07286,0.09462
1995,Upper Secondary Level,Secondary School Degree,0.58334,3463,6638,0.57148,0.59520
1995,Upper Secondary Level,Intermediate School Degree,0.31301,2289,6638,0.30185,0.32417
1995,Upper Secondary Level,Technical School Degree,0.00788,53,6638,0.00576,0.01001
1995,Upper Secondary Level,Upper Secondary Degree,0.04449,324,6638,0.03953,0.04945
1995,Upper Secondary Level,Other Degree,0.03647,441,6638,0.03196,0.04098
1995,Upper Secondary Level,"Dropout, No School Degree",0.00588,68,6638,0.00404,0.00772
1995,Post-secondary Non-tertiary Level,Technical School Degree,0.26697,107,456,0.22632,0.30761
1995,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.55248,240,456,0.50679,0.59817
1995,Post-secondary Non-tertiary Level,Other Degree,0.16106,109,456,0.12728,0.19484
1995,First Stage of Tertiary Education,Secondary School Degree,0.40911,282,744,0.37376,0.44447
1995,First Stage of Tertiary Education,Intermediate School Degree,0.38249,340,744,0.34754,0.41743
1995,First Stage of Tertiary Education,Technical School Degree,0.06353,41,744,0.04599,0.08106
1995,First Stage of Tertiary Education,Upper Secondary Degree,0.13149,81,744,0.10719,0.15579
1995,Second Stage of Tertiary Education,Secondary School Degree,0.06158,113,1739,0.05028,0.07288
1995,Second Stage of Tertiary Education,Intermediate School Degree,0.19137,478,1739,0.17287,0.20986
1995,Second Stage of Tertiary Education,Technical School Degree,0.10784,139,1739,0.09326,0.12242
1995,Second Stage of Tertiary Education,Upper Secondary Degree,0.57651,922,1739,0.55327,0.59974
1995,Second Stage of Tertiary Education,Other Degree,0.04661,87,1739,0.03670,0.05652
1996,Pre-primary Level,No School Degree Yet,0.98544,287,287,0.97156,0.99932
1996,Primary Level,"Dropout, No School Degree",0.75292,375,462,0.71355,0.79229
1996,Primary Level,No School Attended,0.12990,87,462,0.09921,0.16059
1996,Lower Secondary Level,Secondary School Degree,0.73816,1463,2385,0.72051,0.75580
1996,Lower Secondary Level,Intermediate School Degree,0.17732,467,2385,0.16199,0.19265
1996,Lower Secondary Level,Other Degree,0.08452,455,2385,0.07336,0.09569
1996,Upper Secondary Level,Secondary School Degree,0.58096,3396,6520,0.56899,0.59294
1996,Upper Secondary Level,Intermediate School Degree,0.31679,2283,6520,0.30550,0.32808
1996,Upper Secondary Level,Technical School Degree,0.00581,45,6520,0.00397,0.00766
1996,Upper Secondary Level,Upper Secondary Degree,0.04333,307,6520,0.03839,0.04827
1996,Upper Secondary Level,Other Degree,0.03740,426,6520,0.03280,0.04201
1996,Upper Secondary Level,"Dropout, No School Degree",0.00593,63,6520,0.00407,0.00779
1996,Post-secondary Non-tertiary Level,Technical School Degree,0.27340,107,454,0.23235,0.31444
1996,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.55445,252,454,0.50868,0.60022
1996,Post-secondary Non-tertiary Level,Other Degree,0.14176,95,454,0.10964,0.17388
1996,First Stage of Tertiary Education,Secondary School Degree,0.40595,279,750,0.37078,0.44112
1996,First Stage of Tertiary Education,Intermediate School Degree,0.38531,349,750,0.35045,0.42016
1996,First Stage of Tertiary Education,Technical School Degree,0.06645,41,750,0.04861,0.08429
1996,First Stage of Tertiary Education,Upper Secondary Degree,0.12737,81,750,0.10349,0.15125
1996,Second Stage of Tertiary Education,Secondary School Degree,0.05887,111,1747,0.04783,0.06991
1996,Second Stage of Tertiary Education,Intermediate School Degree,0.19208,478,1747,0.17360,0.21056
1996,Second Stage of Tertiary Education,Technical School Degree,0.10932,145,1747,0.09468,0.12396
1996,Second Stage of Tertiary Education,Upper Secondary Degree,0.57425,932,1747,0.55105,0.59744
1996,Second Stage of Tertiary Education,Other Degree,0.04577,81,1747,0.03597,0.05558
1997,Pre-primary Level,No School Degree Yet,0.98669,310,310,0.97391,0.99947
1997,Primary Level,"Dropout, No School Degree",0.73511,349,432,0.69345,0.77677
1997,Primary Level,No School Attended,0.13650,83,432,0.10408,0.16891
1997,Lower Secondary Level,Secondary School Degree,0.73719,1432,2329,0.71931,0.75507
1997,Lower Secondary Level,Intermediate School Degree,0.18157,475,2329,0.16591,0.19723
1997,Lower Secondary Level,Other Degree,0.08124,422,2329,0.07015,0.09234
1997,Upper Secondary Level,Secondary School Degree,0.57580,3310,6382,0.56367,0.58793
1997,Upper Secondary Level,Intermediate School Degree,0.31717,2246,6382,0.30575,0.32859
1997,Upper Secondary Level,Technical School Degree,0.00730,49,6382,0.00521,0.00939
1997,Upper Secondary Level,Upper Secondary Degree,0.04494,310,6382,0.03986,0.05003
1997,Upper Secondary Level,Other Degree,0.03811,404,6382,0.03342,0.04281
1997,Upper Secondary Level,"Dropout, No School Degree",0.00584,63,6382,0.00397,0.00771
1997,Post-secondary Non-tertiary Level,Technical School Degree,0.25938,99,435,0.21814,0.30061
1997,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.57737,252,435,0.53090,0.62385
1997,Post-secondary Non-tertiary Level,Other Degree,0.13253,84,435,0.10063,0.16443
1997,First Stage of Tertiary Education,Secondary School Degree,0.38994,268,743,0.35484,0.42503
1997,First Stage of Tertiary Education,Intermediate School Degree,0.37614,339,743,0.34129,0.41100
1997,First Stage of Tertiary Education,Technical School Degree,0.07121,46,743,0.05271,0.08971
