year,age_gr,pgisced97,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.44434,316,924,0.41228,0.47640
1987,17-29 y.,Lower Secondary Level,Other Degree,0.03050,84,924,0.01940,0.04159
1987,17-29 y.,Upper Secondary Level,Secondary School Degree,0.43682,636,1376,0.41060,0.46303
1987,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.33017,407,1376,0.30531,0.35502
1987,17-29 y.,Upper Secondary Level,Technical School Degree,0.03097,40,1376,0.02181,0.04012
1987,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.17268,220,1376,0.15270,0.19266
1987,17-29 y.,Upper Secondary Level,Other Degree,0.01909,73,1376,0.01186,0.02633
1987,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.38758,37,89,0.28579,0.48938
1987,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.57442,52,89,0.47112,0.67773
1987,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.47493,43,43,0.32391,0.62596
1987,17-29 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.74080,62,62,0.63083,0.85076
1987,30-45 y.,Primary Level,"Dropout, No School Degree",0.72681,211,270,0.67356,0.78006
1987,30-45 y.,Primary Level,No School Attended,0.18217,59,270,0.13604,0.22829
1987,30-45 y.,Lower Secondary Level,Secondary School Degree,0.71187,267,588,0.67523,0.74850
1987,30-45 y.,Lower Secondary Level,Intermediate School Degree,0.11413,40,588,0.08841,0.13985
1987,30-45 y.,Lower Secondary Level,Other Degree,0.17401,281,588,0.14334,0.20468
1987,30-45 y.,Upper Secondary Level,Secondary School Degree,0.68129,956,1564,0.65819,0.70439
1987,30-45 y.,Upper Secondary Level,Intermediate School Degree,0.26131,369,1564,0.23953,0.28310
1987,30-45 y.,Upper Secondary Level,Other Degree,0.03350,208,1564,0.02458,0.04242
1987,30-45 y.,Upper Secondary Level,"Dropout, No School Degree",0.00486,31,1564,0.00141,0.00830
1987,30-45 y.,Post-secondary Non-tertiary Level,Other Degree,0.16170,40,40,0.04615,0.27725
1987,30-45 y.,First Stage of Tertiary Education,Secondary School Degree,0.37465,79,162,0.29988,0.44941
1987,30-45 y.,First Stage of Tertiary Education,Intermediate School Degree,0.37968,83,162,0.30471,0.45464
1987,30-45 y.,Second Stage of Tertiary Education,Technical School Degree,0.15274,49,309,0.11257,0.19292
1987,30-45 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.74153,260,309,0.69264,0.79042
1987,46-65 y.,Primary Level,"Dropout, No School Degree",0.71917,237,320,0.66985,0.76848
1987,46-65 y.,Primary Level,No School Attended,0.24318,83,320,0.19610,0.29025
1987,46-65 y.,Lower Secondary Level,Secondary School Degree,0.89252,672,919,0.87249,0.91256
1987,46-65 y.,Lower Secondary Level,Intermediate School Degree,0.06187,47,919,0.04628,0.07745
1987,46-65 y.,Lower Secondary Level,Other Degree,0.04561,200,919,0.03211,0.05911
1987,46-65 y.,Upper Secondary Level,Secondary School Degree,0.76819,1029,1454,0.74649,0.78989
1987,46-65 y.,Upper Secondary Level,Intermediate School Degree,0.19690,257,1454,0.17645,0.21735
1987,46-65 y.,Upper Secondary Level,Other Degree,0.02041,133,1454,0.01314,0.02769
1987,46-65 y.,Upper Secondary Level,"Dropout, No School Degree",0.00655,35,1454,0.00240,0.01070
1987,46-65 y.,First Stage of Tertiary Education,Secondary School Degree,0.62422,118,156,0.54797,0.70046
1987,46-65 y.,First Stage of Tertiary Education,Intermediate School Degree,0.19874,38,156,0.13592,0.26157
1987,46-65 y.,Second Stage of Tertiary Education,Technical School Degree,0.19799,40,176,0.13895,0.25703
1987,46-65 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.61417,136,176,0.54205,0.68630
1987,66 and older,Lower Secondary Level,Secondary School Degree,0.92703,374,374,0.90064,0.95343
1987,66 and older,Upper Secondary Level,Secondary School Degree,0.72601,367,486,0.68631,0.76570
1987,66 and older,Upper Secondary Level,Intermediate School Degree,0.24773,119,486,0.20931,0.28615
1987,66 and older,First Stage of Tertiary Education,Secondary School Degree,0.49286,35,35,0.32481,0.66091
1987,66 and older,Second Stage of Tertiary Education,Upper Secondary Degree,0.65089,37,37,0.49518,0.80661
1988,17-29 y.,Primary Level,"Dropout, No School Degree",0.62591,87,87,0.52364,0.72818
1988,17-29 y.,Lower Secondary Level,Secondary School Degree,0.53774,524,916,0.50544,0.57005
1988,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.43368,310,916,0.40157,0.46579
1988,17-29 y.,Lower Secondary Level,Other Degree,0.02858,82,916,0.01778,0.03937
1988,17-29 y.,Upper Secondary Level,Secondary School Degree,0.43790,601,1286,0.41077,0.46502
1988,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.32991,382,1286,0.30420,0.35562
1988,17-29 y.,Upper Secondary Level,Technical School Degree,0.02473,33,1286,0.01624,0.03322
1988,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.17949,210,1286,0.15851,0.20048
1988,17-29 y.,Upper Secondary Level,Other Degree,0.01790,60,1286,0.01065,0.02515
1988,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.38144,37,91,0.28109,0.48179
1988,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.58864,54,91,0.48698,0.69031
1988,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.48011,38,38,0.31913,0.64109
1988,17-29 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.69398,50,50,0.56494,0.82301
1988,30-45 y.,Primary Level,"Dropout, No School Degree",0.75830,185,233,0.70321,0.81339
1988,30-45 y.,Primary Level,No School Attended,0.15911,48,233,0.11204,0.20618
1988,30-45 y.,Lower Secondary Level,Secondary School Degree,0.71922,246,534,0.68107,0.75737
1988,30-45 y.,Lower Secondary Level,Intermediate School Degree,0.12324,39,534,0.09533,0.15115
1988,30-45 y.,Lower Secondary Level,Other Degree,0.15754,249,534,0.12661,0.18847
1988,30-45 y.,Upper Secondary Level,Secondary School Degree,0.67291,896,1442,0.64869,0.69713
1988,30-45 y.,Upper Secondary Level,Intermediate School Degree,0.27186,363,1442,0.24889,0.29484
1988,30-45 y.,Upper Secondary Level,Other Degree,0.02863,183,1442,0.02002,0.03724
1988,30-45 y.,Post-secondary Non-tertiary Level,Other Degree,0.14020,38,38,0.02833,0.25207
1988,30-45 y.,First Stage of Tertiary Education,Secondary School Degree,0.38616,79,158,0.31000,0.46232
1988,30-45 y.,First Stage of Tertiary Education,Intermediate School Degree,0.35955,79,158,0.28449,0.43462
1988,30-45 y.,Second Stage of Tertiary Education,Technical School Degree,0.15511,50,303,0.11428,0.19594
1988,30-45 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.76382,253,303,0.71592,0.81173
1988,46-65 y.,Primary Level,"Dropout, No School Degree",0.69048,222,306,0.63859,0.74236
1988,46-65 y.,Primary Level,No School Attended,0.26612,84,306,0.21652,0.31571
1988,46-65 y.,Lower Secondary Level,Secondary School Degree,0.88747,635,890,0.86669,0.90824
1988,46-65 y.,Lower Secondary Level,Intermediate School Degree,0.06520,47,890,0.04897,0.08143
1988,46-65 y.,Lower Secondary Level,Other Degree,0.04733,208,890,0.03337,0.06129
1988,46-65 y.,Upper Secondary Level,Secondary School Degree,0.77176,997,1414,0.74988,0.79364
1988,46-65 y.,Upper Secondary Level,Intermediate School Degree,0.19409,247,1414,0.17347,0.21471
1988,46-65 y.,Upper Secondary Level,Other Degree,0.02067,136,1414,0.01325,0.02809
1988,46-65 y.,Upper Secondary Level,"Dropout, No School Degree",0.00698,34,1414,0.00264,0.01133
1988,46-65 y.,First Stage of Tertiary Education,Secondary School Degree,0.61339,110,149,0.53493,0.69184
1988,46-65 y.,First Stage of Tertiary Education,Intermediate School Degree,0.21497,39,149,0.14878,0.28115
1988,46-65 y.,Second Stage of Tertiary Education,Technical School Degree,0.20519,39,177,0.14552,0.26485
1988,46-65 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.62343,138,177,0.55184,0.69501
1988,66 and older,Lower Secondary Level,Secondary School Degree,0.92237,347,347,0.89417,0.95056
1988,66 and older,Upper Secondary Level,Secondary School Degree,0.72379,364,482,0.68383,0.76375
1988,66 and older,Upper Secondary Level,Intermediate School Degree,0.25037,118,482,0.21165,0.28909
1988,66 and older,First Stage of Tertiary Education,Secondary School Degree,0.52609,37,37,0.36298,0.68920
1988,66 and older,Second Stage of Tertiary Education,Upper Secondary Degree,0.63017,34,34,0.46545,0.79488
1989,17-29 y.,Primary Level,"Dropout, No School Degree",0.68738,87,87,0.58941,0.78536
1989,17-29 y.,Lower Secondary Level,Secondary School Degree,0.53981,496,858,0.50644,0.57318
1989,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.42792,285,858,0.39479,0.46105
1989,17-29 y.,Lower Secondary Level,Other Degree,0.03228,77,858,0.02044,0.04411
1989,17-29 y.,Upper Secondary Level,Secondary School Degree,0.42904,591,1275,0.40186,0.45622
1989,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.33042,384,1275,0.30459,0.35625
1989,17-29 y.,Upper Secondary Level,Technical School Degree,0.02545,32,1275,0.01680,0.03409
1989,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.18402,214,1275,0.16274,0.20530
1989,17-29 y.,Upper Secondary Level,Other Degree,0.01891,54,1275,0.01143,0.02639
1989,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.34099,38,107,0.25074,0.43123
1989,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.62844,69,107,0.53645,0.72043
1989,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.41817,36,36,0.25476,0.58159
1989,17-29 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.69207,55,55,0.56894,0.81520
1989,30-45 y.,Primary Level,"Dropout, No School Degree",0.74448,168,212,0.68563,0.80333
1989,30-45 y.,Primary Level,No School Attended,0.14958,44,212,0.10146,0.19771
1989,30-45 y.,Lower Secondary Level,Secondary School Degree,0.71276,231,498,0.67298,0.75254
1989,30-45 y.,Lower Secondary Level,Intermediate School Degree,0.11424,35,498,0.08627,0.14220
1989,30-45 y.,Lower Secondary Level,Other Degree,0.17300,232,498,0.13975,0.20625
1989,30-45 y.,Upper Secondary Level,Secondary School Degree,0.67357,873,1396,0.64896,0.69817
1989,30-45 y.,Upper Secondary Level,Intermediate School Degree,0.26621,354,1396,0.24302,0.28941
1989,30-45 y.,Upper Secondary Level,Other Degree,0.02976,169,1396,0.02085,0.03868
1989,30-45 y.,Post-secondary Non-tertiary Level,Other Degree,0.11890,33,33,0.00675,0.23105
1989,30-45 y.,First Stage of Tertiary Education,Secondary School Degree,0.36751,71,149,0.28983,0.44518
1989,30-45 y.,First Stage of Tertiary Education,Intermediate School Degree,0.38061,78,149,0.30238,0.45884
1989,30-45 y.,Second Stage of Tertiary Education,Technical School Degree,0.16549,52,296,0.12308,0.20790
1989,30-45 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.75173,244,296,0.70243,0.80103
1989,46-65 y.,Primary Level,"Dropout, No School Degree",0.69671,216,298,0.64443,0.74899
1989,46-65 y.,Primary Level,No School Attended,0.26460,82,298,0.21443,0.31477
1989,46-65 y.,Lower Secondary Level,Secondary School Degree,0.87322,576,836,0.85065,0.89578
1989,46-65 y.,Lower Secondary Level,Intermediate School Degree,0.06768,44,836,0.05064,0.08472
1989,46-65 y.,Lower Secondary Level,Other Degree,0.05910,216,836,0.04311,0.07510
1989,46-65 y.,Upper Secondary Level,Secondary School Degree,0.76168,948,1362,0.73905,0.78432
1989,46-65 y.,Upper Secondary Level,Intermediate School Degree,0.20138,242,1362,0.18007,0.22268
1989,46-65 y.,Upper Secondary Level,Other Degree,0.02327,138,1362,0.01526,0.03128
1989,46-65 y.,Upper Secondary Level,"Dropout, No School Degree",0.00675,34,1362,0.00240,0.01110
1989,46-65 y.,First Stage of Tertiary Education,Secondary School Degree,0.61259,103,141,0.53189,0.69328
1989,46-65 y.,First Stage of Tertiary Education,Intermediate School Degree,0.22428,38,141,0.15519,0.29337
1989,46-65 y.,Second Stage of Tertiary Education,Technical School Degree,0.21291,43,184,0.15360,0.27222
1989,46-65 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.63835,141,184,0.56874,0.70797
1989,66 and older,Lower Secondary Level,Secondary School Degree,0.92234,347,347,0.89414,0.95054
1989,66 and older,Upper Secondary Level,Secondary School Degree,0.71531,343,460,0.67403,0.75660
1989,66 and older,Upper Secondary Level,Intermediate School Degree,0.26377,117,460,0.22346,0.30409
1989,66 and older,First Stage of Tertiary Education,Secondary School Degree,0.53268,37,37,0.36969,0.69566
1989,66 and older,Second Stage of Tertiary Education,Upper Secondary Degree,0.64768,35,35,0.48711,0.80825
1990,17-29 y.,Primary Level,"Dropout, No School Degree",0.65579,83,83,0.55296,0.75863
1990,17-29 y.,Lower Secondary Level,Secondary School Degree,0.47964,484,979,0.44832,0.51095
1990,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.48927,421,979,0.45794,0.52060
1990,17-29 y.,Lower Secondary Level,Other Degree,0.03110,74,979,0.02022,0.04198
1990,17-29 y.,Upper Secondary Level,Secondary School Degree,0.35023,663,1911,0.32883,0.37162
1990,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.44598,949,1911,0.42369,0.46827
1990,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.15725,245,1911,0.14092,0.17357
1990,17-29 y.,Upper Secondary Level,Other Degree,0.01627,54,1911,0.01059,0.02194
1990,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.29675,39,149,0.22315,0.37035
1990,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.66850,110,149,0.59265,0.74434
1990,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.50491,57,57,0.37396,0.63586
