year,quintil_oecd_hh,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,2nd Quintile,No,0.92168,2956,3291,0.91250,0.93086
2017,3rd Quintile,Yes,0.01890,95,3071,0.01408,0.02372
2017,3rd Quintile,No,0.96955,2976,3071,0.96347,0.97563
2017,4th Quintile,Yes,0.00962,34,2994,0.00612,0.01312
2017,4th Quintile,No,0.96779,2960,2994,0.96147,0.97412
2017,5th Quintile,No,0.98034,3030,3030,0.97540,0.98529
2018,1st Quintile,Yes,0.27593,2352,5328,0.26393,0.28794
2018,1st Quintile,No,0.71002,2976,5328,0.69784,0.72221
2018,2nd Quintile,Yes,0.05727,379,3418,0.04948,0.06507
2018,2nd Quintile,No,0.92801,3039,3418,0.91934,0.93667
2018,3rd Quintile,Yes,0.02303,132,2969,0.01764,0.02843
2018,3rd Quintile,No,0.96370,2837,2969,0.95697,0.97043
2018,4th Quintile,Yes,0.01371,58,2876,0.00946,0.01796
2018,4th Quintile,No,0.97729,2818,2876,0.97184,0.98273
2018,5th Quintile,No,0.98031,2958,2958,0.97531,0.98532
2019,1st Quintile,Yes,0.26581,2411,5020,0.25359,0.27804
2019,1st Quintile,No,0.72209,2609,5020,0.70970,0.73448
2019,2nd Quintile,Yes,0.04878,275,3132,0.04123,0.05632
2019,2nd Quintile,No,0.93498,2857,3132,0.92634,0.94362
2019,3rd Quintile,Yes,0.02204,89,2872,0.01667,0.02741
2019,3rd Quintile,No,0.96771,2783,2872,0.96125,0.97418
2019,4th Quintile,Yes,0.01325,37,2905,0.00909,0.01741
2019,4th Quintile,No,0.97567,2868,2905,0.97007,0.98128
2019,5th Quintile,No,0.99110,4309,4309,0.98830,0.99391
2020,1st Quintile,Yes,0.24818,2672,6034,0.23728,0.25908
2020,1st Quintile,No,0.72122,3362,6034,0.70990,0.73253
2020,2nd Quintile,Yes,0.05264,301,3458,0.04520,0.06008
2020,2nd Quintile,No,0.92346,3157,3458,0.91460,0.93232
2020,3rd Quintile,Yes,0.02126,82,2856,0.01597,0.02655
2020,3rd Quintile,No,0.95308,2774,2856,0.94532,0.96083
2020,4th Quintile,Yes,0.00896,34,2827,0.00549,0.01243
2020,4th Quintile,No,0.97608,2793,2827,0.97045,0.98171
2020,5th Quintile,No,0.97861,3674,3674,0.97393,0.98329
2021,1st Quintile,Yes,0.22005,1164,3216,0.20573,0.23437
2021,1st Quintile,No,0.76715,2052,3216,0.75254,0.78176
2021,2nd Quintile,Yes,0.04569,231,2363,0.03727,0.05411
2021,2nd Quintile,No,0.94811,2132,2363,0.93916,0.95705
2021,3rd Quintile,Yes,0.01939,63,2063,0.01344,0.02534
2021,3rd Quintile,No,0.97336,2000,2063,0.96641,0.98031
2021,4th Quintile,Yes,0.01411,41,2085,0.00905,0.01918
2021,4th Quintile,No,0.97920,2044,2085,0.97307,0.98533
2021,5th Quintile,No,0.98745,2686,2686,0.98324,0.99166
2022,1st Quintile,Yes,0.15597,951,5195,0.14610,0.16584
2022,1st Quintile,No,0.82491,4244,5195,0.81457,0.83524
2022,2nd Quintile,Yes,0.05608,311,4135,0.04907,0.06309
2022,2nd Quintile,No,0.92696,3824,4135,0.91903,0.93489
2022,3rd Quintile,Yes,0.01771,86,3451,0.01331,0.02212
2022,3rd Quintile,No,0.96729,3365,3451,0.96135,0.97323
2022,4th Quintile,Yes,0.00946,44,3414,0.00621,0.01271
2022,4th Quintile,No,0.97357,3370,3414,0.96819,0.97896
2022,5th Quintile,No,0.98117,3768,3768,0.97683,0.98551
