year,quintil_oecd_hh,rentown,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,2nd Quintile,Owner,No,0.95083,1215,1215,0.93867,0.96299
2013,2nd Quintile,Tenant,Yes,0.09711,370,2549,0.08561,0.10860
2013,2nd Quintile,Tenant,No,0.87805,2179,2549,0.86535,0.89076
2013,3rd Quintile,Owner,No,0.96884,1658,1658,0.96047,0.97720
2013,3rd Quintile,Tenant,Yes,0.05189,118,1640,0.04115,0.06263
2013,3rd Quintile,Tenant,No,0.91945,1522,1640,0.90627,0.93262
2013,4th Quintile,Owner,No,0.97158,1768,1768,0.96383,0.97933
2013,4th Quintile,Tenant,Yes,0.02150,36,1268,0.01351,0.02949
2013,4th Quintile,Tenant,No,0.96954,1232,1268,0.96007,0.97900
2013,5th Quintile,Owner,No,0.96697,2256,2256,0.95959,0.97435
2013,5th Quintile,Tenant,No,0.96008,906,906,0.94732,0.97283
2014,1st Quintile,Owner,Yes,0.07510,56,498,0.05193,0.09827
2014,1st Quintile,Owner,No,0.90847,442,498,0.88312,0.93382
2014,1st Quintile,Tenant,Yes,0.33649,1268,2928,0.31937,0.35360
2014,1st Quintile,Tenant,No,0.64520,1660,2928,0.62786,0.66253
2014,2nd Quintile,Owner,Yes,0.02049,38,1086,0.01206,0.02891
2014,2nd Quintile,Owner,No,0.96434,1048,1086,0.95330,0.97537
2014,2nd Quintile,Tenant,Yes,0.11321,316,2201,0.09997,0.12645
2014,2nd Quintile,Tenant,No,0.86931,1885,2201,0.85523,0.88340
2014,3rd Quintile,Owner,No,0.97595,1546,1546,0.96831,0.98359
2014,3rd Quintile,Tenant,Yes,0.04261,93,1522,0.03246,0.05276
2014,3rd Quintile,Tenant,No,0.95103,1429,1522,0.94018,0.96187
2014,4th Quintile,Owner,No,0.96844,1674,1674,0.96006,0.97681
2014,4th Quintile,Tenant,Yes,0.02682,33,1198,0.01766,0.03597
2014,4th Quintile,Tenant,No,0.96567,1165,1198,0.95536,0.97599
2014,5th Quintile,Owner,No,0.97812,2121,2121,0.97189,0.98435
2014,5th Quintile,Tenant,No,0.98598,843,843,0.97804,0.99392
2015,1st Quintile,Owner,Yes,0.08299,55,475,0.05815,0.10782
2015,1st Quintile,Owner,No,0.88137,420,475,0.85226,0.91048
2015,1st Quintile,Tenant,Yes,0.33928,1288,3030,0.32242,0.35614
2015,1st Quintile,Tenant,No,0.64275,1742,3030,0.62568,0.65981
2015,2nd Quintile,Owner,No,0.93840,1031,1031,0.92371,0.95308
2015,2nd Quintile,Tenant,Yes,0.10087,297,2246,0.08841,0.11333
2015,2nd Quintile,Tenant,No,0.86589,1949,2246,0.85179,0.87999
2015,3rd Quintile,Owner,No,0.95268,1380,1380,0.94147,0.96389
2015,3rd Quintile,Tenant,Yes,0.03933,86,1545,0.02963,0.04902
2015,3rd Quintile,Tenant,No,0.93468,1459,1545,0.92236,0.94701
2015,4th Quintile,Owner,No,0.94851,1582,1582,0.93762,0.95941
2015,4th Quintile,Tenant,Yes,0.03415,41,1158,0.02369,0.04462
2015,4th Quintile,Tenant,No,0.93866,1117,1158,0.92484,0.95249
2015,5th Quintile,Owner,No,0.97536,2007,2007,0.96857,0.98214
2015,5th Quintile,Tenant,No,0.97150,874,874,0.96046,0.98254
2016,1st Quintile,Owner,Yes,0.10181,45,392,0.07184,0.13179
2016,1st Quintile,Owner,No,0.88563,347,392,0.85408,0.91718
2016,1st Quintile,Tenant,Yes,0.34300,1137,2682,0.32503,0.36097
2016,1st Quintile,Tenant,No,0.64678,1545,2682,0.62869,0.66487
2016,2nd Quintile,Owner,No,0.95859,977,977,0.94609,0.97109
2016,2nd Quintile,Tenant,Yes,0.09457,245,1996,0.08173,0.10741
2016,2nd Quintile,Tenant,No,0.89363,1751,1996,0.88010,0.90716
2016,3rd Quintile,Owner,No,0.97627,1307,1307,0.96801,0.98452
2016,3rd Quintile,Tenant,Yes,0.03859,67,1377,0.02841,0.04877
2016,3rd Quintile,Tenant,No,0.93503,1310,1377,0.92201,0.94806
2016,4th Quintile,Owner,No,0.97357,1517,1517,0.96549,0.98164
2016,4th Quintile,Tenant,Yes,0.02508,37,1092,0.01580,0.03435
2016,4th Quintile,Tenant,No,0.96303,1055,1092,0.95183,0.97423
2016,5th Quintile,Owner,No,0.97977,1931,1931,0.97349,0.98605
2016,5th Quintile,Tenant,No,0.98135,762,762,0.97174,0.99097
2017,1st Quintile,Owner,Yes,0.07939,40,383,0.05228,0.10650
2017,1st Quintile,Owner,No,0.90209,343,383,0.87229,0.93190
2017,1st Quintile,Tenant,Yes,0.32090,1661,4239,0.30685,0.33496
2017,1st Quintile,Tenant,No,0.66083,2578,4239,0.64658,0.67509
2017,2nd Quintile,Owner,No,0.98301,1069,1069,0.97526,0.99076
2017,2nd Quintile,Tenant,Yes,0.09492,309,2196,0.08266,0.10719
2017,2nd Quintile,Tenant,No,0.88809,1887,2196,0.87491,0.90128
2017,3rd Quintile,Owner,No,0.98212,1504,1504,0.97542,0.98882
2017,3rd Quintile,Tenant,Yes,0.03421,84,1556,0.02517,0.04324
2017,3rd Quintile,Tenant,No,0.95633,1472,1556,0.94618,0.96649
2017,4th Quintile,Owner,No,0.97220,1748,1748,0.96450,0.97991
2017,4th Quintile,Tenant,No,0.96163,1212,1212,0.95081,0.97245
2017,5th Quintile,Owner,No,0.97805,2195,2195,0.97192,0.98418
2017,5th Quintile,Tenant,No,0.98657,835,835,0.97876,0.99438
2018,1st Quintile,Owner,Yes,0.08263,39,378,0.05484,0.11042
2018,1st Quintile,Owner,No,0.89046,339,378,0.85894,0.92199
2018,1st Quintile,Tenant,Yes,0.30601,2313,4950,0.29317,0.31885
2018,1st Quintile,Tenant,No,0.68195,2637,4950,0.66897,0.69493
2018,2nd Quintile,Owner,No,0.97761,1057,1057,0.96869,0.98653
2018,2nd Quintile,Tenant,Yes,0.08446,360,2342,0.07320,0.09573
2018,2nd Quintile,Tenant,No,0.90012,1982,2342,0.88797,0.91226
2018,3rd Quintile,Owner,No,0.97839,1375,1375,0.97070,0.98608
2018,3rd Quintile,Tenant,Yes,0.03811,118,1580,0.02867,0.04755
2018,3rd Quintile,Tenant,No,0.94874,1462,1580,0.93787,0.95962
2018,4th Quintile,Owner,No,0.98006,1683,1683,0.97337,0.98674
2018,4th Quintile,Tenant,Yes,0.02231,48,1183,0.01389,0.03073
2018,4th Quintile,Tenant,No,0.97317,1135,1183,0.96396,0.98238
2018,5th Quintile,Owner,No,0.98284,2139,2139,0.97733,0.98834
2018,5th Quintile,Tenant,No,0.97358,819,819,0.96259,0.98457
2019,1st Quintile,Owner,Yes,0.07155,34,388,0.04587,0.09723
2019,1st Quintile,Owner,No,0.91137,354,388,0.88306,0.93969
2019,1st Quintile,Tenant,Yes,0.29710,2376,4631,0.28394,0.31026
2019,1st Quintile,Tenant,No,0.69161,2255,4631,0.67830,0.70491
2019,2nd Quintile,Owner,No,0.96711,1002,1002,0.95606,0.97816
2019,2nd Quintile,Tenant,Yes,0.07047,259,2114,0.05956,0.08139
2019,2nd Quintile,Tenant,No,0.91689,1855,2114,0.90512,0.92866
2019,3rd Quintile,Owner,No,0.98159,1390,1390,0.97452,0.98866
2019,3rd Quintile,Tenant,Yes,0.03876,80,1473,0.02890,0.04862
2019,3rd Quintile,Tenant,No,0.95381,1393,1473,0.94308,0.96453
2019,4th Quintile,Owner,No,0.97955,1753,1753,0.97292,0.98618
2019,4th Quintile,Tenant,No,0.96971,1115,1115,0.95965,0.97978
2019,5th Quintile,Owner,No,0.99025,3233,3233,0.98687,0.99364
2019,5th Quintile,Tenant,No,0.99329,1076,1076,0.98842,0.99817
2020,1st Quintile,Owner,No,0.88978,292,292,0.85380,0.92576
2020,1st Quintile,Tenant,Yes,0.27681,2645,5715,0.26520,0.28841
2020,1st Quintile,Tenant,No,0.69679,3070,5715,0.68487,0.70870
2020,2nd Quintile,Owner,No,0.95159,946,946,0.93790,0.96527
2020,2nd Quintile,Tenant,Yes,0.07307,281,2492,0.06285,0.08329
2020,2nd Quintile,Tenant,No,0.90676,2211,2492,0.89534,0.91818
2020,3rd Quintile,Owner,No,0.97201,1266,1266,0.96292,0.98110
2020,3rd Quintile,Tenant,Yes,0.04020,74,1582,0.03051,0.04988
2020,3rd Quintile,Tenant,No,0.93278,1508,1582,0.92043,0.94512
2020,4th Quintile,Owner,No,0.97922,1576,1576,0.97218,0.98627
2020,4th Quintile,Tenant,No,0.97159,1217,1217,0.96225,0.98093
2020,5th Quintile,Owner,No,0.97958,2689,2689,0.97423,0.98493
2020,5th Quintile,Tenant,No,0.97612,985,985,0.96658,0.98566
2021,1st Quintile,Owner,No,0.94272,266,266,0.91474,0.97070
2021,1st Quintile,Tenant,Yes,0.25606,1149,2934,0.24026,0.27185
2021,1st Quintile,Tenant,No,0.73077,1785,2934,0.71471,0.74682
2021,2nd Quintile,Owner,No,0.97142,658,658,0.95868,0.98416
2021,2nd Quintile,Tenant,Yes,0.05687,215,1688,0.04582,0.06793
2021,2nd Quintile,Tenant,No,0.93737,1473,1688,0.92581,0.94893
2021,3rd Quintile,Owner,No,0.97807,905,905,0.96853,0.98762
2021,3rd Quintile,Tenant,Yes,0.02660,46,1141,0.01726,0.03594
2021,3rd Quintile,Tenant,No,0.96886,1095,1141,0.95877,0.97894
2021,4th Quintile,Owner,No,0.98476,1191,1191,0.97780,0.99172
2021,4th Quintile,Tenant,No,0.97080,853,853,0.95949,0.98210
2021,5th Quintile,Owner,No,0.98965,1970,1970,0.98518,0.99412
2021,5th Quintile,Tenant,No,0.98111,714,714,0.97112,0.99110
2022,1st Quintile,Owner,No,0.95296,967,967,0.93961,0.96631
2022,1st Quintile,Tenant,Yes,0.19663,932,4208,0.18462,0.20864
2022,1st Quintile,Tenant,No,0.78649,3276,4208,0.77410,0.79887
2022,2nd Quintile,Owner,No,0.98645,1097,1097,0.97960,0.99329
2022,2nd Quintile,Tenant,Yes,0.08199,302,3026,0.07222,0.09177
2022,2nd Quintile,Tenant,No,0.89734,2724,3026,0.88652,0.90816
2022,3rd Quintile,Owner,No,0.98260,1393,1393,0.97573,0.98947
2022,3rd Quintile,Tenant,Yes,0.03152,78,2049,0.02396,0.03909
2022,3rd Quintile,Tenant,No,0.95192,1971,2049,0.94266,0.96119
2022,4th Quintile,Owner,No,0.97358,1719,1719,0.96599,0.98116
2022,4th Quintile,Tenant,Yes,0.01350,32,1682,0.00798,0.01902
2022,4th Quintile,Tenant,No,0.97355,1650,1682,0.96588,0.98122
2022,5th Quintile,Owner,No,0.98106,2527,2527,0.97575,0.98638
2022,5th Quintile,Tenant,No,0.98130,1238,1238,0.97375,0.98885
