year,migback,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,No migration background,At least once per week,0.09863,1982,16597,0.09409,0.10316
2008,No migration background,At least once per month,0.01134,224,16597,0.00973,0.01295
2008,No migration background,Seldom,0.01920,375,16597,0.01711,0.02129
2008,No migration background,Never,0.01086,167,16597,0.00928,0.01243
2008,Direct migration background,Daily,0.83682,1630,1866,0.82005,0.85359
2008,Direct migration background,At least once per week,0.08120,155,1866,0.06881,0.09360
2008,Direct migration background,Seldom,0.02266,39,1866,0.01591,0.02942
2008,Direct migration background,Never,0.01656,42,1866,0.01077,0.02235
2008,Indirect migration background,Daily,0.38372,607,715,0.34805,0.41939
2008,Indirect migration background,At least once per week,0.07923,108,715,0.05942,0.09904
2013,No migration background,Daily,0.67422,16903,21574,0.66796,0.68047
2013,No migration background,At least once per week,0.11936,3309,21574,0.11504,0.12369
2013,No migration background,At least once per month,0.01804,477,21574,0.01626,0.01982
2013,No migration background,Seldom,0.02285,656,21574,0.02086,0.02485
2013,No migration background,Never,0.01065,229,21574,0.00928,0.01201
2013,Direct migration background,Daily,0.43263,2113,2759,0.41414,0.45112
2013,Direct migration background,At least once per week,0.07368,440,2759,0.06393,0.08343
2013,Direct migration background,At least once per month,0.00753,49,2759,0.00431,0.01076
2013,Direct migration background,Seldom,0.02186,105,2759,0.01640,0.02732
2013,Direct migration background,Never,0.01119,52,2759,0.00727,0.01512
2013,Indirect migration background,Daily,0.18990,790,1114,0.16686,0.21295
2013,Indirect migration background,At least once per week,0.06246,235,1114,0.04825,0.07668
2013,Indirect migration background,At least once per month,0.00984,35,1114,0.00404,0.01564
2013,Indirect migration background,Seldom,0.01093,54,1114,0.00482,0.01704
2019,No migration background,Daily,0.67009,15373,20162,0.66360,0.67658
2019,No migration background,At least once per week,0.13395,3422,20162,0.12925,0.13865
2019,No migration background,At least once per month,0.01743,408,20162,0.01562,0.01924
2019,No migration background,Seldom,0.02595,727,20162,0.02375,0.02814
2019,No migration background,Never,0.01030,232,20162,0.00891,0.01170
2019,Direct migration background,Daily,0.67318,2890,3962,0.65857,0.68779
2019,Direct migration background,At least once per week,0.13979,657,3962,0.12899,0.15059
2019,Direct migration background,At least once per month,0.01507,86,3962,0.01128,0.01887
2019,Direct migration background,Seldom,0.05188,231,3962,0.04497,0.05878
2019,Direct migration background,Never,0.01833,98,3962,0.01416,0.02251
2019,Indirect migration background,Daily,0.34775,1072,1578,0.32424,0.37126
2019,Indirect migration background,At least once per week,0.10948,344,1578,0.09407,0.12489
2019,Indirect migration background,At least once per month,0.01400,40,1578,0.00820,0.01980
2019,Indirect migration background,Seldom,0.02837,89,1578,0.02018,0.03657
2019,Indirect migration background,Never,0.01361,33,1578,0.00789,0.01933
2021,No migration background,Daily,0.63170,9538,13209,0.62348,0.63993
2021,No migration background,At least once per week,0.16050,2643,13209,0.15424,0.16676
2021,No migration background,At least once per month,0.01776,324,13209,0.01551,0.02002
2021,No migration background,Seldom,0.03050,487,13209,0.02757,0.03343
2021,No migration background,Never,0.01597,217,13209,0.01383,0.01811
2021,Direct migration background,Daily,0.59562,1994,3046,0.57819,0.61305
2021,Direct migration background,At least once per week,0.18298,710,3046,0.16925,0.19672
2021,Direct migration background,At least once per month,0.02372,102,3046,0.01832,0.02913
2021,Direct migration background,Seldom,0.04611,164,3046,0.03866,0.05356
2021,Direct migration background,Never,0.01958,76,3046,0.01466,0.02451
2021,Indirect migration background,Daily,0.31936,609,924,0.28929,0.34944
2021,Indirect migration background,At least once per week,0.11076,235,924,0.09051,0.13101
2021,Indirect migration background,At least once per month,0.01780,36,924,0.00927,0.02633
2021,Indirect migration background,Seldom,0.01931,44,924,0.01043,0.02819
