year,age_gr,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,46-65 y.,Never,0.00923,33,4361,0.00639,0.01207
1998,66 and older,Daily,0.93357,1739,1789,0.92202,0.94511
1998,66 and older,At least once per week,0.02843,50,1789,0.02073,0.03613
2003,17-29 y.,Daily,0.81252,3256,3995,0.80041,0.82462
2003,17-29 y.,At least once per week,0.13576,554,3995,0.12514,0.14638
2003,17-29 y.,At least once per month,0.01805,64,3995,0.01392,0.02218
2003,17-29 y.,Seldom,0.02207,89,3995,0.01751,0.02662
2003,17-29 y.,Never,0.00900,32,3995,0.00607,0.01193
2003,30-45 y.,Daily,0.82323,5697,6915,0.81424,0.83223
2003,30-45 y.,At least once per week,0.12832,925,6915,0.12044,0.13620
2003,30-45 y.,At least once per month,0.01360,76,6915,0.01087,0.01633
2003,30-45 y.,Seldom,0.02115,139,6915,0.01776,0.02455
2003,30-45 y.,Never,0.00997,78,6915,0.00763,0.01231
2003,46-65 y.,Daily,0.88150,6647,7547,0.87421,0.88879
2003,46-65 y.,At least once per week,0.07432,610,7547,0.06840,0.08023
2003,46-65 y.,At least once per month,0.00750,57,7547,0.00555,0.00944
2003,46-65 y.,Seldom,0.01744,143,7547,0.01448,0.02039
2003,46-65 y.,Never,0.01529,90,7547,0.01252,0.01806
2003,66 and older,Daily,0.94222,3442,3600,0.93460,0.94984
2003,66 and older,At least once per week,0.02400,93,3600,0.01900,0.02900
2003,66 and older,Never,0.02088,65,3600,0.01620,0.02555
2008,17-29 y.,Daily,0.71362,2384,3143,0.69782,0.72943
2008,17-29 y.,At least once per week,0.16518,574,3143,0.15219,0.17816
2008,17-29 y.,At least once per month,0.02011,77,3143,0.01520,0.02502
2008,17-29 y.,Seldom,0.01516,71,3143,0.01089,0.01944
2008,17-29 y.,Never,0.01012,37,3143,0.00662,0.01362
2008,30-45 y.,Daily,0.77332,4036,5157,0.76189,0.78474
2008,30-45 y.,At least once per week,0.16516,844,5157,0.15502,0.17529
2008,30-45 y.,At least once per month,0.01768,82,5157,0.01408,0.02127
2008,30-45 y.,Seldom,0.02915,144,5157,0.02456,0.03375
2008,30-45 y.,Never,0.01192,51,5157,0.00896,0.01488
2008,46-65 y.,Daily,0.84989,5651,6677,0.84133,0.85846
2008,46-65 y.,At least once per week,0.09624,691,6677,0.08916,0.10331
2008,46-65 y.,At least once per month,0.01321,91,6677,0.01047,0.01595
2008,46-65 y.,Seldom,0.02539,176,6677,0.02162,0.02917
2008,46-65 y.,Never,0.01315,68,6677,0.01042,0.01588
2008,66 and older,Daily,0.92886,4015,4257,0.92113,0.93658
2008,66 and older,At least once per week,0.02901,136,4257,0.02397,0.03406
2008,66 and older,Seldom,0.01509,45,4257,0.01143,0.01876
2008,66 and older,Never,0.01660,61,4257,0.01276,0.02044
2013,17-29 y.,Daily,0.52198,2463,3565,0.50558,0.53838
2013,17-29 y.,At least once per week,0.18564,846,3565,0.17288,0.19841
2013,17-29 y.,At least once per month,0.02060,104,3565,0.01593,0.02526
2013,17-29 y.,Seldom,0.01851,116,3565,0.01409,0.02294
2013,17-29 y.,Never,0.00529,36,3565,0.00291,0.00768
2013,30-45 y.,Daily,0.58660,5746,7996,0.57581,0.59740
2013,30-45 y.,At least once per week,0.18536,1661,7996,0.17685,0.19388
2013,30-45 y.,At least once per month,0.02521,213,7996,0.02177,0.02864
2013,30-45 y.,Seldom,0.02725,285,7996,0.02368,0.03082
2013,30-45 y.,Never,0.00980,91,7996,0.00764,0.01196
2013,46-65 y.,Daily,0.76310,7100,8973,0.75431,0.77190
2013,46-65 y.,At least once per week,0.11613,1259,8973,0.10950,0.12276
2013,46-65 y.,At least once per month,0.02080,200,8973,0.01785,0.02375
2013,46-65 y.,Seldom,0.03422,329,8973,0.03046,0.03799
2013,46-65 y.,Never,0.00899,85,8973,0.00704,0.01094
2013,66 and older,Daily,0.89274,4497,4927,0.88410,0.90138
2013,66 and older,At least once per week,0.04710,218,4927,0.04118,0.05301
2013,66 and older,At least once per month,0.00847,44,4927,0.00591,0.01103
2013,66 and older,Seldom,0.01620,85,4927,0.01268,0.01973
2013,66 and older,Never,0.02230,83,4927,0.01817,0.02642
2019,17-29 y.,Daily,0.62349,2666,3841,0.60817,0.63882
2019,17-29 y.,At least once per week,0.21072,858,3841,0.19782,0.22362
2019,17-29 y.,At least once per month,0.02590,111,3841,0.02088,0.03092
2019,17-29 y.,Seldom,0.03172,165,3841,0.02618,0.03726
2019,17-29 y.,Never,0.01319,41,3841,0.00958,0.01680
2019,30-45 y.,Daily,0.67203,4282,6285,0.66042,0.68364
2019,30-45 y.,At least once per week,0.22861,1417,6285,0.21823,0.23899
2019,30-45 y.,At least once per month,0.02715,168,6285,0.02314,0.03117
2019,30-45 y.,Seldom,0.04169,308,6285,0.03675,0.04663
2019,30-45 y.,Never,0.01617,110,6285,0.01305,0.01929
2019,46-65 y.,Daily,0.77934,7815,10414,0.77138,0.78731
2019,46-65 y.,At least once per week,0.14884,1815,10414,0.14200,0.15567
2019,46-65 y.,At least once per month,0.01957,215,10414,0.01690,0.02223
2019,46-65 y.,Seldom,0.03684,424,10414,0.03322,0.04046
2019,46-65 y.,Never,0.01172,145,10414,0.00965,0.01379
2019,66 and older,Daily,0.88649,4572,5162,0.87784,0.89515
2019,66 and older,At least once per week,0.05738,333,5162,0.05104,0.06373
2019,66 and older,At least once per month,0.00853,40,5162,0.00602,0.01104
2019,66 and older,Seldom,0.02863,150,5162,0.02408,0.03318
2019,66 and older,Never,0.01514,67,5162,0.01181,0.01847
2021,17-29 y.,Daily,0.61269,1807,2678,0.59424,0.63114
2021,17-29 y.,At least once per week,0.23089,689,2678,0.21493,0.24685
2021,17-29 y.,At least once per month,0.02583,81,2678,0.01982,0.03184
2021,17-29 y.,Seldom,0.02891,101,2678,0.02256,0.03526
2021,30-45 y.,Daily,0.63973,2688,4149,0.62512,0.65434
2021,30-45 y.,At least once per week,0.26307,1103,4149,0.24967,0.27647
2021,30-45 y.,At least once per month,0.02696,130,4149,0.02203,0.03189
2021,30-45 y.,Seldom,0.03889,181,4149,0.03301,0.04478
2021,30-45 y.,Never,0.01034,47,4149,0.00726,0.01341
2021,46-65 y.,Daily,0.72963,4756,6790,0.71907,0.74020
2021,46-65 y.,At least once per week,0.17677,1424,6790,0.16769,0.18584
2021,46-65 y.,At least once per month,0.02530,201,6790,0.02156,0.02903
2021,46-65 y.,Seldom,0.04307,285,6790,0.03824,0.04790
2021,46-65 y.,Never,0.01815,124,6790,0.01497,0.02133
2021,66 and older,Daily,0.81703,2890,3545,0.80430,0.82976
2021,66 and older,At least once per week,0.10320,372,3545,0.09318,0.11321
2021,66 and older,At least once per month,0.01016,50,3545,0.00685,0.01346
2021,66 and older,Seldom,0.03401,128,3545,0.02804,0.03997
2021,66 and older,Never,0.03317,105,3545,0.02727,0.03906
