"year","bildungsniveau","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","Hauptschule","Staedtischer Raum","6.46","6.5","4554","6.39","6.53"
"1990","Realschule","Laendlicher Raum","6.04","5.5","1374","5.91","6.17"
"1990","Realschule","Staedtischer Raum","6.69","6.5","1739","6.58","6.8"
"1991","(Fach-)Abitur","Laendlicher Raum","6.51","6.5","182","6.17","6.85"
"1991","(Fach-)Abitur","Staedtischer Raum","6.63","6.5","694","6.47","6.79"
"1991","(noch) kein Abschluss","Laendlicher Raum","6.43","5.5","144","6.05","6.81"
"1991","(noch) kein Abschluss","Staedtischer Raum","6.53","6.5","698","6.36","6.7"
"1991","AkademikerIn","Laendlicher Raum","5.94","5.5","683","5.76","6.12"
"1991","AkademikerIn","Staedtischer Raum","6.78","6.5","973","6.64","6.92"
"1991","Hauptschule","Laendlicher Raum","6.09","6.5","2285","5.99","6.19"
"1991","Hauptschule","Staedtischer Raum","6.71","6.5","4402","6.64","6.78"
"1991","Realschule","Laendlicher Raum","5.71","5.5","1346","5.57","5.85"
"1991","Realschule","Staedtischer Raum","6.66","6.5","1723","6.55","6.77"
"1992","(Fach-)Abitur","Laendlicher Raum","6.51","6.5","183","6.15","6.87"
"1992","(Fach-)Abitur","Staedtischer Raum","6.61","6.5","702","6.45","6.77"
"1992","(noch) kein Abschluss","Laendlicher Raum","6.28","5.5","153","5.91","6.65"
"1992","(noch) kein Abschluss","Staedtischer Raum","6.27","6.5","675","6.1","6.44"
"1992","AkademikerIn","Laendlicher Raum","6.12","5.5","634","5.96","6.28"
"1992","AkademikerIn","Staedtischer Raum","6.82","6.5","987","6.68","6.96"
"1992","Hauptschule","Laendlicher Raum","5.99","5.5","2169","5.89","6.09"
"1992","Hauptschule","Staedtischer Raum","6.45","6.5","4296","6.38","6.52"
"1992","Realschule","Laendlicher Raum","5.76","5.5","1313","5.63","5.89"
"1992","Realschule","Staedtischer Raum","6.63","6.5","1705","6.52","6.74"
"1993","(Fach-)Abitur","Laendlicher Raum","6.34","6.5","192","6.01","6.67"
"1993","(Fach-)Abitur","Staedtischer Raum","6.53","6.5","682","6.36","6.7"
"1993","(noch) kein Abschluss","Laendlicher Raum","6.29","6.5","149","5.9","6.68"
"1993","(noch) kein Abschluss","Staedtischer Raum","5.9","5.5","629","5.72","6.08"
"1993","AkademikerIn","Laendlicher Raum","6.48","6.5","619","6.31","6.65"
"1993","AkademikerIn","Staedtischer Raum","6.66","6.5","999","6.53","6.79"
"1993","Hauptschule","Laendlicher Raum","6.09","5.5","2068","5.99","6.19"
"1993","Hauptschule","Staedtischer Raum","6.4","6.5","4156","6.33","6.47"
"1993","Realschule","Laendlicher Raum","5.91","5.5","1297","5.78","6.04"
"1993","Realschule","Staedtischer Raum","6.53","6.5","1713","6.42","6.64"
"1994","(Fach-)Abitur","Laendlicher Raum","6.32","6.5","211","5.99","6.65"
"1994","(Fach-)Abitur","Staedtischer Raum","6.13","5.5","686","5.95","6.31"
"1994","(noch) kein Abschluss","Laendlicher Raum","6.18","5.5","145","5.83","6.53"
"1994","(noch) kein Abschluss","Staedtischer Raum","5.83","5.5","621","5.64","6.02"
"1994","AkademikerIn","Laendlicher Raum","6.39","6.5","618","6.22","6.56"
"1994","AkademikerIn","Staedtischer Raum","6.63","6.5","1031","6.5","6.76"
"1994","Hauptschule","Laendlicher Raum","6.15","5.5","1977","6.05","6.25"
"1994","Hauptschule","Staedtischer Raum","6.23","6.5","4014","6.16","6.3"
"1994","Realschule","Laendlicher Raum","5.8","5.5","1279","5.67","5.93"
"1994","Realschule","Staedtischer Raum","6.41","6.5","1695","6.3","6.52"
"1995","(Fach-)Abitur","Laendlicher Raum","6.17","5.5","245","5.87","6.47"
"1995","(Fach-)Abitur","Staedtischer Raum","6.21","6.5","788","6.04","6.38"
"1995","(noch) kein Abschluss","Laendlicher Raum","5.86","5.5","155","5.48","6.24"
"1995","(noch) kein Abschluss","Staedtischer Raum","5.96","5.5","629","5.78","6.14"
"1995","AkademikerIn","Laendlicher Raum","6.55","6.5","652","6.39","6.71"
"1995","AkademikerIn","Staedtischer Raum","6.55","6.5","1093","6.42","6.68"
"1995","Hauptschule","Laendlicher Raum","6.29","6.5","2006","6.19","6.39"
"1995","Hauptschule","Staedtischer Raum","6.29","6.5","4035","6.22","6.36"
"1995","Realschule","Laendlicher Raum","6","5.5","1320","5.88","6.12"
"1995","Realschule","Staedtischer Raum","6.39","6.5","1717","6.28","6.5"
"1996","(Fach-)Abitur","Laendlicher Raum","6.46","6.5","235","6.18","6.74"
"1996","(Fach-)Abitur","Staedtischer Raum","6.24","6.5","775","6.08","6.4"
"1996","(noch) kein Abschluss","Laendlicher Raum","6.03","6.5","160","5.65","6.41"
"1996","(noch) kein Abschluss","Staedtischer Raum","6.06","5.5","603","5.88","6.24"
"1996","AkademikerIn","Laendlicher Raum","6.77","6.5","648","6.6","6.94"
"1996","AkademikerIn","Staedtischer Raum","6.72","6.5","1109","6.6","6.84"
"1996","Hauptschule","Laendlicher Raum","6.31","6.5","1970","6.21","6.41"
"1996","Hauptschule","Staedtischer Raum","6.33","6.5","3889","6.26","6.4"
"1996","Realschule","Laendlicher Raum","5.98","5.5","1330","5.86","6.1"
"1996","Realschule","Staedtischer Raum","6.45","6.5","1719","6.34","6.56"
"1997","(Fach-)Abitur","Laendlicher Raum","6.09","5.5","218","5.79","6.39"
"1997","(Fach-)Abitur","Staedtischer Raum","6.15","6.5","764","5.99","6.31"
"1997","(noch) kein Abschluss","Laendlicher Raum","5.98","5.5","164","5.62","6.34"
"1997","(noch) kein Abschluss","Staedtischer Raum","5.77","5.5","593","5.59","5.95"
"1997","AkademikerIn","Laendlicher Raum","6.32","6.5","660","6.16","6.48"
"1997","AkademikerIn","Staedtischer Raum","6.73","6.5","1099","6.61","6.85"
"1997","Hauptschule","Laendlicher Raum","5.91","5.5","1895","5.81","6.01"
"1997","Hauptschule","Staedtischer Raum","6.09","5.5","3782","6.02","6.16"
"1997","Realschule","Laendlicher Raum","5.85","5.5","1312","5.73","5.97"
"1997","Realschule","Staedtischer Raum","6.29","6.5","1694","6.18","6.4"
"1998","(Fach-)Abitur","Laendlicher Raum","6.41","6.5","236","6.11","6.71"
"1998","(Fach-)Abitur","Staedtischer Raum","6.21","6.5","872","6.06","6.36"
"1998","(noch) kein Abschluss","Laendlicher Raum","6.21","6.5","159","5.84","6.58"
"1998","(noch) kein Abschluss","Staedtischer Raum","5.78","5.5","577","5.59","5.97"
"1998","AkademikerIn","Laendlicher Raum","6.48","6.5","723","6.32","6.64"
"1998","AkademikerIn","Staedtischer Raum","6.71","6.5","1233","6.59","6.83"
"1998","Hauptschule","Laendlicher Raum","6.22","6.5","2054","6.12","6.32"
"1998","Hauptschule","Staedtischer Raum","6.19","5.5","4013","6.12","6.26"
"1998","Realschule","Laendlicher Raum","5.89","5.5","1445","5.77","6.01"
"1998","Realschule","Staedtischer Raum","6.32","6.5","1886","6.22","6.42"
"1999","(Fach-)Abitur","Laendlicher Raum","6.49","6.5","251","6.21","6.77"
"1999","(Fach-)Abitur","Staedtischer Raum","6.19","6.5","861","6.04","6.34"
"1999","(noch) kein Abschluss","Laendlicher Raum","5.75","5.5","145","5.37","6.13"
"1999","(noch) kein Abschluss","Staedtischer Raum","6.11","5.5","559","5.93","6.29"
"1999","AkademikerIn","Laendlicher Raum","6.6","6.5","715","6.45","6.75"
"1999","AkademikerIn","Staedtischer Raum","6.78","6.5","1229","6.66","6.9"
"1999","Hauptschule","Laendlicher Raum","6.25","6.5","2013","6.15","6.35"
"1999","Hauptschule","Staedtischer Raum","6.25","6.5","3909","6.18","6.32"
"1999","Realschule","Laendlicher Raum","6.02","5.5","1450","5.9","6.14"
"1999","Realschule","Staedtischer Raum","6.43","6.5","1865","6.33","6.53"
"2000","(Fach-)Abitur","Laendlicher Raum","6.62","6.5","531","6.44","6.8"
"2000","(Fach-)Abitur","Staedtischer Raum","6.4","6.5","1750","6.29","6.51"
"2000","(noch) kein Abschluss","Laendlicher Raum","6.06","5.5","214","5.76","6.36"
"2000","(noch) kein Abschluss","Staedtischer Raum","5.79","5.5","591","5.59","5.99"
"2000","AkademikerIn","Laendlicher Raum","6.79","6.5","1207","6.67","6.91"
"2000","AkademikerIn","Staedtischer Raum","7.02","6.5","2586","6.94","7.1"
"2000","Hauptschule","Laendlicher Raum","6.33","6.5","3675","6.25","6.41"
"2000","Hauptschule","Staedtischer Raum","6.43","6.5","6839","6.38","6.48"
"2000","Realschule","Laendlicher Raum","6.14","5.5","2615","6.05","6.23"
"2000","Realschule","Staedtischer Raum","6.63","6.5","3555","6.56","6.7"
"2001","(Fach-)Abitur","Laendlicher Raum","6.54","6.5","505","6.35","6.73"
"2001","(Fach-)Abitur","Staedtischer Raum","6.5","6.5","1666","6.39","6.61"
"2001","(noch) kein Abschluss","Laendlicher Raum","6.08","6.5","228","5.78","6.38"
"2001","(noch) kein Abschluss","Staedtischer Raum","6.26","5.5","578","6.07","6.45"
"2001","AkademikerIn","Laendlicher Raum","6.82","6.5","1118","6.7","6.94"
"2001","AkademikerIn","Staedtischer Raum","7.13","7.5","2410","7.05","7.21"
"2001","Hauptschule","Laendlicher Raum","6.41","6.5","3242","6.33","6.49"
"2001","Hauptschule","Staedtischer Raum","6.49","6.5","6020","6.43","6.55"
"2001","Realschule","Laendlicher Raum","6.25","6.5","2357","6.15","6.35"
"2001","Realschule","Staedtischer Raum","6.65","6.5","3326","6.57","6.73"
"2002","(Fach-)Abitur","Laendlicher Raum","6.41","6.5","557","6.22","6.6"
"2002","(Fach-)Abitur","Staedtischer Raum","6.3","6.5","1836","6.2","6.4"
"2002","(noch) kein Abschluss","Laendlicher Raum","5.89","5.5","205","5.57","6.21"
"2002","(noch) kein Abschluss","Staedtischer Raum","6.05","5.5","578","5.86","6.24"
"2002","AkademikerIn","Laendlicher Raum","6.51","6.5","1327","6.39","6.63"
"2002","AkademikerIn","Staedtischer Raum","6.93","6.5","3209","6.86","7"
"2002","Hauptschule","Laendlicher Raum","6.21","6.5","3072","6.13","6.29"
"2002","Hauptschule","Staedtischer Raum","6.19","6.5","5724","6.13","6.25"
"2002","Realschule","Laendlicher Raum","5.95","5.5","2385","5.86","6.04"
"2002","Realschule","Staedtischer Raum","6.39","6.5","3524","6.32","6.46"
"2003","(Fach-)Abitur","Laendlicher Raum","6.1","5.5","555","5.91","6.29"
"2003","(Fach-)Abitur","Staedtischer Raum","6.19","6.5","1807","6.09","6.29"
"2003","(noch) kein Abschluss","Laendlicher Raum","5.9","5.5","207","5.58","6.22"
"2003","(noch) kein Abschluss","Staedtischer Raum","5.87","5.5","567","5.67","6.07"
"2003","AkademikerIn","Laendlicher Raum","6.43","6.5","1273","6.31","6.55"
"2003","AkademikerIn","Staedtischer Raum","6.82","6.5","3066","6.75","6.89"
"2003","Hauptschule","Laendlicher Raum","6.12","5.5","2893","6.04","6.2"
"2003","Hauptschule","Staedtischer Raum","6.14","5.5","5474","6.08","6.2"
"2003","Realschule","Laendlicher Raum","5.78","5.5","2304","5.68","5.88"
"2003","Realschule","Staedtischer Raum","6.25","6.5","3410","6.17","6.33"
"2004","(Fach-)Abitur","Laendlicher Raum","6.1","5.5","547","5.9","6.3"
"2004","(Fach-)Abitur","Staedtischer Raum","6.17","6.5","1792","6.07","6.27"
"2004","(noch) kein Abschluss","Laendlicher Raum","5.69","5.5","208","5.36","6.02"
"2004","(noch) kein Abschluss","Staedtischer Raum","5.83","5.5","570","5.63","6.03"
"2004","AkademikerIn","Laendlicher Raum","6.38","6.5","1256","6.26","6.5"
"2004","AkademikerIn","Staedtischer Raum","6.69","6.5","3007","6.61","6.77"
"2004","Hauptschule","Laendlicher Raum","5.96","5.5","2758","5.87","6.05"
"2004","Hauptschule","Staedtischer Raum","5.87","5.5","5180","5.81","5.93"
"2004","Realschule","Laendlicher Raum","5.68","5.5","2253","5.58","5.78"
"2004","Realschule","Staedtischer Raum","6.07","5.5","3263","5.99","6.15"
"2005","(Fach-)Abitur","Laendlicher Raum","5.98","5.5","540","5.78","6.18"
"2005","(Fach-)Abitur","Staedtischer Raum","6.06","5.5","1716","5.95","6.17"
"2005","(noch) kein Abschluss","Laendlicher Raum","5.9","5.5","216","5.56","6.24"
"2005","(noch) kein Abschluss","Staedtischer Raum","5.94","5.5","580","5.74","6.14"
"2005","AkademikerIn","Laendlicher Raum","6.49","6.5","1216","6.37","6.61"
"2005","AkademikerIn","Staedtischer Raum","6.7","6.5","2920","6.62","6.78"
"2005","Hauptschule","Laendlicher Raum","5.92","5.5","2586","5.83","6.01"
"2005","Hauptschule","Staedtischer Raum","5.91","5.5","4873","5.85","5.97"
"2005","Realschule","Laendlicher Raum","5.68","5.5","2166","5.58","5.78"
"2005","Realschule","Staedtischer Raum","6.16","6.5","3142","6.08","6.24"
"2006","(Fach-)Abitur","Laendlicher Raum","5.95","5.5","581","5.76","6.14"
"2006","(Fach-)Abitur","Staedtischer Raum","6.1","6.5","1827","5.99","6.21"
"2006","(noch) kein Abschluss","Laendlicher Raum","5.6","5.5","160","5.22","5.98"
"2006","(noch) kein Abschluss","Staedtischer Raum","5.75","5.5","431","5.51","5.99"
"2006","AkademikerIn","Laendlicher Raum","6.43","6.5","1338","6.31","6.55"
"2006","AkademikerIn","Staedtischer Raum","6.72","6.5","3215","6.65","6.79"
"2006","Hauptschule","Laendlicher Raum","5.89","5.5","2848","5.8","5.98"
"2006","Hauptschule","Staedtischer Raum","5.9","5.5","5131","5.84","5.96"
"2006","Realschule","Laendlicher Raum","5.69","5.5","2355","5.59","5.79"
"2006","Realschule","Staedtischer Raum","6.03","5.5","3301","5.95","6.11"
"2007","(Fach-)Abitur","Laendlicher Raum","6.17","6.5","575","5.99","6.35"
"2007","(Fach-)Abitur","Staedtischer Raum","6.14","5.5","1743","6.04","6.24"
"2007","(noch) kein Abschluss","Laendlicher Raum","5.04","4.5","151","4.61","5.47"
"2007","(noch) kein Abschluss","Staedtischer Raum","5.78","5.5","360","5.53","6.03"
"2007","AkademikerIn","Laendlicher Raum","6.46","6.5","1284","6.34","6.58"
"2007","AkademikerIn","Staedtischer Raum","6.81","6.5","3071","6.74","6.88"
"2007","Hauptschule","Laendlicher Raum","5.87","5.5","2615","5.78","5.96"
"2007","Hauptschule","Staedtischer Raum","5.84","5.5","4633","5.78","5.9"
"2007","Realschule","Laendlicher Raum","5.76","5.5","2223","5.66","5.86"
"2007","Realschule","Staedtischer Raum","6.16","6.5","3109","6.08","6.24"
"2008","(Fach-)Abitur","Laendlicher Raum","6.17","6.5","526","5.98","6.36"
"2008","(Fach-)Abitur","Staedtischer Raum","6.1","5.5","1604","5.99","6.21"
"2008","(noch) kein Abschluss","Laendlicher Raum","5.79","5.5","146","5.39","6.19"
"2008","(noch) kein Abschluss","Staedtischer Raum","5.78","5.5","342","5.52","6.04"
"2008","AkademikerIn","Laendlicher Raum","6.61","6.5","1216","6.49","6.73"
"2008","AkademikerIn","Staedtischer Raum","6.83","6.5","2944","6.76","6.9"
"2008","Hauptschule","Laendlicher Raum","5.86","5.5","2444","5.77","5.95"
"2008","Hauptschule","Staedtischer Raum","5.89","5.5","4280","5.82","5.96"
"2008","Realschule","Laendlicher Raum","5.82","5.5","2097","5.72","5.92"
"2008","Realschule","Staedtischer Raum","6.14","6.5","2967","6.06","6.22"
"2009","(Fach-)Abitur","Laendlicher Raum","6.23","5.5","506","6.04","6.42"
"2009","(Fach-)Abitur","Staedtischer Raum","6.27","6.5","1459","6.16","6.38"
"2009","(noch) kein Abschluss","Laendlicher Raum","5.46","5.5","124","5.01","5.91"
"2009","(noch) kein Abschluss","Staedtischer Raum","5.83","5.5","315","5.55","6.11"
"2009","AkademikerIn","Laendlicher Raum","6.62","6.5","1214","6.5","6.74"
"2009","AkademikerIn","Staedtischer Raum","6.86","6.5","2795","6.78","6.94"
"2009","Hauptschule","Laendlicher Raum","5.88","5.5","2253","5.78","5.98"
"2009","Hauptschule","Staedtischer Raum","5.95","5.5","3875","5.88","6.02"
"2009","Realschule","Laendlicher Raum","5.76","5.5","2013","5.66","5.86"
"2009","Realschule","Staedtischer Raum","6.24","6.5","2732","6.16","6.32"
"2010","(Fach-)Abitur","Laendlicher Raum","6.33","6.5","786","6.17","6.49"
"2010","(Fach-)Abitur","Staedtischer Raum","6.37","6.5","2232","6.27","6.47"
"2010","(noch) kein Abschluss","Laendlicher Raum","6.04","5.5","224","5.69","6.39"
"2010","(noch) kein Abschluss","Staedtischer Raum","5.96","5.5","495","5.73","6.19"
"2010","AkademikerIn","Laendlicher Raum","6.75","6.5","1474","6.64","6.86"
"2010","AkademikerIn","Staedtischer Raum","6.9","6.5","3871","6.83","6.97"
"2010","Hauptschule","Laendlicher Raum","5.95","5.5","2731","5.86","6.04"
"2010","Hauptschule","Staedtischer Raum","6.04","5.5","4684","5.97","6.11"
"2010","Realschule","Laendlicher Raum","6.03","5.5","2906","5.94","6.12"
"2010","Realschule","Staedtischer Raum","6.31","6.5","3810","6.24","6.38"
"2011","(Fach-)Abitur","Laendlicher Raum","6.54","6.5","898","6.39","6.69"
"2011","(Fach-)Abitur","Staedtischer Raum","6.61","6.5","2361","6.52","6.7"
"2011","(noch) kein Abschluss","Laendlicher Raum","6.02","5.5","235","5.7","6.34"
"2011","(noch) kein Abschluss","Staedtischer Raum","6.39","6.5","516","6.17","6.61"
"2011","AkademikerIn","Laendlicher Raum","6.99","6.5","1622","6.89","7.09"
"2011","AkademikerIn","Staedtischer Raum","7.16","7.5","4109","7.1","7.22"
"2011","Hauptschule","Laendlicher Raum","6.04","5.5","2972","5.95","6.13"
"2011","Hauptschule","Staedtischer Raum","6.17","6.5","4871","6.1","6.24"
"2011","Realschule","Laendlicher Raum","6.07","6.5","3164","5.99","6.15"
"2011","Realschule","Staedtischer Raum","6.41","6.5","4027","6.34","6.48"
"2012","(Fach-)Abitur","Laendlicher Raum","6.54","6.5","932","6.4","6.68"
"2012","(Fach-)Abitur","Staedtischer Raum","6.69","6.5","2407","6.6","6.78"
"2012","(noch) kein Abschluss","Laendlicher Raum","5.84","5.5","253","5.5","6.18"
"2012","(noch) kein Abschluss","Staedtischer Raum","6.32","6.5","528","6.11","6.53"
"2012","AkademikerIn","Laendlicher Raum","7.01","6.5","1700","6.91","7.11"
"2012","AkademikerIn","Staedtischer Raum","7.19","7.5","4196","7.13","7.25"
"2012","Hauptschule","Laendlicher Raum","6.25","6.5","3174","6.17","6.33"
"2012","Hauptschule","Staedtischer Raum","6.28","6.5","4961","6.22","6.34"
"2012","Realschule","Laendlicher Raum","6.27","6.5","3279","6.19","6.35"
"2012","Realschule","Staedtischer Raum","6.5","6.5","4110","6.43","6.57"
"2013","(Fach-)Abitur","Laendlicher Raum","6.77","6.5","1136","6.64","6.9"
"2013","(Fach-)Abitur","Staedtischer Raum","6.7","6.5","3276","6.62","6.78"
"2013","(noch) kein Abschluss","Laendlicher Raum","5.99","6.5","354","5.72","6.26"
"2013","(noch) kein Abschluss","Staedtischer Raum","6.27","6.5","882","6.1","6.44"
"2013","AkademikerIn","Laendlicher Raum","7.1","7.5","1857","7.01","7.19"
"2013","AkademikerIn","Staedtischer Raum","7.3","7.5","4977","7.24","7.36"
"2013","Hauptschule","Laendlicher Raum","6.32","6.5","3466","6.24","6.4"
"2013","Hauptschule","Staedtischer Raum","6.32","6.5","5876","6.26","6.38"
"2013","Realschule","Laendlicher Raum","6.37","6.5","3327","6.29","6.45"
"2013","Realschule","Staedtischer Raum","6.67","6.5","4409","6.6","6.74"
"2014","(Fach-)Abitur","Laendlicher Raum","6.74","6.5","1029","6.61","6.87"
"2014","(Fach-)Abitur","Staedtischer Raum","6.65","6.5","2863","6.57","6.73"
"2014","(noch) kein Abschluss","Laendlicher Raum","5.64","5.5","287","5.33","5.95"
"2014","(noch) kein Abschluss","Staedtischer Raum","5.96","5.5","622","5.75","6.17"
"2014","AkademikerIn","Laendlicher Raum","7.16","7.5","1711","7.06","7.26"
"2014","AkademikerIn","Staedtischer Raum","7.31","7.5","4484","7.25","7.37"
"2014","Hauptschule","Laendlicher Raum","6.36","6.5","3079","6.28","6.44"
"2014","Hauptschule","Staedtischer Raum","6.37","6.5","5023","6.31","6.43"
"2014","Realschule","Laendlicher Raum","6.37","6.5","2951","6.29","6.45"
"2014","Realschule","Staedtischer Raum","6.65","6.5","3868","6.58","6.72"
"2015","(Fach-)Abitur","Laendlicher Raum","6.84","6.5","962","6.71","6.97"
"2015","(Fach-)Abitur","Staedtischer Raum","6.99","6.5","2616","6.91","7.07"
"2015","(noch) kein Abschluss","Laendlicher Raum","6.12","5.5","241","5.81","6.43"
"2015","(noch) kein Abschluss","Staedtischer Raum","5.75","5.5","510","5.52","5.98"
"2015","AkademikerIn","Laendlicher Raum","7.17","7.5","1655","7.07","7.27"
"2015","AkademikerIn","Staedtischer Raum","7.38","7.5","4189","7.32","7.44"
"2015","Hauptschule","Laendlicher Raum","6.47","6.5","2810","6.39","6.55"
"2015","Hauptschule","Staedtischer Raum","6.5","6.5","4480","6.43","6.57"
"2015","Realschule","Laendlicher Raum","6.5","6.5","2812","6.42","6.58"
"2015","Realschule","Staedtischer Raum","6.79","6.5","3613","6.72","6.86"
"2016","(Fach-)Abitur","Laendlicher Raum","6.98","6.5","969","6.85","7.11"
"2016","(Fach-)Abitur","Staedtischer Raum","6.92","6.5","2642","6.84","7"
"2016","(noch) kein Abschluss","Laendlicher Raum","6.22","6.5","211","5.89","6.55"
"2016","(noch) kein Abschluss","Staedtischer Raum","6.15","6.5","542","5.93","6.37"
"2016","AkademikerIn","Laendlicher Raum","7.2","7.5","1649","7.1","7.3"
"2016","AkademikerIn","Staedtischer Raum","7.34","7.5","4197","7.28","7.4"
"2016","Hauptschule","Laendlicher Raum","6.6","6.5","2680","6.51","6.69"
"2016","Hauptschule","Staedtischer Raum","6.61","6.5","4206","6.54","6.68"
"2016","Realschule","Laendlicher Raum","6.65","6.5","2626","6.57","6.73"
"2016","Realschule","Staedtischer Raum","6.82","6.5","3327","6.75","6.89"
"2017","(Fach-)Abitur","Laendlicher Raum","6.92","6.5","1112","6.8","7.04"
"2017","(Fach-)Abitur","Staedtischer Raum","6.8","6.5","2934","6.72","6.88"
"2017","(noch) kein Abschluss","Laendlicher Raum","6.23","6.5","240","5.92","6.54"
"2017","(noch) kein Abschluss","Staedtischer Raum","6.33","6.5","596","6.12","6.54"
"2017","AkademikerIn","Laendlicher Raum","7.37","7.5","1820","7.28","7.46"
"2017","AkademikerIn","Staedtischer Raum","7.5","7.5","4660","7.44","7.56"
"2017","Hauptschule","Laendlicher Raum","6.52","6.5","2772","6.44","6.6"
"2017","Hauptschule","Staedtischer Raum","6.58","6.5","4297","6.51","6.65"
"2017","Realschule","Laendlicher Raum","6.62","6.5","3049","6.54","6.7"
"2017","Realschule","Staedtischer Raum","6.89","6.5","3802","6.82","6.96"
