"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1991","(Fach-)Abitur","6.59","6.5","878","3","5","8","9","10","6.44","6.74","0","10","7","7"
"1991","(noch) kein Abschluss","6.51","6.5","843","3","5","8","10","10","6.36","6.66","0","10","6","7"
"1991","AkademikerIn","","","","","","","","","","","","","",""
"1991","Hauptschule","6.5","6.5","6713","3","5","8","9","10","6.44","6.56","0","10","7","7"
"1991","Realschule","6.32","6.5","3109","3","5","8","9","10","6.23","6.41","0","10","6","6"
"1992","(Fach-)Abitur","6.59","6.5","888","4","5","8","9","10","6.45","6.73","0","10","7","7"
"1992","(noch) kein Abschluss","6.27","5.5","829","3","5","8","9","10","6.12","6.42","0","10","6","7"
"1992","AkademikerIn","","","","","","","","","","","","","",""
"1992","Hauptschule","6.3","6.5","6497","3","5","8","9","10","6.25","6.35","0","10","6","7"
"1992","Realschule","6.31","6.5","3069","3","5","8","9","10","6.23","6.39","0","10","6","6"
"1993","(Fach-)Abitur","6.49","6.5","874","3","5","8","9","10","6.34","6.64","0","10","6","7"
"1993","(noch) kein Abschluss","5.99","5.5","778","3","5","8","9","10","5.82","6.16","0","10","6","6"
"1993","AkademikerIn","","","","","","","","","","","","","",""
"1993","Hauptschule","6.3","6.5","6224","3","5","8","9","10","6.24","6.36","0","10","6","7"
"1993","Realschule","6.31","6.5","3010","3","5","8","9","10","6.23","6.39","0","10","6","6"
"1994","(Fach-)Abitur","6.18","5.5","897","3","5","8","9","10","6.02","6.34","0","10","6","7"
"1994","(noch) kein Abschluss","5.9","5.5","766","2","4","8","9","10","5.73","6.07","0","10","6","6"
"1994","AkademikerIn","","","","","","","","","","","","","",""
"1994","Hauptschule","6.2","6.5","5991","3","5","8","9","10","6.14","6.26","0","10","6","6"
"1994","Realschule","","","","","","","","","","","","","",""
"1995","(Fach-)Abitur","","","","","","","","","","","","","",""
"1995","(noch) kein Abschluss","5.94","5.5","784","3","4","8","9","10","5.78","6.1","0","10","6","6"
"1995","AkademikerIn","","","","","","","","","","","","","",""
"1995","Hauptschule","6.29","6.5","6041","3","5","8","9","10","6.23","6.35","0","10","6","7"
"1995","Realschule","6.25","6.5","3037","3","5","8","9","10","6.17","6.33","0","10","6","6"
"1996","(Fach-)Abitur","","","","","","","","","","","","","",""
"1996","(noch) kein Abschluss","6.05","5.5","763","3","5","8","9","10","5.89","6.21","0","10","6","6"
"1996","AkademikerIn","","","","","","","","","","","","","",""
"1996","Hauptschule","6.32","6.5","5859","3","5","8","9","10","6.26","6.38","0","10","6","7"
"1996","Realschule","6.28","6.5","3049","3","5","8","9","10","6.2","6.36","0","10","6","6"
"1997","(Fach-)Abitur","6.14","5.5","983","3","5","8","9","10","6","6.28","0","10","6","7"
"1997","(noch) kein Abschluss","5.82","5.5","757","3","4","8","9","10","5.66","5.98","0","10","6","6"
"1997","AkademikerIn","","","","","","","","","","","","","",""
"1997","Hauptschule","6.03","5.5","5677","3","5","8","9","10","5.97","6.09","0","10","6","6"
"1997","Realschule","6.13","5.5","3006","3","5","8","9","10","6.05","6.21","0","10","6","6"
"1998","(Fach-)Abitur","","","","","","","","","","","","","",""
"1998","(noch) kein Abschluss","5.88","5.5","736","2","4","8","9","10","5.71","6.05","0","10","6","6"
"1998","AkademikerIn","","","","","","","","","","","","","",""
"1998","Hauptschule","6.2","6.5","6067","3","5","8","9","10","6.14","6.26","0","10","6","6"
"1998","Realschule","6.16","6.5","3331","3","5","8","9","10","6.08","6.24","0","10","6","6"
"1999","(Fach-)Abitur","","","","","","","","","","","","","",""
"1999","(noch) kein Abschluss","6.04","5.5","704","3","5","8","9","10","5.87","6.21","0","10","6","6"
"1999","AkademikerIn","","","","","","","","","","","","","",""
"1999","Hauptschule","6.25","6.5","5922","3","5","8","9","10","6.19","6.31","0","10","6","7"
"1999","Realschule","6.28","6.5","3315","3","5","8","9","10","6.2","6.36","0","10","6","7"
"2000","(Fach-)Abitur","","","","","","","","","","","","","",""
"2000","(noch) kein Abschluss","5.86","5.5","805","2","5","8","9","10","5.69","6.03","0","10","6","6"
"2000","AkademikerIn","6.96","6.5","3793","4","6","8","10","10","6.89","7.03","0","10","7","7"
"2000","Hauptschule","","","","","","","","","","","","","",""
"2000","Realschule","6.44","6.5","6170","3","5","8","9","10","6.38","6.5","0","10","7","7"
"2001","(Fach-)Abitur","","","","","","","","","","","","","",""
"2001","(noch) kein Abschluss","6.21","5.5","806","3","5","8","9","10","6.05","6.37","0","10","6","7"
"2001","AkademikerIn","7.05","7.5","3528","4","6","8","10","10","6.98","7.12","0","10","7","8"
"2001","Hauptschule","6.46","6.5","9262","3","5","8","9","10","6.41","6.51","0","10","7","7"
"2001","Realschule","6.5","6.5","5683","3","5","8","9","10","6.44","6.56","0","10","7","7"
"2002","(Fach-)Abitur","","","","","","","","","","","","","",""
"2002","(noch) kein Abschluss","6.01","5.5","783","3","5","8","9","10","5.85","6.17","0","10","6","7"
"2002","AkademikerIn","6.82","6.5","4536","4","5","8","9","10","6.76","6.88","0","10","8","8"
"2002","Hauptschule","6.19","6.5","8796","3","5","8","9","10","6.14","6.24","0","10","6","7"
"2002","Realschule","6.23","6.5","5909","3","5","8","9","10","6.17","6.29","0","10","7","7"
"2003","(Fach-)Abitur","","","","","","","","","","","","","",""
"2003","(noch) kein Abschluss","5.88","5.5","774","3","5","8","9","10","5.71","6.05","0","10","6","7"
"2003","AkademikerIn","6.72","6.5","4339","4","5","8","9","10","6.66","6.78","0","10","7","8"
"2003","Hauptschule","6.13","5.5","8367","3","5","8","9","10","6.08","6.18","0","10","6","7"
"2003","Realschule","6.08","5.5","5714","3","5","8","9","10","6.02","6.14","0","10","6","7"
"2004","(Fach-)Abitur","","","","","","","","","","","","","",""
"2004","(noch) kein Abschluss","5.8","5.5","778","2","4","8","9","10","5.63","5.97","0","10","6","7"
"2004","AkademikerIn","6.6","6.5","4263","3","5","8","9","10","6.54","6.66","0","10","7","7"
"2004","Hauptschule","5.9","5.5","7938","3","5","8","9","10","5.85","5.95","0","10","6","6"
"2004","Realschule","5.92","5.5","5516","3","5","8","9","10","5.86","5.98","0","10","6","6"
"2005","(Fach-)Abitur","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","5.93","5.5","796","3","4","8","9","10","5.76","6.1","0","10","6","7"
"2005","AkademikerIn","6.64","6.5","4136","3","5","8","9","10","6.57","6.71","0","10","7","8"
"2005","Hauptschule","5.91","5.5","7459","3","5","8","9","10","5.86","5.96","0","10","6","6"
"2005","Realschule","5.97","5.5","5308","3","5","8","9","10","5.91","6.03","0","10","6","7"
"2006","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","5.71","5.5","591","2","4","8","9","10","5.51","5.91","0","10","6","7"
"2006","AkademikerIn","6.65","6.5","4553","3","5","8","9","10","6.59","6.71","0","10","7","7"
"2006","Hauptschule","5.9","5.5","7979","3","5","8","9","10","5.85","5.95","0","10","6","6"
"2006","Realschule","5.9","5.5","5656","3","5","8","9","10","5.84","5.96","0","10","6","6"
"2007","(Fach-)Abitur","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","5.57","5.5","511","2","4","7","9","10","5.35","5.79","0","10","6","7"
"2007","AkademikerIn","6.72","6.5","4355","3","5","8","9","10","6.66","6.78","0","10","7","7"
"2007","Hauptschule","5.85","5.5","7248","3","4","8","8","10","5.8","5.9","0","10","6","6"
"2007","Realschule","6","5.5","5332","3","5","8","9","10","5.94","6.06","0","10","6","7"
"2008","(Fach-)Abitur","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","5.79","5.5","488","2","4","8","9","10","5.57","6.01","0","10","6","7"
"2008","AkademikerIn","6.77","6.5","4160","4","5","8","9","10","6.71","6.83","0","10","7","8"
"2008","Hauptschule","5.88","5.5","6724","3","5","8","8","10","5.83","5.93","0","10","6","6"
"2008","Realschule","6.02","5.5","5064","3","5","8","9","10","5.96","6.08","0","10","7","7"
"2009","(Fach-)Abitur","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","5.73","5.5","439","2","4","8","9","10","5.5","5.96","0","10","6","7"
"2009","AkademikerIn","6.8","6.5","4009","3","5","8","9","10","6.74","6.86","0","10","7","8"
"2009","Hauptschule","5.93","5.5","6128","3","5","8","9","10","5.87","5.99","0","10","6","6"
"2009","Realschule","6.05","6.5","4745","3","5","8","9","10","5.98","6.12","0","10","7","7"
"2010","(Fach-)Abitur","6.36","6.5","3018","3","5","8","9","10","6.28","6.44","0","10","7","7"
"2010","(noch) kein Abschluss","5.98","5.5","719","3","4","8","9","10","5.79","6.17","0","10","6","7"
"2010","AkademikerIn","6.86","6.5","5345","4","5","8","9","10","6.8","6.92","0","10","8","8"
"2010","Hauptschule","6.01","5.5","7415","3","5","8","9","10","5.96","6.06","0","10","6","6"
"2010","Realschule","6.2","6.5","6716","3","5","8","9","10","6.14","6.26","0","10","6","7"
"2011","(Fach-)Abitur","6.59","6.5","3259","3","5","8","9","10","6.51","6.67","0","10","7","7"
"2011","(noch) kein Abschluss","6.29","6.5","751","3","5","8","9","10","6.11","6.47","0","10","6","7"
"2011","AkademikerIn","7.11","7.5","5731","4","6","9","10","10","7.06","7.16","0","10","8","8"
"2011","Hauptschule","6.13","5.5","7843","3","5","8","9","10","6.08","6.18","0","10","6","6"
"2011","Realschule","6.27","6.5","7191","3","5","8","9","10","6.22","6.32","0","10","7","7"
"2012","(Fach-)Abitur","6.65","6.5","3339","3","5","8","9","10","6.57","6.73","0","10","7","7"
"2012","(noch) kein Abschluss","6.19","6.5","781","2","5","8","9","10","6.01","6.37","0","10","6","7"
"2012","AkademikerIn","7.14","7.5","5896","4","6","9","9","10","7.09","7.19","0","10","8","8"
"2012","Hauptschule","6.27","6.5","8135","3","5","8","9","10","6.22","6.32","0","10","6","7"
"2012","Realschule","6.41","6.5","7389","3","5","8","9","10","6.36","6.46","0","10","7","7"
"2013","(Fach-)Abitur","6.71","6.5","4412","4","5","8","9","10","6.64","6.78","0","10","7","7"
"2013","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2013","AkademikerIn","7.25","7.5","6834","4","6","9","10","10","7.2","7.3","0","10","8","8"
"2013","Hauptschule","6.32","6.5","9342","3","5","8","9","10","6.27","6.37","0","10","7","7"
"2013","Realschule","6.55","6.5","7736","3","5","8","9","10","6.5","6.6","0","10","7","7"
"2014","(Fach-)Abitur","6.67","6.5","3892","4","5","8","9","10","6.6","6.74","0","10","7","7"
"2014","(noch) kein Abschluss","5.87","5.5","909","2","4","8","9","10","5.7","6.04","0","10","6","7"
"2014","AkademikerIn","7.27","7.5","6195","4","6","9","10","10","7.22","7.32","0","10","8","8"
"2014","Hauptschule","6.37","6.5","8102","3","5","8","9","10","6.32","6.42","0","10","7","7"
"2014","Realschule","6.54","6.5","6819","3","5","8","9","10","6.49","6.59","0","10","7","7"
"2015","(Fach-)Abitur","6.96","6.5","3578","4","6","8","9","10","6.89","7.03","0","10","7","7"
"2015","(noch) kein Abschluss","5.85","5.5","751","2","4","8","9","10","5.67","6.03","0","10","6","7"
"2015","AkademikerIn","7.33","7.5","5844","5","6","9","10","10","7.28","7.38","0","10","8","8"
"2015","Hauptschule","6.49","6.5","7290","3","5","8","9","10","6.44","6.54","0","10","7","7"
"2015","Realschule","6.67","6.5","6425","4","5","8","9","10","6.62","6.72","0","10","7","7"
"2016","(Fach-)Abitur","6.93","6.5","3611","4","6","8","9","10","6.86","7","0","10","7","7"
"2016","(noch) kein Abschluss","6.17","6.5","753","2","5","8","9","10","5.99","6.35","0","10","6","7"
"2016","AkademikerIn","7.31","7.5","5846","4","6","9","10","10","7.26","7.36","0","10","8","8"
"2016","Hauptschule","6.61","6.5","6886","3","5","8","9","10","6.56","6.66","0","10","7","7"
"2016","Realschule","6.75","6.5","5953","4","5","8","9","10","6.7","6.8","0","10","7","7"
"2017","(Fach-)Abitur","6.83","6.5","4046","4","6","8","9","10","6.76","6.9","0","10","7","7"
"2017","(noch) kein Abschluss","6.31","6.5","836","3","5","8","10","10","6.14","6.48","0","10","7","7"
"2017","AkademikerIn","7.47","7.5","6480","5","7","9","10","10","7.42","7.52","0","10","8","8"
"2017","Hauptschule","6.56","6.5","7069","3","5","8","9","10","6.51","6.61","0","10","7","7"
"2017","Realschule","6.78","6.5","6851","4","5","8","9","10","6.73","6.83","0","10","7","7"
"2018","(Fach-)Abitur","6.89","6.5","3938","4","6","8","9","10","6.82","6.96","0","10","7","7"
"2018","(noch) kein Abschluss","6.21","5.5","838","3","5","8","9","10","6.03","6.39","0","10","6","7"
"2018","AkademikerIn","7.42","7.5","6314","5","6","9","10","10","7.37","7.47","0","10","8","8"
"2018","Hauptschule","6.57","6.5","6732","3","5","8","9","10","6.52","6.62","0","10","7","7"
"2018","Realschule","6.77","6.5","6614","4","6","8","9","10","6.72","6.82","0","10","7","7"
"2019","(Fach-)Abitur","7.13","7.5","4093","4","6","8","10","10","7.07","7.19","0","10","8","8"
"2019","(noch) kein Abschluss","6.16","5.5","730","3","5","8","9","10","5.97","6.35","0","10","7","7"
"2019","AkademikerIn","7.65","7.5","7020","5","7","9","10","10","7.61","7.69","0","10","8","8"
"2019","Hauptschule","6.74","6.5","6170","4","5","8","9","10","6.68","6.8","0","10","7","7"
"2019","Realschule","6.97","6.5","6706","4","6","8","9","10","6.92","7.02","0","10","7","8"
"2020","(Fach-)Abitur","7.06","6.5","4376","4","6","8","9","10","7","7.12","0","10","7","8"
"2020","(noch) kein Abschluss","6.24","6.5","857","3","5","8","9","10","6.07","6.41","0","10","7","7"
"2020","AkademikerIn","7.61","7.5","7140","5","7","9","10","10","7.57","7.65","0","10","8","8"
"2020","Hauptschule","6.66","6.5","5876","4","5","8","9","10","6.6","6.72","0","10","7","7"
"2020","Realschule","6.96","6.5","6154","4","6","8","9","10","6.91","7.01","0","10","7","8"
