"year","alter_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2000","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.36","7","5229","6.3","6.42"
"2000","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.56","6","3291","5.48","5.64"
"2000","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.6","7","10071","6.56","6.64"
"2000","66 und älter","Ostdeutschland, neue Bundeslaender","6.68","7","877","6.54","6.82"
"2000","66 und älter","Westdeutschland, alte Bundeslaender","7.07","8","2720","6.99","7.15"
"2001","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.47","6","1476","5.35","5.59"
"2001","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.41","7","4607","6.35","6.47"
"2001","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.66","6","3056","5.58","5.74"
"2001","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.66","7","9144","6.62","6.7"
"2001","66 und älter","Ostdeutschland, neue Bundeslaender","6.77","7","846","6.63","6.91"
"2001","66 und älter","Westdeutschland, alte Bundeslaender","7.2","8","2561","7.12","7.28"
"2002","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.43","6","1415","5.31","5.55"
"2002","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.14","6","4463","6.08","6.2"
"2002","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.33","5","3045","5.25","5.41"
"2002","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.41","7","10198","6.37","6.45"
"2002","66 und älter","Ostdeutschland, neue Bundeslaender","6.27","7","893","6.14","6.4"
"2002","66 und älter","Westdeutschland, alte Bundeslaender","6.94","7","2709","6.86","7.02"
"2003","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.25","5","1389","5.12","5.38"
"2003","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.04","6","4221","5.97","6.11"
"2003","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.13","5","2974","5.05","5.21"
"2003","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.28","7","9670","6.24","6.32"
"2003","66 und älter","Ostdeutschland, neue Bundeslaender","6.32","6.01","913","6.19","6.45"
"2003","66 und älter","Westdeutschland, alte Bundeslaender","6.91","7","2757","6.83","6.99"
"2004","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.11","5","1344","4.98","5.24"
"2004","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","5.96","6","3992","5.89","6.03"
"2004","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","4.93","5","2834","4.84","5.02"
"2004","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.15","7","9320","6.1","6.2"
"2004","66 und älter","Ostdeutschland, neue Bundeslaender","6.01","6","953","5.88","6.14"
"2004","66 und älter","Westdeutschland, alte Bundeslaender","6.59","7","2803","6.51","6.67"
"2005","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.27","5","1287","5.14","5.4"
"2005","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","5.97","6","3817","5.9","6.04"
"2005","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","4.96","5","2715","4.87","5.05"
"2005","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.13","7","8834","6.08","6.18"
"2005","66 und älter","Ostdeutschland, neue Bundeslaender","6.33","7","962","6.21","6.45"
"2005","66 und älter","Westdeutschland, alte Bundeslaender","6.62","7","2808","6.54","6.7"
"2006","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.24","5","1236","5.11","5.37"
"2006","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","5.96","6","3705","5.88","6.04"
"2006","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","4.95","5","2844","4.86","5.04"
"2006","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.13","6","9501","6.08","6.18"
"2006","66 und älter","Ostdeutschland, neue Bundeslaender","6.11","6","1126","5.99","6.23"
"2006","66 und älter","Westdeutschland, alte Bundeslaender","6.5","7","3289","6.42","6.58"
"2007","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.36","5","1185","5.23","5.49"
"2007","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.09","6","3380","6.01","6.17"
"2007","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.12","5","2638","5.03","5.21"
"2007","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.09","7","8760","6.04","6.14"
"2007","66 und älter","Ostdeutschland, neue Bundeslaender","6.02","6","1125","5.9","6.14"
"2007","66 und älter","Westdeutschland, alte Bundeslaender","6.56","7","3217","6.49","6.63"
"2008","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.54","6","1103","5.4","5.68"
"2008","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.14","7","3089","6.06","6.22"
"2008","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.11","5","2502","5.02","5.2"
"2008","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.13","7","8114","6.08","6.18"
"2008","66 und älter","Ostdeutschland, neue Bundeslaender","5.97","6","1127","5.85","6.09"
"2008","66 und älter","Westdeutschland, alte Bundeslaender","6.57","7","3177","6.5","6.64"
"2009","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.64","6","1010","5.5","5.78"
"2009","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.15","6","2819","6.07","6.23"
