"hlf0071_h","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Etwas zu klein","1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1996","2","Staedtischer Raum","2125","0.713637289025415","0.697599192374496","0.729675385676335"
"Gerade richtig","1996","2","Laendlicher Raum","1305","0.694742278904353","0.67371753973501","0.715767018073696"
"Gerade richtig","1996","3","Staedtischer Raum","1499","0.709328310631727","0.689903048593798","0.728753572669655"
"Gerade richtig","1996","3","Laendlicher Raum","752","0.736176176422901","0.709314339618403","0.763038013227398"
"Gerade richtig","1996","4","Staedtischer Raum","996","0.708140737009377","0.684301276775749","0.731980197243006"
"Gerade richtig","1996","4","Laendlicher Raum","342","0.643783791072454","0.601076563099471","0.686491019045438"
"Gerade richtig","1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1996","2","Staedtischer Raum","146","0.0557133222078979","0.0475758918297585","0.0638507525860373"
"Etwas zu gross","1996","2","Laendlicher Raum","116","0.0844295085148419","0.0717360944396105","0.0971229225900733"
"Etwas zu gross","1996","3","Staedtischer Raum","137","0.0802941756682348","0.0686687634277883","0.0919195879086814"
"Etwas zu gross","1996","3","Laendlicher Raum","101","0.0991975722822457","0.0809773732237744","0.117417771340717"
"Etwas zu gross","1996","4","Staedtischer Raum","130","0.104551368582326","0.0885065397804213","0.120596197384232"
"Etwas zu gross","1996","4","Laendlicher Raum","79","0.233755577631124","0.196012337519668","0.27149881774258"
"Etwas zu gross","1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1996","2","Staedtischer Raum","12","","",""
"Viel zu gross","1996","2","Laendlicher Raum","12","","",""
"Viel zu gross","1996","3","Staedtischer Raum","6","","",""
"Viel zu gross","1996","3","Laendlicher Raum","1","","",""
"Viel zu gross","1996","4","Staedtischer Raum","6","","",""
"Viel zu gross","1996","4","Laendlicher Raum","2","","",""
"Viel zu gross","1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1997","2","Staedtischer Raum","86","0.028118878941308","0.0221574767961507","0.0340802810864653"
"Viel zu klein","1997","2","Laendlicher Raum","37","0.0191647028484726","0.0129356216437231","0.0253937840532221"
"Viel zu klein","1997","3","Staedtischer Raum","41","0.0150645549666148","0.010004356536102","0.0201247533971275"
"Viel zu klein","1997","3","Laendlicher Raum","23","","",""
"Viel zu klein","1997","4","Staedtischer Raum","18","","",""
"Viel zu klein","1997","4","Laendlicher Raum","8","","",""
"Viel zu klein","1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1997","2","Staedtischer Raum","580","0.1706083850748","0.157043289694441","0.184173480455158"
"Etwas zu klein","1997","2","Laendlicher Raum","336","0.165652567416415","0.148761874857263","0.182543259975567"
"Etwas zu klein","1997","3","Staedtischer Raum","456","0.190823170378265","0.174499313297232","0.207147027459299"
"Etwas zu klein","1997","3","Laendlicher Raum","164","0.164603033695987","0.141934840875886","0.187271226516087"
"Etwas zu klein","1997","4","Staedtischer Raum","207","0.131747821059408","0.11384489470314","0.149650747415675"
"Etwas zu klein","1997","4","Laendlicher Raum","63","0.0885529213593382","0.0647013489497786","0.112404493768898"
"Etwas zu klein","1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1997","2","Staedtischer Raum","2144","0.736561993709797","0.720677012192302","0.752446975227293"
"Gerade richtig","1997","2","Laendlicher Raum","1372","0.726216675302952","0.705957978279942","0.746475372325963"
"Gerade richtig","1997","3","Staedtischer Raum","1584","0.716608290021432","0.697887680021158","0.735328900021707"
"Gerade richtig","1997","3","Laendlicher Raum","730","0.691685835549323","0.663456366263332","0.719915304835314"
"Gerade richtig","1997","4","Staedtischer Raum","1019","0.734493428587764","0.711117925949567","0.757868931225961"
"Gerade richtig","1997","4","Laendlicher Raum","412","0.744563558564006","0.707949981899285","0.781177135228726"
"Gerade richtig","1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1997","2","Staedtischer Raum","141","0.0625230529961691","0.0537924702612834","0.0712536357310548"
"Etwas zu gross","1997","2","Laendlicher Raum","108","0.0813259796615443","0.0689074472914276","0.093744512031661"
"Etwas zu gross","1997","3","Staedtischer Raum","141","0.0747019854758384","0.063780231267305","0.0856237396843717"
"Etwas zu gross","1997","3","Laendlicher Raum","105","0.127291094327301","0.10691667464767","0.147665514006933"
"Etwas zu gross","1997","4","Staedtischer Raum","119","0.112950344798999","0.0961952414947292","0.129705448103269"
"Etwas zu gross","1997","4","Laendlicher Raum","57","0.148238203754996","0.118405749023979","0.178070658486013"
"Etwas zu gross","1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1997","2","Staedtischer Raum","3","","",""
"Viel zu gross","1997","2","Laendlicher Raum","8","","",""
"Viel zu gross","1997","3","Staedtischer Raum","4","","",""
"Viel zu gross","1997","3","Laendlicher Raum","6","","",""
"Viel zu gross","1997","4","Staedtischer Raum","8","","",""
"Viel zu gross","1997","4","Laendlicher Raum","5","","",""
"Viel zu gross","1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1998","2","Staedtischer Raum","116","0.0275155549537813","0.0218345673368716","0.033196542570691"
"Viel zu klein","1998","2","Laendlicher Raum","23","","",""
"Viel zu klein","1998","3","Staedtischer Raum","36","0.0167018437358427","0.0114848994867403","0.0219187879849451"
"Viel zu klein","1998","3","Laendlicher Raum","19","","",""
"Viel zu klein","1998","4","Staedtischer Raum","31","0.014507284590982","0.00884668472444686","0.0201678844575172"
"Viel zu klein","1998","4","Laendlicher Raum","8","","",""
"Viel zu klein","1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1998","2","Staedtischer Raum","682","0.200170290390054","0.186274221826781","0.214066358953327"
"Etwas zu klein","1998","2","Laendlicher Raum","281","0.137888084819928","0.122290363802668","0.153485805837188"
"Etwas zu klein","1998","3","Staedtischer Raum","418","0.173725006360213","0.158301438518831","0.189148574201595"
"Etwas zu klein","1998","3","Laendlicher Raum","209","0.153623221875868","0.133372768489989","0.173873675261747"
"Etwas zu klein","1998","4","Staedtischer Raum","273","0.153470636798587","0.136406813576933","0.170534460020241"
"Etwas zu klein","1998","4","Laendlicher Raum","47","0.0714540129139093","0.0513242903602775","0.0915837354675411"
"Etwas zu klein","1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1998","2","Staedtischer Raum","2136","0.686287388697569","0.670173054335834","0.702401723059303"
"Gerade richtig","1998","2","Laendlicher Raum","1383","0.716351095309595","0.695958642086457","0.736743548532733"
"Gerade richtig","1998","3","Staedtischer Raum","1691","0.715321266269386","0.696950830592733","0.733691701946039"
"Gerade richtig","1998","3","Laendlicher Raum","866","0.706505576027852","0.680932547030072","0.732078605025632"
"Gerade richtig","1998","4","Staedtischer Raum","1244","0.717270417480357","0.695951273240056","0.738589561720658"
"Gerade richtig","1998","4","Laendlicher Raum","475","0.746242028040379","0.712234703342886","0.780249352737873"
"Gerade richtig","1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1998","2","Staedtischer Raum","238","0.0813922421424866","0.071896040382107","0.0908884439028661"
"Etwas zu gross","1998","2","Laendlicher Raum","167","0.112874794671365","0.0985592821641046","0.127190307178625"
"Etwas zu gross","1998","3","Staedtischer Raum","160","0.0854608181762164","0.0740799326051591","0.0968417037472738"
"Etwas zu gross","1998","3","Laendlicher Raum","121","0.118988434855546","0.100805347398956","0.137171522312137"
"Etwas zu gross","1998","4","Staedtischer Raum","148","0.0999971716868898","0.085794878374593","0.114199464999187"
"Etwas zu gross","1998","4","Laendlicher Raum","92","0.145099664856171","0.11757552749043","0.172623802221912"
"Etwas zu gross","1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1998","2","Staedtischer Raum","13","","",""
"Viel zu gross","1998","2","Laendlicher Raum","23","","",""
"Viel zu gross","1998","3","Staedtischer Raum","13","","",""
"Viel zu gross","1998","3","Laendlicher Raum","3","","",""
"Viel zu gross","1998","4","Staedtischer Raum","18","","",""
"Viel zu gross","1998","4","Laendlicher Raum","7","","",""
"Viel zu gross","1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1999","2","Staedtischer Raum","78","0.0187180917840879","0.0140297069005011","0.0234064766676747"
"Viel zu klein","1999","2","Laendlicher Raum","41","0.0132121111853838","0.00827537189021307","0.0181488504805545"
"Viel zu klein","1999","3","Staedtischer Raum","57","0.0168314464048596","0.0117008927664098","0.0219620000433093"
"Viel zu klein","1999","3","Laendlicher Raum","5","","",""
"Viel zu klein","1999","4","Staedtischer Raum","28","","",""
"Viel zu klein","1999","4","Laendlicher Raum","6","","",""
"Viel zu klein","1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1999","2","Staedtischer Raum","696","0.195282511291487","0.181568990464656","0.208996032118318"
"Etwas zu klein","1999","2","Laendlicher Raum","329","0.173948969121077","0.157559814734267","0.190338123507887"
"Etwas zu klein","1999","3","Staedtischer Raum","422","0.170067174187154","0.155083399205085","0.185050949169223"
"Etwas zu klein","1999","3","Laendlicher Raum","214","0.165034574385079","0.14428939233691","0.185779756433249"
"Etwas zu klein","1999","4","Staedtischer Raum","298","0.16046635563389","0.143225462783904","0.177707248483876"
"Etwas zu klein","1999","4","Laendlicher Raum","65","0.0828126465321075","0.0621589685680635","0.103466324496152"
"Etwas zu klein","1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1999","2","Staedtischer Raum","2280","0.723203520153677","0.707725830943093","0.738681209364261"
"Gerade richtig","1999","2","Laendlicher Raum","1551","0.735745096993825","0.716680949330275","0.754809244657374"
"Gerade richtig","1999","3","Staedtischer Raum","1776","0.726592392348293","0.708816138475773","0.744368646220813"
"Gerade richtig","1999","3","Laendlicher Raum","883","0.70913951003108","0.683758801457813","0.734520218604347"
"Gerade richtig","1999","4","Staedtischer Raum","1232","0.711469679065394","0.690187179507471","0.732752178623317"
"Gerade richtig","1999","4","Laendlicher Raum","517","0.769508126590442","0.737946857763749","0.801069395417134"
"Gerade richtig","1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1999","2","Staedtischer Raum","152","0.0610291021019112","0.0527479620211197","0.0693102421827027"
"Etwas zu gross","1999","2","Laendlicher Raum","127","0.0732686233942804","0.0620024059914848","0.0845348407970761"
"Etwas zu gross","1999","3","Staedtischer Raum","157","0.085319295145369","0.0741776861859941","0.0964609041047438"
"Etwas zu gross","1999","3","Laendlicher Raum","121","0.118611946085912","0.100542562766308","0.136681329405517"
"Etwas zu gross","1999","4","Staedtischer Raum","181","0.114221298851797","0.0992801198331016","0.129162477870491"
"Etwas zu gross","1999","4","Laendlicher Raum","91","0.133764290337189","0.108254424378553","0.159274156295826"
"Etwas zu gross","1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1999","2","Staedtischer Raum","4","","",""
"Viel zu gross","1999","2","Laendlicher Raum","7","","",""
"Viel zu gross","1999","3","Staedtischer Raum","3","","",""
"Viel zu gross","1999","3","Laendlicher Raum","7","","",""
"Viel zu gross","1999","4","Staedtischer Raum","2","","",""
"Viel zu gross","1999","4","Laendlicher Raum","5","","",""
"Viel zu gross","1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2000","2","Staedtischer Raum","123","0.0224688950026398","0.0184534944557847","0.0264842955494949"
"Viel zu klein","2000","2","Laendlicher Raum","39","0.0125273711285432","0.00880522399760994","0.0162495182594765"
"Viel zu klein","2000","3","Staedtischer Raum","80","0.0183513690508555","0.014404777320295","0.0222979607814159"
"Viel zu klein","2000","3","Laendlicher Raum","15","","",""
"Viel zu klein","2000","4","Staedtischer Raum","52","0.014496908074319","0.0104886484123477","0.0185051677362904"
"Viel zu klein","2000","4","Laendlicher Raum","10","","",""
"Viel zu klein","2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2000","2","Staedtischer Raum","1021","0.188700049767293","0.178098985785325","0.199301113749261"
"Etwas zu klein","2000","2","Laendlicher Raum","464","0.137323650870663","0.125805105233145","0.14884219650818"
"Etwas zu klein","2000","3","Staedtischer Raum","737","0.169724989721518","0.158686902709003","0.180763076734032"
"Etwas zu klein","2000","3","Laendlicher Raum","274","0.120327038847479","0.106907785309011","0.133746292385947"
"Etwas zu klein","2000","4","Staedtischer Raum","443","0.138359217215437","0.126780609734158","0.149937824696716"
"Etwas zu klein","2000","4","Laendlicher Raum","144","0.112352959622424","0.095284370352331","0.129421548892516"
"Etwas zu klein","2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2000","2","Staedtischer Raum","3789","0.727025994468879","0.714955964748875","0.739096024188882"
"Gerade richtig","2000","2","Laendlicher Raum","2639","0.752278269318135","0.737831446643846","0.766725091992425"
"Gerade richtig","2000","3","Staedtischer Raum","3309","0.732677673195765","0.719664475444218","0.745690870947313"
"Gerade richtig","2000","3","Laendlicher Raum","1711","0.753351077553846","0.735571377079372","0.77113077802832"
"Gerade richtig","2000","4","Staedtischer Raum","2585","0.738370103837963","0.723631040116062","0.753109167559863"
"Gerade richtig","2000","4","Laendlicher Raum","989","0.738528733471959","0.714777788235964","0.762279678707953"
"Gerade richtig","2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2000","2","Staedtischer Raum","282","0.0578970268960988","0.0515692662653626","0.064224787526835"
"Etwas zu gross","2000","2","Laendlicher Raum","266","0.0882906627432899","0.0787958452618376","0.0977854802247421"
"Etwas zu gross","2000","3","Staedtischer Raum","304","0.0758368495756232","0.0680524629136021","0.0836212362376443"
"Etwas zu gross","2000","3","Laendlicher Raum","247","0.111136008698412","0.0981722429014098","0.124099774495413"
"Etwas zu gross","2000","4","Staedtischer Raum","321","0.1019510205837","0.0918040836604511","0.112097957506949"
"Etwas zu gross","2000","4","Laendlicher Raum","165","0.130544011926187","0.112334953316671","0.148753070535702"
"Etwas zu gross","2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2000","2","Staedtischer Raum","18","","",""
"Viel zu gross","2000","2","Laendlicher Raum","22","","",""
"Viel zu gross","2000","3","Staedtischer Raum","13","","",""
"Viel zu gross","2000","3","Laendlicher Raum","11","","",""
"Viel zu gross","2000","4","Staedtischer Raum","15","","",""
"Viel zu gross","2000","4","Laendlicher Raum","7","","",""
"Viel zu gross","2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2001","2","Staedtischer Raum","171","0.0350104604890753","0.0297280136445305","0.0402929073336202"
"Viel zu klein","2001","2","Laendlicher Raum","38","0.0130557324810267","0.00896643061012721","0.0171450343519261"
"Viel zu klein","2001","3","Staedtischer Raum","76","0.0195871002977682","0.0153831124627421","0.0237910881327942"
