"hlf0071_h","year","hhtyp","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Gerade richtig","1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","52","0.941137176127969","0.881582005012689","1.00069234724325"
"Gerade richtig","1986","Alleinerziehende","Staedtischer Raum","67","0.856386754895029","0.781390311730716","0.931383198059341"
"Gerade richtig","1986","Alleinerziehende","Laendlicher Raum","16","","",""
"Gerade richtig","1986","Paar mit Kind(ern)","Staedtischer Raum","530","0.763860626908188","0.732773557801407","0.794947696014969"
"Gerade richtig","1986","Paar mit Kind(ern)","Laendlicher Raum","140","0.756238001804961","0.694368805262686","0.818107198347236"
"Gerade richtig","1986","Sonstige","Staedtischer Raum","70","0.835384106932214","0.758770515411421","0.911997698453008"
"Gerade richtig","1986","Sonstige","Laendlicher Raum","14","","",""
"Etwas zu gross","1986","1-Pers.- Haushalt","Staedtischer Raum","7","","",""
"Etwas zu gross","1986","1-Pers.- Haushalt","Laendlicher Raum","3","","",""
"Etwas zu gross","1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","30","0.143681824686449","0.103722261344316","0.183641388028582"
"Etwas zu gross","1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2","","",""
"Etwas zu gross","1986","Alleinerziehende","Staedtischer Raum","3","","",""
"Etwas zu gross","1986","Alleinerziehende","Laendlicher Raum","2","","",""
"Etwas zu gross","1986","Paar mit Kind(ern)","Staedtischer Raum","29","","",""
"Etwas zu gross","1986","Paar mit Kind(ern)","Laendlicher Raum","14","","",""
"Etwas zu gross","1986","Sonstige","Staedtischer Raum","3","","",""
"Etwas zu gross","1986","Sonstige","Laendlicher Raum","3","","",""
"Viel zu gross","1986","1-Pers.- Haushalt","Staedtischer Raum","1","","",""
"Viel zu gross","1986","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Viel zu gross","1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2","","",""
"Viel zu gross","1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","",""
"Viel zu gross","1986","Alleinerziehende","Staedtischer Raum","","","",""
"Viel zu gross","1986","Alleinerziehende","Laendlicher Raum","","","",""
"Viel zu gross","1986","Paar mit Kind(ern)","Staedtischer Raum","","","",""
"Viel zu gross","1986","Paar mit Kind(ern)","Laendlicher Raum","","","",""
"Viel zu gross","1986","Sonstige","Staedtischer Raum","","","",""
"Viel zu gross","1986","Sonstige","Laendlicher Raum","","","",""
"Viel zu klein","1987","1-Pers.- Haushalt","Staedtischer Raum","6","","",""
"Viel zu klein","1987","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Viel zu klein","1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4","","",""
"Viel zu klein","1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2","","",""
"Viel zu klein","1987","Alleinerziehende","Staedtischer Raum","9","","",""
"Viel zu klein","1987","Alleinerziehende","Laendlicher Raum","","","",""
"Viel zu klein","1987","Paar mit Kind(ern)","Staedtischer Raum","25","","",""
"Viel zu klein","1987","Paar mit Kind(ern)","Laendlicher Raum","10","","",""
"Viel zu klein","1987","Sonstige","Staedtischer Raum","10","","",""
"Viel zu klein","1987","Sonstige","Laendlicher Raum","","","",""
"Etwas zu klein","1987","1-Pers.- Haushalt","Staedtischer Raum","24","","",""
"Etwas zu klein","1987","1-Pers.- Haushalt","Laendlicher Raum","2","","",""
"Etwas zu klein","1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","24","","",""
"Etwas zu klein","1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","10","","",""
"Etwas zu klein","1987","Alleinerziehende","Staedtischer Raum","4","","",""
"Etwas zu klein","1987","Alleinerziehende","Laendlicher Raum","10","","",""
"Etwas zu klein","1987","Paar mit Kind(ern)","Staedtischer Raum","122","0.135732509105104","0.109462663047113","0.162002355163096"
"Etwas zu klein","1987","Paar mit Kind(ern)","Laendlicher Raum","24","","",""
"Etwas zu klein","1987","Sonstige","Staedtischer Raum","11","","",""
"Etwas zu klein","1987","Sonstige","Laendlicher Raum","5","","",""
"Gerade richtig","1987","1-Pers.- Haushalt","Staedtischer Raum","111","0.721855270246704","0.650854532868016","0.792856007625392"
"Gerade richtig","1987","1-Pers.- Haushalt","Laendlicher Raum","19","","",""
"Gerade richtig","1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","184","0.813012301988021","0.762840560639693","0.863184043336349"
"Gerade richtig","1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","50","0.667823804553765","0.559031783748904","0.776615825358626"
"Gerade richtig","1987","Alleinerziehende","Staedtischer Raum","57","0.841157895158429","0.757306896299105","0.925008894017753"
"Gerade richtig","1987","Alleinerziehende","Laendlicher Raum","16","","",""
"Gerade richtig","1987","Paar mit Kind(ern)","Staedtischer Raum","486","0.783373078809057","0.751777083886181","0.814969073731932"
"Gerade richtig","1987","Paar mit Kind(ern)","Laendlicher Raum","111","0.72998457032628","0.658457841341344","0.801511299311217"
"Gerade richtig","1987","Sonstige","Staedtischer Raum","50","0.722907552391371","0.62093437386494","0.824880730917803"
"Gerade richtig","1987","Sonstige","Laendlicher Raum","5","","",""
"Etwas zu gross","1987","1-Pers.- Haushalt","Staedtischer Raum","11","","",""
"Etwas zu gross","1987","1-Pers.- Haushalt","Laendlicher Raum","1","","",""
"Etwas zu gross","1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","20","","",""
"Etwas zu gross","1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","10","","",""
"Etwas zu gross","1987","Alleinerziehende","Staedtischer Raum","","","",""
"Etwas zu gross","1987","Alleinerziehende","Laendlicher Raum","","","",""
"Etwas zu gross","1987","Paar mit Kind(ern)","Staedtischer Raum","20","","",""
"Etwas zu gross","1987","Paar mit Kind(ern)","Laendlicher Raum","3","","",""
"Etwas zu gross","1987","Sonstige","Staedtischer Raum","","","",""
"Etwas zu gross","1987","Sonstige","Laendlicher Raum","","","",""
"Viel zu gross","1987","1-Pers.- Haushalt","Staedtischer Raum","1","","",""
"Viel zu gross","1987","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Viel zu gross","1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","",""
"Viel zu gross","1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","",""
"Viel zu gross","1987","Alleinerziehende","Staedtischer Raum","3","","",""
"Viel zu gross","1987","Alleinerziehende","Laendlicher Raum","","","",""
"Viel zu gross","1987","Paar mit Kind(ern)","Staedtischer Raum","","","",""
"Viel zu gross","1987","Paar mit Kind(ern)","Laendlicher Raum","","","",""
"Viel zu gross","1987","Sonstige","Staedtischer Raum","3","","",""
"Viel zu gross","1987","Sonstige","Laendlicher Raum","","","",""
"Viel zu klein","1988","1-Pers.- Haushalt","Staedtischer Raum","7","","",""
"Viel zu klein","1988","1-Pers.- Haushalt","Laendlicher Raum","1","","",""
"Viel zu klein","1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","12","","",""
"Viel zu klein","1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","",""
"Viel zu klein","1988","Alleinerziehende","Staedtischer Raum","2","","",""
"Viel zu klein","1988","Alleinerziehende","Laendlicher Raum","","","",""
"Viel zu klein","1988","Paar mit Kind(ern)","Staedtischer Raum","16","","",""
"Viel zu klein","1988","Paar mit Kind(ern)","Laendlicher Raum","","","",""
"Viel zu klein","1988","Sonstige","Staedtischer Raum","12","","",""
"Viel zu klein","1988","Sonstige","Laendlicher Raum","","","",""
"Etwas zu klein","1988","1-Pers.- Haushalt","Staedtischer Raum","26","","",""
"Etwas zu klein","1988","1-Pers.- Haushalt","Laendlicher Raum","2","","",""
"Etwas zu klein","1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","42","0.18405677673827","0.137660132516615","0.230453420959925"
"Etwas zu klein","1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","10","","",""
"Etwas zu klein","1988","Alleinerziehende","Staedtischer Raum","28","","",""
"Etwas zu klein","1988","Alleinerziehende","Laendlicher Raum","","","",""
"Etwas zu klein","1988","Paar mit Kind(ern)","Staedtischer Raum","97","0.166004527201776","0.135852815591532","0.19615623881202"
"Etwas zu klein","1988","Paar mit Kind(ern)","Laendlicher Raum","14","","",""
"Etwas zu klein","1988","Sonstige","Staedtischer Raum","21","","",""
"Etwas zu klein","1988","Sonstige","Laendlicher Raum","","","",""
"Gerade richtig","1988","1-Pers.- Haushalt","Staedtischer Raum","86","0.655686648870605","0.573050259655067","0.738323038086143"
"Gerade richtig","1988","1-Pers.- Haushalt","Laendlicher Raum","18","","",""
"Gerade richtig","1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","200","0.767129252513923","0.716526698805546","0.8177318062223"
"Gerade richtig","1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","42","0.663610353299481","0.546004176168544","0.781216530430418"
"Gerade richtig","1988","Alleinerziehende","Staedtischer Raum","31","0.605562692745785","0.482917163427451","0.728208222064119"
"Gerade richtig","1988","Alleinerziehende","Laendlicher Raum","24","","",""
"Gerade richtig","1988","Paar mit Kind(ern)","Staedtischer Raum","448","0.763085431690515","0.728630402457753","0.797540460923278"
"Gerade richtig","1988","Paar mit Kind(ern)","Laendlicher Raum","102","0.813943586973499","0.746789459502927","0.881097714444071"
"Gerade richtig","1988","Sonstige","Staedtischer Raum","45","0.535952799614913","0.427347771600906","0.64455782762892"
"Gerade richtig","1988","Sonstige","Laendlicher Raum","23","","",""
"Etwas zu gross","1988","1-Pers.- Haushalt","Staedtischer Raum","8","","",""
"Etwas zu gross","1988","1-Pers.- Haushalt","Laendlicher Raum","3","","",""
"Etwas zu gross","1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","14","","",""
"Etwas zu gross","1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","10","","",""
"Etwas zu gross","1988","Alleinerziehende","Staedtischer Raum","","","",""
"Etwas zu gross","1988","Alleinerziehende","Laendlicher Raum","","","",""
"Etwas zu gross","1988","Paar mit Kind(ern)","Staedtischer Raum","24","","",""
"Etwas zu gross","1988","Paar mit Kind(ern)","Laendlicher Raum","10","","",""
"Etwas zu gross","1988","Sonstige","Staedtischer Raum","3","","",""
"Etwas zu gross","1988","Sonstige","Laendlicher Raum","","","",""
"Viel zu gross","1988","1-Pers.- Haushalt","Staedtischer Raum","","","",""
"Viel zu gross","1988","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Viel zu gross","1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","",""
"Viel zu gross","1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","",""
"Viel zu gross","1988","Alleinerziehende","Staedtischer Raum","","","",""
"Viel zu gross","1988","Alleinerziehende","Laendlicher Raum","","","",""
"Viel zu gross","1988","Paar mit Kind(ern)","Staedtischer Raum","","","",""
"Viel zu gross","1988","Paar mit Kind(ern)","Laendlicher Raum","3","","",""
"Viel zu gross","1988","Sonstige","Staedtischer Raum","","","",""
"Viel zu gross","1988","Sonstige","Laendlicher Raum","","","",""
"Viel zu klein","1989","1-Pers.- Haushalt","Staedtischer Raum","5","","",""
"Viel zu klein","1989","1-Pers.- Haushalt","Laendlicher Raum","1","","",""
"Viel zu klein","1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","16","","",""
"Viel zu klein","1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","",""
"Viel zu klein","1989","Alleinerziehende","Staedtischer Raum","6","","",""
"Viel zu klein","1989","Alleinerziehende","Laendlicher Raum","","","",""
"Viel zu klein","1989","Paar mit Kind(ern)","Staedtischer Raum","19","","",""
"Viel zu klein","1989","Paar mit Kind(ern)","Laendlicher Raum","9","","",""
"Viel zu klein","1989","Sonstige","Staedtischer Raum","6","","",""
"Viel zu klein","1989","Sonstige","Laendlicher Raum","","","",""
"Etwas zu klein","1989","1-Pers.- Haushalt","Staedtischer Raum","22","","",""
"Etwas zu klein","1989","1-Pers.- Haushalt","Laendlicher Raum","5","","",""
"Etwas zu klein","1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","32","0.122568912792814","0.0822389419257971","0.162898883659831"
"Etwas zu klein","1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","8","","",""
"Etwas zu klein","1989","Alleinerziehende","Staedtischer Raum","8","","",""
"Etwas zu klein","1989","Alleinerziehende","Laendlicher Raum","2","","",""
"Etwas zu klein","1989","Paar mit Kind(ern)","Staedtischer Raum","109","0.133742913163246","0.105726318222274","0.161759508104217"
"Etwas zu klein","1989","Paar mit Kind(ern)","Laendlicher Raum","20","","",""
"Etwas zu klein","1989","Sonstige","Staedtischer Raum","10","","",""
"Etwas zu klein","1989","Sonstige","Laendlicher Raum","4","","",""
"Gerade richtig","1989","1-Pers.- Haushalt","Staedtischer Raum","81","0.722013332972023","0.641179777934967","0.802846888009078"
"Gerade richtig","1989","1-Pers.- Haushalt","Laendlicher Raum","17","","",""
"Gerade richtig","1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","186","0.733964793090494","0.67962244448841","0.788307141692578"
"Gerade richtig","1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","52","0.822951437933943","0.730862083304663","0.915040792563223"
"Gerade richtig","1989","Alleinerziehende","Staedtischer Raum","30","0.623549497062067","0.491864643028517","0.755234351095617"
"Gerade richtig","1989","Alleinerziehende","Laendlicher Raum","10","","",""
"Gerade richtig","1989","Paar mit Kind(ern)","Staedtischer Raum","421","0.798167761283348","0.765130889228449","0.831204633338248"
"Gerade richtig","1989","Paar mit Kind(ern)","Laendlicher Raum","105","0.74319315441456","0.67328036824435","0.813105940584771"
"Gerade richtig","1989","Sonstige","Staedtischer Raum","47","0.766705609136739","0.66543646059967","0.867974757673808"
"Gerade richtig","1989","Sonstige","Laendlicher Raum","5","","",""
"Etwas zu gross","1989","1-Pers.- Haushalt","Staedtischer Raum","10","","",""
"Etwas zu gross","1989","1-Pers.- Haushalt","Laendlicher Raum","2","","",""
"Etwas zu gross","1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","16","","",""
"Etwas zu gross","1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","6","","",""
"Etwas zu gross","1989","Alleinerziehende","Staedtischer Raum","5","","",""
"Etwas zu gross","1989","Alleinerziehende","Laendlicher Raum","","","",""
"Etwas zu gross","1989","Paar mit Kind(ern)","Staedtischer Raum","18","","",""
"Etwas zu gross","1989","Paar mit Kind(ern)","Laendlicher Raum","16","","",""
"Etwas zu gross","1989","Sonstige","Staedtischer Raum","4","","",""
"Etwas zu gross","1989","Sonstige","Laendlicher Raum","","","",""
"Viel zu gross","1989","1-Pers.- Haushalt","Staedtischer Raum","","","",""
"Viel zu gross","1989","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Viel zu gross","1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4","","",""
"Viel zu gross","1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","",""
"Viel zu gross","1989","Alleinerziehende","Staedtischer Raum","3","","",""
"Viel zu gross","1989","Alleinerziehende","Laendlicher Raum","","","",""
"Viel zu gross","1989","Paar mit Kind(ern)","Staedtischer Raum","","","",""
"Viel zu gross","1989","Paar mit Kind(ern)","Laendlicher Raum","","","",""
"Viel zu gross","1989","Sonstige","Staedtischer Raum","","","",""
"Viel zu gross","1989","Sonstige","Laendlicher Raum","","","",""
"Viel zu klein","1990","1-Pers.- Haushalt","Staedtischer Raum","9","","",""
"Viel zu klein","1990","1-Pers.- Haushalt","Laendlicher Raum","5","","",""
"Viel zu klein","1990","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","16","","",""
"Viel zu klein","1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","24","","",""
"Viel zu klein","1990","Alleinerziehende","Staedtischer Raum","9","","",""
"Viel zu klein","1990","Alleinerziehende","Laendlicher Raum","14","","",""
"Viel zu klein","1990","Paar mit Kind(ern)","Staedtischer Raum","165","0.0933119755483032","0.0797956778420362","0.10682827325457"
"Viel zu klein","1990","Paar mit Kind(ern)","Laendlicher Raum","298","0.100188472215198","0.0891844938499164","0.11119245058048"
"Viel zu klein","1990","Sonstige","Staedtischer Raum","29","","",""
"Viel zu klein","1990","Sonstige","Laendlicher Raum","23","","",""
"Etwas zu klein","1990","1-Pers.- Haushalt","Staedtischer Raum","41","0.20353561402369","0.151726342606614","0.255344885440767"
"Etwas zu klein","1990","1-Pers.- Haushalt","Laendlicher Raum","29","","",""
"Etwas zu klein","1990","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","84","0.167438623506116","0.135830286399793","0.199046960612438"
"Etwas zu klein","1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","100","0.142411945195976","0.116448875328579","0.168375015063373"
"Etwas zu klein","1990","Alleinerziehende","Staedtischer Raum","42","0.243011559346877","0.179646499831673","0.306376618862081"
"Etwas zu klein","1990","Alleinerziehende","Laendlicher Raum","38","0.186750931779832","0.126176031937252","0.247325831622413"
"Etwas zu klein","1990","Paar mit Kind(ern)","Staedtischer Raum","489","0.234471087246651","0.214783814203346","0.254158360289957"
"Etwas zu klein","1990","Paar mit Kind(ern)","Laendlicher Raum","873","0.295838966479436","0.279111554353512","0.312566378605361"
"Etwas zu klein","1990","Sonstige","Staedtischer Raum","24","","",""
"Etwas zu klein","1990","Sonstige","Laendlicher Raum","47","0.151288433581763","0.110740344939369","0.191836522224158"
"Gerade richtig","1990","1-Pers.- Haushalt","Staedtischer Raum","161","0.678265392759416","0.618154549993416","0.738376235525417"
"Gerade richtig","1990","1-Pers.- Haushalt","Laendlicher Raum","156","0.736371106683326","0.67663735104171","0.796104862324942"
"Gerade richtig","1990","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","402","0.745968970430916","0.709116257705041","0.782821683156791"
"Gerade richtig","1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","536","0.773150253077855","0.742037060868325","0.804263445287385"
"Gerade richtig","1990","Alleinerziehende","Staedtischer Raum","115","0.658403063802217","0.588339106675159","0.728467020929276"
"Gerade richtig","1990","Alleinerziehende","Laendlicher Raum","95","0.635386556153375","0.560572211075621","0.710200901231128"
"Gerade richtig","1990","Paar mit Kind(ern)","Staedtischer Raum","1068","0.634726343995389","0.612351369206386","0.657101318784391"
"Gerade richtig","1990","Paar mit Kind(ern)","Laendlicher Raum","1626","0.57527126306227","0.557155474737497","0.593387051387044"
"Gerade richtig","1990","Sonstige","Staedtischer Raum","123","0.662465170909776","0.594508445995998","0.730421895823555"
"Gerade richtig","1990","Sonstige","Laendlicher Raum","212","0.69599790568854","0.643946828952201","0.74804898242488"
"Etwas zu gross","1990","1-Pers.- Haushalt","Staedtischer Raum","17","","",""
"Etwas zu gross","1990","1-Pers.- Haushalt","Laendlicher Raum","15","","",""
"Etwas zu gross","1990","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","32","0.0537931688045035","0.0346936555379713","0.0728926820710356"
"Etwas zu gross","1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","24","","",""
"Etwas zu gross","1990","Alleinerziehende","Staedtischer Raum","10","","",""
"Etwas zu gross","1990","Alleinerziehende","Laendlicher Raum","12","","",""
"Etwas zu gross","1990","Paar mit Kind(ern)","Staedtischer Raum","50","0.0348727437765614","0.0263477225939496","0.0433977649591733"
"Etwas zu gross","1990","Paar mit Kind(ern)","Laendlicher Raum","57","0.0269497874551481","0.0210149289047303","0.0328846460055659"
"Etwas zu gross","1990","Sonstige","Staedtischer Raum","10","","",""
"Etwas zu gross","1990","Sonstige","Laendlicher Raum","13","","",""
"Viel zu gross","1990","1-Pers.- Haushalt","Staedtischer Raum","4","","",""
"Viel zu gross","1990","1-Pers.- Haushalt","Laendlicher Raum","4","","",""
"Viel zu gross","1990","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2","","",""
"Viel zu gross","1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","12","","",""
"Viel zu gross","1990","Alleinerziehende","Staedtischer Raum","","","",""
"Viel zu gross","1990","Alleinerziehende","Laendlicher Raum","","","",""
