year,pgisced97,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1998,Second Stage of Tertiary Education,At least once per month,0.3768204713991005,700,13439,0.3765031779006368,0.37713776489756423
1998,Second Stage of Tertiary Education,Seldom,0.5302337497271168,1087,13439,0.5299069648654361,0.5305605345887975
1998,Second Stage of Tertiary Education,Never,0.03365807217217661,60,13439,0.0335399864554093,0.03377615788894392
2003,Pre-primary Level,At least once per month,0.2073104997832337,142,21723,0.20661709140863033,0.2080039081578371
2003,Pre-primary Level,Seldom,0.6697676284410613,377,21723,0.6689631789548034,0.6705720779273192
2003,Pre-primary Level,Never,0.12292187177570499,64,21723,0.12236022844869017,0.1234835151027198
2003,Primary Level,Seldom,0.5376392400910741,128,21723,0.5365421912477324,0.5387362889344158
2003,Primary Level,Never,0.462360759908926,106,21723,0.4612637110655843,0.4634578087522677
2003,Lower Secondary Level,At least once per week,0.03316624039284429,90,21723,0.033052386880319334,0.03328009390536925
2003,Lower Secondary Level,At least once per month,0.1636290603120219,450,21723,0.16339385230950193,0.16386426831454187
2003,Lower Secondary Level,Seldom,0.5502622802946269,1537,21723,0.5499459892199533,0.5505785713693004
2003,Lower Secondary Level,Never,0.2529424190005069,640,21723,0.25266603666608356,0.25321880133493024
2003,Upper Secondary Level,At least once per week,0.042164116470822924,484,21723,0.04209813881595158,0.04223009412569427
2003,Upper Secondary Level,At least once per month,0.22705401351414478,2560,21723,0.2269164766918879,0.22719155033640168
2003,Upper Secondary Level,Seldom,0.5894493629326186,6620,21723,0.5892878577595003,0.5896108681057369
2003,Upper Secondary Level,Never,0.14133250708241354,1380,21723,0.14121813675522998,0.1414468774095971
2003,Post-secondary Non-tertiary Level,At least once per week,0.05805938456297669,63,21723,0.057819380828415,0.05829938829753838
2003,Post-secondary Non-tertiary Level,At least once per month,0.28033392577897054,329,21723,0.27987295502966586,0.2807948965282752
2003,Post-secondary Non-tertiary Level,Seldom,0.5726519983956045,664,21723,0.5721442994600906,0.5731596973311185
2003,Post-secondary Non-tertiary Level,Never,0.0889546912624483,93,21723,0.08866252878387552,0.08924685374102108
2003,First Stage of Tertiary Education,At least once per week,0.04956487306511475,80,21723,0.0493772599316216,0.0497524861986079
2003,First Stage of Tertiary Education,At least once per month,0.26684942474260426,451,21723,0.2664670891550734,0.2672317603301351
2003,First Stage of Tertiary Education,Seldom,0.6017251212955944,1026,21723,0.6013019604005823,0.6021482821906066
2003,First Stage of Tertiary Education,Never,0.08186058089668653,120,21723,0.08162360360798192,0.08209755818539115
2003,Second Stage of Tertiary Education,At least once per week,0.06795677882465816,313,21723,0.06780537743735177,0.06810818021196455
2003,Second Stage of Tertiary Education,At least once per month,0.356327661024307,1627,21723,0.35603955480874494,0.3566157672398691
2003,Second Stage of Tertiary Education,Seldom,0.5277929704113565,2219,21723,0.5274926440454761,0.5280932967772369
2003,Second Stage of Tertiary Education,Never,0.047922589739678285,160,21723,0.047794090160264396,0.048051089319092175
2008,Pre-primary Level,At least once per month,0.27190839141699974,77,18851,0.27102974507257566,0.2727870377614238
2008,Pre-primary Level,Seldom,0.6080039484827033,231,18851,0.6070398889920233,0.6089680079733834
2008,Pre-primary Level,Never,0.12008766010029684,39,18851,0.11944574338632655,0.12072957681426713
2008,Primary Level,Seldom,0.47568630243657,77,18851,0.4746035456413249,0.4767690592318151
2008,Primary Level,Never,0.5243136975634299,95,18851,0.5232309407681848,0.5253964543586751
2008,Lower Secondary Level,At least once per week,0.020247665443977096,34,18851,0.020152628109472662,0.02034270277848153
2008,Lower Secondary Level,At least once per month,0.10500059894955864,231,18851,0.10479374878242846,0.10520744911668882
2008,Lower Secondary Level,Seldom,0.5367494745231398,1107,18851,0.5364130075898121,0.5370859414564675
2008,Lower Secondary Level,Never,0.33800226108332454,631,18851,0.3376830803476455,0.3383214418190036
2008,Upper Secondary Level,At least once per week,0.024033253574072558,227,18851,0.023982793028970415,0.0240837141191747
2008,Upper Secondary Level,At least once per month,0.1833162790100612,1864,18851,0.18318879503133537,0.18344376298878703
2008,Upper Secondary Level,Seldom,0.6087164338517037,5953,18851,0.6085556355489127,0.6088772321544947
2008,Upper Secondary Level,Never,0.18393403356416255,1628,18851,0.18380638326892143,0.18406168385940366
2008,Post-secondary Non-tertiary Level,At least once per month,0.2386776588258265,238,18851,0.2382592535773213,0.2390960640743317
2008,Post-secondary Non-tertiary Level,Seldom,0.6527382509780418,719,18851,0.6522709411038078,0.6532055608522759
2008,Post-secondary Non-tertiary Level,Never,0.10858409019613162,108,18851,0.10827871747375814,0.1088894629185051
2008,First Stage of Tertiary Education,At least once per week,0.0285649620653454,45,18851,0.02841689261565634,0.028713031515034456
2008,First Stage of Tertiary Education,At least once per month,0.21585524350637794,308,18851,0.21548954669175546,0.21622094032100042
2008,First Stage of Tertiary Education,Seldom,0.6324850660709548,913,18851,0.6320565132204862,0.6329136189214234
2008,First Stage of Tertiary Education,Never,0.12309472835732198,146,18851,0.12280269139510057,0.12338676531954339
2008,Second Stage of Tertiary Education,At least once per week,0.05141834643798251,205,18851,0.05129379799359866,0.05154289488236636
2008,Second Stage of Tertiary Education,At least once per month,0.308743749219167,1397,18851,0.3084832175531006,0.30900428088523335
2008,Second Stage of Tertiary Education,Seldom,0.573003426080827,2363,18851,0.5727244720131074,0.5732823801485466
2008,Second Stage of Tertiary Education,Never,0.0668344782620235,215,18851,0.06669363972104467,0.06697531680300234
2013,Pre-primary Level,At least once per month,0.3076009173494825,139,24888,0.3064403225242542,0.3087615121747109
2013,Pre-primary Level,Seldom,0.6923990826505174,262,24888,0.6912384878252891,0.6935596774757458
2013,Primary Level,At least once per month,0.13490170987261693,39,24888,0.1341074969661713,0.13569592277906256
2013,Primary Level,Seldom,0.39297241431474245,126,24888,0.39183693106344125,0.39410789756604364
2013,Primary Level,Never,0.4721258758126405,145,24888,0.4709652570823547,0.47328649454292626
2013,Lower Secondary Level,At least once per week,0.028881762678049577,95,24888,0.028753042895784637,0.029010482460314516
2013,Lower Secondary Level,At least once per month,0.1429317919602918,406,24888,0.14266278129035886,0.14320080263022472
2013,Lower Secondary Level,Seldom,0.5148465322889403,1350,24888,0.5144624043820581,0.5152306601958224
2013,Lower Secondary Level,Never,0.3133399130727183,727,24888,0.312983399428697,0.3136964267167396
2013,Upper Secondary Level,At least once per week,0.029458685149017873,435,24888,0.029399408991909355,0.02951796130612639
2013,Upper Secondary Level,At least once per month,0.2322588807951516,2989,24888,0.2321108473275065,0.23240691426279672
2013,Upper Secondary Level,Seldom,0.5849723872238596,7163,24888,0.584799655333226,0.5851451191144932
2013,Upper Secondary Level,Never,0.15331004683197086,1765,24888,0.15318374377600036,0.15343634988794136
2013,Post-secondary Non-tertiary Level,At least once per week,0.04388027801954886,78,24888,0.04367504330900521,0.04408551273009251
2013,Post-secondary Non-tertiary Level,At least once per month,0.29011969744574184,560,24888,0.2896649804777219,0.2905744144137618
2013,Post-secondary Non-tertiary Level,Seldom,0.574111971447996,986,24888,0.5736165144038571,0.5746074284921349
2013,Post-secondary Non-tertiary Level,Never,0.09188805308671341,137,24888,0.09159861264708419,0.09217749352634264
2013,First Stage of Tertiary Education,At least once per week,0.04319281133210134,82,24888,0.04299832641109711,0.04338729625310556
2013,First Stage of Tertiary Education,At least once per month,0.2836335891995071,506,24888,0.2832023537829944,0.2840648246160198
2013,First Stage of Tertiary Education,Seldom,0.5833149052798448,958,24888,0.5828432512997406,0.5837865592599489
2013,First Stage of Tertiary Education,Never,0.08985869418854672,128,24888,0.08958510278469255,0.0901322855924009
2013,Second Stage of Tertiary Education,At least once per week,0.06190116414990922,404,24888,0.061767166447314975,0.06203516185250346
2013,Second Stage of Tertiary Education,At least once per month,0.4086961979995791,2388,24888,0.4084228415783442,0.40896955442081406
2013,Second Stage of Tertiary Education,Seldom,0.48351461829156667,2760,24888,0.48323673817846813,0.4837924984046652
2013,Second Stage of Tertiary Education,Never,0.045888019558945,260,24888,0.04577166779346375,0.046004371324426245
2017,Primary Level,At least once per week,0.07204502551631178,103,3614,0.07071095208474425,0.07337909894787932
2017,Primary Level,At least once per month,0.1308422749394636,200,3614,0.12910232151218856,0.13258222836673864
2017,Primary Level,Seldom,0.3110306153470136,475,3614,0.30864216721224935,0.31341906348177784
2017,Primary Level,Never,0.48608208419721105,627,3614,0.4835032942446508,0.4886608741497713
2017,Lower Secondary Level,At least once per week,0.07870083963607805,66,3614,0.07697315757918083,0.08042852169297526
2017,Lower Secondary Level,At least once per month,0.18919003778592747,141,3614,0.18667709574338212,0.1917029798284728
2017,Lower Secondary Level,Seldom,0.34732341018290075,293,3614,0.3442685604775071,0.3503782598882944
2017,Lower Secondary Level,Never,0.38478571239509374,292,3614,0.3816639742036594,0.3879074505865281
