year,regtyp,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,West,At least once per week,0.03670,632,14211,0.03361,0.03980
2013,Urban regions,West,At least once per month,0.27303,4155,14211,0.26571,0.28036
2013,Urban regions,West,Seldom,0.54805,7661,14211,0.53986,0.55623
2013,Urban regions,West,Never,0.14064,1763,14211,0.13493,0.14636
2013,Urban regions,East,At least once per week,0.03609,111,1947,0.02781,0.04438
2013,Urban regions,East,At least once per month,0.26316,540,1947,0.24359,0.28272
2013,Urban regions,East,Seldom,0.56600,1048,1947,0.54398,0.58802
2013,Urban regions,East,Never,0.13370,248,1947,0.11858,0.14882
2013,Rural regions,West,At least once per week,0.04484,266,5503,0.03937,0.05031
2013,Rural regions,West,At least once per month,0.26146,1519,5503,0.24985,0.27307
2013,Rural regions,West,Seldom,0.55115,3059,5503,0.53800,0.56429
2013,Rural regions,West,Never,0.14098,659,5503,0.13179,0.15018
2013,Rural regions,East,At least once per week,0.03371,138,3741,0.02792,0.03949
2013,Rural regions,East,At least once per month,0.23432,917,3741,0.22075,0.24790
2013,Rural regions,East,Seldom,0.56299,2078,3741,0.54710,0.57889
2013,Rural regions,East,Never,0.16768,608,3741,0.15571,0.17966
2019,No answer / don't know,Does not apply,At least once per month,0.41940,34,34,0.25104,0.58777
2019,No answer / don't know,West,At least once per week,0.09124,35,404,0.06312,0.11935
2019,No answer / don't know,West,At least once per month,0.42869,188,404,0.38037,0.47701
2019,No answer / don't know,West,Seldom,0.40851,149,404,0.36051,0.45650
2019,No answer / don't know,West,Never,0.07157,32,404,0.04640,0.09673
2019,No answer / don't know,East,Seldom,0.58688,40,40,0.43234,0.74142
2019,Urban regions,West,Daily,0.00163,94,16519,0.00102,0.00225
2019,Urban regions,West,At least once per week,0.04570,1081,16519,0.04251,0.04888
2019,Urban regions,West,At least once per month,0.32763,5738,16519,0.32047,0.33479
2019,Urban regions,West,Seldom,0.50937,7900,16519,0.50175,0.51699
2019,Urban regions,West,Never,0.11567,1706,16519,0.11079,0.12055
2019,Urban regions,East,At least once per week,0.05542,147,2109,0.04565,0.06518
2019,Urban regions,East,At least once per month,0.32437,745,2109,0.30439,0.34435
2019,Urban regions,East,Seldom,0.51820,1029,2109,0.49687,0.53953
2019,Urban regions,East,Never,0.10079,188,2109,0.08794,0.11364
2019,Rural regions,West,Daily,0.00180,32,5820,0.00071,0.00289
2019,Rural regions,West,At least once per week,0.05165,373,5820,0.04596,0.05734
2019,Rural regions,West,At least once per month,0.30029,1964,5820,0.28851,0.31207
2019,Rural regions,West,Seldom,0.52801,2843,5820,0.51519,0.54084
2019,Rural regions,West,Never,0.11825,608,5820,0.10995,0.12654
2019,Rural regions,East,At least once per week,0.04321,195,3767,0.03671,0.04970
2019,Rural regions,East,At least once per month,0.27762,1186,3767,0.26332,0.29193
2019,Rural regions,East,Seldom,0.53238,1914,3767,0.51645,0.54832
2019,Rural regions,East,Never,0.14483,472,3767,0.13359,0.15607
