year,bula_h,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Hesse,West,At least once per week,0.04462,74,1491,0.03414,0.05510
2003,Hesse,West,At least once per month,0.25019,390,1491,0.22820,0.27218
2003,Hesse,West,Seldom,0.55806,844,1491,0.53285,0.58328
2003,Hesse,West,Never,0.14569,183,1491,0.12778,0.16361
2003,"Rhineland-Palatinate, Saarland",West,At least once per week,0.05235,73,1339,0.04041,0.06428
2003,"Rhineland-Palatinate, Saarland",West,At least once per month,0.20348,292,1339,0.18191,0.22505
2003,"Rhineland-Palatinate, Saarland",West,Seldom,0.54571,743,1339,0.51903,0.57239
2003,"Rhineland-Palatinate, Saarland",West,Never,0.19710,231,1339,0.17578,0.21841
2003,Baden-Wuerttemberg,West,At least once per week,0.03534,108,2670,0.02834,0.04235
2003,Baden-Wuerttemberg,West,At least once per month,0.25919,751,2670,0.24257,0.27582
2003,Baden-Wuerttemberg,West,Seldom,0.56624,1456,2670,0.54743,0.58504
2003,Baden-Wuerttemberg,West,Never,0.13889,355,2670,0.12577,0.15201
2003,Bavaria,West,At least once per week,0.05743,199,3098,0.04923,0.06562
2003,Bavaria,West,At least once per month,0.27857,922,3098,0.26278,0.29436
2003,Bavaria,West,Seldom,0.53862,1673,3098,0.52106,0.55618
2003,Bavaria,West,Never,0.12462,304,3098,0.11298,0.13625
2003,Berlin,West,At least once per month,0.25891,129,424,0.21716,0.30065
2003,Berlin,West,Seldom,0.59049,258,424,0.54363,0.63735
2003,Berlin,West,Never,0.09609,37,424,0.06801,0.12418
2003,Berlin,East,At least once per month,0.22788,80,353,0.18406,0.27170
2003,Berlin,East,Seldom,0.60857,242,353,0.55759,0.65956
2003,Berlin,East,Never,0.11046,31,353,0.07772,0.14321
2003,Brandenburg,East,At least once per month,0.22303,218,919,0.19610,0.24995
2003,Brandenburg,East,Seldom,0.60107,573,919,0.56940,0.63275
2003,Brandenburg,East,Never,0.15209,128,919,0.12886,0.17532
2003,Mecklenburg-Western Pomerania,East,At least once per week,0.06952,40,524,0.04772,0.09132
2003,Mecklenburg-Western Pomerania,East,At least once per month,0.24270,134,524,0.20596,0.27944
2003,Mecklenburg-Western Pomerania,East,Seldom,0.55996,297,524,0.51741,0.60250
2003,Mecklenburg-Western Pomerania,East,Never,0.12782,53,524,0.09921,0.15644
2003,Saxony,East,At least once per week,0.05498,86,1607,0.04383,0.06613
2003,Saxony,East,At least once per month,0.24611,415,1607,0.22504,0.26718
2003,Saxony,East,Seldom,0.57105,930,1607,0.54684,0.59526
2003,Saxony,East,Never,0.12786,176,1607,0.11153,0.14419
2003,Saxony-Anhalt,East,At least once per week,0.04904,51,932,0.03517,0.06291
2003,Saxony-Anhalt,East,At least once per month,0.20924,210,932,0.18311,0.23537
2003,Saxony-Anhalt,East,Seldom,0.57257,537,932,0.54079,0.60435
2003,Saxony-Anhalt,East,Never,0.16915,134,932,0.14507,0.19323
2003,Thuringa,East,At least once per week,0.04021,43,951,0.02772,0.05271
2003,Thuringa,East,At least once per month,0.21302,210,951,0.18699,0.23906
2003,Thuringa,East,Seldom,0.64787,617,951,0.61749,0.67824
2003,Thuringa,East,Never,0.09613,81,951,0.07739,0.11487
2008,Schleswig-Holstein,West,At least once per month,0.24431,140,526,0.20756,0.28107
2008,Schleswig-Holstein,West,Seldom,0.54798,294,526,0.50540,0.59055
2008,Schleswig-Holstein,West,Never,0.16249,92,526,0.13093,0.19404
2008,Hamburg,West,At least once per month,0.37167,102,241,0.31053,0.43281
2008,Hamburg,West,Seldom,0.48354,139,241,0.42031,0.54676
2008,Lower Saxony,West,At least once per week,0.02424,52,1734,0.01700,0.03148
2008,Lower Saxony,West,At least once per month,0.19084,374,1734,0.17234,0.20934
2008,Lower Saxony,West,Seldom,0.59305,1055,1734,0.56992,0.61618
2008,Lower Saxony,West,Never,0.19075,253,1734,0.17226,0.20925
2008,Bremen,West,At least once per month,0.25517,36,113,0.17443,0.33591
2008,Bremen,West,Seldom,0.56150,77,113,0.46961,0.65340
2008,North Rhine-Westphalia,West,At least once per week,0.02576,102,3908,0.02079,0.03073
