,Unnamed: 0,year,pgisced97,quintil_oecd,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
91,91,1995,Upper Secondary Level,2nd Quintile,Seldom,0.5501,846,12101,0.52622,0.57397
92,92,1995,Upper Secondary Level,2nd Quintile,Never,0.16863,210,12101,0.15448,0.19115
93,93,1995,Upper Secondary Level,3rd Quintile,At least once per week,0.0636,93,12101,0.05579,0.07276
94,94,1995,Upper Secondary Level,3rd Quintile,At least once per month,0.25741,371,12101,0.23848,0.27829
95,95,1995,Upper Secondary Level,3rd Quintile,Seldom,0.57673,817,12101,0.54545,0.60774
96,96,1995,Upper Secondary Level,3rd Quintile,Never,0.10225,147,12101,0.089,0.11662
97,97,1995,Upper Secondary Level,4th Quintile,At least once per week,0.06316,72,12101,0.05311,0.0721
98,98,1995,Upper Secondary Level,4th Quintile,At least once per month,0.29375,433,12101,0.27533,0.3137
99,99,1995,Upper Secondary Level,4th Quintile,Seldom,0.58366,830,12101,0.555,0.60955
100,100,1995,Upper Secondary Level,4th Quintile,Never,0.05943,83,12101,0.05009,0.07026
101,101,1995,Upper Secondary Level,5th Quintile,At least once per week,0.06021,65,12101,0.05049,0.07005
102,102,1995,Upper Secondary Level,5th Quintile,At least once per month,0.36554,419,12101,0.34168,0.38741
103,103,1995,Upper Secondary Level,5th Quintile,Seldom,0.52191,635,12101,0.49451,0.54884
104,104,1995,Upper Secondary Level,5th Quintile,Never,0.05234,49,12101,0.0425,0.06279
105,105,1995,Post-secondary Non-tertiary Level,1st Quintile,Seldom,1.0,43,12101,0.77872,1.23324
106,106,1995,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,1.0,53,12101,0.8208,1.2245
107,107,1995,Post-secondary Non-tertiary Level,3rd Quintile,At least once per month,0.44371,37,12101,0.32969,0.57024
108,108,1995,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.55629,45,12101,0.42526,0.71127
109,109,1995,Post-secondary Non-tertiary Level,4th Quintile,At least once per month,0.43166,41,12101,0.34833,0.52365
110,110,1995,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.56834,57,12101,0.46902,0.67299
111,111,1995,Post-secondary Non-tertiary Level,5th Quintile,Seldom,1.0,45,12101,0.80836,1.20197
112,112,1995,First Stage of Tertiary Education,1st Quintile,Seldom,1.0,34,12101,0.69039,1.35264
113,113,1995,First Stage of Tertiary Education,2nd Quintile,At least once per month,0.43999,44,12101,0.33414,0.52949
114,114,1995,First Stage of Tertiary Education,2nd Quintile,Seldom,0.56001,65,12101,0.45942,0.66053
115,115,1995,First Stage of Tertiary Education,3rd Quintile,At least once per month,0.37514,50,12101,0.29947,0.45664
116,116,1995,First Stage of Tertiary Education,3rd Quintile,Seldom,0.62486,99,12101,0.55076,0.71108
117,117,1995,First Stage of Tertiary Education,4th Quintile,At least once per month,0.37834,60,12101,0.31469,0.4404
118,118,1995,First Stage of Tertiary Education,4th Quintile,Seldom,0.62166,99,12101,0.54478,0.7051
119,119,1995,First Stage of Tertiary Education,5th Quintile,At least once per month,0.40504,67,12101,0.34342,0.48702
120,120,1995,First Stage of Tertiary Education,5th Quintile,Seldom,0.59496,116,12101,0.53176,0.65588
121,121,1995,Second Stage of Tertiary Education,1st Quintile,At least once per month,0.39342,45,12101,0.32936,0.47619
122,122,1995,Second Stage of Tertiary Education,1st Quintile,Seldom,0.60658,73,12101,0.51612,0.69158
123,123,1995,Second Stage of Tertiary Education,2nd Quintile,At least once per month,0.47817,104,12101,0.40199,0.55278
124,124,1995,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.52183,126,12101,0.45582,0.59357
125,125,1995,Second Stage of Tertiary Education,3rd Quintile,At least once per month,0.38212,101,12101,0.31624,0.4384
126,126,1995,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.61788,174,12101,0.5608,0.67971
127,127,1995,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.45347,149,12101,0.39666,0.52073
128,128,1995,Second Stage of Tertiary Education,4th Quintile,Seldom,0.54653,197,12101,0.49433,0.60546
129,129,1995,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.0957,49,12101,0.07984,0.11587
130,130,1995,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.48444,299,12101,0.44708,0.51756
131,131,1995,Second Stage of Tertiary Education,5th Quintile,Seldom,0.41986,282,12101,0.38106,0.45711
132,132,1998,Pre-primary Level,1st Quintile,Seldom,1.0,49,11252,0.79695,1.2494
133,133,1998,Pre-primary Level,2nd Quintile,Seldom,1.0,49,11252,0.84661,1.16213
134,134,1998,Pre-primary Level,3rd Quintile,Seldom,1.0,48,11252,0.84614,1.19871
135,135,1998,Primary Level,1st Quintile,Seldom,0.5693,97,11252,0.50123,0.64692
136,136,1998,Primary Level,1st Quintile,Never,0.4307,66,11252,0.34515,0.5367
137,137,1998,Primary Level,2nd Quintile,Seldom,0.63476,54,11252,0.49401,0.78706
138,138,1998,Primary Level,2nd Quintile,Never,0.36524,36,11252,0.26385,0.47441
139,139,1998,Primary Level,3rd Quintile,Seldom,1.0,45,11252,0.79645,1.3159
140,140,1998,Lower Secondary Level,1st Quintile,At least once per month,0.12809,80,11252,0.10732,0.15055
141,141,1998,Lower Secondary Level,1st Quintile,Seldom,0.56801,382,11252,0.5264,0.61502
142,142,1998,Lower Secondary Level,1st Quintile,Never,0.30391,167,11252,0.2711,0.33782
143,143,1998,Lower Secondary Level,2nd Quintile,At least once per month,0.16483,90,11252,0.14283,0.18334
144,144,1998,Lower Secondary Level,2nd Quintile,Seldom,0.61518,357,11252,0.56523,0.65858
145,145,1998,Lower Secondary Level,2nd Quintile,Never,0.21998,99,11252,0.18675,0.25238
146,146,1998,Lower Secondary Level,3rd Quintile,At least once per month,0.25729,103,11252,0.21617,0.30147
147,147,1998,Lower Secondary Level,3rd Quintile,Seldom,0.6064,255,11252,0.55538,0.66464
148,148,1998,Lower Secondary Level,3rd Quintile,Never,0.13632,56,11252,0.11026,0.1694
149,149,1998,Lower Secondary Level,4th Quintile,At least once per month,0.26031,85,11252,0.2247,0.30129
150,150,1998,Lower Secondary Level,4th Quintile,Seldom,0.58308,199,11252,0.52067,0.65286
151,151,1998,Lower Secondary Level,4th Quintile,Never,0.15661,52,11252,0.1254,0.18702
152,152,1998,Lower Secondary Level,5th Quintile,At least once per month,0.36142,53,11252,0.3031,0.43043
153,153,1998,Lower Secondary Level,5th Quintile,Seldom,0.63858,108,11252,0.56264,0.71529
154,154,1998,Upper Secondary Level,1st Quintile,At least once per week,0.03775,46,11252,0.03008,0.04477
155,155,1998,Upper Secondary Level,1st Quintile,At least once per month,0.16668,188,11252,0.15002,0.18845
156,156,1998,Upper Secondary Level,1st Quintile,Seldom,0.5906,636,11252,0.55639,0.62346
157,157,1998,Upper Secondary Level,1st Quintile,Never,0.20498,210,11252,0.18626,0.22429
158,158,1998,Upper Secondary Level,2nd Quintile,At least once per week,0.03968,49,11252,0.03065,0.04912
159,159,1998,Upper Secondary Level,2nd Quintile,At least once per month,0.19756,268,11252,0.18238,0.2175
160,160,1998,Upper Secondary Level,2nd Quintile,Seldom,0.63451,865,11252,0.60779,0.66298
161,161,1998,Upper Secondary Level,2nd Quintile,Never,0.12824,157,11252,0.11419,0.14479
162,162,1998,Upper Secondary Level,3rd Quintile,At least once per week,0.03904,49,11252,0.03171,0.04783
163,163,1998,Upper Secondary Level,3rd Quintile,At least once per month,0.24325,341,11252,0.22351,0.26345
164,164,1998,Upper Secondary Level,3rd Quintile,Seldom,0.64494,877,11252,0.61145,0.68077
165,165,1998,Upper Secondary Level,3rd Quintile,Never,0.07276,91,11252,0.06314,0.08391
166,166,1998,Upper Secondary Level,4th Quintile,At least once per week,0.0486,68,11252,0.04142,0.05645
167,167,1998,Upper Secondary Level,4th Quintile,At least once per month,0.26964,351,11252,0.24908,0.2912
168,168,1998,Upper Secondary Level,4th Quintile,Seldom,0.61327,861,11252,0.58502,0.64328
169,169,1998,Upper Secondary Level,4th Quintile,Never,0.06849,85,11252,0.0593,0.07984
170,170,1998,Upper Secondary Level,5th Quintile,At least once per week,0.06668,71,11252,0.05554,0.07649
171,171,1998,Upper Secondary Level,5th Quintile,At least once per month,0.28609,276,11252,0.26375,0.30946
172,172,1998,Upper Secondary Level,5th Quintile,Seldom,0.61554,646,11252,0.58342,0.65048
173,173,1998,Upper Secondary Level,5th Quintile,Never,0.03169,42,11252,0.02611,0.03837
174,174,1998,Post-secondary Non-tertiary Level,1st Quintile,Seldom,1.0,56,11252,0.8321,1.15847
175,175,1998,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,1.0,42,11252,0.76568,1.26275
176,176,1998,Post-secondary Non-tertiary Level,3rd Quintile,At least once per month,0.44004,33,11252,0.32916,0.57065
177,177,1998,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.55996,53,11252,0.45375,0.70112
178,178,1998,Post-secondary Non-tertiary Level,4th Quintile,At least once per month,0.27793,32,11252,0.20651,0.34988
179,179,1998,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.72207,71,11252,0.60892,0.86019
180,180,1998,Post-secondary Non-tertiary Level,5th Quintile,Seldom,1.0,61,11252,0.83685,1.22289
181,181,1998,First Stage of Tertiary Education,2nd Quintile,At least once per month,0.30548,36,11252,0.23189,0.38782
182,182,1998,First Stage of Tertiary Education,2nd Quintile,Seldom,0.69452,77,11252,0.60906,0.80531
183,183,1998,First Stage of Tertiary Education,3rd Quintile,At least once per month,0.32665,43,11252,0.25064,0.40341
184,184,1998,First Stage of Tertiary Education,3rd Quintile,Seldom,0.67335,115,11252,0.60747,0.7812
185,185,1998,First Stage of Tertiary Education,4th Quintile,At least once per month,0.32479,45,11252,0.26099,0.38233
186,186,1998,First Stage of Tertiary Education,4th Quintile,Seldom,0.67521,124,11252,0.58417,0.77326
187,187,1998,First Stage of Tertiary Education,5th Quintile,At least once per month,0.25811,43,11252,0.21025,0.31821
188,188,1998,First Stage of Tertiary Education,5th Quintile,Seldom,0.74189,129,11252,0.6454,0.85014
189,189,1998,Second Stage of Tertiary Education,1st Quintile,Seldom,1.0,71,11252,0.84325,1.17913
190,190,1998,Second Stage of Tertiary Education,2nd Quintile,At least once per month,0.36778,63,11252,0.29943,0.43907
191,191,1998,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.63222,114,11252,0.55352,0.72562
192,192,1998,Second Stage of Tertiary Education,3rd Quintile,At least once per month,0.38971,97,11252,0.3279,0.47705
193,193,1998,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.61029,188,11252,0.54962,0.67226
194,194,1998,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.35756,143,11252,0.31088,0.40684
195,195,1998,Second Stage of Tertiary Education,4th Quintile,Seldom,0.64244,247,11252,0.58142,0.71027
196,196,1998,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.05637,35,11252,0.04376,0.06745
197,197,1998,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.43214,269,11252,0.39523,0.47481
198,198,1998,Second Stage of Tertiary Education,5th Quintile,Seldom,0.51149,358,11252,0.47429,0.54992
199,199,2003,Pre-primary Level,1st Quintile,Seldom,1.0,65,20967,0.8296,1.17082
200,200,2003,Pre-primary Level,2nd Quintile,Seldom,1.0,64,20967,0.8335,1.1831
201,201,2003,Pre-primary Level,3rd Quintile,Seldom,1.0,63,20967,0.8058,1.18092
202,202,2003,Pre-primary Level,4th Quintile,Seldom,1.0,82,20967,0.80767,1.19123
203,203,2003,Pre-primary Level,5th Quintile,At least once per month,0.30652,54,20967,0.25439,0.37421
204,204,2003,Pre-primary Level,5th Quintile,Seldom,0.69348,103,20967,0.57765,0.85491
205,205,2003,Primary Level,1st Quintile,Seldom,0.46795,52,20967,0.39281,0.54188
206,206,2003,Primary Level,1st Quintile,Never,0.53205,64,20967,0.44809,0.61785
207,207,2003,Primary Level,2nd Quintile,Seldom,1.0,36,20967,0.7524,1.19834
208,208,2003,Lower Secondary Level,1st Quintile,At least once per month,0.10638,90,20967,0.09424,0.12085
209,209,2003,Lower Secondary Level,1st Quintile,Seldom,0.53709,451,20967,0.50135,0.57162
210,210,2003,Lower Secondary Level,1st Quintile,Never,0.35653,275,20967,0.33302,0.38329
211,211,2003,Lower Secondary Level,2nd Quintile,At least once per month,0.17715,112,20967,0.1594,0.19722
212,212,2003,Lower Secondary Level,2nd Quintile,Seldom,0.57082,388,20967,0.53473,0.60975
213,213,2003,Lower Secondary Level,2nd Quintile,Never,0.25203,164,20967,0.22769,0.27483
214,214,2003,Lower Secondary Level,3rd Quintile,At least once per month,0.19727,96,20967,0.17178,0.2284
215,215,2003,Lower Secondary Level,3rd Quintile,Seldom,0.59191,295,20967,0.54477,0.63732
216,216,2003,Lower Secondary Level,3rd Quintile,Never,0.21081,92,20967,0.18367,0.23639
217,217,2003,Lower Secondary Level,4th Quintile,At least once per month,0.23686,83,20967,0.1978,0.28026
218,218,2003,Lower Secondary Level,4th Quintile,Seldom,0.56733,232,20967,0.50061,0.62785
219,219,2003,Lower Secondary Level,4th Quintile,Never,0.1958,79,20967,0.16672,0.22469
220,220,2003,Lower Secondary Level,5th Quintile,At least once per month,0.2679,69,20967,0.21446,0.34354
221,221,2003,Lower Secondary Level,5th Quintile,Seldom,0.7321,170,20967,0.64458,0.83185
222,222,2003,Upper Secondary Level,1st Quintile,At least once per week,0.02659,48,20967,0.02245,0.03244
223,223,2003,Upper Secondary Level,1st Quintile,At least once per month,0.16348,275,20967,0.15238,0.17823
224,224,2003,Upper Secondary Level,1st Quintile,Seldom,0.53801,966,20967,0.51855,0.56197
225,225,2003,Upper Secondary Level,1st Quintile,Never,0.27191,443,20967,0.25578,0.28645
226,226,2003,Upper Secondary Level,2nd Quintile,At least once per week,0.0537,109,20967,0.04826,0.06076
227,227,2003,Upper Secondary Level,2nd Quintile,At least once per month,0.1936,414,20967,0.18187,0.20707
228,228,2003,Upper Secondary Level,2nd Quintile,Seldom,0.59565,1382,20967,0.57653,0.61537
229,229,2003,Upper Secondary Level,2nd Quintile,Never,0.15705,351,20967,0.1465,0.16826
230,230,2003,Upper Secondary Level,3rd Quintile,At least once per week,0.03449,86,20967,0.03075,0.03854
231,231,2003,Upper Secondary Level,3rd Quintile,At least once per month,0.21939,542,20967,0.20812,0.2327
232,232,2003,Upper Secondary Level,3rd Quintile,Seldom,0.62809,1481,20967,0.60538,0.65046
233,233,2003,Upper Secondary Level,3rd Quintile,Never,0.11804,260,20967,0.1103,0.12613
234,234,2003,Upper Secondary Level,4th Quintile,At least once per week,0.04185,95,20967,0.03673,0.04602
235,235,2003,Upper Secondary Level,4th Quintile,At least once per month,0.25748,573,20967,0.24411,0.27547
236,236,2003,Upper Secondary Level,4th Quintile,Seldom,0.60624,1411,20967,0.58073,0.63008
237,237,2003,Upper Secondary Level,4th Quintile,Never,0.09442,192,20967,0.08605,0.10407
238,238,2003,Upper Secondary Level,5th Quintile,At least once per week,0.05409,146,20967,0.04645,0.06258
239,239,2003,Upper Secondary Level,5th Quintile,At least once per month,0.30636,755,20967,0.28492,0.32564
240,240,2003,Upper Secondary Level,5th Quintile,Seldom,0.56532,1380,20967,0.54376,0.59173
241,241,2003,Upper Secondary Level,5th Quintile,Never,0.07422,134,20967,0.06485,0.08543
242,242,2003,Post-secondary Non-tertiary Level,1st Quintile,Seldom,1.0,87,20967,0.85633,1.15675
243,243,2003,Post-secondary Non-tertiary Level,2nd Quintile,At least once per month,0.30241,36,20967,0.23984,0.38143
244,244,2003,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.69759,96,20967,0.59304,0.7895
245,245,2003,Post-secondary Non-tertiary Level,3rd Quintile,At least once per month,0.32768,57,20967,0.26597,0.38618
246,246,2003,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.67232,115,20967,0.57426,0.76377
247,247,2003,Post-secondary Non-tertiary Level,4th Quintile,At least once per month,0.35368,71,20967,0.29317,0.43318
248,248,2003,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.64632,162,20967,0.5511,0.7202
249,249,2003,Post-secondary Non-tertiary Level,5th Quintile,At least once per month,0.35327,137,20967,0.29147,0.40867
250,250,2003,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.64673,204,20967,0.57391,0.73457
251,251,2003,First Stage of Tertiary Education,1st Quintile,Seldom,0.74695,94,20967,0.66383,0.82653
252,252,2003,First Stage of Tertiary Education,1st Quintile,Never,0.25305,32,20967,0.20203,0.30998
253,253,2003,First Stage of Tertiary Education,2nd Quintile,At least once per month,0.39728,70,20967,0.33609,0.46679
254,254,2003,First Stage of Tertiary Education,2nd Quintile,Seldom,0.60272,139,20967,0.53125,0.67197
255,255,2003,First Stage of Tertiary Education,3rd Quintile,At least once per month,0.3123,92,20967,0.26064,0.36853
256,256,2003,First Stage of Tertiary Education,3rd Quintile,Seldom,0.6877,204,20967,0.63213,0.75061
257,257,2003,First Stage of Tertiary Education,4th Quintile,At least once per month,0.3214,121,20967,0.26112,0.37103
258,258,2003,First Stage of Tertiary Education,4th Quintile,Seldom,0.6786,280,20967,0.60624,0.74867
259,259,2003,First Stage of Tertiary Education,5th Quintile,At least once per week,0.07479,32,20967,0.05075,0.10203
260,260,2003,First Stage of Tertiary Education,5th Quintile,At least once per month,0.26372,148,20967,0.22932,0.3039
261,261,2003,First Stage of Tertiary Education,5th Quintile,Seldom,0.66149,309,20967,0.59278,0.73782
262,262,2003,Second Stage of Tertiary Education,1st Quintile,At least once per month,0.19118,44,20967,0.15963,0.23592
263,263,2003,Second Stage of Tertiary Education,1st Quintile,Seldom,0.64543,133,20967,0.58475,0.71147
264,264,2003,Second Stage of Tertiary Education,1st Quintile,Never,0.16339,33,20967,0.13979,0.18918
265,265,2003,Second Stage of Tertiary Education,2nd Quintile,At least once per month,0.28892,68,20967,0.24191,0.33257
266,266,2003,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.71108,171,20967,0.63324,0.7929
267,267,2003,Second Stage of Tertiary Education,3rd Quintile,At least once per week,0.07293,33,20967,0.05822,0.08712
268,268,2003,Second Stage of Tertiary Education,3rd Quintile,At least once per month,0.33612,170,20967,0.30161,0.36516
269,269,2003,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.59095,287,20967,0.54666,0.64094
270,270,2003,Second Stage of Tertiary Education,4th Quintile,At least once per week,0.06995,58,20967,0.05704,0.08281
271,271,2003,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.30917,280,20967,0.27584,0.34232
272,272,2003,Second Stage of Tertiary Education,4th Quintile,Seldom,0.56998,457,20967,0.52192,0.62191
273,273,2003,Second Stage of Tertiary Education,4th Quintile,Never,0.0509,32,20967,0.03892,0.06623
