year,bula_h,regtyp,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Schleswig-Holstein,Urban regions,Seldom,0.45487,81,81,0.34575,0.56399
1995,Schleswig-Holstein,Rural regions,At least once per month,0.19574,35,119,0.12415,0.26733
1995,Schleswig-Holstein,Rural regions,Seldom,0.44920,84,119,0.35945,0.53895
1995,Hamburg,Urban regions,At least once per month,0.24593,37,93,0.15793,0.33393
1995,Hamburg,Urban regions,Seldom,0.40615,56,93,0.30580,0.50651
1995,Lower Saxony,Urban regions,At least once per month,0.28878,160,503,0.24913,0.32842
1995,Lower Saxony,Urban regions,Seldom,0.42768,286,503,0.38440,0.47096
1995,Lower Saxony,Urban regions,Never,0.09088,57,503,0.06573,0.11602
1995,Lower Saxony,Rural regions,At least once per month,0.20229,131,507,0.16729,0.23729
1995,Lower Saxony,Rural regions,Seldom,0.46442,322,507,0.42097,0.50788
1995,Lower Saxony,Rural regions,Never,0.09143,54,507,0.06632,0.11654
1995,Bremen,Urban regions,Seldom,0.36794,38,38,0.21255,0.52333
1995,North Rhine-Westphalia,Urban regions,At least once per week,0.03962,118,2488,0.03195,0.04728
1995,North Rhine-Westphalia,Urban regions,At least once per month,0.21555,576,2488,0.19939,0.23171
1995,North Rhine-Westphalia,Urban regions,Seldom,0.45354,1427,2488,0.43397,0.47310
1995,North Rhine-Westphalia,Urban regions,Never,0.10551,367,2488,0.09344,0.11758
1995,North Rhine-Westphalia,Rural regions,Seldom,0.37069,36,36,0.21067,0.53070
1995,Hesse,Urban regions,At least once per week,0.05998,49,795,0.04347,0.07650
1995,Hesse,Urban regions,At least once per month,0.22347,198,795,0.19450,0.25245
1995,Hesse,Urban regions,Seldom,0.43180,397,795,0.39735,0.46625
1995,Hesse,Urban regions,Never,0.12494,151,795,0.10194,0.14794
1995,Hesse,Rural regions,At least once per month,0.23372,40,118,0.15704,0.31040
1995,Hesse,Rural regions,Seldom,0.44164,78,118,0.35166,0.53163
1995,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.22113,144,548,0.18635,0.25591
1995,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.38675,296,548,0.34594,0.42756
1995,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.15889,108,548,0.12826,0.18953
1995,"Rhineland-Palatinate, Saarland",Rural regions,At least once per month,0.24037,34,108,0.15941,0.32134
1995,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.42316,74,108,0.32954,0.51677
1995,Baden-Wuerttemberg,Urban regions,At least once per week,0.05277,76,1558,0.04166,0.06387
1995,Baden-Wuerttemberg,Urban regions,At least once per month,0.21746,405,1558,0.19697,0.23795
1995,Baden-Wuerttemberg,Urban regions,Seldom,0.43867,869,1558,0.41402,0.46332
1995,Baden-Wuerttemberg,Urban regions,Never,0.09403,208,1558,0.07953,0.10853
1995,Baden-Wuerttemberg,Rural regions,At least once per month,0.18032,46,180,0.12400,0.23664
1995,Baden-Wuerttemberg,Rural regions,Seldom,0.48450,134,180,0.41128,0.55771
1995,Bavaria,Urban regions,At least once per week,0.07728,72,850,0.05932,0.09525
1995,Bavaria,Urban regions,At least once per month,0.26779,278,850,0.23800,0.29757
1995,Bavaria,Urban regions,Seldom,0.40209,424,850,0.36911,0.43508
1995,Bavaria,Urban regions,Never,0.08721,76,850,0.06823,0.10619
1995,Bavaria,Rural regions,At least once per week,0.04393,37,826,0.02995,0.05792
1995,Bavaria,Rural regions,At least once per month,0.24242,230,826,0.21317,0.27166
1995,Bavaria,Rural regions,Seldom,0.42368,480,826,0.38996,0.45740
1995,Bavaria,Rural regions,Never,0.09498,79,826,0.07497,0.11499
1995,Berlin,Urban regions,At least once per week,0.06921,43,561,0.04819,0.09023
1995,Berlin,Urban regions,At least once per month,0.25127,167,561,0.21535,0.28720
1995,Berlin,Urban regions,Seldom,0.42752,289,561,0.38654,0.46849
1995,Berlin,Urban regions,Never,0.07418,62,561,0.05247,0.09588
1995,Brandenburg,Rural regions,At least once per month,0.21034,155,545,0.17609,0.24459
1995,Brandenburg,Rural regions,Seldom,0.46997,321,545,0.42803,0.51191
1995,Brandenburg,Rural regions,Never,0.11280,69,545,0.08622,0.13938
1995,Mecklenburg-Western Pomerania,Urban regions,Seldom,0.48666,32,32,0.31071,0.66261
1995,Mecklenburg-Western Pomerania,Rural regions,At least once per month,0.27123,127,318,0.22229,0.32018
1995,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.42703,191,318,0.37257,0.48148
1995,Saxony,Urban regions,At least once per week,0.04532,31,571,0.02824,0.06239
1995,Saxony,Urban regions,At least once per month,0.26437,189,571,0.22817,0.30057
1995,Saxony,Urban regions,Seldom,0.42272,302,571,0.38217,0.46327
1995,Saxony,Urban regions,Never,0.09343,49,571,0.06954,0.11733
1995,Saxony,Rural regions,At least once per month,0.24657,169,493,0.20849,0.28466
1995,Saxony,Rural regions,Seldom,0.40536,266,493,0.36198,0.44875
1995,Saxony,Rural regions,Never,0.11610,58,493,0.08779,0.14441
1995,Saxony-Anhalt,Urban regions,Seldom,0.65228,90,90,0.55333,0.75122
1995,Saxony-Anhalt,Rural regions,At least once per month,0.23062,166,533,0.19483,0.26642
1995,Saxony-Anhalt,Rural regions,Seldom,0.46459,311,533,0.42221,0.50697
1995,Saxony-Anhalt,Rural regions,Never,0.10869,56,533,0.08224,0.13513
1995,Thuringa,Urban regions,At least once per month,0.24005,57,156,0.17281,0.30729
1995,Thuringa,Urban regions,Seldom,0.38118,99,156,0.30472,0.45764
1995,Thuringa,Rural regions,At least once per week,0.05256,33,461,0.03216,0.07295
1995,Thuringa,Rural regions,At least once per month,0.21527,134,461,0.17771,0.25283
1995,Thuringa,Rural regions,Seldom,0.41650,251,461,0.37145,0.46156
1995,Thuringa,Rural regions,Never,0.11341,43,461,0.08443,0.14239
1998,Schleswig-Holstein,Urban regions,At least once per month,0.22636,55,165,0.16232,0.29041
1998,Schleswig-Holstein,Urban regions,Seldom,0.49516,110,165,0.41864,0.57168
1998,Schleswig-Holstein,Rural regions,At least once per month,0.22261,46,141,0.15370,0.29152
1998,Schleswig-Holstein,Rural regions,Seldom,0.48337,95,141,0.40059,0.56614
1998,Hamburg,Urban regions,At least once per month,0.22196,40,119,0.14698,0.29694
1998,Hamburg,Urban regions,Seldom,0.42455,79,119,0.33536,0.51373
1998,Lower Saxony,Urban regions,At least once per week,0.06072,39,578,0.04124,0.08021
1998,Lower Saxony,Urban regions,At least once per month,0.23940,154,578,0.20459,0.27422
1998,Lower Saxony,Urban regions,Seldom,0.46032,331,578,0.41965,0.50099
1998,Lower Saxony,Urban regions,Never,0.07069,54,578,0.04978,0.09161
1998,Lower Saxony,Rural regions,At least once per month,0.16786,134,590,0.13768,0.19805
1998,Lower Saxony,Rural regions,Seldom,0.50404,402,590,0.46366,0.54442
1998,Lower Saxony,Rural regions,Never,0.07513,54,590,0.05384,0.09642
1998,Bremen,Urban regions,Seldom,0.56525,66,66,0.44473,0.68576
1998,North Rhine-Westphalia,Urban regions,At least once per week,0.03132,97,2740,0.02479,0.03784
1998,North Rhine-Westphalia,Urban regions,At least once per month,0.19320,621,2740,0.17841,0.20798
1998,North Rhine-Westphalia,Urban regions,Seldom,0.49501,1706,2740,0.47629,0.51374
1998,North Rhine-Westphalia,Urban regions,Never,0.09399,316,2740,0.08306,0.10492
1998,North Rhine-Westphalia,Rural regions,Seldom,0.38652,35,35,0.22284,0.55020
1998,Hesse,Urban regions,At least once per week,0.04293,41,787,0.02876,0.05710
1998,Hesse,Urban regions,At least once per month,0.20722,186,787,0.17888,0.23555
1998,Hesse,Urban regions,Seldom,0.47536,455,787,0.44044,0.51027
1998,Hesse,Urban regions,Never,0.09887,105,787,0.07800,0.11974
1998,Hesse,Rural regions,At least once per month,0.28528,47,125,0.20580,0.36476
1998,Hesse,Rural regions,Seldom,0.39777,78,125,0.31162,0.48392
1998,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.05158,36,617,0.03411,0.06904
1998,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.17581,118,617,0.14575,0.20587
1998,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.46825,364,617,0.42884,0.50765
1998,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.12540,99,617,0.09925,0.15155
1998,"Rhineland-Palatinate, Saarland",Rural regions,At least once per month,0.20626,41,153,0.14194,0.27059
1998,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.45646,112,153,0.37727,0.53565
1998,Baden-Wuerttemberg,Urban regions,At least once per week,0.03610,70,1597,0.02695,0.04525
1998,Baden-Wuerttemberg,Urban regions,At least once per month,0.20452,354,1597,0.18473,0.22431
1998,Baden-Wuerttemberg,Urban regions,Seldom,0.48101,985,1597,0.45650,0.50552
1998,Baden-Wuerttemberg,Urban regions,Never,0.08743,188,1597,0.07358,0.10129
1998,Baden-Wuerttemberg,Rural regions,At least once per month,0.18797,47,200,0.13369,0.24225
1998,Baden-Wuerttemberg,Rural regions,Seldom,0.47524,116,200,0.40585,0.54462
1998,Baden-Wuerttemberg,Rural regions,Never,0.11465,37,200,0.07038,0.15891
1998,Bavaria,Urban regions,At least once per week,0.05645,57,904,0.04140,0.07150
1998,Bavaria,Urban regions,At least once per month,0.27720,294,904,0.24800,0.30640
1998,Bavaria,Urban regions,Seldom,0.42088,482,904,0.38868,0.45308
1998,Bavaria,Urban regions,Never,0.07398,71,904,0.05691,0.09106
1998,Bavaria,Rural regions,At least once per week,0.05386,51,949,0.03949,0.06823
1998,Bavaria,Rural regions,At least once per month,0.20665,238,949,0.18088,0.23243
1998,Bavaria,Rural regions,Seldom,0.48185,586,949,0.45004,0.51366
1998,Bavaria,Rural regions,Never,0.06339,74,949,0.04788,0.07890
1998,Berlin,Urban regions,At least once per month,0.24617,153,498,0.20830,0.28404
1998,Berlin,Urban regions,Seldom,0.48480,309,498,0.44087,0.52874
1998,Berlin,Urban regions,Never,0.05547,36,498,0.03535,0.07560
1998,Brandenburg,Rural regions,At least once per month,0.16649,126,571,0.13591,0.19707
1998,Brandenburg,Rural regions,Seldom,0.52636,372,571,0.48537,0.56735
1998,Brandenburg,Rural regions,Never,0.13039,73,571,0.10274,0.15803
1998,Mecklenburg-Western Pomerania,Urban regions,Seldom,0.50883,32,32,0.33284,0.68481
1998,Mecklenburg-Western Pomerania,Rural regions,At least once per month,0.21278,95,304,0.16670,0.25887
1998,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.47801,209,304,0.42176,0.53425
1998,Saxony,Urban regions,At least once per week,0.06307,33,577,0.04322,0.08292
1998,Saxony,Urban regions,At least once per month,0.24720,176,577,0.21197,0.28243
1998,Saxony,Urban regions,Seldom,0.44598,325,577,0.40539,0.48657
1998,Saxony,Urban regions,Never,0.07850,43,577,0.05653,0.10046
1998,Saxony,Rural regions,At least once per month,0.20430,146,565,0.17103,0.23758
1998,Saxony,Rural regions,Seldom,0.51315,373,565,0.47189,0.55440
1998,Saxony,Rural regions,Never,0.07140,46,565,0.05015,0.09265
1998,Saxony-Anhalt,Urban regions,At least once per month,0.20409,32,115,0.13011,0.27808
1998,Saxony-Anhalt,Urban regions,Seldom,0.52754,83,115,0.43590,0.61919
1998,Saxony-Anhalt,Rural regions,At least once per month,0.19210,123,527,0.15843,0.22577
1998,Saxony-Anhalt,Rural regions,Seldom,0.47951,325,527,0.43682,0.52221
1998,Saxony-Anhalt,Rural regions,Never,0.15231,79,527,0.12160,0.18302
1998,Thuringa,Urban regions,At least once per month,0.24766,66,189,0.18595,0.30936
1998,Thuringa,Urban regions,Seldom,0.44660,123,189,0.37554,0.51767
1998,Thuringa,Rural regions,At least once per month,0.15138,108,488,0.11955,0.18321
1998,Thuringa,Rural regions,Seldom,0.52679,334,488,0.48244,0.57113
1998,Thuringa,Rural regions,Never,0.10223,46,488,0.07532,0.12914
2003,Schleswig-Holstein,Urban regions,At least once per month,0.22885,79,254,0.17708,0.28062
2003,Schleswig-Holstein,Urban regions,Seldom,0.47070,175,254,0.40919,0.53220
2003,Schleswig-Holstein,Rural regions,At least once per month,0.15603,84,360,0.11849,0.19357
2003,Schleswig-Holstein,Rural regions,Seldom,0.55142,233,360,0.49997,0.60287
2003,Schleswig-Holstein,Rural regions,Never,0.10768,43,360,0.07562,0.13975
2003,Hamburg,Urban regions,At least once per month,0.20608,81,258,0.15662,0.25553
2003,Hamburg,Urban regions,Seldom,0.52666,177,258,0.46561,0.58770
2003,Lower Saxony,Urban regions,At least once per week,0.03190,40,918,0.02053,0.04327
2003,Lower Saxony,Urban regions,At least once per month,0.24083,289,918,0.21316,0.26851
2003,Lower Saxony,Urban regions,Seldom,0.47503,512,918,0.44271,0.50736
2003,Lower Saxony,Urban regions,Never,0.08518,77,918,0.06711,0.10324
2003,Lower Saxony,Rural regions,At least once per week,0.02702,32,981,0.01687,0.03717
2003,Lower Saxony,Rural regions,At least once per month,0.15546,210,981,0.13278,0.17815
2003,Lower Saxony,Rural regions,Seldom,0.51672,633,981,0.48543,0.54801
2003,Lower Saxony,Rural regions,Never,0.11160,106,981,0.09189,0.13132
2003,Bremen,Urban regions,At least once per month,0.15327,41,136,0.09250,0.21404
2003,Bremen,Urban regions,Seldom,0.45755,95,136,0.37351,0.54159
2003,North Rhine-Westphalia,Urban regions,At least once per week,0.03898,205,4521,0.03334,0.04463
2003,North Rhine-Westphalia,Urban regions,At least once per month,0.19203,1081,4521,0.18055,0.20351
2003,North Rhine-Westphalia,Urban regions,Seldom,0.47048,2650,4521,0.45593,0.48503
2003,North Rhine-Westphalia,Urban regions,Never,0.12431,585,4521,0.11469,0.13393
2003,North Rhine-Westphalia,Rural regions,Seldom,0.54540,77,77,0.43345,0.65735
2003,Hesse,Urban regions,At least once per week,0.02708,47,1223,0.01798,0.03618
2003,Hesse,Urban regions,At least once per month,0.20545,331,1223,0.18279,0.22810
2003,Hesse,Urban regions,Seldom,0.44529,688,1223,0.41743,0.47316
2003,Hesse,Urban regions,Never,0.13055,157,1223,0.11166,0.14944
2003,Hesse,Rural regions,At least once per month,0.18984,59,215,0.13729,0.24238
2003,Hesse,Rural regions,Seldom,0.47917,156,215,0.41224,0.54611
2003,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.04311,58,1019,0.03064,0.05559
2003,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.16361,216,1019,0.14089,0.18634
2003,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.42895,556,1019,0.39855,0.45935
2003,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.17540,189,1019,0.15203,0.19876
2003,"Rhineland-Palatinate, Saarland",Rural regions,At least once per month,0.16895,76,305,0.12682,0.21107
2003,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.48555,187,305,0.42937,0.54174
2003,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.10786,42,305,0.07299,0.14274
2003,Baden-Wuerttemberg,Urban regions,At least once per week,0.02935,100,2443,0.02266,0.03605
2003,Baden-Wuerttemberg,Urban regions,At least once per month,0.20867,692,2443,0.19255,0.22479
2003,Baden-Wuerttemberg,Urban regions,Seldom,0.44975,1314,2443,0.43002,0.46948
2003,Baden-Wuerttemberg,Urban regions,Never,0.11485,337,2443,0.10220,0.12749
2003,Baden-Wuerttemberg,Rural regions,At least once per month,0.19288,59,201,0.13820,0.24756
2003,Baden-Wuerttemberg,Rural regions,Seldom,0.47466,142,201,0.40545,0.54387
2003,Bavaria,Urban regions,At least once per week,0.04814,110,1580,0.03758,0.05870
2003,Bavaria,Urban regions,At least once per month,0.21344,458,1580,0.19323,0.23365
2003,Bavaria,Urban regions,Seldom,0.45649,846,1580,0.43193,0.48106
2003,Bavaria,Urban regions,Never,0.10934,166,1580,0.09394,0.12473
2003,Bavaria,Rural regions,At least once per week,0.04672,89,1518,0.03610,0.05734
2003,Bavaria,Rural regions,At least once per month,0.24860,464,1518,0.22685,0.27035
2003,Bavaria,Rural regions,Seldom,0.43279,827,1518,0.40786,0.45772
2003,Bavaria,Rural regions,Never,0.09607,138,1518,0.08124,0.11089
2003,Berlin,Urban regions,At least once per week,0.04382,42,819,0.02979,0.05785
2003,Berlin,Urban regions,At least once per month,0.20606,209,819,0.17834,0.23378
2003,Berlin,Urban regions,Seldom,0.50044,500,819,0.46617,0.53470
2003,Berlin,Urban regions,Never,0.08536,68,819,0.06621,0.10451
2003,Brandenburg,Urban regions,Seldom,0.52945,40,40,0.37280,0.68610
2003,Brandenburg,Rural regions,At least once per month,0.18738,198,851,0.16114,0.21361
2003,Brandenburg,Rural regions,Seldom,0.52088,533,851,0.48729,0.55446
2003,Brandenburg,Rural regions,Never,0.13298,120,851,0.11015,0.15580
2003,Mecklenburg-Western Pomerania,Urban regions,Seldom,0.48302,43,43,0.33189,0.63415
2003,Mecklenburg-Western Pomerania,Rural regions,At least once per week,0.06144,35,452,0.03927,0.08360
2003,Mecklenburg-Western Pomerania,Rural regions,At least once per month,0.20899,115,452,0.17146,0.24651
2003,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.48321,254,452,0.43709,0.52933
2003,Mecklenburg-Western Pomerania,Rural regions,Never,0.10911,48,452,0.08033,0.13788
2003,Saxony,Urban regions,At least once per week,0.06511,54,777,0.04775,0.08246
2003,Saxony,Urban regions,At least once per month,0.21432,207,777,0.18544,0.24319
2003,Saxony,Urban regions,Seldom,0.47736,431,777,0.44221,0.51250
2003,Saxony,Urban regions,Never,0.10650,85,777,0.08479,0.12820
2003,Saxony,Rural regions,At least once per week,0.03283,32,830,0.02070,0.04496
2003,Saxony,Rural regions,At least once per month,0.20927,208,830,0.18158,0.23697
2003,Saxony,Rural regions,Seldom,0.50168,499,830,0.46764,0.53571
2003,Saxony,Rural regions,Never,0.11264,91,830,0.09112,0.13416
2003,Saxony-Anhalt,Urban regions,At least once per month,0.26201,50,149,0.19116,0.33285
2003,Saxony-Anhalt,Urban regions,Seldom,0.49952,99,149,0.41897,0.58008
2003,Saxony-Anhalt,Rural regions,At least once per week,0.03927,38,754,0.02540,0.05315
2003,Saxony-Anhalt,Rural regions,At least once per month,0.16653,160,754,0.13992,0.19314
2003,Saxony-Anhalt,Rural regions,Seldom,0.50112,438,754,0.46541,0.53684
2003,Saxony-Anhalt,Rural regions,Never,0.15684,118,754,0.13087,0.18282
2003,Thuringa,Urban regions,At least once per month,0.19403,64,262,0.14605,0.24201
2003,Thuringa,Urban regions,Seldom,0.57382,198,262,0.51382,0.63382
2003,Thuringa,Rural regions,At least once per month,0.18141,146,636,0.15144,0.21139
2003,Thuringa,Rural regions,Seldom,0.55844,419,636,0.51982,0.59707
2003,Thuringa,Rural regions,Never,0.10944,71,636,0.08516,0.13372
2008,Schleswig-Holstein,Urban regions,At least once per month,0.20326,57,215,0.14935,0.25718
2008,Schleswig-Holstein,Urban regions,Seldom,0.47060,122,215,0.40373,0.53748
2008,Schleswig-Holstein,Urban regions,Never,0.12420,36,215,0.08001,0.16839
2008,Schleswig-Holstein,Rural regions,At least once per month,0.20360,83,311,0.15877,0.24842
2008,Schleswig-Holstein,Rural regions,Seldom,0.44827,172,311,0.39291,0.50363
2008,Schleswig-Holstein,Rural regions,Never,0.14169,56,311,0.10287,0.18051
2008,Hamburg,Urban regions,At least once per month,0.32656,102,241,0.26723,0.38589
2008,Hamburg,Urban regions,Seldom,0.42484,139,241,0.36230,0.48738
2008,Lower Saxony,Urban regions,At least once per week,0.02626,32,827,0.01536,0.03717
2008,Lower Saxony,Urban regions,At least once per month,0.19242,199,827,0.16553,0.21930
2008,Lower Saxony,Urban regions,Seldom,0.48295,490,827,0.44887,0.51703
2008,Lower Saxony,Urban regions,Never,0.13552,106,827,0.11218,0.15887
2008,Lower Saxony,Rural regions,At least once per month,0.12932,175,887,0.10722,0.15141
2008,Lower Saxony,Rural regions,Seldom,0.50492,565,887,0.47200,0.53784
2008,Lower Saxony,Rural regions,Never,0.18017,147,887,0.15486,0.20548
2008,Bremen,Urban regions,At least once per month,0.22079,36,113,0.14397,0.29761
2008,Bremen,Urban regions,Seldom,0.48584,77,113,0.39328,0.57841
2008,North Rhine-Westphalia,Urban regions,At least once per week,0.02003,95,3805,0.01558,0.02449
2008,North Rhine-Westphalia,Urban regions,At least once per month,0.13662,710,3805,0.12571,0.14754
2008,North Rhine-Westphalia,Urban regions,Seldom,0.51445,2354,3805,0.49857,0.53034
2008,North Rhine-Westphalia,Urban regions,Never,0.16005,646,3805,0.14840,0.17170
2008,North Rhine-Westphalia,Rural regions,Seldom,0.49661,65,65,0.37411,0.61911
2008,Hesse,Urban regions,At least once per week,0.02900,31,1083,0.01900,0.03899
2008,Hesse,Urban regions,At least once per month,0.15832,260,1083,0.13657,0.18007
2008,Hesse,Urban regions,Seldom,0.47259,621,1083,0.44284,0.50234
2008,Hesse,Urban regions,Never,0.14073,171,1083,0.12001,0.16145
2008,Hesse,Rural regions,At least once per month,0.18626,48,194,0.13134,0.24119
2008,Hesse,Rural regions,Seldom,0.54559,146,194,0.47534,0.61584
2008,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.12622,154,812,0.10336,0.14908
2008,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.48954,493,812,0.45513,0.52394
2008,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.18357,165,812,0.15693,0.21022
2008,"Rhineland-Palatinate, Saarland",Rural regions,At least once per month,0.17106,48,267,0.12581,0.21632
2008,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.49829,172,267,0.43820,0.55838
2008,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.17850,47,267,0.13248,0.22452
2008,Baden-Wuerttemberg,Urban regions,At least once per week,0.02155,51,2130,0.01538,0.02772
2008,Baden-Wuerttemberg,Urban regions,At least once per month,0.16655,481,2130,0.15073,0.18238
2008,Baden-Wuerttemberg,Urban regions,Seldom,0.50014,1306,2130,0.47890,0.52137
2008,Baden-Wuerttemberg,Urban regions,Never,0.12940,292,2130,0.11514,0.14366
2008,Baden-Wuerttemberg,Rural regions,At least once per month,0.17398,46,192,0.12022,0.22774
2008,Baden-Wuerttemberg,Rural regions,Seldom,0.54906,146,192,0.47849,0.61963
2008,Bavaria,Urban regions,At least once per week,0.02599,42,1334,0.01745,0.03453
2008,Bavaria,Urban regions,At least once per month,0.21633,375,1334,0.19423,0.23844
2008,Bavaria,Urban regions,Seldom,0.47553,785,1334,0.44872,0.50233
2008,Bavaria,Urban regions,Never,0.11558,132,1334,0.09842,0.13275
2008,Bavaria,Rural regions,At least once per week,0.02653,53,1404,0.01812,0.03494
2008,Bavaria,Rural regions,At least once per month,0.18346,340,1404,0.16320,0.20371
2008,Bavaria,Rural regions,Seldom,0.47371,804,1404,0.44758,0.49983
2008,Bavaria,Rural regions,Never,0.14285,207,1404,0.12454,0.16116
2008,Berlin,Urban regions,At least once per month,0.19055,168,694,0.16131,0.21979
2008,Berlin,Urban regions,Seldom,0.48524,421,694,0.44803,0.52245
2008,Berlin,Urban regions,Never,0.15669,105,694,0.12962,0.18375
2008,Brandenburg,Urban regions,Seldom,0.51473,44,44,0.36534,0.66411
2008,Brandenburg,Rural regions,At least once per month,0.15913,152,736,0.13269,0.18558
2008,Brandenburg,Rural regions,Seldom,0.49244,443,736,0.45630,0.52858
2008,Brandenburg,Rural regions,Never,0.19272,141,736,0.16421,0.22124
2008,Mecklenburg-Western Pomerania,Urban regions,Seldom,0.59955,39,39,0.44376,0.75534
