year,regtyp,sex,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2018,Urban regions,male,At least once per month,0.13190427188073622,373,3140,0.13091423521886758,0.13289430854260487
2018,Urban regions,male,Seldom,0.14948563297877865,450,3140,0.1484424065239894,0.1505288594335679
2018,Urban regions,male,Never,0.10176197538469958,265,3140,0.1008774169673995,0.10264653380199966
2018,Urban regions,female,At least once per week,0.03424715651892611,136,3140,0.03371506872756869,0.034779244310283536
2018,Urban regions,female,At least once per month,0.05461739542254151,225,3140,0.05395257043592904,0.055282220409153975
2018,Urban regions,female,Seldom,0.09287540209329835,359,3140,0.09202617886928047,0.09372462531731623
2018,Urban regions,female,Never,0.06622160936431903,206,3140,0.06549406444477349,0.06694915428386458
2018,Rural regions,male,At least once per week,0.03696880801945423,87,3140,0.036416761166987464,0.03752085487192099
2018,Rural regions,male,At least once per month,0.04835472030046794,129,3140,0.047727102830505526,0.04898233777043035
2018,Rural regions,male,Seldom,0.05813664904076286,188,3140,0.05745201737215067,0.05882128070937504
2018,Rural regions,male,Never,0.030904313459882787,81,3140,0.030397986657300882,0.03141064026246469
2018,Rural regions,female,At least once per week,0.007760705371281502,46,3140,0.0075039634149025175,0.008017447327660486
2018,Rural regions,female,At least once per month,0.019803238387151593,79,3140,0.019395611543041605,0.02021086523126158
2018,Rural regions,female,Seldom,0.045208832266380346,150,3140,0.04460097182881455,0.045816692703946144
2018,Rural regions,female,Never,0.019983236428965417,72,3140,0.019573798847871887,0.020392674010058946
2019,Urban regions,male,Daily,0.00029426249236257546,61,28191,0.0002901641887507135,0.0002983607959744374
2019,Urban regions,male,At least once per week,0.016637036326918046,689,28191,0.016606473361633005,0.016667599292203086
2019,Urban regions,male,At least once per month,0.11496585599911706,3303,28191,0.11488963668549455,0.11504207531273956
2019,Urban regions,male,Seldom,0.1668568443353407,4158,28191,0.1667677536273342,0.1669459350433472
2019,Urban regions,male,Never,0.035753761678108315,887,28191,0.035709395151568166,0.03579812820464846
2019,Urban regions,female,Daily,0.0008078354890835114,42,28191,0.0008010467900401,0.0008146241881269229
2019,Urban regions,female,At least once per week,0.01546053537461941,539,28191,0.015431055243488874,0.015490015505749945
2019,Urban regions,female,At least once per month,0.11008439662275776,3172,28191,0.11000960759699603,0.1101591856485195
2019,Urban regions,female,Seldom,0.1830789362039876,4755,28191,0.18298652815114425,0.18317134425683096
2019,Urban regions,female,Never,0.04307654115159012,1005,28191,0.04302802798817555,0.043125054315004685
2019,Rural regions,male,At least once per week,0.00756653744110808,298,28191,0.007545831266388141,0.007587243615828018
2019,Rural regions,male,At least once per month,0.047474141189606,1606,28191,0.04742332904471883,0.04752495333449317
2019,Rural regions,male,Seldom,0.0799205733111636,2252,28191,0.07985577815555243,0.07998536846677477
2019,Rural regions,male,Never,0.019979623515260322,525,28191,0.01994618771016705,0.020013059320353594
2019,Rural regions,female,At least once per week,0.007624651813218377,269,28191,0.0076038668828634914,0.007645436743573262
2019,Rural regions,female,At least once per month,0.04446422391439871,1552,28191,0.04441497128550497,0.04451347654329244
2019,Rural regions,female,Seldom,0.08600921974520051,2521,28191,0.08594222449809161,0.08607621499230941
2019,Rural regions,female,Never,0.01994502339615933,557,28191,0.01991161596546124,0.01997843082685742
