year,quintil_oecd_hh,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,1st Quintile,No,0.91945,1307,1391,0.90514,0.93376
1995,2nd Quintile,Yes,0.06298,66,1464,0.05053,0.07542
1995,2nd Quintile,No,0.92665,1398,1464,0.91329,0.94001
1995,3rd Quintile,Yes,0.04365,42,1400,0.03294,0.05436
1995,3rd Quintile,No,0.94973,1358,1400,0.93828,0.96118
1995,4th Quintile,Yes,0.03635,42,1275,0.02607,0.04663
1995,4th Quintile,No,0.96121,1233,1275,0.95060,0.97181
1995,5th Quintile,No,0.96612,1098,1098,0.95542,0.97683
1996,1st Quintile,Yes,0.06385,70,1403,0.05106,0.07665
1996,1st Quintile,No,0.92544,1333,1403,0.91169,0.93919
1996,2nd Quintile,Yes,0.05582,62,1390,0.04375,0.06789
1996,2nd Quintile,No,0.93402,1328,1390,0.92097,0.94708
1996,3rd Quintile,Yes,0.03237,37,1388,0.02306,0.04169
1996,3rd Quintile,No,0.96337,1351,1388,0.95348,0.97326
1996,4th Quintile,Yes,0.03619,47,1297,0.02602,0.04636
1996,4th Quintile,No,0.96355,1250,1297,0.95335,0.97375
1996,5th Quintile,Yes,0.02949,31,1119,0.01958,0.03941
1996,5th Quintile,No,0.96861,1088,1119,0.95838,0.97883
1997,1st Quintile,Yes,0.06516,70,1334,0.05191,0.07840
1997,1st Quintile,No,0.93078,1264,1334,0.91716,0.94441
1997,2nd Quintile,Yes,0.05754,58,1410,0.04538,0.06970
1997,2nd Quintile,No,0.93865,1352,1410,0.92612,0.95118
1997,3rd Quintile,Yes,0.03876,42,1388,0.02860,0.04892
1997,3rd Quintile,No,0.96063,1346,1388,0.95039,0.97086
1997,4th Quintile,Yes,0.02714,39,1292,0.01828,0.03601
1997,4th Quintile,No,0.96954,1253,1292,0.96016,0.97891
1997,5th Quintile,No,0.97281,1077,1077,0.96309,0.98253
1998,1st Quintile,Yes,0.05079,60,1504,0.03969,0.06189
1998,1st Quintile,No,0.94877,1444,1504,0.93762,0.95991
1998,2nd Quintile,Yes,0.05070,64,1574,0.03986,0.06154
1998,2nd Quintile,No,0.94709,1510,1574,0.93603,0.95816
1998,3rd Quintile,Yes,0.03489,47,1529,0.02569,0.04409
1998,3rd Quintile,No,0.96496,1482,1529,0.95575,0.97418
1998,4th Quintile,Yes,0.04006,54,1498,0.03012,0.04999
1998,4th Quintile,No,0.95778,1444,1498,0.94760,0.96797
1998,5th Quintile,Yes,0.03019,40,1304,0.02090,0.03948
1998,5th Quintile,No,0.96981,1264,1304,0.96052,0.97910
1999,1st Quintile,Yes,0.05067,58,1506,0.03959,0.06175
1999,1st Quintile,No,0.94933,1448,1506,0.93825,0.96041
1999,2nd Quintile,Yes,0.06511,70,1523,0.05272,0.07751
1999,2nd Quintile,No,0.93489,1453,1523,0.92249,0.94728
1999,3rd Quintile,Yes,0.04733,52,1489,0.03654,0.05812
1999,3rd Quintile,No,0.95267,1437,1489,0.94188,0.96346
1999,4th Quintile,Yes,0.04051,49,1385,0.03012,0.05089
1999,4th Quintile,No,0.95922,1336,1385,0.94880,0.96964
1999,5th Quintile,Yes,0.02597,33,1239,0.01711,0.03482
1999,5th Quintile,No,0.97403,1206,1239,0.96518,0.98289
2000,1st Quintile,Yes,0.03709,91,2554,0.02976,0.04442
2000,1st Quintile,No,0.96291,2463,2554,0.95558,0.97024
2000,2nd Quintile,Yes,0.04847,119,2713,0.04039,0.05656
2000,2nd Quintile,No,0.95153,2594,2713,0.94344,0.95961
2000,3rd Quintile,Yes,0.05286,129,2650,0.04433,0.06138
2000,3rd Quintile,No,0.94714,2521,2650,0.93862,0.95567
2000,4th Quintile,Yes,0.03182,85,2601,0.02508,0.03857
2000,4th Quintile,No,0.96818,2516,2601,0.96143,0.97492
2000,5th Quintile,Yes,0.02847,64,2426,0.02185,0.03509
2000,5th Quintile,No,0.97153,2362,2426,0.96491,0.97815
2001,1st Quintile,Yes,0.03443,83,2231,0.02686,0.04199
2001,1st Quintile,No,0.96557,2148,2231,0.95801,0.97314
2001,2nd Quintile,Yes,0.04488,101,2459,0.03669,0.05306
2001,2nd Quintile,No,0.95368,2358,2459,0.94537,0.96199
2001,3rd Quintile,Yes,0.04885,111,2434,0.04029,0.05742
2001,3rd Quintile,No,0.95033,2323,2434,0.94169,0.95896
2001,4th Quintile,Yes,0.04155,94,2369,0.03352,0.04959
2001,4th Quintile,No,0.95845,2275,2369,0.95041,0.96648
2001,5th Quintile,Yes,0.03219,64,2181,0.02478,0.03960
2001,5th Quintile,No,0.96781,2117,2181,0.96040,0.97522
2002,1st Quintile,Yes,0.04252,89,2099,0.03388,0.05115
2002,1st Quintile,No,0.95748,2010,2099,0.94885,0.96612
2002,2nd Quintile,Yes,0.05603,110,2240,0.04650,0.06556
2002,2nd Quintile,No,0.94397,2130,2240,0.93444,0.95350
2002,3rd Quintile,Yes,0.04565,94,2272,0.03707,0.05424
2002,3rd Quintile,No,0.95435,2178,2272,0.94576,0.96293
2002,4th Quintile,Yes,0.03954,83,2365,0.03168,0.04739
2002,4th Quintile,No,0.96046,2282,2365,0.95261,0.96832
2002,5th Quintile,Yes,0.02696,75,3231,0.02138,0.03255
2002,5th Quintile,No,0.97304,3156,3231,0.96745,0.97862
2003,1st Quintile,Yes,0.03873,68,2052,0.03038,0.04708
2003,1st Quintile,No,0.96127,1984,2052,0.95292,0.96962
2003,2nd Quintile,Yes,0.05939,117,2208,0.04953,0.06925
2003,2nd Quintile,No,0.93973,2091,2208,0.92980,0.94966
2003,3rd Quintile,Yes,0.05132,112,2232,0.04216,0.06047
2003,3rd Quintile,No,0.94868,2120,2232,0.93953,0.95784
2003,4th Quintile,Yes,0.04047,87,2273,0.03237,0.04858
2003,4th Quintile,No,0.95953,2186,2273,0.95142,0.96763
2003,5th Quintile,Yes,0.02730,71,3034,0.02150,0.03310
2003,5th Quintile,No,0.97270,2963,3034,0.96690,0.97850
2004,1st Quintile,Yes,0.03769,75,1962,0.02926,0.04612
2004,1st Quintile,No,0.96231,1887,1962,0.95388,0.97074
2004,2nd Quintile,Yes,0.06023,118,2163,0.05020,0.07026
2004,2nd Quintile,No,0.93977,2045,2163,0.92974,0.94980
2004,3rd Quintile,Yes,0.05373,106,2192,0.04429,0.06318
2004,3rd Quintile,No,0.94627,2086,2192,0.93682,0.95571
2004,4th Quintile,Yes,0.04629,96,2266,0.03763,0.05494
2004,4th Quintile,No,0.95371,2170,2266,0.94506,0.96237
2004,5th Quintile,Yes,0.02921,75,2957,0.02314,0.03528
2004,5th Quintile,No,0.97079,2882,2957,0.96472,0.97686
2005,1st Quintile,Yes,0.03839,78,1971,0.02991,0.04688
2005,1st Quintile,No,0.96161,1893,1971,0.95312,0.97009
2005,2nd Quintile,Yes,0.05285,98,2068,0.04321,0.06250
2005,2nd Quintile,No,0.94715,1970,2068,0.93750,0.95679
2005,3rd Quintile,Yes,0.04512,88,2099,0.03624,0.05401
2005,3rd Quintile,No,0.95488,2011,2099,0.94599,0.96376
2005,4th Quintile,Yes,0.04582,94,2213,0.03711,0.05454
2005,4th Quintile,No,0.95418,2119,2213,0.94546,0.96289
2005,5th Quintile,Yes,0.02450,65,2845,0.01882,0.03019
2005,5th Quintile,No,0.97550,2780,2845,0.96981,0.98118
2006,1st Quintile,Yes,0.03270,66,2096,0.02508,0.04031
2006,1st Quintile,No,0.96730,2030,2096,0.95969,0.97492
2006,2nd Quintile,Yes,0.06588,138,2222,0.05556,0.07620
2006,2nd Quintile,No,0.93412,2084,2222,0.92380,0.94444
2006,3rd Quintile,Yes,0.04803,109,2387,0.03945,0.05661
2006,3rd Quintile,No,0.95197,2278,2387,0.94339,0.96055
2006,4th Quintile,Yes,0.04658,111,2493,0.03831,0.05486
2006,4th Quintile,No,0.95342,2382,2493,0.94514,0.96169
2006,5th Quintile,Yes,0.02655,73,3061,0.02086,0.03225
2006,5th Quintile,No,0.97345,2988,3061,0.96775,0.97914
2007,1st Quintile,Yes,0.03673,71,1960,0.02840,0.04506
2007,1st Quintile,No,0.96327,1889,1960,0.95494,0.97160
2007,2nd Quintile,Yes,0.05979,113,2110,0.04967,0.06990
2007,2nd Quintile,No,0.94021,1997,2110,0.93010,0.95033
2007,3rd Quintile,Yes,0.04477,99,2215,0.03616,0.05339
2007,3rd Quintile,No,0.95523,2116,2215,0.94661,0.96384
2007,4th Quintile,Yes,0.04465,105,2333,0.03627,0.05303
2007,4th Quintile,No,0.95535,2228,2333,0.94697,0.96373
2007,5th Quintile,Yes,0.02830,69,2831,0.02219,0.03441
2007,5th Quintile,No,0.97077,2762,2831,0.96457,0.97698
2008,1st Quintile,Yes,0.03597,65,1873,0.02754,0.04441
2008,1st Quintile,No,0.96403,1808,1873,0.95559,0.97246
2008,2nd Quintile,Yes,0.05139,98,1971,0.04164,0.06114
2008,2nd Quintile,No,0.94781,1873,1971,0.93799,0.95763
2008,3rd Quintile,Yes,0.04574,87,2167,0.03694,0.05454
2008,3rd Quintile,No,0.95426,2080,2167,0.94546,0.96306
2008,4th Quintile,Yes,0.04590,94,2113,0.03697,0.05482
2008,4th Quintile,No,0.95270,2019,2113,0.94365,0.96176
2008,5th Quintile,Yes,0.03049,65,2694,0.02400,0.03699
2008,5th Quintile,No,0.96951,2629,2694,0.96301,0.97600
2009,1st Quintile,Yes,0.05034,81,1794,0.04022,0.06047
2009,1st Quintile,No,0.94966,1713,1794,0.93953,0.95978
2009,2nd Quintile,Yes,0.05585,109,1886,0.04548,0.06622
2009,2nd Quintile,No,0.94415,1777,1886,0.93378,0.95452
2009,3rd Quintile,Yes,0.04278,83,1949,0.03379,0.05176
2009,3rd Quintile,No,0.95722,1866,1949,0.94824,0.96621
2009,4th Quintile,Yes,0.04109,85,2061,0.03251,0.04966
2009,4th Quintile,No,0.95891,1976,2061,0.95034,0.96749
2009,5th Quintile,Yes,0.02731,53,2483,0.02090,0.03373
2009,5th Quintile,No,0.97269,2430,2483,0.96627,0.97910
2010,1st Quintile,Yes,0.04032,119,3148,0.03345,0.04719
2010,1st Quintile,No,0.95968,3029,3148,0.95281,0.96655
2010,2nd Quintile,Yes,0.05646,114,2920,0.04809,0.06483
2010,2nd Quintile,No,0.94354,2806,2920,0.93517,0.95191
2010,3rd Quintile,Yes,0.04096,102,2557,0.03328,0.04865
2010,3rd Quintile,No,0.95904,2455,2557,0.95135,0.96672
2010,4th Quintile,Yes,0.04251,74,2457,0.03453,0.05049
2010,4th Quintile,No,0.95749,2383,2457,0.94951,0.96547
2010,5th Quintile,Yes,0.02660,58,2713,0.02055,0.03266
2010,5th Quintile,No,0.97340,2655,2713,0.96734,0.97945
2011,1st Quintile,Yes,0.03463,125,3706,0.02875,0.04052
2011,1st Quintile,No,0.96537,3581,3706,0.95948,0.97125
2011,2nd Quintile,Yes,0.04742,140,3411,0.04029,0.05456
2011,2nd Quintile,No,0.95246,3271,3411,0.94531,0.95960
2011,3rd Quintile,Yes,0.03758,116,3223,0.03102,0.04415
2011,3rd Quintile,No,0.96242,3107,3223,0.95585,0.96898
2011,4th Quintile,Yes,0.03999,108,3063,0.03305,0.04693
2011,4th Quintile,No,0.96001,2955,3063,0.95307,0.96695
2011,5th Quintile,Yes,0.02710,68,3196,0.02147,0.03273
2011,5th Quintile,No,0.97290,3128,3196,0.96727,0.97853
2012,1st Quintile,Yes,0.04332,122,3598,0.03666,0.04997
2012,1st Quintile,No,0.95668,3476,3598,0.95003,0.96334
2012,2nd Quintile,Yes,0.05658,163,3310,0.04871,0.06445
2012,2nd Quintile,No,0.94342,3147,3310,0.93555,0.95129
2012,3rd Quintile,Yes,0.04314,122,3202,0.03610,0.05017
2012,3rd Quintile,No,0.95686,3080,3202,0.94983,0.96390
2012,4th Quintile,Yes,0.03608,98,3029,0.02943,0.04272
2012,4th Quintile,No,0.96392,2931,3029,0.95728,0.97057
2012,5th Quintile,Yes,0.02281,61,3158,0.01760,0.02802
2012,5th Quintile,No,0.97719,3097,3158,0.97198,0.98240
2013,1st Quintile,Yes,0.04589,171,4240,0.03959,0.05219
2013,1st Quintile,No,0.95411,4069,4240,0.94781,0.96041
2013,2nd Quintile,Yes,0.05557,172,3858,0.04834,0.06280
2013,2nd Quintile,No,0.94443,3686,3858,0.93720,0.95166
2013,3rd Quintile,Yes,0.04246,132,3388,0.03567,0.04925
2013,3rd Quintile,No,0.95754,3256,3388,0.95075,0.96433
2013,4th Quintile,Yes,0.03080,94,3114,0.02473,0.03687
2013,4th Quintile,No,0.96920,3020,3114,0.96313,0.97527
2013,5th Quintile,Yes,0.02715,80,3262,0.02157,0.03273
2013,5th Quintile,No,0.97285,3182,3262,0.96727,0.97843
2014,1st Quintile,Yes,0.04333,150,3453,0.03654,0.05012
2014,1st Quintile,No,0.95667,3303,3453,0.94988,0.96346
2014,2nd Quintile,Yes,0.06332,172,3315,0.05503,0.07161
2014,2nd Quintile,No,0.93668,3143,3315,0.92839,0.94497
2014,3rd Quintile,Yes,0.04911,133,3108,0.04151,0.05671
2014,3rd Quintile,No,0.94987,2975,3108,0.94220,0.95755
2014,4th Quintile,Yes,0.03191,106,2926,0.02554,0.03828
2014,4th Quintile,No,0.96788,2820,2926,0.96149,0.97427
2014,5th Quintile,Yes,0.02296,71,3019,0.01762,0.02831
2014,5th Quintile,No,0.97704,2948,3019,0.97169,0.98238
2015,1st Quintile,Yes,0.03824,135,3551,0.03193,0.04454
2015,1st Quintile,No,0.96176,3416,3551,0.95546,0.96807
2015,2nd Quintile,Yes,0.05724,165,3383,0.04941,0.06507
2015,2nd Quintile,No,0.94276,3218,3383,0.93493,0.95059
2015,3rd Quintile,Yes,0.04941,125,3018,0.04168,0.05714
2015,3rd Quintile,No,0.95059,2893,3018,0.94286,0.95832
2015,4th Quintile,Yes,0.03403,87,2830,0.02735,0.04071
2015,4th Quintile,No,0.96597,2743,2830,0.95929,0.97265
2015,5th Quintile,Yes,0.02369,67,2976,0.01823,0.02916
2015,5th Quintile,No,0.97631,2909,2976,0.97084,0.98177
2016,1st Quintile,Yes,0.03913,303,5195,0.03386,0.04440
2016,1st Quintile,No,0.96073,4892,5195,0.95544,0.96601
2016,2nd Quintile,Yes,0.06197,158,3040,0.05340,0.07054
2016,2nd Quintile,No,0.93718,2882,3040,0.92856,0.94581
2016,3rd Quintile,Yes,0.05739,132,2743,0.04869,0.06610
2016,3rd Quintile,No,0.94261,2611,2743,0.93390,0.95131
2016,4th Quintile,Yes,0.04149,92,2662,0.03392,0.04907
2016,4th Quintile,No,0.95851,2570,2662,0.95093,0.96608
2016,5th Quintile,Yes,0.02511,70,2755,0.01927,0.03095
2016,5th Quintile,No,0.97489,2685,2755,0.96905,0.98073
2017,1st Quintile,Yes,0.04390,289,5644,0.03855,0.04925
2017,1st Quintile,No,0.95563,5355,5644,0.95026,0.96100
2017,2nd Quintile,Yes,0.06721,174,3329,0.05871,0.07572
2017,2nd Quintile,No,0.93176,3155,3329,0.92320,0.94033
2017,3rd Quintile,Yes,0.04492,129,3106,0.03764,0.05221
2017,3rd Quintile,No,0.95453,2977,3106,0.94720,0.96186
2017,4th Quintile,Yes,0.04661,112,3047,0.03912,0.05410
2017,4th Quintile,No,0.95339,2935,3047,0.94590,0.96088
2017,5th Quintile,Yes,0.02462,76,3095,0.01916,0.03008
2017,5th Quintile,No,0.97538,3019,3095,0.96992,0.98084
2018,1st Quintile,Yes,0.04308,322,5367,0.03765,0.04851
2018,1st Quintile,No,0.95670,5045,5367,0.95125,0.96214
2018,2nd Quintile,Yes,0.05908,197,3449,0.05121,0.06695
2018,2nd Quintile,No,0.94092,3252,3449,0.93305,0.94879
2018,3rd Quintile,Yes,0.05503,139,3002,0.04687,0.06319
2018,3rd Quintile,No,0.94497,2863,3002,0.93681,0.95313
2018,4th Quintile,Yes,0.05137,123,2899,0.04333,0.05941
2018,4th Quintile,No,0.94848,2776,2899,0.94043,0.95653
2018,5th Quintile,Yes,0.02836,77,3016,0.02244,0.03429
2018,5th Quintile,No,0.97164,2939,3016,0.96571,0.97756
2019,1st Quintile,Yes,0.04598,268,5046,0.04020,0.05176
2019,1st Quintile,No,0.95395,4778,5046,0.94816,0.95973
2019,2nd Quintile,Yes,0.06530,190,3161,0.05668,0.07391
2019,2nd Quintile,No,0.93470,2971,3161,0.92609,0.94332
2019,3rd Quintile,Yes,0.05654,141,2894,0.04812,0.06496
2019,3rd Quintile,No,0.94346,2753,2894,0.93504,0.95188
2019,4th Quintile,Yes,0.04727,135,2930,0.03958,0.05496
2019,4th Quintile,No,0.95273,2795,2930,0.94504,0.96042
2019,5th Quintile,Yes,0.02582,98,4357,0.02111,0.03053
2019,5th Quintile,No,0.97418,4259,4357,0.96947,0.97889
2020,1st Quintile,Yes,0.05152,297,6081,0.04597,0.05708
2020,1st Quintile,No,0.94742,5784,6081,0.94180,0.95303
2020,2nd Quintile,Yes,0.06485,184,3500,0.05669,0.07301
2020,2nd Quintile,No,0.93330,3316,3500,0.92504,0.94157
2020,3rd Quintile,Yes,0.05737,138,2894,0.04889,0.06584
2020,3rd Quintile,No,0.93873,2756,2894,0.92999,0.94747
2020,4th Quintile,Yes,0.04864,119,2871,0.04077,0.05651
2020,4th Quintile,No,0.94874,2752,2871,0.94067,0.95681
2020,5th Quintile,Yes,0.02915,90,3751,0.02377,0.03453
2020,5th Quintile,No,0.96980,3661,3751,0.96432,0.97528
2021,1st Quintile,Yes,0.06114,249,3238,0.05288,0.06939
2021,1st Quintile,No,0.93750,2989,3238,0.92916,0.94584
2021,2nd Quintile,Yes,0.06686,165,2372,0.05680,0.07691
2021,2nd Quintile,No,0.93010,2207,2372,0.91984,0.94036
2021,3rd Quintile,Yes,0.05996,110,2071,0.04973,0.07019
2021,3rd Quintile,No,0.93862,1961,2071,0.92828,0.94896
2021,4th Quintile,Yes,0.05244,87,2099,0.04290,0.06198
2021,4th Quintile,No,0.94712,2012,2099,0.93755,0.95670
2021,5th Quintile,Yes,0.04534,72,2726,0.03753,0.05315
2021,5th Quintile,No,0.95380,2654,2726,0.94592,0.96168
2022,1st Quintile,Yes,0.04998,273,5243,0.04409,0.05588
2022,1st Quintile,No,0.94178,4970,5243,0.93544,0.94812
2022,2nd Quintile,Yes,0.06165,213,4171,0.05435,0.06895
2022,2nd Quintile,No,0.93643,3958,4171,0.92903,0.94384
2022,3rd Quintile,Yes,0.06502,188,3479,0.05683,0.07322
2022,3rd Quintile,No,0.93268,3291,3479,0.92435,0.94101
2022,4th Quintile,Yes,0.05975,133,3448,0.05184,0.06766
2022,4th Quintile,No,0.93703,3315,3448,0.92893,0.94514
2022,5th Quintile,Yes,0.04131,99,3836,0.03501,0.04760
2022,5th Quintile,No,0.95718,3737,3836,0.95078,0.96359
