year,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,West,No,0.94910,14833,15456,0.94564,0.95257
2020,East,Yes,0.05841,205,3834,0.05098,0.06583
2020,East,No,0.94093,3629,3834,0.93346,0.94839
2021,West,Yes,0.05551,524,9966,0.05101,0.06000
2021,West,No,0.94310,9442,9966,0.93856,0.94765
2021,East,Yes,0.06452,160,2586,0.05505,0.07399
2021,East,No,0.93390,2426,2586,0.92432,0.94347
2022,West,Yes,0.05368,691,16017,0.05019,0.05717
2022,West,No,0.94301,15326,16017,0.93942,0.94660
2022,East,Yes,0.06312,220,4371,0.05591,0.07034
2022,East,No,0.93066,4151,4371,0.92312,0.93819
