year,quintil_oecd_hh,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,2nd Quintile,West,Yes,0.03333,59,1498,0.02424,0.04242
2011,2nd Quintile,West,No,0.85835,1439,1498,0.84069,0.87602
2011,2nd Quintile,East,Yes,0.05198,43,741,0.03598,0.06797
2011,2nd Quintile,East,No,0.88170,698,741,0.85844,0.90497
2011,3rd Quintile,West,Yes,0.03672,67,1721,0.02783,0.04561
2011,3rd Quintile,West,No,0.89105,1654,1721,0.87633,0.90578
2011,3rd Quintile,East,Yes,0.04722,35,654,0.03095,0.06348
2011,3rd Quintile,East,No,0.90682,619,654,0.88452,0.92911
2011,4th Quintile,West,Yes,0.04055,77,1980,0.03186,0.04924
2011,4th Quintile,West,No,0.90808,1903,1980,0.89535,0.92081
2011,4th Quintile,East,No,0.91626,439,439,0.89032,0.94220
2011,5th Quintile,West,Yes,0.01907,55,2451,0.01366,0.02449
2011,5th Quintile,West,No,0.94664,2396,2451,0.93774,0.95554
2011,5th Quintile,East,No,0.94259,317,317,0.91694,0.96824
2016,1st Quintile,West,Yes,0.02877,78,2276,0.02190,0.03564
2016,1st Quintile,West,No,0.94283,2198,2276,0.93329,0.95237
2016,1st Quintile,East,Yes,0.05723,46,820,0.04132,0.07314
2016,1st Quintile,East,No,0.92287,774,820,0.90460,0.94114
2016,2nd Quintile,West,Yes,0.02646,67,2242,0.01981,0.03310
2016,2nd Quintile,West,No,0.97354,2175,2242,0.96690,0.98019
2016,2nd Quintile,East,Yes,0.04242,38,799,0.02844,0.05641
2016,2nd Quintile,East,No,0.95758,761,799,0.94359,0.97156
2016,3rd Quintile,West,Yes,0.02810,69,2071,0.02098,0.03522
2016,3rd Quintile,West,No,0.97190,2002,2071,0.96478,0.97902
2016,3rd Quintile,East,No,0.96614,642,642,0.95214,0.98014
2016,4th Quintile,West,Yes,0.02534,54,2205,0.01878,0.03190
2016,4th Quintile,West,No,0.97466,2151,2205,0.96810,0.98122
2016,4th Quintile,East,No,0.96198,440,440,0.94409,0.97987
2016,5th Quintile,West,Yes,0.01385,39,2429,0.00920,0.01850
2016,5th Quintile,West,No,0.98615,2390,2429,0.98150,0.99080
2016,5th Quintile,East,No,0.97898,318,318,0.96319,0.99477
2021,1st Quintile,West,Yes,0.01999,36,1508,0.01292,0.02706
2021,1st Quintile,West,No,0.93556,1472,1508,0.92316,0.94796
2021,1st Quintile,East,No,0.94043,516,516,0.91999,0.96087
2021,2nd Quintile,West,Yes,0.02403,40,1617,0.01657,0.03150
2021,2nd Quintile,West,No,0.96871,1577,1617,0.96022,0.97720
2021,2nd Quintile,East,No,0.95112,542,542,0.93295,0.96929
2021,3rd Quintile,West,Yes,0.01472,36,1549,0.00872,0.02072
2021,3rd Quintile,West,No,0.98363,1513,1549,0.97731,0.98995
2021,3rd Quintile,East,No,0.97868,459,459,0.96546,0.99191
2021,4th Quintile,West,Yes,0.02511,46,1688,0.01764,0.03257
2021,4th Quintile,West,No,0.97407,1642,1688,0.96649,0.98165
2021,4th Quintile,East,No,0.97230,379,379,0.95575,0.98884
2021,5th Quintile,West,No,0.98617,2262,2262,0.98136,0.99099
2021,5th Quintile,East,No,0.99134,416,416,0.98242,1.00025
