year,quintil_oecd_hh,regtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,2nd Quintile,Urban regions,No,0.87366,1276,1332,0.85582,0.89151
2011,2nd Quintile,Rural regions,Yes,0.04501,46,907,0.03151,0.05851
2011,2nd Quintile,Rural regions,No,0.84467,861,907,0.82108,0.86826
2011,3rd Quintile,Urban regions,Yes,0.03599,55,1450,0.02640,0.04558
2011,3rd Quintile,Urban regions,No,0.89296,1395,1450,0.87704,0.90888
2011,3rd Quintile,Rural regions,Yes,0.04423,47,925,0.03097,0.05748
2011,3rd Quintile,Rural regions,No,0.89686,878,925,0.87725,0.91647
2011,4th Quintile,Urban regions,Yes,0.03933,61,1637,0.02991,0.04875
2011,4th Quintile,Urban regions,No,0.91042,1576,1637,0.89658,0.92426
2011,4th Quintile,Rural regions,Yes,0.04252,33,799,0.02852,0.05652
2011,4th Quintile,Rural regions,No,0.90638,766,799,0.88617,0.92660
2011,5th Quintile,Urban regions,Yes,0.01764,45,2064,0.01196,0.02333
2011,5th Quintile,Urban regions,No,0.94626,2019,2064,0.93653,0.95599
2011,5th Quintile,Rural regions,No,0.94657,694,694,0.92982,0.96331
2016,1st Quintile,Urban regions,Yes,0.02971,71,1987,0.02224,0.03718
2016,1st Quintile,Urban regions,No,0.94252,1916,1987,0.93228,0.95276
2016,1st Quintile,Rural regions,Yes,0.04803,53,1109,0.03544,0.06062
2016,1st Quintile,Rural regions,No,0.92862,1056,1109,0.91346,0.94378
2016,2nd Quintile,Urban regions,Yes,0.02519,56,1849,0.01805,0.03233
2016,2nd Quintile,Urban regions,No,0.97481,1793,1849,0.96767,0.98195
2016,2nd Quintile,Rural regions,Yes,0.03895,49,1192,0.02796,0.04994
2016,2nd Quintile,Rural regions,No,0.96105,1143,1192,0.95006,0.97204
2016,3rd Quintile,Urban regions,Yes,0.03240,61,1725,0.02404,0.04075
2016,3rd Quintile,Urban regions,No,0.96760,1664,1725,0.95925,0.97596
2016,3rd Quintile,Rural regions,Yes,0.02350,38,1018,0.01419,0.03281
2016,3rd Quintile,Rural regions,No,0.97650,980,1018,0.96719,0.98581
2016,4th Quintile,Urban regions,Yes,0.02636,45,1761,0.01888,0.03385
2016,4th Quintile,Urban regions,No,0.97364,1716,1761,0.96615,0.98112
2016,4th Quintile,Rural regions,No,0.97142,875,875,0.96037,0.98246
2016,5th Quintile,Urban regions,No,0.98591,2021,2021,0.98077,0.99105
2016,5th Quintile,Rural regions,No,0.98437,687,687,0.97509,0.99365
2021,1st Quintile,Urban regions,No,0.93534,1324,1324,0.92209,0.94860
2021,1st Quintile,Rural regions,No,0.93887,663,663,0.92062,0.95712
2021,2nd Quintile,Urban regions,Yes,0.02314,31,1332,0.01506,0.03121
2021,2nd Quintile,Urban regions,No,0.96811,1301,1332,0.95867,0.97755
2021,2nd Quintile,Rural regions,Yes,0.03708,34,852,0.02439,0.04978
2021,2nd Quintile,Rural regions,No,0.95967,818,852,0.94645,0.97289
2021,3rd Quintile,Urban regions,No,0.98651,1275,1275,0.98017,0.99284
2021,3rd Quintile,Rural regions,No,0.97519,697,697,0.96363,0.98675
2021,4th Quintile,Urban regions,Yes,0.02167,35,1396,0.01403,0.02931
2021,4th Quintile,Urban regions,No,0.97723,1361,1396,0.96941,0.98506
2021,4th Quintile,Rural regions,No,0.96587,660,660,0.95201,0.97973
2021,5th Quintile,Urban regions,No,0.98919,1999,1999,0.98466,0.99373
2021,5th Quintile,Rural regions,No,0.97893,679,679,0.96811,0.98974
