year,bula_h,regtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Lower Saxony,Rural regions,Yes,0.07456,41,548,0.05254,0.09657
2006,Lower Saxony,Rural regions,No,0.92544,507,548,0.90343,0.94746
2006,Bremen,Urban regions,No,0.89655,84,84,0.83103,0.96207
2006,North Rhine-Westphalia,Urban regions,Yes,0.04121,116,2474,0.03338,0.04905
2006,North Rhine-Westphalia,Urban regions,No,0.95879,2358,2474,0.95095,0.96662
2006,North Rhine-Westphalia,Rural regions,No,0.96874,61,61,0.92472,1.01277
2006,Hesse,Urban regions,No,0.96599,663,663,0.95219,0.97980
2006,Hesse,Rural regions,No,0.94361,145,145,0.90593,0.98129
2006,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94776,522,522,0.92866,0.96687
2006,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92489,163,163,0.88430,0.96548
2006,Baden-Wuerttemberg,Urban regions,Yes,0.04771,64,1348,0.03633,0.05910
2006,Baden-Wuerttemberg,Urban regions,No,0.95229,1284,1348,0.94090,0.96367
2006,Baden-Wuerttemberg,Rural regions,No,0.90058,115,115,0.84565,0.95551
2006,Bavaria,Urban regions,No,0.96596,837,837,0.95367,0.97826
2006,Bavaria,Rural regions,Yes,0.03362,34,863,0.02159,0.04566
2006,Bavaria,Rural regions,No,0.96638,829,863,0.95434,0.97841
2006,Berlin,Urban regions,No,0.94602,459,459,0.92533,0.96672
2006,Brandenburg,Urban regions,No,0.98674,45,45,0.95294,1.02054
2006,Brandenburg,Rural regions,Yes,0.08087,38,486,0.05660,0.10513
2006,Brandenburg,Rural regions,No,0.91913,448,486,0.89487,0.94340
2006,Mecklenburg-Western Pomerania,Urban regions,No,0.94269,39,39,0.86879,1.01659
2006,Mecklenburg-Western Pomerania,Rural regions,No,0.91958,242,242,0.88524,0.95391
2006,Saxony,Urban regions,Yes,0.04997,35,455,0.02992,0.07001
2006,Saxony,Urban regions,No,0.95003,420,455,0.92999,0.97008
2006,Saxony,Rural regions,Yes,0.08329,35,422,0.05689,0.10968
2006,Saxony,Rural regions,No,0.91671,387,422,0.89032,0.94311
2006,Saxony-Anhalt,Urban regions,No,0.93771,87,87,0.88663,0.98879
2006,Saxony-Anhalt,Rural regions,Yes,0.11455,37,396,0.08314,0.14596
2006,Saxony-Anhalt,Rural regions,No,0.88545,359,396,0.85404,0.91686
2006,Thuringa,Urban regions,No,0.93430,137,137,0.89266,0.97594
2006,Thuringa,Rural regions,Yes,0.06059,31,368,0.03618,0.08500
2006,Thuringa,Rural regions,No,0.93941,337,368,0.91500,0.96382
2011,Schleswig-Holstein,Urban regions,No,0.90077,117,117,0.84636,0.95518
2011,Schleswig-Holstein,Rural regions,No,0.89823,281,281,0.86281,0.93364
2011,Hamburg,Urban regions,No,0.92390,194,194,0.88649,0.96131
2011,Lower Saxony,Urban regions,No,0.88082,495,495,0.85225,0.90939
2011,Lower Saxony,Rural regions,Yes,0.06837,36,574,0.04771,0.08904
2011,Lower Saxony,Rural regions,No,0.84975,538,574,0.82049,0.87901
2011,Bremen,Urban regions,No,0.87532,79,79,0.80200,0.94863
2011,North Rhine-Westphalia,Urban regions,Yes,0.03638,95,2287,0.02870,0.04405
2011,North Rhine-Westphalia,Urban regions,No,0.88659,2192,2287,0.87359,0.89958
2011,North Rhine-Westphalia,Rural regions,No,0.89911,61,61,0.82290,0.97532
2011,Hesse,Urban regions,No,0.89125,657,657,0.86742,0.91507
2011,Hesse,Rural regions,No,0.88874,148,148,0.83790,0.93957
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.88803,504,504,0.86048,0.91559
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92851,179,179,0.89066,0.96636
2011,Baden-Wuerttemberg,Urban regions,Yes,0.03191,45,1254,0.02218,0.04164
2011,Baden-Wuerttemberg,Urban regions,No,0.88897,1209,1254,0.87157,0.90636
2011,Baden-Wuerttemberg,Rural regions,No,0.89046,143,143,0.83909,0.94183
2011,Bavaria,Urban regions,No,0.92170,882,882,0.90396,0.93944
2011,Bavaria,Rural regions,Yes,0.02925,31,932,0.01843,0.04008
2011,Bavaria,Rural regions,No,0.87597,901,932,0.85479,0.89714
2011,Berlin,Urban regions,No,0.89752,496,496,0.87080,0.92424
2011,Brandenburg,Urban regions,No,0.84854,42,42,0.73880,0.95827
2011,Brandenburg,Rural regions,No,0.88767,452,452,0.85853,0.91682
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.89315,268,268,0.85610,0.93021
2011,Saxony,Urban regions,No,0.88668,404,404,0.85573,0.91763
2011,Saxony,Rural regions,No,0.88566,358,358,0.85264,0.91867
2011,Saxony-Anhalt,Urban regions,No,0.94585,123,123,0.90569,0.98601
2011,Saxony-Anhalt,Rural regions,No,0.83750,353,353,0.79896,0.87604
2011,Thuringa,Urban regions,No,0.85390,161,161,0.79917,0.90863
2011,Thuringa,Rural regions,No,0.89733,329,329,0.86448,0.93018
2016,Schleswig-Holstein,Urban regions,No,0.95762,135,135,0.92352,0.99173
2016,Schleswig-Holstein,Rural regions,No,0.98270,353,353,0.96908,0.99632
2016,Hamburg,Urban regions,No,0.96681,256,256,0.94483,0.98880
2016,Lower Saxony,Urban regions,No,0.97084,552,552,0.95679,0.98489
2016,Lower Saxony,Rural regions,Yes,0.03973,31,781,0.02602,0.05344
2016,Lower Saxony,Rural regions,No,0.95572,750,781,0.94128,0.97015
2016,Bremen,Urban regions,No,0.96054,102,102,0.92257,0.99851
2016,North Rhine-Westphalia,Urban regions,Yes,0.02875,82,2855,0.02262,0.03489
2016,North Rhine-Westphalia,Urban regions,No,0.96520,2773,2855,0.95848,0.97192
2016,North Rhine-Westphalia,Rural regions,No,0.95458,49,49,0.89568,1.01349
2016,Hesse,Urban regions,No,0.96342,775,775,0.95019,0.97664
2016,Hesse,Rural regions,No,0.98209,177,177,0.96249,1.00168
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.04166,32,624,0.02597,0.05736
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94893,592,624,0.93164,0.96621
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.97310,217,217,0.95153,0.99468
2016,Baden-Wuerttemberg,Urban regions,No,0.98223,1425,1425,0.97537,0.98909
2016,Baden-Wuerttemberg,Rural regions,No,0.96425,169,169,0.93617,0.99232
2016,Bavaria,Urban regions,No,0.98483,1077,1077,0.97752,0.99213
2016,Bavaria,Rural regions,No,0.98225,1178,1178,0.97471,0.98979
2016,Berlin,Urban regions,No,0.97766,600,600,0.96583,0.98950
2016,Brandenburg,Urban regions,No,0.98998,43,43,0.95985,1.02010
2016,Brandenburg,Rural regions,No,0.96166,496,496,0.94474,0.97858
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.90834,42,42,0.82001,0.99666
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.95144,271,271,0.92580,0.97708
2016,Saxony,Urban regions,No,0.94502,447,447,0.92387,0.96618
2016,Saxony,Rural regions,No,0.95932,382,382,0.93949,0.97916
2016,Saxony-Anhalt,Urban regions,No,0.97924,123,123,0.95394,1.00454
2016,Saxony-Anhalt,Rural regions,No,0.92517,363,363,0.89806,0.95227
2016,Thuringa,Urban regions,No,0.95684,173,173,0.92647,0.98721
2016,Thuringa,Rural regions,No,0.92635,336,336,0.89838,0.95432
2021,Schleswig-Holstein,Urban regions,No,0.95862,150,150,0.92664,0.99060
2021,Schleswig-Holstein,Rural regions,No,0.96306,262,262,0.94018,0.98594
2021,Hamburg,Urban regions,No,0.96968,265,265,0.94900,0.99036
2021,Lower Saxony,Urban regions,No,0.97179,467,467,0.95675,0.98682
2021,Lower Saxony,Rural regions,No,0.96167,568,568,0.94587,0.97747
2021,Bremen,Urban regions,No,0.98587,79,79,0.95968,1.01206
2021,North Rhine-Westphalia,Urban regions,Yes,0.01599,49,2234,0.01079,0.02120
2021,North Rhine-Westphalia,Urban regions,No,0.97135,2185,2234,0.96443,0.97827
2021,North Rhine-Westphalia,Rural regions,No,0.86280,44,44,0.75996,0.96564
2021,Hesse,Urban regions,No,0.97037,547,547,0.95615,0.98460
2021,Hesse,Rural regions,No,0.96397,138,138,0.93276,0.99518
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95220,404,404,0.93137,0.97303
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.98784,118,118,0.96798,1.00770
2021,Baden-Wuerttemberg,Urban regions,No,0.97439,1079,1079,0.96496,0.98382
2021,Baden-Wuerttemberg,Rural regions,No,0.97070,113,113,0.93946,1.00193
2021,Bavaria,Urban regions,No,0.98329,867,867,0.97476,0.99183
2021,Bavaria,Rural regions,No,0.97065,846,846,0.95927,0.98203
2021,Berlin,Urban regions,No,0.95997,543,543,0.94346,0.97647
2021,Brandenburg,Urban regions,No,0.98191,39,39,0.93953,1.02429
2021,Brandenburg,Rural regions,No,0.97054,392,392,0.95378,0.98730
2021,Mecklenburg-Western Pomerania,Urban regions,No,0.93872,48,48,0.87015,1.00729
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.96325,200,200,0.93711,0.98939
2021,Saxony,Urban regions,No,0.97868,387,387,0.96427,0.99309
2021,Saxony,Rural regions,No,0.96421,330,330,0.94414,0.98429
2021,Saxony-Anhalt,Urban regions,No,0.96318,79,79,0.92138,1.00497
2021,Saxony-Anhalt,Rural regions,No,0.95049,278,278,0.92494,0.97603
2021,Thuringa,Urban regions,No,0.97816,135,135,0.95342,1.00291
2021,Thuringa,Rural regions,No,0.92861,232,232,0.89541,0.96181
