year,bula_h,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Schleswig-Holstein,West,No,0.96864,375,375,0.95097,0.98630
2006,Hamburg,West,No,0.96974,189,189,0.94525,0.99423
2006,Lower Saxony,West,Yes,0.06861,66,1074,0.05349,0.08374
2006,Lower Saxony,West,No,0.93139,1008,1074,0.91626,0.94651
2006,Bremen,West,No,0.89655,84,84,0.83103,0.96207
2006,North Rhine-Westphalia,West,Yes,0.04093,119,2538,0.03322,0.04864
2006,North Rhine-Westphalia,West,No,0.95907,2419,2538,0.95136,0.96678
2006,Hesse,West,Yes,0.03808,38,846,0.02518,0.05098
2006,Hesse,West,No,0.96192,808,846,0.94902,0.97482
2006,"Rhineland-Palatinate, Saarland",West,Yes,0.05763,42,727,0.04068,0.07458
2006,"Rhineland-Palatinate, Saarland",West,No,0.94237,685,727,0.92542,0.95932
2006,Baden-Wuerttemberg,West,Yes,0.05241,74,1473,0.04103,0.06380
2006,Baden-Wuerttemberg,West,No,0.94759,1399,1473,0.93620,0.95897
2006,Bavaria,West,Yes,0.03384,64,1730,0.02531,0.04236
2006,Bavaria,West,No,0.96616,1666,1730,0.95764,0.97469
2006,Berlin,West,No,0.94367,261,261,0.91565,0.97170
2006,Berlin,East,No,0.94957,198,198,0.91901,0.98013
2006,Brandenburg,East,Yes,0.07545,39,532,0.05298,0.09791
2006,Brandenburg,East,No,0.92455,493,532,0.90209,0.94702
2006,Mecklenburg-Western Pomerania,East,No,0.92227,281,281,0.89090,0.95363
2006,Saxony,East,Yes,0.06659,70,877,0.05008,0.08310
2006,Saxony,East,No,0.93341,807,877,0.91690,0.94992
2006,Saxony-Anhalt,East,Yes,0.10397,46,492,0.07697,0.13097
2006,Saxony-Anhalt,East,No,0.89603,446,492,0.86903,0.92303
2006,Thuringa,East,Yes,0.06189,41,515,0.04106,0.08272
2006,Thuringa,East,No,0.93811,474,515,0.91728,0.95894
2011,Schleswig-Holstein,West,No,0.89898,398,398,0.86934,0.92862
2011,Hamburg,West,No,0.92390,194,194,0.88649,0.96131
2011,Lower Saxony,West,Yes,0.05682,54,1087,0.04305,0.07059
2011,Lower Saxony,West,No,0.86476,1033,1087,0.84442,0.88510
2011,Bremen,West,No,0.87532,79,79,0.80200,0.94863
2011,North Rhine-Westphalia,West,Yes,0.03658,100,2353,0.02900,0.04417
2011,North Rhine-Westphalia,West,No,0.88692,2253,2353,0.87412,0.89972
2011,Hesse,West,No,0.89078,805,805,0.86922,0.91234
2011,"Rhineland-Palatinate, Saarland",West,No,0.89937,683,683,0.87679,0.92195
2011,Baden-Wuerttemberg,West,Yes,0.02990,49,1401,0.02098,0.03882
2011,Baden-Wuerttemberg,West,No,0.88912,1352,1401,0.87268,0.90557
2011,Bavaria,West,Yes,0.02314,56,1839,0.01626,0.03001
2011,Bavaria,West,No,0.89904,1783,1839,0.88526,0.91281
2011,Berlin,West,No,0.89839,281,281,0.86300,0.93378
2011,Berlin,East,No,0.89625,215,215,0.85539,0.93710
2011,Brandenburg,East,No,0.88470,494,494,0.85651,0.91289
2011,Mecklenburg-Western Pomerania,East,No,0.87973,297,297,0.84267,0.91679
2011,Saxony,East,Yes,0.04973,46,808,0.03473,0.06472
2011,Saxony,East,No,0.88616,762,808,0.86425,0.90807
2011,Saxony-Anhalt,East,Yes,0.06613,33,509,0.04452,0.08774
2011,Saxony-Anhalt,East,No,0.86266,476,509,0.83272,0.89259
2011,Thuringa,East,No,0.88319,490,490,0.85472,0.91166
2016,Schleswig-Holstein,West,No,0.97553,488,488,0.96181,0.98925
2016,Hamburg,West,No,0.96681,256,256,0.94483,0.98880
2016,Lower Saxony,West,Yes,0.03163,46,1348,0.02228,0.04097
2016,Lower Saxony,West,No,0.96210,1302,1348,0.95190,0.97230
2016,Bremen,West,No,0.96054,102,102,0.92257,0.99851
2016,North Rhine-Westphalia,West,Yes,0.02878,85,2907,0.02270,0.03486
2016,North Rhine-Westphalia,West,No,0.96499,2822,2907,0.95831,0.97167
2016,Hesse,West,No,0.96701,952,952,0.95566,0.97836
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.03751,39,848,0.02471,0.05030
2016,"Rhineland-Palatinate, Saarland",West,No,0.95466,809,848,0.94065,0.96867
2016,Baden-Wuerttemberg,West,Yes,0.01505,33,1627,0.00913,0.02096
2016,Baden-Wuerttemberg,West,No,0.98051,1594,1627,0.97379,0.98723
2016,Bavaria,West,Yes,0.01326,45,2300,0.00858,0.01794
2016,Bavaria,West,No,0.98355,2255,2300,0.97835,0.98875
2016,Berlin,West,No,0.96911,341,341,0.95072,0.98750
2016,Berlin,East,No,0.98965,259,259,0.97729,1.00200
2016,Brandenburg,East,No,0.96372,539,539,0.94792,0.97952
2016,Mecklenburg-Western Pomerania,East,No,0.94632,313,313,0.92131,0.97133
2016,Saxony,East,Yes,0.04326,36,865,0.02969,0.05682
2016,Saxony,East,No,0.95222,829,865,0.93800,0.96644
2016,Saxony-Anhalt,East,No,0.93775,486,486,0.91625,0.95926
2016,Thuringa,East,Yes,0.05727,35,544,0.03772,0.07681
2016,Thuringa,East,No,0.93534,509,544,0.91466,0.95603
2021,Schleswig-Holstein,West,No,0.96149,412,412,0.94289,0.98010
2021,Hamburg,West,No,0.96968,265,265,0.94900,0.99036
2021,Lower Saxony,West,No,0.96621,1035,1035,0.95520,0.97722
2021,Bremen,West,No,0.98587,79,79,0.95968,1.01206
2021,North Rhine-Westphalia,West,Yes,0.01866,54,2283,0.01311,0.02422
2021,North Rhine-Westphalia,West,No,0.96870,2229,2283,0.96155,0.97584
2021,Hesse,West,No,0.96915,685,685,0.95619,0.98211
2021,"Rhineland-Palatinate, Saarland",West,No,0.95996,522,522,0.94313,0.97680
2021,Baden-Wuerttemberg,West,No,0.97396,1192,1192,0.96492,0.98301
2021,Bavaria,West,Yes,0.01603,34,1747,0.01014,0.02193
2021,Bavaria,West,No,0.97714,1713,1747,0.97012,0.98415
2021,Berlin,West,No,0.96224,348,348,0.94218,0.98230
2021,Berlin,East,No,0.95532,195,195,0.92625,0.98440
2021,Brandenburg,East,No,0.97166,431,431,0.95597,0.98734
2021,Mecklenburg-Western Pomerania,East,No,0.96025,248,248,0.93589,0.98462
2021,Saxony,East,No,0.97109,717,717,0.95882,0.98336
2021,Saxony-Anhalt,East,No,0.95281,357,357,0.93078,0.97484
2021,Thuringa,East,No,0.94624,367,367,0.92313,0.96935
