"year","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1998","5 Einkommensstärkstes Quintil","24.02","19","399","6","10","30","50","90","22.22","25.82","1","99","16","20"
"1999","1 Einkommensschwächstes Quintil","19.12","11.5","581","4","8","24","44","90","17.71","20.53","1","99","12","15"
"1999","2","18.17","14.5","980","4","8","23","40","80","17.2","19.14","1","99","12","15"
"1999","3","17.79","11.5","772","4","8","20","40","80","16.61","18.97","1","99","12","15"
"1999","4","20.41","14.5","724","4","10","25","45","80","19.16","21.66","1","99","15","16"
"1999","5 Einkommensstärkstes Quintil","22.65","17.5","436","5","10","30","46","80","20.87","24.43","1","99","15","20"
"2000","1 Einkommensschwächstes Quintil","18.53","12.5","815","4","8","22","40","80","17.32","19.74","1","99","12","15"
"2000","2","17.59","11.5","1418","5","8","20","36","80","16.76","18.42","1","99","12","15"
"2000","3","18.26","11.5","1285","4","8","20","40","80","17.39","19.13","1","99","12","15"
"2000","4","19.61","14.5","1279","5","8","24","40","99","18.62","20.6","1","99","13","15"
"2000","5 Einkommensstärkstes Quintil","23.16","17.5","821","5","10","30","45","99","21.83","24.49","1","99","15","20"
"2001","1 Einkommensschwächstes Quintil","16.8","11.5","694","5","8","20","32","80","15.66","17.94","1","99","10","15"
"2001","2","16.83","11.5","1306","4","8","20","35","80","16.05","17.61","1","99","12","14"
"2001","3","18.03","11.5","1228","4","8","20","40","90","17.12","18.94","1","99","12","15"
"2001","4","19.95","14.5","1210","5","10","25","40","80","19.01","20.89","1","99","15","15"
"2001","5 Einkommensstärkstes Quintil","22.13","14.5","853","5","10","30","46","95","20.81","23.45","1","99","15","17"
"2002","1 Einkommensschwächstes Quintil","17.76","11.5","543","3","6","20","40","99","16.4","19.12","1","99","10","12"
"2002","2","18.26","12.5","1006","4","7","20","40","99","17.23","19.29","1","99","10","14"
"2002","3","17.83","11.5","1101","5","8","20","40","90","16.9","18.76","1","99","10","14"
"2002","4","18.71","14.5","1384","5","8","24","40","80","17.81","19.61","1","99","12","15"
"2002","5 Einkommensstärkstes Quintil","22.44","14.5","1465","4","9","30","50","99","21.38","23.5","1","99","15","20"
"2003","1 Einkommensschwächstes Quintil","14.74","10.5","494","3","6","20","30","70","13.53","15.95","1","99","10","12"
"2003","2","16.93","11.5","997","4","8","20","36","90","16.02","17.84","1","99","10","12"
"2003","3","17.62","11.5","1063","4","8","20","40","84","16.63","18.61","1","99","10","12"
"2003","4","17.51","12.5","1346","4","8","20","40","80","16.68","18.34","1","99","12","15"
"2003","5 Einkommensstärkstes Quintil","22.33","16.5","1317","5","10","30","48","99","21.24","23.42","1","99","15","20"
"2004","1 Einkommensschwächstes Quintil","16.52","11.5","470","3","6","20","36","80","15.01","18.03","1","99","10","12"
"2004","2","17.1","11.5","970","4","7","20","40","90","16.1","18.1","1","99","11","14"
"2004","3","17.15","11.5","1004","4","7","20","38","80","16.2","18.1","1","99","10","14"
"2004","4","17.47","13.5","1292","5","8","20","40","80","16.6","18.34","1","99","12","14"
"2004","5 Einkommensstärkstes Quintil","22.01","15.5","1340","5","10","30","45","99","20.97","23.05","1","99","15","17"
"2005","1 Einkommensschwächstes Quintil","16.32","9.5","417","4","6","20","40","90","14.82","17.82","1","99","10","12"
"2005","2","17.62","11.5","885","4","8","20","40","95","16.59","18.65","1","99","10","12"
"2005","3","17.03","11.5","909","4","8","20","35","80","16.02","18.04","1","99","10","12"
"2005","4","17.81","11.5","1242","4","8","20","40","90","16.86","18.76","1","99","11","14"
"2005","5 Einkommensstärkstes Quintil","22.72","14.5","1284","5","8","30","50","99","21.63","23.81","1","99","15","15"
"2006","1 Einkommensschwächstes Quintil","16.98","9.5","497","3","7","20","40","99","15.42","18.54","1","99","10","12"
"2006","2","18.42","11.5","973","5","8","24","40","80","17.4","19.44","1","99","12","15"
"2006","3","16.92","11.5","1102","4","8","20","35","80","15.98","17.86","1","99","12","15"
"2006","4","18.53","14.5","1388","4","8","22","40","85","17.68","19.38","1","99","12","15"
"2006","5 Einkommensstärkstes Quintil","22.1","15.5","1414","5","10","30","45","90","21.09","23.11","1","99","15","18"
"2007","1 Einkommensschwächstes Quintil","19.62","11","438","4","8","24","40","99","18.13","21.11","1","99","10","15"
"2007","2","17.83","11.5","925","4","8","22","40","90","16.75","18.91","1","99","10","14"
"2007","3","17.9","11.5","997","4","8","20","40","80","16.94","18.86","1","99","10","13"
"2007","4","18.57","11.5","1365","4","8","20","40","99","17.64","19.5","1","99","12","14"
"2007","5 Einkommensstärkstes Quintil","23.01","15.5","1369","5","10","30","50","90","21.95","24.07","1","99","15","18"
"2008","1 Einkommensschwächstes Quintil","17.77","13","367","3","7","20","32","90","16.08","19.46","1","99","10","15"
"2008","2","16.99","11.5","802","4","7","20","35","80","15.97","18.01","1","99","10","14"
"2008","3","17.13","11.5","982","4","7","20","40","90","16.1","18.16","1","99","10","12"
"2008","4","17.87","11.5","1337","4","8","20","40","90","17.01","18.73","1","99","12","15"
"2008","5 Einkommensstärkstes Quintil","22.16","14.5","1420","5","10","30","45","99","21.17","23.15","1","99","15","16"
"2009","1 Einkommensschwächstes Quintil","15.31","11.5","268","4","8","20","30","50","13.7","16.92","1","90","10","15"
"2009","2","19.3","12.5","665","5","8","20","40","90","17.97","20.63","1","99","10","15"
"2009","3","16.39","9.5","772","4","7","20","35","80","15.31","17.47","1","99","10","14"
"2009","4","18.74","14.5","1179","5","8","24","40","85","17.83","19.65","1","99","12","15"
"2009","5 Einkommensstärkstes Quintil","20.79","14.5","1362","5","9","28","42","90","19.76","21.82","1","99","15","15"
"2010","1 Einkommensschwächstes Quintil","16.51","11","495","4","6","20","30","99","14.98","18.04","1","99","10","12"
"2010","2","16.83","11.5","1114","3","8","20","36","99","15.89","17.77","1","99","11","14"
"2010","3","18.32","11.5","1046","4","8","20","36","99","17.25","19.39","1","99","10","13"
"2010","4","17.64","11.5","1435","4","7","20","40","80","16.76","18.52","1","99","12","14"
"2010","5 Einkommensstärkstes Quintil","20.41","14.5","1635","5","8","25","40","99","19.54","21.28","1","99","15","15"
"2011","1 Einkommensschwächstes Quintil","16.64","9.5","630","4","8","20","30","80","15.42","17.86","1","99","10","12"
"2011","2","17.93","12.5","1364","4","8","20","40","80","17.08","18.78","1","99","12","15"
"2011","3","17.2","11.5","1389","4","8","20","40","80","16.32","18.08","1","99","12","15"
"2011","4","18","11.5","1947","5","8","20","40","80","17.26","18.74","1","99","12","14"
"2011","5 Einkommensstärkstes Quintil","21.16","14.5","2117","5","9","30","45","86","20.39","21.93","1","99","15","15"
"2012","1 Einkommensschwächstes Quintil","16.49","10.5","494","3","6","20","30","84","14.8","18.18","1","99","10","15"
"2012","2","16.83","11.5","1252","4","6","20","32","86","15.95","17.71","1","99","10","12"
"2012","3","16.88","11.5","1426","4","8","20","40","80","16.07","17.69","1","99","10","12"
"2012","4","16.03","9.5","1957","4","6","20","32","80","15.37","16.69","1","99","10","12"
"2012","5 Einkommensstärkstes Quintil","19.5","14.5","2250","5","8","25","40","92","18.76","20.24","1","99","12","15"
"2013","1 Einkommensschwächstes Quintil","14.36","9.5","617","3","5","20","30","80","13.14","15.58","1","90","10","12"
"2013","2","15.83","9.5","1291","3","6","20","30","80","14.98","16.68","1","99","10","12"
"2013","3","16.45","9.5","1459","4","7","20","40","75","15.65","17.25","1","99","11","13"
"2013","4","15.49","9.5","2160","3","6","20","30","80","14.87","16.11","1","99","10","12"
"2013","5 Einkommensstärkstes Quintil","17.89","11.5","2410","4","8","22","40","80","17.23","18.55","1","99","12","15"
"2014","1 Einkommensschwächstes Quintil","16.16","9.5","458","3","7","20","40","70","14.79","17.53","1","99","10","14"
"2014","2","15.54","9.5","1053","4","6","20","40","64","14.63","16.45","1","99","10","12"
"2014","3","15.71","9.5","1261","4","6","20","32","80","14.91","16.51","1","99","10","10"
"2014","4","15.31","9.5","1916","3","6","20","30","70","14.67","15.95","1","99","10","12"
"2014","5 Einkommensstärkstes Quintil","17.38","11.5","2464","4","6","20","40","80","16.74","18.02","1","99","10","12"
"2015","1 Einkommensschwächstes Quintil","13.23","9.5","453","3","5","20","30","60","11.96","14.5","1","99","10","10"
"2015","2","15.19","9.5","879","4","7","20","30","80","14.18","16.2","1","99","10","12"
"2015","3","17.37","11.5","1233","4","8","20","40","80","16.55","18.19","1","99","10","13"
"2015","4","15.91","9.5","1954","4","6","20","35","80","15.28","16.54","1","99","10","12"
"2015","5 Einkommensstärkstes Quintil","17.12","11.5","2651","4","8","20","40","80","16.49","17.75","1","99","12","12"
"2016","1 Einkommensschwächstes Quintil","13.5","9.5","350","4","5","20","30","60","12.06","14.94","1","99","10","10"
"2016","2","15.13","9.5","836","3","7","20","30","70","14.08","16.18","1","108","10","10"
"2016","3","14.41","9.5","1061","3","6","20","30","70","13.6","15.22","1","99","10","11"
"2016","4","14.67","9.5","1875","4","6","20","30","70","14.01","15.33","1","200","10","11"
"2016","5 Einkommensstärkstes Quintil","16.79","11.5","2658","4","7","20","40","80","16.19","17.39","1","99","10","12"
"2017","1 Einkommensschwächstes Quintil","15.89","11.5","312","4","6","20","29","87","14.25","17.53","1","99","10","12"
"2017","2","15.43","9.5","701","4","7","20","30","80","14.32","16.54","1","146","10","12"
"2017","3","16.07","9.5","1141","4","6","20","35","80","15.22","16.92","1","100","10","12"
"2017","4","15.11","9.5","1986","4","6","20","30","80","14.54","15.68","1","99","10","11"
"2017","5 Einkommensstärkstes Quintil","16.74","9.5","3126","4","7","20","40","80","16.19","17.29","1","120","10","12"
"2018","1 Einkommensschwächstes Quintil","14.33","9.5","323","3","6","20","25","45","12.9","15.76","1","100","10","12"
"2018","2","14.71","9.5","616","3","6","20","30","80","13.6","15.82","1","99","10","10"
"2018","3","15.21","9.5","1014","3","6","20","30","63","14.31","16.11","1","120","10","10"
"2018","4","15.16","9.5","2095","3","6","20","30","80","14.51","15.81","1","150","10","10"
"2018","5 Einkommensstärkstes Quintil","16.31","10.5","3289","4","6","20","35","80","15.79","16.83","1","107","10","12"
"2019","1 Einkommensschwächstes Quintil","15.11","11","245","4","6","20","35","60","13.35","16.87","1","80","10","12"
"2019","2","14.1","9.5","510","4","6","19","28","70","12.91","15.29","1","95","10","12"
"2019","3","14.61","9.5","823","3","5","20","30","70","13.63","15.59","1","99","10","12"
"2019","4","14.99","9.5","1792","4","6","20","30","80","14.31","15.67","1","99","10","10"
"2019","5 Einkommensstärkstes Quintil","16.13","9.5","3486","4","6","20","35","80","15.6","16.66","1","99","10","10"
"2020","1 Einkommensschwächstes Quintil","13.49","9","186","3","5","20","25","70","11.26","15.72","1","99","8","10"
"2020","2","15.01","9.5","436","4","6","20","30","90","13.66","16.36","1","125","10","12"
"2020","3","13.38","9.5","685","3","5","18","26","60","12.24","14.52","1","120","10","10"
"2020","4","13.37","9.5","1639","3","5","16","30","60","12.75","13.99","1","99","10","10"
"2020","5 Einkommensstärkstes Quintil","14.68","9.5","3440","4","6","20","30","80","14.18","15.18","1","130","10","10"
