"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","Ostdeutschland","weiblich","16.73","11.5","331","5","8","20","33","99","15.11","18.35","1","99","10","13"
"1991","Westdeutschland","maennlich","22.21","15.5","1428","5","10","30","47","99","21.26","23.16","0","99","15","16"
"1991","Westdeutschland","weiblich","14.91","9.5","663","3","6","20","30","72","13.77","16.05","0","99","10","10"
"1992","Ostdeutschland","maennlich","23.87","15.5","577","5","10","32","50","99","22.14","25.6","0","99","15","20"
"1992","Ostdeutschland","weiblich","15.91","10.5","385","3","6","20","35","80","14.39","17.43","0","99","10","12"
"1992","Westdeutschland","maennlich","21.02","15.5","1329","5","9","25","45","90","20.04","22","0","99","15","16"
"1992","Westdeutschland","weiblich","14.89","9.5","690","4","6","20","32","60","13.91","15.87","0","99","10","10"
"1993","Ostdeutschland","maennlich","22.84","17.5","560","5","10","30","50","99","21.14","24.54","0","99","15","20"
"1993","Ostdeutschland","weiblich","14.22","9.5","413","3","5","19","30","80","12.74","15.7","0","99","10","10"
"1993","Westdeutschland","maennlich","20.93","14.5","1225","5","9","25","44","99","19.83","22.03","0","99","15","16"
"1993","Westdeutschland","weiblich","14.76","9.5","628","3","5","20","30","70","13.72","15.8","1","99","10","10"
"1994","Ostdeutschland","maennlich","22.41","15.5","596","5","10","30","45","99","20.81","24.01","0","99","15","20"
"1994","Ostdeutschland","weiblich","16.53","9.5","423","4","6","20","39","80","15.09","17.97","0","90","10","12"
"1994","Westdeutschland","maennlich","21.05","15.5","1223","5","9","27","40","99","19.99","22.11","0","99","15","16"
"1994","Westdeutschland","weiblich","14.17","9.5","648","3","5","17","30","90","13.09","15.25","0","99","10","10"
"1995","Ostdeutschland","maennlich","22.42","14.5","590","5","9","30","48","90","20.81","24.03","0","99","15","18"
"1995","Ostdeutschland","weiblich","16.24","9.5","419","4","6","20","36","80","14.69","17.79","0","99","10","12"
"1995","Westdeutschland","maennlich","22.31","17.5","1419","5","10","30","50","90","21.33","23.29","1","99","15","18"
"1995","Westdeutschland","weiblich","13.9","9.5","757","3","5","20","30","50","13.05","14.75","1","99","10","10"
"1996","Ostdeutschland","maennlich","21.66","14.5","563","5","8","30","45","84","20.09","23.23","1","99","14","18"
"1996","Ostdeutschland","weiblich","17.38","11","395","4","7","20","40","80","15.79","18.97","1","99","10","12"
"1996","Westdeutschland","maennlich","20.63","14.5","1383","5","10","30","40","80","19.73","21.53","1","99","15","16"
"1996","Westdeutschland","weiblich","14.18","9.5","776","3","6","20","30","80","13.26","15.1","1","99","10","10"
"1997","Ostdeutschland","maennlich","22.4","15.5","544","5","10","30","50","96","20.79","24.01","1","99","15","17"
"1997","Ostdeutschland","weiblich","17.24","11.5","424","3","7","20","40","80","15.69","18.79","1","99","10","12"
"1997","Westdeutschland","maennlich","21.34","15.5","1370","5","10","29","44","80","20.39","22.29","1","99","15","18"
"1997","Westdeutschland","weiblich","14.27","9.5","789","3","6","20","30","70","13.4","15.14","1","95","10","10"
"1998","Ostdeutschland","maennlich","21.83","16.5","576","5","10","30","48","80","20.3","23.36","1","99","15","20"
"1998","Ostdeutschland","weiblich","16.6","9.5","460","4","6","20","36","80","15.17","18.03","1","98","10","12"
"1998","Westdeutschland","maennlich","21.98","16.5","1574","5","10","30","40","90","21.1","22.86","1","99","16","20"
"1998","Westdeutschland","weiblich","15.43","9.5","891","4","6","20","30","84","14.52","16.34","1","99","10","12"
"1999","Ostdeutschland","maennlich","22.32","15.5","582","6","10","30","50","90","20.71","23.93","1","99","15","20"
"1999","Ostdeutschland","weiblich","16.84","11.5","449","4","7","20","34","90","15.43","18.25","1","96","10","12"
"1999","Westdeutschland","maennlich","22.13","17.5","1545","5","10","30","45","80","21.24","23.02","1","99","16","20"
"1999","Westdeutschland","weiblich","14.39","9.5","917","4","6","20","30","65","13.6","15.18","1","84","10","11"
"2000","Ostdeutschland","maennlich","21.24","14.5","789","5","10","24","40","99","19.83","22.65","1","99","15","17"
"2000","Ostdeutschland","weiblich","15.73","9.5","599","4","6","20","31","98","14.62","16.84","1","99","10","12"
"2000","Westdeutschland","maennlich","21.7","15.5","2687","5","10","30","45","90","21.01","22.39","1","99","15","17"
"2000","Westdeutschland","weiblich","15.02","9.5","1543","4","6","20","30","72","14.34","15.7","1","99","10","10"
"2001","Ostdeutschland","maennlich","19.69","14.5","728","5","9","25","40","80","18.45","20.93","1","99","13","15"
"2001","Ostdeutschland","weiblich","15.38","9.5","616","4","6","20","30","80","14.3","16.46","1","99","10","11"
"2001","Westdeutschland","maennlich","21.49","15.5","2440","5","10","30","43","90","20.77","22.21","1","99","15","17"
"2001","Westdeutschland","weiblich","14.92","9.5","1507","4","6","20","30","70","14.27","15.57","1","99","10","10"
"2002","Ostdeutschland","maennlich","21.11","14.5","695","5","10","25","40","99","19.63","22.59","1","99","15","16"
"2002","Ostdeutschland","weiblich","15.44","9.5","608","3","5","20","35","99","14.12","16.76","1","99","10","10"
"2002","Westdeutschland","maennlich","21.57","15.5","2519","5","10","30","44","90","20.83","22.31","1","99","16","20"
"2002","Westdeutschland","weiblich","15.04","9.5","1677","4","6","20","30","90","14.35","15.73","1","99","10","10"
"2003","Ostdeutschland","maennlich","19.87","14.5","674","5","10","25","40","80","18.53","21.21","1","99","14","16"
"2003","Ostdeutschland","weiblich","13.84","9.5","586","4","6","20","30","70","12.69","14.99","1","99","10","10"
"2003","Westdeutschland","maennlich","20.59","14.5","2352","5","10","25","42","90","19.84","21.34","1","99","15","18"
"2003","Westdeutschland","weiblich","14.4","9.5","1605","3","5","20","30","80","13.75","15.05","1","99","10","10"
"2004","Ostdeutschland","maennlich","19.31","14.5","638","5","8","20","40","99","17.92","20.7","1","99","12","15"
"2004","Ostdeutschland","weiblich","15.25","9.5","591","4","6","20","30","72","14.05","16.45","1","99","10","11"
"2004","Westdeutschland","maennlich","20.67","14.5","2304","5","10","25","40","99","19.91","21.43","1","99","15","16"
"2004","Westdeutschland","weiblich","14.33","9.5","1543","3","5","20","30","70","13.66","15","1","99","10","10"
"2005","Ostdeutschland","maennlich","19.52","11.5","596","4","8","25","45","90","17.95","21.09","1","99","12","15"
"2005","Ostdeutschland","weiblich","14.53","9.5","539","4","6","20","30","70","13.45","15.61","1","99","10","10"
"2005","Westdeutschland","maennlich","21.62","14.5","2145","5","10","30","45","99","20.82","22.42","1","99","15","16"
"2005","Westdeutschland","weiblich","14.23","9.5","1457","3","5","19","30","75","13.53","14.93","1","99","10","10"
"2006","Ostdeutschland","maennlich","21.78","14.5","643","5","9","30","50","90","20.25","23.31","1","99","14","15"
"2006","Ostdeutschland","weiblich","15.18","11.5","618","4","7","20","30","50","14.09","16.27","1","99","10","12"
"2006","Westdeutschland","maennlich","21.25","14.5","2369","5","10","28","43","90","20.5","22","1","99","15","18"
"2006","Westdeutschland","weiblich","15.11","9.5","1744","3","6","20","30","80","14.44","15.78","1","99","10","10"
"2007","Ostdeutschland","maennlich","20.58","14.5","634","5","10","25","40","99","19.1","22.06","1","99","12","15"
"2007","Ostdeutschland","weiblich","15.91","9.5","596","4","6","20","32","80","14.77","17.05","1","90","10","12"
"2007","Westdeutschland","maennlich","22.35","15.5","2270","5","10","30","50","92","21.55","23.15","1","99","15","19"
"2007","Westdeutschland","weiblich","15.29","9.5","1594","4","6","20","30","80","14.58","16","1","99","10","10"
"2008","Ostdeutschland","maennlich","19.65","14.5","614","5","10","22","40","99","18.25","21.05","1","99","15","15"
"2008","Ostdeutschland","weiblich","15.07","9.5","586","4","8","20","30","72","13.84","16.3","1","99","10","11"
"2008","Westdeutschland","maennlich","21.49","14.5","2105","5","10","27","44","99","20.7","22.28","1","99","15","19"
"2008","Westdeutschland","weiblich","14.8","9.5","1603","3","6","20","30","80","14.13","15.47","1","99","10","10"
"2009","Ostdeutschland","maennlich","20.64","14.5","539","5","10","25","45","80","19.07","22.21","1","99","15","16"
"2009","Ostdeutschland","weiblich","16.71","9.5","541","5","8","20","35","80","15.41","18.01","1","99","10","12"
"2009","Westdeutschland","maennlich","21.01","14.5","1761","5","10","29","40","90","20.15","21.87","1","99","15","18"
"2009","Westdeutschland","weiblich","15.42","9.5","1405","3","6","20","30","80","14.64","16.2","1","99","10","10"
"2010","Ostdeutschland","maennlich","20.71","15.5","654","5","10","28","40","99","19.24","22.18","1","99","12","16"
"2010","Ostdeutschland","weiblich","14.68","9.5","644","3","5","20","30","80","13.59","15.77","1","99","10","10"
"2010","Westdeutschland","maennlich","20.95","14.5","2536","5","10","25","45","99","20.23","21.67","1","99","15","16"
"2010","Westdeutschland","weiblich","15.54","9.5","1891","3","6","20","32","90","14.89","16.19","1","99","10","10"
"2011","Ostdeutschland","maennlich","18.94","14.5","795","5","10","20","40","80","17.71","20.17","1","99","15","16"
"2011","Ostdeutschland","weiblich","14.37","9.5","794","4","8","20","28","60","13.47","15.27","1","99","10","12"
"2011","Westdeutschland","maennlich","21.65","15.5","3269","5","10","28","48","86","21.01","22.29","1","99","15","18"
"2011","Westdeutschland","weiblich","15.79","9.5","2589","4","6","20","35","80","15.24","16.34","1","99","10","10"
"2012","Ostdeutschland","maennlich","18.57","11.5","765","5","8","20","40","80","17.32","19.82","1","99","12","15"
"2012","Ostdeutschland","weiblich","13.89","9.5","797","3","6","20","30","60","13","14.78","1","90","10","10"
"2012","Westdeutschland","maennlich","20.07","14.5","3159","5","10","25","40","89","19.43","20.71","1","99","15","16"
"2012","Westdeutschland","weiblich","14.6","9.5","2658","3","5","20","30","80","14.07","15.13","1","99","10","10"
"2013","Ostdeutschland","maennlich","16.71","9.5","725","4","7","20","40","70","15.49","17.93","1","99","10","15"
"2013","Ostdeutschland","weiblich","14.37","9.5","798","4","7","20","30","60","13.5","15.24","1","90","10","10"
"2013","Westdeutschland","maennlich","18.8","14.5","3503","5","8","24","40","85","18.22","19.38","1","99","15","15"
"2013","Westdeutschland","weiblich","13.86","9.5","2911","3","5","20","30","60","13.39","14.33","1","99","10","10"
"2014","Ostdeutschland","maennlich","17.7","11.5","699","4","8","20","40","80","16.47","18.93","1","99","10","14"
"2014","Ostdeutschland","weiblich","14","9.5","712","3","6","18","30","80","12.92","15.08","1","99","10","10"
"2014","Westdeutschland","maennlich","18.71","12.5","3098","4","8","24","40","80","18.12","19.3","1","99","12","15"
"2014","Westdeutschland","weiblich","13.34","9.5","2643","3","5","20","30","60","12.88","13.8","1","99","10","10"
"2015","Ostdeutschland","maennlich","17.34","11.5","643","4","7","20","40","86","16.07","18.61","1","99","10","15"
"2015","Ostdeutschland","weiblich","12.83","9.5","725","3","6","16","25","60","11.95","13.71","1","90","10","10"
"2015","Westdeutschland","maennlich","19.13","14.5","3092","5","9","24","40","80","18.52","19.74","1","99","15","15"
"2015","Westdeutschland","weiblich","13.69","9.5","2710","3","5","20","30","60","13.23","14.15","1","99","10","10"
"2016","Ostdeutschland","maennlich","14.94","9.5","632","4","6","20","35","60","13.74","16.14","1","99","10","12"
"2016","Ostdeutschland","weiblich","12.61","9.5","691","3","5","18","25","50","11.74","13.48","1","99","10","10"
"2016","Westdeutschland","maennlich","18.04","12.5","2819","4","8","20","40","80","17.41","18.67","1","200","14","15"
"2016","Westdeutschland","weiblich","13.33","9.5","2638","3","5","18","28","60","12.85","13.81","1","99","10","10"
"2017","Ostdeutschland","maennlich","16.98","9.5","687","4","6","20","40","80","15.72","18.24","1","120","10","12"
"2017","Ostdeutschland","weiblich","13.83","9.5","721","3","5","16","30","75","12.92","14.74","1","80","10","10"
"2017","Westdeutschland","maennlich","18.46","14.5","3041","5","8","20","40","80","17.88","19.04","1","146","15","15"
"2017","Westdeutschland","weiblich","13.37","9.5","2817","3","5","16","27","80","12.93","13.81","1","99","10","10"
"2018","Ostdeutschland","maennlich","16.3","9.5","705","4","7","20","35","80","15.17","17.43","1","107","10","12"
"2018","Ostdeutschland","weiblich","12.52","9.5","697","3","5","16","25","70","11.67","13.37","1","90","10","10"
"2018","Westdeutschland","maennlich","18.15","14.5","3072","4","8","24","40","80","17.57","18.73","1","150","12","15"
"2018","Westdeutschland","weiblich","13.12","9.5","2863","3","5","18","26","60","12.64","13.6","1","120","10","10"
"2019","Ostdeutschland","maennlich","15.23","9.5","656","4","6","20","30","80","13.94","16.52","1","99","10","12"
"2019","Ostdeutschland","weiblich","12.44","9.5","720","4","5","16","21","50","11.51","13.37","1","85","10","10"
"2019","Westdeutschland","maennlich","17.33","11.5","2829","4","8","20","40","80","16.72","17.94","1","99","12","15"
"2019","Westdeutschland","weiblich","13.99","9.5","2622","4","6","17","30","80","13.48","14.5","1","99","10","10"
"2020","Ostdeutschland","maennlich","14.7","9.5","624","3","6","20","30","99","13.54","15.86","1","99","10","12"
"2020","Ostdeutschland","weiblich","11.8","9.5","618","3","5","15","20","70","10.85","12.75","1","90","8","10"
"2020","Westdeutschland","maennlich","16.02","9.5","2660","4","7","20","32","80","15.42","16.62","1","130","12","12"
"2020","Westdeutschland","weiblich","12.54","9.5","2483","3","5","15","25","60","12.04","13.04","1","120","10","10"
