"year","age_gr","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2009","17-29","Städtischer Raum","16.7","9.5","443","3","7","20","36","80","15.15","18.25","1","99","10","15"
"2009","30-45","Ländlicher Raum","17.97","11.5","621","5","8","20","40","96","16.63","19.31","1","99","10","15"
"2009","30-45","Städtischer Raum","19.33","14.5","1194","5","8","25","40","90","18.37","20.29","1","99","13","15"
"2009","46-65","Ländlicher Raum","18.92","13.5","609","5","8","20","40","80","17.43","20.41","1","99","12","15"
"2009","46-65","Städtischer Raum","19.46","14.5","1146","4","8","25","40","80","18.45","20.47","1","99","14","15"
"2009","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","66","Städtischer Raum","","","","","","","","","","","","","",""
"2010","17-29","Ländlicher Raum","16.44","9.5","298","4","5","22","40","74","14.76","18.12","1","99","10","10"
"2010","17-29","Städtischer Raum","17.09","9.5","498","4","6","20","40","99","15.71","18.47","1","99","10","12"
"2010","30-45","Ländlicher Raum","18.1","14.5","1003","4","8","20","40","99","17.06","19.14","1","99","12","15"
"2010","30-45","Städtischer Raum","18.07","11.5","1973","4","8","20","40","99","17.31","18.83","1","99","12","15"
"2010","46-65","Ländlicher Raum","18.33","11.5","661","4","8","20","40","99","16.94","19.72","1","99","12","15"
"2010","46-65","Städtischer Raum","20.21","14.5","1274","4","8","25","44","90","19.21","21.21","1","99","12","15"
"2010","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2010","66","Städtischer Raum","","","","","","","","","","","","","",""
"2011","17-29","Ländlicher Raum","15.89","9.5","347","4","6","20","30","80","14.2","17.58","1","99","10","12"
"2011","17-29","Städtischer Raum","15.97","11.5","591","3","6","20","30","70","14.72","17.22","1","93","10","13"
"2011","30-45","Ländlicher Raum","18.28","14.5","1261","5","10","20","38","80","17.42","19.14","1","99","12","15"
"2011","30-45","Städtischer Raum","19","14.5","2413","5","8","23","40","80","18.31","19.69","1","99","12","15"
"2011","46-65","Ländlicher Raum","20.25","14.5","1004","5","8","24","40","87","19.15","21.35","1","99","12","15"
"2011","46-65","Städtischer Raum","19.77","14.5","1818","4","8","25","40","80","18.97","20.57","1","99","12","15"
"2011","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2011","66","Städtischer Raum","","","","","","","","","","","","","",""
"2012","17-29","Ländlicher Raum","13.35","9.5","360","4","5","16","24","70","11.88","14.82","1","99","10","10"
"2012","17-29","Städtischer Raum","15.78","9.5","587","3","5","20","38","86","14.43","17.13","1","99","10","11"
"2012","30-45","Ländlicher Raum","18.93","12.5","1220","4","8","20","40","90","18","19.86","1","99","10","14"
"2012","30-45","Städtischer Raum","18.23","11.5","2246","4","8","20","40","80","17.53","18.93","1","99","12","14"
"2012","46-65","Ländlicher Raum","17.15","11.5","1070","4","8","20","32","99","16.14","18.16","1","99","10","13"
"2012","46-65","Städtischer Raum","18.01","11.5","1875","4","8","20","40","80","17.28","18.74","1","99","12","15"
"2012","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2012","66","Städtischer Raum","","","","","","","","","","","","","",""
"2013","17-29","Ländlicher Raum","14.18","9.5","370","4","5","20","30","55","12.82","15.54","1","90","10","10"
"2013","17-29","Städtischer Raum","14.83","9.5","766","3","5","20","30","80","13.71","15.95","1","99","10","12"
"2013","30-45","Ländlicher Raum","16.55","9.5","1208","4","6","20","35","80","15.68","17.42","1","99","10","12"
"2013","30-45","Städtischer Raum","17.53","12.5","2515","4","8","20","40","80","16.91","18.15","1","99","12","15"
"2013","46-65","Ländlicher Raum","16.06","10.5","1101","4","8","20","30","75","15.14","16.98","1","99","10","14"
"2013","46-65","Städtischer Raum","16.82","11.5","1962","4","7","20","35","80","16.12","17.52","1","99","12","12"
"2013","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2013","66","Städtischer Raum","","","","","","","","","","","","","",""
"2014","17-29","Ländlicher Raum","13.39","9.5","342","3","5","20","30","40","12","14.78","1","90","10","10"
"2014","17-29","Städtischer Raum","14.53","9.5","676","3","5","20","30","80","13.48","15.58","1","99","10","10"
"2014","30-45","Ländlicher Raum","16.09","9.5","1102","4","6","20","30","80","15.14","17.04","1","99","10","12"
"2014","30-45","Städtischer Raum","16.76","9.5","2130","4","6","20","40","80","16.1","17.42","1","99","10","12"
"2014","46-65","Ländlicher Raum","16.62","9.5","1016","4","8","20","40","80","15.71","17.53","1","99","10","12"
"2014","46-65","Städtischer Raum","16.95","11.5","1867","4","7","20","36","80","16.26","17.64","1","99","11","12"
"2014","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2014","66","Städtischer Raum","","","","","","","","","","","","","",""
"2015","17-29","Ländlicher Raum","14.89","9.5","361","3","6","20","30","80","13.38","16.4","1","99","10","12"
"2015","17-29","Städtischer Raum","15.05","10.5","680","3","5","20","30","62","13.98","16.12","1","99","10","12"
"2015","30-45","Ländlicher Raum","16.58","9.5","1091","4","8","20","40","80","15.67","17.49","1","99","10","12"
"2015","30-45","Städtischer Raum","16.85","11.5","2005","4","6","20","40","80","16.16","17.54","1","99","11","12"
"2015","46-65","Ländlicher Raum","16.75","10.5","1067","4","8","20","35","80","15.83","17.67","1","99","10","12"
"2015","46-65","Städtischer Raum","16.55","11.5","1941","4","8","20","35","80","15.87","17.23","1","99","11","13"
"2015","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2015","66","Städtischer Raum","","","","","","","","","","","","","",""
"2016","17-29","Ländlicher Raum","11.72","7.5","351","3","5","16","22","50","10.49","12.95","1","90","10","10"
"2016","17-29","Städtischer Raum","14.53","9.5","608","4","6","20","30","67","13.43","15.63","1","99","10","10"
"2016","30-45","Ländlicher Raum","14.97","9.5","961","3","6","20","30","80","13.98","15.96","1","200","10","12"
"2016","30-45","Städtischer Raum","16.21","9.5","1833","4","6","20","35","80","15.47","16.95","1","99","10","12"
"2016","46-65","Ländlicher Raum","16.44","11.5","1052","4","7","20","30","80","15.54","17.34","1","99","10","12"
"2016","46-65","Städtischer Raum","15.71","9.5","1942","4","6","20","35","64","15.07","16.35","1","108","10","12"
"2016","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2016","66","Städtischer Raum","","","","","","","","","","","","","",""
"2017","17-29","Ländlicher Raum","13.7","9.5","396","4","5","19","30","70","12.4","15","1","100","10","10"
"2017","17-29","Städtischer Raum","14.97","9.5","718","3","5","20","30","96","13.86","16.08","1","146","10","10"
"2017","30-45","Ländlicher Raum","16.02","10.5","963","4","6","20","32","80","15.09","16.95","1","120","10","12"
"2017","30-45","Städtischer Raum","16.23","11.5","1856","4","7","20","35","80","15.58","16.88","1","99","10","12"
"2017","46-65","Ländlicher Raum","16.54","11.5","1191","4","6","20","35","80","15.69","17.39","1","100","10","12"
"2017","46-65","Städtischer Raum","16.62","9.5","2109","4","7","20","38","80","15.98","17.26","1","99","10","12"
"2017","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2017","66","Städtischer Raum","","","","","","","","","","","","","",""
"2018","17-29","Ländlicher Raum","13.15","9.5","416","3","6","20","25","60","12.01","14.29","1","99","10","10"
"2018","17-29","Städtischer Raum","14.34","9.5","772","3","5","20","30","80","13.26","15.42","1","150","10","10"
"2018","30-45","Ländlicher Raum","16.42","10.5","950","4","7","20","35","80","15.46","17.38","1","107","10","12"
"2018","30-45","Städtischer Raum","15.67","9.5","1832","4","6","20","35","80","14.95","16.39","1","120","10","12"
"2018","46-65","Ländlicher Raum","15.74","9.5","1165","4","6","20","30","80","14.87","16.61","1","140","10","12"
"2018","46-65","Städtischer Raum","16.52","11.5","2168","4","6","20","35","80","15.92","17.12","1","120","10","12"
"2018","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2018","66","Städtischer Raum","","","","","","","","","","","","","",""
"2019","17-29","Ländlicher Raum","13.58","9.5","348","4","6","16","25","80","12.12","15.04","1","95","10","10"
"2019","17-29","Städtischer Raum","14.14","9.5","660","3","5","20","30","60","13.14","15.14","1","85","10","10"
"2019","30-45","Ländlicher Raum","14.33","9.5","835","4","5","20","30","80","13.34","15.32","1","99","10","12"
"2019","30-45","Städtischer Raum","16.07","9.5","1596","4","7","20","30","99","15.28","16.86","1","99","10","12"
"2019","46-65","Ländlicher Raum","16.43","9.5","1175","4","6","20","40","80","15.55","17.31","1","99","10","12"
"2019","46-65","Städtischer Raum","15.84","9.5","2031","4","6","20","35","80","15.17","16.51","1","99","10","12"
"2019","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2019","66","Städtischer Raum","13.46","7.5","33","4","10","20","20","40","6.04","20.88","2","99","10","20"
"2020","17-29","Ländlicher Raum","11.7","9.5","330","3","5","15","21","45","10.27","13.13","1","99","10","10"
"2020","17-29","Städtischer Raum","12.83","9.5","732","2","5","15","25","80","11.78","13.88","1","120","10","10"
"2020","30-45","Ländlicher Raum","14.11","9.5","762","3","6","17","28","80","13.13","15.09","1","99","10","10"
"2020","30-45","Städtischer Raum","14.27","9.5","1561","3","5","20","30","80","13.55","14.99","1","130","10","10"
"2020","46-65","Ländlicher Raum","14.27","9.5","1062","4","6","20","30","79","13.46","15.08","1","125","10","10"
"2020","46-65","Städtischer Raum","15.11","9.5","1895","4","6","20","30","80","14.44","15.78","1","120","10","10"
"2020","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2020","66","Städtischer Raum","","","","","","","","","","","","","",""
