"year","age_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2008","66 +","Westdeutschland","","","","",""
"2009","17-34","Ostdeutschland","18.85","14.5","289","17.19","20.51"
"2009","17-34","Westdeutschland","17.44","11.5","838","16.33","18.55"
"2009","35-65","Ostdeutschland","18.67","11.5","788","17.41","19.93"
"2009","35-65","Westdeutschland","19.23","14.5","2315","18.51","19.95"
"2009","66 +","Ostdeutschland","","","","",""
"2009","66 +","Westdeutschland","","","","",""
"2010","17-34","Ostdeutschland","18.89","11","401","17.17","20.61"
"2010","17-34","Westdeutschland","17.53","9.5","1207","16.61","18.45"
"2010","35-65","Ostdeutschland","17.11","10.5","895","16","18.22"
"2010","35-65","Westdeutschland","19.01","13.5","3204","18.4","19.62"
"2010","66 +","Ostdeutschland","","","","",""
"2010","66 +","Westdeutschland","","","","",""
"2011","17-34","Ostdeutschland","15.21","9.5","430","13.74","16.68"
"2011","17-34","Westdeutschland","17.95","12.5","1451","17.07","18.83"
"2011","35-65","Ostdeutschland","17.54","12.5","1159","16.63","18.45"
"2011","35-65","Westdeutschland","19.65","14.5","4394","19.14","20.16"
"2011","66 +","Ostdeutschland","","","","",""
"2011","66 +","Westdeutschland","","","","",""
"2012","17-34","Ostdeutschland","17.11","13.5","389","15.55","18.67"
"2012","17-34","Westdeutschland","16.57","9.5","1408","15.71","17.43"
"2012","35-65","Ostdeutschland","16.11","9.5","1172","15.22","17"
"2012","35-65","Westdeutschland","18.24","11.5","4389","17.74","18.74"
"2012","66 +","Ostdeutschland","","","","",""
"2012","66 +","Westdeutschland","","","","",""
"2013","17-34","Ostdeutschland","16.48","11.5","365","14.89","18.07"
"2013","17-34","Westdeutschland","15.55","9.5","1708","14.82","16.28"
"2013","35-65","Ostdeutschland","15.2","9.5","1154","14.36","16.04"
"2013","35-65","Westdeutschland","17.17","11.5","4695","16.71","17.63"
"2013","66 +","Ostdeutschland","","","","",""
"2013","66 +","Westdeutschland","","","","",""
"2014","17-34","Ostdeutschland","17.05","9.5","329","15.32","18.78"
"2014","17-34","Westdeutschland","14.74","9.5","1483","13.99","15.49"
"2014","35-65","Ostdeutschland","15.58","11.5","1078","14.64","16.52"
"2014","35-65","Westdeutschland","17","11.5","4243","16.54","17.46"
"2014","66 +","Ostdeutschland","","","","",""
"2014","66 +","Westdeutschland","","","","",""
"2015","17-34","Ostdeutschland","15.87","9","328","14.06","17.68"
"2015","17-34","Westdeutschland","16.42","12.5","1452","15.66","17.18"
"2015","35-65","Ostdeutschland","14.84","9.5","1035","14.01","15.67"
"2015","35-65","Westdeutschland","16.76","11.5","4330","16.29","17.23"
"2015","66 +","Ostdeutschland","","","","",""
"2015","66 +","Westdeutschland","","","","",""
"2016","17-34","Ostdeutschland","12.58","9.5","295","11.02","14.14"
"2016","17-34","Westdeutschland","14.4","9.5","1303","13.65","15.15"
"2016","35-65","Ostdeutschland","14.24","9.5","1021","13.4","15.08"
"2016","35-65","Westdeutschland","16.45","11.5","4128","15.97","16.93"
"2016","66 +","Ostdeutschland","","","","",""
"2016","66 +","Westdeutschland","","","","",""
"2017","17-34","Ostdeutschland","14.8","9.5","322","13.28","16.32"
"2017","17-34","Westdeutschland","15.33","9.5","1470","14.62","16.04"
"2017","35-65","Ostdeutschland","15.78","9.5","1081","14.87","16.69"
"2017","35-65","Westdeutschland","16.58","11.5","4360","16.14","17.02"
"2017","66 +","Ostdeutschland","","","","",""
"2017","66 +","Westdeutschland","","","","",""
"2018","17-34","Ostdeutschland","14.62","9.5","313","13.22","16.02"
"2018","17-34","Westdeutschland","14.62","9.5","1562","13.87","15.37"
"2018","35-65","Ostdeutschland","14.53","9.5","1086","13.7","15.36"
"2018","35-65","Westdeutschland","16.49","11.5","4342","16.04","16.94"
"2018","66 +","Ostdeutschland","","","","",""
"2018","66 +","Westdeutschland","13.52","8.5","31","9.5","17.54"
"2019","17-34","Ostdeutschland","13.22","9.5","283","11.2","15.24"
"2019","17-34","Westdeutschland","14.91","9.5","1371","14.19","15.63"
"2019","35-65","Ostdeutschland","14.12","9.5","1083","13.27","14.97"
"2019","35-65","Westdeutschland","16.28","9.5","4038","15.79","16.77"
"2019","66 +","Ostdeutschland","","","","",""
"2019","66 +","Westdeutschland","11.89","9","42","6.87","16.91"
"2020","17-34","Ostdeutschland","13.07","9","291","11.17","14.97"
"2020","17-34","Westdeutschland","13.74","9.5","1424","12.98","14.5"
"2020","35-65","Ostdeutschland","13.36","9.5","939","12.55","14.17"
"2020","35-65","Westdeutschland","14.66","9.5","3688","14.19","15.13"
"2020","66 +","Ostdeutschland","","","","",""
"2020","66 +","Westdeutschland","22.06","18","32","16.41","27.71"
